"plh0032","year","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Big worries","2015","West Germany","3014","0.150722283786305","0.14572849399266","0.15571607357995","1"
"Big worries","2015","East Germany","754","0.150186490482125","0.140522740417428","0.159850240546821","1"
"No worries","2015","West Germany","4927","0.25900309444528","0.252888363765946","0.265117825124615","3"
"No worries","2015","East Germany","1287","0.249750499680822","0.238041373674262","0.261459625687381","3"
"Some worries","2015","West Germany","11777","0.590274621768415","0.583410418304471","0.597138825232358","2"
"Some worries","2015","East Germany","3209","0.600063009837054","0.586811582659459","0.613314437014648","2"
"Big worries","2016","West Germany","2818","0.141042697765113","0.13610998583715","0.145975409693075","1"
"Big worries","2016","East Germany","786","0.168231322316055","0.15790912359067","0.17855352104144","1"
"No worries","2016","West Germany","5282","0.280283458289023","0.273918374309254","0.286648542268793","3"
"No worries","2016","East Germany","1343","0.269440184852197","0.257197502553103","0.281682867151292","3"
"Some worries","2016","West Germany","11027","0.578673843945864","0.571676216788616","0.585671471103112","2"
"Some worries","2016","East Germany","2916","0.562328492831748","0.54863902114872","0.576017964514776","2"
"Big worries","2017","West Germany","2880","0.145027647842694","0.140256452779003","0.149798842906385","1"
"Big worries","2017","East Germany","904","0.173772404435642","0.163856196518052","0.183688612353233","1"
"No worries","2017","West Germany","5984","0.282556183787647","0.276455590228946","0.288656777346348","3"
"No worries","2017","East Germany","1381","0.24546303615052","0.234200435582624","0.256725636718416","3"
"Some worries","2017","West Germany","12060","0.572416168369659","0.565712811838065","0.579119524901254","2"
"Some worries","2017","East Germany","3324","0.580764559413838","0.567851343321933","0.593677775505743","2"
"Big worries","2018","West Germany","2125","0.103888010985613","0.0996775785141596","0.108098443457066","1"
"Big worries","2018","East Germany","719","0.125946656058478","0.117175688341742","0.134717623775213","1"
"No worries","2018","West Germany","6880","0.346028963477086","0.339464513701557","0.352593413252614","3"
"No worries","2018","East Germany","1775","0.318611916018716","0.306294673375216","0.330929158662216","3"
"Some worries","2018","West Germany","11168","0.550083025537302","0.543217984180674","0.55694806689393","2"
"Some worries","2018","East Germany","3003","0.555441427922806","0.542305255166129","0.568577600679484","2"
"Big worries","2019","West Germany","2612","0.132279317945333","0.127593669029718","0.136964966860948","1"
"Big worries","2019","East Germany","896","0.162063285170064","0.152370866103112","0.171755704237017","1"
"No worries","2019","West Germany","5044","0.250592249786284","0.244598802298519","0.25658569727405","3"
"No worries","2019","East Germany","1286","0.239398298948498","0.228174925070807","0.250621672826188","3"
"Some worries","2019","West Germany","12427","0.617128432268382","0.610405664131952","0.623851200404812","2"
"Some worries","2019","East Germany","3371","0.598538415881438","0.585645466838584","0.611431364924292","2"
