"plh0032","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Big worries","1987","(1c) basic vocational qualification","Female","344","0.252419182798873","0.230113857168486","0.274724508429261"
"Big worries","1987","(1c) basic vocational qualification","Male","449","0.226199577020744","0.208293137038151","0.244106017003337"
"Big worries","1987","(2a) intermediate vocational","Female","135","0.187799383173427","0.159754819152512","0.215843947194342"
"Big worries","1987","(2a) intermediate vocational","Male","92","0.164188480820532","0.133777097060751","0.194599864580312"
"Big worries","1987","(2b) intermediate general qualification","Female","44","0.179997738006456","0.133027519744145","0.226967956268768"
"Big worries","1987","(2b) intermediate general qualification","Male","","","",""
"Big worries","1987","(2c_gen) general maturity certificate","Female","","","",""
"Big worries","1987","(2c_gen) general maturity certificate","Male","35","0.173596170375409","0.124432205678802","0.222760135072015"
"Big worries","1987","(2c_voc) vocational maturity certificate","Female","","","",""
"Big worries","1987","(2c_voc) vocational maturity certificate","Male","33","0.12104048939892","0.0787024797203159","0.163378499077524"
"Big worries","1987","(3a) lower tertiary education","Female","","","",""
"Big worries","1987","(3a) lower tertiary education","Male","34","0.19312926608538","0.134809230019516","0.251449302151245"
"Big worries","1987","(3b) higher tertiary education","Female","31","0.173388633195815","0.116974744477115","0.229802521914515"
"Big worries","1987","(3b) higher tertiary education","Male","45","0.157686679046573","0.117630560016056","0.19774279807709"
"No worries","1987","(0) in school","Female","","","",""
"No worries","1987","(0) in school","Male","36","0.327845838366918","0.236296188502919","0.419395488230917"
"No worries","1987","(1a) inadequately completed","Female","156","0.306335923176941","0.263839493959152","0.348832352394731"
"No worries","1987","(1a) inadequately completed","Male","109","0.281631237025305","0.2348417756646","0.32842069838601"
"No worries","1987","(1b) general elementary school","Female","372","0.220114336908636","0.199639362698222","0.240589311119051"
"No worries","1987","(1b) general elementary school","Male","215","0.216955411722075","0.189032297551244","0.244878525892906"
"No worries","1987","(1c) basic vocational qualification","Female","216","0.140688810267403","0.122835311939362","0.158542308595444"
"No worries","1987","(1c) basic vocational qualification","Male","338","0.152287725477325","0.136909523461798","0.167665927492851"
"No worries","1987","(2a) intermediate vocational","Female","125","0.18874374729341","0.160645109256694","0.216842385330125"
"No worries","1987","(2a) intermediate vocational","Male","101","0.180649267656798","0.149065517977953","0.212233017335643"
