"plh0036","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Some worries","1984","Rhineland-Palatinate,Saarland","in school","4","","","","2"
"Some worries","1984","Rhineland-Palatinate,Saarland","inadequately","37","0.520580206599389","0.395212702582601","0.645947710616177","2"
"Some worries","1984","Rhineland-Palatinate,Saarland","general elemantary","141","0.455344802490141","0.398802827129002","0.51188677785128","2"
"Some worries","1984","Rhineland-Palatinate,Saarland","middle vocational","188","0.470690003612464","0.421152020243962","0.520227986980967","2"
"Some worries","1984","Rhineland-Palatinate,Saarland","higher vocational","14","","","","2"
"Some worries","1984","Rhineland-Palatinate,Saarland","higher education","6","","","","2"
"Some worries","1984","Baden-Württemberg","in school","9","","","","2"
"Some worries","1984","Baden-Württemberg","inadequately","115","0.396333529648039","0.339842332040881","0.452824727255197","2"
"Some worries","1984","Baden-Württemberg","general elemantary","283","0.42691402739371","0.389926966342596","0.463901088444824","2"
"Some worries","1984","Baden-Württemberg","middle vocational","368","0.390808851589449","0.359516828578949","0.422100874599948","2"
"Some worries","1984","Baden-Württemberg","vocational + Abi","18","","","","2"
"Some worries","1984","Baden-Württemberg","higher vocational","36","0.307361237713376","0.223756073441006","0.390966401985747","2"
"Some worries","1984","Berlin","in school","1","","","","2"
"Some worries","1984","Berlin","inadequately","18","","","","2"
"Some worries","1984","Berlin","general elemantary","44","0.522101053606484","0.423204678269375","0.620997428943592","2"
"Some worries","1984","Berlin","middle vocational","70","0.38161801442782","0.311616880463263","0.451619148392378","2"
"Some worries","1984","Berlin","vocational + Abi","1","","","","2"
"Some worries","1984","Berlin","higher vocational","8","","","","2"
"Some worries","1984","Brandenburg","inadequately","","","","","2"
"Some worries","1984","Brandenburg","general elemantary","","","","","2"
"Some worries","1984","Brandenburg","middle vocational","","","","","2"
"Some worries","1984","Saxony-Anhalt","inadequately","","","","","2"
"Some worries","1984","Saxony-Anhalt","general elemantary","","","","","2"
"Some worries","1984","Saxony-Anhalt","middle vocational","","","","","2"
"Some worries","1984","Saxony-Anhalt","higher education","","","","","2"
"Some worries","1984","Thuringia","in school","","","","","2"
"Some worries","1984","Thuringia","inadequately","","","","","2"
"Some worries","1984","Thuringia","general elemantary","","","","","2"
"Some worries","1984","Thuringia","middle vocational","","","","","2"
"Some worries","1984","Thuringia","vocational + Abi","","","","","2"
"Some worries","1984","Thuringia","higher vocational","","","","","2"
"Some worries","1984","Thuringia","higher education","","","","","2"
"Some worries","1984","Rhineland-Palatinate,Saarland","vocational + Abi","5","","","","2"
"Some worries","1984","Saxony-Anhalt","vocational + Abi","","","","","2"
"Some worries","1984","Saxony-Anhalt","higher vocational","","","","","2"
"Some worries","1984","Lower Saxony","higher vocational","31","0.406962689230075","0.297939446382539","0.515985932077611","2"
"Some worries","1984","Lower Saxony","higher education","25","","","","2"
"Some worries","1984","Bremen","in school","","","","","2"
"Some worries","1984","Bremen","inadequately","1","","","","2"
"Some worries","1984","Bremen","general elemantary","11","","","","2"
"Some worries","1984","Bremen","middle vocational","15","","","","2"
"Some worries","1984","Bremen","vocational + Abi","1","","","","2"
"Some worries","1984","Bremen","higher vocational","","","","","2"
"Some worries","1984","Bremen","higher education","","","","","2"
"Some worries","1984","North Rhine-Westphalia","in school","15","","","","2"
"Some worries","1984","North Rhine-Westphalia","inadequately","128","0.428407866395329","0.372129471000998","0.48468626178966","2"
"Some worries","1984","North Rhine-Westphalia","general elemantary","359","0.41957011548125","0.386530511272951","0.452609719689549","2"
"Some worries","1984","North Rhine-Westphalia","middle vocational","553","0.357133904299726","0.332950177832125","0.381317630767326","2"
"Some worries","1984","North Rhine-Westphalia","vocational + Abi","34","0.362074511845599","0.261661334587611","0.462487689103587","2"
"Some worries","1984","North Rhine-Westphalia","higher vocational","54","0.350423503424119","0.275555274993894","0.425291731854345","2"
"Some worries","1984","North Rhine-Westphalia","higher education","62","0.263915571880663","0.206324766098182","0.321506377663144","2"
"Some worries","1984","Hesse","in school","3","","","","2"
"Some worries","1984","Hesse","inadequately","52","0.523996996106676","0.427547775161995","0.620446217051358","2"
"Some worries","1984","Berlin","higher education","10","","","","2"
"Some worries","1984","Brandenburg","in school","","","","","2"
"Some worries","1984","Mecklenburg-Western Pomerania","middle vocational","","","","","2"
"Some worries","1984","Mecklenburg-Western Pomerania","vocational + Abi","","","","","2"
"Some worries","1984","Mecklenburg-Western Pomerania","higher vocational","","","","","2"
"Some worries","1984","Mecklenburg-Western Pomerania","higher education","","","","","2"
"Some worries","1984","Saxony","in school","","","","","2"
"Some worries","1984","Saxony","inadequately","","","","","2"
"Some worries","1984","Saxony","general elemantary","","","","","2"
"Some worries","1984","Saxony","middle vocational","","","","","2"
"Some worries","1984","Saxony","vocational + Abi","","","","","2"
"Some worries","1984","Saxony","higher vocational","","","","","2"
"Some worries","1984","Saxony","higher education","","","","","2"
"Some worries","1984","Saxony-Anhalt","in school","","","","","2"
"Some worries","1984","Schleswig-Holstein","in school","2","","","","2"
"Some worries","1984","Schleswig-Holstein","inadequately","4","","","","2"
"Some worries","1984","Schleswig-Holstein","general elemantary","37","0.376970135351541","0.274544947157288","0.479395323545794","2"
"Some worries","1984","Schleswig-Holstein","middle vocational","99","0.446561278593107","0.380719533117518","0.512403024068696","2"
"Some worries","1984","Schleswig-Holstein","vocational + Abi","1","","","","2"
"Some worries","1984","Schleswig-Holstein","higher vocational","13","","","","2"
"Some worries","1984","Schleswig-Holstein","higher education","11","","","","2"
"Some worries","1984","Hamburg","in school","2","","","","2"
"Some worries","1984","Hamburg","inadequately","4","","","","2"
"Some worries","1984","Hamburg","general elemantary","23","","","","2"
"Some worries","1984","Hamburg","middle vocational","50","0.316659665460615","0.243896234792331","0.389423096128899","2"
"Some worries","1984","Hamburg","vocational + Abi","7","","","","2"
"Some worries","1984","Hamburg","higher vocational","6","","","","2"
"Some worries","1984","Hamburg","higher education","1","","","","2"
"Some worries","1984","Lower Saxony","in school","7","","","","2"
"Some worries","1984","Lower Saxony","inadequately","30","0.521781541150141","0.399400081884754","0.644163000415528","2"
"Some worries","1984","Lower Saxony","general elemantary","160","0.44435441200893","0.393238223632853","0.495470600385008","2"
"Some worries","1984","Lower Saxony","middle vocational","259","0.448286699834229","0.407882989159697","0.488690410508762","2"
"Some worries","1984","Lower Saxony","vocational + Abi","4","","","","2"
"Big worries","1985","Schleswig-Holstein","in school","1","","","","1"
"Big worries","1985","Schleswig-Holstein","inadequately","3","","","","1"
"Big worries","1985","Schleswig-Holstein","general elemantary","34","0.402365602386393","0.298117815404271","0.506613389368516","1"
"Big worries","1985","Schleswig-Holstein","middle vocational","93","0.498691474600818","0.427782709102487","0.569600240099149","1"
"Big worries","1985","Schleswig-Holstein","vocational + Abi","7","","","","1"
"Big worries","1985","Schleswig-Holstein","higher vocational","15","","","","1"
"Big worries","1985","Schleswig-Holstein","higher education","8","","","","1"
"Big worries","1985","Hamburg","in school","2","","","","1"
"Big worries","1985","Hamburg","inadequately","4","","","","1"
"Big worries","1985","Hamburg","general elemantary","28","","","","1"
"Big worries","1985","Hamburg","middle vocational","72","0.485394463310876","0.403764146628498","0.567024779993255","1"
"Big worries","1985","Hamburg","vocational + Abi","7","","","","1"
"Big worries","1985","Hamburg","higher vocational","11","","","","1"
"Big worries","1985","Hamburg","higher education","11","","","","1"
"Big worries","1985","Lower Saxony","in school","21","","","","1"
"Big worries","1985","Lower Saxony","inadequately","11","","","","1"
"Big worries","1985","Lower Saxony","general elemantary","126","0.40735480350267","0.352212871721348","0.462496735283991","1"
"Big worries","1985","Lower Saxony","middle vocational","273","0.514242447039423","0.471930848041484","0.556554046037362","1"
"Big worries","1985","Lower Saxony","vocational + Abi","13","","","","1"
"Big worries","1985","Lower Saxony","higher vocational","39","0.526208422428529","0.410875204790284","0.641541640066774","1"
"Big worries","1985","Lower Saxony","higher education","48","0.638001668918733","0.528506130695261","0.747497207142205","1"
"Big worries","1985","Bremen","in school","","","","","1"
"Big worries","1985","Bremen","inadequately","2","","","","1"
"Big worries","1985","Bremen","general elemantary","13","","","","1"
"Big worries","1985","Bremen","middle vocational","35","0.469922298626845","0.348590619724338","0.591253977529352","1"
"Big worries","1985","Bremen","vocational + Abi","1","","","","1"
"Big worries","1985","Bremen","higher vocational","1","","","","1"
"Big worries","1985","Bremen","higher education","2","","","","1"
"Big worries","1985","North Rhine-Westphalia","in school","40","0.710118128959883","0.596261321650575","0.823974936269191","1"
"Big worries","1985","North Rhine-Westphalia","inadequately","69","0.301105949114807","0.243308889044863","0.358903009184751","1"
"Big worries","1985","North Rhine-Westphalia","general elemantary","299","0.407789423416744","0.372572342875531","0.443006503957957","1"
"Big worries","1985","North Rhine-Westphalia","middle vocational","692","0.504845712023624","0.478504869978271","0.531186554068977","1"
"Big worries","1985","North Rhine-Westphalia","vocational + Abi","50","0.615867252749041","0.511228328295984","0.720506177202099","1"
"Big worries","1985","North Rhine-Westphalia","higher vocational","71","0.47692752946738","0.397262679048815","0.556592379885945","1"
"Big worries","1985","North Rhine-Westphalia","higher education","130","0.600008370734175","0.535565376666742","0.664451364801608","1"
"Big worries","1985","Hesse","in school","7","","","","1"
"Big worries","1985","Hesse","inadequately","22","","","","1"
"Big worries","1985","Hesse","general elemantary","104","0.377395275112386","0.324367914602448","0.430422635622324","1"
"Big worries","1985","Hesse","middle vocational","234","0.475258935985824","0.431960190609483","0.518557681362164","1"
"Big worries","1985","Hesse","vocational + Abi","21","","","","1"
"Big worries","1985","Hesse","higher vocational","32","0.572994581990462","0.438551527866583","0.707437636114341","1"
"Big worries","1985","Hesse","higher education","54","0.57157626045001","0.469904287752541","0.673248233147478","1"
"Big worries","1985","Rhineland-Palatinate,Saarland","in school","6","","","","1"
"Big worries","1985","Rhineland-Palatinate,Saarland","inadequately","15","","","","1"
"Big worries","1985","Rhineland-Palatinate,Saarland","general elemantary","112","0.423399209277815","0.363797493008797","0.483000925546832","1"
"Big worries","1985","Rhineland-Palatinate,Saarland","middle vocational","144","0.428987986249004","0.377357534363336","0.480618438134672","1"
"Big worries","1985","Rhineland-Palatinate,Saarland","vocational + Abi","8","","","","1"
"Big worries","1985","Rhineland-Palatinate,Saarland","higher vocational","19","","","","1"
"Big worries","1985","Rhineland-Palatinate,Saarland","higher education","23","","","","1"
"Big worries","1985","Baden-Württemberg","in school","23","","","","1"
"Big worries","1985","Baden-Württemberg","inadequately","54","0.157019812692795","0.111463248789956","0.202576376595634","1"
"Big worries","1985","Baden-Württemberg","general elemantary","236","0.382007809818441","0.343162510760947","0.420853108875934","1"
"Big worries","1985","Baden-Württemberg","middle vocational","373","0.450443184338043","0.417113015174646","0.483773353501439","1"
"Big worries","1985","Baden-Württemberg","vocational + Abi","30","0.655377856149858","0.522311727300504","0.788443984999211","1"
"Big worries","1985","Baden-Württemberg","higher vocational","57","0.547840836246994","0.45440624041316","0.641275432080827","1"
"Big worries","1985","Baden-Württemberg","higher education","69","0.590405232424093","0.499735743412735","0.68107472143545","1"
"Big worries","1985","Bavaria","in school","11","","","","1"
"Big worries","1985","Bavaria","inadequately","27","","","","1"
"Big worries","1985","Bavaria","general elemantary","210","0.411839790968641","0.369939008955364","0.453740572981917","1"
"Big worries","1985","Bavaria","middle vocational","418","0.441167410504166","0.40930711179748","0.473027709210852","1"
"Big worries","1985","Bavaria","vocational + Abi","31","0.657810181828186","0.523592012942868","0.792028350713504","1"
