"plh0036","year","e11102","migback","n","percent","lower_confidence","upper_confidence","value"
"Big worries","2008","Employed","direct migration background","294","0.285757306064437","0.259156194437454","0.312358417691421","1"
"Big worries","2008","Not Employed","indirect migration background","62","0.257929204754588","0.198330633606967","0.31752777590221","1"
"No worries","2008","Employed","indirect migration background","97","0.183771580915354","0.151751312744439","0.215791849086269","3"
"No worries","2008","Not Employed","no migration background","846","0.127279098670289","0.119153023257545","0.135405174083033","3"
"No worries","2008","Employed","direct migration background","172","0.177250448179331","0.154764784581655","0.199736111777006","3"
"No worries","2008","Employed","no migration background","1348","0.135633052015137","0.12899446374061","0.142271640289665","3"
"No worries","2008","Not Employed","indirect migration background","44","0.212260122391132","0.156555845739896","0.267964399042368","3"
"No worries","2008","Not Employed","direct migration background","119","0.143704135561","0.119411289980751","0.167996981141248","3"
"Some worries","2008","Not Employed","no migration background","3695","0.560797356590303","0.548696947149467","0.572897766031139","2"
"Some worries","2008","Employed","direct migration background","642","0.536992245756232","0.507632225540062","0.566352265972401","2"
"Some worries","2008","Employed","indirect migration background","305","0.497037738087842","0.455700418207046","0.538375057968639","2"
"Some worries","2008","Employed","no migration background","6218","0.592148326824974","0.582620139894758","0.601676513755189","2"
"Some worries","2008","Not Employed","direct migration background","468","0.596104939225768","0.562124619236707","0.63008525921483","2"
"Some worries","2008","Not Employed","indirect migration background","101","0.52981067285428","0.461818385280677","0.597802960427883","2"
"Big worries","2009","Employed","indirect migration background","125","0.227839081407704","0.191718791275001","0.263959371540408","1"
"Big worries","2009","Employed","no migration background","2352","0.244430141158471","0.235883244639216","0.252977037677726","1"
"Big worries","2009","Employed","direct migration background","260","0.256211526759685","0.228894234984602","0.283528818534768","1"
"Big worries","2009","Not Employed","direct migration background","191","0.281551197565344","0.247722147253167","0.315380247877522","1"
"Big worries","2009","Not Employed","no migration background","1744","0.303759164059347","0.292087743615636","0.315430584503058","1"
"Big worries","2009","Not Employed","indirect migration background","56","0.255454738251696","0.193926855628022","0.31698262087537","1"
"No worries","2009","Employed","indirect migration background","73","0.121521981260912","0.0933850919919994","0.149658870529824","3"
"No worries","2009","Not Employed","no migration background","741","0.124811277531625","0.116423304136953","0.133199250926297","3"
"No worries","2009","Not Employed","indirect migration background","44","0.245502814273195","0.184783552034373","0.306222076512016","3"
"No worries","2009","Employed","direct migration background","133","0.143379576355048","0.121448929272825","0.16531022343727","3"
"No worries","2009","Employed","no migration background","1407","0.150479044203861","0.14336823846272","0.157589849945002","3"
"No worries","2009","Not Employed","direct migration background","84","0.118342785749856","0.0940468304020351","0.142638741097677","3"
"Some worries","2009","Not Employed","no migration background","3479","0.571429558409028","0.558870076299827","0.583989040518229","2"
"Some worries","2009","Employed","direct migration background","588","0.600408896885267","0.56975786838719","0.631059925383345","2"
"Some worries","2009","Employed","indirect migration background","320","0.650638937331384","0.609581627868934","0.691696246793834","2"
"Some worries","2009","Employed","no migration background","5953","0.605090814637668","0.595368881005989","0.614812748269348","2"
"Some worries","2009","Not Employed","direct migration background","404","0.6001060166848","0.563259229216257","0.636952804153342","2"
"Some worries","2009","Not Employed","indirect migration background","93","0.499042447475109","0.428501929485026","0.569582965465191","2"
"Big worries","2010","Employed","indirect migration background","239","0.282320120198247","0.251225414448285","0.313414825948209","1"
"Big worries","2010","Employed","no migration background","3643","0.286511282530828","0.278760868920966","0.29426169614069","1"
"Big worries","2010","Not Employed","no migration background","2148","0.327965944527","0.316868531364324","0.339063357689676","1"
"Big worries","2010","Employed","direct migration background","466","0.303097629305403","0.281172654116205","0.325022604494601","1"
"Big worries","2010","Not Employed","direct migration background","362","0.318803187651767","0.292403508609118","0.345202866694416","1"
"Big worries","2010","Not Employed","indirect migration background","109","0.307709740125494","0.258936276023912","0.356483204227077","1"
"No worries","2010","Employed","indirect migration background","99","0.127519200525939","0.104477428224136","0.150560972827742","3"
"No worries","2010","Not Employed","no migration background","758","0.103783036212625","0.096573928643463","0.110992143781787","3"
