"hlf0094","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"Slightly Expensive","1986","(Married) couple without C. ","general elemantary","13","","",""
"Slightly Expensive","1986","(Married) couple without C. ","middle vocational","40","0.0788283945378479","0.0537633651541888","0.103893423921507"
"Slightly Expensive","1986","(Married) couple without C. ","vocational + Abi","5","","",""
"Slightly Expensive","1986","(Married) couple without C. ","higher vocational","6","","",""
"Slightly Expensive","1986","(Married) couple without C. ","higher education","9","","",""
"Slightly Expensive","1986","Single parent ","in school","1","","",""
"Slightly Expensive","1986","Single parent ","inadequately","","","",""
"Slightly Expensive","1986","Single parent ","general elemantary","5","","",""
"Slightly Expensive","1986","Single parent ","middle vocational","8","","",""
"Slightly Expensive","1986","Single parent ","vocational + Abi","1","","",""
"Slightly Expensive","1986","Single parent ","higher vocational","","","",""
"Slightly Expensive","1986","Single parent ","higher education","1","","",""
"Slightly Expensive","1986","Couple + C. LE 16 ","in school","","","",""
"Slightly Expensive","1986","Couple + C. LE 16 ","inadequately","2","","",""
"Slightly Expensive","1986","Couple + C. LE 16 ","general elemantary","8","","",""
"Slightly Expensive","1986","Couple + C. LE 16 ","middle vocational","60","0.117425099195366","0.0883518285226287","0.146498369868104"
"Slightly Expensive","1986","Couple + C. LE 16 ","vocational + Abi","2","","",""
"Slightly Expensive","1986","Couple + C. LE 16 ","higher vocational","15","","",""
"Slightly Expensive","1986","Couple + C. LE 16 ","higher education","15","","",""
"Slightly Expensive","1986","Couple + C. GT 16 ","in school","4","","",""
"Slightly Expensive","1986","Couple + C. GT 16 ","inadequately","1","","",""
"Slightly Expensive","1986","Couple + C. GT 16 ","general elemantary","24","","",""
"Slightly Expensive","1986","Couple + C. GT 16 ","middle vocational","55","0.0941937945027002","0.0707235075098205","0.11766408149558"
"Slightly Expensive","1986","Couple + C. GT 16 ","vocational + Abi","3","","",""
"Slightly Expensive","1986","Couple + C. GT 16 ","higher vocational","10","","",""
"Slightly Expensive","1986","Couple + C. GT 16 ","higher education","8","","",""
"Slightly Expensive","1986","Couple + C. LE and GT 16","in school","7","","",""
"Slightly Expensive","1986","Couple + C. LE and GT 16","inadequately","3","","",""
"Slightly Expensive","1986","Couple + C. LE and GT 16","general elemantary","18","","",""
"Slightly Expensive","1986","Couple + C. LE and GT 16","middle vocational","38","0.113832874109056","0.0794085134752839","0.148257234742829"
"Slightly Expensive","1986","Couple + C. LE and GT 16","vocational + Abi","1","","",""
"Slightly Expensive","1986","Couple + C. LE and GT 16","higher vocational","3","","",""
"Slightly Expensive","1986","Couple + C. LE and GT 16","higher education","4","","",""
"Too Expensive","1986","1-pers.-HH","in school","","","",""
"Too Expensive","1986","1-pers.-HH","inadequately","","","",""
"Too Expensive","1986","1-pers.-HH","general elemantary","1","","",""
"Too Expensive","1986","1-pers.-HH","middle vocational","3","","",""
"Too Expensive","1986","1-pers.-HH","vocational + Abi","","","",""
"Too Expensive","1986","1-pers.-HH","higher vocational","1","","",""
"Too Expensive","1986","1-pers.-HH","higher education","","","",""
"Too Expensive","1986","(Married) couple without C. ","in school","","","",""
"Too Expensive","1986","(Married) couple without C. ","inadequately","","","",""
"Too Expensive","1986","(Married) couple without C. ","general elemantary","3","","",""
"Too Expensive","1986","(Married) couple without C. ","middle vocational","12","","",""
"Too Expensive","1986","(Married) couple without C. ","vocational + Abi","2","","",""
"Too Expensive","1986","(Married) couple without C. ","higher vocational","1","","",""
"Too Expensive","1986","(Married) couple without C. ","higher education","","","",""
"Too Expensive","1986","Single parent ","in school","","","",""
"Too Expensive","1986","Single parent ","inadequately","","","",""
"Too Expensive","1986","Single parent ","general elemantary","","","",""
"Too Expensive","1986","Single parent ","middle vocational","2","","",""
"Too Expensive","1986","Single parent ","vocational + Abi","","","",""
"Too Expensive","1986","Single parent ","higher vocational","","","",""
"Too Expensive","1986","Single parent ","higher education","","","",""
"Too Expensive","1986","Couple + C. LE 16 ","in school","","","",""
"Too Expensive","1986","Couple + C. LE 16 ","inadequately","","","",""
"Too Expensive","1986","Couple + C. LE 16 ","general elemantary","7","","",""
"Too Expensive","1986","Couple + C. LE 16 ","middle vocational","16","","",""
"Too Expensive","1986","Couple + C. LE 16 ","vocational + Abi","","","",""
"Too Expensive","1986","Couple + C. LE 16 ","higher vocational","2","","",""
"Too Expensive","1986","Couple + C. LE 16 ","higher education","3","","",""
"Too Expensive","1986","Couple + C. GT 16 ","in school","2","","",""
"Too Expensive","1986","Couple + C. GT 16 ","inadequately","1","","",""
"Too Expensive","1986","Couple + C. GT 16 ","general elemantary","14","","",""
"Too Expensive","1986","Couple + C. GT 16 ","middle vocational","19","","",""
"Too Expensive","1986","Couple + C. GT 16 ","vocational + Abi","1","","",""
"Too Expensive","1986","Couple + C. GT 16 ","higher vocational","1","","",""
"Too Expensive","1986","Couple + C. GT 16 ","higher education","2","","",""
"Too Expensive","1986","Couple + C. LE and GT 16","in school","1","","",""
"Too Expensive","1986","Couple + C. LE and GT 16","inadequately","1","","",""
"Too Expensive","1986","Couple + C. LE and GT 16","general elemantary","8","","",""
"Too Expensive","1986","Couple + C. LE and GT 16","middle vocational","8","","",""
"Too Expensive","1986","Couple + C. LE and GT 16","vocational + Abi","","","",""
"Too Expensive","1986","Couple + C. LE and GT 16","higher vocational","1","","",""
"Too Expensive","1986","Couple + C. LE and GT 16","higher education","","","",""
"Very Inexpensive","1987","1-pers.-HH","in school","","","",""
"Very Inexpensive","1987","1-pers.-HH","inadequately","","","",""
"Very Inexpensive","1987","1-pers.-HH","general elemantary","19","","",""
"Very Inexpensive","1987","1-pers.-HH","middle vocational","22","","",""
"Very Inexpensive","1987","1-pers.-HH","vocational + Abi","3","","",""
"Very Inexpensive","1987","1-pers.-HH","higher vocational","","","",""
"Very Inexpensive","1987","1-pers.-HH","higher education","6","","",""
"Very Inexpensive","1987","(Married) couple without C. ","in school","","","",""
"Very Inexpensive","1987","(Married) couple without C. ","inadequately","","","",""
"Very Inexpensive","1987","(Married) couple without C. ","general elemantary","54","0.227306439747289","0.175251981165269","0.27936089832931"
"Very Inexpensive","1987","(Married) couple without C. ","middle vocational","97","0.203689436937175","0.167279103659188","0.240099770215163"
"Very Inexpensive","1987","(Married) couple without C. ","vocational + Abi","2","","",""
"Very Inexpensive","1987","(Married) couple without C. ","higher vocational","10","","",""
"Very Inexpensive","1987","(Married) couple without C. ","higher education","17","","",""
"Very Inexpensive","1987","Single parent ","in school","2","","",""
"Very Inexpensive","1987","Single parent ","inadequately","","","",""
"Very Inexpensive","1987","Single parent ","general elemantary","13","","",""
"Very Inexpensive","1987","Single parent ","middle vocational","21","","",""
"Very Inexpensive","1987","Single parent ","vocational + Abi","","","",""
"Very Inexpensive","1987","Single parent ","higher vocational","2","","",""
"Very Inexpensive","1987","Single parent ","higher education","1","","",""
"Very Inexpensive","1987","Couple + C. LE 16 ","in school","","","",""
"Very Inexpensive","1987","Couple + C. LE 16 ","inadequately","1","","",""
"Very Inexpensive","1987","Couple + C. LE 16 ","general elemantary","11","","",""
"Very Inexpensive","1987","Couple + C. LE 16 ","middle vocational","58","0.125904156457103","0.0957193314712786","0.156088981442928"
"Very Inexpensive","1987","Couple + C. LE 16 ","vocational + Abi","1","","",""
"Very Inexpensive","1987","Couple + C. LE 16 ","higher vocational","12","","",""
"Very Inexpensive","1987","Couple + C. LE 16 ","higher education","18","","",""
"Very Inexpensive","1987","Couple + C. GT 16 ","in school","6","","",""
"Very Inexpensive","1987","Couple + C. GT 16 ","inadequately","2","","",""
"Very Inexpensive","1987","Couple + C. GT 16 ","general elemantary","65","0.173412435193575","0.133634428063489","0.213190442323661"
"Very Inexpensive","1987","Couple + C. GT 16 ","middle vocational","114","0.17696136115186","0.147278171586822","0.206644550716897"
"Very Inexpensive","1987","Couple + C. GT 16 ","vocational + Abi","7","","",""
"Very Inexpensive","1987","Couple + C. GT 16 ","higher vocational","11","","",""
"Very Inexpensive","1987","Couple + C. GT 16 ","higher education","21","","",""
"Very Inexpensive","1987","Couple + C. LE and GT 16","in school","5","","",""
"Very Inexpensive","1987","Couple + C. LE and GT 16","inadequately","2","","",""
"Very Inexpensive","1987","Couple + C. LE and GT 16","general elemantary","20","","",""
"Very Inexpensive","1987","Couple + C. LE and GT 16","middle vocational","46","0.163102842939871","0.120057944741404","0.206147741138339"
"Very Inexpensive","1987","Couple + C. LE and GT 16","vocational + Abi","1","","",""
"Very Inexpensive","1987","Couple + C. LE and GT 16","higher vocational","9","","",""
"Very Inexpensive","1987","Couple + C. LE and GT 16","higher education","5","","",""
"Inexpensive","1987","1-pers.-HH","in school","","","",""
"Inexpensive","1987","1-pers.-HH","inadequately","1","","",""
"Inexpensive","1987","1-pers.-HH","general elemantary","39","0.47708161043382","0.371518504155345","0.582644716712295"
"Inexpensive","1987","1-pers.-HH","middle vocational","29","","",""
"Inexpensive","1987","1-pers.-HH","vocational + Abi","","","",""
"Inexpensive","1987","1-pers.-HH","higher vocational","6","","",""
"Inexpensive","1987","1-pers.-HH","higher education","9","","",""
"Inexpensive","1987","(Married) couple without C. ","in school","","","",""
"Inexpensive","1987","(Married) couple without C. ","inadequately","2","","",""
"Inexpensive","1987","(Married) couple without C. ","general elemantary","93","0.37579020025437","0.315633163694643","0.435947236814098"
"Inexpensive","1987","(Married) couple without C. ","middle vocational","192","0.423552691964585","0.378880970068437","0.468224413860733"
"Inexpensive","1987","(Married) couple without C. ","vocational + Abi","8","","",""
"Inexpensive","1987","(Married) couple without C. ","higher vocational","34","0.422454636496837","0.312836129928805","0.532073143064869"
"Inexpensive","1987","(Married) couple without C. ","higher education","31","0.35842595172031","0.260965205008194","0.455886698432426"
"Inexpensive","1987","Single parent ","in school","4","","",""
"Inexpensive","1987","Single parent ","inadequately","2","","",""
"Inexpensive","1987","Single parent ","general elemantary","18","","",""
"Inexpensive","1987","Single parent ","middle vocational","27","","",""
"Inexpensive","1987","Single parent ","vocational + Abi","","","",""
"Inexpensive","1987","Single parent ","higher vocational","5","","",""
"Inexpensive","1987","Single parent ","higher education","2","","",""
"Inexpensive","1987","Couple + C. LE 16 ","in school","","","",""
"Inexpensive","1987","Couple + C. LE 16 ","inadequately","2","","",""
"Inexpensive","1987","Couple + C. LE 16 ","general elemantary","21","","",""
"Inexpensive","1987","Couple + C. LE 16 ","middle vocational","144","0.316616828597061","0.274292679275701","0.358940977918422"
"Inexpensive","1987","Couple + C. LE 16 ","vocational + Abi","6","","",""
"Inexpensive","1987","Couple + C. LE 16 ","higher vocational","17","","",""
"Inexpensive","1987","Couple + C. LE 16 ","higher education","32","0.302381446561567","0.219158758072308","0.385604135050826"
"Inexpensive","1987","Couple + C. GT 16 ","in school","15","","",""
"Inexpensive","1987","Couple + C. GT 16 ","inadequately","9","","",""
"Inexpensive","1987","Couple + C. GT 16 ","general elemantary","137","0.387995551593404","0.336798007149783","0.439193096037025"
"Inexpensive","1987","Couple + C. GT 16 ","middle vocational","248","0.38362663718673","0.345805242750536","0.421448031622924"
"Inexpensive","1987","Couple + C. GT 16 ","vocational + Abi","7","","",""
"Inexpensive","1987","Couple + C. GT 16 ","higher vocational","25","","",""
"Inexpensive","1987","Couple + C. GT 16 ","higher education","26","","",""
"Inexpensive","1987","Couple + C. LE and GT 16","in school","7","","",""
"Inexpensive","1987","Couple + C. LE and GT 16","inadequately","3","","",""
"Inexpensive","1987","Couple + C. LE and GT 16","general elemantary","63","0.382022170166534","0.308108498208278","0.45593584212479"
"Inexpensive","1987","Couple + C. LE and GT 16","middle vocational","83","0.286687067228233","0.234000612818993","0.339373521637474"
"Inexpensive","1987","Couple + C. LE and GT 16","vocational + Abi","2","","",""
"Inexpensive","1987","Couple + C. LE and GT 16","higher vocational","5","","",""
"Inexpensive","1987","Couple + C. LE and GT 16","higher education","5","","",""
"Reasonable","1987","1-pers.-HH","in school","","","",""
"Reasonable","1987","1-pers.-HH","inadequately","","","",""
"Reasonable","1987","1-pers.-HH","general elemantary","22","","",""
"Reasonable","1987","1-pers.-HH","middle vocational","31","0.368357344871283","0.269791926531716","0.466922763210851"
"Reasonable","1987","1-pers.-HH","vocational + Abi","1","","",""
"Reasonable","1987","1-pers.-HH","higher vocational","3","","",""
"Reasonable","1987","1-pers.-HH","higher education","10","","",""
"Reasonable","1987","(Married) couple without C. ","in school","","","",""
"Reasonable","1987","(Married) couple without C. ","inadequately","3","","",""
"Reasonable","1987","(Married) couple without C. ","general elemantary","84","0.342444920196337","0.283504958373923","0.401384882018751"
"Reasonable","1987","(Married) couple without C. ","middle vocational","136","0.28775036970937","0.246822115199532","0.328678624219208"
"Reasonable","1987","(Married) couple without C. ","vocational + Abi","14","","",""
"Reasonable","1987","(Married) couple without C. ","higher vocational","26","","",""
"Reasonable","1987","(Married) couple without C. ","higher education","39","0.41228090339263","0.312237576068125","0.512324230717134"
"Reasonable","1987","Single parent ","in school","5","","",""
"Reasonable","1987","Single parent ","inadequately","","","",""
"Reasonable","1987","Single parent ","general elemantary","28","","",""
"Reasonable","1987","Single parent ","middle vocational","48","0.476467300623076","0.380013813084688","0.572920788161465"
"Reasonable","1987","Single parent ","vocational + Abi","1","","",""
"Reasonable","1987","Single parent ","higher vocational","6","","",""
"Reasonable","1987","Single parent ","higher education","1","","",""
"Reasonable","1987","Couple + C. LE 16 ","in school","","","",""
"Reasonable","1987","Couple + C. LE 16 ","inadequately","9","","",""
"Reasonable","1987","Couple + C. LE 16 ","general elemantary","37","0.431149294890786","0.322627719932726","0.539670869848846"
"Reasonable","1987","Couple + C. LE 16 ","middle vocational","187","0.41030589392258","0.365549367633888","0.455062420211271"
"Reasonable","1987","Couple + C. LE 16 ","vocational + Abi","9","","",""
"Reasonable","1987","Couple + C. LE 16 ","higher vocational","39","0.469430059933629","0.36333494276874","0.575525177098517"
"Reasonable","1987","Couple + C. LE 16 ","higher education","49","0.390596671010962","0.30219268644539","0.479000655576534"
"Reasonable","1987","Couple + C. GT 16 ","in school","17","","",""
"Reasonable","1987","Couple + C. GT 16 ","inadequately","8","","",""
"Reasonable","1987","Couple + C. GT 16 ","general elemantary","101","0.305636339470137","0.257235325955047","0.354037352985227"
"Reasonable","1987","Couple + C. GT 16 ","middle vocational","200","0.333691649387498","0.297016530887405","0.37036676788759"
"Reasonable","1987","Couple + C. GT 16 ","vocational + Abi","11","","",""
"Reasonable","1987","Couple + C. GT 16 ","higher vocational","23","","",""
"Reasonable","1987","Couple + C. GT 16 ","higher education","28","","",""
"Reasonable","1987","Couple + C. LE and GT 16","in school","14","","",""
"Reasonable","1987","Couple + C. LE and GT 16","inadequately","10","","",""
"Reasonable","1987","Couple + C. LE and GT 16","general elemantary","71","0.426451461924224","0.351217498895976","0.501685424952471"
"Reasonable","1987","Couple + C. LE and GT 16","middle vocational","122","0.444425598330159","0.386532669703079","0.50231852695724"
"Reasonable","1987","Couple + C. LE and GT 16","vocational + Abi","","","",""
"Reasonable","1987","Couple + C. LE and GT 16","higher vocational","9","","",""
"Reasonable","1987","Couple + C. LE and GT 16","higher education","17","","",""
"Slightly Expensive","1987","1-pers.-HH","in school","","","",""
"Slightly Expensive","1987","1-pers.-HH","inadequately","","","",""
"Slightly Expensive","1987","1-pers.-HH","general elemantary","4","","",""
"Slightly Expensive","1987","1-pers.-HH","middle vocational","8","","",""
"Slightly Expensive","1987","1-pers.-HH","vocational + Abi","","","",""
"Slightly Expensive","1987","1-pers.-HH","higher vocational","3","","",""
"Slightly Expensive","1987","1-pers.-HH","higher education","2","","",""
"Slightly Expensive","1987","(Married) couple without C. ","in school","","","",""
"Slightly Expensive","1987","(Married) couple without C. ","inadequately","","","",""
"Slightly Expensive","1987","(Married) couple without C. ","general elemantary","13","","",""
"Slightly Expensive","1987","(Married) couple without C. ","middle vocational","34","0.0630405566225947","0.0410685572486154","0.085012555996574"
"Slightly Expensive","1987","(Married) couple without C. ","vocational + Abi","3","","",""
"Slightly Expensive","1987","(Married) couple without C. ","higher vocational","7","","",""
"Slightly Expensive","1987","(Married) couple without C. ","higher education","5","","",""
"Slightly Expensive","1987","Single parent ","in school","2","","",""
"Slightly Expensive","1987","Single parent ","inadequately","","","",""
"Slightly Expensive","1987","Single parent ","general elemantary","3","","",""
"Slightly Expensive","1987","Single parent ","middle vocational","7","","",""
"Slightly Expensive","1987","Single parent ","vocational + Abi","","","",""
"Slightly Expensive","1987","Single parent ","higher vocational","","","",""
"Slightly Expensive","1987","Single parent ","higher education","","","",""
"Slightly Expensive","1987","Couple + C. LE 16 ","in school","","","",""
"Slightly Expensive","1987","Couple + C. LE 16 ","inadequately","2","","",""
"Slightly Expensive","1987","Couple + C. LE 16 ","general elemantary","8","","",""
"Slightly Expensive","1987","Couple + C. LE 16 ","middle vocational","63","0.119846911296179","0.0902952682459563","0.149398554346401"
"Slightly Expensive","1987","Couple + C. LE 16 ","vocational + Abi","1","","",""
"Slightly Expensive","1987","Couple + C. LE 16 ","higher vocational","11","","",""
"Slightly Expensive","1987","Couple + C. LE 16 ","higher education","14","","",""
"Slightly Expensive","1987","Couple + C. GT 16 ","in school","8","","",""
"Slightly Expensive","1987","Couple + C. GT 16 ","inadequately","2","","",""
"Slightly Expensive","1987","Couple + C. GT 16 ","general elemantary","26","","",""
"Slightly Expensive","1987","Couple + C. GT 16 ","middle vocational","58","0.0810641553972514","0.0598357068461572","0.102292603948346"
"Slightly Expensive","1987","Couple + C. GT 16 ","vocational + Abi","1","","",""
"Slightly Expensive","1987","Couple + C. GT 16 ","higher vocational","3","","",""
"Slightly Expensive","1987","Couple + C. GT 16 ","higher education","4","","",""
"Slightly Expensive","1987","Couple + C. LE and GT 16","in school","7","","",""
"Slightly Expensive","1987","Couple + C. LE and GT 16","inadequately","2","","",""
"Slightly Expensive","1987","Couple + C. LE and GT 16","general elemantary","10","","",""
"Slightly Expensive","1987","Couple + C. LE and GT 16","middle vocational","30","0.100041489300851","0.0650827154585076","0.135000263143194"
"Slightly Expensive","1987","Couple + C. LE and GT 16","vocational + Abi","1","","",""
"Slightly Expensive","1987","Couple + C. LE and GT 16","higher vocational","4","","",""
"Slightly Expensive","1987","Couple + C. LE and GT 16","higher education","3","","",""
"Too Expensive","1987","1-pers.-HH","in school","","","",""
"Too Expensive","1987","1-pers.-HH","inadequately","","","",""
"Too Expensive","1987","1-pers.-HH","general elemantary","2","","",""
"Too Expensive","1987","1-pers.-HH","middle vocational","2","","",""
"Too Expensive","1987","1-pers.-HH","vocational + Abi","","","",""
"Too Expensive","1987","1-pers.-HH","higher vocational","1","","",""
"Too Expensive","1987","1-pers.-HH","higher education","1","","",""
"Too Expensive","1987","(Married) couple without C. ","in school","","","",""
"Too Expensive","1987","(Married) couple without C. ","inadequately","","","",""
"Too Expensive","1987","(Married) couple without C. ","general elemantary","5","","",""
"Too Expensive","1987","(Married) couple without C. ","middle vocational","11","","",""
"Too Expensive","1987","(Married) couple without C. ","vocational + Abi","","","",""
"Too Expensive","1987","(Married) couple without C. ","higher vocational","1","","",""
"Too Expensive","1987","(Married) couple without C. ","higher education","1","","",""
"Too Expensive","1987","Single parent ","in school","","","",""
"Too Expensive","1987","Single parent ","inadequately","","","",""
"Too Expensive","1987","Single parent ","general elemantary","","","",""
"Too Expensive","1987","Single parent ","middle vocational","","","",""
"Too Expensive","1987","Single parent ","vocational + Abi","","","",""
"Too Expensive","1987","Single parent ","higher vocational","","","",""
"Too Expensive","1987","Single parent ","higher education","","","",""
"Too Expensive","1987","Couple + C. LE 16 ","in school","","","",""
"Too Expensive","1987","Couple + C. LE 16 ","inadequately","","","",""
"Too Expensive","1987","Couple + C. LE 16 ","general elemantary","3","","",""
"Too Expensive","1987","Couple + C. LE 16 ","middle vocational","12","","",""
"Too Expensive","1987","Couple + C. LE 16 ","vocational + Abi","2","","",""
"Too Expensive","1987","Couple + C. LE 16 ","higher vocational","6","","",""
"Too Expensive","1987","Couple + C. LE 16 ","higher education","4","","",""
"Too Expensive","1987","Couple + C. GT 16 ","in school","3","","",""
"Too Expensive","1987","Couple + C. GT 16 ","inadequately","1","","",""
"Too Expensive","1987","Couple + C. GT 16 ","general elemantary","19","","",""
"Too Expensive","1987","Couple + C. GT 16 ","middle vocational","15","","",""
"Too Expensive","1987","Couple + C. GT 16 ","vocational + Abi","","","",""
"Too Expensive","1987","Couple + C. GT 16 ","higher vocational","3","","",""
"Too Expensive","1987","Couple + C. GT 16 ","higher education","3","","",""
"Too Expensive","1987","Couple + C. LE and GT 16","in school","1","","",""
"Too Expensive","1987","Couple + C. LE and GT 16","inadequately","","","",""
"Too Expensive","1987","Couple + C. LE and GT 16","general elemantary","2","","",""
"Too Expensive","1987","Couple + C. LE and GT 16","middle vocational","2","","",""
"Too Expensive","1987","Couple + C. LE and GT 16","vocational + Abi","","","",""
"Too Expensive","1987","Couple + C. LE and GT 16","higher vocational","1","","",""
"Too Expensive","1987","Couple + C. LE and GT 16","higher education","","","",""
"Very Inexpensive","1988","1-pers.-HH","in school","","","",""
"Very Inexpensive","1988","1-pers.-HH","inadequately","","","",""
"Very Inexpensive","1988","1-pers.-HH","general elemantary","15","","",""
"Very Inexpensive","1988","1-pers.-HH","middle vocational","17","","",""
"Very Inexpensive","1988","1-pers.-HH","vocational + Abi","1","","",""
"Very Inexpensive","1988","1-pers.-HH","higher vocational","","","",""
"Very Inexpensive","1988","1-pers.-HH","higher education","8","","",""
"Very Inexpensive","1988","(Married) couple without C. ","in school","","","",""
"Very Inexpensive","1988","(Married) couple without C. ","inadequately","","","",""
"Very Inexpensive","1988","(Married) couple without C. ","general elemantary","44","0.204251717451256","0.151099343327439","0.257404091575074"
"Very Inexpensive","1988","(Married) couple without C. ","middle vocational","91","0.19592120919803","0.159330662078443","0.232511756317616"
"Very Inexpensive","1988","(Married) couple without C. ","vocational + Abi","6","","",""
"Very Inexpensive","1988","(Married) couple without C. ","higher vocational","12","","",""
"Very Inexpensive","1988","(Married) couple without C. ","higher education","9","","",""
"Very Inexpensive","1988","Single parent ","in school","1","","",""
"Very Inexpensive","1988","Single parent ","inadequately","","","",""
"Very Inexpensive","1988","Single parent ","general elemantary","9","","",""
"Very Inexpensive","1988","Single parent ","middle vocational","19","","",""
"Very Inexpensive","1988","Single parent ","vocational + Abi","","","",""
"Very Inexpensive","1988","Single parent ","higher vocational","3","","",""
"Very Inexpensive","1988","Single parent ","higher education","1","","",""
"Very Inexpensive","1988","Couple + C. LE 16 ","in school","","","",""
"Very Inexpensive","1988","Couple + C. LE 16 ","inadequately","2","","",""
"Very Inexpensive","1988","Couple + C. LE 16 ","general elemantary","7","","",""
"Very Inexpensive","1988","Couple + C. LE 16 ","middle vocational","61","0.127810694199241","0.0975291075969692","0.158092280801513"
"Very Inexpensive","1988","Couple + C. LE 16 ","vocational + Abi","1","","",""
"Very Inexpensive","1988","Couple + C. LE 16 ","higher vocational","11","","",""
"Very Inexpensive","1988","Couple + C. LE 16 ","higher education","15","","",""
"Very Inexpensive","1988","Couple + C. GT 16 ","in school","4","","",""
"Very Inexpensive","1988","Couple + C. GT 16 ","inadequately","1","","",""
"Very Inexpensive","1988","Couple + C. GT 16 ","general elemantary","96","0.266379282280602","0.220132603548907","0.312625961012298"
"Very Inexpensive","1988","Couple + C. GT 16 ","middle vocational","142","0.22202352241231","0.190364184840781","0.253682859983839"
"Very Inexpensive","1988","Couple + C. GT 16 ","vocational + Abi","6","","",""
"Very Inexpensive","1988","Couple + C. GT 16 ","higher vocational","10","","",""
"Very Inexpensive","1988","Couple + C. GT 16 ","higher education","25","","",""
"Very Inexpensive","1988","Couple + C. LE and GT 16","in school","4","","",""
"Very Inexpensive","1988","Couple + C. LE and GT 16","inadequately","2","","",""
"Very Inexpensive","1988","Couple + C. LE and GT 16","general elemantary","22","","",""
"Very Inexpensive","1988","Couple + C. LE and GT 16","middle vocational","25","","",""
"Very Inexpensive","1988","Couple + C. LE and GT 16","vocational + Abi","1","","",""
"Very Inexpensive","1988","Couple + C. LE and GT 16","higher vocational","7","","",""
"Very Inexpensive","1988","Couple + C. LE and GT 16","higher education","6","","",""
"Inexpensive","1988","1-pers.-HH","in school","","","",""
"Inexpensive","1988","1-pers.-HH","inadequately","","","",""
"Inexpensive","1988","1-pers.-HH","general elemantary","35","0.468659728974686","0.359986951597999","0.577332506351372"
"Inexpensive","1988","1-pers.-HH","middle vocational","41","0.403974927114689","0.307316446504798","0.500633407724579"
"Inexpensive","1988","1-pers.-HH","vocational + Abi","2","","",""
"Inexpensive","1988","1-pers.-HH","higher vocational","3","","",""
"Inexpensive","1988","1-pers.-HH","higher education","4","","",""
"Inexpensive","1988","(Married) couple without C. ","in school","","","",""
"Inexpensive","1988","(Married) couple without C. ","inadequately","1","","",""
"Inexpensive","1988","(Married) couple without C. ","general elemantary","86","0.38720012291471","0.322978831837871","0.45142141399155"
"Inexpensive","1988","(Married) couple without C. ","middle vocational","177","0.39155089602134","0.346553735138208","0.436548056904472"
"Inexpensive","1988","(Married) couple without C. ","vocational + Abi","10","","",""
"Inexpensive","1988","(Married) couple without C. ","higher vocational","28","","",""
"Inexpensive","1988","(Married) couple without C. ","higher education","38","0.44310616395399","0.336875829406557","0.549336498501422"
"Inexpensive","1988","Single parent ","in school","2","","",""
"Inexpensive","1988","Single parent ","inadequately","1","","",""
"Inexpensive","1988","Single parent ","general elemantary","12","","",""
"Inexpensive","1988","Single parent ","middle vocational","37","0.316584194057547","0.229660360405449","0.403508027709645"
"Inexpensive","1988","Single parent ","vocational + Abi","1","","",""
"Inexpensive","1988","Single parent ","higher vocational","4","","",""
"Inexpensive","1988","Single parent ","higher education","1","","",""
"Inexpensive","1988","Couple + C. LE 16 ","in school","","","",""
"Inexpensive","1988","Couple + C. LE 16 ","inadequately","4","","",""
"Inexpensive","1988","Couple + C. LE 16 ","general elemantary","23","","",""
"Inexpensive","1988","Couple + C. LE 16 ","middle vocational","140","0.304631367294731","0.262888285511922","0.346374449077541"
"Inexpensive","1988","Couple + C. LE 16 ","vocational + Abi","2","","",""
"Inexpensive","1988","Couple + C. LE 16 ","higher vocational","22","","",""
"Inexpensive","1988","Couple + C. LE 16 ","higher education","33","0.286735599678511","0.20298167597218","0.370489523384842"
"Inexpensive","1988","Couple + C. GT 16 ","in school","11","","",""
"Inexpensive","1988","Couple + C. GT 16 ","inadequately","12","","",""
"Inexpensive","1988","Couple + C. GT 16 ","general elemantary","120","0.353303533215219","0.303297918868425","0.403309147562012"
"Inexpensive","1988","Couple + C. GT 16 ","middle vocational","242","0.349184399795389","0.312870282668827","0.385498516921951"
"Inexpensive","1988","Couple + C. GT 16 ","vocational + Abi","13","","",""
"Inexpensive","1988","Couple + C. GT 16 ","higher vocational","25","","",""
"Inexpensive","1988","Couple + C. GT 16 ","higher education","19","","",""
"Inexpensive","1988","Couple + C. LE and GT 16","in school","6","","",""
"Inexpensive","1988","Couple + C. LE and GT 16","inadequately","3","","",""
"Inexpensive","1988","Couple + C. LE and GT 16","general elemantary","59","0.461526466720519","0.379532026476221","0.543520906964818"
"Inexpensive","1988","Couple + C. LE and GT 16","middle vocational","71","0.331880072176406","0.268790293329916","0.394969851022896"
"Inexpensive","1988","Couple + C. LE and GT 16","vocational + Abi","1","","",""
"Inexpensive","1988","Couple + C. LE and GT 16","higher vocational","8","","",""
"Inexpensive","1988","Couple + C. LE and GT 16","higher education","5","","",""
"Reasonable","1988","1-pers.-HH","in school","","","",""
"Reasonable","1988","1-pers.-HH","inadequately","1","","",""
"Reasonable","1988","1-pers.-HH","general elemantary","21","","",""
"Reasonable","1988","1-pers.-HH","middle vocational","32","0.358509024937231","0.264042962018473","0.452975087855989"
"Reasonable","1988","1-pers.-HH","vocational + Abi","2","","",""
"Reasonable","1988","1-pers.-HH","higher vocational","5","","",""
"Reasonable","1988","1-pers.-HH","higher education","13","","",""
