"hlf0094","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Too Expensive","1986","Couple + C. LE 16 ","East Germany","","","","","5"
"Too Expensive","1986","(Married) couple without C. ","East Germany","","","","","5"
"Too Expensive","1986","Single parent ","West Germany","2","","","","5"
"Too Expensive","1986","Single parent ","East Germany","","","","","5"
"Too Expensive","1986","Couple + C. LE 16 ","West Germany","28","","","","5"
"Too Expensive","1986","Couple + C. GT 16 ","West Germany","40","0.0280656424744483","0.0186699521767725","0.0374613327721241","5"
"Too Expensive","1986","Couple + C. GT 16 ","East Germany","","","","","5"
"Too Expensive","1986","Couple + C. LE and GT 16","West Germany","19","","","","5"
"Too Expensive","1986","Couple + C. LE and GT 16","East Germany","","","","","5"
"Very Inexpensive","1986","1-pers.-HH","West Germany","46","0.226904175431165","0.171559651209022","0.282248699653309","1"
"Very Inexpensive","1986","1-pers.-HH","East Germany","","","","","1"
"Very Inexpensive","1986","(Married) couple without C. ","West Germany","178","0.201423262266356","0.174984866532154","0.227861658000558","1"
"Very Inexpensive","1986","(Married) couple without C. ","East Germany","","","","","1"
"Very Inexpensive","1986","Single parent ","West Germany","37","0.213540458044668","0.155422588552877","0.27165832753646","1"
"Very Inexpensive","1986","Single parent ","East Germany","","","","","1"
"Very Inexpensive","1986","Couple + C. LE 16 ","West Germany","105","0.142130171602794","0.117933427328931","0.166326915876658","1"
"Very Inexpensive","1986","Couple + C. LE 16 ","East Germany","","","","","1"
"Very Inexpensive","1986","Couple + C. GT 16 ","West Germany","230","0.188229841645627","0.165992467097922","0.210467216193332","1"
"Very Inexpensive","1986","Couple + C. GT 16 ","East Germany","","","","","1"
"Very Inexpensive","1986","Couple + C. LE and GT 16","West Germany","91","0.132170414138167","0.106583087672887","0.157757740603447","1"
"Very Inexpensive","1986","Couple + C. LE and GT 16","East Germany","","","","","1"
"Inexpensive","1987","1-pers.-HH","East Germany","","","","","2"
"Inexpensive","1987","1-pers.-HH","West Germany","84","0.379342860751863","0.315800123808666","0.44288559769506","2"
"Inexpensive","1987","(Married) couple without C. ","West Germany","363","0.40204722808246","0.370467049939294","0.433627406225626","2"
"Inexpensive","1987","(Married) couple without C. ","East Germany","","","","","2"
"Inexpensive","1987","Single parent ","West Germany","58","0.27916530924566","0.216839185577689","0.341491432913631","2"
"Inexpensive","1987","Single parent ","East Germany","","","","","2"
"Inexpensive","1987","Couple + C. LE 16 ","West Germany","222","0.299662869465537","0.2675342091294","0.331791529801673","2"
"Inexpensive","1987","Couple + C. LE 16 ","East Germany","","","","","2"
"Inexpensive","1987","Couple + C. GT 16 ","West Germany","472","0.375864177340451","0.348905891647461","0.40282246303344","2"
"Inexpensive","1987","Couple + C. GT 16 ","East Germany","","","","","2"
"Inexpensive","1987","Couple + C. LE and GT 16","West Germany","170","0.292790838028274","0.255499947287376","0.330081728769172","2"
"Inexpensive","1987","Couple + C. LE and GT 16","East Germany","","","","","2"
"Reasonable","1987","1-pers.-HH","East Germany","","","","","3"
"Reasonable","1987","1-pers.-HH","West Germany","67","0.316227859105753","0.255333109798429","0.377122608413078","3"
"Reasonable","1987","(Married) couple without C. ","East Germany","","","","","3"
"Reasonable","1987","Single parent ","West Germany","90","0.46503956505043","0.395740506226209","0.53433862387465","3"
"Reasonable","1987","Single parent ","East Germany","","","","","3"
"Reasonable","1987","(Married) couple without C. ","West Germany","302","0.326803074876647","0.296592657417231","0.357013492336064","3"
"Reasonable","1987","Couple + C. LE 16 ","East Germany","","","","","3"
"Reasonable","1987","Couple + C. LE 16 ","West Germany","331","0.418280356289997","0.383685369154197","0.452875343425797","3"
"Reasonable","1987","Couple + C. GT 16 ","West Germany","393","0.330104729676136","0.303930941844387","0.356278517507885","3"
"Reasonable","1987","Couple + C. GT 16 ","East Germany","","","","","3"
"Reasonable","1987","Couple + C. LE and GT 16","West Germany","250","0.440171358632322","0.399490648682532","0.480852068582112","3"
"Reasonable","1987","Couple + C. LE and GT 16","East Germany","","","","","3"
"Slightly Expensive","1987","1-pers.-HH","East Germany","","","","","4"
"Slightly Expensive","1987","1-pers.-HH","West Germany","17","","","","4"
"Slightly Expensive","1987","(Married) couple without C. ","East Germany","","","","","4"
"Slightly Expensive","1987","Single parent ","West Germany","12","","","","4"
"Slightly Expensive","1987","Single parent ","East Germany","","","","","4"
"Slightly Expensive","1987","(Married) couple without C. ","West Germany","62","0.0550713291204131","0.04037851819291","0.0697641400479162","4"
"Slightly Expensive","1987","Couple + C. LE 16 ","East Germany","","","","","4"
"Slightly Expensive","1987","Couple + C. LE 16 ","West Germany","100","0.1179192387013","0.0953004636006846","0.140538013801916","4"
"Slightly Expensive","1987","Couple + C. GT 16 ","West Germany","102","0.0766611315390426","0.0618528241803633","0.091469438897722","4"
"Slightly Expensive","1987","Couple + C. GT 16 ","East Germany","","","","","4"
"Slightly Expensive","1987","Couple + C. LE and GT 16","West Germany","57","0.0946592653251701","0.0706688552235245","0.118649675426816","4"
"Slightly Expensive","1987","Couple + C. LE and GT 16","East Germany","","","","","4"
"Too Expensive","1987","1-pers.-HH","West Germany","6","","","","5"
"Too Expensive","1987","1-pers.-HH","East Germany","","","","","5"
"Too Expensive","1987","(Married) couple without C. ","West Germany","18","","","","5"
"Too Expensive","1987","Couple + C. LE 16 ","East Germany","","","","","5"
"Too Expensive","1987","(Married) couple without C. ","East Germany","","","","","5"
"Too Expensive","1987","Single parent ","West Germany","","","","","5"
"Too Expensive","1987","Single parent ","East Germany","","","","","5"
"Too Expensive","1987","Couple + C. LE 16 ","West Germany","27","","","","5"
"Too Expensive","1987","Couple + C. GT 16 ","West Germany","45","0.0373698538545644","0.0268131660754397","0.047926541633689","5"
"Too Expensive","1987","Couple + C. GT 16 ","East Germany","","","","","5"
"Too Expensive","1987","Couple + C. LE and GT 16","West Germany","6","","","","5"
"Too Expensive","1987","Couple + C. LE and GT 16","East Germany","","","","","5"
"Very Inexpensive","1987","1-pers.-HH","West Germany","50","0.20597332463656","0.153013429344389","0.258933219928732","1"
"Very Inexpensive","1987","1-pers.-HH","East Germany","","","","","1"
"Very Inexpensive","1987","(Married) couple without C. ","West Germany","181","0.198779757750724","0.173075525737018","0.22448398976443","1"
"Very Inexpensive","1987","(Married) couple without C. ","East Germany","","","","","1"
"Very Inexpensive","1987","Single parent ","West Germany","39","0.202930907589036","0.147052549536821","0.258809265641252","1"
"Very Inexpensive","1987","Single parent ","East Germany","","","","","1"
"Very Inexpensive","1987","Couple + C. LE 16 ","West Germany","101","0.126861088456402","0.103519604554671","0.150202572358132","1"
"Very Inexpensive","1987","Couple + C. LE 16 ","East Germany","","","","","1"
"Very Inexpensive","1987","Couple + C. GT 16 ","West Germany","228","0.180000107589806","0.158616522039059","0.201383693140553","1"
"Very Inexpensive","1987","Couple + C. GT 16 ","East Germany","","","","","1"
"Very Inexpensive","1987","Couple + C. LE and GT 16","West Germany","89","0.162656989466178","0.132413065237069","0.192900913695287","1"
"Very Inexpensive","1987","Couple + C. LE and GT 16","East Germany","","","","","1"
"Inexpensive","1988","1-pers.-HH","East Germany","","","","","2"
"Inexpensive","1988","1-pers.-HH","West Germany","85","0.389544006725485","0.325251938249761","0.453836075201209","2"
"Inexpensive","1988","(Married) couple without C. ","West Germany","342","0.387447390480156","0.355094202524504","0.419800578435808","2"
"Inexpensive","1988","(Married) couple without C. ","East Germany","","","","","2"
"Inexpensive","1988","Single parent ","West Germany","58","0.281901265220433","0.219545920212447","0.344256610228419","2"
"Inexpensive","1988","Single parent ","East Germany","","","","","2"
"Inexpensive","1988","Couple + C. LE 16 ","West Germany","224","0.296951487599014","0.264657600653499","0.329245374544529","2"
"Inexpensive","1988","Couple + C. LE 16 ","East Germany","","","","","2"
"Inexpensive","1988","Couple + C. GT 16 ","West Germany","450","0.348493632210933","0.322246129208716","0.37474113521315","2"
"Inexpensive","1988","Couple + C. GT 16 ","East Germany","","","","","2"
"Inexpensive","1988","Couple + C. LE and GT 16","East Germany","","","","","2"
"Inexpensive","1988","Couple + C. LE and GT 16","West Germany","154","0.360857200217303","0.316435870105724","0.405278530328881","2"
"Reasonable","1988","1-pers.-HH","East Germany","","","","","3"
"Reasonable","1988","1-pers.-HH","West Germany","74","0.353134404417562","0.290121572750848","0.416147236084276","3"
"Reasonable","1988","(Married) couple without C. ","West Germany","294","0.348512922931041","0.316868195485476","0.380157650376606","3"
"Reasonable","1988","(Married) couple without C. ","East Germany","","","","","3"
"Reasonable","1988","Single parent ","West Germany","89","0.435748547208043","0.367027873247276","0.504469221168811","3"
"Reasonable","1988","Single parent ","East Germany","","","","","3"
"Reasonable","1988","Couple + C. LE 16 ","West Germany","350","0.447268824673074","0.412126845624946","0.482410803721202","3"
"Reasonable","1988","Couple + C. LE 16 ","East Germany","","","","","3"
"Reasonable","1988","Couple + C. GT 16 ","West Germany","440","0.345331341635308","0.319139863362496","0.371522819908119","3"
"Reasonable","1988","Couple + C. GT 16 ","East Germany","","","","","3"
"Reasonable","1988","Couple + C. LE and GT 16","West Germany","189","0.417473223336758","0.371859326117177","0.463087120556339","3"
"Reasonable","1988","Couple + C. LE and GT 16","East Germany","","","","","3"
"Slightly Expensive","1988","1-pers.-HH","East Germany","","","","","4"
"Slightly Expensive","1988","1-pers.-HH","West Germany","13","","","","4"
"Slightly Expensive","1988","(Married) couple without C. ","West Germany","58","0.0613203193270442","0.0453872323882574","0.0772534062658309","4"
"Slightly Expensive","1988","(Married) couple without C. ","East Germany","","","","","4"
"Slightly Expensive","1988","Single parent ","West Germany","18","","","","4"
"Slightly Expensive","1988","Single parent ","East Germany","","","","","4"
"Slightly Expensive","1988","Couple + C. LE 16 ","East Germany","","","","","4"
"Slightly Expensive","1988","Couple + C. LE 16 ","West Germany","78","0.10317686170149","0.0816773062322108","0.124676417170769","4"
"Slightly Expensive","1988","Couple + C. GT 16 ","West Germany","80","0.0665042927942","0.0527792963529057","0.0802292892354943","4"
"Slightly Expensive","1988","Couple + C. GT 16 ","East Germany","","","","","4"
"Slightly Expensive","1988","Couple + C. LE and GT 16","East Germany","","","","","4"
"Slightly Expensive","1988","Couple + C. LE and GT 16","West Germany","32","0.0609518301264229","0.0388228075981867","0.083080852654659","4"
"Too Expensive","1988","1-pers.-HH","West Germany","8","","","","5"
"Too Expensive","1988","1-pers.-HH","East Germany","","","","","5"
"Too Expensive","1988","(Married) couple without C. ","West Germany","14","","","","5"
"Too Expensive","1988","(Married) couple without C. ","East Germany","","","","","5"
"Too Expensive","1988","Single parent ","West Germany","","","","","5"
"Too Expensive","1988","Single parent ","East Germany","","","","","5"
"Too Expensive","1988","Couple + C. LE 16 ","West Germany","20","","","","5"
"Too Expensive","1988","Couple + C. LE 16 ","East Germany","","","","","5"
"Too Expensive","1988","Couple + C. GT 16 ","West Germany","9","","","","5"
"Too Expensive","1988","Couple + C. GT 16 ","East Germany","","","","","5"
"Too Expensive","1988","Couple + C. LE and GT 16","West Germany","6","","","","5"
"Too Expensive","1988","Couple + C. LE and GT 16","East Germany","","","","","5"
"Very Inexpensive","1988","1-pers.-HH","West Germany","41","0.164669662806985","0.115772024992591","0.213567300621378","1"
"Very Inexpensive","1988","1-pers.-HH","East Germany","","","","","1"
"Very Inexpensive","1988","(Married) couple without C. ","West Germany","163","0.188461087467727","0.162489138895504","0.21443303603995","1"
"Very Inexpensive","1988","(Married) couple without C. ","East Germany","","","","","1"
"Very Inexpensive","1988","Single parent ","West Germany","35","0.200047911025631","0.144606778667411","0.255489043383851","1"
"Very Inexpensive","1988","Single parent ","East Germany","","","","","1"
"Very Inexpensive","1988","Couple + C. LE 16 ","West Germany","97","0.128036539975236","0.104420828791677","0.151652251158796","1"
"Very Inexpensive","1988","Couple + C. LE 16 ","East Germany","","","","","1"
"Very Inexpensive","1988","Couple + C. GT 16 ","West Germany","287","0.232096823357264","0.208841677461887","0.255351969252642","1"
"Very Inexpensive","1988","Couple + C. GT 16 ","East Germany","","","","","1"
"Very Inexpensive","1988","Couple + C. LE and GT 16","West Germany","68","0.149094974098787","0.116149408567345","0.18204053963023","1"
"Very Inexpensive","1988","Couple + C. LE and GT 16","East Germany","","","","","1"
"Inexpensive","1989","1-pers.-HH","East Germany","","","","","2"
"Inexpensive","1989","1-pers.-HH","West Germany","85","0.392192797521266","0.327676493682409","0.456709101360122","2"
"Inexpensive","1989","(Married) couple without C. ","East Germany","","","","","2"
"Inexpensive","1989","(Married) couple without C. ","West Germany","320","0.381305369654394","0.348881182904786","0.413729556404003","2"
"Inexpensive","1989","Single parent ","West Germany","88","0.421697789341279","0.352912814259207","0.490482764423351","2"
"Inexpensive","1989","Single parent ","East Germany","","","","","2"
"Inexpensive","1989","Couple + C. LE 16 ","East Germany","","","","","2"
