"hlf0094","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence"
"Very Inexpensive","1988","Baden-Württemberg","Employed","69","0.144830875218564","0.114287319997057","0.175374430440071"
"Very Inexpensive","1988","Bavaria","Not Employed","57","0.24637384569242","0.191398575584481","0.30134911580036"
"Very Inexpensive","1988","Bavaria","Employed","74","0.143548436319439","0.113411641899755","0.173685230739123"
"Very Inexpensive","1988","Berlin","Not Employed","1","","",""
"Very Inexpensive","1988","Berlin","Employed","1","","",""
"Very Inexpensive","1988","Brandenburg","Not Employed","","","",""
"Very Inexpensive","1988","Brandenburg","Employed","","","",""
"Very Inexpensive","1988","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Very Inexpensive","1988","Mecklenburg-Western Pomerania","Employed","","","",""
"Very Inexpensive","1988","Saxony","Not Employed","","","",""
"Very Inexpensive","1988","Saxony","Employed","","","",""
"Very Inexpensive","1988","Saxony-Anhalt","Not Employed","","","",""
"Very Inexpensive","1988","Saxony-Anhalt","Employed","","","",""
"Very Inexpensive","1988","Thuringia","Not Employed","","","",""
"Very Inexpensive","1988","Thuringia","Employed","","","",""
"Inexpensive","1988","Schleswig-Holstein","Not Employed","21","","",""
"Inexpensive","1988","Schleswig-Holstein","Employed","34","0.287170341755009","0.2051884693482","0.369152214161819"
"Inexpensive","1988","Hamburg","Not Employed","4","","",""
"Inexpensive","1988","Hamburg","Employed","9","","",""
"Inexpensive","1988","Lower Saxony","Not Employed","77","0.394251623084728","0.327355024688371","0.461148221481084"
"Inexpensive","1988","Lower Saxony","Employed","85","0.280840582459008","0.230973574339108","0.330707590578909"
"Inexpensive","1988","Bremen","Not Employed","4","","",""
"Inexpensive","1988","Bremen","Employed","3","","",""
"Inexpensive","1988","North Rhine-Westphalia","Not Employed","144","0.384488266541235","0.336020576469333","0.432955956613137"
"Inexpensive","1988","North Rhine-Westphalia","Employed","199","0.345272442312442","0.305787476866717","0.384757407758167"
"Inexpensive","1988","Hesse","Not Employed","69","0.55753486091569","0.475842873408408","0.639226848422972"
"Inexpensive","1988","Hesse","Employed","73","0.384286867813726","0.3184975438483","0.450076191779152"
"Inexpensive","1988","Rhineland-Palatinate,Saarland","Not Employed","75","0.427307152870369","0.353378153450089","0.501236152290649"
"Inexpensive","1988","Rhineland-Palatinate,Saarland","Employed","89","0.382786909315517","0.318557658918686","0.447016159712347"
"Inexpensive","1988","Baden-Württemberg","Not Employed","72","0.273746416560009","0.221889428748401","0.325603404371618"
"Inexpensive","1988","Baden-Württemberg","Employed","166","0.322184922412872","0.281627418213547","0.362742426612197"
"Inexpensive","1988","Bavaria","Not Employed","83","0.342421393767151","0.281880842315186","0.402961945219115"
"Inexpensive","1988","Bavaria","Employed","175","0.332423935735415","0.291934386569406","0.372913484901425"
"Inexpensive","1988","Berlin","Not Employed","3","","",""
"Inexpensive","1988","Berlin","Employed","2","","",""
"Inexpensive","1988","Brandenburg","Not Employed","","","",""
"Inexpensive","1988","Brandenburg","Employed","","","",""
"Inexpensive","1988","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Inexpensive","1988","Mecklenburg-Western Pomerania","Employed","","","",""
"Inexpensive","1988","Saxony","Not Employed","","","",""
"Inexpensive","1988","Saxony","Employed","","","",""
"Inexpensive","1988","Saxony-Anhalt","Not Employed","","","",""
"Inexpensive","1988","Saxony-Anhalt","Employed","","","",""
"Inexpensive","1988","Thuringia","Not Employed","","","",""
"Inexpensive","1988","Thuringia","Employed","","","",""
"Reasonable","1988","Schleswig-Holstein","Not Employed","24","","",""
"Reasonable","1988","Schleswig-Holstein","Employed","43","0.359485955056995","0.272537783732155","0.446434126381834"
"Reasonable","1988","Hamburg","Not Employed","5","","",""
"Reasonable","1988","Hamburg","Employed","13","","",""
"Reasonable","1988","Lower Saxony","Not Employed","67","0.322058029710813","0.258094195796991","0.386021863624635"
"Reasonable","1988","Lower Saxony","Employed","135","0.43426340165054","0.379264432902081","0.489262370398998"
"Reasonable","1988","Bremen","Not Employed","4","","",""
"Reasonable","1988","Bremen","Employed","4","","",""
"Reasonable","1988","North Rhine-Westphalia","Not Employed","130","0.331437093215382","0.284538015428716","0.378336171002047"
"Reasonable","1988","North Rhine-Westphalia","Employed","215","0.390488355880649","0.349973384091409","0.431003327669888"
"Reasonable","1988","Hesse","Not Employed","42","0.246392551367725","0.175518004164543","0.317267098570906"
"Reasonable","1988","Hesse","Employed","77","0.370264838066427","0.304955745268308","0.435573930864546"
"Reasonable","1988","Rhineland-Palatinate,Saarland","Not Employed","52","0.303006156114988","0.234327140026588","0.371685172203387"
"Reasonable","1988","Rhineland-Palatinate,Saarland","Employed","66","0.301448185419566","0.240810530086567","0.362085840752565"
"Reasonable","1988","Baden-Württemberg","Not Employed","124","0.414223679048977","0.35693454102773","0.471512817070225"
"Reasonable","1988","Baden-Württemberg","Employed","228","0.443874086332634","0.400754015579719","0.486994157085549"
"Reasonable","1988","Bavaria","Not Employed","80","0.345460155183799","0.284792233703383","0.406128076664216"
"Reasonable","1988","Bavaria","Employed","223","0.429034610024063","0.386494611064252","0.471574608983874"
"Reasonable","1988","Berlin","Not Employed","2","","",""
"Reasonable","1988","Berlin","Employed","7","","",""
"Reasonable","1988","Brandenburg","Not Employed","","","",""
"Reasonable","1988","Brandenburg","Employed","","","",""
"Reasonable","1988","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Reasonable","1988","Mecklenburg-Western Pomerania","Employed","","","",""
"Reasonable","1988","Saxony","Not Employed","","","",""
"Reasonable","1988","Saxony","Employed","","","",""
"Reasonable","1988","Saxony-Anhalt","Not Employed","","","",""
"Reasonable","1988","Saxony-Anhalt","Employed","","","",""
"Reasonable","1988","Thuringia","Not Employed","","","",""
"Reasonable","1988","Thuringia","Employed","","","",""
"Slightly Expensive","1988","Schleswig-Holstein","Not Employed","6","","",""
"Slightly Expensive","1988","Schleswig-Holstein","Employed","14","","",""
"Slightly Expensive","1988","Hamburg","Not Employed","1","","",""
"Slightly Expensive","1988","Hamburg","Employed","","","",""
"Slightly Expensive","1988","Lower Saxony","Not Employed","5","","",""
"Slightly Expensive","1988","Lower Saxony","Employed","15","","",""
"Slightly Expensive","1988","Bremen","Not Employed","3","","",""
"Slightly Expensive","1988","Bremen","Employed","4","","",""
"Slightly Expensive","1988","North Rhine-Westphalia","Not Employed","35","0.0833831500246837","0.0558392346329896","0.110927065416378"
"Slightly Expensive","1988","North Rhine-Westphalia","Employed","44","0.0875054167831577","0.0640386579681331","0.110972175598182"
"Slightly Expensive","1988","Hesse","Not Employed","11","","",""
"Slightly Expensive","1988","Hesse","Employed","29","","",""
"Slightly Expensive","1988","Rhineland-Palatinate,Saarland","Not Employed","9","","",""
"Slightly Expensive","1988","Rhineland-Palatinate,Saarland","Employed","23","","",""
"Slightly Expensive","1988","Baden-Württemberg","Not Employed","17","","",""
"Slightly Expensive","1988","Baden-Württemberg","Employed","44","0.0838342951450342","0.0597817589463301","0.107886831343738"
"Slightly Expensive","1988","Bavaria","Not Employed","15","","",""
"Slightly Expensive","1988","Bavaria","Employed","40","0.0812914363889583","0.0578028056636465","0.10478006711427"
"Slightly Expensive","1988","Berlin","Not Employed","1","","",""
"Slightly Expensive","1988","Berlin","Employed","5","","",""
"Slightly Expensive","1988","Brandenburg","Not Employed","","","",""
"Slightly Expensive","1988","Brandenburg","Employed","","","",""
"Slightly Expensive","1988","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Slightly Expensive","1988","Mecklenburg-Western Pomerania","Employed","","","",""
"Slightly Expensive","1988","Saxony","Not Employed","","","",""
"Slightly Expensive","1988","Saxony","Employed","","","",""
"Slightly Expensive","1988","Saxony-Anhalt","Not Employed","","","",""
"Slightly Expensive","1988","Saxony-Anhalt","Employed","","","",""
"Slightly Expensive","1988","Thuringia","Not Employed","","","",""
"Slightly Expensive","1988","Thuringia","Employed","","","",""
"Too Expensive","1988","Schleswig-Holstein","Not Employed","2","","",""
"Too Expensive","1988","Schleswig-Holstein","Employed","4","","",""
"Too Expensive","1988","Hamburg","Not Employed","","","",""
"Too Expensive","1988","Hamburg","Employed","","","",""
"Too Expensive","1988","Lower Saxony","Not Employed","3","","",""
"Too Expensive","1988","Lower Saxony","Employed","10","","",""
"Too Expensive","1988","Bremen","Not Employed","","","",""
"Too Expensive","1988","Bremen","Employed","","","",""
"Too Expensive","1988","North Rhine-Westphalia","Not Employed","4","","",""
"Too Expensive","1988","North Rhine-Westphalia","Employed","12","","",""
"Too Expensive","1988","Hesse","Not Employed","2","","",""
"Too Expensive","1988","Hesse","Employed","3","","",""
"Too Expensive","1988","Rhineland-Palatinate,Saarland","Not Employed","2","","",""
"Too Expensive","1988","Rhineland-Palatinate,Saarland","Employed","1","","",""
"Too Expensive","1988","Baden-Württemberg","Not Employed","2","","",""
"Too Expensive","1988","Baden-Württemberg","Employed","3","","",""
"Too Expensive","1988","Bavaria","Not Employed","1","","",""
"Too Expensive","1988","Bavaria","Employed","8","","",""
"Too Expensive","1988","Berlin","Not Employed","","","",""
"Too Expensive","1988","Berlin","Employed","","","",""
"Too Expensive","1988","Brandenburg","Not Employed","","","",""
"Too Expensive","1988","Brandenburg","Employed","","","",""
"Too Expensive","1988","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Too Expensive","1988","Mecklenburg-Western Pomerania","Employed","","","",""
"Too Expensive","1988","Saxony","Not Employed","","","",""
"Too Expensive","1988","Saxony","Employed","","","",""
"Too Expensive","1988","Saxony-Anhalt","Not Employed","","","",""
"Too Expensive","1988","Saxony-Anhalt","Employed","","","",""
"Too Expensive","1988","Thuringia","Not Employed","","","",""
"Too Expensive","1988","Thuringia","Employed","","","",""
"Very Inexpensive","1989","Schleswig-Holstein","Not Employed","18","","",""
"Very Inexpensive","1989","Schleswig-Holstein","Employed","15","","",""
"Very Inexpensive","1989","Hamburg","Not Employed","5","","",""
"Very Inexpensive","1989","Hamburg","Employed","11","","",""
"Very Inexpensive","1989","Lower Saxony","Not Employed","67","0.366429990536913","0.298452950817234","0.434407030256593"
"Very Inexpensive","1989","Lower Saxony","Employed","70","0.223652307776065","0.177266826266333","0.270037789285798"
"Very Inexpensive","1989","Bremen","Not Employed","7","","",""
"Very Inexpensive","1989","Bremen","Employed","4","","",""
"Very Inexpensive","1989","North Rhine-Westphalia","Not Employed","87","0.227799005396142","0.186490299652772","0.269107711139512"
"Very Inexpensive","1989","North Rhine-Westphalia","Employed","103","0.191464357021893","0.158401361757941","0.224527352285844"
"Very Inexpensive","1989","Hesse","Not Employed","27","","",""
"Very Inexpensive","1989","Hesse","Employed","37","0.203698195871161","0.148965244833046","0.258431146909275"
"Very Inexpensive","1989","Rhineland-Palatinate,Saarland","Not Employed","36","0.208337817433424","0.147467713883155","0.269207920983694"
"Very Inexpensive","1989","Rhineland-Palatinate,Saarland","Employed","37","0.172495315177386","0.122908120166852","0.22208251018792"
"Very Inexpensive","1989","Baden-Württemberg","Not Employed","59","0.244792778873727","0.191387918289263","0.298197639458191"
"Very Inexpensive","1989","Baden-Württemberg","Employed","90","0.174460935338394","0.142121072936523","0.206800797740265"
"Very Inexpensive","1989","Bavaria","Not Employed","50","0.195856325223192","0.147336731535979","0.244375918910405"
"Very Inexpensive","1989","Bavaria","Employed","84","0.17231694972746","0.139280584219971","0.205353315234948"
"Very Inexpensive","1989","Berlin","Not Employed","2","","",""
"Very Inexpensive","1989","Berlin","Employed","","","",""
"Very Inexpensive","1989","Brandenburg","Not Employed","","","",""
"Very Inexpensive","1989","Brandenburg","Employed","","","",""
"Very Inexpensive","1989","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Very Inexpensive","1989","Mecklenburg-Western Pomerania","Employed","","","",""
"Very Inexpensive","1989","Saxony","Not Employed","","","",""
"Very Inexpensive","1989","Saxony","Employed","","","",""
"Very Inexpensive","1989","Saxony-Anhalt","Not Employed","","","",""
"Very Inexpensive","1989","Saxony-Anhalt","Employed","","","",""
"Very Inexpensive","1989","Thuringia","Not Employed","","","",""
"Very Inexpensive","1989","Thuringia","Employed","","","",""
"Inexpensive","1989","Schleswig-Holstein","Not Employed","16","","",""
"Inexpensive","1989","Schleswig-Holstein","Employed","39","0.391136953268174","0.296892953137351","0.485380953398997"
"Inexpensive","1989","Hamburg","Not Employed","6","","",""
"Inexpensive","1989","Hamburg","Employed","13","","",""
"Inexpensive","1989","Lower Saxony","Not Employed","58","0.296557485437394","0.232120058810643","0.360994912064146"
"Inexpensive","1989","Lower Saxony","Employed","111","0.346658337870156","0.29368122997079","0.399635445769521"
"Inexpensive","1989","Bremen","Not Employed","6","","",""
"Inexpensive","1989","Bremen","Employed","2","","",""
"Inexpensive","1989","North Rhine-Westphalia","Not Employed","136","0.348559086404868","0.301626313108551","0.395491859701185"
"Inexpensive","1989","North Rhine-Westphalia","Employed","168","0.309311185796345","0.27047043060378","0.348151940988911"
"Inexpensive","1989","Hesse","Not Employed","69","0.4586748530323","0.377848454184511","0.539501251880088"
"Inexpensive","1989","Hesse","Employed","90","0.436350175409767","0.368953466605208","0.503746884214326"
"Inexpensive","1989","Rhineland-Palatinate,Saarland","Not Employed","90","0.53003483007384","0.455229063663958","0.604840596483722"
"Inexpensive","1989","Rhineland-Palatinate,Saarland","Employed","88","0.399784110583497","0.335491336025472","0.464076885141522"
"Inexpensive","1989","Baden-Württemberg","Not Employed","100","0.411301316792666","0.35018249133917","0.472420142246161"
"Inexpensive","1989","Baden-Württemberg","Employed","180","0.352187057332431","0.311483556733555","0.392890557931307"
"Inexpensive","1989","Bavaria","Not Employed","108","0.439347858292745","0.378669680668516","0.500026035916974"
"Inexpensive","1989","Bavaria","Employed","171","0.33817596083168","0.296791350754062","0.379560570909297"
"Inexpensive","1989","Berlin","Not Employed","3","","",""
"Inexpensive","1989","Berlin","Employed","2","","",""
"Inexpensive","1989","Brandenburg","Not Employed","","","",""
"Inexpensive","1989","Brandenburg","Employed","","","",""
"Inexpensive","1989","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Inexpensive","1989","Mecklenburg-Western Pomerania","Employed","","","",""
"Inexpensive","1989","Saxony","Not Employed","","","",""
"Inexpensive","1989","Saxony","Employed","","","",""
"Inexpensive","1989","Saxony-Anhalt","Not Employed","","","",""
"Inexpensive","1989","Saxony-Anhalt","Employed","","","",""
"Inexpensive","1989","Thuringia","Not Employed","","","",""
"Inexpensive","1989","Thuringia","Employed","","","",""
"Reasonable","1989","Schleswig-Holstein","Not Employed","17","","",""
"Reasonable","1989","Schleswig-Holstein","Employed","37","0.377424779474302","0.283810823288459","0.471038735660146"
"Reasonable","1989","Hamburg","Not Employed","2","","",""
"Reasonable","1989","Hamburg","Employed","1","","",""
"Reasonable","1989","Lower Saxony","Not Employed","49","0.253845073623831","0.192445082042414","0.315245065205247"
"Reasonable","1989","Lower Saxony","Employed","99","0.334875954231307","0.28233952511425","0.387412383348364"
"Reasonable","1989","Bremen","Not Employed","3","","",""
"Reasonable","1989","Bremen","Employed","2","","",""
"Reasonable","1989","North Rhine-Westphalia","Not Employed","145","0.358806455099666","0.311564790425866","0.406048119773465"
"Reasonable","1989","North Rhine-Westphalia","Employed","219","0.395569646413041","0.354479919619078","0.436659373207003"
"Reasonable","1989","Hesse","Not Employed","42","0.29830400270083","0.224091734891662","0.372516270509998"
"Reasonable","1989","Hesse","Employed","70","0.32735429437199","0.263583969164251","0.391124619579728"
"Reasonable","1989","Rhineland-Palatinate,Saarland","Not Employed","41","0.233667388085356","0.170242787387144","0.297091988783569"
"Reasonable","1989","Rhineland-Palatinate,Saarland","Employed","72","0.320606589668499","0.259351448252072","0.381861731084926"
"Reasonable","1989","Baden-Württemberg","Not Employed","76","0.280819087504746","0.225000247678577","0.336637927330916"
"Reasonable","1989","Baden-Württemberg","Employed","205","0.37458310981824","0.33333736473556","0.41582885490092"
"Reasonable","1989","Bavaria","Not Employed","91","0.337804203118776","0.279980318570839","0.395628087666712"
"Reasonable","1989","Bavaria","Employed","202","0.402029729087329","0.359138833614369","0.444920624560289"
"Reasonable","1989","Berlin","Not Employed","1","","",""
"Reasonable","1989","Berlin","Employed","5","","",""
"Reasonable","1989","Brandenburg","Not Employed","","","",""
"Reasonable","1989","Brandenburg","Employed","","","",""
"Reasonable","1989","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Reasonable","1989","Mecklenburg-Western Pomerania","Employed","","","",""
"Reasonable","1989","Saxony","Not Employed","","","",""
"Reasonable","1989","Saxony","Employed","","","",""
"Reasonable","1989","Saxony-Anhalt","Not Employed","","","",""
"Reasonable","1989","Saxony-Anhalt","Employed","","","",""
"Reasonable","1989","Thuringia","Not Employed","","","",""
"Reasonable","1989","Thuringia","Employed","","","",""
"Slightly Expensive","1989","Schleswig-Holstein","Not Employed","8","","",""
"Slightly Expensive","1989","Schleswig-Holstein","Employed","8","","",""
"Slightly Expensive","1989","Hamburg","Not Employed","1","","",""
"Slightly Expensive","1989","Hamburg","Employed","","","",""
"Slightly Expensive","1989","Lower Saxony","Not Employed","15","","",""
"Slightly Expensive","1989","Lower Saxony","Employed","21","","",""
"Slightly Expensive","1989","Bremen","Not Employed","","","",""
"Slightly Expensive","1989","Bremen","Employed","4","","",""
"Slightly Expensive","1989","North Rhine-Westphalia","Not Employed","24","","",""
"Slightly Expensive","1989","North Rhine-Westphalia","Employed","43","0.0829244328123404","0.0597508887731968","0.106097976851484"
"Slightly Expensive","1989","Hesse","Not Employed","6","","",""
"Slightly Expensive","1989","Hesse","Employed","10","","",""
"Slightly Expensive","1989","Rhineland-Palatinate,Saarland","Not Employed","2","","",""
"Slightly Expensive","1989","Rhineland-Palatinate,Saarland","Employed","25","","",""
"Slightly Expensive","1989","Baden-Württemberg","Not Employed","13","","",""
"Slightly Expensive","1989","Baden-Württemberg","Employed","50","0.0938493596753761","0.0689988035163666","0.118699915834386"
"Slightly Expensive","1989","Bavaria","Not Employed","8","","",""
"Slightly Expensive","1989","Bavaria","Employed","39","0.0742880361567217","0.0513480258031503","0.0972280465102931"
"Slightly Expensive","1989","Berlin","Not Employed","","","",""
"Slightly Expensive","1989","Berlin","Employed","4","","",""
"Slightly Expensive","1989","Brandenburg","Not Employed","","","",""
"Slightly Expensive","1989","Brandenburg","Employed","","","",""
"Slightly Expensive","1989","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Slightly Expensive","1989","Mecklenburg-Western Pomerania","Employed","","","",""
"Slightly Expensive","1989","Saxony","Not Employed","","","",""
"Slightly Expensive","1989","Saxony","Employed","","","",""
"Slightly Expensive","1989","Saxony-Anhalt","Not Employed","","","",""
"Slightly Expensive","1989","Saxony-Anhalt","Employed","","","",""
"Slightly Expensive","1989","Thuringia","Not Employed","","","",""
"Slightly Expensive","1989","Thuringia","Employed","","","",""
"Too Expensive","1989","Schleswig-Holstein","Not Employed","1","","",""
"Too Expensive","1989","Schleswig-Holstein","Employed","4","","",""
"Too Expensive","1989","Hamburg","Not Employed","","","",""
"Too Expensive","1989","Hamburg","Employed","","","",""
"Too Expensive","1989","Lower Saxony","Not Employed","4","","",""
"Too Expensive","1989","Lower Saxony","Employed","9","","",""
"Too Expensive","1989","Bremen","Not Employed","","","",""
"Too Expensive","1989","Bremen","Employed","","","",""
"Too Expensive","1989","North Rhine-Westphalia","Not Employed","4","","",""
"Too Expensive","1989","North Rhine-Westphalia","Employed","11","","",""
"Too Expensive","1989","Hesse","Not Employed","2","","",""
"Too Expensive","1989","Hesse","Employed","1","","",""
"Too Expensive","1989","Rhineland-Palatinate,Saarland","Not Employed","2","","",""
"Too Expensive","1989","Rhineland-Palatinate,Saarland","Employed","1","","",""
"Too Expensive","1989","Baden-Württemberg","Not Employed","1","","",""
"Too Expensive","1989","Baden-Württemberg","Employed","4","","",""
"Too Expensive","1989","Bavaria","Not Employed","","","",""
"Too Expensive","1989","Bavaria","Employed","6","","",""
"Too Expensive","1989","Berlin","Not Employed","","","",""
"Too Expensive","1989","Berlin","Employed","","","",""
"Too Expensive","1989","Brandenburg","Not Employed","","","",""
"Too Expensive","1989","Brandenburg","Employed","","","",""
"Too Expensive","1989","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Too Expensive","1989","Mecklenburg-Western Pomerania","Employed","","","",""
"Too Expensive","1989","Saxony","Not Employed","","","",""
"Too Expensive","1989","Saxony","Employed","","","",""
"Too Expensive","1989","Saxony-Anhalt","Not Employed","","","",""
"Too Expensive","1989","Saxony-Anhalt","Employed","","","",""
"Too Expensive","1989","Thuringia","Not Employed","","","",""
"Too Expensive","1989","Thuringia","Employed","","","",""
"Very Inexpensive","1990","Schleswig-Holstein","Not Employed","9","","",""
"Very Inexpensive","1990","Schleswig-Holstein","Employed","11","","",""
"Very Inexpensive","1990","Hamburg","Not Employed","4","","",""
"Very Inexpensive","1990","Hamburg","Employed","4","","",""
"Very Inexpensive","1990","Lower Saxony","Not Employed","54","0.281625442412271","0.218815789604214","0.344435095220328"
"Very Inexpensive","1990","Lower Saxony","Employed","59","0.211459109064769","0.165174371511767","0.257743846617772"
"Very Inexpensive","1990","Bremen","Not Employed","11","","",""
"Very Inexpensive","1990","Bremen","Employed","1","","",""
"Very Inexpensive","1990","North Rhine-Westphalia","Not Employed","76","0.219461158589408","0.177402761735164","0.261519555443653"
"Very Inexpensive","1990","North Rhine-Westphalia","Employed","109","0.19412837995362","0.161771279975431","0.226485479931809"
"Very Inexpensive","1990","Hesse","Not Employed","29","","",""
"Very Inexpensive","1990","Hesse","Employed","47","0.247715303503887","0.190929583573716","0.304501023434059"
"Very Inexpensive","1990","Rhineland-Palatinate,Saarland","Not Employed","28","","",""
"Very Inexpensive","1990","Rhineland-Palatinate,Saarland","Employed","35","0.173982610896998","0.121179074079103","0.226786147714892"
"Very Inexpensive","1990","Baden-Württemberg","Not Employed","50","0.214939988137444","0.16442255547308","0.265457420801809"
"Very Inexpensive","1990","Baden-Württemberg","Employed","73","0.15547718235","0.124362293485705","0.186592071214295"
"Very Inexpensive","1990","Bavaria","Not Employed","69","0.275682083774468","0.220510340600202","0.330853826948734"
"Very Inexpensive","1990","Bavaria","Employed","109","0.212307437997044","0.176135787823391","0.248479088170697"
"Very Inexpensive","1990","Berlin","Not Employed","2","","",""
"Very Inexpensive","1990","Berlin","Employed","5","","",""
"Very Inexpensive","1990","Brandenburg","Not Employed","","","",""
"Very Inexpensive","1990","Brandenburg","Employed","","","",""
"Very Inexpensive","1990","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Very Inexpensive","1990","Mecklenburg-Western Pomerania","Employed","","","",""
"Very Inexpensive","1990","Saxony","Not Employed","","","",""
"Very Inexpensive","1990","Saxony","Employed","","","",""
"Very Inexpensive","1990","Saxony-Anhalt","Not Employed","","","",""
"Very Inexpensive","1990","Saxony-Anhalt","Employed","","","",""
"Very Inexpensive","1990","Thuringia","Not Employed","","","",""
"Very Inexpensive","1990","Thuringia","Employed","","","",""
"Inexpensive","1990","Schleswig-Holstein","Not Employed","21","","",""
"Inexpensive","1990","Schleswig-Holstein","Employed","40","0.39297874051474","0.293714437920381","0.492243043109099"
"Inexpensive","1990","Hamburg","Not Employed","4","","",""
"Inexpensive","1990","Hamburg","Employed","8","","",""
"Inexpensive","1990","Lower Saxony","Not Employed","68","0.361103540299427","0.29403079354188","0.428176287056975"
"Inexpensive","1990","Lower Saxony","Employed","100","0.333542985164342","0.280101997701672","0.386983972627012"
"Inexpensive","1990","Bremen","Not Employed","7","","",""
"Inexpensive","1990","Bremen","Employed","3","","",""
"Inexpensive","1990","North Rhine-Westphalia","Not Employed","143","0.359520173926607","0.31075711053025","0.408283237322964"
"Inexpensive","1990","North Rhine-Westphalia","Employed","190","0.33896289444118","0.30023881132249","0.37768697755987"
"Inexpensive","1990","Hesse","Not Employed","64","0.476636966760806","0.393903836558653","0.559370096962959"
"Inexpensive","1990","Hesse","Employed","96","0.446818602853888","0.381419617511778","0.512217588195997"
"Inexpensive","1990","Rhineland-Palatinate,Saarland","Not Employed","78","0.50191928434179","0.42539611095961","0.57844245772397"
"Inexpensive","1990","Rhineland-Palatinate,Saarland","Employed","69","0.380668372858357","0.31303663875965","0.448300106957063"
"Inexpensive","1990","Baden-Württemberg","Not Employed","103","0.414063927774934","0.353489398321706","0.474638457228162"
"Inexpensive","1990","Baden-Württemberg","Employed","192","0.358554543097286","0.317374508138533","0.399734578056039"
"Inexpensive","1990","Bavaria","Not Employed","90","0.355343036444919","0.296250032939885","0.414436039949953"
"Inexpensive","1990","Bavaria","Employed","161","0.340552148986103","0.298635226820266","0.382469071151941"
"Inexpensive","1990","Berlin","Not Employed","4","","",""
"Inexpensive","1990","Berlin","Employed","1","","",""
"Inexpensive","1990","Brandenburg","Not Employed","","","",""
"Inexpensive","1990","Brandenburg","Employed","","","",""
"Inexpensive","1990","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Inexpensive","1990","Mecklenburg-Western Pomerania","Employed","","","",""
"Inexpensive","1990","Saxony","Not Employed","","","",""
"Inexpensive","1990","Saxony","Employed","","","",""
"Inexpensive","1990","Saxony-Anhalt","Not Employed","","","",""
"Inexpensive","1990","Saxony-Anhalt","Employed","","","",""
"Inexpensive","1990","Thuringia","Not Employed","","","",""
"Inexpensive","1990","Thuringia","Employed","","","",""
"Reasonable","1990","Schleswig-Holstein","Not Employed","16","","",""
"Reasonable","1990","Schleswig-Holstein","Employed","32","0.353313162150054","0.25616523555735","0.450461088742757"
"Reasonable","1990","Hamburg","Not Employed","2","","",""
"Reasonable","1990","Hamburg","Employed","4","","",""
"Reasonable","1990","Lower Saxony","Not Employed","56","0.280674136733618","0.217929152643759","0.343419120823477"
"Reasonable","1990","Lower Saxony","Employed","110","0.367845409039172","0.313187021560546","0.422503796517798"
"Reasonable","1990","Bremen","Not Employed","2","","",""
"Reasonable","1990","Bremen","Employed","7","","",""
"Reasonable","1990","North Rhine-Westphalia","Not Employed","136","0.376246332214928","0.327017524824824","0.425475139605033"
"Reasonable","1990","North Rhine-Westphalia","Employed","224","0.379144888605072","0.33945408627637","0.418835690933773"
"Reasonable","1990","Hesse","Not Employed","44","0.311230360986341","0.234536244458606","0.387924477514077"
"Reasonable","1990","Hesse","Employed","61","0.243452558253776","0.186998280114803","0.299906836392749"
"Reasonable","1990","Rhineland-Palatinate,Saarland","Not Employed","50","0.292701992354048","0.223064965022524","0.362339019685572"
"Reasonable","1990","Rhineland-Palatinate,Saarland","Employed","69","0.329956064763414","0.264463018089403","0.395449111437426"
"Reasonable","1990","Baden-Württemberg","Not Employed","87","0.323239738683329","0.265720777893851","0.380758699472807"
"Reasonable","1990","Baden-Württemberg","Employed","212","0.407776104791745","0.365578958731809","0.449973250851681"
"Reasonable","1990","Bavaria","Not Employed","82","0.334813430246914","0.27654665379305","0.393080206700778"
"Reasonable","1990","Bavaria","Employed","185","0.375703203340603","0.332865582039324","0.418540824641881"
"Reasonable","1990","Berlin","Not Employed","2","","",""
"Reasonable","1990","Berlin","Employed","5","","",""
"Reasonable","1990","Brandenburg","Not Employed","","","",""
"Reasonable","1990","Brandenburg","Employed","","","",""
"Reasonable","1990","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Reasonable","1990","Mecklenburg-Western Pomerania","Employed","","","",""
"Reasonable","1990","Saxony","Not Employed","","","",""
"Reasonable","1990","Saxony","Employed","","","",""
"Reasonable","1990","Saxony-Anhalt","Not Employed","","","",""
"Reasonable","1990","Saxony-Anhalt","Employed","","","",""
"Reasonable","1990","Thuringia","Not Employed","","","",""
"Reasonable","1990","Thuringia","Employed","","","",""
"Slightly Expensive","1990","Schleswig-Holstein","Not Employed","6","","",""
"Slightly Expensive","1990","Schleswig-Holstein","Employed","9","","",""
"Slightly Expensive","1990","Hamburg","Not Employed","","","",""
"Slightly Expensive","1990","Hamburg","Employed","","","",""
