"hlf0094","year","migback","n","percent","lower_confidence","upper_confidence"
"Slightly Expensive","2008","direct migration background","81","0.136885869747652","0.111349633097909","0.162422106397395"
"Slightly Expensive","2008","indirect migration background","41","0.126107716587126","0.0899045454618957","0.162310887712357"
"Too Expensive","2008","no migration background","129","0.0138435335389908","0.0115112387517618","0.0161758283262198"
"Too Expensive","2008","direct migration background","8","","",""
"Too Expensive","2008","indirect migration background","6","","",""
"Very Inexpensive","2009","no migration background","1078","0.123776525123911","0.117003480648257","0.130549569599565"
"Very Inexpensive","2009","direct migration background","49","0.0763331895155212","0.0556805482046192","0.0969858308264231"
"Very Inexpensive","2009","indirect migration background","20","","",""
"Inexpensive","2009","no migration background","2678","0.29692926739001","0.28753239443261","0.306326140347409"
"Inexpensive","2009","direct migration background","169","0.276314514118339","0.241533838927547","0.311095189309132"
"Inexpensive","2009","indirect migration background","72","0.305260838804693","0.252620234964848","0.357901442644538"
"Reasonable","2009","no migration background","4479","0.482758728039168","0.47248166560483","0.493035790473506"
"Reasonable","2009","direct migration background","336","0.49483180408383","0.455944482528864","0.533719125638797"
"Reasonable","2009","indirect migration background","153","0.446532212272473","0.389706223976042","0.503358200568904"
"Slightly Expensive","2009","no migration background","748","0.0825908915045007","0.0769297378438367","0.0882520451651648"
"Slightly Expensive","2009","direct migration background","75","0.140967970373073","0.113901842432145","0.168034098314001"
"Slightly Expensive","2009","indirect migration background","40","0.143980303122168","0.103850424467555","0.184110181776781"
"Too Expensive","2009","no migration background","99","0.0139445879424105","0.0115329570104372","0.0163562188743839"
"Too Expensive","2009","direct migration background","6","","",""
"Too Expensive","2009","indirect migration background","9","","",""
"Very Inexpensive","2010","no migration background","1083","0.106150379335767","0.10034423165747","0.111956527014065"
"Very Inexpensive","2010","direct migration background","77","0.0554741538918709","0.0410318426175897","0.0699164651661521"
"Very Inexpensive","2010","indirect migration background","29","","",""
"Inexpensive","2010","no migration background","3066","0.286665691053532","0.278141964907738","0.295189417199327"
"Inexpensive","2010","direct migration background","213","0.201450472253572","0.176144705087635","0.226756239419508"
"Inexpensive","2010","indirect migration background","113","0.288099126767897","0.246302565367677","0.329895688168116"
"Reasonable","2010","no migration background","5522","0.506710348291966","0.497286550434655","0.516134146149278"
"Reasonable","2010","direct migration background","527","0.569471720172297","0.538230976946279","0.600712463398315"
"Reasonable","2010","indirect migration background","246","0.523491088140112","0.477396495620462","0.569585680659762"
"Slightly Expensive","2010","no migration background","981","0.0861133544809587","0.0808255365689386","0.0914011723929787"
"Slightly Expensive","2010","direct migration background","122","0.155726642056144","0.13284920146465","0.178604082647637"
"Slightly Expensive","2010","indirect migration background","54","0.0939185701525631","0.0669958354947529","0.120841304810373"
"Too Expensive","2010","no migration background","160","0.0143602268377752","0.0121177145436766","0.0166027391318737"
"Too Expensive","2010","direct migration background","26","","",""
"Too Expensive","2010","indirect migration background","9","","",""
"Very Inexpensive","2011","no migration background","1245","0.096025708722129","0.0909676830066081","0.10108373443765"
"Very Inexpensive","2011","direct migration background","99","0.0911748115530199","0.0745737938126575","0.107775829293382"
"Very Inexpensive","2011","indirect migration background","41","0.0776343494310806","0.0548739777396499","0.100394721122511"
"Inexpensive","2011","no migration background","3809","0.29570500157044","0.287870418857404","0.303539584283475"
"Inexpensive","2011","direct migration background","264","0.225428051766269","0.201329443612377","0.24952665992016"
"Inexpensive","2011","indirect migration background","122","0.201248691137414","0.167147216914834","0.235350165359995"
"Reasonable","2011","no migration background","6659","0.509437872553834","0.500855608845304","0.518020136262365"
"Reasonable","2011","direct migration background","658","0.574425663982365","0.54591142852521","0.60293989943952"
"Reasonable","2011","indirect migration background","284","0.570780177186038","0.528680849830943","0.612879504541133"
"Slightly Expensive","2011","no migration background","1131","0.0854660719573306","0.0806664612259169","0.0902656826887444"
"Slightly Expensive","2011","direct migration background","116","0.0979685164751764","0.0808245537928199","0.115112479157533"
"Slightly Expensive","2011","indirect migration background","71","0.126501707928596","0.0982281765756431","0.154775239281549"
"Too Expensive","2011","no migration background","190","0.0133653451962664","0.0113939326979549","0.015336757694578"
"Too Expensive","2011","direct migration background","18","","",""
"Too Expensive","2011","indirect migration background","13","","",""
"Very Inexpensive","2012","no migration background","1215","0.0964025386324839","0.0912887507270752","0.101516326537893"
"Very Inexpensive","2012","direct migration background","86","0.0766266763765275","0.0610415006314854","0.0922118521215696"
"Very Inexpensive","2012","indirect migration background","33","0.0475217414952002","0.0293919017879967","0.0656515812024037"
"Inexpensive","2012","no migration background","3785","0.287155159983367","0.279316049366316","0.294994270600418"
"Inexpensive","2012","direct migration background","314","0.291480298728465","0.264853827353871","0.318106770103059"
"Inexpensive","2012","indirect migration background","136","0.250259980815383","0.213347663978317","0.287172297652449"
"Reasonable","2012","no migration background","6563","0.518059934469002","0.509402334906566","0.526717534031438"
"Reasonable","2012","direct migration background","552","0.467630216606511","0.438396029011","0.496864404202023"
"Reasonable","2012","indirect migration background","284","0.535354064592968","0.492852797452345","0.57785533173359"
"Slightly Expensive","2012","no migration background","1043","0.0832188460083433","0.0784330447625045","0.088004647254182"
"Slightly Expensive","2012","direct migration background","157","0.153999902593456","0.132851455781544","0.175148349405368"
"Slightly Expensive","2012","indirect migration background","60","0.119567209903896","0.0919185295982124","0.14721589020958"
"Too Expensive","2012","no migration background","190","0.0151635209068041","0.0130461688948978","0.0172808729187103"
"Too Expensive","2012","direct migration background","10","","",""
"Too Expensive","2012","indirect migration background","16","","",""
"Very Inexpensive","2013","no migration background","1238","0.101539484656066","0.0961648510217352","0.106914118290397"
"Very Inexpensive","2013","direct migration background","139","0.088718677776308","0.0755904995948267","0.101846855957789"
"Very Inexpensive","2013","indirect migration background","59","0.080817037762034","0.0608810244143991","0.100753051109669"
"Inexpensive","2013","no migration background","3665","0.303853060443472","0.295669088029956","0.312037032856988"
"Inexpensive","2013","direct migration background","436","0.271598591258141","0.251062402725591","0.292134779790691"
"Inexpensive","2013","indirect migration background","175","0.243471125672869","0.212078882136444","0.274863369209294"
"Reasonable","2013","no migration background","6114","0.492657123859773","0.483760913226168","0.501553334493379"
"Reasonable","2013","direct migration background","938","0.492166524449337","0.469083782525704","0.515249266372969"
"Reasonable","2013","indirect migration background","386","0.554534709907246","0.518180293988352","0.59088912582614"
"Slightly Expensive","2013","no migration background","955","0.0882521186269493","0.0832045545407508","0.0932996827131479"
"Slightly Expensive","2013","direct migration background","258","0.131806237510275","0.116187461026707","0.147425013993843"
"Slightly Expensive","2013","indirect migration background","78","0.100070756604399","0.0781202957461751","0.122021217462623"
"Too Expensive","2013","no migration background","160","0.0136982124137392","0.0116298875700292","0.0157665372574492"
"Too Expensive","2013","direct migration background","31","0.0157099690059396","0.00996854124220277","0.0214513967696764"
"Too Expensive","2013","indirect migration background","20","","",""
"Very Inexpensive","2014","no migration background","1237","0.114432163449182","0.108508785974254","0.12035554092411"
"Very Inexpensive","2014","direct migration background","118","0.0967667483636338","0.0822579722245835","0.111275524502684"
"Very Inexpensive","2014","indirect migration background","52","0.0993018107601622","0.0761498751977868","0.122453746322537"
"Inexpensive","2014","no migration background","3317","0.298705851780679","0.290189444734144","0.307222258827213"
"Inexpensive","2014","direct migration background","450","0.311780412468219","0.289047468816564","0.334513356119874"
"Inexpensive","2014","indirect migration background","165","0.247323672683302","0.21392293579626","0.280724409570345"
"Reasonable","2014","no migration background","5618","0.489366542105634","0.480064973189698","0.498668111021569"
"Reasonable","2014","direct migration background","819","0.451269490877713","0.426848387191315","0.47569059456411"
"Reasonable","2014","indirect migration background","348","0.533057640408068","0.49443537007462","0.571679910741517"
"Slightly Expensive","2014","no migration background","795","0.0851105395681933","0.0799182318595059","0.0903028472768808"
"Slightly Expensive","2014","direct migration background","162","0.121684012068667","0.105640113720154","0.137727910417179"
"Slightly Expensive","2014","indirect migration background","65","0.109530555374851","0.0853538993250177","0.133707211424684"
"Too Expensive","2014","no migration background","128","0.0123849030963122","0.0103270014993599","0.0144428046932645"
"Too Expensive","2014","direct migration background","46","0.0184993362217676","0.0118864489571943","0.025112223486341"
"Too Expensive","2014","indirect migration background","11","","",""
