"hlf0094","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence"
"Too Expensive","1992","inadequately","Rural Area","1","","",""
"Too Expensive","1992","general elemantary","Urban Area","15","","",""
"Too Expensive","1992","general elemantary","Rural Area","12","","",""
"Too Expensive","1992","middle vocational","Urban Area","34","0.0227716539024331","0.0153738486985328","0.0301694591063334"
"Too Expensive","1992","middle vocational","Rural Area","50","0.0279314738559547","0.0184409719990229","0.0374219757128865"
"Too Expensive","1992","vocational + Abi","Urban Area","1","","",""
"Too Expensive","1992","vocational + Abi","Rural Area","","","",""
"Too Expensive","1992","higher vocational","Urban Area","3","","",""
"Too Expensive","1992","higher vocational","Rural Area","5","","",""
"Too Expensive","1992","higher education","Urban Area","7","","",""
"Too Expensive","1992","higher education","Rural Area","25","","",""
"Very Inexpensive","1993","in school","Urban Area","13","","",""
"Very Inexpensive","1993","in school","Rural Area","6","","",""
"Very Inexpensive","1993","inadequately","Urban Area","2","","",""
"Very Inexpensive","1993","inadequately","Rural Area","2","","",""
"Very Inexpensive","1993","general elemantary","Urban Area","88","0.15714278141239","0.126672109217995","0.187613453606785"
"Very Inexpensive","1993","general elemantary","Rural Area","62","0.183708528371625","0.145615971351701","0.221801085391549"
"Very Inexpensive","1993","middle vocational","Urban Area","253","0.165722608868397","0.1473182293719","0.184126988364894"
"Very Inexpensive","1993","middle vocational","Rural Area","147","0.152054756545426","0.131328668121908","0.172780844968945"
"Very Inexpensive","1993","vocational + Abi","Urban Area","20","","",""
"Very Inexpensive","1993","vocational + Abi","Rural Area","2","","",""
"Very Inexpensive","1993","higher vocational","Urban Area","38","0.160264226776785","0.111677722065231","0.208850731488339"
"Very Inexpensive","1993","higher vocational","Rural Area","24","","",""
"Very Inexpensive","1993","higher education","Urban Area","65","0.206141591109193","0.163760863805163","0.248522318413224"
"Very Inexpensive","1993","higher education","Rural Area","35","0.163372955665155","0.120525887823313","0.206220023506997"
"Inexpensive","1993","in school","Urban Area","18","","",""
"Inexpensive","1993","in school","Rural Area","4","","",""
"Inexpensive","1993","inadequately","Urban Area","17","","",""
"Inexpensive","1993","inadequately","Rural Area","14","","",""
"Inexpensive","1993","general elemantary","Urban Area","203","0.39680406657624","0.355842640200237","0.437765492952243"
"Inexpensive","1993","general elemantary","Rural Area","134","0.34055488033671","0.293938803483856","0.387170957189565"
"Inexpensive","1993","middle vocational","Urban Area","552","0.357042309781127","0.333327147485324","0.38075747207693"
"Inexpensive","1993","middle vocational","Rural Area","406","0.370693011826176","0.342814350627029","0.398571673025323"
"Inexpensive","1993","vocational + Abi","Urban Area","24","","",""
"Inexpensive","1993","vocational + Abi","Rural Area","12","","",""
"Inexpensive","1993","higher vocational","Urban Area","63","0.295001883257631","0.234602513596451","0.355401252918811"
"Inexpensive","1993","higher vocational","Rural Area","40","0.287776210369702","0.215804474149951","0.359747946589453"
"Inexpensive","1993","higher education","Urban Area","114","0.309401377940444","0.260974324580058","0.357828431300831"
"Inexpensive","1993","higher education","Rural Area","78","0.267286450569679","0.215997872631832","0.318575028507526"
"Reasonable","1993","in school","Urban Area","16","","",""
"Reasonable","1993","in school","Rural Area","17","","",""
"Reasonable","1993","inadequately","Urban Area","27","","",""
"Reasonable","1993","inadequately","Rural Area","12","","",""
"Reasonable","1993","general elemantary","Urban Area","213","0.359421459782532","0.319247373649278","0.399595545915787"
"Reasonable","1993","general elemantary","Rural Area","164","0.412114516207844","0.363696369493015","0.460532662922672"
"Reasonable","1993","middle vocational","Urban Area","639","0.394299056774406","0.37011010459615","0.418488008952662"
"Reasonable","1993","middle vocational","Rural Area","472","0.397312354600156","0.369067092003538","0.425557617196773"
"Reasonable","1993","vocational + Abi","Urban Area","48","0.415813990183891","0.318234133060935","0.513393847306846"
"Reasonable","1993","vocational + Abi","Rural Area","16","","",""
"Reasonable","1993","higher vocational","Urban Area","100","0.46428724081707","0.398235327371009","0.530339154263132"
"Reasonable","1993","higher vocational","Rural Area","70","0.511256828175225","0.431789939581363","0.590723716769087"
"Reasonable","1993","higher education","Urban Area","138","0.398668509536257","0.347373276301461","0.449963742771053"
"Reasonable","1993","higher education","Rural Area","125","0.436091206982658","0.378618960564892","0.493563453400425"
"Slightly Expensive","1993","in school","Urban Area","1","","",""
"Slightly Expensive","1993","in school","Rural Area","4","","",""
"Slightly Expensive","1993","inadequately","Urban Area","","","",""
"Slightly Expensive","1993","inadequately","Rural Area","7","","",""
"Slightly Expensive","1993","general elemantary","Urban Area","38","0.0666076287336686","0.0457314060051057","0.0874838514622314"
"Slightly Expensive","1993","general elemantary","Rural Area","28","","",""
"Slightly Expensive","1993","middle vocational","Urban Area","91","0.0602667327658189","0.0484875221694504","0.0720459433621874"
"Slightly Expensive","1993","middle vocational","Rural Area","94","0.0570989692556657","0.0437058842020216","0.0704920543093099"
"Slightly Expensive","1993","vocational + Abi","Urban Area","4","","",""
"Slightly Expensive","1993","vocational + Abi","Rural Area","4","","",""
"Slightly Expensive","1993","higher vocational","Urban Area","15","","",""
"Slightly Expensive","1993","higher vocational","Rural Area","16","","",""
"Slightly Expensive","1993","higher education","Urban Area","27","","",""
"Slightly Expensive","1993","higher education","Rural Area","38","0.108759554265359","0.0726770868954718","0.144842021635247"
"Too Expensive","1993","in school","Urban Area","","","",""
"Too Expensive","1993","in school","Rural Area","1","","",""
"Too Expensive","1993","inadequately","Urban Area","1","","",""
"Too Expensive","1993","inadequately","Rural Area","1","","",""
"Too Expensive","1993","general elemantary","Urban Area","6","","",""
"Too Expensive","1993","general elemantary","Rural Area","9","","",""
"Too Expensive","1993","middle vocational","Urban Area","33","0.0226692918102507","0.0153018822944711","0.0300367013260303"
"Too Expensive","1993","middle vocational","Rural Area","34","0.022840907772576","0.0142176224474396","0.0314641930977123"
"Too Expensive","1993","vocational + Abi","Urban Area","2","","",""
"Too Expensive","1993","vocational + Abi","Rural Area","1","","",""
"Too Expensive","1993","higher vocational","Urban Area","3","","",""
"Too Expensive","1993","higher vocational","Rural Area","2","","",""
"Too Expensive","1993","higher education","Urban Area","6","","",""
"Too Expensive","1993","higher education","Rural Area","10","","",""
"Very Inexpensive","1994","in school","Urban Area","11","","",""
"Very Inexpensive","1994","in school","Rural Area","5","","",""
"Very Inexpensive","1994","inadequately","Urban Area","1","","",""
"Very Inexpensive","1994","inadequately","Rural Area","5","","",""
"Very Inexpensive","1994","general elemantary","Urban Area","91","0.198197304926847","0.163359825385141","0.233034784468554"
"Very Inexpensive","1994","general elemantary","Rural Area","48","0.151061510558101","0.114572486090815","0.187550535025387"
"Very Inexpensive","1994","middle vocational","Urban Area","283","0.189600889112626","0.170242131832283","0.208959646392968"
"Very Inexpensive","1994","middle vocational","Rural Area","118","0.131275489325752","0.111833565666939","0.150717412984566"
"Very Inexpensive","1994","vocational + Abi","Urban Area","10","","",""
"Very Inexpensive","1994","vocational + Abi","Rural Area","4","","",""
"Very Inexpensive","1994","higher vocational","Urban Area","51","0.217799496182253","0.16350459027063","0.272094402093875"
"Very Inexpensive","1994","higher vocational","Rural Area","22","","",""
"Very Inexpensive","1994","higher education","Urban Area","84","0.254063941011499","0.210236026874153","0.297891855148845"
"Very Inexpensive","1994","higher education","Rural Area","35","0.128142677428201","0.0899355811711359","0.166349773685267"
"Inexpensive","1994","in school","Urban Area","19","","",""
"Inexpensive","1994","in school","Rural Area","8","","",""
"Inexpensive","1994","inadequately","Urban Area","23","","",""
"Inexpensive","1994","inadequately","Rural Area","10","","",""
"Inexpensive","1994","general elemantary","Urban Area","186","0.368496678766998","0.326339774948845","0.410653582585152"
"Inexpensive","1994","general elemantary","Rural Area","115","0.326120257996348","0.27835332929831","0.373887186694386"
"Inexpensive","1994","middle vocational","Urban Area","510","0.325400103181728","0.302261358695847","0.348538847667609"
"Inexpensive","1994","middle vocational","Rural Area","381","0.344749801815697","0.317386911717943","0.372112691913451"
"Inexpensive","1994","vocational + Abi","Urban Area","29","","",""
"Inexpensive","1994","vocational + Abi","Rural Area","19","","",""
"Inexpensive","1994","higher vocational","Urban Area","68","0.288544088510218","0.228943343214768","0.348144833805668"
"Inexpensive","1994","higher vocational","Rural Area","41","0.298393909862197","0.226362171716097","0.370425648008297"
"Inexpensive","1994","higher education","Urban Area","110","0.283565985128479","0.238188162656154","0.328943807600804"
"Inexpensive","1994","higher education","Rural Area","68","0.272807329249239","0.221894504965242","0.323720153533237"
"Reasonable","1994","in school","Urban Area","27","","",""
"Reasonable","1994","in school","Rural Area","20","","",""
"Reasonable","1994","inadequately","Urban Area","20","","",""
"Reasonable","1994","inadequately","Rural Area","7","","",""
"Reasonable","1994","general elemantary","Urban Area","192","0.364589789890924","0.32252744847621","0.406652131305638"
"Reasonable","1994","general elemantary","Rural Area","167","0.449580464703624","0.3988933156518","0.500267613755447"
"Reasonable","1994","middle vocational","Urban Area","644","0.398835728012939","0.37465321551756","0.423018240508317"
"Reasonable","1994","middle vocational","Rural Area","522","0.43978438289563","0.411208222140206","0.468360543651054"
"Reasonable","1994","vocational + Abi","Urban Area","45","0.526118298211682","0.425711536304207","0.626525060119157"
"Reasonable","1994","vocational + Abi","Rural Area","18","","",""
"Reasonable","1994","higher vocational","Urban Area","88","0.409898574112338","0.345203213256849","0.474593934967827"
"Reasonable","1994","higher vocational","Rural Area","78","0.477393979951802","0.398760424107051","0.556027535796553"
"Reasonable","1994","higher education","Urban Area","159","0.406163265480343","0.356719409043037","0.455607121917649"
"Reasonable","1994","higher education","Rural Area","135","0.462130217832031","0.405140673776495","0.519119761887568"
"Slightly Expensive","1994","in school","Urban Area","3","","",""
"Slightly Expensive","1994","in school","Rural Area","4","","",""
"Slightly Expensive","1994","inadequately","Urban Area","2","","",""
"Slightly Expensive","1994","inadequately","Rural Area","4","","",""
"Slightly Expensive","1994","general elemantary","Urban Area","27","","",""
"Slightly Expensive","1994","general elemantary","Rural Area","32","0.0611771672153149","0.0367578378673611","0.0855964965632687"
"Slightly Expensive","1994","middle vocational","Urban Area","114","0.0685404937419326","0.0560619640725302","0.0810190234113351"
"Slightly Expensive","1994","middle vocational","Rural Area","104","0.0656939169264901","0.0514308296478258","0.0799570042051544"
"Slightly Expensive","1994","vocational + Abi","Urban Area","10","","",""
"Slightly Expensive","1994","vocational + Abi","Rural Area","3","","",""
"Slightly Expensive","1994","higher vocational","Urban Area","10","","",""
"Slightly Expensive","1994","higher vocational","Rural Area","14","","",""
"Slightly Expensive","1994","higher education","Urban Area","24","","",""
"Slightly Expensive","1994","higher education","Rural Area","48","0.110939391522909","0.0750403378985663","0.146838445147251"
"Too Expensive","1994","in school","Urban Area","2","","",""
"Too Expensive","1994","in school","Rural Area","","","",""
"Too Expensive","1994","inadequately","Urban Area","","","",""
"Too Expensive","1994","inadequately","Rural Area","1","","",""
"Too Expensive","1994","general elemantary","Urban Area","7","","",""
"Too Expensive","1994","general elemantary","Rural Area","8","","",""
"Too Expensive","1994","middle vocational","Urban Area","24","","",""
"Too Expensive","1994","middle vocational","Rural Area","34","0.0184964090364307","0.0107393690537112","0.0262534490191502"
"Too Expensive","1994","vocational + Abi","Urban Area","1","","",""
"Too Expensive","1994","vocational + Abi","Rural Area","","","",""
"Too Expensive","1994","higher vocational","Urban Area","5","","",""
"Too Expensive","1994","higher vocational","Rural Area","","","",""
"Too Expensive","1994","higher education","Urban Area","2","","",""
"Too Expensive","1994","higher education","Rural Area","8","","",""
"Very Inexpensive","1995","in school","Urban Area","13","","",""
"Very Inexpensive","1995","in school","Rural Area","5","","",""
"Very Inexpensive","1995","inadequately","Urban Area","2","","",""
"Very Inexpensive","1995","inadequately","Rural Area","1","","",""
"Very Inexpensive","1995","general elemantary","Urban Area","103","0.217228344903182","0.181084122906493","0.253372566899872"
"Very Inexpensive","1995","general elemantary","Rural Area","39","0.142189034265855","0.105961161644041","0.178416906887668"
"Very Inexpensive","1995","middle vocational","Urban Area","282","0.174485347192991","0.155853933603019","0.193116760782963"
"Very Inexpensive","1995","middle vocational","Rural Area","126","0.137400139307191","0.117519967659047","0.157280310955334"
"Very Inexpensive","1995","vocational + Abi","Urban Area","16","","",""
"Very Inexpensive","1995","vocational + Abi","Rural Area","3","","",""
"Very Inexpensive","1995","higher vocational","Urban Area","37","0.15664719766324","0.109571549208224","0.203722846118256"
"Very Inexpensive","1995","higher vocational","Rural Area","28","","",""
"Very Inexpensive","1995","higher education","Urban Area","63","0.185410886850825","0.147747154636548","0.223074619065102"
"Very Inexpensive","1995","higher education","Rural Area","36","0.153207066427709","0.112916171460034","0.193497961395384"
"Inexpensive","1995","in school","Urban Area","18","","",""
"Inexpensive","1995","in school","Rural Area","11","","",""
"Inexpensive","1995","inadequately","Urban Area","12","","",""
"Inexpensive","1995","inadequately","Rural Area","6","","",""
"Inexpensive","1995","general elemantary","Urban Area","170","0.342565267461142","0.300968357036162","0.384162177886123"
"Inexpensive","1995","general elemantary","Rural Area","113","0.344648674697103","0.295349530485601","0.393947818908605"
"Inexpensive","1995","middle vocational","Urban Area","541","0.343931101910216","0.320611862403394","0.367250341417038"
"Inexpensive","1995","middle vocational","Rural Area","399","0.362267291707825","0.334511363240057","0.390023220175593"
"Inexpensive","1995","vocational + Abi","Urban Area","35","0.279994167294137","0.197573113124073","0.3624152214642"
"Inexpensive","1995","vocational + Abi","Rural Area","14","","",""
"Inexpensive","1995","higher vocational","Urban Area","76","0.35417991413196","0.292236079332105","0.416123748931816"
"Inexpensive","1995","higher vocational","Rural Area","51","0.293674061476783","0.223323020931314","0.364025102022251"
"Inexpensive","1995","higher education","Urban Area","133","0.322490245251225","0.277189796462902","0.367790694039547"
"Inexpensive","1995","higher education","Rural Area","93","0.325799574970859","0.273373339840851","0.378225810100868"
"Reasonable","1995","in school","Urban Area","32","0.42312178777078","0.310555849939677","0.535687725601883"
"Reasonable","1995","in school","Rural Area","28","","",""
"Reasonable","1995","inadequately","Urban Area","29","","",""
"Reasonable","1995","inadequately","Rural Area","15","","",""
"Reasonable","1995","general elemantary","Urban Area","189","0.364560283420882","0.322372671398577","0.406747895443187"
"Reasonable","1995","general elemantary","Rural Area","175","0.438021375495239","0.386555242992657","0.489487507997821"
"Reasonable","1995","middle vocational","Urban Area","628","0.385915792559112","0.362017648626292","0.409813936491932"
"Reasonable","1995","middle vocational","Rural Area","504","0.415754082134266","0.387293881600465","0.444214282668067"
"Reasonable","1995","vocational + Abi","Urban Area","42","0.408715130317733","0.318474025027118","0.498956235608347"
"Reasonable","1995","vocational + Abi","Rural Area","19","","",""
"Reasonable","1995","higher vocational","Urban Area","93","0.387015530530772","0.323931521951455","0.450099539110088"
"Reasonable","1995","higher vocational","Rural Area","68","0.40754700242129","0.331645398175628","0.483448606666953"
"Reasonable","1995","higher education","Urban Area","163","0.384181140194125","0.337042076697033","0.431320203691217"
"Reasonable","1995","higher education","Rural Area","137","0.424814215084268","0.369519643723365","0.480108786445172"
"Slightly Expensive","1995","in school","Urban Area","10","","",""
"Slightly Expensive","1995","in school","Rural Area","5","","",""
"Slightly Expensive","1995","inadequately","Urban Area","2","","",""
"Slightly Expensive","1995","inadequately","Rural Area","4","","",""
"Slightly Expensive","1995","general elemantary","Urban Area","33","0.0605120757729294","0.0396128732039752","0.0814112783418836"
"Slightly Expensive","1995","general elemantary","Rural Area","23","","",""
"Slightly Expensive","1995","middle vocational","Urban Area","123","0.0811826360230471","0.0677750650705577","0.0945902069755365"
"Slightly Expensive","1995","middle vocational","Rural Area","103","0.0713352695682347","0.0564723721355037","0.0861981670009657"
"Slightly Expensive","1995","vocational + Abi","Urban Area","17","","",""
"Slightly Expensive","1995","vocational + Abi","Rural Area","5","","",""
"Slightly Expensive","1995","higher vocational","Urban Area","20","","",""
"Slightly Expensive","1995","higher vocational","Rural Area","12","","",""
"Slightly Expensive","1995","higher education","Urban Area","46","0.0923461632566841","0.0642882098891571","0.120404116624211"
"Slightly Expensive","1995","higher education","Rural Area","37","0.0811497595262545","0.0506044248066227","0.111695094245886"
"Too Expensive","1995","in school","Urban Area","1","","",""
"Too Expensive","1995","in school","Rural Area","","","",""
"Too Expensive","1995","inadequately","Urban Area","","","",""
"Too Expensive","1995","inadequately","Rural Area","","","",""
"Too Expensive","1995","general elemantary","Urban Area","5","","",""
"Too Expensive","1995","general elemantary","Rural Area","7","","",""
"Too Expensive","1995","middle vocational","Urban Area","20","","",""
"Too Expensive","1995","middle vocational","Rural Area","20","","",""
"Too Expensive","1995","vocational + Abi","Urban Area","4","","",""
"Too Expensive","1995","vocational + Abi","Rural Area","","","",""
"Too Expensive","1995","higher vocational","Urban Area","3","","",""
"Too Expensive","1995","higher vocational","Rural Area","2","","",""
"Too Expensive","1995","higher education","Urban Area","4","","",""
"Too Expensive","1995","higher education","Rural Area","4","","",""
"Very Inexpensive","1996","in school","Urban Area","16","","",""
"Very Inexpensive","1996","in school","Rural Area","3","","",""
"Very Inexpensive","1996","inadequately","Urban Area","2","","",""
"Very Inexpensive","1996","inadequately","Rural Area","1","","",""
"Very Inexpensive","1996","general elemantary","Urban Area","76","0.1800248840076","0.146006266723984","0.214043501291216"
"Very Inexpensive","1996","general elemantary","Rural Area","43","0.159417392104659","0.121284081566319","0.197550702642999"
"Very Inexpensive","1996","middle vocational","Urban Area","255","0.181165965903996","0.162022562819644","0.200309368988347"
"Very Inexpensive","1996","middle vocational","Rural Area","138","0.145148642990962","0.125016211827577","0.165281074154346"
"Very Inexpensive","1996","vocational + Abi","Urban Area","17","","",""
"Very Inexpensive","1996","vocational + Abi","Rural Area","3","","",""
"Very Inexpensive","1996","higher vocational","Urban Area","38","0.183010715852313","0.133781790202258","0.232239641502368"
"Very Inexpensive","1996","higher vocational","Rural Area","24","","",""
"Very Inexpensive","1996","higher education","Urban Area","67","0.181278409958722","0.144302299399805","0.21825452051764"
"Very Inexpensive","1996","higher education","Rural Area","38","0.13346351775194","0.0974214459396566","0.169505589564223"
"Inexpensive","1996","in school","Urban Area","22","","",""
"Inexpensive","1996","in school","Rural Area","13","","",""
"Inexpensive","1996","inadequately","Urban Area","14","","",""
"Inexpensive","1996","inadequately","Rural Area","8","","",""
"Inexpensive","1996","general elemantary","Urban Area","169","0.326228889363928","0.28471748246596","0.367740296261896"
"Inexpensive","1996","general elemantary","Rural Area","126","0.348994214415552","0.299340928087082","0.398647500744021"
"Inexpensive","1996","middle vocational","Urban Area","530","0.3480866078453","0.324409889761197","0.371763325929403"
"Inexpensive","1996","middle vocational","Rural Area","407","0.357058176702004","0.329673995468964","0.384442357935044"
"Inexpensive","1996","vocational + Abi","Urban Area","38","0.29254451479175","0.210461627171216","0.374627402412284"
"Inexpensive","1996","vocational + Abi","Rural Area","16","","",""
"Inexpensive","1996","higher vocational","Urban Area","71","0.274328459884195","0.217524397442465","0.331132522325925"
"Inexpensive","1996","higher vocational","Rural Area","39","0.254843208541703","0.186240287784795","0.323446129298611"
"Inexpensive","1996","higher education","Urban Area","138","0.341461603579556","0.295947965449017","0.386975241710095"
"Inexpensive","1996","higher education","Rural Area","83","0.233626596128541","0.188781352157172","0.27847184009991"
"Reasonable","1996","in school","Urban Area","31","0.360083519832864","0.258036130603141","0.462130909062587"
"Reasonable","1996","in school","Rural Area","33","0.680957469788121","0.554270863075616","0.807644076500626"
"Reasonable","1996","inadequately","Urban Area","21","","",""
"Reasonable","1996","inadequately","Rural Area","12","","",""
"Reasonable","1996","general elemantary","Urban Area","200","0.406096844520548","0.362613526594224","0.449580162446871"
"Reasonable","1996","general elemantary","Rural Area","158","0.433443467608985","0.381821528199963","0.485065407018006"
"Reasonable","1996","middle vocational","Urban Area","625","0.380644581247764","0.356511504669993","0.404777657825536"
"Reasonable","1996","middle vocational","Rural Area","525","0.427304987087886","0.3990317775697","0.455578196606073"
"Reasonable","1996","vocational + Abi","Urban Area","50","0.392849809164721","0.304731038738242","0.4809685795912"
"Reasonable","1996","vocational + Abi","Rural Area","22","","",""
"Reasonable","1996","higher vocational","Urban Area","106","0.441678449314833","0.378456305482719","0.504900593146947"
"Reasonable","1996","higher vocational","Rural Area","78","0.476270085085021","0.397644736399438","0.554895433770604"
"Reasonable","1996","higher education","Urban Area","172","0.396675802141232","0.349721727076295","0.443629877206168"
"Reasonable","1996","higher education","Rural Area","181","0.529744594496156","0.476847087689022","0.582642101303291"
"Slightly Expensive","1996","in school","Urban Area","12","","",""
"Slightly Expensive","1996","in school","Rural Area","3","","",""
"Slightly Expensive","1996","inadequately","Urban Area","2","","",""
"Slightly Expensive","1996","inadequately","Rural Area","5","","",""
"Slightly Expensive","1996","general elemantary","Urban Area","36","0.0702833214648514","0.0476498327708623","0.0929168101588405"
"Slightly Expensive","1996","general elemantary","Rural Area","24","","",""
"Slightly Expensive","1996","middle vocational","Urban Area","116","0.0688969621873917","0.0563082355553722","0.0814856888194113"
"Slightly Expensive","1996","middle vocational","Rural Area","96","0.0651655446317216","0.0510589950310853","0.0792720942323579"
"Slightly Expensive","1996","vocational + Abi","Urban Area","10","","",""
"Slightly Expensive","1996","vocational + Abi","Rural Area","5","","",""
"Slightly Expensive","1996","higher vocational","Urban Area","17","","",""
"Slightly Expensive","1996","higher vocational","Rural Area","11","","",""
"Slightly Expensive","1996","higher education","Urban Area","33","0.0550802854636319","0.0331837396696811","0.0769768312575827"
"Slightly Expensive","1996","higher education","Rural Area","36","0.0880492039066646","0.0580172590240867","0.118081148789243"
"Too Expensive","1996","in school","Urban Area","4","","",""
"Too Expensive","1996","in school","Rural Area","","","",""
"Too Expensive","1996","inadequately","Urban Area","1","","",""
"Too Expensive","1996","inadequately","Rural Area","1","","",""
"Too Expensive","1996","general elemantary","Urban Area","9","","",""
"Too Expensive","1996","general elemantary","Rural Area","3","","",""
"Too Expensive","1996","middle vocational","Urban Area","29","","",""
"Too Expensive","1996","middle vocational","Rural Area","10","","",""
"Too Expensive","1996","vocational + Abi","Urban Area","3","","",""
"Too Expensive","1996","vocational + Abi","Rural Area","1","","",""
"Too Expensive","1996","higher vocational","Urban Area","5","","",""
"Too Expensive","1996","higher vocational","Rural Area","3","","",""
"Too Expensive","1996","higher education","Urban Area","7","","",""
"Too Expensive","1996","higher education","Rural Area","4","","",""
"Very Inexpensive","1997","in school","Urban Area","12","","",""
"Very Inexpensive","1997","in school","Rural Area","8","","",""
"Very Inexpensive","1997","inadequately","Urban Area","4","","",""
"Very Inexpensive","1997","inadequately","Rural Area","2","","",""
"Very Inexpensive","1997","general elemantary","Urban Area","81","0.176310721859771","0.143073595347948","0.209547848371594"
"Very Inexpensive","1997","general elemantary","Rural Area","35","0.114049217115723","0.0807950951638147","0.147303339067632"
"Very Inexpensive","1997","middle vocational","Urban Area","267","0.170283848091925","0.15187172264376","0.18869597354009"
"Very Inexpensive","1997","middle vocational","Rural Area","143","0.169297333055899","0.147660532226149","0.190934133885648"
"Very Inexpensive","1997","vocational + Abi","Urban Area","14","","",""
"Very Inexpensive","1997","vocational + Abi","Rural Area","8","","",""
"Very Inexpensive","1997","higher vocational","Urban Area","42","0.1823843947922","0.133529183676394","0.231239605908006"
"Very Inexpensive","1997","higher vocational","Rural Area","19","","",""
"Very Inexpensive","1997","higher education","Urban Area","72","0.208370846810098","0.169848430386842","0.246893263233355"
"Very Inexpensive","1997","higher education","Rural Area","38","0.150624615667727","0.113469304462484","0.18777992687297"
"Inexpensive","1997","in school","Urban Area","27","","",""
"Inexpensive","1997","in school","Rural Area","19","","",""
"Inexpensive","1997","inadequately","Urban Area","11","","",""
"Inexpensive","1997","inadequately","Rural Area","5","","",""
"Inexpensive","1997","general elemantary","Urban Area","178","0.357183037877606","0.315391199152434","0.398974876602778"
"Inexpensive","1997","general elemantary","Rural Area","109","0.353606306331241","0.30359098204126","0.403621630621222"
"Inexpensive","1997","middle vocational","Urban Area","507","0.332930549398733","0.309846352246873","0.356014746550593"
"Inexpensive","1997","middle vocational","Rural Area","368","0.331608849983268","0.304446109252303","0.358771590714232"
"Inexpensive","1997","vocational + Abi","Urban Area","33","0.320012734073558","0.232838976083551","0.407186492063565"
"Inexpensive","1997","vocational + Abi","Rural Area","13","","",""
"Inexpensive","1997","higher vocational","Urban Area","70","0.270754129710603","0.214537215379381","0.326971044041826"
"Inexpensive","1997","higher vocational","Rural Area","40","0.275728777835136","0.205377189888241","0.34608036578203"
"Inexpensive","1997","higher education","Urban Area","122","0.270743374801464","0.228597675505041","0.312889074097888"
"Inexpensive","1997","higher education","Rural Area","110","0.341089287929374","0.291843349672191","0.390335226186558"
"Reasonable","1997","in school","Urban Area","35","0.401416792955226","0.297816997433937","0.505016588476514"
"Reasonable","1997","in school","Rural Area","28","","",""
"Reasonable","1997","inadequately","Urban Area","22","","",""
"Reasonable","1997","inadequately","Rural Area","9","","",""
"Reasonable","1997","general elemantary","Urban Area","204","0.374516931168034","0.332303961165062","0.416729901171006"
"Reasonable","1997","general elemantary","Rural Area","183","0.492041020015141","0.439740078257337","0.544341961772946"
"Reasonable","1997","middle vocational","Urban Area","694","0.416590269048584","0.392441565506091","0.440738972591076"
"Reasonable","1997","middle vocational","Rural Area","525","0.413672558696973","0.385257820880287","0.442087296513659"
"Reasonable","1997","vocational + Abi","Urban Area","51","0.458729564503126","0.365610786742977","0.551848342263275"
"Reasonable","1997","vocational + Abi","Rural Area","25","","",""
"Reasonable","1997","higher vocational","Urban Area","103","0.438861662275305","0.376078778119257","0.501644546431352"
"Reasonable","1997","higher vocational","Rural Area","81","0.499201362543294","0.420487415137661","0.577915309948927"
"Reasonable","1997","higher education","Urban Area","197","0.452850762759274","0.405637435840455","0.500064089678094"
"Reasonable","1997","higher education","Rural Area","164","0.401121532743314","0.350208328637874","0.452034736848754"
"Slightly Expensive","1997","in school","Urban Area","8","","",""
"Slightly Expensive","1997","in school","Rural Area","5","","",""
"Slightly Expensive","1997","inadequately","Urban Area","1","","",""
"Slightly Expensive","1997","inadequately","Rural Area","4","","",""
"Slightly Expensive","1997","general elemantary","Urban Area","30","0.0626170901067736","0.0414867076204698","0.0837474725930774"
"Slightly Expensive","1997","general elemantary","Rural Area","20","","",""
"Slightly Expensive","1997","middle vocational","Urban Area","108","0.0627818805592738","0.0508998702898512","0.0746638908286963"
"Slightly Expensive","1997","middle vocational","Rural Area","100","0.0692742772782605","0.054624128106974","0.083924426449547"
"Slightly Expensive","1997","vocational + Abi","Urban Area","9","","",""
"Slightly Expensive","1997","vocational + Abi","Rural Area","7","","",""
"Slightly Expensive","1997","higher vocational","Urban Area","21","","",""
"Slightly Expensive","1997","higher vocational","Rural Area","14","","",""
"Slightly Expensive","1997","higher education","Urban Area","26","","",""
"Slightly Expensive","1997","higher education","Rural Area","42","0.102712604338769","0.0711770299088763","0.134248178768661"
"Too Expensive","1997","in school","Urban Area","4","","",""
"Too Expensive","1997","in school","Rural Area","","","",""
"Too Expensive","1997","inadequately","Urban Area","4","","",""
"Too Expensive","1997","inadequately","Rural Area","2","","",""
"Too Expensive","1997","general elemantary","Urban Area","12","","",""
"Too Expensive","1997","general elemantary","Rural Area","4","","",""
"Too Expensive","1997","middle vocational","Urban Area","25","","",""
"Too Expensive","1997","middle vocational","Rural Area","18","","",""
"Too Expensive","1997","vocational + Abi","Urban Area","3","","",""
"Too Expensive","1997","vocational + Abi","Rural Area","","","",""
"Too Expensive","1997","higher vocational","Urban Area","4","","",""
"Too Expensive","1997","higher vocational","Rural Area","1","","",""
"Too Expensive","1997","higher education","Urban Area","10","","",""
"Too Expensive","1997","higher education","Rural Area","2","","",""
"Very Inexpensive","1998","in school","Urban Area","17","","",""
"Very Inexpensive","1998","in school","Rural Area","10","","",""
"Very Inexpensive","1998","inadequately","Urban Area","8","","",""
"Very Inexpensive","1998","inadequately","Rural Area","1","","",""
"Very Inexpensive","1998","general elemantary","Urban Area","100","0.217163200102429","0.182952676250721","0.251373723954137"
