"hlf0094","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"Slightly Expensive","1989","66 and older","no migration background","10","","",""
"Slightly Expensive","1989","66 and older","direct migration background","1","","",""
"Slightly Expensive","1989","66 and older","indirect migration background","","","",""
"Too Expensive","1989","16-34 y.","no migration background","18","","",""
"Too Expensive","1989","16-34 y.","direct migration background","","","",""
"Too Expensive","1989","16-34 y.","indirect migration background","","","",""
"Too Expensive","1989","35-65 y.","no migration background","26","","",""
"Too Expensive","1989","35-65 y.","direct migration background","3","","",""
"Too Expensive","1989","35-65 y.","indirect migration background","","","",""
"Too Expensive","1989","66 and older","no migration background","3","","",""
"Too Expensive","1989","66 and older","direct migration background","","","",""
"Too Expensive","1989","66 and older","indirect migration background","","","",""
"Very Inexpensive","1990","16-34 y.","no migration background","189","0.180327547325909","0.157215806085233","0.203439288566585"
"Very Inexpensive","1990","16-34 y.","direct migration background","9","","",""
"Very Inexpensive","1990","16-34 y.","indirect migration background","6","","",""
"Very Inexpensive","1990","35-65 y.","no migration background","418","0.215712322950128","0.197314236714723","0.234110409185532"
"Very Inexpensive","1990","35-65 y.","direct migration background","45","0.266243430132843","0.211780214214502","0.320706646051185"
"Very Inexpensive","1990","35-65 y.","indirect migration background","2","","",""
"Very Inexpensive","1990","66 and older","no migration background","104","0.208397845964059","0.172287632737476","0.244508059190642"
"Very Inexpensive","1990","66 and older","direct migration background","12","","",""
"Very Inexpensive","1990","66 and older","indirect migration background","","","",""
"Inexpensive","1990","16-34 y.","no migration background","387","0.372508554174251","0.343444681066773","0.40157242728173"
"Inexpensive","1990","16-34 y.","direct migration background","37","0.321051952974896","0.232172558295043","0.409931347654748"
"Inexpensive","1990","16-34 y.","indirect migration background","15","","",""
"Inexpensive","1990","35-65 y.","no migration background","690","0.363151080018663","0.341640141696163","0.384662018341163"
"Inexpensive","1990","35-65 y.","direct migration background","92","0.317373790908949","0.260019642006409","0.374727939811489"
"Inexpensive","1990","35-65 y.","indirect migration background","4","","",""
"Inexpensive","1990","66 and older","no migration background","204","0.421317898969245","0.377418867759685","0.465216930178804"
"Inexpensive","1990","66 and older","direct migration background","12","","",""
"Inexpensive","1990","66 and older","indirect migration background","1","","",""
"Reasonable","1990","16-34 y.","no migration background","400","0.37088517666026","0.341847213101273","0.399923140219246"
"Reasonable","1990","16-34 y.","direct migration background","42","0.383535974861969","0.290969850593589","0.476102099130349"
"Reasonable","1990","16-34 y.","indirect migration background","17","","",""
"Reasonable","1990","35-65 y.","no migration background","658","0.342133307395404","0.320912392485146","0.363354222305663"
"Reasonable","1990","35-65 y.","direct migration background","95","0.342969503081165","0.284475903647694","0.401463102514636"
"Reasonable","1990","35-65 y.","indirect migration background","6","","",""
"Reasonable","1990","66 and older","no migration background","161","0.336104442828958","0.294107568934044","0.378101316723873"
"Reasonable","1990","66 and older","direct migration background","7","","",""
"Reasonable","1990","66 and older","indirect migration background","","","",""
"Slightly Expensive","1990","16-34 y.","no migration background","72","0.0642601395093016","0.0495190407521816","0.0790012382664215"
"Slightly Expensive","1990","16-34 y.","direct migration background","14","","",""
"Slightly Expensive","1990","16-34 y.","indirect migration background","1","","",""
"Slightly Expensive","1990","35-65 y.","no migration background","133","0.0691941735749142","0.0578424505369375","0.0805458966128909"
"Slightly Expensive","1990","35-65 y.","direct migration background","20","","",""
"Slightly Expensive","1990","35-65 y.","indirect migration background","","","",""
"Slightly Expensive","1990","66 and older","no migration background","16","","",""
"Slightly Expensive","1990","66 and older","direct migration background","1","","",""
"Slightly Expensive","1990","66 and older","indirect migration background","","","",""
"Too Expensive","1990","16-34 y.","no migration background","15","","",""
"Too Expensive","1990","16-34 y.","direct migration background","4","","",""
"Too Expensive","1990","16-34 y.","indirect migration background","","","",""
"Too Expensive","1990","35-65 y.","no migration background","21","","",""
"Too Expensive","1990","35-65 y.","direct migration background","1","","",""
"Too Expensive","1990","35-65 y.","indirect migration background","","","",""
"Too Expensive","1990","66 and older","no migration background","1","","",""
"Too Expensive","1990","66 and older","direct migration background","","","",""
"Too Expensive","1990","66 and older","indirect migration background","","","",""
"Very Inexpensive","1991","16-34 y.","no migration background","163","0.130252083941138","0.112945780168001","0.147558387714275"
"Very Inexpensive","1991","16-34 y.","direct migration background","17","","",""
"Very Inexpensive","1991","16-34 y.","indirect migration background","6","","",""
"Very Inexpensive","1991","35-65 y.","no migration background","354","0.152112050874351","0.138456684521266","0.165767417227436"
"Very Inexpensive","1991","35-65 y.","direct migration background","40","0.153505496558936","0.112850057445035","0.194160935672838"
"Very Inexpensive","1991","35-65 y.","indirect migration background","1","","",""
"Very Inexpensive","1991","66 and older","no migration background","126","0.206332657879156","0.174783135182329","0.237882180575983"
"Very Inexpensive","1991","66 and older","direct migration background","9","","",""
"Very Inexpensive","1991","66 and older","indirect migration background","","","",""
"Inexpensive","1991","16-34 y.","no migration background","435","0.321985640690302","0.297961216809448","0.346010064571156"
"Inexpensive","1991","16-34 y.","direct migration background","23","","",""
"Inexpensive","1991","16-34 y.","indirect migration background","16","","",""
"Inexpensive","1991","35-65 y.","no migration background","807","0.325501412178928","0.30768504006903","0.343317784288826"
