"hlf0071_h","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"A little too small","1984","Baden-Württemberg","general elemantary","114","0.0956550791432581","0.0737571753558102","0.117552982930706"
"A little too small","1984","Baden-Württemberg","middle vocational","145","0.126640533722749","0.105380348382623","0.147900719062874"
"A little too small","1984","Baden-Württemberg","vocational + Abi","9","","",""
"A little too small","1984","Baden-Württemberg","higher vocational","14","","",""
"A little too small","1984","Baden-Württemberg","higher education","26","","",""
"A little too small","1984","Bavaria","in school","3","","",""
"A little too small","1984","Bavaria","inadequately","15","","",""
"A little too small","1984","Bavaria","general elemantary","91","0.135919935579431","0.108267037183429","0.163572833975433"
"A little too small","1984","Bavaria","middle vocational","187","0.161635714009557","0.139263113440029","0.184008314579086"
"A little too small","1984","Bavaria","vocational + Abi","7","","",""
"A little too small","1984","Bavaria","higher vocational","22","","",""
"A little too small","1984","Bavaria","higher education","35","0.19348766504031","0.131695926617829","0.255279403462792"
"A little too small","1984","Berlin","in school","1","","",""
"A little too small","1984","Berlin","inadequately","17","","",""
"A little too small","1984","Berlin","general elemantary","27","","",""
"A little too small","1984","Berlin","middle vocational","52","0.222701108497416","0.163068679286046","0.282333537708785"
"A little too small","1984","Berlin","vocational + Abi","2","","",""
"A little too small","1984","Berlin","higher vocational","7","","",""
"A little too small","1984","Berlin","higher education","8","","",""
"A little too small","1984","Brandenburg","in school","","","",""
"A little too small","1984","Brandenburg","inadequately","","","",""
"A little too small","1984","Brandenburg","general elemantary","","","",""
"A little too small","1984","Brandenburg","middle vocational","","","",""
"A little too small","1984","Brandenburg","vocational + Abi","","","",""
"A little too small","1984","Brandenburg","higher vocational","","","",""
"A little too small","1984","Brandenburg","higher education","","","",""
"A little too small","1984","Mecklenburg-Western Pomerania","in school","","","",""
"A little too small","1984","Mecklenburg-Western Pomerania","inadequately","","","",""
"A little too small","1984","Mecklenburg-Western Pomerania","general elemantary","","","",""
"A little too small","1984","Mecklenburg-Western Pomerania","middle vocational","","","",""
"A little too small","1984","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"A little too small","1984","Mecklenburg-Western Pomerania","higher vocational","","","",""
"A little too small","1984","Mecklenburg-Western Pomerania","higher education","","","",""
"A little too small","1984","Saxony","in school","","","",""
"A little too small","1984","Saxony","inadequately","","","",""
"A little too small","1984","Saxony","general elemantary","","","",""
"A little too small","1984","Saxony","middle vocational","","","",""
"A little too small","1984","Saxony","vocational + Abi","","","",""
"A little too small","1984","Saxony","higher vocational","","","",""
"A little too small","1984","Saxony","higher education","","","",""
"A little too small","1984","Saxony-Anhalt","in school","","","",""
"A little too small","1984","Saxony-Anhalt","inadequately","","","",""
"A little too small","1984","Saxony-Anhalt","general elemantary","","","",""
"A little too small","1984","Saxony-Anhalt","middle vocational","","","",""
"A little too small","1984","Saxony-Anhalt","vocational + Abi","","","",""
"A little too small","1984","Saxony-Anhalt","higher vocational","","","",""
"A little too small","1984","Saxony-Anhalt","higher education","","","",""
"A little too small","1984","Thuringia","in school","","","",""
"A little too small","1984","Thuringia","inadequately","","","",""
"A little too small","1984","Thuringia","general elemantary","","","",""
"A little too small","1984","Thuringia","middle vocational","","","",""
"A little too small","1984","Thuringia","vocational + Abi","","","",""
"A little too small","1984","Thuringia","higher vocational","","","",""
"A little too small","1984","Thuringia","higher education","","","",""
"Just right","1984","Schleswig-Holstein","in school","6","","",""
"Just right","1984","Schleswig-Holstein","inadequately","4","","",""
"Just right","1984","Schleswig-Holstein","general elemantary","66","0.741895709762004","0.649411432511332","0.834379987012676"
"Just right","1984","Schleswig-Holstein","middle vocational","148","0.666391581658726","0.60408699742652","0.728696165890933"
"Just right","1984","Schleswig-Holstein","vocational + Abi","5","","",""
"Just right","1984","Schleswig-Holstein","higher vocational","18","","",""
"Just right","1984","Schleswig-Holstein","higher education","17","","",""
"Just right","1984","Hamburg","in school","2","","",""
"Just right","1984","Hamburg","inadequately","21","","",""
"Just right","1984","Hamburg","general elemantary","50","0.771972690305071","0.671509933899279","0.872435446710862"
"Just right","1984","Hamburg","middle vocational","115","0.754290618913602","0.686949785485264","0.821631452341939"
"Just right","1984","Hamburg","vocational + Abi","9","","",""
"Just right","1984","Hamburg","higher vocational","15","","",""
"Just right","1984","Hamburg","higher education","9","","",""
"Just right","1984","Lower Saxony","in school","19","","",""
"Just right","1984","Lower Saxony","inadequately","41","0.641035471574076","0.525306279356028","0.756764663792125"
"Just right","1984","Lower Saxony","general elemantary","284","0.802328513609253","0.761584558355441","0.843072468863064"
"Just right","1984","Lower Saxony","middle vocational","458","0.785108300353385","0.75199298040231","0.818223620304459"
"Just right","1984","Lower Saxony","vocational + Abi","15","","",""
"Just right","1984","Lower Saxony","higher vocational","56","0.71136542116267","0.611444805747534","0.811286036577805"
"Just right","1984","Lower Saxony","higher education","61","0.786000725857322","0.69498458580251","0.877016865912135"
