"hlf0071_h","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"2","1993","higher vocational","East Germany","43","0.166087449942216","0.117459552123522","0.214715347760911"
"2","1993","higher education","West Germany","162","0.21365432306147","0.184260885197706","0.243047760925234"
"2","1993","higher education","East Germany","212","0.215102885657161","0.187783703916147","0.242422067398174"
"3","1993","in school","West Germany","86","0.748187173506761","0.670526434085106","0.825847912928417"
"3","1993","in school","East Germany","32","0.519703283750235","0.393286421981233","0.646120145519236"
"3","1993","inadequately","West Germany","382","0.691759740299492","0.654404514766675","0.72911496583231"
"3","1993","inadequately","East Germany","12","","",""
"3","1993","general elemantary","West Germany","1588","0.763003206057676","0.745408942973203","0.780597469142149"
"3","1993","general elemantary","East Germany","326","0.78315808550808","0.743979391004284","0.822336780011876"
"3","1993","middle vocational","West Germany","3210","0.742040878333961","0.729215101186504","0.754866655481417"
"3","1993","middle vocational","East Germany","1461","0.703240611042071","0.68377605669477","0.722705165389371"
"3","1993","vocational + Abi","West Germany","193","0.670242962481652","0.617993591766938","0.722492333196366"
"3","1993","vocational + Abi","East Germany","40","0.60545985708314","0.489293088036022","0.721626626130258"
"3","1993","higher vocational","West Germany","358","0.699551717597463","0.659802149205535","0.73930128598939"
"3","1993","higher vocational","East Germany","149","0.673465397876414","0.612190996081701","0.734739799671127"
"3","1993","higher education","West Germany","473","0.621939972561967","0.58716695291347","0.656712992210465"
"3","1993","higher education","East Germany","561","0.664222518346224","0.632823159221476","0.695621877470972"
"4","1993","in school","West Germany","5","","",""
"4","1993","in school","East Germany","4","","",""
"4","1993","inadequately","West Germany","9","","",""
"4","1993","inadequately","East Germany","","","",""
"4","1993","general elemantary","West Germany","116","0.065329501874901","0.0551055074132831","0.0755534963365189"
"4","1993","general elemantary","East Germany","31","0.0830549474949757","0.0568183183981286","0.109291576591823"
"4","1993","middle vocational","West Germany","303","0.0770115202434999","0.0691957763855479","0.0848272641014519"
"4","1993","middle vocational","East Germany","139","0.0709734397981574","0.0600325598754238","0.0819143197208909"
"4","1993","vocational + Abi","West Germany","29","","",""
"4","1993","vocational + Abi","East Germany","1","","",""
"4","1993","higher vocational","West Germany","44","0.0983467901890696","0.0725279040346384","0.124165676343501"
"4","1993","higher vocational","East Germany","20","","",""
"4","1993","higher education","West Germany","79","0.119940910651311","0.0966424419716376","0.143239379330985"
"4","1993","higher education","East Germany","61","0.0830262366822703","0.0646809571237505","0.10137151624079"
"5","1993","in school","West Germany","","","",""
"5","1993","in school","East Germany","","","",""
"5","1993","inadequately","West Germany","","","",""
"5","1993","inadequately","East Germany","","","",""
"5","1993","general elemantary","West Germany","9","","",""
"5","1993","general elemantary","East Germany","3","","",""
"5","1993","middle vocational","West Germany","18","","",""
"5","1993","middle vocational","East Germany","13","","",""
"5","1993","vocational + Abi","West Germany","2","","",""
"5","1993","vocational + Abi","East Germany","1","","",""
"5","1993","higher vocational","West Germany","2","","",""
"5","1993","higher vocational","East Germany","5","","",""
"5","1993","higher education","West Germany","6","","",""
"5","1993","higher education","East Germany","","","",""
"1","1994","in school","West Germany","6","","",""
"1","1994","in school","East Germany","4","","",""
"1","1994","inadequately","West Germany","59","0.108915488287635","0.0823176064460155","0.135513370129254"
"1","1994","inadequately","East Germany","","","",""
"1","1994","general elemantary","West Germany","110","0.0257408519808584","0.0188823097092657","0.0325993942524511"
"1","1994","general elemantary","East Germany","4","","",""
"1","1994","middle vocational","West Germany","144","0.0218065992128504","0.0174857248785315","0.0261274735471693"
"1","1994","middle vocational","East Germany","73","0.0308446056281035","0.0234072125363074","0.0382819987198996"
"1","1994","vocational + Abi","West Germany","10","","",""
"1","1994","vocational + Abi","East Germany","5","","",""
"1","1994","higher vocational","West Germany","13","","",""
"1","1994","higher vocational","East Germany","11","","",""
"1","1994","higher education","West Germany","16","","",""
"1","1994","higher education","East Germany","42","0.0445712470396534","0.030673867065158","0.0584686270141488"
"2","1994","in school","West Germany","27","","",""
"2","1994","in school","East Germany","24","","",""
"2","1994","inadequately","West Germany","112","0.207900766263466","0.17325416603193","0.242547366495001"
"2","1994","inadequately","East Germany","2","","",""
"2","1994","general elemantary","West Germany","324","0.125091787343213","0.11076401209319","0.139419562593236"
"2","1994","general elemantary","East Germany","54","0.111319215359321","0.0806869904127695","0.141951440305873"
"2","1994","middle vocational","West Germany","697","0.14147038081444","0.131159976329379","0.1517807852995"
"2","1994","middle vocational","East Germany","438","0.198776217620473","0.181609251756972","0.215943183483974"
"2","1994","vocational + Abi","West Germany","73","0.23799716893542","0.190667650633539","0.2853266872373"
"2","1994","vocational + Abi","East Germany","24","","",""
"2","1994","higher vocational","West Germany","90","0.156429553048054","0.124994840816338","0.18786426527977"
"2","1994","higher vocational","East Germany","39","0.152128404146342","0.10581440332515","0.198442404967533"
"2","1994","higher education","West Germany","177","0.208614031274796","0.180190424036476","0.237037638513116"
"2","1994","higher education","East Germany","185","0.200476963131594","0.17351483835808","0.227439087905109"
"3","1994","in school","West Germany","103","0.729168006243898","0.658052182100689","0.800283830387108"
"3","1994","in school","East Germany","52","0.616883624209217","0.512921432494884","0.720845815923549"
"3","1994","inadequately","West Germany","347","0.66154412406304","0.621144881683307","0.701943366442773"
"3","1994","inadequately","East Germany","8","","",""
"3","1994","general elemantary","West Germany","1489","0.778000430129075","0.760001400166842","0.795999460091308"
"3","1994","general elemantary","East Germany","312","0.786695573019004","0.746800077179545","0.826591068858464"
"3","1994","middle vocational","West Germany","3213","0.743603371779944","0.730685465464179","0.756521278095708"
"3","1994","middle vocational","East Germany","1409","0.687764591088604","0.66783054770604","0.707698634471167"
"3","1994","vocational + Abi","West Germany","200","0.61569829359993","0.561636801521238","0.669759785678623"
"3","1994","vocational + Abi","East Germany","41","0.59055076193376","0.478513913977938","0.702587609889581"
"3","1994","higher vocational","West Germany","362","0.711315276117852","0.672102067676457","0.750528484559248"
"3","1994","higher vocational","East Germany","154","0.688677491674844","0.628966359477691","0.748388623871997"
"3","1994","higher education","West Germany","506","0.637510413129503","0.603882131820405","0.6711386944386"
"3","1994","higher education","East Germany","554","0.672459969448229","0.640853804905852","0.704066133990606"
"4","1994","in school","West Germany","13","","",""
"4","1994","in school","East Germany","4","","",""
"4","1994","inadequately","West Germany","9","","",""
"4","1994","inadequately","East Germany","","","",""
"4","1994","general elemantary","West Germany","115","0.0657174567636841","0.0549859029906695","0.0764490105366987"
"4","1994","general elemantary","East Germany","29","","",""
"4","1994","middle vocational","West Germany","315","0.0877661743247132","0.0793950851069669","0.0961372635424596"
"4","1994","middle vocational","East Germany","135","0.0740993731500192","0.0628319689940662","0.0853667773059722"
"4","1994","vocational + Abi","West Germany","24","","",""
"4","1994","vocational + Abi","East Germany","4","","",""
"4","1994","higher vocational","West Germany","44","0.107892395330764","0.0810455385050412","0.134739252156487"
"4","1994","higher vocational","East Germany","22","","",""
"4","1994","higher education","West Germany","81","0.128265553815895","0.104873929159612","0.151657178472179"
"4","1994","higher education","East Germany","62","0.0777040220194797","0.0596753684906569","0.0957326755483026"
"5","1994","in school","West Germany","1","","",""
"5","1994","in school","East Germany","","","",""
"5","1994","inadequately","West Germany","","","",""
"5","1994","inadequately","East Germany","","","",""
"5","1994","general elemantary","West Germany","10","","",""
"5","1994","general elemantary","East Germany","6","","",""
"5","1994","middle vocational","West Germany","20","","",""
"5","1994","middle vocational","East Germany","21","","",""
"5","1994","vocational + Abi","West Germany","4","","",""
"5","1994","vocational + Abi","East Germany","","","",""
"5","1994","higher vocational","West Germany","4","","",""
"5","1994","higher vocational","East Germany","5","","",""
"5","1994","higher education","West Germany","5","","",""
"5","1994","higher education","East Germany","4","","",""
"1","1995","in school","West Germany","5","","",""
"1","1995","in school","East Germany","4","","",""
"1","1995","inadequately","West Germany","29","","",""
"1","1995","inadequately","East Germany","","","",""
"1","1995","general elemantary","West Germany","109","0.0266699372302778","0.0197773394282248","0.0335625350323309"
"1","1995","general elemantary","East Germany","6","","",""
"1","1995","middle vocational","West Germany","139","0.0205836640968428","0.0164907638594482","0.0246765643342374"
"1","1995","middle vocational","East Germany","70","0.0295223778733863","0.0221844054477076","0.0368603502990651"
"1","1995","vocational + Abi","West Germany","13","","",""
"1","1995","vocational + Abi","East Germany","3","","",""
"1","1995","higher vocational","West Germany","17","","",""
"1","1995","higher vocational","East Germany","7","","",""
"1","1995","higher education","West Germany","34","0.0361751641758078","0.0240231362359939","0.0483271921156218"
"1","1995","higher education","East Germany","30","0.0276755725652384","0.0165557243851277","0.038795420745349"
"2","1995","in school","West Germany","43","0.221442881990488","0.16111910866917","0.281766655311805"
"2","1995","in school","East Germany","25","","",""
"2","1995","inadequately","West Germany","126","0.274276937222436","0.235441855864759","0.313112018580112"
"2","1995","inadequately","East Germany","1","","",""
"2","1995","general elemantary","West Germany","330","0.120986756243539","0.107035654772139","0.134937857714939"
"2","1995","general elemantary","East Germany","51","0.113343689049167","0.081636422359023","0.14505095573931"
"2","1995","middle vocational","West Germany","737","0.137706290062514","0.127773056610457","0.147639523514572"
"2","1995","middle vocational","East Germany","371","0.180164076028909","0.163502916722587","0.196825235335231"
"2","1995","vocational + Abi","West Germany","104","0.253059407024089","0.210769245071304","0.295349568976874"
"2","1995","vocational + Abi","East Germany","19","","",""
"2","1995","higher vocational","West Germany","93","0.165024997961812","0.13336267791094","0.196687318012683"
"2","1995","higher vocational","East Germany","43","0.160778707780187","0.113613403084145","0.207944012476229"
"2","1995","higher education","West Germany","197","0.193854945111343","0.168127924962748","0.219581965259939"
"2","1995","higher education","East Germany","193","0.21840297186592","0.190396031039165","0.246409912692675"
"3","1995","in school","West Germany","120","0.662088713710708","0.593370503731138","0.730806923690279"
"3","1995","in school","East Germany","61","0.671319347219699","0.577840386336815","0.764798308102582"
"3","1995","inadequately","West Germany","341","0.659578844148025","0.61833247341744","0.70082521487861"
"3","1995","inadequately","East Germany","9","","",""
"3","1995","general elemantary","West Germany","1514","0.75862352556983","0.740317144657155","0.776929906482504"
"3","1995","general elemantary","East Germany","296","0.793886615888781","0.753427646489146","0.834345585288416"
"3","1995","middle vocational","West Germany","3394","0.743989339832767","0.731408821774024","0.756569857891511"
"3","1995","middle vocational","East Germany","1447","0.708343591564128","0.68863909281504","0.728048090313216"
"3","1995","vocational + Abi","West Germany","254","0.619723457766847","0.572502606708396","0.666944308825297"
"3","1995","vocational + Abi","East Germany","39","0.566865163327617","0.44994888369337","0.683781442961864"
"3","1995","higher vocational","West Germany","364","0.688935020827815","0.649448777231213","0.728421264424418"
"3","1995","higher vocational","East Germany","160","0.698802757506826","0.639894940194646","0.757710574819006"
"3","1995","higher education","West Germany","567","0.633321573384984","0.601959897073494","0.664683249696473"
"3","1995","higher education","East Germany","531","0.650764575197625","0.618448690550405","0.683080459844846"
"4","1995","in school","West Germany","12","","",""
"4","1995","in school","East Germany","7","","",""
"4","1995","inadequately","West Germany","11","","",""
"4","1995","inadequately","East Germany","","","",""
"4","1995","general elemantary","West Germany","135","0.0865413802898471","0.0745132473425566","0.0985695132371375"
"4","1995","general elemantary","East Germany","31","0.0833140761332485","0.0556731906577592","0.110954961608738"
"4","1995","middle vocational","West Germany","328","0.0905922002221429","0.0823182884519494","0.0988661119923364"
"4","1995","middle vocational","East Germany","142","0.0742484176510152","0.0628826577324031","0.0856141775696273"
"4","1995","vocational + Abi","West Germany","31","0.0784358668502617","0.0522838488515319","0.104587884848992"
"4","1995","vocational + Abi","East Germany","8","","",""
"4","1995","higher vocational","West Germany","52","0.119984613791179","0.0922680720455743","0.147701155536783"
"4","1995","higher vocational","East Germany","21","","",""
"4","1995","higher education","West Germany","101","0.122393669052929","0.101064506785235","0.143722831320623"
"4","1995","higher education","East Germany","77","0.0973447922161544","0.0772509836885915","0.117438600743717"
"5","1995","in school","West Germany","2","","",""
"5","1995","in school","East Germany","","","",""
"5","1995","inadequately","West Germany","","","",""
"5","1995","inadequately","East Germany","","","",""
"5","1995","general elemantary","West Germany","11","","",""
"5","1995","general elemantary","East Germany","","","",""
"5","1995","middle vocational","West Germany","25","","",""
"5","1995","middle vocational","East Germany","14","","",""
"5","1995","vocational + Abi","West Germany","4","","",""
"5","1995","vocational + Abi","East Germany","","","",""
"5","1995","higher vocational","West Germany","2","","",""
"5","1995","higher vocational","East Germany","2","","",""
"5","1995","higher education","West Germany","8","","",""
"5","1995","higher education","East Germany","5","","",""
"1","1996","in school","West Germany","4","","",""
"1","1996","in school","East Germany","4","","",""
"1","1996","inadequately","West Germany","36","0.0558287234543796","0.0352251219083832","0.076432325000376"
"1","1996","inadequately","East Germany","","","",""
"1","1996","general elemantary","West Germany","95","0.0236338293405898","0.0169896760134536","0.0302779826677261"
"1","1996","general elemantary","East Germany","6","","",""
"1","1996","middle vocational","West Germany","107","0.0150768898581961","0.0115388263703784","0.0186149533460138"
"1","1996","middle vocational","East Germany","62","0.0305309228083735","0.0230283649648568","0.0380334806518901"
"1","1996","vocational + Abi","West Germany","21","","",""
"1","1996","vocational + Abi","East Germany","5","","",""
"1","1996","higher vocational","West Germany","15","","",""
"1","1996","higher vocational","East Germany","9","","",""
"1","1996","higher education","West Germany","22","","",""
"1","1996","higher education","East Germany","29","","",""
"2","1996","in school","West Germany","55","0.255734626091992","0.194024540143079","0.317444712040904"
"2","1996","in school","East Germany","20","","",""
"2","1996","inadequately","West Germany","108","0.273708021530633","0.233696203223042","0.313719839838224"
"2","1996","inadequately","East Germany","3","","",""
"2","1996","general elemantary","West Germany","298","0.11158597871164","0.0978145578002989","0.125357399622981"
"2","1996","general elemantary","East Germany","57","0.123512486448003","0.0898502196340289","0.157174753261978"
"2","1996","middle vocational","West Germany","759","0.144725771389243","0.134510869347612","0.154940673430874"
"2","1996","middle vocational","East Germany","375","0.182144123943811","0.165312796149049","0.198975451738573"
"2","1996","vocational + Abi","West Germany","95","0.236918907976438","0.19519866293725","0.278639153015626"
"2","1996","vocational + Abi","East Germany","20","","",""
"2","1996","higher vocational","West Germany","73","0.130457944603768","0.101971286066007","0.158944603141529"
"2","1996","higher vocational","East Germany","43","0.141245029331158","0.0963329337464417","0.186157124915874"
"2","1996","higher education","West Germany","181","0.189711880586948","0.164404358141594","0.215019403032302"
"2","1996","higher education","East Germany","190","0.219490472036832","0.191450194828591","0.247530749245073"
"3","1996","in school","West Germany","120","0.643258717376331","0.575499715248839","0.711017719503823"
"3","1996","in school","East Germany","68","0.733383500128868","0.645835922911695","0.820931077346042"
"3","1996","inadequately","West Germany","320","0.640399770259431","0.597334768877912","0.683464771640949"
"3","1996","inadequately","East Germany","10","","",""
"3","1996","general elemantary","West Germany","1460","0.765067276581268","0.746523943182439","0.783610609980097"
"3","1996","general elemantary","East Germany","283","0.808973452802131","0.768754657582693","0.849192248021568"
"3","1996","middle vocational","West Germany","3295","0.728521661790766","0.715609546279972","0.74143377730156"
"3","1996","middle vocational","East Germany","1428","0.700932633051315","0.680966449481136","0.720898816621495"
"3","1996","vocational + Abi","West Germany","245","0.613043710532777","0.565253568776297","0.660833852289258"
"3","1996","vocational + Abi","East Germany","42","0.55613204265078","0.443688811767662","0.668575273533899"
"3","1996","higher vocational","West Germany","395","0.730899042372868","0.693389024919086","0.76840905982665"
"3","1996","higher vocational","East Germany","161","0.717877410351402","0.65984291990063","0.775911900802175"
"3","1996","higher education","West Germany","609","0.639246638383863","0.608249468017785","0.670243808749942"
"3","1996","higher education","East Germany","557","0.67746937485264","0.645801736616984","0.709137013088296"
"4","1996","in school","West Germany","13","","",""
"4","1996","in school","East Germany","6","","",""
"4","1996","inadequately","West Germany","11","","",""
"4","1996","inadequately","East Germany","","","",""
"4","1996","general elemantary","West Germany","138","0.0873706246443614","0.0750197936526098","0.099721455636113"
"4","1996","general elemantary","East Germany","18","","",""
"4","1996","middle vocational","West Germany","379","0.107115403818378","0.0981363162552981","0.116094491381457"
"4","1996","middle vocational","East Germany","144","0.0814207262327088","0.0694946326413237","0.093346819824094"
"4","1996","vocational + Abi","West Germany","36","0.0913623158076516","0.0630913552248749","0.119633276390428"
"4","1996","vocational + Abi","East Germany","8","","",""
"4","1996","higher vocational","West Germany","52","0.12131647673658","0.093701983096516","0.148930970376645"
"4","1996","higher vocational","East Germany","15","","",""
"4","1996","higher education","West Germany","101","0.138410682899631","0.116120296911858","0.160701068887405"
"4","1996","higher education","East Germany","59","0.0751929529583792","0.0573280978777558","0.0930578080390027"
"5","1996","in school","West Germany","","","",""
"5","1996","in school","East Germany","","","",""
"5","1996","inadequately","West Germany","2","","",""
"5","1996","inadequately","East Germany","","","",""
"5","1996","general elemantary","West Germany","17","","",""
"5","1996","general elemantary","East Germany","3","","",""
"5","1996","middle vocational","West Germany","17","","",""
"5","1996","middle vocational","East Germany","11","","",""
"5","1996","vocational + Abi","West Germany","2","","",""
"5","1996","vocational + Abi","East Germany","","","",""
"5","1996","higher vocational","West Germany","2","","",""
"5","1996","higher vocational","East Germany","3","","",""
"5","1996","higher education","West Germany","9","","",""
"5","1996","higher education","East Germany","2","","",""
"1","1997","in school","West Germany","16","","",""
"1","1997","in school","East Germany","6","","",""
"1","1997","inadequately","West Germany","30","0.0486013167807577","0.0287776419827062","0.0684249915788091"
"1","1997","inadequately","East Germany","","","",""
"1","1997","general elemantary","West Germany","57","0.0134126016203661","0.00833932157901425","0.0184858816617179"
"1","1997","general elemantary","East Germany","6","","",""
"1","1997","middle vocational","West Germany","88","0.0141958445760349","0.0107344907464445","0.0176571984056252"
"1","1997","middle vocational","East Germany","44","0.0223531388179107","0.0158531977336607","0.0288530799021608"
"1","1997","vocational + Abi","West Germany","19","","",""
"1","1997","vocational + Abi","East Germany","3","","",""
"1","1997","higher vocational","West Germany","12","","",""
"1","1997","higher vocational","East Germany","8","","",""
"1","1997","higher education","West Germany","21","","",""
"1","1997","higher education","East Germany","19","","",""
"2","1997","in school","West Germany","48","0.22777722063482","0.17022534841654","0.2853290928531"
"2","1997","in school","East Germany","26","","",""
"2","1997","inadequately","West Germany","93","0.254507226313589","0.214351207262623","0.294663245364556"
"2","1997","inadequately","East Germany","1","","",""
"2","1997","general elemantary","West Germany","307","0.11761941177379","0.103411442302135","0.131827381245445"
"2","1997","general elemantary","East Germany","39","0.0858220266479482","0.0565192150864452","0.115124838209451"
"2","1997","middle vocational","West Germany","729","0.147080123992004","0.136716750089053","0.157443497894956"
"2","1997","middle vocational","East Germany","357","0.180605336196659","0.163690764233577","0.197519908159741"
"2","1997","vocational + Abi","West Germany","94","0.24796050874692","0.204599718755538","0.291321298738303"
"2","1997","vocational + Abi","East Germany","21","","",""
"2","1997","higher vocational","West Germany","95","0.178500623936615","0.145744543604142","0.211256704269088"
"2","1997","higher vocational","East Germany","37","0.159754121675073","0.112609372457965","0.206898870892181"
"2","1997","higher education","West Germany","185","0.203494936122096","0.177578260216477","0.229411612027716"
"2","1997","higher education","East Germany","170","0.200074247614879","0.172988145144253","0.227160350085505"
"3","1997","in school","West Germany","131","0.664619636480297","0.599832556372479","0.729406716588115"
"3","1997","in school","East Germany","75","0.712997558828364","0.628462167918141","0.797532949738587"
"3","1997","inadequately","West Germany","312","0.649488235662859","0.605502099167623","0.693474372158095"
"3","1997","inadequately","East Germany","10","","",""
"3","1997","general elemantary","West Germany","1476","0.769936785876829","0.751375174854459","0.7884983968992"
"3","1997","general elemantary","East Germany","282","0.792457084755142","0.750030666860975","0.834883502649308"
"3","1997","middle vocational","West Germany","3277","0.723659438659722","0.710574867619357","0.736744009700086"
"3","1997","middle vocational","East Germany","1443","0.717332541126496","0.697533355328336","0.737131726924655"
"3","1997","vocational + Abi","West Germany","246","0.638277345085726","0.590029472005663","0.68652521816579"
"3","1997","vocational + Abi","East Germany","40","0.528198116808454","0.413682446321513","0.642713787295395"
"3","1997","higher vocational","West Germany","377","0.705268040516355","0.666268529922769","0.744267551109941"
"3","1997","higher vocational","East Germany","161","0.704674792107533","0.645973356061442","0.763376228153624"
"3","1997","higher education","West Germany","633","0.653156438853903","0.622516799541793","0.683796078166014"
"3","1997","higher education","East Germany","581","0.675104801233854","0.643395744227747","0.70681385823996"
"4","1997","in school","West Germany","9","","",""
"4","1997","in school","East Germany","3","","",""
"4","1997","inadequately","West Germany","17","","",""
"4","1997","inadequately","East Germany","","","",""
"4","1997","general elemantary","West Germany","126","0.0910590834245757","0.0783710590217787","0.103747107827373"
"4","1997","general elemantary","East Germany","22","","",""
"4","1997","middle vocational","West Germany","369","0.108701808775074","0.0995942925376536","0.117809325012494"
"4","1997","middle vocational","East Germany","133","0.0748856778316213","0.0633126701249226","0.08645868553832"
"4","1997","vocational + Abi","West Germany","22","","",""
"4","1997","vocational + Abi","East Germany","9","","",""
"4","1997","higher vocational","West Germany","41","0.10137721876523","0.0755589369078443","0.127195500622616"
"4","1997","higher vocational","East Germany","24","","",""
"4","1997","higher education","West Germany","80","0.109437686538569","0.0893410289846719","0.129534344092466"
"4","1997","higher education","East Germany","65","0.101485712920683","0.0810405286708805","0.121930897170486"
"5","1997","in school","West Germany","","","",""
"5","1997","in school","East Germany","","","",""
"5","1997","inadequately","West Germany","","","",""
"5","1997","inadequately","East Germany","","","",""
"5","1997","general elemantary","West Germany","9","","",""
"5","1997","general elemantary","East Germany","2","","",""
"5","1997","middle vocational","West Germany","24","","",""
"5","1997","middle vocational","East Germany","10","","",""
"5","1997","vocational + Abi","West Germany","","","",""
"5","1997","vocational + Abi","East Germany","","","",""
"5","1997","higher vocational","West Germany","","","",""
"5","1997","higher vocational","East Germany","2","","",""
"5","1997","higher education","West Germany","8","","",""
"5","1997","higher education","East Germany","3","","",""
"1","1998","in school","West Germany","9","","",""
"1","1998","in school","East Germany","2","","",""
"1","1998","inadequately","West Germany","30","0.0749527743939683","0.0496494703103265","0.10025607847761"
"1","1998","inadequately","East Germany","1","","",""
"1","1998","general elemantary","West Germany","74","0.0223413744475135","0.0160293674816495","0.0286533814133774"
"1","1998","general elemantary","East Germany","9","","",""
"1","1998","middle vocational","West Germany","112","0.0236550700726313","0.0193696506916569","0.0279404894536056"
"1","1998","middle vocational","East Germany","39","0.0166722680222417","0.0111868470549225","0.0221576889895609"
"1","1998","vocational + Abi","West Germany","15","","",""
"1","1998","vocational + Abi","East Germany","1","","",""
"1","1998","higher vocational","West Germany","13","","",""
"1","1998","higher vocational","East Germany","6","","",""
"1","1998","higher education","West Germany","29","","",""
"1","1998","higher education","East Germany","22","","",""
"2","1998","in school","West Germany","43","0.143654634642568","0.0966624645533345","0.190646804731801"
"2","1998","in school","East Germany","27","","",""
"2","1998","inadequately","West Germany","79","0.199161612029003","0.160784111751791","0.237539112306214"
"2","1998","inadequately","East Germany","","","",""
"2","1998","general elemantary","West Germany","310","0.129941602678114","0.115581180144261","0.144302025211968"
"2","1998","general elemantary","East Germany","43","0.0946451469430836","0.0652134783506368","0.12407681553553"
"2","1998","middle vocational","West Germany","736","0.137471306391575","0.127761236006626","0.147181376776523"
"2","1998","middle vocational","East Germany","353","0.176351965235948","0.160024285921492","0.192679644550404"
"2","1998","vocational + Abi","West Germany","96","0.212069733048798","0.173700061377594","0.250439404720001"
"2","1998","vocational + Abi","East Germany","15","","",""
"2","1998","higher vocational","West Germany","96","0.169909697136564","0.139319620693815","0.200499773579314"
"2","1998","higher vocational","East Germany","34","0.120610971328458","0.0792354440341563","0.16198649862276"
"2","1998","higher education","West Germany","204","0.171618387113754","0.149214118205536","0.194022656021973"
"2","1998","higher education","East Germany","150","0.174310417636331","0.149072221986419","0.199548613286243"
"3","1998","in school","West Germany","148","0.72247148586039","0.662477824794124","0.782465146926655"
"3","1998","in school","East Germany","72","0.611850340390459","0.520363832647031","0.703336848133888"
"3","1998","inadequately","West Germany","292","0.685619991467131","0.641006046976491","0.730233935957771"
"3","1998","inadequately","East Germany","13","","",""
"3","1998","general elemantary","West Germany","1532","0.738838610998675","0.720077947919922","0.757599274077428"
"3","1998","general elemantary","East Germany","299","0.79908947744016","0.7588033668816","0.83937558799872"
"3","1998","middle vocational","West Germany","3526","0.725844667146888","0.713265561443697","0.738423772850078"
"3","1998","middle vocational","East Germany","1513","0.703643611720545","0.684080091746328","0.723207131694763"
"3","1998","vocational + Abi","West Germany","292","0.660195229985694","0.615736630978351","0.704653828993037"
"3","1998","vocational + Abi","East Germany","44","0.564188686481803","0.446331770822995","0.682045602140612"
"3","1998","higher vocational","West Germany","415","0.704549261949075","0.667386581508105","0.741711942390046"
"3","1998","higher vocational","East Germany","166","0.721903132592246","0.664978907918989","0.778827357265503"
"3","1998","higher education","West Germany","725","0.668713046953908","0.640745414219555","0.696680679688262"
"3","1998","higher education","East Germany","598","0.659358671254442","0.627830574219215","0.69088676828967"
"4","1998","in school","West Germany","10","","",""
"4","1998","in school","East Germany","8","","",""
"4","1998","inadequately","West Germany","15","","",""
"4","1998","inadequately","East Germany","1","","",""
"4","1998","general elemantary","West Germany","171","0.0998840597032","0.0870779792251599","0.11269014018124"
"4","1998","general elemantary","East Germany","29","","",""
"4","1998","middle vocational","West Germany","420","0.104201428139037","0.0955861046153801","0.112816751662694"
"4","1998","middle vocational","East Germany","179","0.0967846776325316","0.0841180084250918","0.109451346839971"
"4","1998","vocational + Abi","West Germany","31","0.0716087622751338","0.0474066402420801","0.0958108843081874"
"4","1998","vocational + Abi","East Germany","8","","",""
"4","1998","higher vocational","West Germany","49","0.0899751784300938","0.0666676197372205","0.113282737122967"
"4","1998","higher vocational","East Germany","29","","",""
"4","1998","higher education","West Germany","115","0.113025613725425","0.0942117662177912","0.131839461233059"
"4","1998","higher education","East Germany","94","0.127896332542234","0.105678518350608","0.15011414673386"
"5","1998","in school","West Germany","4","","",""
"5","1998","in school","East Germany","","","",""
"5","1998","inadequately","West Germany","","","",""
"5","1998","inadequately","East Germany","","","",""
"5","1998","general elemantary","West Germany","19","","",""
"5","1998","general elemantary","East Germany","","","",""
"5","1998","middle vocational","West Germany","37","0.00882752824986944","0.00618983829050825","0.0114652182092306"
"5","1998","middle vocational","East Germany","9","","",""
"5","1998","vocational + Abi","West Germany","2","","",""
"5","1998","vocational + Abi","East Germany","","","",""
"5","1998","higher vocational","West Germany","6","","",""
"5","1998","higher vocational","East Germany","3","","",""
"5","1998","higher education","West Germany","15","","",""
"5","1998","higher education","East Germany","4","","",""
"1","1999","in school","West Germany","6","","",""
"1","1999","in school","East Germany","2","","",""
"1","1999","inadequately","West Germany","17","","",""
"1","1999","inadequately","East Germany","","","",""
"1","1999","general elemantary","West Germany","72","0.0191403380502998","0.0132391931223307","0.0250414829782688"
"1","1999","general elemantary","East Germany","4","","",""
"1","1999","middle vocational","West Germany","88","0.0148668581378012","0.0114612904443461","0.0182724258312563"
"1","1999","middle vocational","East Germany","31","0.0126611656897238","0.00785855167233666","0.0174637797071109"
"1","1999","vocational + Abi","West Germany","10","","",""
"1","1999","vocational + Abi","East Germany","1","","",""
"1","1999","higher vocational","West Germany","6","","",""
"1","1999","higher vocational","East Germany","5","","",""
"1","1999","higher education","West Germany","30","0.021605515647224","0.0130369161645163","0.0301741151299317"
"1","1999","higher education","East Germany","12","","",""
"2","1999","in school","West Germany","46","0.207693979707384","0.153470511392626","0.261917448022142"
"2","1999","in school","East Germany","17","","",""
"2","1999","inadequately","West Germany","77","0.219673369589994","0.179450059549959","0.25989667963003"
"2","1999","inadequately","East Germany","","","",""
"2","1999","general elemantary","West Germany","273","0.116106283609632","0.10230924349795","0.129903323721315"
"2","1999","general elemantary","East Germany","48","0.0994410491570227","0.069031110541559","0.129850987772486"
"2","1999","middle vocational","West Germany","744","0.144354943481624","0.134464970457894","0.154244916505353"
"2","1999","middle vocational","East Germany","339","0.161663268370482","0.145849963156306","0.177476573584659"
"2","1999","vocational + Abi","West Germany","100","0.214594936777031","0.176059398462032","0.25313047509203"
"2","1999","vocational + Abi","East Germany","18","","",""
