"hlf0071_h","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"Just right","1986","Couple + C. GT 16 ","East Germany","","","",""
"Just right","1986","Couple + C. LE and GT 16","West Germany","85","0.874739020485335","0.809202677287539","0.940275363683131"
"Just right","1986","Couple + C. LE and GT 16","East Germany","","","",""
"A little too big","1986","1-pers.-HH","West Germany","10","","",""
"A little too big","1986","1-pers.-HH","East Germany","","","",""
"A little too big","1986","(Married) couple without C. ","West Germany","31","0.115719090460043","0.081964241124573","0.149473939795512"
"A little too big","1986","(Married) couple without C. ","East Germany","","","",""
"A little too big","1986","Single parent ","West Germany","2","","",""
"A little too big","1986","Single parent ","East Germany","","","",""
"A little too big","1986","Couple + C. LE 16 ","West Germany","18","","",""
"A little too big","1986","Couple + C. LE 16 ","East Germany","","","",""
"A little too big","1986","Couple + C. GT 16 ","West Germany","4","","",""
"A little too big","1986","Couple + C. GT 16 ","East Germany","","","",""
"A little too big","1986","Couple + C. LE and GT 16","West Germany","7","","",""
"A little too big","1986","Couple + C. LE and GT 16","East Germany","","","",""
"Much too big","1986","1-pers.-HH","West Germany","1","","",""
"Much too big","1986","1-pers.-HH","East Germany","","","",""
"Much too big","1986","(Married) couple without C. ","West Germany","2","","",""
"Much too big","1986","(Married) couple without C. ","East Germany","","","",""
"Much too big","1986","Single parent ","West Germany","","","",""
"Much too big","1986","Single parent ","East Germany","","","",""
"Much too big","1986","Couple + C. LE 16 ","West Germany","","","",""
"Much too big","1986","Couple + C. LE 16 ","East Germany","","","",""
"Much too big","1986","Couple + C. GT 16 ","West Germany","","","",""
"Much too big","1986","Couple + C. GT 16 ","East Germany","","","",""
"Much too big","1986","Couple + C. LE and GT 16","West Germany","","","",""
"Much too big","1986","Couple + C. LE and GT 16","East Germany","","","",""
"Much too small","1987","1-pers.-HH","West Germany","7","","",""
"Much too small","1987","1-pers.-HH","East Germany","","","",""
"Much too small","1987","(Married) couple without C. ","West Germany","6","","",""
"Much too small","1987","(Married) couple without C. ","East Germany","","","",""
"Much too small","1987","Single parent ","West Germany","2","","",""
"Much too small","1987","Single parent ","East Germany","","","",""
"Much too small","1987","Couple + C. LE 16 ","West Germany","13","","",""
"Much too small","1987","Couple + C. LE 16 ","East Germany","","","",""
"Much too small","1987","Couple + C. GT 16 ","West Germany","10","","",""
"Much too small","1987","Couple + C. GT 16 ","East Germany","","","",""
"Much too small","1987","Couple + C. LE and GT 16","West Germany","","","",""
"Much too small","1987","Couple + C. LE and GT 16","East Germany","","","",""
"A little too small","1987","1-pers.-HH","West Germany","28","","",""
"A little too small","1987","1-pers.-HH","East Germany","","","",""
"A little too small","1987","(Married) couple without C. ","West Germany","29","","",""
