"hlf0071_h","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence","value"
"Much too small","1995","35-65 y.","Employed","146","0.0219111302585822","0.0177864353678216","0.0260358251493428","1"
"Much too small","1995","66 and older","Employed","","","","","1"
"Much too small","1995","66 and older","Not Employed","6","","","","1"
"A little too big","1996","16-34 y.","Not Employed","61","0.064822147892278","0.0512489128661458","0.0783953829184102","4"
"A little too big","1996","16-34 y.","Employed","205","0.0676186698505475","0.0592606910313358","0.0759766486697592","4"
"A little too big","1996","35-65 y.","Not Employed","171","0.112285890775573","0.0978483684613321","0.126723413089814","4"
"A little too big","1996","35-65 y.","Employed","359","0.102558524174533","0.094027360276666","0.111089688072399","4"
"A little too big","1996","66 and older","Not Employed","186","0.130989783705549","0.113989358627704","0.147990208783395","4"
"A little too big","1996","66 and older","Employed","6","","","","4"
"A little too small","1996","16-34 y.","Not Employed","324","0.250949651910527","0.227048250925791","0.274851052895262","2"
"A little too small","1996","16-34 y.","Employed","794","0.245989519513876","0.231653843957463","0.26032519507029","2"
"A little too small","1996","35-65 y.","Not Employed","252","0.120950770936717","0.106039851216059","0.135861690657376","2"
"A little too small","1996","35-65 y.","Employed","856","0.158114999740505","0.147855356541115","0.168374642939896","2"
"A little too small","1996","66 and older","Employed","6","","","","2"
"A little too small","1996","66 and older","Not Employed","100","0.0506289161778933","0.0395818757818148","0.0616759565739719","2"
"Just right","1996","16-34 y.","Not Employed","793","0.622120817891078","0.59539146747555","0.648850168306607","3"
"Just right","1996","16-34 y.","Employed","2285","0.640948023568024","0.62497962965523","0.656916417480819","3"
"Just right","1996","35-65 y.","Not Employed","1362","0.750033644676645","0.730233212732419","0.769834076620871","3"
"Just right","1996","35-65 y.","Employed","3493","0.717660829370713","0.705002845893693","0.730318812847732","3"
"Just right","1996","66 and older","Employed","37","0.781379418143545","0.667946394245139","0.894812442041951","3"
"Just right","1996","66 and older","Not Employed","1202","0.802398950099486","0.782334908168226","0.822462992030746","3"
"Much too big","1996","16-34 y.","Not Employed","3","","","","5"
"Much too big","1996","16-34 y.","Employed","11","","","","5"
"Much too big","1996","35-65 y.","Not Employed","10","","","","5"
"Much too big","1996","35-65 y.","Employed","21","","","","5"
"Much too big","1996","66 and older","Not Employed","22","","","","5"
"Much too big","1996","66 and older","Employed","2","","","","5"
"Much too small","1996","16-34 y.","Not Employed","83","0.0596682770655171","0.0466099709045502","0.0727265832264841","1"
"Much too small","1996","16-34 y.","Employed","172","0.0425452311938092","0.0358269875876778","0.0492634747999405","1"
"Much too small","1996","35-65 y.","Not Employed","42","0.0102307278394317","0.00562907594510469","0.0148323797337586","1"
"Much too small","1996","35-65 y.","Employed","129","0.0164024759610787","0.0128307119734429","0.0199742399487146","1"
"Much too small","1996","66 and older","Employed","","","","","1"
"Much too small","1996","66 and older","Not Employed","3","","","","1"
"A little too big","1997","16-34 y.","Not Employed","64","0.0612591042400701","0.0482583518372096","0.0742598566429307","4"
"A little too big","1997","16-34 y.","Employed","171","0.0660070464612784","0.0575304513466233","0.0744836415759335","4"
"A little too big","1997","35-65 y.","Not Employed","175","0.109590938794402","0.0954023121225214","0.123779565466283","4"
"A little too big","1997","35-65 y.","Employed","332","0.0965797316411748","0.0881830746105167","0.104976388671833","4"
"A little too big","1997","66 and older","Not Employed","181","0.136663018051909","0.119540839471995","0.153785196631823","4"
"A little too big","1997","66 and older","Employed","4","","","","4"
"A little too small","1997","16-34 y.","Not Employed","327","0.264995697223167","0.241069446515287","0.288921947931047","2"
"A little too small","1997","16-34 y.","Employed","754","0.240460099901135","0.22587023408524","0.25504996571703","2"
"A little too small","1997","35-65 y.","Not Employed","242","0.125298806907239","0.110261793741176","0.140335820073301","2"
"A little too small","1997","35-65 y.","Employed","838","0.171902606009528","0.161177528448751","0.182627683570305","2"
"A little too small","1997","66 and older","Not Employed","86","0.047913378772545","0.037266802339383","0.058559955205707","2"
"A little too small","1997","66 and older","Employed","4","","","","2"
"Just right","1997","16-34 y.","Not Employed","840","0.62128655586177","0.594989227058689","0.647583884664852","3"
"Just right","1997","16-34 y.","Employed","2238","0.659246942999829","0.643066201037218","0.675427684962439","3"
"Just right","1997","35-65 y.","Not Employed","1401","0.74758498948813","0.727854124358888","0.767315854617372","3"
"Just right","1997","35-65 y.","Employed","3461","0.710858907123468","0.697971512826696","0.723746301420239","3"
"Just right","1997","66 and older","Not Employed","1253","0.796341001311558","0.776266503634676","0.81641549898844","3"
"Just right","1997","66 and older","Employed","44","0.87567146267684","0.787666488135405","0.963676437218276","3"
"Much too big","1997","16-34 y.","Not Employed","1","","","","5"
"Much too big","1997","16-34 y.","Employed","10","","","","5"
"Much too big","1997","35-65 y.","Not Employed","9","","","","5"
"Much too big","1997","35-65 y.","Employed","15","","","","5"
"Much too big","1997","66 and older","Not Employed","21","","","","5"
"Much too big","1997","66 and older","Employed","2","","","","5"
"Much too small","1997","16-34 y.","Not Employed","75","0.0521071378192719","0.0400584838186466","0.0641557918198972","1"
"Much too small","1997","16-34 y.","Employed","123","0.0324610172567787","0.0264108164622017","0.0385112180513557","1"
"Much too small","1997","35-65 y.","Not Employed","35","0.0122777470673451","0.00727584697389729","0.0172796471607928","1"
"Much too small","1997","66 and older","Not Employed","5","","","","1"
"Much too small","1997","35-65 y.","Employed","108","0.0158071122780959","0.0122615519241041","0.0193526726320876","1"
"Much too small","1997","66 and older","Employed","","","","","1"
"A little too big","1998","16-34 y.","Not Employed","61","0.0495955560454852","0.0380569260326382","0.0611341860583322","4"
"A little too big","1998","16-34 y.","Employed","198","0.0636021909166783","0.0554315284250486","0.071772853408308","4"
"A little too big","1998","35-65 y.","Not Employed","232","0.124153701319425","0.11023762494181","0.13806977769704","4"
"A little too big","1998","66 and older","Not Employed","252","0.148002858211582","0.131515602970878","0.164490113452286","4"
"A little too big","1998","35-65 y.","Employed","444","0.0954314995301985","0.0874876989160296","0.103375300144368","4"
"A little too big","1998","66 and older","Employed","6","","","","4"
"A little too small","1998","16-34 y.","Employed","706","0.215705317610218","0.201934456446439","0.229476178773998","2"
"A little too small","1998","16-34 y.","Not Employed","326","0.229756221306091","0.207398559813048","0.252113882799133","2"
"A little too small","1998","35-65 y.","Not Employed","266","0.117552383866129","0.10396038887152","0.131144378860739","2"
"A little too small","1998","35-65 y.","Employed","905","0.169496272747264","0.159352194278709","0.179640351215819","2"
"A little too small","1998","66 and older","Not Employed","87","0.0459438967996543","0.0362232511459378","0.0556645424533708","2"
"A little too small","1998","66 and older","Employed","4","","","","2"
"Just right","1998","16-34 y.","Not Employed","899","0.65932848755921","0.634140268220436","0.684516706897985","3"
"Just right","1998","16-34 y.","Employed","2373","0.670143406634195","0.654402218915799","0.685884594352592","3"
"Just right","1998","35-65 y.","Not Employed","1590","0.726664605405299","0.707856807119192","0.745472403691407","3"
"Just right","1998","35-65 y.","Employed","3757","0.707361387813209","0.695060166842999","0.719662608783419","3"
"Just right","1998","66 and older","Not Employed","1405","0.784295089460542","0.765198139721622","0.803392039199463","3"
"Just right","1998","66 and older","Employed","45","0.822948867076938","0.723855075922332","0.922042658231545","3"
"Much too big","1998","16-34 y.","Not Employed","8","","","","5"
"Much too big","1998","16-34 y.","Employed","10","","","","5"
"Much too big","1998","35-65 y.","Not Employed","18","","","","5"
"Much too big","1998","35-65 y.","Employed","33","0.00726179717051079","0.00496617106155198","0.00955742327946961","5"
"Much too big","1998","66 and older","Not Employed","32","0.0193620416518209","0.0129643373097507","0.025759745993891","5"
"Much too big","1998","66 and older","Employed","2","","","","5"
"Much too small","1998","16-34 y.","Not Employed","66","0.0503241873051578","0.0387055629554508","0.0619428116548648","1"
"Much too small","1998","16-34 y.","Employed","140","0.0478770152438534","0.0407287427861863","0.0550252877015205","1"
"Much too small","1998","35-65 y.","Not Employed","51","0.0197988579757564","0.0139198954658397","0.0256778204856731","1"
"Much too small","1998","35-65 y.","Employed","116","0.0204490427388179","0.0166224544429073","0.0242756310347284","1"
"Much too small","1998","66 and older","Not Employed","6","","","","1"
"Much too small","1998","66 and older","Employed","","","","","1"
"A little too big","1999","16-34 y.","Not Employed","55","0.0554705657221984","0.0425089623530651","0.0684321690913317","4"
"A little too big","1999","16-34 y.","Employed","187","0.0549796977153525","0.0473133944802264","0.0626460009504786","4"
"A little too big","1999","35-65 y.","Not Employed","179","0.107454513416772","0.0938410881663453","0.121067938667199","4"
"A little too big","1999","35-65 y.","Employed","397","0.0813393686878599","0.0739730889675933","0.0887056484081265","4"
"A little too big","1999","66 and older","Not Employed","228","0.140464094499314","0.124170522198685","0.156757666799942","4"
"A little too big","1999","66 and older","Employed","10","","","","4"
"A little too small","1999","16-34 y.","Not Employed","269","0.224898301462568","0.201255871345253","0.248540731579884","2"
"A little too small","1999","16-34 y.","Employed","754","0.237601410978668","0.223286791761826","0.25191603019551","2"
"A little too small","1999","35-65 y.","Not Employed","249","0.123032305135628","0.108593166733647","0.137471443537609","2"
"A little too small","1999","35-65 y.","Employed","859","0.163320779216982","0.153359377181364","0.1732821812526","2"
"A little too small","1999","66 and older","Employed","5","","","","2"
"A little too small","1999","66 and older","Not Employed","86","0.046578232689136","0.0366964414897338","0.0564600238885382","2"
"Just right","1999","16-34 y.","Not Employed","818","0.676048150399025","0.649547976222815","0.702548324575235","3"
"Just right","1999","16-34 y.","Employed","2332","0.676217956505164","0.660480520410225","0.691955392600104","3"
"Just right","1999","35-65 y.","Not Employed","1512","0.752536969462257","0.733567334023035","0.771506604901478","3"
"Just right","1999","35-65 y.","Employed","3923","0.734238827279151","0.722335052699131","0.746142601859171","3"
"Just right","1999","66 and older","Not Employed","1414","0.800088026443684","0.781334198495267","0.818841854392101","3"
"Just right","1999","66 and older","Employed","58","0.817914990148221","0.729987756031096","0.905842224265345","3"
"Much too big","1999","16-34 y.","Employed","7","","","","5"
"Much too big","1999","16-34 y.","Not Employed","2","","","","5"
"Much too big","1999","35-65 y.","Not Employed","14","","","","5"
"Much too big","1999","35-65 y.","Employed","19","","","","5"
"Much too big","1999","66 and older","Not Employed","16","","","","5"
"Much too big","1999","66 and older","Employed","1","","","","5"
"Much too small","1999","16-34 y.","Not Employed","54","0.0432706358679379","0.0317490868346711","0.0547921849012047","1"
"Much too small","1999","16-34 y.","Employed","116","0.0300844983419945","0.0243393322645699","0.035829664419419","1"
"Much too small","1999","35-65 y.","Not Employed","34","0.0100251426117563","0.0056459175740807","0.0144043676494319","1"
"Much too small","1999","35-65 y.","Employed","92","0.014558318773366","0.0113306323821316","0.0177860051646003","1"
"Much too small","1999","66 and older","Employed","","","","","1"
"Much too small","1999","66 and older","Not Employed","3","","","","1"
"A little too big","2000","16-34 y.","Not Employed","85","0.0463019556880025","0.0366424196943597","0.0559614916816453","4"
"A little too big","2000","16-34 y.","Employed","284","0.0535727966845508","0.0475066499576638","0.0596389434114379","4"
"A little too big","2000","35-65 y.","Not Employed","377","0.106386870698797","0.0964679847860328","0.116305756611561","4"
"A little too big","2000","35-65 y.","Employed","803","0.0865882420331304","0.0809893234994334","0.0921871605668274","4"
"A little too big","2000","66 and older","Not Employed","469","0.131638028635717","0.120388756152997","0.142887301118438","4"
"A little too big","2000","66 and older","Employed","26","","","","4"
"A little too small","2000","16-34 y.","Employed","1100","0.22028024216198","0.209115358906692","0.231445125417269","2"
"A little too small","2000","16-34 y.","Not Employed","396","0.230864949953685","0.211494868161195","0.250235031746176","2"
"A little too small","2000","35-65 y.","Not Employed","397","0.106615765963355","0.0966874871478479","0.116544044778862","2"
"A little too small","2000","35-65 y.","Employed","1389","0.148423154616687","0.14134525922884","0.155501050004535","2"
"A little too small","2000","66 and older","Employed","9","","","","2"
"A little too small","2000","66 and older","Not Employed","140","0.0416335031964217","0.0349873454828762","0.0482796609099671","2"
"Just right","2000","16-34 y.","Employed","3729","0.69106784657809","0.678620148571955","0.703515544584224","3"
"Just right","2000","16-34 y.","Not Employed","1263","0.676558697551244","0.65505557000658","0.698061825095908","3"
"Just right","2000","35-65 y.","Not Employed","2843","0.762227899832848","0.748532744112617","0.775923055553079","3"
"Just right","2000","35-65 y.","Employed","7293","0.74166450879283","0.732950115135539","0.750378902450121","3"
"Just right","2000","66 and older","Employed","105","0.761709928742635","0.691882209970359","0.83153764751491","3"
"Just right","2000","66 and older","Not Employed","2798","0.806799034656568","0.793662806447753","0.819935262865384","3"
"Much too big","2000","16-34 y.","Not Employed","5","","","","5"
"Much too big","2000","16-34 y.","Employed","13","","","","5"
"Much too big","2000","35-65 y.","Not Employed","38","0.0100703829405586","0.00685842936937307","0.0132823365117441","5"
"Much too big","2000","35-65 y.","Employed","44","0.00625548407385867","0.00468581095053293","0.00782515719718441","5"
"Much too big","2000","66 and older","Not Employed","56","0.0177202362506624","0.0133305275050694","0.0221099449962554","5"
"Much too big","2000","66 and older","Employed","2","","","","5"
"Much too small","2000","16-34 y.","Not Employed","69","0.0417547426388456","0.0325599403255852","0.050949544952106","1"
"Much too small","2000","16-34 y.","Employed","167","0.0324197607185929","0.027648363844385","0.0371911575928007","1"
"Much too small","2000","35-65 y.","Not Employed","57","0.0146990805644418","0.0108276307276159","0.0185705304012677","1"
"Much too small","2000","66 and older","Not Employed","7","","","","1"
"Much too small","2000","35-65 y.","Employed","163","0.0170686104834934","0.0144899030376465","0.0196473179293403","1"
"Much too small","2000","66 and older","Employed","1","","","","1"
"A little too big","2001","16-34 y.","Not Employed","66","0.042660747375685","0.0327615590175283","0.0525599357338417","4"
"A little too big","2001","16-34 y.","Employed","242","0.0474589658153446","0.0413680898957834","0.0535498417349059","4"
"A little too big","2001","35-65 y.","Not Employed","300","0.101352790482641","0.0909449818075662","0.111760599157717","4"
"A little too big","2001","35-65 y.","Employed","736","0.0891579702863769","0.0832825685454761","0.0950333720272778","4"
"A little too big","2001","66 and older","Not Employed","451","0.142667083197932","0.130669061130606","0.154665105265257","4"
"A little too big","2001","66 and older","Employed","14","","","","4"
"A little too small","2001","16-34 y.","Not Employed","308","0.195305547752604","0.17588662122474","0.214724474280467","2"
"A little too small","2001","35-65 y.","Not Employed","337","0.09845989319799","0.0881851959005796","0.1087345904954","2"
"A little too small","2001","16-34 y.","Employed","964","0.221061984459038","0.20917457416813","0.232949394749945","2"
"A little too small","2001","35-65 y.","Employed","1300","0.144467948360254","0.137219586862289","0.151716309858219","2"
"A little too small","2001","66 and older","Not Employed","137","0.044687215039595","0.037598990675819","0.0517754394033709","2"
"A little too small","2001","66 and older","Employed","9","","","","2"
"Just right","2001","16-34 y.","Not Employed","1145","0.699936559730497","0.67748800909893","0.722385110362064","3"
"Just right","2001","16-34 y.","Employed","3311","0.693354782097895","0.680145639571577","0.706563924624214","3"
"Just right","2001","35-65 y.","Not Employed","2515","0.778677048026782","0.764360485847584","0.792993610205979","3"
"Just right","2001","35-65 y.","Employed","6814","0.742997190296973","0.733987736317003","0.752006644276942","3"
"Just right","2001","66 and older","Not Employed","2615","0.794672999430438","0.780815327481732","0.808530671379143","3"
"Just right","2001","66 and older","Employed","122","0.835733417428539","0.776240748572951","0.895226086284127","3"
"Much too big","2001","16-34 y.","Not Employed","5","","","","5"
"Much too big","2001","16-34 y.","Employed","13","","","","5"
"Much too big","2001","35-65 y.","Not Employed","27","","","","5"
"Much too big","2001","35-65 y.","Employed","48","0.0062953049116235","0.00466460891227797","0.00792600091096904","5"
"Much too big","2001","66 and older","Not Employed","56","0.0172022450681431","0.0127416000913858","0.0216628900449003","5"
"Much too big","2001","66 and older","Employed","3","","","","5"
"Much too small","2001","16-34 y.","Not Employed","77","0.0572478788924911","0.0458681770265426","0.0686275807584397","1"
"Much too small","2001","16-34 y.","Employed","151","0.0356611271673243","0.0303487226129234","0.0409735317217252","1"
"Much too small","2001","35-65 y.","Not Employed","51","0.0128841333150202","0.00899494921863396","0.0167733174114065","1"
"Much too small","2001","35-65 y.","Employed","139","0.0170815861447732","0.0144100639709379","0.0197531083186085","1"
"Much too small","2001","66 and older","Not Employed","5","","","","1"
"Much too small","2001","66 and older","Employed","1","","","","1"
"A little too big","2002","16-34 y.","Not Employed","91","0.0467212595687792","0.0365598475340462","0.0568826716035121","4"
"A little too big","2002","16-34 y.","Employed","281","0.0630455582074785","0.0559632751981497","0.0701278412168072","4"
"A little too big","2002","35-65 y.","Not Employed","371","0.117292060322916","0.106157483008077","0.128426637637755","4"
"A little too big","2002","66 and older","Not Employed","558","0.167283708241679","0.15478054228264","0.179786874200717","4"
"A little too big","2002","35-65 y.","Employed","918","0.0903513890214935","0.0847589767950111","0.0959438012479758","4"
"A little too big","2002","66 and older","Employed","30","0.125114193356866","0.0797135525310339","0.170514834182698","4"
"A little too small","2002","16-34 y.","Not Employed","328","0.226902730406938","0.206736544454345","0.247068916359531","2"
"A little too small","2002","16-34 y.","Employed","928","0.223956076838153","0.21180789260169","0.236104261074616","2"
"A little too small","2002","35-65 y.","Not Employed","345","0.117874981271468","0.106716456049448","0.129033506493488","2"
"A little too small","2002","35-65 y.","Employed","1545","0.152202126208281","0.145194814276612","0.15920943813995","2"
"A little too small","2002","66 and older","Not Employed","153","0.046220385002742","0.0391866591233883","0.0532541108820956","2"
"A little too small","2002","66 and older","Employed","11","","","","2"
"Just right","2002","16-34 y.","Not Employed","1176","0.684712464923606","0.662341003551321","0.707083926295891","3"
"Just right","2002","16-34 y.","Employed","3124","0.660649673410407","0.646852296098336","0.674447050722477","3"
"Just right","2002","35-65 y.","Not Employed","2375","0.728429940604901","0.713038979204987","0.743820902004815","3"
"Just right","2002","35-65 y.","Employed","7391","0.729932400919008","0.721271312103308","0.738593489734707","3"
"Just right","2002","66 and older","Not Employed","2606","0.760458241368198","0.746160318702989","0.774756164033407","3"
"Just right","2002","66 and older","Employed","152","0.765974342672176","0.707874914834134","0.824073770510218","3"
"Much too big","2002","16-34 y.","Not Employed","7","","","","5"
"Much too big","2002","16-34 y.","Employed","22","","","","5"
"Much too big","2002","35-65 y.","Not Employed","56","0.0162888874778321","0.0119085213547192","0.0206692536009449","5"
"Much too big","2002","35-65 y.","Employed","82","0.00857846341713606","0.0067794729767282","0.0103774538575439","5"
"Much too big","2002","66 and older","Not Employed","91","0.0235509130037766","0.0184708006504082","0.028631025357145","5"
"Much too big","2002","66 and older","Employed","9","","","","5"
"Much too small","2002","16-34 y.","Not Employed","55","0.0371858938357167","0.0280752898040243","0.046296497867409","1"
"Much too small","2002","16-34 y.","Employed","169","0.0483339696935707","0.042084325260247","0.0545836141268945","1"
"Much too small","2002","35-65 y.","Not Employed","61","0.0201141303228833","0.0152559985718575","0.0249722620739091","1"
"Much too small","2002","35-65 y.","Employed","159","0.0189356204340815","0.016276834007514","0.021594406860649","1"
"Much too small","2002","66 and older","Not Employed","15","","","","1"
"Much too small","2002","66 and older","Employed","2","","","","1"
"A little too big","2003","16-34 y.","Employed","263","0.0646576231523532","0.057242302973633","0.0720729433310733","4"
"A little too big","2003","16-34 y.","Not Employed","102","0.0523022166934005","0.0415533056783956","0.0630511277084054","4"
"A little too big","2003","35-65 y.","Not Employed","331","0.0965001303584009","0.086046651416237","0.106953609300565","4"
"A little too big","2003","35-65 y.","Employed","928","0.09677223310364","0.0908615479820159","0.102682918225264","4"
"A little too big","2003","66 and older","Employed","39","0.175083290056544","0.123560147045071","0.226606433068017","4"
"A little too big","2003","66 and older","Not Employed","573","0.163854309523083","0.151574113776572","0.176134505269594","4"
"A little too small","2003","16-34 y.","Not Employed","319","0.22369940900388","0.20357992380739","0.243818894200369","2"
"A little too small","2003","16-34 y.","Employed","873","0.218516423204488","0.206055887793327","0.23097695861565","2"
"A little too small","2003","35-65 y.","Not Employed","344","0.131549527619342","0.119583499311319","0.143515555927366","2"
"A little too small","2003","35-65 y.","Employed","1447","0.165383905492372","0.157956214946725","0.17281159603802","2"
"A little too small","2003","66 and older","Not Employed","162","0.0489661235066006","0.0418066475835884","0.0561255994296128","2"
"A little too small","2003","66 and older","Employed","5","","","","2"
"Just right","2003","16-34 y.","Employed","2935","0.676548585677989","0.662443076857107","0.69065409449887","3"
"Just right","2003","16-34 y.","Not Employed","1148","0.66683900450611","0.644082421048947","0.689595587963273","3"
"Just right","2003","35-65 y.","Not Employed","2294","0.739931341976894","0.724401302070622","0.755461381883166","3"
"Just right","2003","35-65 y.","Employed","7045","0.716252217831121","0.707239349425374","0.725265086236868","3"
"Just right","2003","66 and older","Employed","157","0.759673294301576","0.701745179607771","0.817601408995381","3"
"Just right","2003","66 and older","Not Employed","2672","0.764228937738341","0.750146028938925","0.778311846537757","3"
"Much too big","2003","16-34 y.","Not Employed","13","","","","5"
"Much too big","2003","35-65 y.","Not Employed","46","0.0131362535229683","0.00910539820671357","0.0171671088392231","5"
"Much too big","2003","16-34 y.","Employed","21","","","","5"
"Much too big","2003","35-65 y.","Employed","74","0.0088538571983175","0.00698102483077153","0.0107266895658635","5"
"Much too big","2003","66 and older","Not Employed","73","0.0206006592681018","0.0158881106827873","0.0253132078534162","5"
"Much too big","2003","66 and older","Employed","8","","","","5"
"Much too small","2003","16-34 y.","Not Employed","66","0.0434101763737641","0.0335716933462865","0.0532486594012418","1"
"Much too small","2003","16-34 y.","Employed","133","0.0362911819691182","0.0306521025995382","0.0419302613386981","1"
"Much too small","2003","35-65 y.","Not Employed","50","0.0188827465223947","0.0140640908961228","0.0237014021486667","1"
"Much too small","2003","35-65 y.","Employed","117","0.012737786374549","0.0104958306041854","0.0149797421449126","1"
"Much too small","2003","66 and older","Not Employed","10","","","","1"
"Much too small","2003","66 and older","Employed","","","","","1"
"A little too big","2004","16-34 y.","Employed","253","0.0634704204532178","0.0558575854515297","0.0710832554549059","4"
"A little too big","2004","16-34 y.","Not Employed","107","0.0699784053562563","0.0577975811455467","0.0821592295669659","4"
"A little too big","2004","35-65 y.","Not Employed","327","0.111890021611061","0.10046612643353","0.123313916788592","4"
"A little too big","2004","35-65 y.","Employed","949","0.0998115629730867","0.0937204911045174","0.105902634841656","4"
"A little too big","2004","66 and older","Not Employed","544","0.145774632571663","0.134199094363274","0.157350170780052","4"
"A little too big","2004","66 and older","Employed","44","0.19093231202681","0.139803311091952","0.242061312961668","4"
"A little too small","2004","16-34 y.","Not Employed","283","0.177857640775311","0.159599442689077","0.196115838861544","2"
"A little too small","2004","16-34 y.","Employed","764","0.202601347359342","0.190050909045321","0.215151785673362","2"
"A little too small","2004","35-65 y.","Not Employed","334","0.124916977464987","0.112935220159144","0.13689873477083","2"
"A little too small","2004","35-65 y.","Employed","1387","0.158006433026996","0.150594553498217","0.165418312555775","2"
"A little too small","2004","66 and older","Not Employed","139","0.0420075016894896","0.0354270081986701","0.0485879951803092","2"
"A little too small","2004","66 and older","Employed","7","","","","2"
"Just right","2004","16-34 y.","Not Employed","1225","0.706713470232406","0.684975655576998","0.728451284887814","3"
"Just right","2004","16-34 y.","Employed","2790","0.691933588279642","0.677517270012864","0.70634990654642","3"
"Just right","2004","35-65 y.","Not Employed","2182","0.737699764383178","0.721758442958765","0.753641085807591","3"
"Just right","2004","35-65 y.","Employed","6800","0.722286156713754","0.713185138352979","0.731387175074529","3"
"Just right","2004","66 and older","Not Employed","2803","0.790351813031363","0.776999092316686","0.80370453374604","3"
"Just right","2004","66 and older","Employed","165","0.760370316833914","0.704841547748405","0.815899085919423","3"
"Much too big","2004","16-34 y.","Employed","15","","","","5"
"Much too big","2004","16-34 y.","Not Employed","10","","","","5"
"Much too big","2004","35-65 y.","Not Employed","43","0.0106691185241695","0.00694588558196564","0.0143923514663734","5"
"Much too big","2004","35-65 y.","Employed","66","0.00769932796396497","0.00592315754451864","0.00947549838341131","5"
"Much too big","2004","66 and older","Not Employed","72","0.0183052315245143","0.0139078936706908","0.0227025693783378","5"
"Much too big","2004","66 and older","Employed","11","","","","5"
"Much too small","2004","16-34 y.","Not Employed","60","0.0362780781206614","0.0273502433668022","0.0452059128745206","1"
"Much too small","2004","16-34 y.","Employed","118","0.0376338841623939","0.0316915145154861","0.0435762538093016","1"
"Much too small","2004","35-65 y.","Not Employed","39","0.0148241180166043","0.010444598425902","0.0192036376073065","1"
"Much too small","2004","35-65 y.","Employed","101","0.0121965193221984","0.00996608309342567","0.0144269555509712","1"
"Much too small","2004","66 and older","Employed","","","","","1"
"Much too small","2004","66 and older","Not Employed","12","","","","1"
"A little too big","2005","16-34 y.","Not Employed","85","0.0531330294448608","0.0422140171123153","0.0640520417774063","4"
"A little too big","2005","16-34 y.","Employed","256","0.0613272387982849","0.0536098668898056","0.0690446107067642","4"
"A little too big","2005","35-65 y.","Not Employed","289","0.0998240744710421","0.0885296127466809","0.111118536195403","4"
"A little too big","2005","35-65 y.","Employed","817","0.0868067818499212","0.080966235289393","0.0926473284104495","4"
"A little too big","2005","66 and older","Employed","44","0.207200119915962","0.154475682848385","0.259924556983539","4"
"A little too big","2005","66 and older","Not Employed","551","0.152283293303514","0.140533467492018","0.164033119115011","4"
"A little too small","2005","16-34 y.","Not Employed","310","0.216197319030287","0.196157900858605","0.236236737201968","2"
"A little too small","2005","35-65 y.","Not Employed","313","0.135732072517124","0.122827321386385","0.148636823647864","2"
"A little too small","2005","16-34 y.","Employed","731","0.208673423865638","0.195602777549011","0.221744070182265","2"
"A little too small","2005","35-65 y.","Employed","1286","0.156766140360305","0.149223984982402","0.164308295738208","2"
"A little too small","2005","66 and older","Not Employed","161","0.050982072062249","0.0437888100990338","0.0581753340254642","2"
"A little too small","2005","66 and older","Employed","12","","","","2"
"Just right","2005","16-34 y.","Not Employed","1175","0.699157128250051","0.676830978090775","0.721483278409327","3"
"Just right","2005","16-34 y.","Employed","2622","0.700775849730391","0.686046841633137","0.715504857827646","3"
"Just right","2005","35-65 y.","Not Employed","2025","0.731997824405168","0.71530967228808","0.748685976522257","3"
"Just right","2005","35-65 y.","Employed","6633","0.729778778442164","0.720566847678404","0.738990709205924","3"
"Just right","2005","66 and older","Not Employed","2797","0.777101908471926","0.763491470839582","0.79071234610427","3"
"Just right","2005","66 and older","Employed","159","0.696647958227891","0.636846013407344","0.756449903048438","3"
"Much too big","2005","16-34 y.","Not Employed","7","","","","5"
"Much too big","2005","16-34 y.","Employed","24","","","","5"
"Much too big","2005","35-65 y.","Not Employed","51","0.0175403441805496","0.0125942701427536","0.0224864182183456","5"
"Much too big","2005","35-65 y.","Employed","81","0.0109810089573781","0.00881919278215081","0.0131428251326053","5"
"Much too big","2005","66 and older","Not Employed","77","0.018162507017989","0.0137954623838686","0.0225295516521094","5"
"Much too big","2005","66 and older","Employed","12","","","","5"
"Much too small","2005","16-34 y.","Not Employed","44","0.0281991096613563","0.0201404478963031","0.0362577714264094","1"
"Much too small","2005","16-34 y.","Employed","80","0.0245606059764446","0.0195820281466739","0.0295391838062153","1"
"Much too small","2005","35-65 y.","Not Employed","28","","","","1"
"Much too small","2005","35-65 y.","Employed","110","0.0156672903902318","0.013091187358693","0.0182433934217706","1"
"Much too small","2005","66 and older","Not Employed","6","","","","1"
"Much too small","2005","66 and older","Employed","","","","","1"
"A little too big","2006","16-34 y.","Not Employed","118","0.0557916589207257","0.0451620116846757","0.0664213061567756","4"
"A little too big","2006","16-34 y.","Employed","236","0.0539179448482933","0.046588826344757","0.0612470633518296","4"
"A little too big","2006","35-65 y.","Not Employed","337","0.10366234392355","0.0925662450845397","0.11475844276256","4"
"A little too big","2006","35-65 y.","Employed","987","0.100277137584218","0.0942434202695242","0.106310854898913","4"
"A little too big","2006","66 and older","Not Employed","730","0.164078011535657","0.152870990808554","0.17528503226276","4"
"A little too big","2006","66 and older","Employed","61","0.179243118198203","0.135098516391987","0.223387720004419","4"
"A little too small","2006","16-34 y.","Not Employed","307","0.191006291931084","0.172801039430313","0.209211544431855","2"
"A little too small","2006","16-34 y.","Employed","727","0.219247505541666","0.205821565699983","0.23267344538335","2"
