"hlf0071_h","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"A little too big","2002","West Germany","Male","864","0.10013605092485","0.0937594324815067","0.106512669368193"
"A little too big","2002","West Germany","Female","941","0.111888262017896","0.105428227769096","0.118348296266696"
"A little too big","2002","East Germany","Male","217","0.0865793583054383","0.0758541315583044","0.0973045850525723"
"A little too big","2002","East Germany","Female","227","0.0803794073748731","0.0703269630875101","0.090431851662236"
"Much too big","2002","West Germany","Male","104","0.0115187290980371","0.00925203309366896","0.0137854251024052"
"Much too big","2002","West Germany","Female","128","0.0145582873449808","0.0121036950548665","0.0170128796350951"
"Much too big","2002","East Germany","Male","19","","",""
"Much too big","2002","East Germany","Female","16","","",""
"Much too small","2003","West Germany","Male","154","0.0202971101068706","0.0172284526075879","0.0233657676061533"
"Much too small","2003","West Germany","Female","157","0.0168291444152915","0.0141374884909072","0.0195208003396757"
"Much too small","2003","East Germany","Male","30","0.0124240355714373","0.00815891823537896","0.0166891529074957"
"Much too small","2003","East Germany","Female","35","0.014948692149941","0.0104313550213935","0.0194660292784885"
"A little too small","2003","West Germany","Male","1191","0.158251895114236","0.150309533556513","0.166194256671959"
"A little too small","2003","West Germany","Female","1287","0.149445861466475","0.141985378317123","0.156906344615827"
"A little too small","2003","East Germany","Male","350","0.14189708342643","0.128461058277395","0.155333108575465"
"A little too small","2003","East Germany","Female","322","0.112217292302812","0.100467377664746","0.123967206940878"
"Just right","2003","West Germany","Male","5833","0.707101990242953","0.697198612144722","0.717005368341184"
"Just right","2003","West Germany","Female","6302","0.711096121070421","0.701611611751163","0.720580630389679"
"Just right","2003","East Germany","Male","1959","0.750129870208629","0.733459709546903","0.766800030870356"
"Just right","2003","East Germany","Female","2157","0.777870047332977","0.762395834548181","0.793344260117774"
"A little too big","2003","West Germany","Male","834","0.102557170451309","0.0959552462905567","0.10915909461206"
"A little too big","2003","West Germany","Female","916","0.10834604247583","0.101842069570406","0.114850015381254"
"A little too big","2003","East Germany","Male","242","0.091130499661125","0.0800490385903111","0.102211960731939"
"A little too big","2003","East Germany","Female","244","0.088869985250594","0.0782769794799486","0.0994629910212394"
"Much too big","2003","West Germany","Male","100","0.0117918340846321","0.00944274753004621","0.0141409206392179"
"Much too big","2003","West Germany","Female","111","0.0142828305719832","0.0117999414303372","0.0167657197136292"
"Much too big","2003","East Germany","Male","10","","",""
"Much too big","2003","East Germany","Female","14","","",""
"Much too small","2004","West Germany","Male","132","0.01866911813494","0.0156813670129571","0.021656869256923"
"Much too small","2004","West Germany","Female","138","0.0162855422084257","0.0135977888060386","0.0189732956108128"
"Much too small","2004","East Germany","Male","30","0.014362576505723","0.0097060819998768","0.0190190710115692"
"Much too small","2004","East Germany","Female","30","0.012314292843403","0.00818413929336752","0.0164444463934384"
"A little too small","2004","West Germany","Male","1107","0.14407652232365","0.136324966816044","0.151828077831256"
"A little too small","2004","West Germany","Female","1151","0.133551438355831","0.126327908712859","0.140774967998803"
"A little too small","2004","East Germany","Male","329","0.142105916501931","0.128440991852938","0.155770841150924"
"A little too small","2004","East Germany","Female","327","0.111325949878941","0.099546594379719","0.123105305378163"
"Just right","2004","West Germany","Male","5729","0.721726520266148","0.711834226050868","0.731618814481427"
"Just right","2004","West Germany","Female","6213","0.726971280810053","0.717510726680423","0.736431834939683"
"Just right","2004","East Germany","Male","1900","0.750190074403075","0.733247678464394","0.767132470341756"
"Just right","2004","East Germany","Female","2123","0.788731429534239","0.773444013128368","0.804018845940111"
"A little too big","2004","West Germany","Male","824","0.105037482273069","0.0982696535654375","0.111805310980701"
"A little too big","2004","West Germany","Female","922","0.111864913376891","0.105171614145694","0.118558212608089"
"A little too big","2004","East Germany","Male","232","0.0857715843324798","0.0748122696094184","0.0967308990555412"
"A little too big","2004","East Germany","Female","246","0.0816632628814985","0.0714075366748029","0.0919189890881941"
"Much too big","2004","West Germany","Male","92","0.0104903570021935","0.00824140631522869","0.0127393076891582"
"Much too big","2004","West Germany","Female","95","0.0113268252487989","0.00907966389472213","0.0135739866028757"
"Much too big","2004","East Germany","Male","17","","",""
"Much too big","2004","East Germany","Female","13","","",""
"Much too small","2005","West Germany","Male","106","0.0161983450429731","0.0133425113818855","0.0190541787040607"
"Much too small","2005","West Germany","Female","114","0.0150852875327558","0.0124502409876983","0.0177203340778134"
"Much too small","2005","East Germany","Male","24","","",""
"Much too small","2005","East Germany","Female","24","","",""
"A little too small","2005","West Germany","Male","1054","0.153221263521754","0.145072564021508","0.161369963022"
"A little too small","2005","West Germany","Female","1114","0.141049490683684","0.133524915010489","0.148574066356879"
"A little too small","2005","East Germany","Male","324","0.142383186271711","0.128486529513483","0.156279843029938"
"A little too small","2005","East Germany","Female","321","0.125336545296827","0.112684899707991","0.137988190885662"
"Just right","2005","West Germany","Male","5501","0.723429588915756","0.713310421001812","0.7335487568297"
"Just right","2005","West Germany","Female","6032","0.723658608574447","0.713991379301749","0.733325837847146"
"Just right","2005","East Germany","Male","1854","0.764468841668897","0.747594050301186","0.781343633036608"
"Just right","2005","East Germany","Female","2024","0.773947065415429","0.757964430815788","0.78992970001507"
"A little too big","2005","West Germany","Male","749","0.0947847833928045","0.0881582095043242","0.101411357281285"
"A little too big","2005","West Germany","Female","856","0.107572943485333","0.100874867458206","0.11427101951246"
"A little too big","2005","East Germany","Male","203","0.0717103674762697","0.061449902135454","0.0819708328170853"
"A little too big","2005","East Germany","Female","234","0.0784318492541443","0.0681588413325752","0.0887048571757134"
"Much too big","2005","West Germany","Male","96","0.012366019126712","0.00986592258173127","0.0148661156716927"
"Much too big","2005","West Germany","Female","104","0.0126336697237799","0.0102192314966321","0.0150481079509278"
"Much too big","2005","East Germany","Male","24","","",""
"Much too big","2005","East Germany","Female","28","","",""
"Much too small","2006","West Germany","Male","128","0.020858787340254","0.0177425072823549","0.023975067398153"
"Much too small","2006","West Germany","Female","145","0.020476680156276","0.0175320408845057","0.0234213194280464"
"Much too small","2006","East Germany","Male","33","0.0143389078987246","0.00975512879161612","0.018922687005833"
"Much too small","2006","East Germany","Female","28","","",""
"A little too small","2006","West Germany","Male","1068","0.148697429982878","0.140939193910865","0.15645566605489"
"A little too small","2006","West Germany","Female","1177","0.144239173037868","0.136934298694608","0.151544047381128"
"A little too small","2006","East Germany","Male","336","0.140926131398557","0.127510446294912","0.154341816502202"
"A little too small","2006","East Germany","Female","321","0.112143893523093","0.100443674320655","0.123844112725531"
"Just right","2006","West Germany","Male","5847","0.711689815333183","0.701812369550111","0.721567261116255"
"Just right","2006","West Germany","Female","6388","0.704607623894731","0.695121948764073","0.714093299025389"
"Just right","2006","East Germany","Male","1956","0.760300077973161","0.743840135984574","0.776760019961747"
"Just right","2006","East Germany","Female","2140","0.780992445602607","0.765657301744418","0.796327589460797"
"A little too big","2006","West Germany","Male","914","0.10298026848076","0.0963528057384139","0.109607731223106"
"A little too big","2006","West Germany","Female","1038","0.114302553143633","0.107687008590966","0.1209180976963"
"A little too big","2006","East Germany","Male","238","0.0784604455567741","0.0680927028289656","0.0888281882845826"
"A little too big","2006","East Germany","Female","279","0.0887308765528956","0.0781871143223148","0.0992746387834763"
"Much too big","2006","West Germany","Male","122","0.0157736988629254","0.0130567369973548","0.018490660728496"
"Much too big","2006","West Germany","Female","138","0.0163739697674919","0.0137352884919976","0.0190126510429862"
"Much too big","2006","East Germany","Male","21","","",""
"Much too big","2006","East Germany","Female","26","","",""
"Much too small","2007","West Germany","Male","97","0.0169546757392455","0.0140381309647776","0.0198712205137134"
"Much too small","2007","West Germany","Female","103","0.0160972965993045","0.0133900025161434","0.0188045906824655"
"Much too small","2007","East Germany","Male","25","","",""
"Much too small","2007","East Germany","Female","24","","",""
"A little too small","2007","West Germany","Male","1049","0.148274382934771","0.140246148416897","0.156302617452645"
"A little too small","2007","West Germany","Female","1121","0.136480530324307","0.129095465670385","0.14386559497823"
"A little too small","2007","East Germany","Male","311","0.137372348868509","0.123758050652868","0.150986647084149"
"A little too small","2007","East Germany","Female","313","0.120254536620509","0.107861366146443","0.132647707094575"
"Just right","2007","West Germany","Male","5426","0.718650047678234","0.708491788591872","0.728808306764597"
"Just right","2007","West Germany","Female","5966","0.716790988344149","0.707098558043897","0.726483418644402"
"Just right","2007","East Germany","Male","1881","0.762952744058416","0.746133743088702","0.779771745028131"
"Just right","2007","East Germany","Female","2035","0.772990272616712","0.757029187299788","0.788951357933636"
"A little too big","2007","West Germany","Male","865","0.105865225429572","0.0989147375684387","0.112815713290706"
"A little too big","2007","West Germany","Female","992","0.116550832233227","0.109647935815967","0.123453728650487"
"A little too big","2007","East Germany","Male","208","0.0735855105848152","0.0632594960248734","0.0839115251447571"
"A little too big","2007","East Germany","Female","244","0.0856712345190843","0.0750071918218421","0.0963352772163265"
"Much too big","2007","West Germany","Male","90","0.010255668218177","0.00797962436287701","0.012531712073477"
"Much too big","2007","West Germany","Female","119","0.0140803524990121","0.011545746791563","0.0166149582064613"
"Much too big","2007","East Germany","Male","31","0.0141546648471194","0.00948282337078122","0.0188265063234577"
"Much too big","2007","East Germany","Female","30","0.00992676164307489","0.00614938205737147","0.0137041412287783"
"Much too small","2008","West Germany","Male","84","0.0153467014445231","0.0124733500941158","0.0182200527949304"
"Much too small","2008","West Germany","Female","91","0.0141760247423398","0.0115500188161551","0.0168020306685245"
"Much too small","2008","East Germany","Male","22","","",""
"Much too small","2008","East Germany","Female","21","","",""
"A little too small","2008","West Germany","Male","907","0.142060798588695","0.133900521157359","0.150221076020031"
"A little too small","2008","West Germany","Female","1003","0.138974039231966","0.131289926180202","0.146658152283731"
"A little too small","2008","East Germany","Male","299","0.145226118085355","0.130923190480557","0.159529045690152"
"A little too small","2008","East Germany","Female","299","0.129487044162901","0.116302594531705","0.142671493794097"
"Just right","2008","West Germany","Male","5093","0.713966360246611","0.703403367704382","0.72452935278884"
"Just right","2008","West Germany","Female","5591","0.704050847799904","0.693911048812857","0.714190646786952"
"Just right","2008","East Germany","Male","1762","0.741517205304604","0.723744506098815","0.759289904510392"
"Just right","2008","East Germany","Female","1915","0.76920427076576","0.752658158955168","0.785750382576351"
"A little too big","2008","West Germany","Male","829","0.1114279332164","0.104072929305887","0.118782937126913"
"A little too big","2008","West Germany","Female","950","0.121978922255034","0.114709269790477","0.129248574719591"
"A little too big","2008","East Germany","Male","224","0.0880051891624305","0.0765044096281454","0.0995059686967155"
"A little too big","2008","East Germany","Female","234","0.0829227085491775","0.0720933947918742","0.0937520223064807"
"Much too big","2008","West Germany","Male","118","0.0171982065037708","0.0141593227182497","0.020237090289292"
"Much too big","2008","West Germany","Female","150","0.0208201659707554","0.0176484659390645","0.0239918660024463"
"Much too big","2008","East Germany","Male","24","","",""
"Much too big","2008","East Germany","Female","22","","",""
"Much too small","2009","West Germany","Male","93","0.0156365853481319","0.0126329751902554","0.0186401955060084"
"Much too small","2009","West Germany","Female","110","0.0181484757169605","0.0150631825784222","0.0212337688554988"
"Much too small","2009","East Germany","Male","27","","",""
"Much too small","2009","East Germany","Female","25","","",""
"A little too small","2009","West Germany","Male","903","0.158436166345404","0.149595895585021","0.167276437105788"
"A little too small","2009","West Germany","Female","940","0.138463877333879","0.130481018733752","0.146446735934006"
"A little too small","2009","East Germany","Male","277","0.144839750888733","0.130156758907963","0.159522742869503"
"A little too small","2009","East Germany","Female","296","0.143040439499779","0.128971529479369","0.15710934952019"
"Just right","2009","West Germany","Male","4595","0.688633184362111","0.677422683702773","0.699843685021449"
"Just right","2009","West Germany","Female","5041","0.690797976497225","0.680116036386754","0.701479916607695"
"Just right","2009","East Germany","Male","1649","0.725038760641272","0.706410887353099","0.743666633929446"
"Just right","2009","East Germany","Female","1791","0.742500562012304","0.7249299290759","0.760071194948708"
"A little too big","2009","West Germany","Male","848","0.119631569572405","0.111774691688301","0.127488447456509"
"A little too big","2009","West Germany","Female","959","0.132786649934622","0.124943443764863","0.140629856104381"
"A little too big","2009","East Germany","Male","226","0.0929978019211488","0.0808810159653803","0.105114587876917"
"A little too big","2009","East Germany","Female","240","0.091528593175385","0.0799412226350374","0.103115963715733"
"Much too big","2009","West Germany","Male","115","0.0176624943719469","0.0144735183513491","0.0208514703925447"
"Much too big","2009","West Germany","Female","141","0.0198030205173142","0.016582872423135","0.0230231686114933"
"Much too big","2009","East Germany","Male","28","","",""
"Much too big","2009","East Germany","Female","27","","",""
"Much too small","2010","West Germany","Male","243","0.0133027006789584","0.0108778058576277","0.015727595500289"
"Much too small","2010","West Germany","Female","349","0.015152298866871","0.0127921298568809","0.017512467876861"
"Much too small","2010","East Germany","Male","66","0.0176826402250416","0.0125551865296574","0.0228100939204258"
"Much too small","2010","East Germany","Female","89","0.0123362727958888","0.0083817756451375","0.0162907699466401"
"A little too small","2010","West Germany","Male","1525","0.14812309586213","0.140604602184318","0.155641589539941"
"A little too small","2010","West Germany","Female","1893","0.145162254396495","0.138356316228596","0.151968192564393"
"A little too small","2010","East Germany","Male","427","0.145686308689264","0.13196105643113","0.159411560947398"
"A little too small","2010","East Germany","Female","520","0.142080976597941","0.129573034896675","0.154588918299207"
"Just right","2010","West Germany","Male","5803","0.704312638421373","0.694653683293346","0.713971593549401"
"Just right","2010","West Germany","Female","6828","0.691332542264321","0.682407542267897","0.700257542260745"
"Just right","2010","East Germany","Male","1794","0.714046369541674","0.696466595154329","0.731626143929018"
"Just right","2010","East Germany","Female","2091","0.726387450943088","0.710415906841272","0.742358995044903"
"A little too big","2010","West Germany","Male","880","0.115978366503665","0.109201156128729","0.1227555768786"
"A little too big","2010","West Germany","Female","1052","0.124089237340576","0.117719576756792","0.13045889792436"
"A little too big","2010","East Germany","Male","227","0.101987533878463","0.0902137242305391","0.113761343526388"
"A little too big","2010","East Germany","Female","263","0.107093942638428","0.0960154653719593","0.118172419904896"
"Much too big","2010","West Germany","Male","124","0.0182831985338738","0.0154475642001031","0.0211188328676446"
"Much too big","2010","West Germany","Female","169","0.0242636671317378","0.0212908803585592","0.0272364539049164"
"Much too big","2010","East Germany","Male","24","","",""
"Much too big","2010","East Germany","Female","30","0.0121013570246544","0.00818422721317508","0.0160184868361338"
"Much too small","2011","West Germany","Male","246","0.0142767540139378","0.0119788453317122","0.0165746626961633"
"Much too small","2011","West Germany","Female","351","0.0163794351549735","0.0141410093176252","0.0186178609923218"
"Much too small","2011","East Germany","Male","55","0.0133941282355203","0.00923244274833877","0.0175558137227018"
"Much too small","2011","East Germany","Female","77","0.0128145710476744","0.00907392079265961","0.0165552213026892"
"A little too small","2011","West Germany","Male","1649","0.140843275366374","0.134105061619858","0.147581489112891"
"A little too small","2011","West Germany","Female","2116","0.138865599000089","0.132767250279193","0.144963947720984"
"A little too small","2011","East Germany","Male","463","0.132258663555153","0.119994232957901","0.144523094152406"
"A little too small","2011","East Germany","Female","574","0.138706205880946","0.127210932489023","0.150201479272869"
"Just right","2011","West Germany","Male","7025","0.701243099079987","0.692376975069439","0.710109223090535"
"Just right","2011","West Germany","Female","8320","0.689212489725888","0.681050654972264","0.697374324479511"
"Just right","2011","East Germany","Male","2115","0.742579566540144","0.726751306094103","0.758407826986185"
"Just right","2011","East Germany","Female","2488","0.73811278690473","0.723490536701116","0.752735037108345"
"A little too big","2011","West Germany","Male","1172","0.124746738579941","0.118346119271029","0.131147357888852"
"A little too big","2011","West Germany","Female","1378","0.133765163119556","0.127762157028397","0.139768169210715"
"A little too big","2011","East Germany","Male","268","0.101516363744107","0.0905827609011663","0.112449966587047"
"A little too big","2011","East Germany","Female","301","0.10253278325722","0.0924440562791788","0.112621510235261"
"Much too big","2011","West Germany","Male","146","0.0188901329597599","0.0162530921093109","0.021527173810209"
"Much too big","2011","West Germany","Female","187","0.0217773129994942","0.0192033608943578","0.0243512651046306"
"Much too big","2011","East Germany","Male","30","0.0102512779250759","0.0066046482599058","0.013897907590246"
"Much too big","2011","East Germany","Female","33","0.00783365290942926","0.00490161144287259","0.0107656943759859"
"Much too small","2012","West Germany","Male","231","0.0164528730417403","0.0139569968402531","0.0189487492432275"
"Much too small","2012","West Germany","Female","292","0.0183236367723895","0.0159244889202838","0.0207227846244952"
"Much too small","2012","East Germany","Male","63","0.0182319828151148","0.0133372551415113","0.0231267104887182"
"Much too small","2012","East Germany","Female","73","0.0123549347388314","0.00864244337560059","0.0160674261020622"
"A little too small","2012","West Germany","Male","1517","0.13259692237283","0.125942937930774","0.139250906814886"
"A little too small","2012","West Germany","Female","1932","0.128828021559528","0.122835299629634","0.134820743489423"
"A little too small","2012","East Germany","Male","406","0.130306973625608","0.117990852094402","0.142623095156813"
"A little too small","2012","East Germany","Female","483","0.117686303264227","0.106856532943033","0.12851607358542"
"Just right","2012","West Germany","Male","6884","0.702498208564194","0.693528631142732","0.711467785985656"
"Just right","2012","West Germany","Female","8239","0.700241894797178","0.692046374662892","0.708437414931464"
"Just right","2012","East Germany","Male","2087","0.730928784423401","0.714704023893688","0.747153544953115"
"Just right","2012","East Germany","Female","2492","0.753016408591432","0.738522649257273","0.76751016792559"
"A little too big","2012","West Germany","Male","1179","0.130011618444791","0.123413009545602","0.136610227343981"
"A little too big","2012","West Germany","Female","1326","0.130232196037468","0.124211761278411","0.136252630796526"
"A little too big","2012","East Germany","Male","285","0.110956858048556","0.0994661805454275","0.122447535551684"
"A little too big","2012","East Germany","Female","327","0.109593506158497","0.0990949072278972","0.120092105089098"
"Much too big","2012","West Germany","Male","168","0.0184403775764446","0.0158007185771559","0.0210800365757333"
"Much too big","2012","West Germany","Female","216","0.0223742508334356","0.0197286301577504","0.0250198715091208"
"Much too big","2012","East Germany","Male","29","","",""
"Much too big","2012","East Germany","Female","26","","",""
"Much too small","2013","West Germany","Male","378","0.0207118969380031","0.0181038480878991","0.0233199457881071"
"Much too small","2013","West Germany","Female","443","0.0188527089799126","0.016567778374975","0.0211376395848501"
"Much too small","2013","East Germany","Male","54","0.014733420829108","0.0103077100422152","0.0191591316160008"
"Much too small","2013","East Germany","Female","65","0.0117681013394157","0.00813950385560033","0.0153966988232311"
"A little too small","2013","West Germany","Male","1830","0.123743617429247","0.117713475344539","0.129773759513956"
"A little too small","2013","West Germany","Female","2312","0.125808866546613","0.120237293202887","0.131380439890339"
"A little too small","2013","East Germany","Male","425","0.136691835720259","0.124073311389573","0.149310360050946"
"A little too small","2013","East Germany","Female","501","0.119925896822352","0.108994585339576","0.130857208305128"
"Just right","2013","West Germany","Male","7885","0.704806674070621","0.696453744581741","0.713159603559502"
"Just right","2013","West Germany","Female","9247","0.695026991003034","0.687292164689085","0.702761817316983"
"Just right","2013","East Germany","Male","2068","0.734608644611981","0.718389581602327","0.750827707621636"
"Just right","2013","East Germany","Female","2482","0.754949965718653","0.740477496655874","0.769422434781432"
"A little too big","2013","West Germany","Male","1200","0.12960910511137","0.123458392010421","0.13575981821232"
"A little too big","2013","West Germany","Female","1417","0.137414863171502","0.131630748843473","0.143198977499531"
"A little too big","2013","East Germany","Male","268","0.101668800367701","0.0905676892786835","0.112769911456718"
"A little too big","2013","East Germany","Female","313","0.103069852498789","0.0928392479160726","0.113300457081505"
"Much too big","2013","West Germany","Male","162","0.021128706450758","0.0184951065619524","0.0237623063395636"
"Much too big","2013","West Germany","Female","191","0.0228965702989387","0.0203836743039836","0.0254094662938939"
"Much too big","2013","East Germany","Male","32","0.0122972984709506","0.00824900176341872","0.0163455951784826"
"Much too big","2013","East Germany","Female","32","0.0102861836207899","0.00689119663284053","0.0136811706087393"
"Much too small","2014","West Germany","Male","281","0.0198364957654752","0.0171255622358813","0.022547429295069"
"Much too small","2014","West Germany","Female","373","0.0202679378457742","0.0177349455447047","0.0228009301468438"
"Much too small","2014","East Germany","Male","72","0.0204857288605744","0.0150387008103096","0.0259327569108391"
"Much too small","2014","East Germany","Female","78","0.019273467595344","0.0144266968275497","0.0241202383631383"
"A little too small","2014","West Germany","Male","1621","0.132447153481467","0.125856834854275","0.139037472108659"
"A little too small","2014","West Germany","Female","1938","0.131542984960565","0.125467465202273","0.137618504718857"
"A little too small","2014","East Germany","Male","380","0.131394769659132","0.118404182632483","0.144385356685781"
"A little too small","2014","East Germany","Female","463","0.14214222085047","0.129831945029527","0.154452496671414"
"Just right","2014","West Germany","Male","6926","0.68947746386816","0.680481582321426","0.698473345414895"
"Just right","2014","West Germany","Female","8047","0.68526351993974","0.676915609606034","0.693611430273447"
"Just right","2014","East Germany","Male","1862","0.732463009064519","0.715440903280716","0.749485114848321"
"Just right","2014","East Germany","Female","2228","0.730693802000176","0.715055504363966","0.746332099636387"
"A little too big","2014","West Germany","Male","1179","0.137805127683505","0.131103619766694","0.144506635600317"
"A little too big","2014","West Germany","Female","1343","0.140098177662811","0.133859161578415","0.146337193747208"
"A little too big","2014","East Germany","Male","264","0.109038503146556","0.0970532302717568","0.121023776021356"
"A little too big","2014","East Germany","Female","298","0.1030265373147","0.0923097913149739","0.113743283314426"
"Much too big","2014","West Germany","Male","156","0.0204337592013923","0.0176831545786155","0.023184363824169"
"Much too big","2014","West Germany","Female","188","0.0228273795911094","0.0201427207614538","0.025512038420765"
"Much too big","2014","East Germany","Male","20","","",""
"Much too big","2014","East Germany","Female","24","","",""
"Much too small","2015","West Germany","Male","318","0.021078781304574","0.0182810609268092","0.0238765016823389"
"Much too small","2015","West Germany","Female","380","0.0194894115747144","0.0169979473171087","0.0219808758323202"
"Much too small","2015","East Germany","Male","69","0.0242475533997012","0.0182550842744735","0.0302400225249288"
"Much too small","2015","East Germany","Female","75","0.0223869619705612","0.0170966753752743","0.0276772485658481"
"A little too small","2015","West Germany","Male","1558","0.122943886815823","0.116548381775551","0.129339391856095"
"A little too small","2015","West Germany","Female","1896","0.123650788096498","0.117717899435547","0.129583676757449"
"A little too small","2015","East Germany","Male","365","0.13082017754329","0.117683237933707","0.143957117152872"
"A little too small","2015","East Germany","Female","428","0.125183875521689","0.113349898741661","0.137017852301717"
"Just right","2015","West Germany","Male","6983","0.696872885803264","0.687921364241387","0.70582440736514"
"Just right","2015","West Germany","Female","8042","0.691819345030256","0.683497335831319","0.700141354229192"
"Just right","2015","East Germany","Male","1837","0.736850550242998","0.719695461948278","0.754005638537718"
"Just right","2015","East Germany","Female","2198","0.746374775331582","0.730816092561132","0.761933458102033"
"A little too big","2015","West Germany","Male","1115","0.139318335766643","0.132574094465105","0.14606257706818"
"A little too big","2015","West Germany","Female","1321","0.143259312559074","0.13694515694008","0.149573468178068"
"A little too big","2015","East Germany","Male","236","0.100571782189075","0.0888545956012453","0.112288968776905"
"A little too big","2015","East Germany","Female","277","0.100394264988393","0.0896474768623039","0.111141053114482"
"Much too big","2015","West Germany","Male","153","0.0197861103096965","0.0170737441014449","0.022498476517948"
"Much too big","2015","West Germany","Female","187","0.0217811427394579","0.0191503447607777","0.0244119407181381"
"Much too big","2015","East Germany","Male","24","","",""
"Much too big","2015","East Germany","Female","26","","",""
"Much too small","2016","West Germany","Male","448","0.0168635661707343","0.0144051771942608","0.0193219551472079"
"Much too small","2016","West Germany","Female","467","0.0178458511083135","0.0154468404307192","0.0202448617859078"
"Much too small","2016","East Germany","Male","112","0.0164720938913899","0.0116259879726905","0.0213181998100893"
"Much too small","2016","East Germany","Female","111","0.0198758036853854","0.01489541382144","0.0248561935493308"
"A little too small","2016","West Germany","Male","1685","0.128432536804078","0.12204465268882","0.134820420919336"
"A little too small","2016","West Germany","Female","1881","0.127269418220505","0.121230267796132","0.133308568644877"
"A little too small","2016","East Germany","Male","436","0.148967719188781","0.135411322923528","0.162524115454034"
"A little too small","2016","East Germany","Female","469","0.143230443911354","0.130730440890276","0.155730446932432"
"Just right","2016","West Germany","Male","7206","0.702080786628631","0.693348825489052","0.710812747768211"
"Just right","2016","West Germany","Female","7991","0.699050479778701","0.690739067659112","0.707361891898291"
"Just right","2016","East Germany","Male","1840","0.722673775418253","0.705628980847607","0.739718569988899"
"Just right","2016","East Germany","Female","2132","0.724793107879806","0.708856454886365","0.740729760873246"
"A little too big","2016","West Germany","Male","1055","0.134385247875725","0.127873356959446","0.140897138792003"
"A little too big","2016","West Germany","Female","1196","0.13428411738122","0.128105749876442","0.140462484885998"
"A little too big","2016","East Germany","Male","235","0.102853267266481","0.0912877265985038","0.114418807934459"
"A little too big","2016","East Germany","Female","285","0.106909499464617","0.0958835418402894","0.117935457088944"
"Much too big","2016","West Germany","Male","144","0.0182378625208319","0.0156830496095976","0.0207926754320662"
"Much too big","2016","West Germany","Female","164","0.0215501335112601","0.0189188478916033","0.024181419130917"
"Much too big","2016","East Germany","Male","27","","",""
"Much too big","2016","East Germany","Female","20","","",""
"Much too small","2017","West Germany","Male","573","0.0232186970365392","0.0205150762767841","0.0259223177962942"
"Much too small","2017","West Germany","Female","584","0.0233672948234339","0.0207754279795549","0.0259591616673129"
"Much too small","2017","East Germany","Male","117","0.0231692576353168","0.0177432289362821","0.0285952863343515"
"Much too small","2017","East Germany","Female","111","0.0205726673473679","0.0157615453642442","0.0253837893304916"
"A little too small","2017","West Germany","Male","1870","0.12392658310234","0.118011230050567","0.129841936154114"
"A little too small","2017","West Germany","Female","2031","0.116388956898495","0.110886846620715","0.121891067176274"
"A little too small","2017","East Germany","Male","481","0.142033523262536","0.129442907884826","0.154624138640245"
"A little too small","2017","East Germany","Female","506","0.13177595647552","0.120311619328369","0.14324029362267"
"Just right","2017","West Germany","Male","8103","0.703952760815029","0.695757166602609","0.712148355027449"
"Just right","2017","West Germany","Female","8872","0.699921408058673","0.692058467719228","0.707784348398118"
"Just right","2017","East Germany","Male","2078","0.738975406586412","0.723134790297342","0.754816022875483"
"Just right","2017","East Germany","Female","2396","0.742714770199987","0.727898686782965","0.75753085361701"
"A little too big","2017","West Germany","Male","1219","0.130855274698229","0.12480089230662","0.136909657089838"
"A little too big","2017","West Germany","Female","1373","0.13719864506283","0.131295640001222","0.143101650124439"
"A little too big","2017","East Germany","Male","253","0.0883801301418217","0.0781424730890648","0.0986177871945785"
"A little too big","2017","East Germany","Female","303","0.0976645710098219","0.0876029608864239","0.10772618113322"
"Much too big","2017","West Germany","Male","154","0.0180466843478625","0.0156568251604471","0.0204365435352779"
"Much too big","2017","West Germany","Female","190","0.0231236951565677","0.0205450520368716","0.0257023382762639"
"Much too big","2017","East Germany","Male","24","","",""
"Much too big","2017","East Germany","Female","28","","",""
"Much too small","2018","West Germany","Male","519","0.0194073348134212","0.0168672908084524","0.0219473788183899"
"Much too small","2018","West Germany","Female","528","0.019634508438432","0.0171915478413072","0.0220774690355569"
"Much too small","2018","East Germany","Male","94","0.0172774204437604","0.0125316827463501","0.0220231581411707"
"Much too small","2018","East Germany","Female","91","0.0198694073704286","0.0150767802479825","0.0246620344928747"
"A little too small","2018","West Germany","Male","1777","0.124581218040147","0.118500593503587","0.130661842576708"
"A little too small","2018","West Germany","Female","1942","0.124181633031449","0.118374682244292","0.129988583818606"
"A little too small","2018","East Germany","Male","442","0.12723416435668","0.115097494121576","0.139370834591784"
"A little too small","2018","East Germany","Female","490","0.124887416091162","0.113533896431879","0.136240935750444"
"Just right","2018","West Germany","Male","7684","0.705579170116877","0.697187061172956","0.713971279060797"
"Just right","2018","West Germany","Female","8394","0.693740635479017","0.685624380295355","0.701856890662679"
"Just right","2018","East Germany","Male","2112","0.759836164144065","0.744277847792317","0.775394480495813"
"Just right","2018","East Germany","Female","2374","0.748051168968803","0.733141739029636","0.762960598907969"
"A little too big","2018","West Germany","Male","1200","0.133722890204371","0.127456098382579","0.139989682026164"
"A little too big","2018","West Germany","Female","1357","0.141920054188534","0.135775389366135","0.148064719010932"
"A little too big","2018","East Germany","Male","228","0.0891092788255787","0.0787329574140558","0.0994856002371016"
"A little too big","2018","East Germany","Female","274","0.100055563420747","0.0897500963263028","0.110361030515192"
"Much too big","2018","West Germany","Male","151","0.0167093868251834","0.0143492609057146","0.0190695127446522"
