"hlf0071_h","year","age_gr","n","percent","lower_confidence","upper_confidence"
"Much too small","2008","66 and older","7","","",""
"A little too small","2008","16-34 y.","899","0.214753263965849","0.202911945542996","0.226594582388703"
"A little too small","2008","35-65 y.","1419","0.146269604313453","0.139562334119301","0.152976874507605"
"A little too small","2008","66 and older","190","0.0475853663267668","0.0412626492378759","0.0539080834156576"
"Just right","2008","16-34 y.","3309","0.688850788855092","0.675501011108716","0.702200566601467"
"Just right","2008","35-65 y.","7818","0.719335718277085","0.710807314135982","0.727864122418189"
"Just right","2008","66 and older","3234","0.742949659811855","0.729970613056699","0.755928706567011"
"A little too big","2008","16-34 y.","287","0.0628040042535654","0.0558082268460107","0.0697997816611202"
"A little too big","2008","35-65 y.","1175","0.104648442249561","0.0988385033225623","0.11045838117656"
"A little too big","2008","66 and older","775","0.175827417626399","0.164521485039481","0.187133350213317"
"Much too big","2008","16-34 y.","30","0.00994814743277446","0.00708642716014806","0.0128098677054009"
"Much too big","2008","35-65 y.","135","0.015041576979286","0.0127313001575796","0.0173518538009924"
"Much too big","2008","66 and older","149","0.0319258769522825","0.026704563876186","0.0371471900283791"
"Much too small","2009","16-34 y.","118","0.0311428963253542","0.0259138107808601","0.0363719818698483"
"Much too small","2009","35-65 y.","130","0.0163679905728049","0.01386664460745","0.0188693365381599"
"Much too small","2009","66 and older","7","","",""
"A little too small","2009","16-34 y.","904","0.223756494565143","0.211210554821414","0.236302434308873"
"A little too small","2009","35-65 y.","1335","0.158083324770656","0.150891529090581","0.16527512045073"
"A little too small","2009","66 and older","177","0.0430747338526102","0.0369397680365425","0.0492096996686779"
"Just right","2009","16-34 y.","2851","0.660898872179727","0.646647768318239","0.675149976041214"
"Just right","2009","35-65 y.","7143","0.698921279991597","0.689878251138801","0.707964308844393"
"Just right","2009","66 and older","3082","0.735187838916641","0.721854775184185","0.748520902649096"
"A little too big","2009","16-34 y.","332","0.0728245592690695","0.06500222672266","0.080646891815479"
"A little too big","2009","35-65 y.","1142","0.111954745334995","0.105738923519586","0.118170567150404"
"A little too big","2009","66 and older","799","0.18770894525724","0.175909538979696","0.199508351534783"
"Much too big","2009","16-34 y.","34","0.0113771776607064","0.00818454487898046","0.0145698104424324"
"Much too big","2009","35-65 y.","135","0.0146726593299481","0.0123023532083568","0.0170429654515395"
"Much too big","2009","66 and older","142","0.0321169615622773","0.0267892525012578","0.0374446706232968"
"Much too small","2010","16-34 y.","345","0.0239460231290206","0.0203504710593313","0.0275415751987098"
"Much too small","2010","35-65 y.","398","0.0162846574595596","0.0141407093217629","0.0184286055973563"
"Much too small","2010","66 and older","4","","",""
"A little too small","2010","16-34 y.","1801","0.214596687496055","0.204941297122855","0.224252077869256"
"A little too small","2010","35-65 y.","2390","0.159722411939535","0.153516800783993","0.165928023095076"
"A little too small","2010","66 and older","174","0.0456721872616636","0.0392535041207085","0.0520908704026188"
"Just right","2010","16-34 y.","4348","0.673578884790346","0.662550921281943","0.684606848298749"
"Just right","2010","35-65 y.","9229","0.706351311687012","0.698636689715891","0.714065933658133"
"Just right","2010","66 and older","2939","0.720965059090196","0.707175269335056","0.734754848845337"
"A little too big","2010","16-34 y.","417","0.0781236302812201","0.0718120295839244","0.0844352309785159"
"A little too big","2010","35-65 y.","1211","0.101249537004556","0.0961397084874347","0.106359365521677"
"A little too big","2010","66 and older","794","0.192630339034118","0.18050567261997","0.204755005448267"
"Much too big","2010","16-34 y.","34","0.0097547743033579","0.00744328463102998","0.0120662639756858"
"Much too big","2010","35-65 y.","160","0.0163920819093379","0.0142411913913427","0.0185429724273331"
"Much too big","2010","66 and older","153","0.040323066830291","0.0342750840317758","0.0463710496288063"
"Much too small","2011","16-34 y.","323","0.0263450274366712","0.0226815563218728","0.0300084985514696"
"Much too small","2011","35-65 y.","398","0.0154377309591774","0.0135533405253507","0.017322121393004"
"Much too small","2011","66 and older","8","","",""
"A little too small","2011","16-34 y.","1716","0.20104742752137","0.191879932961628","0.210214922081112"
"A little too small","2011","35-65 y.","2872","0.154106661909619","0.148588098060962","0.159625225758275"
"A little too small","2011","66 and older","214","0.0440039837498415","0.0384341151290418","0.0495738523706412"
"Just right","2011","16-34 y.","4789","0.687360539139614","0.67675689619176","0.697964182087468"
"Just right","2011","35-65 y.","11352","0.699964990816884","0.692960417449776","0.706969564183992"
"Just right","2011","66 and older","3807","0.726175118597122","0.714065567374345","0.738284669819898"
"A little too big","2011","16-34 y.","475","0.078119090836283","0.0719806665735746","0.0842575150989915"
"A little too big","2011","35-65 y.","1645","0.116325641059853","0.111425129515008","0.121226152604698"
"A little too big","2011","66 and older","999","0.188867371788807","0.178238300582931","0.199496442994682"
"Much too big","2011","16-34 y.","39","0.00712791506606166","0.00520363265922284","0.00905219747290047"
"Much too big","2011","35-65 y.","176","0.0141649752544664","0.0123587679487992","0.0159711825601335"
"Much too big","2011","66 and older","181","0.0385882654672722","0.0333576444995764","0.043818886434968"
"Much too small","2012","16-34 y.","292","0.0311054487126536","0.0270068825640107","0.0352040148612965"
"Much too small","2012","35-65 y.","362","0.0175474111672588","0.0155194622019121","0.0195753601326056"
"Much too small","2012","66 and older","5","","",""
"A little too small","2012","16-34 y.","1545","0.192530891806732","0.183222200554193","0.201839583059271"
"A little too small","2012","35-65 y.","2574","0.138877900725106","0.133536641775469","0.144219159674744"
"A little too small","2012","66 and older","219","0.0452561911879441","0.0396387615077092","0.050873620868179"
"Just right","2012","16-34 y.","4553","0.682247996622737","0.671255641766878","0.693240351478596"
"Just right","2012","35-65 y.","11373","0.714555161318076","0.707579688155596","0.721530634480556"
"Just right","2012","66 and older","3776","0.722405437300078","0.710303603072369","0.734507271527786"
"A little too big","2012","16-34 y.","461","0.0871407334377382","0.0804820560120196","0.0937994108634568"
"A little too big","2012","35-65 y.","1594","0.113679247535386","0.108776599131299","0.118581895939473"
"A little too big","2012","66 and older","1062","0.194365333049893","0.18367149272069","0.205059173379095"
"Much too big","2012","16-34 y.","41","0.00697492942013896","0.0050100971973454","0.00893976164293251"
"Much too big","2012","35-65 y.","200","0.0153402792541725","0.0134420248608202","0.0172385336475249"
"Much too big","2012","66 and older","198","0.0363148290358758","0.0312593209541033","0.0413703371176483"
"Much too small","2013","16-34 y.","422","0.0370974073310271","0.0330652281303164","0.0411295865317377"
"Much too small","2013","35-65 y.","501","0.0173054076049914","0.0153875038480626","0.0192233113619201"
"Much too small","2013","66 and older","17","","",""
"A little too small","2013","16-34 y.","1860","0.187100162655224","0.178779987510265","0.195420337800183"
"A little too small","2013","35-65 y.","2965","0.131717805555532","0.126744108819893","0.136691502291171"
"A little too small","2013","66 and older","243","0.0496573474351317","0.0436982280389353","0.055616466831328"
"Just right","2013","16-34 y.","5571","0.6790466576472","0.669086926230061","0.689006389064338"
"Just right","2013","35-65 y.","12438","0.717796305720974","0.711177059028834","0.724415552413113"
"Just right","2013","66 and older","3673","0.715877002660091","0.703505495320189","0.728248509999994"
"A little too big","2013","16-34 y.","539","0.0845983550863611","0.0786614012592324","0.0905353089134899"
"A little too big","2013","35-65 y.","1667","0.117383436870408","0.112649569812362","0.122117303928454"
"A little too big","2013","66 and older","992","0.194544622030226","0.183685853504007","0.205403390556445"
"Much too big","2013","16-34 y.","48","0.0121574172801882","0.00981943400025535","0.014495400560121"
"Much too big","2013","35-65 y.","189","0.0157970442480955","0.0139632235928615","0.0176308649033295"
"Much too big","2013","66 and older","180","0.0373222630026833","0.0321226063557342","0.0425219196496324"
"Much too small","2014","16-34 y.","361","0.0399342238142059","0.0353966145423711","0.0444718330860407"
"Much too small","2014","35-65 y.","428","0.0188717016312779","0.0167357399106739","0.0210076633518819"
"Much too small","2014","66 and older","15","","",""
"A little too small","2014","16-34 y.","1604","0.210010001993606","0.200570811202881","0.219449192784331"
"A little too small","2014","35-65 y.","2574","0.137145854207753","0.131745962250684","0.142545746164823"
"A little too small","2014","66 and older","224","0.0460785502070622","0.0402661477802639","0.0518909526338606"
"Just right","2014","16-34 y.","4690","0.664203864272979","0.653259449982285","0.675148278563673"
"Just right","2014","35-65 y.","10809","0.701758328336653","0.694577029762163","0.708939626911142"
"Just right","2014","66 and older","3564","0.712471119513887","0.699923124595897","0.725019114431878"
"A little too big","2014","16-34 y.","461","0.0786039253137561","0.0723673054367863","0.0848405451907259"
"A little too big","2014","35-65 y.","1605","0.127433501854391","0.12219911147063","0.132667892238153"
"A little too big","2014","66 and older","1018","0.200045287686548","0.188954897437202","0.211135677935893"
"Much too big","2014","16-34 y.","37","0.00724798460545296","0.00528221326841892","0.009213755942487"
"Much too big","2014","35-65 y.","174","0.0147906139699251","0.0128957309464147","0.0166854969934355"
"Much too big","2014","66 and older","177","0.0390183181379015","0.0336499561510009","0.044386680124802"
"Much too small","2015","16-34 y.","401","0.0384931359839471","0.0340723505805263","0.042913921387368"
"Much too small","2015","35-65 y.","431","0.0213911926678328","0.0190950083188769","0.0236873770167887"
"Much too small","2015","66 and older","10","","",""
"A little too small","2015","16-34 y.","1547","0.184427819615897","0.175515802543433","0.193339836688362"
"A little too small","2015","35-65 y.","2487","0.135304334993279","0.129875930652084","0.140732739334474"
"A little too small","2015","66 and older","213","0.041386979363589","0.0358443351148178","0.0469296236123602"
"Just right","2015","16-34 y.","4817","0.679215108138042","0.668488998941573","0.689941217334512"
"Just right","2015","35-65 y.","10695","0.709331900686367","0.702125670608838","0.716538130763896"
"Just right","2015","66 and older","3548","0.711978163407846","0.699377032533593","0.724579294282099"
"A little too big","2015","16-34 y.","477","0.0913589899852823","0.0847382976892133","0.0979796822813514"
"A little too big","2015","35-65 y.","1481","0.121406756991255","0.116223532113768","0.126589981868741"
"A little too big","2015","66 and older","991","0.202668510070441","0.191482477664465","0.213854542476416"
"Much too big","2015","16-34 y.","33","0.00650494627683084","0.00465765106780174","0.00835224148585995"
"Much too big","2015","35-65 y.","158","0.0125658146612666","0.0107980107236149","0.0143336185989184"
"Much too big","2015","66 and older","199","0.0418160177231504","0.0362459655081015","0.0473860699381993"
"Much too small","2016","16-34 y.","522","0.0323462034492923","0.0284169795319388","0.0362754273666459"
"Much too small","2016","35-65 y.","601","0.017117490894651","0.0150635423265028","0.0191714394627993"
"Much too small","2016","66 and older","15","","",""
"A little too small","2016","16-34 y.","1700","0.196978460432612","0.188145463365295","0.205811457499929"
"A little too small","2016","35-65 y.","2612","0.143300826790629","0.137752561351798","0.14884909222946"
"A little too small","2016","66 and older","159","0.0366740787551219","0.0313545307348655","0.0419936267753783"
"Just right","2016","16-34 y.","5088","0.682494666513302","0.672156101502338","0.692833231524266"
"Just right","2016","35-65 y.","10567","0.706514596747163","0.699303978041338","0.713725215452989"
"Just right","2016","66 and older","3514","0.72346566834921","0.710806884174803","0.736124452523617"
"A little too big","2016","16-34 y.","441","0.0839712586283133","0.0778116233005238","0.0901308939561029"
"A little too big","2016","35-65 y.","1405","0.120290887669017","0.115139732664696","0.125442042673339"
"A little too big","2016","66 and older","925","0.194821964970991","0.183612795818497","0.206031134123485"
"Much too big","2016","16-34 y.","37","0.0042094109764802","0.00277150730385754","0.00564731464910286"
"Much too big","2016","35-65 y.","135","0.012776197898539","0.0109978065688524","0.0145545892282255"
"Much too big","2016","66 and older","183","0.042001913435883","0.036324828884736","0.04767899798703"
"Much too small","2017","16-34 y.","640","0.0424537230556836","0.0382894038710498","0.0466180422403174"
"Much too small","2017","35-65 y.","724","0.0230868276038317","0.0208428514137799","0.0253308037938835"
"Much too small","2017","66 and older","21","","",""
"A little too small","2017","16-34 y.","1868","0.182071651462788","0.17410116132973","0.190042141595845"
"A little too small","2017","35-65 y.","2832","0.13533684225667","0.130225445081773","0.140448239431566"
"A little too small","2017","66 and older","188","0.036309978756499","0.031153310540433","0.041466646972565"
"Just right","2017","16-34 y.","5943","0.697040022540506","0.687548678413271","0.706531366667741"
"Just right","2017","35-65 y.","11853","0.706956425088767","0.700155459826955","0.713757390350578"
"Just right","2017","66 and older","3653","0.723938897624048","0.711615198802494","0.736262596445601"
"A little too big","2017","16-34 y.","521","0.0743096398211682","0.0688926043278699","0.0797266753144665"
"A little too big","2017","35-65 y.","1632","0.121475557331154","0.11659432469367","0.126356789968637"
"A little too big","2017","66 and older","995","0.192737316802844","0.181863604107","0.203611029498688"
"Much too big","2017","16-34 y.","33","0.00412496311985474","0.00280117435588966","0.00544875188381982"
"Much too big","2017","35-65 y.","165","0.0131443477195786","0.0114425635952385","0.0148461318439188"
"Much too big","2017","66 and older","198","0.043913398117647","0.0382648783920192","0.0495619178432748"
"Much too small","2018","16-34 y.","549","0.0351684476357424","0.0312325011477585","0.0391043941237263"
"Much too small","2018","35-65 y.","668","0.0202566573030135","0.0181000445486137","0.0224132700574132"
"Much too small","2018","66 and older","15","","",""
"A little too small","2018","16-34 y.","1818","0.202728381759457","0.194138102823572","0.211318660695343"
"A little too small","2018","35-65 y.","2638","0.131716581902054","0.126539523098052","0.136893640706056"
"A little too small","2018","66 and older","195","0.0332229719017197","0.0282888237136773","0.0381571200897622"
"Just right","2018","16-34 y.","5496","0.682723351578418","0.672778729795777","0.69266797336106"
"Just right","2018","35-65 y.","11337","0.709491534164561","0.702541529059166","0.716441539269956"
"Just right","2018","66 and older","3731","0.733517650210581","0.721345444123546","0.745689856297617"
"A little too big","2018","16-34 y.","518","0.0735702263496675","0.0679918972125695","0.0791485554867655"
"A little too big","2018","35-65 y.","1579","0.126534421808874","0.121445106502752","0.131623737114997"
"A little too big","2018","66 and older","962","0.194492414441916","0.183595188915141","0.205389639968691"
"Much too big","2018","16-34 y.","33","0.00580959267671434","0.00418571069325477","0.00743347466017391"
"Much too big","2018","35-65 y.","170","0.0120008048214969","0.0103338815872716","0.0136677280557222"
"Much too big","2018","66 and older","165","0.0368090701831166","0.0316250891536665","0.0419930512125667"
"Much too small","2019","16-34 y.","494","0.0393841255137364","0.0349940791828307","0.0437741718446422"
"Much too small","2019","35-65 y.","609","0.021297163022734","0.0191210158031124","0.0234733102423556"
"Much too small","2019","66 and older","10","","",""
"A little too small","2019","16-34 y.","1496","0.186939587619122","0.178140337377697","0.195738837860547"
"A little too small","2019","35-65 y.","2410","0.125138961591486","0.120151635296555","0.130126287886416"
"A little too small","2019","66 and older","212","0.0386798005638308","0.0334760915164717","0.0438835096111899"
"Just right","2019","16-34 y.","5029","0.689469221583529","0.67902578609213","0.699912657074928"
"Just right","2019","35-65 y.","11788","0.709861839276324","0.703021284683494","0.716702393869153"
"Just right","2019","66 and older","3856","0.735439145244523","0.723535690566204","0.747342599922841"
"A little too big","2019","16-34 y.","484","0.0794465332683946","0.0733427991807889","0.0855502673560003"
"A little too big","2019","35-65 y.","1860","0.130322261342131","0.125247794117613","0.135396728566649"
"A little too big","2019","66 and older","1007","0.188890993632556","0.17832811970139","0.199453867563721"
"Much too big","2019","16-34 y.","38","0.00476053201521815","0.00320698228128096","0.00631408174915535"
"Much too big","2019","35-65 y.","241","0.0133797747673257","0.0116479602344541","0.0151115893001972"
"Much too big","2019","66 and older","190","0.0356868027347104","0.0306807002715272","0.0406929051978935"
