"plj0047","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Big worries","2000","general elemantary","Rural Area","259","0.224001197189968","0.199735249386308","0.248267144993629","1"
"Big worries","2000","middle vocational","Urban Area","2549","0.322412749457717","0.312178895004634","0.3326466039108","1"
"Big worries","2000","middle vocational","Rural Area","1338","0.27624753643865","0.263503480520994","0.288991592356306","1"
"Big worries","2000","vocational + Abi","Urban Area","319","0.384444037460606","0.352081798195825","0.416806276725387","1"
"Big worries","2000","vocational + Abi","Rural Area","87","0.353259132237852","0.294127062328383","0.412391202147322","1"
"Big worries","2000","higher vocational","Urban Area","433","0.371883069709892","0.344549267928468","0.399216871491316","1"
"Big worries","2000","higher vocational","Rural Area","201","0.304515703753695","0.26992637407174","0.339105033435649","1"
"Big worries","2000","higher education","Urban Area","946","0.362592280417556","0.34422243070458","0.380962130130531","1"
"Big worries","2000","higher education","Rural Area","421","0.353657038066248","0.326389507607435","0.380924568525061","1"
"No worries","2000","in school","Urban Area","71","0.226599773078963","0.180732282043776","0.27246726411415","3"
"No worries","2000","in school","Rural Area","25","","","","3"
"No worries","2000","inadequately","Urban Area","75","0.255529287743825","0.207591423432014","0.303467152055636","3"
"No worries","2000","inadequately","Rural Area","28","","","","3"
"No worries","2000","general elemantary","Urban Area","582","0.250020195139904","0.232656092449327","0.26738429783048","3"
"No worries","2000","general elemantary","Rural Area","244","0.224077675754379","0.19980878185905","0.248346569649708","3"
"No worries","2000","middle vocational","Urban Area","1465","0.187281805666469","0.178739633805017","0.19582397752792","3"
"No worries","2000","middle vocational","Rural Area","833","0.185315469105882","0.174241227207758","0.196389711004006","3"
"No worries","2000","vocational + Abi","Urban Area","125","0.13249061973767","0.109936915343907","0.155044324131433","3"
"No worries","2000","vocational + Abi","Rural Area","28","","","","3"
"No worries","2000","higher vocational","Urban Area","178","0.146304548768947","0.126317117400035","0.16629198013786","3"
"No worries","2000","higher vocational","Rural Area","88","0.135926285443401","0.110167774354566","0.161684796532237","3"
"No worries","2000","higher education","Urban Area","312","0.126394614263004","0.113697366246576","0.139091862279433","3"
"No worries","2000","higher education","Rural Area","123","0.116376665645758","0.0980876772158236","0.134665654075692","3"
"Some worries","2000","in school","Urban Area","142","0.434366130067237","0.380057508223233","0.488674751911241","2"
"Some worries","2000","in school","Rural Area","86","0.509382484356205","0.434672714997858","0.584092253714553","2"
"Some worries","2000","inadequately","Urban Area","137","0.402352504833579","0.348456020445412","0.456248989221747","2"
"Some worries","2000","inadequately","Rural Area","32","0.389445901037012","0.279816525808956","0.499075276265068","2"
"Some worries","2000","general elemantary","Urban Area","1118","0.456695237111053","0.436720778662201","0.476669695559905","2"
"Some worries","2000","general elemantary","Rural Area","631","0.551921127055653","0.522977209879053","0.580865044232252","2"
"Some worries","2000","middle vocational","Urban Area","3999","0.490305444875814","0.479359862474045","0.501251027277583","2"
"Some worries","2000","middle vocational","Rural Area","2558","0.538436994455468","0.524228555163173","0.552645433747763","2"
"Some worries","2000","vocational + Abi","Urban Area","424","0.483065342801724","0.449821670426962","0.516309015176486","2"
"Some worries","2000","vocational + Abi","Rural Area","136","0.543418123531747","0.481795863278129","0.605040383785366","2"
"Some worries","2000","higher vocational","Urban Area","590","0.481812381521161","0.453553232389829","0.510071530652492","2"
"Some worries","2000","higher vocational","Rural Area","391","0.559558010802904","0.522244977892749","0.596871043713059","2"
"Some worries","2000","higher education","Urban Area","1373","0.51101310531944","0.491912272830697","0.530113937808183","2"
"Some worries","2000","higher education","Rural Area","637","0.529966296287995","0.501501258295055","0.558431334280935","2"
"Big worries","2001","in school","Urban Area","134","0.352095728743127","0.302270816989965","0.401920640496289","1"
"Big worries","2001","in school","Rural Area","91","0.453825530638418","0.383033975930069","0.524617085346767","1"
"Big worries","2001","inadequately","Urban Area","68","0.276734371261232","0.220015235396644","0.33345350712582","1"
"Big worries","2001","inadequately","Rural Area","22","","","","1"
"Big worries","2001","general elemantary","Urban Area","666","0.321084719629899","0.301087143301789","0.341082295958009","1"
"Big worries","2001","general elemantary","Rural Area","292","0.287194423757435","0.258910160032182","0.315478687482688","1"
"Big worries","2001","middle vocational","Urban Area","2533","0.339088459758841","0.328192203439407","0.349984716078275","1"
"Big worries","2001","middle vocational","Rural Area","1462","0.330843976112979","0.316741201846622","0.344946750379335","1"
"Big worries","2001","vocational + Abi","Urban Area","336","0.385974466762676","0.352974199609872","0.418974733915481","1"
"Big worries","2001","vocational + Abi","Rural Area","99","0.456220486339057","0.392403105685451","0.520037866992663","1"
"Big worries","2001","higher vocational","Urban Area","449","0.406036686098046","0.376680048809579","0.435393323386514","1"
"Big worries","2001","higher vocational","Rural Area","214","0.368630622358201","0.329866757577342","0.40739448713906","1"
"Big worries","2001","higher education","Urban Area","992","0.408208403321219","0.388718408446133","0.427698398196305","1"
"Big worries","2001","higher education","Rural Area","455","0.395136184813614","0.366126840075883","0.424145529551345","1"
"No worries","2001","in school","Urban Area","68","0.206377505245035","0.164159384074912","0.248595626415158","3"
"No worries","2001","in school","Rural Area","27","","","","3"
"No worries","2001","inadequately","Urban Area","53","0.230475312860068","0.177083750974675","0.283866874745461","3"
"No worries","2001","inadequately","Rural Area","16","","","","3"
"No worries","2001","general elemantary","Urban Area","473","0.234051082450714","0.215916190066867","0.252185974834561","3"
"No worries","2001","general elemantary","Rural Area","179","0.182691055347748","0.158535162173861","0.206846948521634","3"
"No worries","2001","middle vocational","Urban Area","1227","0.17720152491009","0.168412724438684","0.185990325381496","3"
"No worries","2001","middle vocational","Rural Area","668","0.163420624248348","0.152338162214968","0.174503086281727","3"
"No worries","2001","vocational + Abi","Urban Area","100","0.120681657042648","0.0985996445589474","0.142763669526348","3"
"No worries","2001","vocational + Abi","Rural Area","29","","","","3"
"No worries","2001","higher vocational","Urban Area","105","0.101822763574747","0.0837448909968874","0.119900636152606","3"
"No worries","2001","higher vocational","Rural Area","61","0.104736475951084","0.080132004961363","0.129340946940805","3"
"No worries","2001","higher education","Urban Area","269","0.117731820047494","0.10495173939464","0.130511900700348","3"
"No worries","2001","higher education","Rural Area","109","0.127011400308903","0.107252564426828","0.146770236190979","3"
"Some worries","2001","in school","Urban Area","151","0.441526766011838","0.389725492334425","0.493328039689251","2"
"Some worries","2001","higher education","Rural Area","527","0.477852414877483","0.448212343498926","0.507492486256039","2"
"Some worries","2001","in school","Rural Area","72","0.398237770674386","0.328630440403166","0.467845100945606","2"
"Some worries","2001","inadequately","Urban Area","118","0.4927903158787","0.429407140706237","0.556173491051163","2"
"Some worries","2001","inadequately","Rural Area","27","","","","2"
"Some worries","2001","general elemantary","Urban Area","955","0.444864197919387","0.423579225160845","0.466149170677929","2"
"Some worries","2001","general elemantary","Rural Area","512","0.530114520894817","0.498914693277458","0.561314348512177","2"
"Some worries","2001","middle vocational","Urban Area","3491","0.483710015331069","0.472207613683281","0.495212416978856","2"
"Some worries","2001","middle vocational","Rural Area","2146","0.505735399638674","0.490749919129852","0.520720880147496","2"
"Some worries","2001","vocational + Abi","Urban Area","400","0.493343876194676","0.459453493632731","0.52723425875662","2"
"Some worries","2001","vocational + Abi","Rural Area","106","0.42618868176616","0.362827149168498","0.489550214363821","2"
"Some worries","2001","higher vocational","Urban Area","521","0.492140550327207","0.462255072565622","0.522026028088791","2"
"Some worries","2001","higher vocational","Rural Area","320","0.526632901690715","0.486514591060846","0.566751212320584","2"
"Some worries","2001","higher education","Urban Area","1182","0.474059776631287","0.454259506990146","0.493860046272428","2"
"Big worries","2002","in school","Urban Area","151","0.3544787680258","0.308946892259651","0.400010643791949","1"
"Big worries","2002","in school","Rural Area","71","0.388004144418778","0.317402475222334","0.458605813615222","1"
"Big worries","2002","inadequately","Urban Area","55","0.276793415235091","0.217126954349605","0.336459876120577","1"
"Big worries","2002","inadequately","Rural Area","7","","","","1"
"Big worries","2002","general elemantary","Urban Area","494","0.263722272434171","0.244154208843689","0.283290336024654","1"
"Big worries","2002","general elemantary","Rural Area","238","0.267623228464116","0.239245902484836","0.296000554443397","1"
"Big worries","2002","middle vocational","Urban Area","1991","0.274127390988585","0.26395368314802","0.284301098829149","1"
"Big worries","2002","middle vocational","Rural Area","1140","0.267610417832789","0.254200713643106","0.281020122022473","1"
"Big worries","2002","vocational + Abi","Urban Area","261","0.29893074375102","0.269038986401943","0.328822501100097","1"
"Big worries","2002","vocational + Abi","Rural Area","91","0.34942405116431","0.29234114267626","0.406506959652359","1"
"Big worries","2002","higher vocational","Urban Area","332","0.308656550002308","0.281711078024205","0.335602021980411","1"
"Big worries","2002","higher vocational","Rural Area","156","0.256241134150448","0.221766613462328","0.290715654838567","1"
"Big worries","2002","higher education","Urban Area","986","0.300109962354613","0.284343692874856","0.315876231834369","1"
"Big worries","2002","higher education","Rural Area","426","0.30948935613916","0.284427205001775","0.334551507276545","1"
"No worries","2002","in school","Urban Area","78","0.177962381944008","0.141556201795208","0.214368562092807","3"
"No worries","2002","in school","Rural Area","25","","","","3"
"No worries","2002","inadequately","Urban Area","43","0.200528966572196","0.147132669605292","0.2539252635391","3"
"No worries","2002","inadequately","Rural Area","19","","","","3"
"No worries","2002","general elemantary","Urban Area","470","0.241644818864174","0.222634968962117","0.260654668766231","3"
"No worries","2002","general elemantary","Rural Area","181","0.184707422575084","0.159833676076613","0.209581169073555","3"
"No worries","2002","middle vocational","Urban Area","1406","0.194104423843851","0.185083937697655","0.203124909990048","3"
"No worries","2002","middle vocational","Rural Area","700","0.169814452279564","0.158441544455483","0.181187360103645","3"
"No worries","2002","vocational + Abi","Urban Area","141","0.136957272971759","0.11450840767273","0.159406138270788","3"
"No worries","2002","vocational + Abi","Rural Area","35","0.100712003313902","0.064681468400438","0.136742538227365","3"
"No worries","2002","higher vocational","Urban Area","170","0.159184173409703","0.137843825163335","0.180524521656072","3"
"No worries","2002","higher vocational","Rural Area","94","0.149582288797597","0.12141701546465","0.177747562130545","3"
"No worries","2002","higher education","Urban Area","440","0.147107125097314","0.134921777269653","0.159292472924975","3"
"No worries","2002","higher education","Rural Area","122","0.113777383292259","0.0965622780307422","0.130992488553775","3"
"Some worries","2002","in school","Urban Area","195","0.467558850030192","0.420066997562671","0.515050702497713","2"
"Some worries","2002","in school","Rural Area","87","0.427699690304457","0.356018698705247","0.499380681903667","2"
"Some worries","2002","inadequately","Urban Area","118","0.522677618192713","0.456066907600463","0.589288328784963","2"
"Some worries","2002","inadequately","Rural Area","35","0.516068169177584","0.390659140424965","0.641477197930204","2"
"Some worries","2002","general elemantary","Urban Area","984","0.494632908701654","0.472430576455295","0.516835240948014","2"
"Some worries","2002","general elemantary","Rural Area","516","0.5476693489608","0.5157664967327","0.579572201188899","2"
"Some worries","2002","middle vocational","Urban Area","3988","0.531768185167564","0.520387603067677","0.543148767267451","2"
"Some worries","2002","middle vocational","Rural Area","2347","0.562575129887647","0.5475492950468","0.577600964728494","2"
"Some worries","2002","vocational + Abi","Urban Area","499","0.564111983277221","0.53173355054057","0.596490416013872","2"
"Some worries","2002","vocational + Abi","Rural Area","142","0.549863945521789","0.490300444609123","0.609427446434454","2"
"Some worries","2002","higher vocational","Urban Area","627","0.532159276587988","0.503054052331684","0.561264500844292","2"
"Some worries","2002","higher vocational","Rural Area","366","0.594176577051955","0.555398697840812","0.632954456263098","2"
"Some worries","2002","higher education","Urban Area","1820","0.552782912548073","0.535678414547091","0.569887410549054","2"
"Some worries","2002","higher education","Rural Area","759","0.576733260568581","0.54994744540453","0.603519075732632","2"
"Big worries","2003","in school","Urban Area","110","0.262647700312025","0.22061073426772","0.30468466635633","1"
"Big worries","2003","in school","Rural Area","56","0.263434819667411","0.201449419806336","0.325420219528486","1"
"Big worries","2003","inadequately","Urban Area","46","0.256248325977905","0.195895924065373","0.316600727890438","1"
"Big worries","2003","inadequately","Rural Area","11","","","","1"
"Big worries","2003","general elemantary","Urban Area","413","0.238870276362732","0.219387556915598","0.258352995809866","1"
"Big worries","2003","general elemantary","Rural Area","190","0.206468553801364","0.179709997258845","0.233227110343882","1"
"Big worries","2003","middle vocational","Urban Area","1575","0.22794856501909","0.218196065669984","0.237701064368195","1"
"Big worries","2003","middle vocational","Rural Area","883","0.219104972589139","0.206238032366897","0.23197191281138","1"
"Big worries","2003","vocational + Abi","Urban Area","202","0.231386714286956","0.203633746332532","0.259139682241379","1"
"Big worries","2003","vocational + Abi","Rural Area","66","0.27381141779337","0.220325069816294","0.327297765770447","1"
"Big worries","2003","higher vocational","Urban Area","257","0.264587280183962","0.238267187256558","0.290907373111367","1"
"Big worries","2003","higher vocational","Rural Area","148","0.258643929287872","0.223693380146335","0.29359447842941","1"
"Big worries","2003","higher education","Urban Area","665","0.229177001083547","0.214369539571655","0.243984462595438","1"
"Big worries","2003","higher education","Rural Area","310","0.260701807887479","0.236315544574359","0.2850880712006","1"
"No worries","2003","in school","Urban Area","91","0.23904120034865","0.198300921675578","0.279781479021722","3"
"No worries","2003","in school","Rural Area","45","0.265338297339683","0.203209793449388","0.327466801229977","3"
"No worries","2003","inadequately","Urban Area","68","0.316511401863716","0.252211489782584","0.380811313944849","3"
"No worries","2003","inadequately","Rural Area","25","","","","3"
"No worries","2003","general elemantary","Urban Area","500","0.267286149768684","0.247065523258675","0.287506776278693","3"
"No worries","2003","general elemantary","Rural Area","206","0.23236286776406","0.204442894084548","0.260282841443573","3"
"No worries","2003","middle vocational","Urban Area","1698","0.235421635280821","0.225558645803153","0.245284624758489","3"
"No worries","2003","middle vocational","Rural Area","776","0.20080766350563","0.188346211921085","0.213269115090175","3"
"No worries","2003","vocational + Abi","Urban Area","190","0.208310722453198","0.181585614069685","0.235035830836711","3"
"No worries","2003","vocational + Abi","Rural Area","50","0.165738049717739","0.121136002763377","0.210340096672101","3"
"No worries","2003","higher vocational","Urban Area","202","0.178255868300133","0.155419470881724","0.201092265718542","3"
"No worries","2003","higher vocational","Rural Area","106","0.162412282024105","0.132973894402557","0.191850669645654","3"
"No worries","2003","higher education","Urban Area","561","0.181165091732645","0.167595924404639","0.19473425906065","3"
"No worries","2003","higher education","Rural Area","164","0.131957868016706","0.113158144471622","0.15075759156179","3"
"Some worries","2003","in school","Urban Area","220","0.498311099339325","0.450549971925803","0.546072226752848","2"
"Some worries","2003","in school","Rural Area","93","0.471226882992906","0.400984871628516","0.541468894357296","2"
"Some worries","2003","inadequately","Urban Area","87","0.427240272158378","0.358853455082422","0.495627089234334","2"
"Some worries","2003","inadequately","Rural Area","24","","","","2"
"Some worries","2003","general elemantary","Urban Area","927","0.493843573868585","0.470999357734884","0.516687790002285","2"
"Some worries","2003","general elemantary","Rural Area","483","0.561168578434576","0.52836288783481","0.593974269034342","2"
"Some worries","2003","middle vocational","Urban Area","3835","0.536629799700089","0.525037333863949","0.54822226553623","2"
"Some worries","2003","middle vocational","Rural Area","2311","0.580087363905231","0.564734867225085","0.595439860585378","2"
"Some worries","2003","vocational + Abi","Urban Area","495","0.560302563259846","0.527638173228159","0.592966953291533","2"
"Some worries","2003","vocational + Abi","Rural Area","151","0.56045053248889","0.500916543536331","0.61998452144145","2"
"Some worries","2003","higher vocational","Urban Area","620","0.557156851515904","0.527518702903818","0.58679500012799","2"
"Some worries","2003","higher vocational","Rural Area","349","0.578943788688023","0.539536398543002","0.618351178833043","2"
"Some worries","2003","higher education","Urban Area","1869","0.589657907183809","0.572328214458993","0.606987599908624","2"
"Some worries","2003","higher education","Rural Area","771","0.607340324095815","0.580214207406913","0.634466440784717","2"
"Big worries","2004","in school","Urban Area","120","0.25774080359436","0.216918436952741","0.29856317023598","1"
"Big worries","2004","in school","Rural Area","61","0.276924318783888","0.213629246175921","0.340219391391855","1"
"Big worries","2004","inadequately","Urban Area","35","0.236602552344795","0.175360844796221","0.297844259893369","1"
"Big worries","2004","inadequately","Rural Area","11","","","","1"
"Big worries","2004","general elemantary","Urban Area","387","0.238564856832706","0.218428664609154","0.258701049056257","1"
"Big worries","2004","general elemantary","Rural Area","164","0.179958469226442","0.153855464810307","0.206061473642578","1"
"Big worries","2004","middle vocational","Urban Area","1593","0.233248924535674","0.223250951964493","0.243246897106855","1"
"Big worries","2004","middle vocational","Rural Area","879","0.22425804188848","0.211135773273796","0.237380310503164","1"
"Big worries","2004","vocational + Abi","Urban Area","217","0.258050889640704","0.229255297033717","0.286846482247692","1"
"Big worries","2004","vocational + Abi","Rural Area","73","0.293143913868417","0.238337536604423","0.347950291132411","1"
"Big worries","2004","higher vocational","Urban Area","271","0.272130731272301","0.245185436698768","0.299076025845834","1"
"Big worries","2004","higher vocational","Rural Area","132","0.21894301495926","0.185518405971422","0.252367623947098","1"
"Big worries","2004","higher education","Urban Area","689","0.244380520284175","0.229127556324744","0.259633484243606","1"
"Big worries","2004","higher education","Rural Area","319","0.275159675506447","0.250322576960219","0.299996774052675","1"
"No worries","2004","in school","Urban Area","99","0.250706043106312","0.210254293295259","0.291157792917365","3"
"No worries","2004","in school","Rural Area","44","0.261032360186456","0.198908653283888","0.323156067089023","3"
"No worries","2004","inadequately","Urban Area","64","0.325187267539353","0.257684647879979","0.392689887198728","3"
"No worries","2004","inadequately","Rural Area","23","","","","3"
"No worries","2004","general elemantary","Urban Area","511","0.303074735706326","0.281361445963769","0.324788025448883","3"
"No worries","2004","general elemantary","Rural Area","210","0.282935123488246","0.252328946523183","0.313541300453309","3"
"No worries","2004","middle vocational","Urban Area","1592","0.2344530402147","0.224437168082212","0.244468912347189","3"
"No worries","2004","middle vocational","Rural Area","829","0.215168831040921","0.202240154470983","0.228097507610859","3"
"No worries","2004","vocational + Abi","Urban Area","161","0.189640714470024","0.163842426930097","0.215439002009952","3"
"No worries","2004","vocational + Abi","Rural Area","44","0.16908198483683","0.123953275793045","0.214210693880615","3"
"No worries","2004","higher vocational","Urban Area","205","0.17518612527462","0.152171957108281","0.198200293440959","3"
"No worries","2004","higher vocational","Rural Area","122","0.187936791048545","0.156360563065913","0.219513019031176","3"
"No worries","2004","higher education","Urban Area","553","0.175552666132095","0.162048911049888","0.189056421214301","3"
"No worries","2004","higher education","Rural Area","193","0.169411898150991","0.148550082656052","0.19027371364593","3"
"Some worries","2004","in school","Urban Area","222","0.491553153299327","0.444894003756896","0.538212302841759","2"
"Some worries","2004","in school","Rural Area","87","0.462043321029656","0.391523292881639","0.532563349177673","2"
"Some worries","2004","inadequately","Urban Area","86","0.438210180115852","0.366712756796113","0.509707603435591","2"
"Some worries","2004","inadequately","Rural Area","23","","","","2"
"Some worries","2004","general elemantary","Urban Area","823","0.458360407460968","0.434819868292802","0.481900946629134","2"
"Some worries","2004","general elemantary","Rural Area","458","0.537106407285311","0.503225332461507","0.570987482109116","2"
"Some worries","2004","middle vocational","Urban Area","3688","0.532298035249626","0.520501975931143","0.544094094568109","2"
"Some worries","2004","middle vocational","Rural Area","2173","0.560573127070599","0.544958352700064","0.576187901441133","2"
"Some worries","2004","vocational + Abi","Urban Area","509","0.552308395889271","0.519584381225181","0.585032410553362","2"
"Some worries","2004","vocational + Abi","Rural Area","148","0.537774101294753","0.477746328039381","0.597801874550124","2"
"Some worries","2004","higher vocational","Urban Area","572","0.552683143453079","0.522579906897783","0.582786380008375","2"
"Some worries","2004","higher vocational","Rural Area","334","0.593120193992195","0.553413488815386","0.632826899169004","2"
"Some worries","2004","higher education","Urban Area","1807","0.58006681358373","0.562548250260528","0.597585376906933","2"
"Some worries","2004","higher education","Rural Area","730","0.555428426342562","0.527792616894405","0.583064235790719","2"
"Big worries","2005","in school","Urban Area","153","0.369758784398744","0.325057321634025","0.414460247163462","1"
"Big worries","2005","in school","Rural Area","66","0.255759139214593","0.194989335747717","0.316528942681469","1"
"Big worries","2005","inadequately","Urban Area","60","0.345958807415951","0.276660352741747","0.415257262090155","1"
"Big worries","2005","inadequately","Rural Area","18","","","","1"
"Big worries","2005","general elemantary","Urban Area","466","0.304088479514483","0.28172196016647","0.326454998862495","1"
"Big worries","2005","general elemantary","Rural Area","205","0.299923271297439","0.267259592504915","0.332586950089964","1"
"Big worries","2005","middle vocational","Urban Area","1932","0.307338955849914","0.296151593280164","0.318526318419664","1"
"Big worries","2005","middle vocational","Rural Area","1091","0.302778414091771","0.287975868220142","0.3175809599634","1"
"Big worries","2005","vocational + Abi","Urban Area","254","0.30117206836603","0.270581771397142","0.331762365334917","1"
"Big worries","2005","vocational + Abi","Rural Area","89","0.33184680980594","0.275046203146195","0.388647416465685","1"
"Big worries","2005","higher vocational","Urban Area","306","0.299866436817758","0.271439033007236","0.328293840628281","1"
"Big worries","2005","higher vocational","Rural Area","163","0.294185913671299","0.256445194189448","0.33192663315315","1"
"Big worries","2005","higher education","Urban Area","874","0.305573862945339","0.288984615106659","0.32216311078402","1"
"Big worries","2005","higher education","Rural Area","436","0.355938331671358","0.328803095376916","0.383073567965801","1"
"No worries","2005","in school","Urban Area","109","0.217716063586986","0.179500829255721","0.255931297918251","3"
"No worries","2005","in school","Rural Area","35","0.267211251585314","0.205575561516509","0.32884694165412","3"
"No worries","2005","inadequately","Urban Area","43","0.191269680334355","0.133972436416716","0.248566924251994","3"
"No worries","2005","inadequately","Rural Area","15","","","","3"
"No worries","2005","general elemantary","Urban Area","404","0.249063079440031","0.228036055276672","0.27009010360339","3"
"No worries","2005","general elemantary","Rural Area","173","0.215986586637554","0.18665319164815","0.245319981626958","3"
"No worries","2005","middle vocational","Urban Area","1263","0.195040981892497","0.185433527126536","0.204648436658458","3"
"No worries","2005","middle vocational","Rural Area","624","0.180291217737822","0.167905943463599","0.192676492012045","3"
"No worries","2005","vocational + Abi","Urban Area","148","0.165493296453711","0.140713579690761","0.19027301321666","3"
"No worries","2005","vocational + Abi","Rural Area","33","0.0940145744409267","0.0588095763170208","0.129219572564833","3"
"No worries","2005","higher vocational","Urban Area","150","0.118562515659383","0.0985061480584811","0.138618883260285","3"
"No worries","2005","higher vocational","Rural Area","92","0.173876020157928","0.142485642744624","0.205266397571232","3"
"No worries","2005","higher education","Urban Area","450","0.152783600258842","0.139826998485733","0.165740202031951","3"
"No worries","2005","higher education","Rural Area","123","0.136076841073239","0.116645079694209","0.155508602452268","3"
"Some worries","2005","in school","Urban Area","186","0.41252515201427","0.36693941934694","0.4581108846816","2"
"Some worries","2005","in school","Rural Area","97","0.477029609200093","0.407458854494316","0.54660036390587","2"
"Some worries","2005","inadequately","Urban Area","78","0.462771512249694","0.390132215860945","0.535410808638442","2"
"Some worries","2005","inadequately","Rural Area","24","","","","2"
"Some worries","2005","general elemantary","Urban Area","755","0.446848441045486","0.42267582786936","0.471021054221613","2"
"Some worries","2005","general elemantary","Rural Area","378","0.484090142065007","0.448466589623121","0.519713694506892","2"
"Some worries","2005","middle vocational","Urban Area","3339","0.497620062257589","0.48549668526182","0.509743439253358","2"
"Some worries","2005","middle vocational","Rural Area","1986","0.516930368170407","0.50083097747224","0.533029758868574","2"
"Some worries","2005","vocational + Abi","Urban Area","462","0.533334635180259","0.500069147207984","0.566600123152535","2"
"Some worries","2005","vocational + Abi","Rural Area","142","0.574138615753134","0.514491611369653","0.633785620136614","2"
"Some worries","2005","higher vocational","Urban Area","542","0.581571047522858","0.550965858024675","0.612176237021042","2"
"Some worries","2005","higher vocational","Rural Area","305","0.531938066170772","0.490610838392985","0.573265293948559","2"
"Some worries","2005","higher education","Urban Area","1638","0.541642536795819","0.523698750049108","0.55958632354253","2"
"Some worries","2005","higher education","Rural Area","637","0.507984827255403","0.479651529905714","0.536318124605092","2"
"Big worries","2006","in school","Urban Area","82","0.372498740420745","0.315460876173878","0.429536604667612","1"
"Big worries","2006","in school","Rural Area","40","0.30579968662468","0.223363406051358","0.388235967198001","1"
"Big worries","2006","inadequately","Urban Area","46","0.273393956281618","0.205997446288969","0.340790466274267","1"
"Big worries","2006","inadequately","Rural Area","18","","","","1"
"Big worries","2006","general elemantary","Urban Area","456","0.294429464184499","0.272275641619987","0.31658328674901","1"
"Big worries","2006","general elemantary","Rural Area","183","0.231979341670774","0.2031767064958","0.260781976845749","1"
"Big worries","2006","middle vocational","Urban Area","2014","0.293909087125717","0.283248746753412","0.304569427498021","1"
"Big worries","2006","middle vocational","Rural Area","1098","0.28480554493625","0.270867891879577","0.298743197992924","1"
"Big worries","2006","vocational + Abi","Urban Area","244","0.267112280287154","0.238521906907395","0.295702653666912","1"
"Big worries","2006","vocational + Abi","Rural Area","87","0.320509046081869","0.266798313301092","0.374219778862645","1"
"Big worries","2006","higher vocational","Urban Area","301","0.318127325025329","0.289820995915876","0.346433654134783","1"
"Big worries","2006","higher vocational","Rural Area","179","0.293342200617404","0.25712243825046","0.329561962984347","1"
"Big worries","2006","higher education","Urban Area","854","0.269698475834943","0.254449886575779","0.284947065094108","1"
"Big worries","2006","higher education","Rural Area","382","0.303750343975667","0.278875714864488","0.328624973086846","1"
"No worries","2006","in school","Urban Area","61","0.19176008895328","0.145314678276707","0.238205499629854","3"
"No worries","2006","in school","Rural Area","26","","","","3"
"No worries","2006","inadequately","Urban Area","43","0.271481976007146","0.204233243780914","0.338730708233378","3"
"No worries","2006","inadequately","Rural Area","18","","","","3"
"No worries","2006","general elemantary","Urban Area","394","0.25180277400773","0.230705510740792","0.272900037274668","3"
"No worries","2006","general elemantary","Rural Area","208","0.262410064785313","0.232389500452773","0.292430629117853","3"
"No worries","2006","middle vocational","Urban Area","1325","0.19195080204184","0.182734682047397","0.201166922036284","3"
"No worries","2006","middle vocational","Rural Area","703","0.173462520456514","0.161769210490365","0.185155830422663","3"
"No worries","2006","vocational + Abi","Urban Area","159","0.200639665555947","0.174761477056143","0.226517854055752","3"
"No worries","2006","vocational + Abi","Rural Area","48","0.136414036227658","0.0969109152243123","0.175917157231003","3"
"No worries","2006","higher vocational","Urban Area","174","0.148831447006718","0.127199950865448","0.170462943147989","3"
"No worries","2006","higher vocational","Rural Area","95","0.168153583492094","0.138400746424874","0.197906420559314","3"
"No worries","2006","higher education","Urban Area","558","0.178806357964383","0.165640366036261","0.191972349892505","3"
"No worries","2006","higher education","Rural Area","175","0.146935337801031","0.127785291348193","0.166085384253868","3"
"Some worries","2006","in school","Urban Area","133","0.435741170625975","0.3772423608911","0.49423998036085","2"
"Some worries","2006","in school","Rural Area","54","0.429936378416449","0.341359325074647","0.518513431758251","2"
"Some worries","2006","inadequately","Urban Area","79","0.455124067711235","0.379821954526239","0.530426180896232","2"
"Some worries","2006","inadequately","Rural Area","25","","","","2"
"Some worries","2006","general elemantary","Urban Area","776","0.453767761807772","0.42956899115441","0.477966532461134","2"
"Some worries","2006","general elemantary","Rural Area","434","0.505610593543913","0.471494148014936","0.539727039072889","2"
"Some worries","2006","middle vocational","Urban Area","3676","0.514140110832443","0.50244429502518","0.525835926639707","2"
"Some worries","2006","middle vocational","Rural Area","2227","0.541731934607236","0.52634488421705","0.557118984997421","2"
"Some worries","2006","vocational + Abi","Urban Area","517","0.532248054156899","0.500006273437793","0.564489834876005","2"
"Some worries","2006","vocational + Abi","Rural Area","155","0.543076917690474","0.485744360467553","0.600409474913394","2"
"Some worries","2006","higher vocational","Urban Area","565","0.533041227967952","0.502719699420334","0.56336275651557","2"
"Some worries","2006","higher vocational","Rural Area","333","0.538504215890503","0.498846091711331","0.578162340069674","2"
"Some worries","2006","higher education","Urban Area","1842","0.551495166200674","0.534407067813503","0.568583264587844","2"
"Some worries","2006","higher education","Rural Area","756","0.549314318223303","0.522401258940113","0.576227377506492","2"
"Big worries","2007","in school","Urban Area","64","0.289791522669111","0.230513651802935","0.349069393535286","1"
"Big worries","2007","in school","Rural Area","34","0.225936785385936","0.149169293345991","0.30270427742588","1"
"Big worries","2007","inadequately","Urban Area","39","0.262348326046271","0.19241388438634","0.332282767706202","1"
"Big worries","2007","inadequately","Rural Area","12","","","","1"
"Big worries","2007","general elemantary","Urban Area","405","0.287240825869507","0.263919220843393","0.310562430895622","1"
