"plj0047","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"No worries","1998","Bremen","direct migration background","2","","",""
"No worries","1998","Bremen","indirect migration background","","","",""
"No worries","1998","North Rhine-Westphalia","no migration background","326","0.150619998513155","0.135091182788161","0.166148814238149"
"No worries","1998","North Rhine-Westphalia","direct migration background","87","0.157728022875455","0.128514891983105","0.186941153767805"
"No worries","1998","North Rhine-Westphalia","indirect migration background","17","","",""
"No worries","1998","Hesse","no migration background","102","0.168367016251227","0.138793368633745","0.197940663868709"
"No worries","1998","Hesse","direct migration background","78","0.26327630020495","0.210049737571597","0.316502862838302"
"No worries","1998","Hesse","indirect migration background","10","","",""
"No worries","1998","Rhineland-Palatinate,Saarland","no migration background","129","0.203561337578305","0.171634838300485","0.235487836856126"
"No worries","1998","Rhineland-Palatinate,Saarland","direct migration background","26","","",""
"No worries","1998","Rhineland-Palatinate,Saarland","indirect migration background","2","","",""
"No worries","1998","Baden-Württemberg","no migration background","208","0.175298098039233","0.152462605294997","0.19813359078347"
"No worries","1998","Baden-Württemberg","direct migration background","93","0.141605467768847","0.113473146525423","0.169737789012271"
"No worries","1998","Baden-Württemberg","indirect migration background","30","0.17721888752589","0.116909503833449","0.23752827121833"
"No worries","1998","Bavaria","no migration background","243","0.170605444308136","0.150971137733983","0.190239750882289"
"No worries","1998","Bavaria","direct migration background","47","0.213587026290269","0.17040303187694","0.256771020703598"
"No worries","1998","Bavaria","indirect migration background","11","","",""
"No worries","1998","Berlin","no migration background","102","0.266094809001794","0.224850220286714","0.307339397716875"
"No worries","1998","Berlin","direct migration background","7","","",""
"No worries","1998","Berlin","indirect migration background","1","","",""
"No worries","1998","Brandenburg","no migration background","148","0.228532889967263","0.194879364813752","0.262186415120775"
"No worries","1998","Brandenburg","direct migration background","3","","",""
"No worries","1998","Brandenburg","indirect migration background","","","",""
"No worries","1998","Mecklenburg-Western Pomerania","no migration background","70","0.18993320158671","0.151152766562416","0.228713636611004"
"No worries","1998","Mecklenburg-Western Pomerania","direct migration background","2","","",""
"No worries","1998","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"No worries","1998","Saxony","no migration background","272","0.2405815766403","0.215615480215417","0.265547673065184"
"No worries","1998","Saxony","direct migration background","10","","",""
"No worries","1998","Saxony","indirect migration background","","","",""
"No worries","1998","Saxony-Anhalt","no migration background","161","0.218114412050153","0.186318274026438","0.249910550073869"
"No worries","1998","Saxony-Anhalt","direct migration background","7","","",""
"No worries","1998","Saxony-Anhalt","indirect migration background","1","","",""
"No worries","1998","Thuringia","no migration background","127","0.164355058794245","0.136862015754892","0.191848101833599"
"No worries","1998","Thuringia","direct migration background","1","","",""
"No worries","1998","Thuringia","indirect migration background","","","",""
"Big worries","1999","Schleswig-Holstein","no migration background","56","0.213523872317049","0.166839854478057","0.260207890156041"
"Big worries","1999","Schleswig-Holstein","direct migration background","15","","",""
"Big worries","1999","Schleswig-Holstein","indirect migration background","4","","",""
"Big worries","1999","Hamburg","no migration background","34","0.370703937800759","0.279187878944874","0.462219996656644"
"Big worries","1999","Hamburg","direct migration background","8","","",""
"Big worries","1999","Hamburg","indirect migration background","1","","",""
"Big worries","1999","Lower Saxony","no migration background","322","0.348538779085908","0.318093278683499","0.378984279488318"
"Big worries","1999","Lower Saxony","direct migration background","63","0.337212632873514","0.267761854266517","0.40666341148051"
"Big worries","1999","Lower Saxony","indirect migration background","22","","",""
"Big worries","1999","Bremen","no migration background","32","0.42012908445505","0.303668066262633","0.536590102647467"
"Big worries","1999","Bremen","direct migration background","7","","",""
"Big worries","1999","Bremen","indirect migration background","2","","",""
"Big worries","1999","North Rhine-Westphalia","no migration background","620","0.313216984752671","0.292736161804413","0.33369780770093"
"Big worries","1999","North Rhine-Westphalia","direct migration background","189","0.33597743106945","0.296857277559559","0.375097584579342"
"Big worries","1999","North Rhine-Westphalia","indirect migration background","55","0.314699081909961","0.244475683187025","0.384922480632898"
"Big worries","1999","Hesse","no migration background","157","0.252453262897461","0.21786558163442","0.287040944160501"
"Big worries","1999","Hesse","direct migration background","66","0.28719920881922","0.22859806999222","0.34580034764622"
"Big worries","1999","Hesse","indirect migration background","24","","",""
"Big worries","1999","Rhineland-Palatinate,Saarland","no migration background","160","0.26743417486759","0.232047265452159","0.302821084283021"
"Big worries","1999","Rhineland-Palatinate,Saarland","direct migration background","36","0.204758254933846","0.140396198471968","0.269120311395724"
"Big worries","1999","Rhineland-Palatinate,Saarland","indirect migration background","7","","",""
"Big worries","1999","Baden-Württemberg","no migration background","309","0.31702664425871","0.288386257656791","0.345667030860629"
"Big worries","1999","Baden-Württemberg","direct migration background","183","0.333772225300402","0.294575736990426","0.372968713610378"
"Big worries","1999","Baden-Württemberg","indirect migration background","56","0.433149302951963","0.357080349512626","0.509218256391301"
"Big worries","1999","Bavaria","no migration background","323","0.244716518993009","0.222123661534252","0.267309376451765"
"Big worries","1999","Bavaria","direct migration background","92","0.264928139812839","0.21672791110061","0.313128368525069"
"Big worries","1999","Bavaria","indirect migration background","30","0.389589125937144","0.285919108338134","0.493259143536154"
"Big worries","1999","Berlin","no migration background","153","0.328929332007295","0.285228265512006","0.372630398502584"
"Big worries","1999","Berlin","direct migration background","22","","",""
"Big worries","1999","Berlin","indirect migration background","12","","",""
"Big worries","1999","Brandenburg","no migration background","175","0.314321674280124","0.276572504881352","0.352070843678896"
"Big worries","1999","Brandenburg","direct migration background","4","","",""
"Big worries","1999","Brandenburg","indirect migration background","2","","",""
"Big worries","1999","Mecklenburg-Western Pomerania","no migration background","93","0.271644695496284","0.227555520686825","0.315733870305743"
"Big worries","1999","Mecklenburg-Western Pomerania","direct migration background","3","","",""
"Big worries","1999","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Big worries","1999","Saxony","no migration background","329","0.304900697226401","0.277903160561943","0.33189823389086"
"Big worries","1999","Saxony","direct migration background","13","","",""
"Big worries","1999","Saxony","indirect migration background","1","","",""
"Big worries","1999","Saxony-Anhalt","no migration background","199","0.306749122972833","0.271460635020911","0.342037610924756"
"Big worries","1999","Saxony-Anhalt","direct migration background","10","","",""
"Big worries","1999","Saxony-Anhalt","indirect migration background","5","","",""
"Big worries","1999","Thuringia","no migration background","180","0.266078448669647","0.233224667581801","0.298932229757493"
"Big worries","1999","Thuringia","direct migration background","8","","",""
"Big worries","1999","Thuringia","indirect migration background","2","","",""
"Some worries","1999","Schleswig-Holstein","no migration background","183","0.60588453338498","0.550216111753323","0.661552955016636"
"Some worries","1999","Schleswig-Holstein","direct migration background","9","","",""
"Some worries","1999","Schleswig-Holstein","indirect migration background","1","","",""
"Some worries","1999","Hamburg","no migration background","54","0.453099487645173","0.358778757754548","0.547420217535798"
"Some worries","1999","Hamburg","direct migration background","13","","",""
"Some worries","1999","Hamburg","indirect migration background","10","","",""
"Some worries","1999","Lower Saxony","no migration background","503","0.508847920215871","0.476906422585146","0.540789417846597"
"Some worries","1999","Lower Saxony","direct migration background","82","0.459514700623424","0.386303127670624","0.532726273576223"
"Some worries","1999","Lower Saxony","indirect migration background","22","","",""
"Some worries","1999","Bremen","no migration background","35","0.526431235409065","0.408620221010583","0.644242249807546"
"Some worries","1999","Bremen","direct migration background","5","","",""
"Some worries","1999","Bremen","indirect migration background","2","","",""
"Some worries","1999","North Rhine-Westphalia","no migration background","1089","0.555686615146549","0.533744694292555","0.577628536000543"
"Some worries","1999","North Rhine-Westphalia","direct migration background","295","0.524566918045001","0.483205137545032","0.56592869854497"
"Some worries","1999","North Rhine-Westphalia","indirect migration background","92","0.562537380848762","0.487523848273461","0.637550913424062"
"Some worries","1999","Hesse","no migration background","355","0.562322351982596","0.522823758013674","0.601820945951519"
"Some worries","1999","Hesse","direct migration background","110","0.502547869988421","0.43778967791842","0.567306062058422"
"Some worries","1999","Hesse","indirect migration background","31","0.489253020190179","0.362767116759853","0.615738923620506"
"Some worries","1999","Rhineland-Palatinate,Saarland","no migration background","322","0.547676857280916","0.507884702778887","0.587469011782945"
"Some worries","1999","Rhineland-Palatinate,Saarland","direct migration background","77","0.516103108236432","0.436394675313965","0.5958115411589"
"Some worries","1999","Rhineland-Palatinate,Saarland","indirect migration background","10","","",""
"Some worries","1999","Baden-Württemberg","no migration background","573","0.551079093123953","0.520465028344613","0.581693157903292"
"Some worries","1999","Baden-Württemberg","direct migration background","278","0.500298730053781","0.458738243615011","0.541859216492551"
"Some worries","1999","Baden-Württemberg","indirect migration background","78","0.471782207548017","0.395146427754519","0.548417987341515"
"Some worries","1999","Bavaria","no migration background","808","0.564132015368874","0.538073337043462","0.590190693694286"
"Some worries","1999","Bavaria","direct migration background","157","0.524495794109286","0.469949111694001","0.579042476524571"
"Some worries","1999","Bavaria","indirect migration background","42","0.460415151359845","0.354454820717791","0.566375482001899"
"Some worries","1999","Berlin","no migration background","238","0.534317559162702","0.487919345494291","0.580715772831112"
"Some worries","1999","Berlin","direct migration background","18","","",""
"Some worries","1999","Berlin","indirect migration background","8","","",""
"Some worries","1999","Brandenburg","no migration background","332","0.574150887530389","0.533943957115163","0.614357817945615"
"Some worries","1999","Brandenburg","direct migration background","10","","",""
"Some worries","1999","Brandenburg","indirect migration background","","","",""
"Some worries","1999","Mecklenburg-Western Pomerania","no migration background","252","0.610388570657639","0.562051675242281","0.658725466072997"
"Some worries","1999","Mecklenburg-Western Pomerania","direct migration background","5","","",""
"Some worries","1999","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Some worries","1999","Saxony","no migration background","627","0.532353453819847","0.503093043761313","0.561613863878381"
"Some worries","1999","Saxony","direct migration background","15","","",""
"Some worries","1999","Saxony","indirect migration background","4","","",""
"Some worries","1999","Saxony-Anhalt","no migration background","357","0.53856792774643","0.500420056905414","0.576715798587445"
"Some worries","1999","Saxony-Anhalt","direct migration background","11","","",""
"Some worries","1999","Saxony-Anhalt","indirect migration background","1","","",""
"Some worries","1999","Thuringia","no migration background","429","0.595056025162126","0.558561132728079","0.631550917596173"
"Some worries","1999","Thuringia","direct migration background","13","","",""
"Some worries","1999","Thuringia","indirect migration background","2","","",""
"No worries","1999","Schleswig-Holstein","no migration background","57","0.180591594297971","0.136768684703666","0.224414503892276"
"No worries","1999","Schleswig-Holstein","direct migration background","3","","",""
"No worries","1999","Schleswig-Holstein","indirect migration background","","","",""
"No worries","1999","Hamburg","no migration background","19","","",""
"No worries","1999","Hamburg","direct migration background","1","","",""
"No worries","1999","Hamburg","indirect migration background","","","",""
"No worries","1999","Lower Saxony","no migration background","116","0.14261330069822","0.120271320320962","0.164955281075478"
"No worries","1999","Lower Saxony","direct migration background","33","0.203272666503063","0.144152936715807","0.262392396290318"
"No worries","1999","Lower Saxony","indirect migration background","7","","",""
"No worries","1999","Bremen","no migration background","2","","",""
"No worries","1999","Bremen","direct migration background","2","","",""
"No worries","1999","Bremen","indirect migration background","","","",""
"No worries","1999","North Rhine-Westphalia","no migration background","261","0.13109640010078","0.116192629431003","0.146000170770557"
"No worries","1999","North Rhine-Westphalia","direct migration background","76","0.139455650885548","0.110763786821696","0.1681475149494"
"No worries","1999","North Rhine-Westphalia","indirect migration background","21","","",""
"No worries","1999","Hesse","no migration background","94","0.185224385119943","0.15429438859893","0.216154381640956"
"No worries","1999","Hesse","direct migration background","53","0.210252921192359","0.157475838172037","0.263030004212681"
"No worries","1999","Hesse","indirect migration background","5","","",""
"No worries","1999","Rhineland-Palatinate,Saarland","no migration background","119","0.184888967851494","0.153852324935148","0.21592561076784"
"No worries","1999","Rhineland-Palatinate,Saarland","direct migration background","38","0.279138636829722","0.207590971247517","0.350686302411927"
"No worries","1999","Rhineland-Palatinate,Saarland","indirect migration background","1","","",""
"No worries","1999","Baden-Württemberg","no migration background","132","0.131894262617337","0.111067182921426","0.152721342313248"
"No worries","1999","Baden-Württemberg","direct migration background","95","0.165929044645817","0.135006629913258","0.196851459378377"
"No worries","1999","Baden-Württemberg","indirect migration background","29","","",""
"No worries","1999","Bavaria","no migration background","260","0.191151465638118","0.170487820089541","0.211815111186694"
"No worries","1999","Bavaria","direct migration background","73","0.210576066077875","0.166043286422861","0.255108845732889"
"No worries","1999","Bavaria","indirect migration background","13","","",""
"No worries","1999","Berlin","no migration background","53","0.136753108830003","0.104794142701344","0.168712074958662"
"No worries","1999","Berlin","direct migration background","8","","",""
"No worries","1999","Berlin","indirect migration background","2","","",""
"No worries","1999","Brandenburg","no migration background","74","0.111527438189487","0.0859313912341021","0.137123485144872"
"No worries","1999","Brandenburg","direct migration background","1","","",""
"No worries","1999","Brandenburg","indirect migration background","1","","",""
"No worries","1999","Mecklenburg-Western Pomerania","no migration background","46","0.117966733846077","0.085993838036447","0.149939629655707"
"No worries","1999","Mecklenburg-Western Pomerania","direct migration background","1","","",""
"No worries","1999","Mecklenburg-Western Pomerania","indirect migration background","1","","",""
"No worries","1999","Saxony","no migration background","161","0.162745848953752","0.141098480000316","0.184393217907187"
"No worries","1999","Saxony","direct migration background","5","","",""
"No worries","1999","Saxony","indirect migration background","1","","",""
"No worries","1999","Saxony-Anhalt","no migration background","100","0.154682949280737","0.12701179932469","0.182354099236784"
"No worries","1999","Saxony-Anhalt","direct migration background","7","","",""
"No worries","1999","Saxony-Anhalt","indirect migration background","1","","",""
"No worries","1999","Thuringia","no migration background","86","0.138865526168228","0.113156335887758","0.164574716448697"
"No worries","1999","Thuringia","direct migration background","2","","",""
"No worries","1999","Thuringia","indirect migration background","","","",""
"Big worries","2000","Schleswig-Holstein","no migration background","133","0.223712631277959","0.191197169646174","0.256228092909743"
"Big worries","2000","Schleswig-Holstein","direct migration background","22","","",""
"Big worries","2000","Schleswig-Holstein","indirect migration background","2","","",""
"Big worries","2000","Hamburg","no migration background","110","0.422228555423305","0.361842958057385","0.482614152789225"
"Big worries","2000","Hamburg","direct migration background","8","","",""
"Big worries","2000","Hamburg","indirect migration background","3","","",""
"Big worries","2000","Lower Saxony","no migration background","582","0.342172001450575","0.319724507596335","0.364619495304814"
"Big worries","2000","Lower Saxony","direct migration background","79","0.314438404933515","0.256419227136822","0.372457582730209"
"Big worries","2000","Lower Saxony","indirect migration background","27","","",""
"Big worries","2000","Bremen","no migration background","64","0.446289497043162","0.365929643326767","0.526649350759557"
"Big worries","2000","Bremen","direct migration background","10","","",""
"Big worries","2000","Bremen","indirect migration background","3","","",""
"Big worries","2000","North Rhine-Westphalia","no migration background","1390","0.350426692301201","0.335628416714995","0.365224967887407"
"Big worries","2000","North Rhine-Westphalia","direct migration background","311","0.338865257863471","0.307786206703979","0.369944309022964"
"Big worries","2000","North Rhine-Westphalia","indirect migration background","81","0.339228315423788","0.277908320553327","0.400548310294249"
"Big worries","2000","Hesse","no migration background","389","0.305626993236009","0.279892754013509","0.331361232458508"
"Big worries","2000","Hesse","direct migration background","102","0.28574022571101","0.238942972193947","0.332537479228073"
"Big worries","2000","Hesse","indirect migration background","29","","",""
"Big worries","2000","Rhineland-Palatinate,Saarland","no migration background","318","0.266042241396395","0.240776037902301","0.291308444890488"
"Big worries","2000","Rhineland-Palatinate,Saarland","direct migration background","68","0.323798323217294","0.264350626607628","0.38324601982696"
"Big worries","2000","Rhineland-Palatinate,Saarland","indirect migration background","14","","",""
"Big worries","2000","Baden-Württemberg","no migration background","561","0.293887030150135","0.273616060170516","0.314158000129754"
"Big worries","2000","Baden-Württemberg","direct migration background","229","0.319150929242944","0.285966300035168","0.35233555845072"
"Big worries","2000","Baden-Württemberg","indirect migration background","68","0.308945538550466","0.24883754045405","0.369053536646882"
"Big worries","2000","Bavaria","no migration background","730","0.259391759435623","0.243139743195863","0.275643775675382"
"Big worries","2000","Bavaria","direct migration background","123","0.292615085586554","0.250993559371529","0.33423661180158"
"Big worries","2000","Bavaria","indirect migration background","36","0.355290192299155","0.267046714218523","0.443533670379787"
"Big worries","2000","Berlin","no migration background","312","0.432724399048729","0.396331987241559","0.469116810855898"
"Big worries","2000","Berlin","direct migration background","45","0.66194020196901","0.55762666092724","0.766253743010781"
"Big worries","2000","Berlin","indirect migration background","13","","",""
"Big worries","2000","Brandenburg","no migration background","353","0.362221195006328","0.332220480075419","0.392221909937237"
"Big worries","2000","Brandenburg","direct migration background","7","","",""
"Big worries","2000","Brandenburg","indirect migration background","2","","",""
"Big worries","2000","Mecklenburg-Western Pomerania","no migration background","154","0.286184029591881","0.248133187265641","0.324234871918122"
"Big worries","2000","Mecklenburg-Western Pomerania","direct migration background","6","","",""
"Big worries","2000","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Big worries","2000","Saxony","no migration background","510","0.290581150575496","0.269167682833092","0.3119946183179"
"Big worries","2000","Saxony","direct migration background","15","","",""
"Big worries","2000","Saxony","indirect migration background","3","","",""
"Big worries","2000","Saxony-Anhalt","no migration background","327","0.325644282818404","0.296672093730133","0.354616471906676"
"Big worries","2000","Saxony-Anhalt","direct migration background","14","","",""
"Big worries","2000","Saxony-Anhalt","indirect migration background","4","","",""
"Big worries","2000","Thuringia","no migration background","283","0.289687034750518","0.261903499045704","0.317470570455333"
"Big worries","2000","Thuringia","direct migration background","7","","",""
"Big worries","2000","Thuringia","indirect migration background","1","","",""
"Some worries","2000","Schleswig-Holstein","no migration background","308","0.505127873829095","0.466117458427884","0.544138289230307"
"Some worries","2000","Schleswig-Holstein","direct migration background","32","0.420625978823014","0.302420326323701","0.538831631322327"
"Some worries","2000","Schleswig-Holstein","indirect migration background","4","","",""
"Some worries","2000","Hamburg","no migration background","122","0.466490355752464","0.405498197506743","0.527482513998184"
"Some worries","2000","Hamburg","direct migration background","20","","",""
"Some worries","2000","Hamburg","indirect migration background","5","","",""
"Some worries","2000","Lower Saxony","no migration background","879","0.502327794975942","0.478671063135257","0.525984526816627"
"Some worries","2000","Lower Saxony","direct migration background","122","0.495867869340706","0.433388633304629","0.558347105376783"
"Some worries","2000","Lower Saxony","indirect migration background","23","","",""
"Some worries","2000","Bremen","no migration background","61","0.395628164938466","0.316581212107836","0.474675117769096"
"Some worries","2000","Bremen","direct migration background","16","","",""
"Some worries","2000","Bremen","indirect migration background","1","","",""
"Some worries","2000","North Rhine-Westphalia","no migration background","2021","0.500680447456107","0.485172010172378","0.516188884739836"
"Some worries","2000","North Rhine-Westphalia","direct migration background","418","0.467541055299422","0.434779675920575","0.500302434678268"
"Some worries","2000","North Rhine-Westphalia","indirect migration background","118","0.521553304526764","0.456854466604267","0.586252142449261"
"Some worries","2000","Hesse","no migration background","623","0.484179612963475","0.456262431757111","0.512096794169839"
"Some worries","2000","Hesse","direct migration background","152","0.431355318750378","0.380052096030905","0.482658541469852"
"Some worries","2000","Hesse","indirect migration background","38","0.503785392440677","0.394901624978495","0.612669159902859"
"Some worries","2000","Rhineland-Palatinate,Saarland","no migration background","586","0.485026444353109","0.456450253969321","0.513602634736897"
"Some worries","2000","Rhineland-Palatinate,Saarland","direct migration background","119","0.458778825658266","0.395472270076716","0.522085381239817"
"Some worries","2000","Rhineland-Palatinate,Saarland","indirect migration background","10","","",""
"Some worries","2000","Baden-Württemberg","no migration background","1039","0.534468280874866","0.512271866048269","0.556664695701463"
"Some worries","2000","Baden-Württemberg","direct migration background","369","0.482326238377701","0.446753933254087","0.517898543501314"
"Some worries","2000","Baden-Württemberg","indirect migration background","106","0.450790459648139","0.38606255372785","0.515518365568429"
"Some worries","2000","Bavaria","no migration background","1527","0.53985183156033","0.521371020434409","0.55833264268625"
"Some worries","2000","Bavaria","direct migration background","210","0.445183982754485","0.399718060107856","0.490649905401113"
"Some worries","2000","Bavaria","indirect migration background","52","0.463643163306583","0.371698249550696","0.555588077062471"
"Some worries","2000","Berlin","no migration background","321","0.45181008336933","0.415254680441847","0.488365486296813"
"Some worries","2000","Berlin","direct migration background","27","","",""
"Some worries","2000","Berlin","indirect migration background","12","","",""
"Some worries","2000","Brandenburg","no migration background","487","0.483709949891006","0.452517533352159","0.514902366429854"
"Some worries","2000","Brandenburg","direct migration background","9","","",""
"Some worries","2000","Brandenburg","indirect migration background","1","","",""
"Some worries","2000","Mecklenburg-Western Pomerania","no migration background","304","0.54909764315288","0.507207244802362","0.590988041503398"
"Some worries","2000","Mecklenburg-Western Pomerania","direct migration background","10","","",""
"Some worries","2000","Mecklenburg-Western Pomerania","indirect migration background","1","","",""
"Some worries","2000","Saxony","no migration background","951","0.540652251676027","0.517148795697554","0.5641557076545"
"Some worries","2000","Saxony","direct migration background","20","","",""
"Some worries","2000","Saxony","indirect migration background","3","","",""
"Some worries","2000","Saxony-Anhalt","no migration background","520","0.505484399740086","0.474573692852131","0.536395106628041"
"Some worries","2000","Saxony-Anhalt","direct migration background","18","","",""
"Some worries","2000","Saxony-Anhalt","indirect migration background","3","","",""
"Some worries","2000","Thuringia","no migration background","583","0.549349303860941","0.51887439432538","0.579824213396502"
"Some worries","2000","Thuringia","direct migration background","12","","",""
"Some worries","2000","Thuringia","indirect migration background","4","","",""
"No worries","2000","Schleswig-Holstein","no migration background","190","0.271159494892946","0.236472867929381","0.305846121856511"
"No worries","2000","Schleswig-Holstein","direct migration background","13","","",""
"No worries","2000","Schleswig-Holstein","indirect migration background","1","","",""
"No worries","2000","Hamburg","no migration background","25","","",""
"No worries","2000","Hamburg","direct migration background","3","","",""
"No worries","2000","Hamburg","indirect migration background","","","",""
"No worries","2000","Lower Saxony","no migration background","255","0.155500203573484","0.138354523934248","0.17264588321272"
"No worries","2000","Lower Saxony","direct migration background","45","0.189693725725779","0.140700997820354","0.238686453631204"
"No worries","2000","Lower Saxony","indirect migration background","9","","",""
"No worries","2000","Bremen","no migration background","22","","",""
"No worries","2000","Bremen","direct migration background","7","","",""
"No worries","2000","Bremen","indirect migration background","2","","",""
"No worries","2000","North Rhine-Westphalia","no migration background","582","0.148892860242692","0.137851375181411","0.159934345303972"
"No worries","2000","North Rhine-Westphalia","direct migration background","162","0.193593686837107","0.167649993995323","0.219537379678892"
"No worries","2000","North Rhine-Westphalia","indirect migration background","30","0.139218380049447","0.0943825586652599","0.184054201433635"
"No worries","2000","Hesse","no migration background","219","0.210193393800516","0.187432517592182","0.23295427000885"
"No worries","2000","Hesse","direct migration background","104","0.282904455538612","0.236247651840061","0.329561259237162"
"No worries","2000","Hesse","indirect migration background","14","","",""
"No worries","2000","Rhineland-Palatinate,Saarland","no migration background","271","0.248931314250496","0.224207882597174","0.273654745903819"
"No worries","2000","Rhineland-Palatinate,Saarland","direct migration background","51","0.21742285112444","0.165017481687277","0.269828220561602"
"No worries","2000","Rhineland-Palatinate,Saarland","indirect migration background","16","","",""
"No worries","2000","Baden-Württemberg","no migration background","340","0.171644688974999","0.154865508642131","0.188423869307867"
"No worries","2000","Baden-Württemberg","direct migration background","160","0.198522832379355","0.170126366221715","0.226919298536995"
"No worries","2000","Baden-Württemberg","indirect migration background","53","0.240264001801395","0.184684983947107","0.295843019655683"
"No worries","2000","Bavaria","no migration background","537","0.200756409004047","0.185903580016651","0.215609237991444"
"No worries","2000","Bavaria","direct migration background","126","0.262200931658961","0.221963716552778","0.302438146765144"
"No worries","2000","Bavaria","indirect migration background","25","","",""
"No worries","2000","Berlin","no migration background","79","0.115465517581941","0.0919912726614819","0.1389397625024"
"No worries","2000","Berlin","direct migration background","7","","",""
"No worries","2000","Berlin","indirect migration background","1","","",""
"No worries","2000","Brandenburg","no migration background","146","0.154068855102665","0.131535048190946","0.176602662014385"
"No worries","2000","Brandenburg","direct migration background","5","","",""
"No worries","2000","Brandenburg","indirect migration background","1","","",""
"No worries","2000","Mecklenburg-Western Pomerania","no migration background","84","0.164718327255239","0.133490922987585","0.195945731522892"
"No worries","2000","Mecklenburg-Western Pomerania","direct migration background","3","","",""
"No worries","2000","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"No worries","2000","Saxony","no migration background","266","0.168766597748477","0.151101881601483","0.186431313895471"
"No worries","2000","Saxony","direct migration background","3","","",""
"No worries","2000","Saxony","indirect migration background","1","","",""
"No worries","2000","Saxony-Anhalt","no migration background","158","0.168871317441509","0.145709259642848","0.192033375240171"
"No worries","2000","Saxony-Anhalt","direct migration background","7","","",""
"No worries","2000","Saxony-Anhalt","indirect migration background","","","",""
"No worries","2000","Thuringia","no migration background","158","0.16096366138854","0.138454857409502","0.183472465367579"
"No worries","2000","Thuringia","direct migration background","3","","",""
"No worries","2000","Thuringia","indirect migration background","","","",""
"Big worries","2001","Schleswig-Holstein","no migration background","137","0.24354140447828","0.208366813114603","0.278715995841956"
"Big worries","2001","Schleswig-Holstein","direct migration background","24","","",""
"Big worries","2001","Schleswig-Holstein","indirect migration background","6","","",""
"Big worries","2001","Hamburg","no migration background","96","0.389865499007598","0.327640874666918","0.452090123348279"
"Big worries","2001","Hamburg","direct migration background","9","","",""
"Big worries","2001","Hamburg","indirect migration background","6","","",""
"Big worries","2001","Lower Saxony","no migration background","589","0.369823635607765","0.345905941507715","0.393741329707815"
"Big worries","2001","Lower Saxony","direct migration background","70","0.293675664168292","0.234687291604031","0.352664036732553"
"Big worries","2001","Lower Saxony","indirect migration background","19","","",""
"Big worries","2001","Bremen","no migration background","63","0.507888160379682","0.420246814986249","0.595529505773116"
"Big worries","2001","Bremen","direct migration background","12","","",""
"Big worries","2001","Bremen","indirect migration background","6","","",""
"Big worries","2001","North Rhine-Westphalia","no migration background","1392","0.377861728347674","0.362025693714747","0.393697762980601"
"Big worries","2001","North Rhine-Westphalia","direct migration background","309","0.358770078435073","0.325429009133374","0.392111147736772"
"Big worries","2001","North Rhine-Westphalia","indirect migration background","94","0.398407330856333","0.335137146307456","0.46167751540521"
"Big worries","2001","Hesse","no migration background","394","0.349931750484732","0.321797541678256","0.378065959291207"
"Big worries","2001","Hesse","direct migration background","113","0.397294387131231","0.342196415700733","0.45239235856173"
"Big worries","2001","Hesse","indirect migration background","32","0.448590015996582","0.336031185065546","0.561148846927617"
"Big worries","2001","Rhineland-Palatinate,Saarland","no migration background","327","0.293726393971654","0.266699652283422","0.320753135659885"
"Big worries","2001","Rhineland-Palatinate,Saarland","direct migration background","63","0.265272305013728","0.206802022207321","0.323742587820134"
"Big worries","2001","Rhineland-Palatinate,Saarland","indirect migration background","16","","",""
"Big worries","2001","Baden-Württemberg","no migration background","538","0.306867043876412","0.285122033408093","0.328612054344731"
"Big worries","2001","Baden-Württemberg","direct migration background","209","0.324214288105038","0.288395016582666","0.36003355962741"
"Big worries","2001","Baden-Württemberg","indirect migration background","68","0.344108012538343","0.277428204526376","0.410787820550311"
"Big worries","2001","Bavaria","no migration background","744","0.289940060403542","0.272118323190284","0.3077617976168"
"Big worries","2001","Bavaria","direct migration background","117","0.303190450421447","0.259021586197517","0.347359314645377"
"Big worries","2001","Bavaria","indirect migration background","36","0.408539947513043","0.316678830602158","0.500401064423928"
"Big worries","2001","Berlin","no migration background","335","0.464873760294514","0.427739300217435","0.502008220371593"
"Big worries","2001","Berlin","direct migration background","38","0.617697590295713","0.50219676007645","0.733198420514976"
"Big worries","2001","Berlin","indirect migration background","21","","",""
"Big worries","2001","Brandenburg","no migration background","378","0.421312145309492","0.389679585351437","0.452944705267546"
"Big worries","2001","Brandenburg","direct migration background","7","","",""
"Big worries","2001","Brandenburg","indirect migration background","2","","",""
"Big worries","2001","Mecklenburg-Western Pomerania","no migration background","214","0.421538314341239","0.378124722054315","0.464951906628163"
"Big worries","2001","Mecklenburg-Western Pomerania","direct migration background","9","","",""
"Big worries","2001","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Big worries","2001","Saxony","no migration background","588","0.345294093104066","0.321974909757494","0.368613276450637"
"Big worries","2001","Saxony","direct migration background","15","","",""
"Big worries","2001","Saxony","indirect migration background","1","","",""
"Big worries","2001","Saxony-Anhalt","no migration background","362","0.368207933495089","0.337617892421018","0.398797974569161"
"Big worries","2001","Saxony-Anhalt","direct migration background","11","","",""
