"plj0047","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Big worries","2011","indirect migration background","West Germany","155","0.206832727953548","0.177728663320685","0.235936792586412"
"Big worries","2011","indirect migration background","East Germany","7","","",""
"Some worries","2011","no migration background","West Germany","7313","0.55550865960347","0.546988706301883","0.564028612905057"
"Some worries","2011","no migration background","East Germany","2677","0.540313519933967","0.526088233324544","0.55453880654339"
"Some worries","2011","direct migration background","West Germany","920","0.490299911224937","0.467732555447422","0.512867267002452"
"Some worries","2011","direct migration background","East Germany","46","0.40824139559647","0.308347850155298","0.508134941037642"
"Some worries","2011","indirect migration background","West Germany","366","0.49366244917279","0.457737452358437","0.529587445987143"
"Some worries","2011","indirect migration background","East Germany","30","0.709988949900461","0.574361707740635","0.845616192060287"
"No worries","2011","no migration background","West Germany","3333","0.258216722276659","0.250712756463375","0.265720688089942"
"No worries","2011","no migration background","East Germany","1146","0.251860426455769","0.239470220554901","0.264250632356637"
"No worries","2011","direct migration background","West Germany","600","0.311591059703423","0.290683268286673","0.332498851120172"
"No worries","2011","direct migration background","East Germany","26","","",""
"No worries","2011","indirect migration background","West Germany","223","0.299504822873662","0.266591926068931","0.332417719678392"
"No worries","2011","indirect migration background","East Germany","6","","",""
"Big worries","2012","no migration background","West Germany","2687","0.209929921021023","0.202933177031611","0.216926665010434"
"Big worries","2012","no migration background","East Germany","883","0.202133298337842","0.19065830667289","0.213608290002795"
"Big worries","2012","direct migration background","West Germany","420","0.233188782569368","0.213820015554138","0.252557549584598"
"Big worries","2012","direct migration background","East Germany","30","0.339613995906134","0.246326762433779","0.432901229378489"
"Big worries","2012","indirect migration background","West Germany","168","0.201256344158182","0.172485197032711","0.230027491283652"
"Big worries","2012","indirect migration background","East Germany","8","","",""
"Some worries","2012","no migration background","West Germany","7450","0.561804670363178","0.553280491584609","0.570328849141747"
"Some worries","2012","no migration background","East Germany","2695","0.555153605722","0.540953881922493","0.569353329521507"
"Some worries","2012","direct migration background","West Germany","905","0.510374935130308","0.487477838930736","0.533272031329879"
"Some worries","2012","direct migration background","East Germany","40","0.384207940245579","0.288393557963187","0.480022322527971"
"Some worries","2012","indirect migration background","West Germany","407","0.535918386679671","0.500131395431482","0.571705377927859"
"Some worries","2012","indirect migration background","East Germany","30","0.675088190329797","0.542595940078399","0.807580440581195"
"No worries","2012","no migration background","West Germany","2878","0.2282654086158","0.221054665234233","0.235476151997366"
"No worries","2012","no migration background","East Germany","1127","0.242713095940158","0.230462841606921","0.254963350273394"
"No worries","2012","direct migration background","West Germany","506","0.256436282300324","0.236435234398335","0.276437330202314"
"No worries","2012","direct migration background","East Germany","29","","",""
"No worries","2012","indirect migration background","West Germany","171","0.262825269162148","0.23123906369225","0.294411474632046"
"No worries","2012","indirect migration background","East Germany","10","","",""
"Big worries","2013","no migration background","West Germany","2437","0.19072139330754","0.183806213192107","0.197636573422973"
"Big worries","2013","no migration background","East Germany","785","0.181859407792269","0.170442587926384","0.193276227658153"
"Big worries","2013","direct migration background","West Germany","674","0.166804651906812","0.156451625600366","0.177157678213257"
"Big worries","2013","direct migration background","East Germany","46","0.201283262728162","0.160969204650765","0.241597320805559"
"Big worries","2013","indirect migration background","West Germany","280","0.173966541351042","0.155203348345061","0.192729734357023"
"Big worries","2013","indirect migration background","East Germany","16","","",""
"Some worries","2013","no migration background","West Germany","6968","0.563961498808485","0.555232952745834","0.572690044871136"
"Some worries","2013","no migration background","East Germany","2546","0.567391088063357","0.552727093931854","0.582055082194861"
"Some worries","2013","direct migration background","West Germany","1942","0.43568613772729","0.421916039107919","0.44945623634666"
"Some worries","2013","direct migration background","East Germany","154","0.411862266580351","0.362377466838836","0.461347066321866"
"Some worries","2013","indirect migration background","West Germany","681","0.449151917567081","0.424531942323467","0.473771892810696"
"Some worries","2013","indirect migration background","East Germany","41","0.592637068246655","0.480688797090918","0.704585339402392"
"No worries","2013","no migration background","West Germany","2994","0.245317107883975","0.237743532865674","0.252890682902276"
"No worries","2013","no migration background","East Germany","1054","0.250749504144374","0.237920384566719","0.263578623722029"
"No worries","2013","direct migration background","West Germany","2365","0.397509210365899","0.383918610563653","0.411099810168144"
"No worries","2013","direct migration background","East Germany","180","0.386854470691487","0.33788652489234","0.435822416490634"
"No worries","2013","indirect migration background","West Germany","607","0.376881541081876","0.352895266344394","0.400867815819359"
"No worries","2013","indirect migration background","East Germany","17","","",""
"Big worries","2014","no migration background","West Germany","3213","0.204817543283541","0.198364385634797","0.211270700932286"
"Big worries","2014","no migration background","East Germany","1113","0.227702848142624","0.216237553229985","0.239168143055263"
"Big worries","2014","direct migration background","West Germany","1002","0.211217179295661","0.199591149269089","0.222843209322233"
"Big worries","2014","direct migration background","East Germany","80","0.207359964016363","0.164580139356938","0.250139788675788"
"Big worries","2014","indirect migration background","West Germany","474","0.24903026560528","0.228363506448559","0.269697024762001"
"Big worries","2014","indirect migration background","East Germany","25","","",""
"Some worries","2014","no migration background","West Germany","8628","0.570670942509735","0.562756080914291","0.578585804105178"
"Some worries","2014","no migration background","East Germany","2887","0.54667233583749","0.533061699130808","0.560282972544172"
"Some worries","2014","direct migration background","West Germany","2320","0.484552956394362","0.470318176714549","0.498787736074176"
"Some worries","2014","direct migration background","East Germany","180","0.566118222366901","0.513821097178043","0.618415347555759"
"Some worries","2014","indirect migration background","West Germany","793","0.484641562060876","0.460757943930085","0.508525180191668"
"Some worries","2014","indirect migration background","East Germany","61","0.645767320462221","0.552491356062534","0.739043284861909"
"No worries","2014","no migration background","West Germany","3183","0.224511514206724","0.217839418151736","0.231183610261712"
"No worries","2014","no migration background","East Germany","1139","0.225624816019886","0.214196613493477","0.237053018546295"
"No worries","2014","direct migration background","West Germany","1413","0.304229864309977","0.291125320318305","0.317334408301649"
"No worries","2014","direct migration background","East Germany","85","0.226521813616736","0.182352810886683","0.270690816346789"
"No worries","2014","indirect migration background","West Germany","415","0.266328172333844","0.24520327674431","0.287453067923378"
"No worries","2014","indirect migration background","East Germany","15","","",""
"Big worries","2015","no migration background","West Germany","5053","0.349349319508826","0.341534036376812","0.357164602640839"
"Big worries","2015","no migration background","East Germany","1651","0.347097741279193","0.333738642154821","0.360456840403565"
"Big worries","2015","direct migration background","West Germany","1268","0.27039750235897","0.25859339758952","0.28220160712842"
"Big worries","2015","direct migration background","East Germany","114","0.304176003671295","0.260641698157305","0.347710309185285"
"Big worries","2015","indirect migration background","West Germany","562","0.321342080075672","0.298315533527845","0.3443686266235"
"Big worries","2015","indirect migration background","East Germany","39","0.456003218775821","0.360280827247044","0.551725610304598"
"Some worries","2015","no migration background","West Germany","7393","0.51225620148315","0.504062496711966","0.520449906254335"
"Some worries","2015","no migration background","East Germany","2440","0.494992994032614","0.480962420614416","0.509023567450812"
"Some worries","2015","direct migration background","West Germany","2522","0.479617376245356","0.466340454077975","0.492894298412736"
"Some worries","2015","direct migration background","East Germany","210","0.499864027507496","0.452550052819066","0.547178002195926"
"Some worries","2015","indirect migration background","West Germany","729","0.481436870510907","0.456799744854832","0.506073996166983"
"Some worries","2015","indirect migration background","East Germany","56","0.489234573160672","0.393161709108341","0.585307437213003"
"No worries","2015","no migration background","West Germany","1850","0.138394479008024","0.132733983626277","0.144054974389772"
"No worries","2015","no migration background","East Germany","787","0.157909264688193","0.147676088695835","0.168142440680551"
"No worries","2015","direct migration background","West Germany","1649","0.249985121395674","0.238477632045958","0.26149261074539"
"No worries","2015","direct migration background","East Germany","105","0.195959968821209","0.158398552337508","0.23352138530491"
"No worries","2015","indirect migration background","West Germany","289","0.19722104941342","0.177601267823187","0.216840831003653"
"No worries","2015","indirect migration background","East Germany","9","","",""
"Big worries","2016","no migration background","West Germany","6669","0.490656844854427","0.482155051963263","0.49915863774559"
"Big worries","2016","no migration background","East Germany","2095","0.455935215854683","0.44151414782562","0.470356283883746"
"Big worries","2016","direct migration background","West Germany","1930","0.377401746403198","0.366821259280834","0.387982233525562"
"Big worries","2016","direct migration background","East Germany","224","0.340136469045713","0.312266257548288","0.368006680543137"
"Big worries","2016","indirect migration background","West Germany","743","0.468786892298956","0.443136854521488","0.494436930076425"
"Big worries","2016","indirect migration background","East Germany","48","0.464074175929554","0.370019096058176","0.558129255800932"
"Some worries","2016","no migration background","West Germany","5457","0.412683215199068","0.404310603269917","0.421055827128219"
"Some worries","2016","no migration background","East Germany","1909","0.417992828302718","0.40371148260487","0.432274174000566"
"Some worries","2016","direct migration background","West Germany","2725","0.431900212758785","0.421088268863211","0.442712156654359"
"Some worries","2016","direct migration background","East Germany","366","0.462360284533043","0.43302957736079","0.491690991705295"
"Some worries","2016","indirect migration background","West Germany","539","0.396624700986711","0.371479823142159","0.421769578831263"
"Some worries","2016","indirect migration background","East Germany","44","0.420970155429072","0.327856721865739","0.514083588992404"
"No worries","2016","no migration background","West Germany","1156","0.0966599399465052","0.0916346022789052","0.101685277614105"
"No worries","2016","no migration background","East Germany","578","0.126071955842599","0.116460976765852","0.135682934919347"
"No worries","2016","direct migration background","West Germany","3408","0.190698040838017","0.182123158438093","0.19927292323794"
"No worries","2016","direct migration background","East Germany","520","0.197503246421245","0.174082789534444","0.220923703308045"
"No worries","2016","indirect migration background","West Germany","172","0.134588406714333","0.117046327487628","0.152130485941038"
"No worries","2016","indirect migration background","East Germany","16","","",""
"Big worries","2017","no migration background","West Germany","6450","0.425344032411405","0.417450081565713","0.433237983257096"
"Big worries","2017","no migration background","East Germany","2063","0.421374345440427","0.407860945524546","0.434887745356307"
"Big worries","2017","direct migration background","West Germany","1723","0.348867159992717","0.339019343633721","0.358714976351713"
"Big worries","2017","direct migration background","East Germany","226","0.316023795060632","0.288499056499462","0.343548533621802"
"Big worries","2017","indirect migration background","West Germany","736","0.455045254564473","0.430622021875104","0.479468487253843"
"Big worries","2017","indirect migration background","East Germany","49","0.369287350056622","0.277413240119439","0.461161459993805"
"Some worries","2017","no migration background","West Germany","7255","0.473786079336548","0.465813614731155","0.481758543941942"
"Some worries","2017","no migration background","East Germany","2383","0.439786734542323","0.426202677443595","0.453370791641052"
"Some worries","2017","direct migration background","West Germany","2812","0.442532950662276","0.432270348239811","0.45279555308474"
"Some worries","2017","direct migration background","East Germany","373","0.44232311810177","0.412919284667073","0.471726951536468"
"Some worries","2017","indirect migration background","West Germany","672","0.438950502233794","0.41461143126377","0.463289573203818"
"Some worries","2017","indirect migration background","East Germany","42","0.544390843612917","0.449582450443365","0.639199236782469"
"No worries","2017","no migration background","West Germany","1363","0.100869888252047","0.0960613582921894","0.105678418211905"
"No worries","2017","no migration background","East Germany","683","0.13883892001725","0.129375904510784","0.148301935523715"
"No worries","2017","direct migration background","West Germany","4463","0.208599889345007","0.200204705970632","0.216995072719383"
"No worries","2017","direct migration background","East Germany","497","0.241653086837598","0.216309215849115","0.26699695782608"
"No worries","2017","indirect migration background","West Germany","189","0.106004243201732","0.0909060497166372","0.121102436686828"
"No worries","2017","indirect migration background","East Germany","15","","",""
"Big worries","2018","no migration background","West Germany","5037","0.343092107889683","0.335370505544295","0.350813710235071"
"Big worries","2018","no migration background","East Germany","1702","0.345002632059269","0.33185258781523","0.358152676303309"
"Big worries","2018","direct migration background","West Germany","1466","0.282663141272106","0.272614567214603","0.29271171532961"
"Big worries","2018","direct migration background","East Germany","226","0.325257295709649","0.295435997581761","0.355078593837537"
"Big worries","2018","indirect migration background","West Germany","574","0.370203235537773","0.346439384729857","0.39396708634569"
"Big worries","2018","indirect migration background","East Germany","45","0.296701664500444","0.215309013856001","0.378094315144888"
"Some worries","2018","no migration background","West Germany","7790","0.530303907342253","0.522186436907592","0.538421377776915"
"Some worries","2018","no migration background","East Germany","2525","0.496458805196445","0.482627749049036","0.510289861343854"
"Some worries","2018","direct migration background","West Germany","2935","0.514905492342754","0.50375265894615","0.526058325739358"
"Some worries","2018","direct migration background","East Germany","322","0.454936124336381","0.423237323437108","0.486634925235654"
"Some worries","2018","indirect migration background","West Germany","782","0.49313978244401","0.468534654822089","0.517744910065932"
"Some worries","2018","indirect migration background","East Germany","55","0.45161728143635","0.362946086303123","0.540288476569577"
"No worries","2018","no migration background","West Germany","1694","0.126603984768064","0.121195456313534","0.132012513222594"
"No worries","2018","no migration background","East Germany","793","0.158538562744286","0.148434854437117","0.168642271051455"
"No worries","2018","direct migration background","West Germany","3313","0.202431366385139","0.193464695904902","0.211398036865376"
"No worries","2018","direct migration background","East Germany","400","0.21980657995397","0.193445365848557","0.246167794059383"
"No worries","2018","indirect migration background","West Germany","230","0.136656982018217","0.119752413004823","0.15356155103161"
"No worries","2018","indirect migration background","East Germany","21","","",""
"Big worries","2019","no migration background","West Germany","6074","0.382800790945958","0.375023225810418","0.390578356081498"
"Big worries","2019","no migration background","East Germany","1879","0.358478600540363","0.345342988829565","0.371614212251161"
"Big worries","2019","direct migration background","West Germany","1313","0.318324828840467","0.307307991359432","0.329341666321502"
"Big worries","2019","direct migration background","East Germany","181","0.255991725442971","0.225501364085293","0.28648208680065"
"Big worries","2019","indirect migration background","West Germany","663","0.401470344682727","0.377137403548734","0.42580328581672"
"Big worries","2019","indirect migration background","East Germany","60","0.471867921987594","0.387027314176053","0.556708529799136"
"Some worries","2019","no migration background","West Germany","7443","0.50434243471807","0.496342283644008","0.512342585792132"
"Some worries","2019","no migration background","East Germany","2584","0.505166598708045","0.49147166520814","0.518861532207949"
"Some worries","2019","direct migration background","West Germany","2398","0.472042545278266","0.460235996037801","0.483849094518731"
"Some worries","2019","direct migration background","East Germany","305","0.496335131854976","0.461403484866822","0.531266778843129"
"Some worries","2019","indirect migration background","West Germany","691","0.454196411951719","0.42948115806298","0.478911665840457"
"Some worries","2019","indirect migration background","East Germany","55","0.372944811423898","0.290758888193355","0.455130734654441"
"No worries","2019","no migration background","West Germany","1487","0.112856774335972","0.107793805547251","0.117919743124693"
"No worries","2019","no migration background","East Germany","657","0.136354800751592","0.126955057122552","0.145754544380632"
"No worries","2019","direct migration background","West Germany","3157","0.209632625881267","0.200005938088812","0.219259313673721"
"No worries","2019","direct migration background","East Germany","301","0.247673142702053","0.217515078232456","0.277831207171649"
"No worries","2019","indirect migration background","West Germany","205","0.144333243365555","0.126888662121735","0.161777824609374"
"No worries","2019","indirect migration background","East Germany","18","","",""
