"plj0047","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"No worries","1999","(2c_gen) general maturity certificate","Female","32","0.0988605864773417","0.0614863238862234","0.13623484906846"
"No worries","1999","(2c_voc) vocational maturity certificate","Male","38","0.107050280241951","0.0729614611483042","0.141139099335597"
"No worries","1999","(2c_voc) vocational maturity certificate","Female","39","0.120588518173207","0.0867608441385829","0.154416192207831"
"No worries","1999","(3a) lower tertiary education","Male","67","0.124743292893644","0.095183335884155","0.154303249903133"
"No worries","1999","(3a) lower tertiary education","Female","27","","",""
"No worries","1999","(3b) higher tertiary education","Male","71","0.159563664853156","0.130359214754728","0.188768114951585"
"No worries","1999","(3b) higher tertiary education","Female","32","0.0802305941215484","0.0539039246502539","0.106557263592843"
"Big worries","2000","(0) in school","Male","72","0.305707478915211","0.247176756044616","0.364238201785806"
"Big worries","2000","(0) in school","Female","96","0.383378683855259","0.323702471760641","0.443054895949877"
"Big worries","2000","(1a) inadequately completed","Male","53","0.342048643563614","0.27293725271086","0.411160034416368"
"Big worries","2000","(1a) inadequately completed","Female","72","0.289492501776363","0.231383534813295","0.347601468739431"
"Big worries","2000","(1b) general elementary school","Male","230","0.27896800121397","0.249028199285819","0.30890780314212"
"Big worries","2000","(1b) general elementary school","Female","523","0.261381797161511","0.242033019849286","0.280730574473735"
"Big worries","2000","(1c) basic vocational qualification","Male","1153","0.277072141996862","0.263615130084295","0.290529153909429"
"Big worries","2000","(1c) basic vocational qualification","Female","1083","0.305394890895014","0.290153725746106","0.320636056043921"
"Big worries","2000","(2b) intermediate general qualification","Male","75","0.250001234165786","0.201405346214103","0.298597122117469"
"Big worries","2000","(2b) intermediate general qualification","Female","139","0.342113440197194","0.296687737451456","0.387539142942932"
"Big worries","2000","(2a) intermediate vocational","Male","687","0.308239908083727","0.289727141490603","0.326752674676851"
"Big worries","2000","(2a) intermediate vocational","Female","1117","0.347728301385472","0.331062541557059","0.364394061213885"
"Big worries","2000","(2c_gen) general maturity certificate","Male","128","0.357844408478243","0.310268943724085","0.405419873232402"
"Big worries","2000","(2c_gen) general maturity certificate","Female","168","0.387852077573493","0.342167604138887","0.433536551008098"
"Big worries","2000","(2c_voc) vocational maturity certificate","Male","255","0.363994280213764","0.329374530108618","0.398614030318911"
"Big worries","2000","(2c_voc) vocational maturity certificate","Female","309","0.405570320591611","0.371777768683021","0.439362872500201"
"Big worries","2000","(3a) lower tertiary education","Male","287","0.302005742134681","0.27257672141697","0.331434762852392"
"Big worries","2000","(3a) lower tertiary education","Female","295","0.417632118219966","0.382616140409765","0.452648096030166"
"Big worries","2000","(3b) higher tertiary education","Male","398","0.321398191590896","0.295224554090326","0.347571829091466"
"Big worries","2000","(3b) higher tertiary education","Female","387","0.434695947062679","0.402164790116878","0.46722710400848"
"Some worries","2000","(0) in school","Male","107","0.452746516135903","0.389508033824772","0.515984998447035"
"Some worries","2000","(0) in school","Female","122","0.46802972789633","0.406786453542913","0.529273002249746"
"Some worries","2000","(1a) inadequately completed","Male","75","0.355696892733462","0.285954964255294","0.425438821211631"
"Some worries","2000","(1a) inadequately completed","Female","107","0.463950553361174","0.400053852238867","0.52784725448348"
"Some worries","2000","(1b) general elementary school","Male","412","0.463241581069882","0.429953584487235","0.496529577652529"
"Some worries","2000","(1b) general elementary school","Female","984","0.488439334390439","0.466427322410141","0.510451346370737"
"Some worries","2000","(1c) basic vocational qualification","Male","2163","0.496149661936014","0.481116101337889","0.511183222534138"
"Some worries","2000","(1c) basic vocational qualification","Female","1802","0.50961076887928","0.493068005442516","0.526153532316044"
"Some worries","2000","(2b) intermediate general qualification","Male","147","0.477389485629427","0.421333283866974","0.53344568739188"
"Some worries","2000","(2b) intermediate general qualification","Female","220","0.51676125650423","0.468912910984279","0.564609602024182"
"Some worries","2000","(2a) intermediate vocational","Male","1281","0.519032460518119","0.4990013842843","0.539063536751938"
"Some worries","2000","(2a) intermediate vocational","Female","1626","0.51880365653068","0.501319144947883","0.536288168113477"
"Some worries","2000","(2c_gen) general maturity certificate","Male","198","0.478651641943396","0.429073577337437","0.528229706549355"
"Some worries","2000","(2c_gen) general maturity certificate","Female","218","0.504373064207663","0.457495961086483","0.551250167328843"
"Some worries","2000","(2c_voc) vocational maturity certificate","Male","375","0.507309015412625","0.471336588717589","0.54328144210766"
"Some worries","2000","(2c_voc) vocational maturity certificate","Female","401","0.472153498116357","0.43779508528438","0.506511910948334"
"Some worries","2000","(3a) lower tertiary education","Male","511","0.559062123783575","0.52723766522518","0.590886582341971"
"Some worries","2000","(3a) lower tertiary education","Female","403","0.487032183543637","0.451543123658997","0.522521243428277"
"Some worries","2000","(3b) higher tertiary education","Male","669","0.533189208689289","0.505228641202207","0.561149776176371"
"Some worries","2000","(3b) higher tertiary education","Female","427","0.467240349220609","0.434498628741607","0.499982069699611"
"No worries","2000","(0) in school","Male","59","0.241546004948886","0.187167888105368","0.295924121792404"
"No worries","2000","(0) in school","Female","37","0.148591588248411","0.104935574103626","0.192247602393197"
"No worries","2000","(1a) inadequately completed","Male","53","0.302254463702924","0.235351755439362","0.369157171966486"
"No worries","2000","(1a) inadequately completed","Female","55","0.246556944862463","0.191333435819118","0.301780453905808"
"No worries","2000","(1b) general elementary school","Male","220","0.257790417716148","0.228589861654907","0.286990973777389"
"No worries","2000","(1b) general elementary school","Female","474","0.25017886844805","0.231106263952754","0.269251472943347"
"No worries","2000","(1c) basic vocational qualification","Male","933","0.226778196067124","0.21418727736679","0.239369114767459"
"No worries","2000","(1c) basic vocational qualification","Female","623","0.184994340225706","0.172145088662027","0.197843591789386"
"No worries","2000","(2b) intermediate general qualification","Male","83","0.272609280204788","0.222634330312009","0.322584230097567"
"No worries","2000","(2b) intermediate general qualification","Female","60","0.141125303298576","0.107789691671583","0.174460914925568"
"No worries","2000","(2a) intermediate vocational","Male","422","0.172727631398154","0.157572688344849","0.187882574451459"
"No worries","2000","(2a) intermediate vocational","Female","394","0.133468042083848","0.121567362328209","0.145368721839487"
"No worries","2000","(2c_gen) general maturity certificate","Male","64","0.163503949578361","0.126800079510071","0.200207819646651"
"No worries","2000","(2c_gen) general maturity certificate","Female","51","0.107774858218844","0.0787009556237139","0.136848760813975"
"No worries","2000","(2c_voc) vocational maturity certificate","Male","112","0.128696704373611","0.104602392381912","0.15279101636531"
"No worries","2000","(2c_voc) vocational maturity certificate","Female","101","0.122276181292032","0.099729244908881","0.144823117675183"
"No worries","2000","(3a) lower tertiary education","Male","137","0.138932134081743","0.116762305759535","0.161101962403952"
"No worries","2000","(3a) lower tertiary education","Female","64","0.0953356982363978","0.0744839675141868","0.116187428958609"
"No worries","2000","(3b) higher tertiary education","Male","156","0.145412599719816","0.125655912483175","0.165169286956456"
"No worries","2000","(3b) higher tertiary education","Female","78","0.0980637037167122","0.0785469428002712","0.117580464633153"
"Big worries","2001","(0) in school","Male","100","0.355376729395835","0.297531479780568","0.413221979011103"
"Big worries","2001","(0) in school","Female","125","0.414928435401738","0.357217226710708","0.472639644092768"
"Big worries","2001","(1a) inadequately completed","Male","40","0.311037093265687","0.233236546455198","0.388837640076177"
"Big worries","2001","(1a) inadequately completed","Female","57","0.296036279907411","0.22916045017265","0.362912109642171"
"Big worries","2001","(1b) general elementary school","Male","235","0.320786269884656","0.287446567632546","0.354125972136766"
"Big worries","2001","(1b) general elementary school","Female","508","0.291144527750393","0.269574710784747","0.312714344716039"
"Big worries","2001","(1c) basic vocational qualification","Male","1173","0.3044818623522","0.289784382388559","0.31917934231584"
"Big worries","2001","(1c) basic vocational qualification","Female","1085","0.339541491741587","0.322903630703643","0.356179352779531"
"Big worries","2001","(2b) intermediate general qualification","Male","95","0.360810491233603","0.303207258383588","0.418413724083618"
"Big worries","2001","(2b) intermediate general qualification","Female","130","0.354194069802463","0.306666572321739","0.401721567283188"
"Big worries","2001","(2a) intermediate vocational","Male","710","0.320485171178607","0.301002624070444","0.33996771828677"
"Big worries","2001","(2a) intermediate vocational","Female","1178","0.391780273202372","0.373952242209176","0.409608304195568"
"Big worries","2001","(2c_gen) general maturity certificate","Male","143","0.40326509746549","0.352450017246637","0.454080177684342"
"Big worries","2001","(2c_gen) general maturity certificate","Female","193","0.433817131150507","0.387082595821817","0.480551666479197"
"Big worries","2001","(2c_voc) vocational maturity certificate","Male","245","0.370571135600791","0.334509318886398","0.406632952315184"
"Big worries","2001","(2c_voc) vocational maturity certificate","Female","341","0.430882105028662","0.395767987260738","0.465996222796586"
"Big worries","2001","(3a) lower tertiary education","Male","309","0.339725047983136","0.308052886386354","0.371397209579918"
"Big worries","2001","(3a) lower tertiary education","Female","327","0.472948190034212","0.436705721936582","0.509190658131842"
"Big worries","2001","(3b) higher tertiary education","Male","434","0.378110913432367","0.349812661071739","0.406409165792994"
"Big worries","2001","(3b) higher tertiary education","Female","377","0.459016765481272","0.424867794898634","0.49316573606391"
"Some worries","2001","(0) in school","Male","106","0.425202675683814","0.365454371953216","0.484950979414413"
"Some worries","2001","(0) in school","Female","117","0.432873677287962","0.374838733691172","0.490908620884751"
"Some worries","2001","(1a) inadequately completed","Male","67","0.479532039189797","0.3955697150792","0.563494363300394"
"Some worries","2001","(1a) inadequately completed","Female","86","0.505783067983951","0.432540674365733","0.579025461602168"
"Some worries","2001","(1b) general elementary school","Male","330","0.431613783241567","0.396236862843734","0.4669907036394"
"Some worries","2001","(1b) general elementary school","Female","826","0.483335329946885","0.459608378084592","0.507062281809179"
"Some worries","2001","(1c) basic vocational qualification","Male","1840","0.486865942577494","0.470902444981368","0.502829440173619"
"Some worries","2001","(1c) basic vocational qualification","Female","1533","0.501316049656683","0.483749082197845","0.51888301711552"
"Some worries","2001","(2b) intermediate general qualification","Male","128","0.474106960227545","0.414213509234217","0.534000411220872"
"Some worries","2001","(2b) intermediate general qualification","Female","201","0.49096417105932","0.441285225866442","0.540643116252197"
"Some worries","2001","(2a) intermediate vocational","Male","1138","0.516302613084925","0.495439393545676","0.537165832624174"
"Some worries","2001","(2a) intermediate vocational","Female","1379","0.484370240023845","0.466118277824204","0.502622202223487"
"Some worries","2001","(2c_gen) general maturity certificate","Male","168","0.46927435138016","0.41757857941209","0.52097012334823"
"Some worries","2001","(2c_gen) general maturity certificate","Female","194","0.437630990710813","0.390849835510534","0.484412145911092"
"Some worries","2001","(2c_voc) vocational maturity certificate","Male","357","0.506602840856501","0.469271755836473","0.543933925876528"
"Some worries","2001","(2c_voc) vocational maturity certificate","Female","342","0.456164560439003","0.420846574011972","0.491482546866035"
"Some worries","2001","(3a) lower tertiary education","Male","441","0.521262450041428","0.487856142417425","0.554668757665431"
"Some worries","2001","(3a) lower tertiary education","Female","353","0.449325594097129","0.41321685266137","0.485434335532888"
"Some worries","2001","(3b) higher tertiary education","Male","539","0.473240404774188","0.444103683637913","0.502377125910463"
"Some worries","2001","(3b) higher tertiary education","Female","376","0.448016882336168","0.413938299480715","0.482095465191621"
"No worries","2001","(0) in school","Male","57","0.219420594920351","0.169403616130452","0.26943757371025"
"No worries","2001","(0) in school","Female","38","0.1521978873103","0.110123225432924","0.194272549187677"
"No worries","2001","(1a) inadequately completed","Male","29","","",""
"No worries","2001","(1a) inadequately completed","Female","36","0.198180652108639","0.139783661389866","0.256577642827411"
"No worries","2001","(1b) general elementary school","Male","188","0.247599946873777","0.216771596568166","0.278428297179388"
"No worries","2001","(1b) general elementary school","Female","370","0.225520142302722","0.205676973452377","0.245363311153067"
"No worries","2001","(1c) basic vocational qualification","Male","753","0.208652195070307","0.195674334223978","0.221630055916635"
"No worries","2001","(1c) basic vocational qualification","Female","494","0.15914245860173","0.146290108709549","0.171994808493912"
"No worries","2001","(2b) intermediate general qualification","Male","44","0.165082548538852","0.120551306111839","0.209613790965866"
"No worries","2001","(2b) intermediate general qualification","Female","58","0.154841759138217","0.118892797224534","0.190790721051899"
"No worries","2001","(2a) intermediate vocational","Male","356","0.163212215736468","0.147783623823592","0.178640807649344"
"No worries","2001","(2a) intermediate vocational","Female","323","0.123849486773783","0.111818858373352","0.135880115174215"
"No worries","2001","(2c_gen) general maturity certificate","Male","47","0.12746055115435","0.0929154069970838","0.162005695311617"
"No worries","2001","(2c_gen) general maturity certificate","Female","45","0.12855187813868","0.0969897557355678","0.160114000541791"
"No worries","2001","(2c_voc) vocational maturity certificate","Male","87","0.122826023542709","0.0983169697275014","0.147335077357916"
"No worries","2001","(2c_voc) vocational maturity certificate","Female","81","0.112953334532334","0.09050809865553","0.135398570409139"
"No worries","2001","(3a) lower tertiary education","Male","109","0.139012501975436","0.115877110014819","0.162147893936053"
"No worries","2001","(3a) lower tertiary education","Female","49","0.0777262158686586","0.0582906127962587","0.0971618189410584"
"No worries","2001","(3b) higher tertiary education","Male","155","0.148648681793445","0.127888627798563","0.169408735788328"
"No worries","2001","(3b) higher tertiary education","Female","65","0.0929663521825597","0.0730666748966184","0.112866029468501"
"Big worries","2002","(0) in school","Male","109","0.368454224500797","0.313593182296196","0.423315266705397"
"Big worries","2002","(0) in school","Female","113","0.358041320473471","0.304758401432674","0.411324239514269"
"Big worries","2002","(1a) inadequately completed","Male","27","","",""
"Big worries","2002","(1a) inadequately completed","Female","38","0.267900705968282","0.20012124822026","0.335680163716304"
"Big worries","2002","(1b) general elementary school","Male","172","0.276618464324571","0.24321721027902","0.310019718370122"
"Big worries","2002","(1b) general elementary school","Female","369","0.242590931212271","0.221414720086624","0.263767142337918"
"Big worries","2002","(1c) basic vocational qualification","Male","886","0.252456261841423","0.238255553061058","0.266656970621788"
"Big worries","2002","(1c) basic vocational qualification","Female","869","0.288671662072298","0.272515507758641","0.304827816385955"
"Big worries","2002","(2b) intermediate general qualification","Male","76","0.272437344369697","0.219528027057422","0.325346661681972"
"Big worries","2002","(2b) intermediate general qualification","Female","123","0.343870220906673","0.29629937628538","0.391441065527966"
"Big worries","2002","(2a) intermediate vocational","Male","549","0.243343495931916","0.22572636489426","0.260960626969572"
"Big worries","2002","(2a) intermediate vocational","Female","916","0.301692521175038","0.285381764647949","0.318003277702127"
"Big worries","2002","(2c_gen) general maturity certificate","Male","114","0.298011532177956","0.254780521659308","0.341242542696604"
"Big worries","2002","(2c_gen) general maturity certificate","Female","155","0.324445718212244","0.281755512038639","0.367135924385849"
"Big worries","2002","(2c_voc) vocational maturity certificate","Male","194","0.304538712482048","0.270923212389178","0.338154212574918"
"Big worries","2002","(2c_voc) vocational maturity certificate","Female","271","0.307870419680394","0.277125962320028","0.33861487704076"
"Big worries","2002","(3a) lower tertiary education","Male","270","0.263054769050032","0.235614356183276","0.290495181916789"
"Big worries","2002","(3a) lower tertiary education","Female","271","0.341265463300423","0.308573289658012","0.373957636942834"
"Big worries","2002","(3b) higher tertiary education","Male","463","0.27774502174032","0.255867225826448","0.299622817654192"
"Big worries","2002","(3b) higher tertiary education","Female","408","0.351178633119174","0.32354217418359","0.378815092054759"
"Some worries","2002","(0) in school","Male","131","0.445257628974702","0.388735147493672","0.501780110455732"
"Some worries","2002","(0) in school","Female","152","0.470298548298569","0.414826998813678","0.52577009778346"
"Some worries","2002","(1a) inadequately completed","Male","74","0.536116873754202","0.449041199835487","0.623192547672917"
"Some worries","2002","(1a) inadequately completed","Female","92","0.541885366709015","0.465630606302012","0.618140127116018"
"Some worries","2002","(1b) general elementary school","Male","331","0.468266926111221","0.431007851913844","0.505526000308599"
"Some worries","2002","(1b) general elementary school","Female","857","0.54313300536228","0.518524019499715","0.567741991224845"
"Some worries","2002","(1c) basic vocational qualification","Male","1940","0.530830099762491","0.51451681245251","0.547143387072472"
"Some worries","2002","(1c) basic vocational qualification","Female","1660","0.546138640096327","0.528388004094899","0.563889276097755"
"Some worries","2002","(2b) intermediate general qualification","Male","134","0.463746218764765","0.404482484471713","0.523009953057817"
"Some worries","2002","(2b) intermediate general qualification","Female","194","0.470487766396251","0.420500329270549","0.520475203521954"
"Some worries","2002","(2a) intermediate vocational","Male","1258","0.54738097063272","0.526945380644382","0.567816560621059"
"Some worries","2002","(2a) intermediate vocational","Female","1702","0.551310432414807","0.533636240051864","0.568984624777751"
"Some worries","2002","(2c_gen) general maturity certificate","Male","224","0.499494446596041","0.452235542590474","0.546753350601608"
"Some worries","2002","(2c_gen) general maturity certificate","Female","259","0.567731797469999","0.522559169409527","0.612904425530472"
"Some worries","2002","(2c_voc) vocational maturity certificate","Male","397","0.539149138857158","0.502739489002589","0.575558788711728"
"Some worries","2002","(2c_voc) vocational maturity certificate","Female","491","0.584175561648105","0.551349722111056","0.617001401185155"
"Some worries","2002","(3a) lower tertiary education","Male","566","0.578278843768216","0.547501488939315","0.609056198597117"
"Some worries","2002","(3a) lower tertiary education","Female","464","0.553482434602549","0.519204582075368","0.587760287129729"
"Some worries","2002","(3b) higher tertiary education","Male","918","0.556122812152865","0.531853809951286","0.580391814354445"
"Some worries","2002","(3b) higher tertiary education","Female","631","0.546647062850274","0.517824837558227","0.575469288142322"
"No worries","2002","(0) in school","Male","57","0.186288146524501","0.142009147108103","0.230567145940899"
"No worries","2002","(0) in school","Female","46","0.17166013122796","0.1297511697433","0.213569092712619"
"No worries","2002","(1a) inadequately completed","Male","25","","",""
"No worries","2002","(1a) inadequately completed","Female","34","0.190213927322704","0.130147406862034","0.250280447783373"
"No worries","2002","(1b) general elementary school","Male","186","0.255114609564208","0.222564618531458","0.287664600596958"
"No worries","2002","(1b) general elementary school","Female","348","0.214276063425449","0.194005419331421","0.234546707519477"
"No worries","2002","(1c) basic vocational qualification","Male","769","0.216713638396086","0.203245671264632","0.23018160552754"
"No worries","2002","(1c) basic vocational qualification","Female","493","0.165189697831375","0.151949751021753","0.178429644640996"
"No worries","2002","(2b) intermediate general qualification","Male","62","0.263816436865537","0.211443416253223","0.316189457477852"
"No worries","2002","(2b) intermediate general qualification","Female","66","0.185642012697076","0.146702140808971","0.224581884585181"
"No worries","2002","(2a) intermediate vocational","Male","472","0.209275533435364","0.192574330786539","0.225976736084188"
"No worries","2002","(2a) intermediate vocational","Female","424","0.146997046410155","0.134413644793114","0.159580448027195"
"No worries","2002","(2c_gen) general maturity certificate","Male","92","0.202494021226003","0.164511224483795","0.240476817968211"
"No worries","2002","(2c_gen) general maturity certificate","Female","48","0.107822484317757","0.0795406608347798","0.136104307800733"
"No worries","2002","(2c_voc) vocational maturity certificate","Male","129","0.156312148660794","0.129786311022113","0.182837986299474"
"No worries","2002","(2c_voc) vocational maturity certificate","Female","104","0.107954018671501","0.0872858416543292","0.128622195688672"
"No worries","2002","(3a) lower tertiary education","Male","153","0.158666387181751","0.135895679306189","0.181437095057313"
"No worries","2002","(3a) lower tertiary education","Female","73","0.105252102097029","0.084092468497948","0.126411735696109"
"No worries","2002","(3b) higher tertiary education","Male","229","0.166132166106815","0.147951464978052","0.184312867235578"
"No worries","2002","(3b) higher tertiary education","Female","107","0.102174304030551","0.0846386228169328","0.11970998524417"
"Big worries","2003","(0) in school","Male","73","0.236175278224258","0.188193215258482","0.284157341190034"
"Big worries","2003","(0) in school","Female","93","0.292793995519491","0.24246279149195","0.343125199547033"
"Big worries","2003","(1a) inadequately completed","Male","23","","",""
"Big worries","2003","(1a) inadequately completed","Female","33","0.228026783526829","0.162398308659813","0.293655258393844"
"Big worries","2003","(1b) general elementary school","Male","125","0.204067619464216","0.173250606433122","0.23488463249531"
"Big worries","2003","(1b) general elementary school","Female","328","0.226945686868892","0.205511895229793","0.248379478507991"
"Big worries","2003","(1c) basic vocational qualification","Male","718","0.216980152605896","0.203153637802181","0.230806667409612"
"Big worries","2003","(1c) basic vocational qualification","Female","700","0.245853549562231","0.230119364745793","0.261587734378669"
"Big worries","2003","(2b) intermediate general qualification","Male","66","0.274177312898139","0.220568239591859","0.32778638620442"
"Big worries","2003","(2b) intermediate general qualification","Female","90","0.251605444831746","0.207088332443849","0.296122557219644"
"Big worries","2003","(2a) intermediate vocational","Male","413","0.189072985089808","0.172692134335948","0.205453835843667"
"Big worries","2003","(2a) intermediate vocational","Female","726","0.24943126452288","0.233753591248745","0.265108937797015"
"Big worries","2003","(2c_gen) general maturity certificate","Male","77","0.187245736094846","0.149530852050214","0.224960620139478"
"Big worries","2003","(2c_gen) general maturity certificate","Female","114","0.266171731636096","0.225383206329653","0.306960256942538"
"Big worries","2003","(2c_voc) vocational maturity certificate","Male","155","0.263285303793125","0.230752257049446","0.295818350536803"
"Big worries","2003","(2c_voc) vocational maturity certificate","Female","213","0.260986599800767","0.231617761343929","0.290355438257605"
"Big worries","2003","(3a) lower tertiary education","Male","171","0.183370189643516","0.158579583340187","0.208160795946846"
"Big worries","2003","(3a) lower tertiary education","Female","213","0.281503349517369","0.24986080588009","0.313145893154647"
"Big worries","2003","(3b) higher tertiary education","Male","311","0.211560922116456","0.191015550474543","0.232106293758369"
"Big worries","2003","(3b) higher tertiary education","Female","280","0.296012207204472","0.269157280183982","0.322867134224962"
"Some worries","2003","(0) in school","Male","153","0.510394881189187","0.453921866380042","0.566867895998332"
"Some worries","2003","(0) in school","Female","160","0.467687836779602","0.412499856613004","0.5228758169462"
"Some worries","2003","(1a) inadequately completed","Male","52","0.484795279468976","0.393453750118162","0.576136808819789"
"Some worries","2003","(1a) inadequately completed","Female","74","0.480943609260756","0.402789356483697","0.559097862037815"
"Some worries","2003","(1b) general elementary school","Male","315","0.478733954377401","0.440535812268506","0.516932096486295"
"Some worries","2003","(1b) general elementary school","Female","790","0.541372177167022","0.515873878773903","0.566870475560141"
"Some worries","2003","(1c) basic vocational qualification","Male","1809","0.522764152931999","0.506009487451651","0.539518818412347"
"Some worries","2003","(1c) basic vocational qualification","Female","1565","0.546565268277172","0.528374268571666","0.564756267982677"
"Some worries","2003","(2b) intermediate general qualification","Male","128","0.42411384202369","0.364723364641005","0.483504319406374"
"Some worries","2003","(2b) intermediate general qualification","Female","191","0.519109590323792","0.467852465328709","0.570366715318876"
"Some worries","2003","(2a) intermediate vocational","Male","1274","0.585034807154547","0.564422456766536","0.605647157542557"
"Some worries","2003","(2a) intermediate vocational","Female","1700","0.577420574171766","0.559522296903938","0.595318851439593"
"Some worries","2003","(2c_gen) general maturity certificate","Male","233","0.579244477598558","0.531516498758382","0.626972456438733"
"Some worries","2003","(2c_gen) general maturity certificate","Female","257","0.5659411554195","0.520198669437954","0.611683641401046"
"Some worries","2003","(2c_voc) vocational maturity certificate","Male","388","0.524411822644806","0.487521409121147","0.561302236168465"
"Some worries","2003","(2c_voc) vocational maturity certificate","Female","492","0.57102296673417","0.537925457056183","0.604120476412156"
"Some worries","2003","(3a) lower tertiary education","Male","588","0.649341359551529","0.618771814743524","0.679910904359533"
"Some worries","2003","(3a) lower tertiary education","Female","456","0.584120803853371","0.549442953717318","0.618798653989423"
"Some worries","2003","(3b) higher tertiary education","Male","920","0.58837506261789","0.563618509752216","0.613131615483563"
"Some worries","2003","(3b) higher tertiary education","Female","676","0.552970055279306","0.523721412633796","0.582218697924815"
"No worries","2003","(0) in school","Male","75","0.253429840586555","0.20429053307391","0.302569148099199"
"No worries","2003","(0) in school","Female","61","0.239518167700906","0.192312198467881","0.286724136933932"
"No worries","2003","(1a) inadequately completed","Male","40","0.330526922721163","0.24455252358212","0.416501321860206"
"No worries","2003","(1a) inadequately completed","Female","50","0.291029607212415","0.219976855649031","0.3620823587758"
"No worries","2003","(1b) general elementary school","Male","217","0.317198426158384","0.28161250805943","0.352784344257338"
"No worries","2003","(1b) general elementary school","Female","349","0.231682135964086","0.210092278564716","0.253271993363457"
"No worries","2003","(1c) basic vocational qualification","Male","887","0.260255694462104","0.245537407423427","0.274973981500782"
"No worries","2003","(1c) basic vocational qualification","Female","612","0.207581182160597","0.192761136534771","0.222401227786424"
"No worries","2003","(2b) intermediate general qualification","Male","72","0.301708845078171","0.246549441149715","0.356868249006627"
"No worries","2003","(2b) intermediate general qualification","Female","84","0.229284964844461","0.186159244428001","0.272410685260922"
"No worries","2003","(2a) intermediate vocational","Male","508","0.225892207755645","0.208398487664485","0.243385927846806"
"No worries","2003","(2a) intermediate vocational","Female","500","0.173148161305354","0.15943827919382","0.186858043416888"
"No worries","2003","(2c_gen) general maturity certificate","Male","101","0.233509786306596","0.192608870680334","0.274410701932859"
"No worries","2003","(2c_gen) general maturity certificate","Female","80","0.167887112944404","0.133391836911897","0.202382388976912"
"No worries","2003","(2c_voc) vocational maturity certificate","Male","161","0.212302873562069","0.182095057494142","0.242510689629997"
"No worries","2003","(2c_voc) vocational maturity certificate","Female","154","0.167990433465063","0.142989400980331","0.192991465949796"
"No worries","2003","(3a) lower tertiary education","Male","177","0.167288450804955","0.143377852667965","0.191199048941945"
"No worries","2003","(3a) lower tertiary education","Female","107","0.134375846629261","0.110379644023079","0.158372049235442"
"No worries","2003","(3b) higher tertiary education","Male","287","0.200064015265655","0.179939551708895","0.220188478822415"
"No worries","2003","(3b) higher tertiary education","Female","154","0.151017737516222","0.129953298877633","0.172082176154812"
"Big worries","2004","(0) in school","Male","80","0.252189878348262","0.203532705266216","0.300847051430309"
"Big worries","2004","(0) in school","Female","101","0.274661267654246","0.226431042806145","0.322891492502348"
"Big worries","2004","(1a) inadequately completed","Male","26","","",""
"Big worries","2004","(1a) inadequately completed","Female","26","","",""
"Big worries","2004","(1b) general elementary school","Male","124","0.222803877265018","0.189835386628783","0.255772367901252"
"Big worries","2004","(1b) general elementary school","Female","274","0.197305741844661","0.176217033407656","0.218394450281667"
"Big worries","2004","(1c) basic vocational qualification","Male","697","0.22090521338171","0.206679578572569","0.23513084819085"
"Big worries","2004","(1c) basic vocational qualification","Female","681","0.238450084454488","0.222592289788955","0.254307879120021"
"Big worries","2004","(2b) intermediate general qualification","Male","59","0.259192059775444","0.203754241442897","0.31462987810799"
"Big worries","2004","(2b) intermediate general qualification","Female","102","0.294774634202969","0.248127595798761","0.341421672607177"
"Big worries","2004","(2a) intermediate vocational","Male","435","0.186594152737297","0.170080357292247","0.203107948182347"
"Big worries","2004","(2a) intermediate vocational","Female","726","0.262913754513585","0.24677452543835","0.27905298358882"
"Big worries","2004","(2c_gen) general maturity certificate","Male","92","0.246535041062614","0.204192451694269","0.288877630430959"
"Big worries","2004","(2c_gen) general maturity certificate","Female","113","0.279198173952068","0.237657521839542","0.320738826064594"
"Big worries","2004","(2c_voc) vocational maturity certificate","Male","167","0.280438459488489","0.247017330726215","0.313859588250763"
"Big worries","2004","(2c_voc) vocational maturity certificate","Female","225","0.266689592311263","0.237116382307872","0.296262802314654"
"Big worries","2004","(3a) lower tertiary education","Male","176","0.198454566324627","0.172682526271713","0.224226606377541"
"Big worries","2004","(3a) lower tertiary education","Female","205","0.289260305550126","0.257440282082555","0.321080329017697"
"Big worries","2004","(3b) higher tertiary education","Male","324","0.220395739546919","0.19943281727262","0.241358661821219"
"Big worries","2004","(3b) higher tertiary education","Female","303","0.325472197353644","0.297643618610608","0.353300776096679"
"Some worries","2004","(0) in school","Male","139","0.476361876979527","0.420402675911999","0.532321078047054"
"Some worries","2004","(0) in school","Female","171","0.490889073527912","0.436869887766124","0.544908259289699"
"Some worries","2004","(1a) inadequately completed","Male","47","0.396674313435848","0.304835177442501","0.488513449429195"
"Some worries","2004","(1a) inadequately completed","Female","79","0.542126534170231","0.462395842466176","0.621857225874286"
"Some worries","2004","(1b) general elementary school","Male","280","0.39980014885474","0.360990313762139","0.438609983947342"
"Some worries","2004","(1b) general elementary school","Female","719","0.535339238205531","0.508909821362183","0.561768655048879"
"Some worries","2004","(1c) basic vocational qualification","Male","1727","0.514659564604053","0.49752169691394","0.531797432294166"
"Some worries","2004","(1c) basic vocational qualification","Female","1506","0.555534653412275","0.537043270447217","0.574026036377332"
"Some worries","2004","(2b) intermediate general qualification","Male","117","0.456200251633787","0.393185862351422","0.519214640916152"
