"plj0589","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence"
"Very often","2019","general elemantary","Urban Area","","","",""
"Very often","2019","general elemantary","Rural Area","1","","",""
"Very often","2019","middle vocational","Urban Area","","","",""
"Very often","2019","middle vocational","Rural Area","1","","",""
"Very often","2019","vocational + Abi","Urban Area","","","",""
"Very often","2019","vocational + Abi","Rural Area","","","",""
"Very often","2019","higher vocational","Urban Area","","","",""
"Very often","2019","higher vocational","Rural Area","","","",""
"Very often","2019","higher education","Urban Area","","","",""
"Very often","2019","higher education","Rural Area","","","",""
"Often","2019","in school","Urban Area","","","",""
"Often","2019","in school","Rural Area","","","",""
"Often","2019","inadequately","Urban Area","8","","",""
"Often","2019","inadequately","Rural Area","5","","",""
"Often","2019","general elemantary","Urban Area","3","","",""
"Often","2019","general elemantary","Rural Area","1","","",""
"Often","2019","middle vocational","Urban Area","1","","",""
"Often","2019","middle vocational","Rural Area","","","",""
"Often","2019","vocational + Abi","Urban Area","","","",""
"Often","2019","vocational + Abi","Rural Area","","","",""
"Often","2019","higher vocational","Urban Area","","","",""
"Often","2019","higher vocational","Rural Area","","","",""
"Often","2019","higher education","Urban Area","1","","",""
"Often","2019","higher education","Rural Area","","","",""
"Sometimes","2019","in school","Urban Area","","","",""
"Sometimes","2019","in school","Rural Area","","","",""
"Sometimes","2019","inadequately","Urban Area","17","","",""
"Sometimes","2019","inadequately","Rural Area","16","","",""
"Sometimes","2019","general elemantary","Urban Area","7","","",""
"Sometimes","2019","general elemantary","Rural Area","2","","",""
"Sometimes","2019","middle vocational","Urban Area","4","","",""
"Sometimes","2019","middle vocational","Rural Area","3","","",""
"Sometimes","2019","vocational + Abi","Urban Area","","","",""
"Sometimes","2019","vocational + Abi","Rural Area","","","",""
"Sometimes","2019","higher vocational","Urban Area","","","",""
"Sometimes","2019","higher vocational","Rural Area","","","",""
"Sometimes","2019","higher education","Urban Area","5","","",""
"Sometimes","2019","higher education","Rural Area","2","","",""
"Rarely ","2019","in school","Urban Area","","","",""
"Rarely ","2019","in school","Rural Area","1","","",""
"Rarely ","2019","inadequately","Urban Area","13","","",""
"Rarely ","2019","inadequately","Rural Area","12","","",""
"Rarely ","2019","general elemantary","Urban Area","4","","",""
"Rarely ","2019","general elemantary","Rural Area","5","","",""
"Rarely ","2019","middle vocational","Urban Area","4","","",""
"Rarely ","2019","middle vocational","Rural Area","1","","",""
"Rarely ","2019","vocational + Abi","Urban Area","","","",""
"Rarely ","2019","vocational + Abi","Rural Area","","","",""
"Rarely ","2019","higher vocational","Urban Area","","","",""
"Rarely ","2019","higher vocational","Rural Area","","","",""
"Rarely ","2019","higher education","Urban Area","4","","",""
"Rarely ","2019","higher education","Rural Area","3","","",""
"Never","2019","in school","Urban Area","1","","",""
"Never","2019","in school","Rural Area","","","",""
"Never","2019","inadequately","Urban Area","35","0.51625942888944","0.4031607025518","0.62935815522708"
"Never","2019","inadequately","Rural Area","21","","",""
"Never","2019","general elemantary","Urban Area","20","","",""
"Never","2019","general elemantary","Rural Area","8","","",""
"Never","2019","middle vocational","Urban Area","15","","",""
"Never","2019","middle vocational","Rural Area","4","","",""
"Never","2019","vocational + Abi","Urban Area","","","",""
"Never","2019","vocational + Abi","Rural Area","1","","",""
"Never","2019","higher vocational","Urban Area","","","",""
"Never","2019","higher vocational","Rural Area","","","",""
"Never","2019","higher education","Urban Area","7","","",""
"Never","2019","higher education","Rural Area","3","","",""
