"plj0589","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"Sometimes","2019","general elemantary","West Germany","8","","",""
"Sometimes","2019","general elemantary","East Germany","1","","",""
"Sometimes","2019","middle vocational","West Germany","7","","",""
"Sometimes","2019","middle vocational","East Germany","","","",""
"Sometimes","2019","vocational + Abi","West Germany","","","",""
"Sometimes","2019","vocational + Abi","East Germany","","","",""
"Sometimes","2019","higher vocational","West Germany","","","",""
"Sometimes","2019","higher vocational","East Germany","","","",""
"Sometimes","2019","higher education","West Germany","7","","",""
"Sometimes","2019","higher education","East Germany","","","",""
"Rarely ","2019","in school","West Germany","1","","",""
"Rarely ","2019","in school","East Germany","","","",""
"Rarely ","2019","inadequately","West Germany","23","","",""
"Rarely ","2019","inadequately","East Germany","2","","",""
"Rarely ","2019","general elemantary","West Germany","9","","",""
"Rarely ","2019","general elemantary","East Germany","","","",""
"Rarely ","2019","middle vocational","West Germany","5","","",""
"Rarely ","2019","middle vocational","East Germany","","","",""
"Rarely ","2019","vocational + Abi","West Germany","","","",""
"Rarely ","2019","vocational + Abi","East Germany","","","",""
"Rarely ","2019","higher vocational","West Germany","","","",""
"Rarely ","2019","higher vocational","East Germany","","","",""
"Rarely ","2019","higher education","West Germany","7","","",""
"Rarely ","2019","higher education","East Germany","1","","",""
"Never","2019","in school","West Germany","1","","",""
"Never","2019","in school","East Germany","","","",""
"Never","2019","inadequately","West Germany","54","0.481797796293018","0.392767577995026","0.570828014591009"
"Never","2019","inadequately","East Germany","2","","",""
"Never","2019","general elemantary","West Germany","26","","",""
"Never","2019","general elemantary","East Germany","2","","",""
"Never","2019","middle vocational","West Germany","18","","",""
"Never","2019","middle vocational","East Germany","1","","",""
"Never","2019","vocational + Abi","West Germany","","","",""
"Never","2019","vocational + Abi","East Germany","2","","",""
"Never","2019","higher vocational","West Germany","","","",""
"Never","2019","higher vocational","East Germany","","","",""
"Never","2019","higher education","West Germany","9","","",""
"Never","2019","higher education","East Germany","1","","",""
