"plj0014_v3","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","2019","35-65 y.","West Germany","10490","0.840954551880202","0.834757296686857","0.847151807073547"
"Yes","2019","35-65 y.","East Germany","3188","0.958944937912658","0.952403171833688","0.965486703991628"
"Yes","2019","66 and older","West Germany","3742","0.915657277480934","0.906993048796256","0.924321506165612"
"Yes","2019","66 and older","East Germany","1309","0.989626051529964","0.984157991217654","0.995094111842273"
"No","2019","16-34 y.","West Germany","2068","0.174652609584666","0.165030570413362","0.18427464875597"
"No","2019","16-34 y.","East Germany","292","0.0809405036291169","0.0655536713256605","0.0963273359325733"
"No","2019","35-65 y.","West Germany","2888","0.159045448119798","0.152848192926453","0.165242703313142"
"No","2019","35-65 y.","East Germany","346","0.0410550620873423","0.0345132960083725","0.0475968281663121"
"No","2019","66 and older","West Germany","210","0.084342722519066","0.075678493834388","0.0930069512037441"
"No","2019","66 and older","East Germany","10","","",""
