"plj0014_v3","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"No","2002","Schleswig-Holstein","in school","","","",""
"No","2002","Schleswig-Holstein","inadequately","2","","",""
"No","2002","Schleswig-Holstein","general elemantary","6","","",""
"No","2002","Schleswig-Holstein","middle vocational","13","","",""
"No","2002","Schleswig-Holstein","vocational + Abi","2","","",""
"No","2002","Schleswig-Holstein","higher vocational","2","","",""
"No","2002","Schleswig-Holstein","higher education","6","","",""
"No","2002","Hamburg","in school","","","",""
"No","2002","Hamburg","inadequately","1","","",""
"No","2002","Hamburg","general elemantary","8","","",""
"No","2002","Hamburg","middle vocational","7","","",""
"No","2002","Hamburg","vocational + Abi","1","","",""
"No","2002","Hamburg","higher vocational","1","","",""
"No","2002","Hamburg","higher education","","","",""
"No","2002","Lower Saxony","in school","5","","",""
"No","2002","Lower Saxony","inadequately","7","","",""
"No","2002","Lower Saxony","general elemantary","30","0.0924279307505782","0.0584428610096101","0.126413000491546"
"No","2002","Lower Saxony","middle vocational","49","0.0374744056051676","0.0259483832746994","0.0490004279356359"
"No","2002","Lower Saxony","vocational + Abi","7","","",""
"No","2002","Lower Saxony","higher vocational","3","","",""
"No","2002","Lower Saxony","higher education","14","","",""
"No","2002","Bremen","in school","","","",""
"No","2002","Bremen","inadequately","","","",""
"No","2002","Bremen","general elemantary","1","","",""
"No","2002","Bremen","middle vocational","5","","",""
"No","2002","Bremen","vocational + Abi","1","","",""
"No","2002","Bremen","higher vocational","","","",""
"No","2002","Bremen","higher education","2","","",""
"No","2002","North Rhine-Westphalia","in school","16","","",""
"No","2002","North Rhine-Westphalia","inadequately","57","0.479919961721906","0.383902345224963","0.575937578218849"
"No","2002","North Rhine-Westphalia","general elemantary","148","0.171978796061455","0.142558452958048","0.201399139164861"
"No","2002","North Rhine-Westphalia","middle vocational","164","0.0624313734409552","0.0526848004437302","0.0721779464381802"
"No","2002","North Rhine-Westphalia","vocational + Abi","35","0.0968846416060584","0.0662005644955607","0.127568718716556"
"No","2002","North Rhine-Westphalia","higher vocational","16","","",""
"No","2002","North Rhine-Westphalia","higher education","61","0.110904284683716","0.0903088585256397","0.131499710841791"
"No","2002","Hesse","in school","4","","",""
"No","2002","Hesse","inadequately","21","","",""
"No","2002","Hesse","general elemantary","60","0.217084218412101","0.164149357005788","0.270019079818414"
"No","2002","Hesse","middle vocational","82","0.0993099868091839","0.0782943561020225","0.120325617516345"
"No","2002","Hesse","vocational + Abi","15","","",""
"No","2002","Hesse","higher vocational","7","","",""
"No","2002","Hesse","higher education","38","0.137108392491418","0.1011759365838","0.173040848399036"
"No","2002","Rhineland-Palatinate,Saarland","in school","4","","",""
"No","2002","Rhineland-Palatinate,Saarland","inadequately","16","","",""
"No","2002","Rhineland-Palatinate,Saarland","general elemantary","28","","",""
"No","2002","Rhineland-Palatinate,Saarland","middle vocational","35","0.0557910150843887","0.0389794643384808","0.0726025658302966"
"No","2002","Rhineland-Palatinate,Saarland","vocational + Abi","5","","",""
"No","2002","Rhineland-Palatinate,Saarland","higher vocational","2","","",""
"No","2002","Rhineland-Palatinate,Saarland","higher education","11","","",""
"No","2002","Baden-Württemberg","in school","14","","",""
"No","2002","Baden-Württemberg","inadequately","38","0.54475914890383","0.40532378621921","0.68419451158845"
"No","2002","Baden-Württemberg","general elemantary","209","0.269954563349649","0.230925315795222","0.308983810904076"
"No","2002","Baden-Württemberg","middle vocational","193","0.10618692069206","0.0894592777644478","0.122914563619672"
"No","2002","Baden-Württemberg","vocational + Abi","33","0.240695760808097","0.169626332180102","0.311765189436092"
"No","2002","Baden-Württemberg","higher vocational","24","","",""
"No","2002","Baden-Württemberg","higher education","29","","",""
"No","2002","Bavaria","in school","4","","",""
"No","2002","Bavaria","inadequately","15","","",""
"No","2002","Bavaria","general elemantary","84","0.164863046765778","0.129544268359828","0.200181825171728"
"No","2002","Bavaria","middle vocational","98","0.0539755050399885","0.0433026388251144","0.0646483712548625"
"No","2002","Bavaria","vocational + Abi","25","","",""
"No","2002","Bavaria","higher vocational","16","","",""
"No","2002","Bavaria","higher education","31","0.095551006197673","0.0725038282677648","0.118598184127581"
"No","2002","Berlin","in school","1","","",""
"No","2002","Berlin","inadequately","4","","",""
"No","2002","Berlin","general elemantary","16","","",""
"No","2002","Berlin","middle vocational","12","","",""
"No","2002","Berlin","vocational + Abi","2","","",""
"No","2002","Berlin","higher vocational","3","","",""
"No","2002","Berlin","higher education","12","","",""
"No","2002","Brandenburg","in school","","","",""
"No","2002","Brandenburg","inadequately","","","",""
"No","2002","Brandenburg","general elemantary","1","","",""
"No","2002","Brandenburg","middle vocational","","","",""
"No","2002","Brandenburg","vocational + Abi","","","",""
"No","2002","Brandenburg","higher vocational","","","",""
"No","2002","Brandenburg","higher education","","","",""
"No","2002","Mecklenburg-Western Pomerania","in school","","","",""
"No","2002","Mecklenburg-Western Pomerania","inadequately","","","",""
"No","2002","Mecklenburg-Western Pomerania","general elemantary","","","",""
"No","2002","Mecklenburg-Western Pomerania","middle vocational","1","","",""
"No","2002","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"No","2002","Mecklenburg-Western Pomerania","higher vocational","","","",""
"No","2002","Mecklenburg-Western Pomerania","higher education","","","",""
"No","2002","Saxony","in school","","","",""
"No","2002","Saxony","inadequately","","","",""
"No","2002","Saxony","general elemantary","","","",""
"No","2002","Saxony","middle vocational","1","","",""
"No","2002","Saxony","vocational + Abi","1","","",""
"No","2002","Saxony","higher vocational","","","",""
"No","2002","Saxony","higher education","2","","",""
"No","2002","Saxony-Anhalt","in school","","","",""
"No","2002","Saxony-Anhalt","inadequately","","","",""
"No","2002","Saxony-Anhalt","general elemantary","","","",""
"No","2002","Saxony-Anhalt","middle vocational","","","",""
"No","2002","Saxony-Anhalt","vocational + Abi","","","",""
"No","2002","Saxony-Anhalt","higher vocational","","","",""
"No","2002","Saxony-Anhalt","higher education","1","","",""
"No","2002","Thuringia","in school","","","",""
"No","2002","Thuringia","inadequately","","","",""
"No","2002","Thuringia","general elemantary","","","",""
"No","2002","Thuringia","middle vocational","1","","",""
"No","2002","Thuringia","vocational + Abi","1","","",""
"No","2002","Thuringia","higher vocational","","","",""
"No","2002","Thuringia","higher education","1","","",""
"Yes","2003","Schleswig-Holstein","in school","15","","",""
"Yes","2003","Schleswig-Holstein","inadequately","4","","",""
"Yes","2003","Schleswig-Holstein","general elemantary","82","0.910192492794125","0.850793916836175","0.969591068752075"
"Yes","2003","Schleswig-Holstein","middle vocational","346","0.940873865068504","0.916543426480492","0.965204303656516"
"Yes","2003","Schleswig-Holstein","vocational + Abi","33","0.990131424551375","0.956905101176007","1.02335774792674"
"Yes","2003","Schleswig-Holstein","higher vocational","49","0.978406651596338","0.938514937548002","1.01829836564468"
"Yes","2003","Schleswig-Holstein","higher education","104","0.97701228046709","0.948748244996381","1.0052763159378"
"Yes","2003","Hamburg","in school","9","","",""
"Yes","2003","Hamburg","inadequately","1","","",""
"Yes","2003","Hamburg","general elemantary","21","","",""
"Yes","2003","Hamburg","middle vocational","136","0.983412427845453","0.962405469343045","1.00441938634786"
"Yes","2003","Hamburg","vocational + Abi","19","","",""
"Yes","2003","Hamburg","higher vocational","18","","",""
"Yes","2003","Hamburg","higher education","76","1","1","1"
"Yes","2003","Lower Saxony","in school","58","0.976496892176824","0.937840602738064","1.01515318161558"
"Yes","2003","Lower Saxony","inadequately","19","","",""
"Yes","2003","Lower Saxony","general elemantary","238","0.882081017610278","0.843611892593215","0.920550142627341"
"Yes","2003","Lower Saxony","middle vocational","950","0.963378938362095","0.951719851155502","0.975038025568688"
"Yes","2003","Lower Saxony","vocational + Abi","113","0.953777345723412","0.916210181814791","0.991344509632034"
"Yes","2003","Lower Saxony","higher vocational","119","0.955252062754829","0.918714376893185","0.991789748616473"
"Yes","2003","Lower Saxony","higher education","287","0.941169857453236","0.914542907692346","0.967796807214125"
"Yes","2003","Bremen","in school","4","","",""
"Yes","2003","Bremen","inadequately","","","",""
"Yes","2003","Bremen","general elemantary","19","","",""
"Yes","2003","Bremen","middle vocational","80","0.927003551384963","0.871702906870847","0.98230419589908"
"Yes","2003","Bremen","vocational + Abi","13","","",""
"Yes","2003","Bremen","higher vocational","10","","",""
"Yes","2003","Bremen","higher education","35","0.768553339222155","0.634456432682846","0.902650245761463"
"Yes","2003","North Rhine-Westphalia","in school","129","0.879563404462855","0.82564998420846","0.93347682471725"
"Yes","2003","North Rhine-Westphalia","inadequately","51","0.539983001305487","0.444195596785151","0.635770405825822"
"Yes","2003","North Rhine-Westphalia","general elemantary","458","0.815047621263674","0.783981007462284","0.846114235065063"
"Yes","2003","North Rhine-Westphalia","middle vocational","2120","0.936748011103046","0.926745572981312","0.946750449224779"
"Yes","2003","North Rhine-Westphalia","vocational + Abi","313","0.910366733501823","0.880136337757399","0.940597129246246"
"Yes","2003","North Rhine-Westphalia","higher vocational","324","0.960422154905457","0.939606489533793","0.98123782027712"
"Yes","2003","North Rhine-Westphalia","higher education","796","0.896913101048598","0.876483483686975","0.91734271841022"
"Yes","2003","Hesse","in school","29","","",""
"Yes","2003","Hesse","inadequately","2","","",""
"Yes","2003","Hesse","general elemantary","163","0.815816466655848","0.763263579355544","0.868369353956152"
"Yes","2003","Hesse","middle vocational","635","0.903161649915098","0.881253510000553","0.925069789829643"
"Yes","2003","Hesse","vocational + Abi","99","0.898621166809049","0.843215060418353","0.954027273199744"
"Yes","2003","Hesse","higher vocational","94","0.96963746080616","0.935666424913572","1.00360849669875"
"Yes","2003","Hesse","higher education","292","0.877226158727566","0.841491939717842","0.912960377737291"
"Yes","2003","Rhineland-Palatinate,Saarland","in school","35","0.796316701033876","0.668267487611561","0.924365914456192"
"Yes","2003","Rhineland-Palatinate,Saarland","inadequately","12","","",""
"Yes","2003","Rhineland-Palatinate,Saarland","general elemantary","209","0.884517161864548","0.843654560012722","0.925379763716374"
"Yes","2003","Rhineland-Palatinate,Saarland","middle vocational","661","0.936748588056195","0.918664770907541","0.954832405204848"
"Yes","2003","Rhineland-Palatinate,Saarland","vocational + Abi","53","0.963360650408005","0.914154158159114","1.0125671426569"
"Yes","2003","Rhineland-Palatinate,Saarland","higher vocational","106","0.989294033752381","0.969884645691201","1.00870342181356"
"Yes","2003","Rhineland-Palatinate,Saarland","higher education","174","0.845371228852935","0.79368937897893","0.897053078726941"
"Yes","2003","Baden-Württemberg","in school","68","0.836922141048232","0.7538641688194","0.919980113277064"
"Yes","2003","Baden-Württemberg","inadequately","12","","",""
"Yes","2003","Baden-Württemberg","general elemantary","273","0.757926540203389","0.718697968298885","0.797155112107892"
"Yes","2003","Baden-Württemberg","middle vocational","1086","0.881970482272886","0.864169631679299","0.899771332866473"
"Yes","2003","Baden-Württemberg","vocational + Abi","113","0.789224191287059","0.722608364638574","0.855840017935543"
"Yes","2003","Baden-Württemberg","higher vocational","189","0.906719582098774","0.867385394680851","0.946053769516696"
"Yes","2003","Baden-Württemberg","higher education","444","0.908863552908326","0.882899500176041","0.934827605640611"
"Yes","2003","Bavaria","in school","63","0.955146964956471","0.905585777023488","1.00470815288945"
"Yes","2003","Bavaria","inadequately","12","","",""
"Yes","2003","Bavaria","general elemantary","315","0.83522770473467","0.798689682179033","0.871765727290308"
"Yes","2003","Bavaria","middle vocational","1551","0.940973608880123","0.929588294878698","0.952358922881548"
"Yes","2003","Bavaria","vocational + Abi","123","0.76481909974514","0.696024864071261","0.833613335419018"
"Yes","2003","Bavaria","higher vocational","232","0.904164102176941","0.867527938662598","0.940800265691285"
"Yes","2003","Bavaria","higher education","558","0.900712856352251","0.876521025923843","0.924904686780659"
"Yes","2003","Berlin","in school","29","","",""
"Yes","2003","Berlin","inadequately","6","","",""
"Yes","2003","Berlin","general elemantary","61","0.843400066538923","0.761151173545903","0.925648959531943"
"Yes","2003","Berlin","middle vocational","341","0.952675876535836","0.930462815687697","0.974888937383976"
"Yes","2003","Berlin","vocational + Abi","34","0.897405702913729","0.798287626900069","0.99652377892739"
"Yes","2003","Berlin","higher vocational","59","0.871001199100509","0.788229850848873","0.953772547352144"
"Yes","2003","Berlin","higher education","240","0.944547111225415","0.91612068148951","0.972973540961321"
"Yes","2003","Brandenburg","in school","29","","",""
"Yes","2003","Brandenburg","inadequately","1","","",""
"Yes","2003","Brandenburg","general elemantary","73","0.963412286141115","0.9209218502332","1.00590272204903"
"Yes","2003","Brandenburg","middle vocational","465","0.996986984993458","0.992010754083986","1.00196321590293"
"Yes","2003","Brandenburg","vocational + Abi","29","","",""
"Yes","2003","Brandenburg","higher vocational","80","1","1","1"
"Yes","2003","Brandenburg","higher education","261","1","1","1"
"Yes","2003","Mecklenburg-Western Pomerania","in school","14","","",""
"Yes","2003","Mecklenburg-Western Pomerania","inadequately","4","","",""
"Yes","2003","Mecklenburg-Western Pomerania","general elemantary","45","1","1","1"
"Yes","2003","Mecklenburg-Western Pomerania","middle vocational","273","0.998671252547974","0.994357995841311","1.00298450925464"
"Yes","2003","Mecklenburg-Western Pomerania","vocational + Abi","5","","",""
"Yes","2003","Mecklenburg-Western Pomerania","higher vocational","39","1","1","1"
"Yes","2003","Mecklenburg-Western Pomerania","higher education","138","1","1","1"
"Yes","2003","Saxony","in school","42","1","1","1"
"Yes","2003","Saxony","inadequately","2","","",""
"Yes","2003","Saxony","general elemantary","120","1","1","1"
"Yes","2003","Saxony","middle vocational","883","0.994997981681897","0.990350045092103","0.99964591827169"
"Yes","2003","Saxony","vocational + Abi","44","0.966538231784705","0.91399390935104","1.01908255421837"
"Yes","2003","Saxony","higher vocational","135","1","1","1"
"Yes","2003","Saxony","higher education","375","0.993809284099795","0.985891577985439","1.00172699021415"
"Yes","2003","Saxony-Anhalt","in school","33","1","1","1"
"Yes","2003","Saxony-Anhalt","inadequately","3","","",""
"Yes","2003","Saxony-Anhalt","general elemantary","77","1","1","1"
"Yes","2003","Saxony-Anhalt","middle vocational","462","1","1","1"
"Yes","2003","Saxony-Anhalt","vocational + Abi","34","1","1","1"
"Yes","2003","Saxony-Anhalt","higher vocational","97","1","1","1"
"Yes","2003","Saxony-Anhalt","higher education","224","1","1","1"
"Yes","2003","Thuringia","in school","26","","",""
"Yes","2003","Thuringia","inadequately","2","","",""
"Yes","2003","Thuringia","general elemantary","69","1","1","1"
"Yes","2003","Thuringia","middle vocational","575","1","1","1"
"Yes","2003","Thuringia","vocational + Abi","23","","",""
"Yes","2003","Thuringia","higher vocational","76","1","1","1"
"Yes","2003","Thuringia","higher education","176","1","1","1"
"No","2003","Schleswig-Holstein","in school","","","",""
"No","2003","Schleswig-Holstein","inadequately","2","","",""
"No","2003","Schleswig-Holstein","general elemantary","7","","",""
"No","2003","Schleswig-Holstein","middle vocational","15","","",""
"No","2003","Schleswig-Holstein","vocational + Abi","1","","",""
"No","2003","Schleswig-Holstein","higher vocational","2","","",""
"No","2003","Schleswig-Holstein","higher education","4","","",""
"No","2003","Hamburg","in school","","","",""
"No","2003","Hamburg","inadequately","1","","",""
"No","2003","Hamburg","general elemantary","8","","",""
"No","2003","Hamburg","middle vocational","6","","",""
"No","2003","Hamburg","vocational + Abi","1","","",""
"No","2003","Hamburg","higher vocational","1","","",""
"No","2003","Hamburg","higher education","","","",""
"No","2003","Lower Saxony","in school","1","","",""
"No","2003","Lower Saxony","inadequately","7","","",""
"No","2003","Lower Saxony","general elemantary","32","0.117918982389722","0.0794498573726588","0.156388107406785"
"No","2003","Lower Saxony","middle vocational","47","0.0366210616379053","0.0249619744313124","0.0482801488444983"
"No","2003","Lower Saxony","vocational + Abi","7","","",""
"No","2003","Lower Saxony","higher vocational","4","","",""
"No","2003","Lower Saxony","higher education","13","","",""
"No","2003","Bremen","in school","1","","",""
"No","2003","Bremen","inadequately","","","",""
"No","2003","Bremen","general elemantary","1","","",""
"No","2003","Bremen","middle vocational","5","","",""
"No","2003","Bremen","vocational + Abi","1","","",""
"No","2003","Bremen","higher vocational","","","",""
"No","2003","Bremen","higher education","3","","",""
"No","2003","North Rhine-Westphalia","in school","11","","",""
"No","2003","North Rhine-Westphalia","inadequately","53","0.460016998694513","0.364229594174178","0.555804403214849"
"No","2003","North Rhine-Westphalia","general elemantary","142","0.184952378736326","0.153885764934937","0.216018992537716"
"No","2003","North Rhine-Westphalia","middle vocational","155","0.0632519888969543","0.0532495507752207","0.073254427018688"
"No","2003","North Rhine-Westphalia","vocational + Abi","30","0.0896332664981772","0.0594028707537537","0.119863662242601"
"No","2003","North Rhine-Westphalia","higher vocational","13","","",""
"No","2003","North Rhine-Westphalia","higher education","55","0.103086898951402","0.0826572815897803","0.123516516313025"
"No","2003","Hesse","in school","4","","",""
"No","2003","Hesse","inadequately","14","","",""
"No","2003","Hesse","general elemantary","46","0.184183533344152","0.131630646043848","0.236736420644456"
"No","2003","Hesse","middle vocational","65","0.0968383500849022","0.0749302101703569","0.118746489999447"
"No","2003","Hesse","vocational + Abi","15","","",""
"No","2003","Hesse","higher vocational","4","","",""
"No","2003","Hesse","higher education","32","0.122773841272434","0.0870396222627094","0.158508060282158"
"No","2003","Rhineland-Palatinate,Saarland","in school","3","","",""
"No","2003","Rhineland-Palatinate,Saarland","inadequately","9","","",""
"No","2003","Rhineland-Palatinate,Saarland","general elemantary","26","","",""
"No","2003","Rhineland-Palatinate,Saarland","middle vocational","35","0.0632514119438053","0.0451675947951521","0.0813352290924585"
"No","2003","Rhineland-Palatinate,Saarland","vocational + Abi","3","","",""
"No","2003","Rhineland-Palatinate,Saarland","higher vocational","2","","",""
"No","2003","Rhineland-Palatinate,Saarland","higher education","14","","",""
"No","2003","Baden-Württemberg","in school","8","","",""
"No","2003","Baden-Württemberg","inadequately","33","0.488245260199642","0.342198546531513","0.634291973867771"
"No","2003","Baden-Württemberg","general elemantary","185","0.242073459796611","0.202844887892108","0.281302031701115"
"No","2003","Baden-Württemberg","middle vocational","176","0.118029517727114","0.100228667133527","0.135830368320701"
"No","2003","Baden-Württemberg","vocational + Abi","31","0.210775808712941","0.144159982064457","0.277391635361426"
"No","2003","Baden-Württemberg","higher vocational","21","","",""
"No","2003","Baden-Württemberg","higher education","28","","",""
"No","2003","Bavaria","in school","4","","",""
"No","2003","Bavaria","inadequately","18","","",""
"No","2003","Bavaria","general elemantary","81","0.16477229526533","0.128234272709692","0.201310317820967"
"No","2003","Bavaria","middle vocational","95","0.0590263911198771","0.0476410771184519","0.0704117051213023"
"No","2003","Bavaria","vocational + Abi","23","","",""
"No","2003","Bavaria","higher vocational","16","","",""
"No","2003","Bavaria","higher education","29","","",""
"No","2003","Berlin","in school","3","","",""
"No","2003","Berlin","inadequately","3","","",""
"No","2003","Berlin","general elemantary","14","","",""
"No","2003","Berlin","middle vocational","10","","",""
"No","2003","Berlin","vocational + Abi","2","","",""
"No","2003","Berlin","higher vocational","4","","",""
"No","2003","Berlin","higher education","9","","",""
"No","2003","Brandenburg","in school","","","",""
"No","2003","Brandenburg","inadequately","","","",""
"No","2003","Brandenburg","general elemantary","2","","",""
"No","2003","Brandenburg","middle vocational","1","","",""
"No","2003","Brandenburg","vocational + Abi","","","",""
"No","2003","Brandenburg","higher vocational","","","",""
"No","2003","Brandenburg","higher education","","","",""
"No","2003","Mecklenburg-Western Pomerania","in school","","","",""
"No","2003","Mecklenburg-Western Pomerania","inadequately","","","",""
"No","2003","Mecklenburg-Western Pomerania","general elemantary","","","",""
"No","2003","Mecklenburg-Western Pomerania","middle vocational","1","","",""
"No","2003","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"No","2003","Mecklenburg-Western Pomerania","higher vocational","","","",""
"No","2003","Mecklenburg-Western Pomerania","higher education","","","",""
"No","2003","Saxony","in school","","","",""
"No","2003","Saxony","inadequately","","","",""
"No","2003","Saxony","general elemantary","","","",""
"No","2003","Saxony","middle vocational","2","","",""
"No","2003","Saxony","vocational + Abi","1","","",""
"No","2003","Saxony","higher vocational","","","",""
"No","2003","Saxony","higher education","2","","",""
"No","2003","Saxony-Anhalt","in school","","","",""
"No","2003","Saxony-Anhalt","inadequately","","","",""
"No","2003","Saxony-Anhalt","general elemantary","","","",""
"No","2003","Saxony-Anhalt","middle vocational","","","",""
"No","2003","Saxony-Anhalt","vocational + Abi","","","",""
"No","2003","Saxony-Anhalt","higher vocational","","","",""
"No","2003","Saxony-Anhalt","higher education","","","",""
"No","2003","Thuringia","in school","","","",""
"No","2003","Thuringia","inadequately","","","",""
"No","2003","Thuringia","general elemantary","","","",""
"No","2003","Thuringia","middle vocational","","","",""
"No","2003","Thuringia","vocational + Abi","1","","",""
"No","2003","Thuringia","higher vocational","","","",""
"No","2003","Thuringia","higher education","","","",""
"Yes","2004","Schleswig-Holstein","in school","14","","",""
"Yes","2004","Schleswig-Holstein","inadequately","5","","",""
"Yes","2004","Schleswig-Holstein","general elemantary","82","0.914119598464235","0.855579250682283","0.972659946246186"
"Yes","2004","Schleswig-Holstein","middle vocational","339","0.940190561429049","0.915418076912389","0.96496304594571"
"Yes","2004","Schleswig-Holstein","vocational + Abi","36","0.95486394528038","0.889708857725112","1.02001903283565"
"Yes","2004","Schleswig-Holstein","higher vocational","51","0.995013708541147","0.975868954930267","1.01415846215203"
"Yes","2004","Schleswig-Holstein","higher education","109","0.979008756573399","0.952577291283882","1.00544022186292"
"Yes","2004","Hamburg","in school","11","","",""
"Yes","2004","Hamburg","inadequately","1","","",""
"Yes","2004","Hamburg","general elemantary","20","","",""
"Yes","2004","Hamburg","middle vocational","129","0.98052866366813","0.957220436995866","1.00383689034039"
"Yes","2004","Hamburg","vocational + Abi","24","","",""
"Yes","2004","Hamburg","higher vocational","19","","",""
"Yes","2004","Hamburg","higher education","75","1","1","1"
"Yes","2004","Lower Saxony","in school","60","0.942972603814245","0.885250313436938","1.00069489419155"
"Yes","2004","Lower Saxony","inadequately","19","","",""
"Yes","2004","Lower Saxony","general elemantary","227","0.863432919500689","0.821612775592289","0.905253063409089"
"Yes","2004","Lower Saxony","middle vocational","939","0.96632485902286","0.955042273494193","0.977607444551527"
"Yes","2004","Lower Saxony","vocational + Abi","107","0.948690269196405","0.908190014311139","0.989190524081671"
"Yes","2004","Lower Saxony","higher vocational","123","0.967665418538052","0.936656307447436","0.998674529628668"
"Yes","2004","Lower Saxony","higher education","290","0.938511718128159","0.91141849658258","0.965604939673738"
"Yes","2004","Bremen","in school","4","","",""
"Yes","2004","Bremen","inadequately","","","",""
"Yes","2004","Bremen","general elemantary","14","","",""
"Yes","2004","Bremen","middle vocational","83","0.914502854769659","0.856410172759191","0.972595536780127"
"Yes","2004","Bremen","vocational + Abi","13","","",""
"Yes","2004","Bremen","higher vocational","9","","",""
"Yes","2004","Bremen","higher education","32","0.761359859948838","0.620144868304581","0.902574851593095"
"Yes","2004","North Rhine-Westphalia","in school","135","0.879873010938284","0.826772690841684","0.932973331034884"
"Yes","2004","North Rhine-Westphalia","inadequately","43","0.523460601862477","0.4196971301851","0.627224073539853"
"Yes","2004","North Rhine-Westphalia","general elemantary","441","0.82157187538024","0.790057333455955","0.853086417304524"
"Yes","2004","North Rhine-Westphalia","middle vocational","2061","0.93661481594628","0.926449489873893","0.946780142018667"
"Yes","2004","North Rhine-Westphalia","vocational + Abi","310","0.90139861133972","0.869615991082592","0.933181231596848"
"Yes","2004","North Rhine-Westphalia","higher vocational","314","0.934517800721742","0.90782792578476","0.961207675658725"
"Yes","2004","North Rhine-Westphalia","higher education","785","0.900416390911866","0.88009372430121","0.920739057522522"
"Yes","2004","Hesse","in school","31","0.757869715596672","0.61793718981016","0.897802241383183"
"Yes","2004","Hesse","inadequately","3","","",""
"Yes","2004","Hesse","general elemantary","146","0.79029605923295","0.732103511635711","0.848488606830189"
"Yes","2004","Hesse","middle vocational","603","0.897476517959357","0.874369584305296","0.920583451613419"
"Yes","2004","Hesse","vocational + Abi","99","0.90245156324214","0.848223851517008","0.956679274967273"
"Yes","2004","Hesse","higher vocational","90","0.938097856525354","0.889893155894096","0.986302557156613"
"Yes","2004","Hesse","higher education","286","0.876956506716609","0.840738636899427","0.913174376533791"
"Yes","2004","Rhineland-Palatinate,Saarland","in school","31","0.747627665480695","0.601621166638284","0.893634164323106"
"Yes","2004","Rhineland-Palatinate,Saarland","inadequately","10","","",""
"Yes","2004","Rhineland-Palatinate,Saarland","general elemantary","200","0.883225617977202","0.841169062580037","0.925282173374368"
"Yes","2004","Rhineland-Palatinate,Saarland","middle vocational","638","0.932180223612173","0.913183938544896","0.951176508679451"
"Yes","2004","Rhineland-Palatinate,Saarland","vocational + Abi","49","0.929275635179146","0.859596424511883","0.998954845846409"
"Yes","2004","Rhineland-Palatinate,Saarland","higher vocational","104","0.987972805505591","0.967221289927631","1.00872432108355"
"Yes","2004","Rhineland-Palatinate,Saarland","higher education","169","0.842889337525645","0.789874563623323","0.895904111427968"
"Yes","2004","Baden-Württemberg","in school","72","0.963540610554793","0.922209768543499","1.00487145256609"
"Yes","2004","Baden-Württemberg","inadequately","12","","",""
"Yes","2004","Baden-Württemberg","general elemantary","270","0.744864903135691","0.704085610404296","0.785644195867087"
"Yes","2004","Baden-Württemberg","middle vocational","1051","0.892291817286885","0.874831431957978","0.909752202615792"
"Yes","2004","Baden-Württemberg","vocational + Abi","116","0.804416039272995","0.739405008597109","0.86942706994888"
"Yes","2004","Baden-Württemberg","higher vocational","178","0.891789920227767","0.848629397980897","0.934950442474637"
"Yes","2004","Baden-Württemberg","higher education","442","0.916827535264346","0.891809178903665","0.941845891625027"
"Yes","2004","Bavaria","in school","70","0.980181150726487","0.948425236382262","1.01193706507071"
"Yes","2004","Bavaria","inadequately","11","","",""
"Yes","2004","Bavaria","general elemantary","303","0.826755087705115","0.788653140680402","0.864857034729829"
"Yes","2004","Bavaria","middle vocational","1503","0.93728108929666","0.925367374972883","0.949194803620437"
"Yes","2004","Bavaria","vocational + Abi","125","0.77294188067869","0.705219633339983","0.840664128017397"
"Yes","2004","Bavaria","higher vocational","224","0.939642689139026","0.909387078463598","0.969898299814453"
"Yes","2004","Bavaria","higher education","549","0.929582834733366","0.90867074251041","0.950494926956322"
"Yes","2004","Berlin","in school","26","","",""
"Yes","2004","Berlin","inadequately","5","","",""
"Yes","2004","Berlin","general elemantary","59","0.870730881663228","0.791569582542215","0.949892180784241"
"Yes","2004","Berlin","middle vocational","332","0.954946972796216","0.93302798541605","0.976865960176383"
"Yes","2004","Berlin","vocational + Abi","34","0.908846773834425","0.814825052552914","1.00286849511594"
"Yes","2004","Berlin","higher vocational","57","0.859679671956258","0.772520760438794","0.946838583473722"
"Yes","2004","Berlin","higher education","239","0.936609050445438","0.906464831609847","0.966753269281029"
"Yes","2004","Brandenburg","in school","26","","",""
"Yes","2004","Brandenburg","inadequately","3","","",""
"Yes","2004","Brandenburg","general elemantary","64","0.968338602549409","0.92609559939451","1.01058160570431"
"Yes","2004","Brandenburg","middle vocational","452","0.996762467484301","0.991531260578018","1.00199367439058"
"Yes","2004","Brandenburg","vocational + Abi","28","","",""
"Yes","2004","Brandenburg","higher vocational","75","1","1","1"
"Yes","2004","Brandenburg","higher education","255","1","1","1"
"Yes","2004","Mecklenburg-Western Pomerania","in school","14","","",""
"Yes","2004","Mecklenburg-Western Pomerania","inadequately","5","","",""
"Yes","2004","Mecklenburg-Western Pomerania","general elemantary","41","1","1","1"
"Yes","2004","Mecklenburg-Western Pomerania","middle vocational","267","0.998740657049578","0.9944946660765","1.00298664802266"
"Yes","2004","Mecklenburg-Western Pomerania","vocational + Abi","7","","",""
"Yes","2004","Mecklenburg-Western Pomerania","higher vocational","41","1","1","1"
"Yes","2004","Mecklenburg-Western Pomerania","higher education","134","1","1","1"
"Yes","2004","Saxony","in school","47","1","1","1"
"Yes","2004","Saxony","inadequately","2","","",""
