"plj0014_v3","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Yes","2003","Full Time","Couple + C. GT 16 ","1631","0.92331742734373","0.910829260149458","0.935805594538001","1"
"Yes","2003","Full Time","Couple + C. LE 16 ","2017","0.891386844423869","0.878460972841111","0.904312716006627","1"
"Yes","2003","Part Time","(Married) couple without C. ","1173","0.922543047605655","0.907788901815145","0.937297193396166","1"
"Yes","2003","Part Time","1-pers.-HH","421","0.946527956905559","0.925718773756751","0.967337140054366","1"
"Yes","2003","Full Time","Couple + C. LE and GT 16","695","0.871285165390987","0.847768603763734","0.894801727018239","1"
"Yes","2003","Not Working","Couple + C. LE and GT 16","424","0.795673481743575","0.760471863223677","0.830875100263474","1"
"Yes","2003","Not Working","Single parent ","359","0.918853447602653","0.891683400623865","0.946023494581442","1"
"Yes","2003","Part Time","Couple + C. GT 16 ","955","0.909909979813691","0.892433405232249","0.927386554395133","1"
"Yes","2003","Full Time","Single parent ","363","0.894181769918485","0.86411213073812","0.92425140909885","1"
"Yes","2003","Not Working","(Married) couple without C. ","3377","0.947433021818349","0.940114504062699","0.954751539573998","1"
"Yes","2003","Not Working","1-pers.-HH","1421","0.971303105209778","0.962756848237938","0.979849362181618","1"
"Yes","2003","Not Working","Couple + C. GT 16 ","1051","0.865320092792795","0.845874909636795","0.884765275948794","1"
"Yes","2003","Not Working","Couple + C. LE 16 ","664","0.792390296452816","0.764458492831116","0.820322100074516","1"
"Yes","2003","Part Time","Couple + C. LE 16 ","1232","0.896107889589975","0.879873737816416","0.912342041363534","1"
"Yes","2003","Part Time","Couple + C. LE and GT 16","506","0.84741372219082","0.817737130281272","0.877090314100367","1"
"Yes","2003","Part Time","Single parent ","314","0.930583827070536","0.903244543313276","0.957923110827795","1"
"No","2004","Not Working","Couple + C. GT 16 ","132","0.147689434027531","0.127648936607477","0.167729931447586","2"
"No","2004","Not Working","Couple + C. LE 16 ","130","0.1999512260133","0.171534369764331","0.228368082262269","2"
"No","2004","Not Working","Couple + C. LE and GT 16","76","0.205221862088678","0.171252847827546","0.239190876349811","2"
"No","2004","Not Working","Single parent ","30","0.0796714640981727","0.0528998436672206","0.106443084529125","2"
"No","2004","Part Time","(Married) couple without C. ","85","0.0832936858419808","0.0678574922648983","0.0987298794190633","2"
"No","2004","Full Time","(Married) couple without C. ","134","0.0755234653604323","0.0651573818986397","0.0858895488222248","2"
"No","2004","Full Time","1-pers.-HH","42","0.034327643780787","0.02313228195776","0.045523005603814","2"
"No","2004","Full Time","Couple + C. GT 16 ","110","0.0691974033424613","0.0571261340085","0.0812686726764226","2"
"No","2004","Full Time","Couple + C. LE 16 ","183","0.094165197204868","0.0814194631258503","0.106910931283886","2"
"No","2004","Full Time","Couple + C. LE and GT 16","76","0.148045464760249","0.121660942514995","0.174429987005504","2"
"No","2004","Full Time","Single parent ","32","0.117073052126801","0.0841349626683703","0.150011141585231","2"
"No","2004","Not Working","(Married) couple without C. ","186","0.0539117768656697","0.046500309895022","0.0613232438363174","2"
"No","2004","Not Working","1-pers.-HH","45","0.0306393575191101","0.0218264398764931","0.0394522751617271","2"
"No","2004","Part Time","1-pers.-HH","22","","","","2"
"No","2004","Part Time","Couple + C. GT 16 ","68","0.097493689005672","0.0793255063145411","0.115661871696803","2"
"No","2004","Part Time","Couple + C. LE 16 ","111","0.117503464185244","0.0999377096438224","0.135069218726666","2"
"No","2004","Part Time","Couple + C. LE and GT 16","61","0.15153435002412","0.121756511468288","0.181312188579951","2"
"No","2004","Part Time","Single parent ","21","","","","2"
"Yes","2004","Full Time","(Married) couple without C. ","2362","0.924476534639568","0.914110451177775","0.93484261810136","1"
"Yes","2004","Full Time","1-pers.-HH","974","0.965672356219213","0.954476994396186","0.97686771804224","1"
"Yes","2004","Full Time","Couple + C. GT 16 ","1588","0.930802596657539","0.918731327323577","0.9428738659915","1"
"Yes","2004","Full Time","Couple + C. LE 16 ","1834","0.905834802795132","0.893089068716114","0.91858053687415","1"
"Yes","2004","Not Working","Couple + C. LE and GT 16","467","0.794778137911322","0.760809123650189","0.828747152172454","1"
"Yes","2004","Not Working","Single parent ","363","0.920328535901827","0.893556915470875","0.947100156332779","1"
"Yes","2004","Part Time","(Married) couple without C. ","1146","0.916706314158019","0.901270120580937","0.932142507735102","1"
"Yes","2004","Part Time","1-pers.-HH","432","0.954497010194917","0.935326776049609","0.973667244340225","1"
"Yes","2004","Full Time","Couple + C. LE and GT 16","620","0.851954535239751","0.825570012994496","0.878339057485005","1"
"Yes","2004","Part Time","Couple + C. GT 16 ","956","0.902506310994328","0.884338128303197","0.920674493685459","1"
"Yes","2004","Full Time","Single parent ","334","0.882926947873199","0.849988858414769","0.91586503733163","1"
"Yes","2004","Not Working","(Married) couple without C. ","3381","0.94608822313433","0.938676756163683","0.953499690104978","1"
"Yes","2004","Not Working","1-pers.-HH","1424","0.96936064248089","0.960547724838273","0.978173560123507","1"
"Yes","2004","Not Working","Couple + C. GT 16 ","1072","0.852310565972469","0.832270068552414","0.872351063392523","1"
"Yes","2004","Not Working","Couple + C. LE 16 ","631","0.8000487739867","0.771631917737731","0.828465630235669","1"
"Yes","2004","Part Time","Couple + C. LE 16 ","1180","0.882496535814756","0.864930781273334","0.900062290356178","1"
"Yes","2004","Part Time","Couple + C. LE and GT 16","496","0.84846564997588","0.818687811420049","0.878243488531712","1"
"Yes","2004","Part Time","Single parent ","318","0.921327221361544","0.892667798657584","0.949986644065504","1"
"No","2005","Not Working","Couple + C. GT 16 ","115","0.131333481928019","0.111254227194168","0.151412736661871","2"
"No","2005","Not Working","Couple + C. LE 16 ","106","0.190773484871499","0.161088651350268","0.22045831839273","2"
"No","2005","Not Working","Couple + C. LE and GT 16","82","0.217456576619494","0.18279174160863","0.252121411630358","2"
"No","2005","Not Working","Single parent ","23","","","","2"
"No","2005","Part Time","(Married) couple without C. ","77","0.0836936410119922","0.0678594551321004","0.099527826891884","2"
"No","2005","Full Time","(Married) couple without C. ","119","0.0733163349065602","0.0628112722875458","0.0838213975255746","2"
"No","2005","Full Time","1-pers.-HH","46","0.0418852260798987","0.0298595724988757","0.0539108796609217","2"
"No","2005","Full Time","Couple + C. GT 16 ","103","0.0837796821572747","0.0701572248409934","0.097402139473556","2"
"No","2005","Full Time","Couple + C. LE 16 ","170","0.0990455824641575","0.0854074662115083","0.112683698716807","2"
"No","2005","Full Time","Couple + C. LE and GT 16","72","0.123811865658805","0.0985689779994474","0.149054753318163","2"
"No","2005","Full Time","Single parent ","31","0.131216134865573","0.0960937976511154","0.16633847208003","2"
"No","2005","Not Working","(Married) couple without C. ","193","0.067362300032281","0.0590867841156231","0.0756378159489389","2"
"No","2005","Not Working","1-pers.-HH","40","0.0231376752814767","0.0153726408468188","0.0309027097161345","2"
"No","2005","Part Time","1-pers.-HH","24","","","","2"
"No","2005","Part Time","Couple + C. GT 16 ","74","0.130185676269287","0.109181555203712","0.151189797334862","2"
"No","2005","Part Time","Couple + C. LE 16 ","104","0.110715417303737","0.0930428171458032","0.128388017461672","2"
"No","2005","Part Time","Couple + C. LE and GT 16","55","0.172492929078112","0.13970345067824","0.205282407477984","2"
"No","2005","Part Time","Single parent ","24","","","","2"
"Yes","2005","Full Time","(Married) couple without C. ","2246","0.92668366509344","0.916178602474425","0.937188727712454","1"
"Yes","2005","Full Time","1-pers.-HH","1020","0.958114773920101","0.946089120339078","0.970140427501124","1"
"Yes","2005","Full Time","Couple + C. GT 16 ","1486","0.916220317842725","0.902597860526444","0.929842775159007","1"
"Yes","2005","Full Time","Couple + C. LE 16 ","1673","0.900954417535843","0.887316301283193","0.914592533788492","1"
"Yes","2005","Full Time","Couple + C. LE and GT 16","582","0.876188134341195","0.850945246681837","0.901431022000553","1"
"Yes","2005","Not Working","Couple + C. LE and GT 16","462","0.782543423380506","0.747878588369642","0.81720825839137","1"
"Yes","2005","Not Working","Single parent ","373","0.950053124985988","0.928598120775864","0.971508129196111","1"
"Yes","2005","Part Time","(Married) couple without C. ","1098","0.916306358988008","0.900472173108116","0.9321405448679","1"
"Yes","2005","Part Time","1-pers.-HH","447","0.947234853188625","0.927044679846988","0.967425026530263","1"
"Yes","2005","Part Time","Couple + C. GT 16 ","912","0.869814323730713","0.848810202665138","0.890818444796288","1"
"Yes","2005","Full Time","Single parent ","324","0.868783865134427","0.83366152791997","0.903906202348885","1"
"Yes","2005","Not Working","(Married) couple without C. ","3331","0.932637699967719","0.924362184051061","0.940913215884377","1"
"Yes","2005","Not Working","1-pers.-HH","1400","0.976862324718523","0.969097290283865","0.984627359153181","1"
"Yes","2005","Not Working","Couple + C. GT 16 ","972","0.868666518071981","0.848587263338129","0.888745772805832","1"
"Yes","2005","Not Working","Couple + C. LE 16 ","567","0.809226515128501","0.77954168160727","0.838911348649732","1"
"Yes","2005","Part Time","Couple + C. LE 16 ","1107","0.889284582696263","0.871611982538328","0.906957182854197","1"
"Yes","2005","Part Time","Couple + C. LE and GT 16","455","0.827507070921888","0.794717592522016","0.86029654932176","1"
"Yes","2005","Part Time","Single parent ","336","0.909570843449017","0.879945093977401","0.939196592920634","1"
"No","2006","Not Working","Couple + C. GT 16 ","101","0.1426591496746","0.121525875116307","0.163792424232892","2"
"No","2006","Not Working","Couple + C. LE 16 ","121","0.235776473589976","0.205517957301521","0.26603498987843","2"
"No","2006","Not Working","Couple + C. LE and GT 16","78","0.258507227336445","0.216586299580972","0.300428155091918","2"
"No","2006","Not Working","Single parent ","23","","","","2"
"No","2006","Part Time","(Married) couple without C. ","72","0.0796980714156318","0.0649134331038147","0.0944827097274489","2"
"No","2006","Full Time","(Married) couple without C. ","120","0.0774122464502045","0.0671220642972544","0.0877024286031546","2"
"No","2006","Full Time","1-pers.-HH","42","0.0359337090507374","0.0252687391871046","0.0465986789143701","2"
"No","2006","Full Time","Couple + C. GT 16 ","89","0.0904150189467871","0.0765610214520365","0.104269016441538","2"
"No","2006","Full Time","Couple + C. LE 16 ","153","0.108744258767844","0.0946604443541331","0.122828073181555","2"
"No","2006","Full Time","Couple + C. LE and GT 16","69","0.145459364793105","0.117617716827395","0.173301012758815","2"
"No","2006","Full Time","Single parent ","25","","","","2"
"No","2006","Not Working","(Married) couple without C. ","210","0.0736871423801729","0.065602844037117","0.0817714407232288","2"
"No","2006","Not Working","1-pers.-HH","44","0.0300673927663595","0.0219447395280405","0.0381900460046784","2"
"No","2006","Part Time","1-pers.-HH","16","","","","2"
"No","2006","Part Time","Couple + C. GT 16 ","52","0.0856228545930851","0.068095584557179","0.103150124628991","2"
"No","2006","Part Time","Couple + C. LE 16 ","105","0.105997668240228","0.0892574545659589","0.122737881914496","2"
"No","2006","Part Time","Couple + C. LE and GT 16","45","0.141968337087084","0.110142890385765","0.173793783788403","2"
"No","2006","Part Time","Single parent ","30","0.0884863457276003","0.0603722074257196","0.116600484029481","2"
"Yes","2006","Full Time","(Married) couple without C. ","2471","0.922587753549795","0.912297571396845","0.932877935702746","1"
"Yes","2006","Full Time","1-pers.-HH","1128","0.964066290949263","0.95340132108563","0.974731260812895","1"
"Yes","2006","Full Time","Couple + C. GT 16 ","1557","0.909584981053213","0.895730983558462","0.923438978547964","1"
"Yes","2006","Full Time","Couple + C. LE 16 ","1724","0.891255741232156","0.877171926818445","0.905339555645867","1"
"Yes","2006","Full Time","Couple + C. LE and GT 16","547","0.854540635206895","0.826698987241185","0.882382283172605","1"
"Yes","2006","Part Time","(Married) couple without C. ","1217","0.920301928584368","0.905517290272551","0.935086566896185","1"
"Yes","2006","Not Working","Couple + C. LE and GT 16","341","0.741492772663555","0.699571844908082","0.783413700419028","1"
"Yes","2006","Not Working","Single parent ","384","0.945459540960104","0.923398207695428","0.96752087422478","1"
"Yes","2006","Part Time","1-pers.-HH","472","0.965835675208743","0.949718971477798","0.981952378939688","1"
"Yes","2006","Part Time","Couple + C. GT 16 ","927","0.914377145406915","0.896849875371009","0.931904415442821","1"
"Yes","2006","Full Time","Single parent ","347","0.907419554002159","0.877965822587509","0.936873285416809","1"
"Yes","2006","Not Working","(Married) couple without C. ","3802","0.926312857619827","0.918228559276771","0.934397155962883","1"
"Yes","2006","Not Working","1-pers.-HH","1654","0.96993260723364","0.961809953995322","0.978055260471959","1"
"Yes","2006","Not Working","Couple + C. GT 16 ","951","0.8573408503254","0.836207575767108","0.878474124883692","1"
"Yes","2006","Not Working","Couple + C. LE 16 ","635","0.764223526410024","0.73396501012157","0.794482042698479","1"
"Yes","2006","Part Time","Couple + C. LE 16 ","1194","0.894002331759773","0.877262118085504","0.910742545434041","1"
"Yes","2006","Part Time","Couple + C. LE and GT 16","417","0.858031662912916","0.826206216211597","0.889857109614235","1"
"Yes","2006","Part Time","Single parent ","362","0.9115136542724","0.883399515970519","0.93962779257428","1"
"No","2007","Full Time","(Married) couple without C. ","109","0.0739013037533592","0.0634152280324581","0.0843873794742603","2"
"No","2007","Full Time","1-pers.-HH","34","0.0315220706205973","0.0211351801545413","0.0419089610866534","2"
"No","2007","Full Time","Couple + C. GT 16 ","82","0.0933085850971605","0.0791008220067323","0.107516348187589","2"
"No","2007","Not Working","Couple + C. GT 16 ","87","0.150026352401004","0.128003482669226","0.172049222132782","2"
"No","2007","Not Working","Couple + C. LE 16 ","94","0.23321999419444","0.200483108929009","0.265956879459871","2"
"No","2007","Not Working","Couple + C. LE and GT 16","57","0.174668080954444","0.135227419745513","0.214108742163375","2"
"No","2007","Not Working","Single parent ","22","","","","2"
"No","2007","Part Time","(Married) couple without C. ","81","0.112593779915302","0.0947980742137035","0.130389485616901","2"
"No","2007","Full Time","Couple + C. LE 16 ","143","0.110697275230503","0.0959971056874069","0.125397444773598","2"
"No","2007","Full Time","Couple + C. LE and GT 16","47","0.102790837324714","0.0777278640509118","0.127853810598516","2"
"No","2007","Full Time","Single parent ","15","","","","2"
"No","2007","Not Working","(Married) couple without C. ","174","0.0696998041939349","0.061586460712975","0.0778131476748949","2"
"No","2007","Not Working","1-pers.-HH","51","0.0398338250239348","0.030280944197519","0.0493867058503506","2"
"No","2007","Part Time","1-pers.-HH","15","","","","2"
"No","2007","Part Time","Couple + C. GT 16 ","50","0.0858995762335416","0.0678220206178989","0.103977131849184","2"
"No","2007","Part Time","Couple + C. LE 16 ","100","0.131828368037049","0.112703295521203","0.150953440552895","2"
"No","2007","Part Time","Couple + C. LE and GT 16","45","0.18649242082576","0.14941781368863","0.223567027962889","2"
"No","2007","Part Time","Single parent ","20","","","","2"
"Yes","2007","Full Time","(Married) couple without C. ","2282","0.926098696246641","0.91561262052574","0.936584771967542","1"
"Yes","2007","Full Time","1-pers.-HH","1053","0.968477929379403","0.958091038913347","0.978864819845459","1"
"Yes","2007","Full Time","Couple + C. GT 16 ","1528","0.90669141490284","0.892483651812411","0.920899177993268","1"
"Yes","2007","Full Time","Couple + C. LE 16 ","1607","0.889302724769497","0.874602555226402","0.904002894312593","1"
"Yes","2007","Full Time","Couple + C. LE and GT 16","517","0.897209162675286","0.872146189401484","0.922272135949088","1"
"Yes","2007","Not Working","Couple + C. LE and GT 16","299","0.825331919045556","0.785891257836625","0.864772580254487","1"
"Yes","2007","Not Working","Single parent ","359","0.929436612527735","0.90372169107875","0.95515153397672","1"
"Yes","2007","Part Time","(Married) couple without C. ","1131","0.887406220084698","0.869610514383099","0.905201925786297","1"
"Yes","2007","Part Time","1-pers.-HH","467","0.950942042894964","0.931659854318771","0.970224231471157","1"
"Yes","2007","Part Time","Couple + C. GT 16 ","873","0.914100423766458","0.896022868150816","0.932177979382101","1"
"Yes","2007","Full Time","Single parent ","322","0.945168239472095","0.92086278223107","0.96947369671312","1"
"Yes","2007","Not Working","(Married) couple without C. ","3610","0.930300195806065","0.922186852325105","0.938413539287025","1"
"Yes","2007","Not Working","1-pers.-HH","1559","0.960166174976065","0.950613294149649","0.969719055802481","1"
"Yes","2007","Not Working","Couple + C. GT 16 ","923","0.849973647598996","0.827950777867218","0.871996517330774","1"
"Yes","2007","Not Working","Couple + C. LE 16 ","547","0.76678000580556","0.734043120540129","0.799516891070991","1"
"Yes","2007","Part Time","Couple + C. LE 16 ","1102","0.868171631962951","0.849046559447105","0.887296704478797","1"
"Yes","2007","Part Time","Couple + C. LE and GT 16","379","0.81350757917424","0.77643297203711","0.85058218631137","1"
"Yes","2007","Part Time","Single parent ","361","0.93519579412772","0.910476362991272","0.959915225264167","1"
"No","2008","Full Time","(Married) couple without C. ","96","0.0720214357833752","0.0615512471683418","0.0824916243984086","2"
"No","2008","Full Time","1-pers.-HH","27","","","","2"
"No","2008","Full Time","Couple + C. GT 16 ","79","0.0861318875116562","0.0720875661712791","0.100176208852033","2"
"No","2008","Not Working","Couple + C. GT 16 ","71","0.124191457178339","0.103029408010031","0.145353506346647","2"
"No","2008","Not Working","Couple + C. LE 16 ","77","0.257346271711489","0.218950310623364","0.295742232799614","2"
"No","2008","Not Working","Couple + C. LE and GT 16","43","0.146943087632888","0.107143838093557","0.186742337172219","2"
"No","2008","Not Working","Single parent ","28","","","","2"
"No","2008","Part Time","(Married) couple without C. ","66","0.107111905828167","0.0886850240285426","0.12553878762779","2"
"No","2008","Full Time","Couple + C. LE 16 ","115","0.112693070946819","0.0970762239517935","0.128309917941845","2"
"No","2008","Full Time","Couple + C. LE and GT 16","48","0.126486880676696","0.0981881071540358","0.154785654199357","2"
"No","2008","Full Time","Single parent ","19","","","","2"
"No","2008","Not Working","(Married) couple without C. ","171","0.0760214538063708","0.0674363162984552","0.0846065913142864","2"
"No","2008","Not Working","1-pers.-HH","48","0.0441409547234483","0.0339051799204176","0.0543767295264791","2"
"No","2008","Part Time","1-pers.-HH","10","","","","2"
"No","2008","Part Time","Couple + C. GT 16 ","52","0.129417576281225","0.107572879237807","0.151262273324644","2"
"No","2008","Part Time","Couple + C. LE 16 ","101","0.148928668499264","0.128280231965981","0.169577105032547","2"
"No","2008","Part Time","Couple + C. LE and GT 16","31","0.1132466012988","0.0814683182532299","0.14502488434437","2"
"No","2008","Part Time","Single parent ","13","","","","2"
"Yes","2008","Full Time","(Married) couple without C. ","2246","0.927978564216625","0.917508375601591","0.938448752831658","1"
"Yes","2008","Full Time","1-pers.-HH","1028","0.974656800124772","0.965173086219189","0.984140514030355","1"
"Yes","2008","Full Time","Couple + C. GT 16 ","1454","0.913868112488344","0.899823791147967","0.927912433828721","1"
"Yes","2008","Full Time","Couple + C. LE 16 ","1460","0.887306929053181","0.871690082058155","0.902923776048207","1"
"Yes","2008","Full Time","Couple + C. LE and GT 16","482","0.873513119323303","0.845214345800643","0.901811892845964","1"
"Yes","2008","Not Working","Couple + C. LE and GT 16","261","0.853056912367112","0.813257662827781","0.892856161906443","1"
"Yes","2008","Not Working","Single parent ","352","0.911110843932685","0.882497653058994","0.939724034806377","1"
"Yes","2008","Part Time","(Married) couple without C. ","1016","0.892888094171833","0.87446121237221","0.911314975971457","1"
"Yes","2008","Part Time","1-pers.-HH","446","0.966026332884471","0.949398664070401","0.982654001698541","1"
"Yes","2008","Part Time","Couple + C. GT 16 ","855","0.870582423718775","0.848737726675356","0.892427120762193","1"
"Yes","2008","Full Time","Single parent ","325","0.898773743408314","0.866899444109075","0.930648042707553","1"
"Yes","2008","Not Working","(Married) couple without C. ","3490","0.923978546193629","0.915393408685714","0.932563683701545","1"
"Yes","2008","Not Working","1-pers.-HH","1499","0.955859045276552","0.945623270473521","0.966094820079582","1"
"Yes","2008","Not Working","Couple + C. GT 16 ","862","0.875808542821661","0.854646493653353","0.896970591989969","1"
"Yes","2008","Not Working","Couple + C. LE 16 ","421","0.742653728288511","0.704257767200386","0.781049689376636","1"
"Yes","2008","Part Time","Couple + C. LE 16 ","1041","0.851071331500736","0.830422894967453","0.871719768034019","1"
"Yes","2008","Part Time","Couple + C. LE and GT 16","351","0.8867533987012","0.85497511565563","0.91853168174677","1"
"Yes","2008","Part Time","Single parent ","353","0.939239235126093","0.914765104281706","0.963713365970481","1"
"No","2009","Full Time","(Married) couple without C. ","79","0.0688605096790215","0.0582722264004","0.0794487929576429","2"
"No","2009","Full Time","1-pers.-HH","22","","","","2"
"No","2009","Full Time","Couple + C. GT 16 ","68","0.105320251429824","0.0895258150831427","0.121114687776506","2"
"No","2009","Not Working","Couple + C. GT 16 ","68","0.140978071085112","0.117444580121181","0.164511562049042","2"
"No","2009","Not Working","Couple + C. LE 16 ","53","0.208022049146265","0.169613254755327","0.246430843537202","2"
"No","2009","Not Working","Couple + C. LE and GT 16","41","0.150461668274829","0.110139020182741","0.190784316366916","2"
"No","2009","Not Working","Single parent ","20","","","","2"
"No","2009","Part Time","(Married) couple without C. ","53","0.100163351747003","0.0823570784521905","0.117969625041815","2"
"No","2009","Full Time","Couple + C. LE 16 ","90","0.100332382633174","0.0846504298486143","0.116014335417734","2"
"No","2009","Full Time","Couple + C. LE and GT 16","46","0.147309384454051","0.115992648637639","0.178626120270462","2"
"No","2009","Not Working","(Married) couple without C. ","148","0.0766379291150935","0.0676857643840906","0.0855900938460964","2"
"No","2009","Not Working","1-pers.-HH","43","0.0455375022236915","0.0348800483693063","0.0561949560780768","2"
"No","2009","Full Time","Single parent ","14","","","","2"
"No","2009","Part Time","1-pers.-HH","12","","","","2"
"No","2009","Part Time","Couple + C. GT 16 ","57","0.125242516649418","0.103298703285879","0.147186330012957","2"
"No","2009","Part Time","Couple + C. LE 16 ","81","0.148079067316042","0.126292856596116","0.169865278035969","2"
"No","2009","Part Time","Couple + C. LE and GT 16","46","0.207067507721014","0.166696769230909","0.247438246211118","2"
"No","2009","Part Time","Single parent ","19","","","","2"
"Yes","2009","Full Time","(Married) couple without C. ","2118","0.931139490320978","0.920551207042357","0.9417277735996","1"
"Yes","2009","Full Time","1-pers.-HH","976","0.969028553860322","0.958280450117894","0.97977665760275","1"
"Yes","2009","Full Time","Couple + C. GT 16 ","1383","0.894679748570176","0.878885312223494","0.910474184916857","1"
"Yes","2009","Full Time","Couple + C. LE 16 ","1320","0.899667617366826","0.883985664582266","0.915349570151386","1"
"Yes","2009","Full Time","Couple + C. LE and GT 16","446","0.852690615545949","0.821373879729538","0.884007351362361","1"
"Yes","2009","Not Working","Couple + C. LE and GT 16","261","0.849538331725171","0.809215683633084","0.889860979817258","1"
"Yes","2009","Not Working","Single parent ","273","0.888957894792952","0.852983067317045","0.924932722268859","1"
"Yes","2009","Part Time","(Married) couple without C. ","1039","0.899836648252997","0.882030374958185","0.917642921547809","1"
"Yes","2009","Part Time","1-pers.-HH","430","0.946509900598223","0.925533245410622","0.967486555785824","1"
"Yes","2009","Part Time","Couple + C. GT 16 ","817","0.874757483350582","0.852813669987043","0.896701296714121","1"
"Yes","2009","Part Time","Couple + C. LE 16 ","940","0.851920932683958","0.830134721964031","0.873707143403884","1"
"Yes","2009","Part Time","Couple + C. LE and GT 16","341","0.792932492278986","0.752561753788882","0.833303230769091","1"
"Yes","2009","Part Time","Single parent ","326","0.944671225713083","0.92054694286936","0.968795508556807","1"
"Yes","2009","Full Time","Single parent ","344","0.94433295265207","0.920582699491546","0.968083205812593","1"
"Yes","2009","Not Working","(Married) couple without C. ","3244","0.923362070884907","0.914409906153904","0.932314235615909","1"
"Yes","2009","Not Working","1-pers.-HH","1427","0.954462497776309","0.943805043921923","0.965119951630694","1"
"Yes","2009","Not Working","Couple + C. GT 16 ","772","0.859021928914888","0.835488437950958","0.882555419878819","1"
"Yes","2009","Not Working","Couple + C. LE 16 ","376","0.791977950853736","0.753569156462798","0.830386745244673","1"
"No","2010","Full Time","(Married) couple without C. ","61","0.0514041626807205","0.0419416384881435","0.0608666868732975","2"
"No","2010","Full Time","1-pers.-HH","12","","","","2"
"No","2010","Full Time","Couple + C. GT 16 ","58","0.0892313946585222","0.0739162208575161","0.104546568459528","2"
"No","2010","Not Working","Couple + C. GT 16 ","58","0.165790585982187","0.139280894723667","0.192300277240706","2"
"No","2010","Not Working","Couple + C. LE 16 ","345","0.290622070894405","0.269354976896664","0.311889164892146","2"
"No","2010","Not Working","Couple + C. LE and GT 16","67","0.170049186204894","0.136615006052896","0.203483366356892","2"
"No","2010","Not Working","Single parent ","47","0.0954093086330499","0.0735994357891829","0.117219181476917","2"
"No","2010","Part Time","(Married) couple without C. ","51","0.101685851437497","0.0834827874535035","0.11988891542149","2"
"No","2010","Full Time","Couple + C. LE 16 ","284","0.111502298620527","0.101085116122657","0.121919481118397","2"
"No","2010","Full Time","Couple + C. LE and GT 16","60","0.171506008760022","0.142071135652724","0.200940881867321","2"
"No","2010","Full Time","Single parent ","19","","","","2"
"No","2010","Not Working","(Married) couple without C. ","141","0.0765439789582753","0.0673135754845468","0.0857743824320039","2"
"No","2010","Not Working","1-pers.-HH","35","0.0416277290425622","0.0311538303898361","0.0521016276952883","2"
"No","2010","Part Time","1-pers.-HH","10","","","","2"
"No","2010","Part Time","Couple + C. GT 16 ","39","0.132803313095111","0.109331124920584","0.156275501269639","2"
"No","2010","Part Time","Couple + C. LE 16 ","230","0.168470506251177","0.153877450572626","0.183063561929727","2"
"No","2010","Part Time","Couple + C. LE and GT 16","49","0.147271441166332","0.116424735903338","0.178118146429325","2"
"No","2010","Part Time","Single parent ","43","0.118045185364109","0.0974074232653442","0.138682947462873","2"
"Yes","2010","Full Time","(Married) couple without C. ","2031","0.94859583731928","0.939133313126703","0.958058361511857","1"
"Yes","2010","Full Time","1-pers.-HH","922","0.989937615664129","0.983536892898562","0.996338338429696","1"
"Yes","2010","Full Time","Couple + C. GT 16 ","1273","0.910768605341478","0.895453431540472","0.926083779142484","1"
"Yes","2010","Full Time","Couple + C. LE 16 ","3223","0.888497701379473","0.878080518881603","0.898914883877343","1"
"Yes","2010","Full Time","Couple + C. LE and GT 16","570","0.828493991239978","0.799059118132679","0.857928864347276","1"
"Yes","2010","Not Working","Couple + C. LE and GT 16","418","0.829950813795106","0.796516633643108","0.863384993947105","1"
"Yes","2010","Not Working","Single parent ","650","0.90459069136695","0.882780818523083","0.926400564210817","1"
"Yes","2010","Part Time","(Married) couple without C. ","1008","0.898314148562503","0.880111084578511","0.916517212546496","1"
"Yes","2010","Part Time","1-pers.-HH","416","0.947578218631683","0.926413781956233","0.968742655307133","1"
"Yes","2010","Part Time","Couple + C. GT 16 ","764","0.867196686904889","0.843724498730361","0.890668875079416","1"
"Yes","2010","Part Time","Couple + C. LE 16 ","2297","0.831529493748823","0.816936438070273","0.846122549427374","1"
"Yes","2010","Part Time","Couple + C. LE and GT 16","458","0.852728558833668","0.821881853570675","0.883575264096662","1"
"Yes","2010","Part Time","Single parent ","896","0.881954814635891","0.861317052537127","0.902592576734656","1"
"Yes","2010","Full Time","Single parent ","627","0.950032737032845","0.93323139790652","0.96683407615917","1"
"Yes","2010","Not Working","(Married) couple without C. ","3046","0.923456021041725","0.914225617567996","0.932686424515453","1"
"Yes","2010","Not Working","1-pers.-HH","1362","0.958372270957438","0.947898372304712","0.968846169610164","1"
"Yes","2010","Not Working","Couple + C. GT 16 ","698","0.834209414017813","0.807699722759294","0.860719105276333","1"
"Yes","2010","Not Working","Couple + C. LE 16 ","1406","0.709377929105595","0.688110835107854","0.730645023103336","1"
"No","2011","Full Time","(Married) couple without C. ","76","0.0482377868007065","0.0399858455937289","0.056489728007684","2"
"No","2011","Full Time","1-pers.-HH","35","0.0391583965425528","0.027913296448929","0.0504034966361767","2"
"No","2011","Full Time","Couple + C. GT 16 ","48","0.0615734318533188","0.049234824148241","0.0739120395583965","2"
"No","2011","Not Working","Couple + C. GT 16 ","59","0.13359006275462","0.11069198877287","0.156488136736371","2"
"No","2011","Not Working","Couple + C. LE 16 ","69","0.192247945047232","0.160716610331031","0.223779279763433","2"
"No","2011","Not Working","Couple + C. LE and GT 16","55","0.180492754286517","0.140428898399049","0.220556610173985","2"
"No","2011","Not Working","Single parent ","29","","","","2"
