"plj0014_v3","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"No","2001","Brandenburg","direct migration background","","","",""
"No","2001","Brandenburg","indirect migration background","","","",""
"No","2001","Mecklenburg-Western Pomerania","no migration background","","","",""
"No","2001","Mecklenburg-Western Pomerania","direct migration background","2","","",""
"No","2001","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"No","2001","Saxony","no migration background","","","",""
"No","2001","Saxony","direct migration background","3","","",""
"No","2001","Saxony","indirect migration background","","","",""
"No","2001","Saxony-Anhalt","no migration background","","","",""
"No","2001","Saxony-Anhalt","direct migration background","","","",""
"No","2001","Saxony-Anhalt","indirect migration background","","","",""
"No","2001","Thuringia","no migration background","","","",""
"No","2001","Thuringia","direct migration background","2","","",""
"No","2001","Thuringia","indirect migration background","","","",""
"Yes","2002","Schleswig-Holstein","no migration background","643","1","1","1"
"Yes","2002","Schleswig-Holstein","direct migration background","41","0.565134594308562","0.449823181471657","0.680446007145467"
"Yes","2002","Schleswig-Holstein","indirect migration background","8","","",""
"Yes","2002","Hamburg","no migration background","298","1","1","1"
"Yes","2002","Hamburg","direct migration background","8","","",""
"Yes","2002","Hamburg","indirect migration background","5","","",""
"Yes","2002","Lower Saxony","no migration background","1721","1","1","1"
"Yes","2002","Lower Saxony","direct migration background","123","0.535579331851985","0.46844451096312","0.602714152740849"
"Yes","2002","Lower Saxony","indirect migration background","28","","",""
"Yes","2002","Bremen","no migration background","148","1","1","1"
"Yes","2002","Bremen","direct migration background","12","","",""
"Yes","2002","Bremen","indirect migration background","4","","",""
"Yes","2002","North Rhine-Westphalia","no migration background","3892","0.99915163289822","0.998237187606528","1.00006607818991"
"Yes","2002","North Rhine-Westphalia","direct migration background","379","0.500665272071088","0.465303249182788","0.536027294959389"
"Yes","2002","North Rhine-Westphalia","indirect migration background","116","0.493891229486205","0.429417960648459","0.558364498323951"
"Yes","2002","Hesse","no migration background","1281","0.996381032544219","0.993093961103792","0.999668103984647"
"Yes","2002","Hesse","direct migration background","109","0.390285757806514","0.334334328292986","0.446237187320042"
"Yes","2002","Hesse","indirect migration background","27","","",""
"Yes","2002","Rhineland-Palatinate,Saarland","no migration background","1131","1","1","1"
"Yes","2002","Rhineland-Palatinate,Saarland","direct migration background","126","0.531757776073623","0.464902849528396","0.598612702618849"
"Yes","2002","Rhineland-Palatinate,Saarland","indirect migration background","22","","",""
"Yes","2002","Baden-Württemberg","no migration background","1979","0.999480348213885","0.998477027894238","1.00048366853353"
"Yes","2002","Baden-Württemberg","direct migration background","212","0.408996327628729","0.370696128669803","0.447296526587656"
"Yes","2002","Baden-Württemberg","indirect migration background","84","0.51784670173444","0.449611628960099","0.586081774508781"
"Yes","2002","Bavaria","no migration background","2761","0.997878932133923","0.996163498749899","0.999594365517947"
"Yes","2002","Bavaria","direct migration background","171","0.417467951427999","0.369380817786229","0.465555085069769"
"Yes","2002","Bavaria","indirect migration background","63","0.603540869579801","0.510419852113896","0.696661887045706"
"Yes","2002","Berlin","no migration background","726","0.998223748134165","0.995162862465289","1.00128463380304"
"Yes","2002","Berlin","direct migration background","30","0.357237121474635","0.24655294784824","0.467921295101031"
"Yes","2002","Berlin","indirect migration background","27","","",""
"Yes","2002","Brandenburg","no migration background","955","0.998043979683931","0.99524318892296","1.0008447704449"
"Yes","2002","Brandenburg","direct migration background","12","","",""
"Yes","2002","Brandenburg","indirect migration background","2","","",""
"Yes","2002","Mecklenburg-Western Pomerania","no migration background","502","1","1","1"
"Yes","2002","Mecklenburg-Western Pomerania","direct migration background","16","","",""
"Yes","2002","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Yes","2002","Saxony","no migration background","1622","1","1","1"
"Yes","2002","Saxony","direct migration background","26","","",""
"Yes","2002","Saxony","indirect migration background","6","","",""
"Yes","2002","Saxony-Anhalt","no migration background","936","1","1","1"
"Yes","2002","Saxony-Anhalt","direct migration background","31","0.910071867216416","0.810952451214629","1.0091912832182"
"Yes","2002","Saxony-Anhalt","indirect migration background","6","","",""
"Yes","2002","Thuringia","no migration background","948","1","1","1"
"Yes","2002","Thuringia","direct migration background","16","","",""
"Yes","2002","Thuringia","indirect migration background","4","","",""
"No","2002","Schleswig-Holstein","no migration background","","","",""
"No","2002","Schleswig-Holstein","direct migration background","30","0.434865405691438","0.319553992854533","0.550176818528343"
"No","2002","Schleswig-Holstein","indirect migration background","5","","",""
"No","2002","Hamburg","no migration background","","","",""
"No","2002","Hamburg","direct migration background","15","","",""
"No","2002","Hamburg","indirect migration background","3","","",""
"No","2002","Lower Saxony","no migration background","","","",""
"No","2002","Lower Saxony","direct migration background","89","0.464420668148015","0.397285847259151","0.53155548903688"
"No","2002","Lower Saxony","indirect migration background","27","","",""
"No","2002","Bremen","no migration background","","","",""
"No","2002","Bremen","direct migration background","9","","",""
"No","2002","Bremen","indirect migration background","","","",""
"No","2002","North Rhine-Westphalia","no migration background","2","","",""
"No","2002","North Rhine-Westphalia","direct migration background","389","0.499334727928912","0.463972705040611","0.534696750817212"
"No","2002","North Rhine-Westphalia","indirect migration background","115","0.506108770513795","0.44163550167605","0.570582039351541"
"No","2002","Hesse","no migration background","1","","",""
"No","2002","Hesse","direct migration background","183","0.609714242193486","0.553762812679958","0.665665671707014"
"No","2002","Hesse","indirect migration background","45","0.571115517376875","0.45679768274028","0.68543335201347"
"No","2002","Rhineland-Palatinate,Saarland","no migration background","","","",""
"No","2002","Rhineland-Palatinate,Saarland","direct migration background","88","0.468242223926377","0.40138729738115","0.535097150471604"
"No","2002","Rhineland-Palatinate,Saarland","indirect migration background","14","","",""
"No","2002","Baden-Württemberg","no migration background","3","","",""
"No","2002","Baden-Württemberg","direct migration background","421","0.591003672371271","0.552703473412344","0.629303871330197"
"No","2002","Baden-Württemberg","indirect migration background","122","0.48215329826556","0.413918225491219","0.550388371039901"
"No","2002","Bavaria","no migration background","2","","",""
"No","2002","Bavaria","direct migration background","233","0.582532048572001","0.534444914930231","0.630619182213771"
"No","2002","Bavaria","indirect migration background","43","0.396459130420199","0.303338112954294","0.489580147886104"
"No","2002","Berlin","no migration background","1","","",""
"No","2002","Berlin","direct migration background","42","0.642762878525365","0.532078704898969","0.753447052151761"
"No","2002","Berlin","indirect migration background","8","","",""
"No","2002","Brandenburg","no migration background","1","","",""
"No","2002","Brandenburg","direct migration background","","","",""
"No","2002","Brandenburg","indirect migration background","","","",""
"No","2002","Mecklenburg-Western Pomerania","no migration background","","","",""
"No","2002","Mecklenburg-Western Pomerania","direct migration background","1","","",""
"No","2002","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"No","2002","Saxony","no migration background","","","",""
"No","2002","Saxony","direct migration background","4","","",""
"No","2002","Saxony","indirect migration background","","","",""
"No","2002","Saxony-Anhalt","no migration background","","","",""
"No","2002","Saxony-Anhalt","direct migration background","1","","",""
"No","2002","Saxony-Anhalt","indirect migration background","","","",""
"No","2002","Thuringia","no migration background","","","",""
"No","2002","Thuringia","direct migration background","3","","",""
"No","2002","Thuringia","indirect migration background","","","",""
"Yes","2003","Schleswig-Holstein","no migration background","596","0.997541657483617","0.993569306246513","1.00151400872072"
"Yes","2003","Schleswig-Holstein","direct migration background","38","0.501044270117418","0.381320675760636","0.6207678644742"
"Yes","2003","Schleswig-Holstein","indirect migration background","7","","",""
"Yes","2003","Hamburg","no migration background","267","1","1","1"
"Yes","2003","Hamburg","direct migration background","8","","",""
"Yes","2003","Hamburg","indirect migration background","5","","",""
"Yes","2003","Lower Saxony","no migration background","1661","1","1","1"
"Yes","2003","Lower Saxony","direct migration background","119","0.515077360817265","0.446994878921782","0.583159842712748"
"Yes","2003","Lower Saxony","indirect migration background","24","","",""
"Yes","2003","Bremen","no migration background","146","1","1","1"
"Yes","2003","Bremen","direct migration background","13","","",""
"Yes","2003","Bremen","indirect migration background","4","","",""
"Yes","2003","North Rhine-Westphalia","no migration background","3750","0.999111083782301","0.998157510708189","1.00006465685641"
"Yes","2003","North Rhine-Westphalia","direct migration background","359","0.499261989212683","0.462638382543191","0.535885595882175"
"Yes","2003","North Rhine-Westphalia","indirect migration background","120","0.48018668603376","0.415336769098902","0.545036602968618"
"Yes","2003","Hesse","no migration background","1188","1","1","1"
"Yes","2003","Hesse","direct migration background","102","0.415319427932012","0.354235276959576","0.476403578904447"
"Yes","2003","Hesse","indirect migration background","32","0.546430063434018","0.427223515151235","0.665636611716801"
"Yes","2003","Rhineland-Palatinate,Saarland","no migration background","1116","0.994665397182769","0.990395506669879","0.99893528769566"
"Yes","2003","Rhineland-Palatinate,Saarland","direct migration background","119","0.519026586664308","0.448899447368852","0.589153725959764"
"Yes","2003","Rhineland-Palatinate,Saarland","indirect migration background","27","","",""
"Yes","2003","Baden-Württemberg","no migration background","1911","0.999373161402214","0.998251869126123","1.0004944536783"
"Yes","2003","Baden-Württemberg","direct migration background","218","0.44446502285405","0.404538259381707","0.484391786326392"
"Yes","2003","Baden-Württemberg","indirect migration background","85","0.47149397351353","0.401962963044745","0.541024983982315"
"Yes","2003","Bavaria","no migration background","2619","0.997680367785437","0.995839014901869","0.999521720669006"
"Yes","2003","Bavaria","direct migration background","174","0.412261110463895","0.363961898877756","0.460560322050033"
"Yes","2003","Bavaria","indirect migration background","80","0.65123471853525","0.567351971589196","0.735117465481303"
"Yes","2003","Berlin","no migration background","726","1","1","1"
"Yes","2003","Berlin","direct migration background","30","0.35694335904194","0.243899281936981","0.469987436146899"
"Yes","2003","Berlin","indirect migration background","27","","",""
"Yes","2003","Brandenburg","no migration background","931","0.997394374084612","0.994121497534222","1.000667250635"
"Yes","2003","Brandenburg","direct migration background","12","","",""
"Yes","2003","Brandenburg","indirect migration background","3","","",""
"Yes","2003","Mecklenburg-Western Pomerania","no migration background","510","1","1","1"
"Yes","2003","Mecklenburg-Western Pomerania","direct migration background","15","","",""
"Yes","2003","Mecklenburg-Western Pomerania","indirect migration background","2","","",""
"Yes","2003","Saxony","no migration background","1587","1","1","1"
"Yes","2003","Saxony","direct migration background","24","","",""
"Yes","2003","Saxony","indirect migration background","6","","",""
"Yes","2003","Saxony-Anhalt","no migration background","906","1","1","1"
"Yes","2003","Saxony-Anhalt","direct migration background","26","","",""
"Yes","2003","Saxony-Anhalt","indirect migration background","6","","",""
"Yes","2003","Thuringia","no migration background","936","1","1","1"
"Yes","2003","Thuringia","direct migration background","15","","",""
"Yes","2003","Thuringia","indirect migration background","6","","",""
"No","2003","Schleswig-Holstein","no migration background","1","","",""
"No","2003","Schleswig-Holstein","direct migration background","29","","",""
"No","2003","Schleswig-Holstein","indirect migration background","4","","",""
"No","2003","Hamburg","no migration background","","","",""
"No","2003","Hamburg","direct migration background","15","","",""
"No","2003","Hamburg","indirect migration background","3","","",""
"No","2003","Lower Saxony","no migration background","","","",""
"No","2003","Lower Saxony","direct migration background","88","0.484922639182735","0.416840157287252","0.553005121078219"
"No","2003","Lower Saxony","indirect migration background","24","","",""
"No","2003","Bremen","no migration background","","","",""
"No","2003","Bremen","direct migration background","11","","",""
"No","2003","Bremen","indirect migration background","","","",""
"No","2003","North Rhine-Westphalia","no migration background","2","","",""
"No","2003","North Rhine-Westphalia","direct migration background","357","0.500738010787317","0.464114404117825","0.537361617456809"
"No","2003","North Rhine-Westphalia","indirect migration background","108","0.51981331396624","0.454963397031382","0.584663230901098"
"No","2003","Hesse","no migration background","","","",""
"No","2003","Hesse","direct migration background","148","0.584680572067988","0.523596421095553","0.645764723040424"
"No","2003","Hesse","indirect migration background","35","0.453569936565982","0.334363388283199","0.572776484848765"
"No","2003","Rhineland-Palatinate,Saarland","no migration background","2","","",""
"No","2003","Rhineland-Palatinate,Saarland","direct migration background","76","0.480973413335692","0.410846274040236","0.551100552631148"
"No","2003","Rhineland-Palatinate,Saarland","indirect migration background","15","","",""
"No","2003","Baden-Württemberg","no migration background","3","","",""
"No","2003","Baden-Württemberg","direct migration background","377","0.55553497714595","0.515608213673608","0.595461740618292"
"No","2003","Baden-Württemberg","indirect migration background","113","0.52850602648647","0.458975016017685","0.598037036955255"
"No","2003","Bavaria","no migration background","3","","",""
"No","2003","Bavaria","direct migration background","225","0.587738889536106","0.539439677949967","0.636038101122244"
"No","2003","Bavaria","indirect migration background","44","0.34876528146475","0.264882534518697","0.432648028410804"
"No","2003","Berlin","no migration background","","","",""
"No","2003","Berlin","direct migration background","39","0.64305664095806","0.530012563853101","0.756100718063019"
"No","2003","Berlin","indirect migration background","9","","",""
"No","2003","Brandenburg","no migration background","1","","",""
"No","2003","Brandenburg","direct migration background","2","","",""
"No","2003","Brandenburg","indirect migration background","","","",""
"No","2003","Mecklenburg-Western Pomerania","no migration background","","","",""
"No","2003","Mecklenburg-Western Pomerania","direct migration background","1","","",""
"No","2003","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"No","2003","Saxony","no migration background","","","",""
"No","2003","Saxony","direct migration background","4","","",""
"No","2003","Saxony","indirect migration background","1","","",""
"No","2003","Saxony-Anhalt","no migration background","","","",""
"No","2003","Saxony-Anhalt","direct migration background","","","",""
"No","2003","Saxony-Anhalt","indirect migration background","","","",""
"No","2003","Thuringia","no migration background","","","",""
"No","2003","Thuringia","direct migration background","1","","",""
"No","2003","Thuringia","indirect migration background","","","",""
"Yes","2004","Schleswig-Holstein","no migration background","599","1","1","1"
"Yes","2004","Schleswig-Holstein","direct migration background","36","0.459823896557961","0.339586496764644","0.580061296351277"
"Yes","2004","Schleswig-Holstein","indirect migration background","8","","",""
"Yes","2004","Hamburg","no migration background","267","1","1","1"
"Yes","2004","Hamburg","direct migration background","8","","",""
"Yes","2004","Hamburg","indirect migration background","5","","",""
"Yes","2004","Lower Saxony","no migration background","1634","1","1","1"
"Yes","2004","Lower Saxony","direct migration background","125","0.540861422759477","0.473139182104369","0.608583663414585"
"Yes","2004","Lower Saxony","indirect migration background","30","0.701825593738491","0.577489791272507","0.826161396204476"
"Yes","2004","Bremen","no migration background","142","1","1","1"
"Yes","2004","Bremen","direct migration background","12","","",""
"Yes","2004","Bremen","indirect migration background","3","","",""
"Yes","2004","North Rhine-Westphalia","no migration background","3646","0.999557254141445","0.998874504782912","1.00024000349998"
"Yes","2004","North Rhine-Westphalia","direct migration background","366","0.515597864935608","0.478254585761629","0.552941144109586"
"Yes","2004","North Rhine-Westphalia","indirect migration background","120","0.486721920492404","0.421557478142385","0.551886362842422"
"Yes","2004","Hesse","no migration background","1136","1","1","1"
"Yes","2004","Hesse","direct migration background","105","0.434696574326543","0.371980857916961","0.497412290736125"
"Yes","2004","Hesse","indirect migration background","30","0.457708323395577","0.34182263870485","0.573594008086304"
"Yes","2004","Rhineland-Palatinate,Saarland","no migration background","1068","0.994146336146315","0.989575504242248","0.998717168050382"
"Yes","2004","Rhineland-Palatinate,Saarland","direct migration background","115","0.484534208466705","0.413843941282457","0.555224475650952"
"Yes","2004","Rhineland-Palatinate,Saarland","indirect migration background","32","0.746867427763775","0.618392752488218","0.875342103039332"
"Yes","2004","Baden-Württemberg","no migration background","1850","0.999613268609925","0.998717804223792","1.00050873299606"
"Yes","2004","Baden-Württemberg","direct migration background","216","0.436104984557832","0.395394589551024","0.476815379564639"
"Yes","2004","Baden-Württemberg","indirect migration background","103","0.581202638052006","0.513166733467792","0.649238542636221"
"Yes","2004","Bavaria","no migration background","2549","0.997489367422005","0.995547795541674","0.999430939302337"
"Yes","2004","Bavaria","direct migration background","169","0.417084500169267","0.367508541644693","0.46666045869384"
"Yes","2004","Bavaria","indirect migration background","89","0.685178464359352","0.605340310949022","0.765016617769682"
"Yes","2004","Berlin","no migration background","713","1","1","1"
"Yes","2004","Berlin","direct migration background","29","","",""
"Yes","2004","Berlin","indirect migration background","28","","",""
"Yes","2004","Brandenburg","no migration background","897","0.997727594096853","0.994613305404376","1.00084188278933"
"Yes","2004","Brandenburg","direct migration background","11","","",""
"Yes","2004","Brandenburg","indirect migration background","3","","",""
"Yes","2004","Mecklenburg-Western Pomerania","no migration background","496","1","1","1"
"Yes","2004","Mecklenburg-Western Pomerania","direct migration background","16","","",""
"Yes","2004","Mecklenburg-Western Pomerania","indirect migration background","2","","",""
"Yes","2004","Saxony","no migration background","1544","1","1","1"
"Yes","2004","Saxony","direct migration background","24","","",""
"Yes","2004","Saxony","indirect migration background","6","","",""
"Yes","2004","Saxony-Anhalt","no migration background","897","1","1","1"
"Yes","2004","Saxony-Anhalt","direct migration background","24","","",""
"Yes","2004","Saxony-Anhalt","indirect migration background","7","","",""
"Yes","2004","Thuringia","no migration background","923","1","1","1"
"Yes","2004","Thuringia","direct migration background","15","","",""
"Yes","2004","Thuringia","indirect migration background","7","","",""
"No","2004","Schleswig-Holstein","no migration background","","","",""
"No","2004","Schleswig-Holstein","direct migration background","30","0.540176103442039","0.419938703648723","0.660413503235356"
"No","2004","Schleswig-Holstein","indirect migration background","5","","",""
"No","2004","Hamburg","no migration background","","","",""
"No","2004","Hamburg","direct migration background","15","","",""
"No","2004","Hamburg","indirect migration background","3","","",""
"No","2004","Lower Saxony","no migration background","","","",""
"No","2004","Lower Saxony","direct migration background","83","0.459138577240523","0.391416336585415","0.526860817895631"
"No","2004","Lower Saxony","indirect migration background","22","","",""
"No","2004","Bremen","no migration background","","","",""
"No","2004","Bremen","direct migration background","11","","",""
"No","2004","Bremen","indirect migration background","","","",""
"No","2004","North Rhine-Westphalia","no migration background","1","","",""
"No","2004","North Rhine-Westphalia","direct migration background","322","0.484402135064392","0.447058855890414","0.521745414238371"
"No","2004","North Rhine-Westphalia","indirect migration background","106","0.513278079507596","0.448113637157578","0.578442521857615"
"No","2004","Hesse","no migration background","","","",""
"No","2004","Hesse","direct migration background","135","0.565303425673456","0.502587709263874","0.628019142083039"
"No","2004","Hesse","indirect migration background","41","0.542291676604423","0.426405991913696","0.65817736129515"
"No","2004","Rhineland-Palatinate,Saarland","no migration background","2","","",""
"No","2004","Rhineland-Palatinate,Saarland","direct migration background","77","0.515465791533295","0.444775524349048","0.586156058717543"
"No","2004","Rhineland-Palatinate,Saarland","indirect migration background","12","","",""
"No","2004","Baden-Württemberg","no migration background","2","","",""
"No","2004","Baden-Württemberg","direct migration background","354","0.563895015442168","0.52318462043536","0.604605410448976"
"No","2004","Baden-Württemberg","indirect migration background","99","0.418797361947994","0.350761457363779","0.486833266532208"
"No","2004","Bavaria","no migration background","3","","",""
"No","2004","Bavaria","direct migration background","211","0.582915499830733","0.53333954130616","0.632491458355307"
"No","2004","Bavaria","indirect migration background","41","0.314821535640648","0.234983382230318","0.394659689050978"
"No","2004","Berlin","no migration background","","","",""
"No","2004","Berlin","direct migration background","34","0.573221620648414","0.451086574013568","0.695356667283259"
"No","2004","Berlin","indirect migration background","8","","",""
"No","2004","Brandenburg","no migration background","1","","",""
"No","2004","Brandenburg","direct migration background","2","","",""
"No","2004","Brandenburg","indirect migration background","","","",""
"No","2004","Mecklenburg-Western Pomerania","no migration background","","","",""
"No","2004","Mecklenburg-Western Pomerania","direct migration background","1","","",""
"No","2004","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"No","2004","Saxony","no migration background","","","",""
"No","2004","Saxony","direct migration background","5","","",""
"No","2004","Saxony","indirect migration background","1","","",""
"No","2004","Saxony-Anhalt","no migration background","","","",""
"No","2004","Saxony-Anhalt","direct migration background","","","",""
"No","2004","Saxony-Anhalt","indirect migration background","","","",""
"No","2004","Thuringia","no migration background","","","",""
"No","2004","Thuringia","direct migration background","1","","",""
"No","2004","Thuringia","indirect migration background","","","",""
"Yes","2005","Schleswig-Holstein","no migration background","579","1","1","1"
"Yes","2005","Schleswig-Holstein","direct migration background","33","0.412154305435016","0.291561972941158","0.532746637928875"
"Yes","2005","Schleswig-Holstein","indirect migration background","9","","",""
"Yes","2005","Hamburg","no migration background","261","1","1","1"
"Yes","2005","Hamburg","direct migration background","7","","",""
"Yes","2005","Hamburg","indirect migration background","5","","",""
"Yes","2005","Lower Saxony","no migration background","1544","1","1","1"
"Yes","2005","Lower Saxony","direct migration background","127","0.554064813890852","0.485517796519359","0.622611831262346"
"Yes","2005","Lower Saxony","indirect migration background","29","","",""
"Yes","2005","Bremen","no migration background","127","1","1","1"
"Yes","2005","Bremen","direct migration background","14","","",""
"Yes","2005","Bremen","indirect migration background","4","","",""
"Yes","2005","North Rhine-Westphalia","no migration background","3485","0.999506080026151","0.99876850633997","1.00024365371233"
"Yes","2005","North Rhine-Westphalia","direct migration background","343","0.512097128900895","0.473729306555766","0.550464951246023"
"Yes","2005","North Rhine-Westphalia","indirect migration background","118","0.41379687211339","0.351615938678646","0.475977805548134"
"Yes","2005","Hesse","no migration background","1084","1","1","1"
"Yes","2005","Hesse","direct migration background","96","0.437054537531386","0.371209837663454","0.502899237399319"
"Yes","2005","Hesse","indirect migration background","33","0.536286314868843","0.418621433992364","0.653951195745323"
"Yes","2005","Rhineland-Palatinate,Saarland","no migration background","1011","0.992397873543603","0.987049104747912","0.997746642339294"
"Yes","2005","Rhineland-Palatinate,Saarland","direct migration background","111","0.44425761935029","0.371669417279177","0.516845821421402"
"Yes","2005","Rhineland-Palatinate,Saarland","indirect migration background","37","0.78496255882932","0.66992714374608","0.89999797391256"
"Yes","2005","Baden-Württemberg","no migration background","1779","0.99954512747902","0.998554837953706","1.00053541700433"
"Yes","2005","Baden-Württemberg","direct migration background","203","0.426897499569971","0.385217527848858","0.468577471291083"
"Yes","2005","Baden-Württemberg","indirect migration background","110","0.591808921736369","0.525957718857476","0.657660124615263"
"Yes","2005","Bavaria","no migration background","2448","0.997496663488938","0.995518365187865","0.999474961790012"
"Yes","2005","Bavaria","direct migration background","157","0.412015567916913","0.359697902118752","0.464333233715073"
"Yes","2005","Bavaria","indirect migration background","83","0.645862830397062","0.562023271207575","0.729702389586549"
"Yes","2005","Berlin","no migration background","670","1","1","1"
"Yes","2005","Berlin","direct migration background","23","","",""
"Yes","2005","Berlin","indirect migration background","30","0.780048479910315","0.644741212942147","0.915355746878483"
"Yes","2005","Brandenburg","no migration background","870","0.997558964484856","0.994281821802147","1.00083610716756"
"Yes","2005","Brandenburg","direct migration background","11","","",""
"Yes","2005","Brandenburg","indirect migration background","5","","",""
"Yes","2005","Mecklenburg-Western Pomerania","no migration background","488","1","1","1"
"Yes","2005","Mecklenburg-Western Pomerania","direct migration background","14","","",""
"Yes","2005","Mecklenburg-Western Pomerania","indirect migration background","2","","",""
"Yes","2005","Saxony","no migration background","1497","1","1","1"
"Yes","2005","Saxony","direct migration background","24","","",""
"Yes","2005","Saxony","indirect migration background","6","","",""
"Yes","2005","Saxony-Anhalt","no migration background","870","1","1","1"
"Yes","2005","Saxony-Anhalt","direct migration background","23","","",""
"Yes","2005","Saxony-Anhalt","indirect migration background","6","","",""
"Yes","2005","Thuringia","no migration background","871","1","1","1"
"Yes","2005","Thuringia","direct migration background","14","","",""
"Yes","2005","Thuringia","indirect migration background","7","","",""
"No","2005","Schleswig-Holstein","no migration background","","","",""
"No","2005","Schleswig-Holstein","direct migration background","31","0.587845694564983","0.467253362071125","0.708438027058842"
"No","2005","Schleswig-Holstein","indirect migration background","2","","",""
"No","2005","Hamburg","no migration background","","","",""
"No","2005","Hamburg","direct migration background","15","","",""
"No","2005","Hamburg","indirect migration background","4","","",""
"No","2005","Lower Saxony","no migration background","","","",""
"No","2005","Lower Saxony","direct migration background","75","0.445935186109148","0.377388168737654","0.514482203480641"
"No","2005","Lower Saxony","indirect migration background","21","","",""
"No","2005","Bremen","no migration background","","","",""
"No","2005","Bremen","direct migration background","2","","",""
"No","2005","Bremen","indirect migration background","","","",""
"No","2005","North Rhine-Westphalia","no migration background","1","","",""
"No","2005","North Rhine-Westphalia","direct migration background","309","0.487902871099105","0.449535048753977","0.526270693444234"
"No","2005","North Rhine-Westphalia","indirect migration background","123","0.58620312788661","0.524022194451866","0.648384061321354"
"No","2005","Hesse","no migration background","","","",""
"No","2005","Hesse","direct migration background","122","0.562945462468614","0.497100762600681","0.628790162336546"
"No","2005","Hesse","indirect migration background","36","0.463713685131157","0.346048804254677","0.581378566007636"
"No","2005","Rhineland-Palatinate,Saarland","no migration background","2","","",""
"No","2005","Rhineland-Palatinate,Saarland","direct migration background","69","0.55574238064971","0.483154178578598","0.628330582720823"
"No","2005","Rhineland-Palatinate,Saarland","indirect migration background","12","","",""
"No","2005","Baden-Württemberg","no migration background","2","","",""
"No","2005","Baden-Württemberg","direct migration background","338","0.573102500430029","0.531422528708916","0.614782472151141"
"No","2005","Baden-Württemberg","indirect migration background","104","0.408191078263631","0.342339875384737","0.474042281142524"
"No","2005","Bavaria","no migration background","3","","",""
"No","2005","Bavaria","direct migration background","183","0.587984432083087","0.535666766284927","0.640302097881248"
"No","2005","Bavaria","indirect migration background","42","0.354137169602938","0.270297610413451","0.437976728792425"
"No","2005","Berlin","no migration background","","","",""
"No","2005","Berlin","direct migration background","30","0.638120505100205","0.508747551249744","0.767493458950666"
"No","2005","Berlin","indirect migration background","6","","",""
"No","2005","Brandenburg","no migration background","1","","",""
"No","2005","Brandenburg","direct migration background","2","","",""
"No","2005","Brandenburg","indirect migration background","","","",""
"No","2005","Mecklenburg-Western Pomerania","no migration background","","","",""
"No","2005","Mecklenburg-Western Pomerania","direct migration background","1","","",""
"No","2005","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"No","2005","Saxony","no migration background","","","",""
"No","2005","Saxony","direct migration background","5","","",""
"No","2005","Saxony","indirect migration background","1","","",""
"No","2005","Saxony-Anhalt","no migration background","","","",""
"No","2005","Saxony-Anhalt","direct migration background","","","",""
"No","2005","Saxony-Anhalt","indirect migration background","","","",""
"No","2005","Thuringia","no migration background","","","",""
"No","2005","Thuringia","direct migration background","2","","",""
"No","2005","Thuringia","indirect migration background","","","",""
"Yes","2006","Schleswig-Holstein","no migration background","608","1","1","1"
"Yes","2006","Schleswig-Holstein","direct migration background","33","0.463340464442754","0.332737324720907","0.593943604164601"
"Yes","2006","Schleswig-Holstein","indirect migration background","9","","",""
"Yes","2006","Hamburg","no migration background","274","1","1","1"
"Yes","2006","Hamburg","direct migration background","12","","",""
"Yes","2006","Hamburg","indirect migration background","4","","",""
"Yes","2006","Lower Saxony","no migration background","1731","0.998617155348485","0.996867065459877","1.00036724523709"
"Yes","2006","Lower Saxony","direct migration background","128","0.588918410830486","0.520384253848551","0.65745256781242"
"Yes","2006","Lower Saxony","indirect migration background","29","","",""
"Yes","2006","Bremen","no migration background","129","1","1","1"
"Yes","2006","Bremen","direct migration background","9","","",""
"Yes","2006","Bremen","indirect migration background","4","","",""
"Yes","2006","North Rhine-Westphalia","no migration background","3669","0.999466145403735","0.99871881853639","1.00021347227108"
"Yes","2006","North Rhine-Westphalia","direct migration background","358","0.501859227746958","0.463684813178932","0.540033642314983"
"Yes","2006","North Rhine-Westphalia","indirect migration background","123","0.463405335922977","0.399649807471161","0.527160864374793"
"Yes","2006","Hesse","no migration background","1194","1","1","1"
"Yes","2006","Hesse","direct migration background","103","0.457846037971811","0.391557373056186","0.524134702887436"
"Yes","2006","Hesse","indirect migration background","40","0.509233131899596","0.394554473172398","0.623911790626795"
"Yes","2006","Rhineland-Palatinate,Saarland","no migration background","1060","0.993735993986303","0.988990871515683","0.998481116456924"
"Yes","2006","Rhineland-Palatinate,Saarland","direct migration background","117","0.533739034498838","0.460861973393571","0.606616095604106"
"Yes","2006","Rhineland-Palatinate,Saarland","indirect migration background","40","0.807454355188913","0.69816221528004","0.916746495097785"
"Yes","2006","Baden-Württemberg","no migration background","2002","0.999103239593329","0.997793049537848","1.00041342964881"
"Yes","2006","Baden-Württemberg","direct migration background","207","0.394297290645527","0.352454166577214","0.43614041471384"
"Yes","2006","Baden-Württemberg","indirect migration background","111","0.55384852058208","0.485635123857335","0.622061917306825"
