"plj0014_v3","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence","value"
"Yes","2001","Hesse","Not Employed","441","0.876560114220974","0.848395678419345","0.904724550022603","1"
"Yes","2001","Hesse","Employed","812","0.842771464877008","0.819851877334906","0.86569105241911","1"
"Yes","2001","Rhineland-Palatinate,Saarland","Not Employed","506","0.938004231416459","0.917814002882083","0.958194459950834","1"
"Yes","2001","Rhineland-Palatinate,Saarland","Employed","741","0.914671597824463","0.895396760244411","0.933946435404514","1"
"Yes","2001","Baden-Württemberg","Not Employed","703","0.877060671613409","0.855535849632574","0.898585493594244","1"
"Yes","2001","Baden-Württemberg","Employed","1332","0.828226878232166","0.810453200396046","0.846000556068287","1"
"Yes","2001","Bavaria","Not Employed","943","0.92799261129136","0.91222125538229","0.94376396720043","1"
"Yes","2001","Bavaria","Employed","1831","0.909314556838752","0.896816572465776","0.921812541211728","1"
"Yes","2001","Berlin","Not Employed","259","0.910811550315187","0.877247313344911","0.944375787285462","1"
"Yes","2001","Berlin","Employed","488","0.930959375792719","0.909148046635974","0.952770704949464","1"
"Yes","2001","Brandenburg","Not Employed","390","0.995395507430433","0.988685106968187","1.00210590789268","1"
"Yes","2001","Brandenburg","Employed","571","1","1","1","1"
"Yes","2001","Mecklenburg-Western Pomerania","Not Employed","170","0.993146245130802","0.980780482034225","1.00551200822738","1"
"Yes","2001","Mecklenburg-Western Pomerania","Employed","344","0.998933972288839","0.995490542896796","1.00237740168088","1"
"Yes","2001","Saxony","Not Employed","641","1","1","1","1"
"Yes","2001","Saxony","Employed","1009","0.996092407683668","0.992248594489554","0.999936220877782","1"
"Yes","2001","Schleswig-Holstein","Not Employed","226","0.970122872656382","0.948355954164327","0.991889791148437","1"
"Yes","2001","Schleswig-Holstein","Employed","400","0.942946633368311","0.920711274377143","0.965181992359479","1"
"Yes","2001","Hamburg","Not Employed","92","0.90832972318251","0.853136027363974","0.963523419001047","1"
"Yes","2001","Hamburg","Employed","159","0.954360323213978","0.922987680889079","0.985732965538878","1"
"Yes","2001","Lower Saxony","Not Employed","643","0.950402117096719","0.934202348437393","0.966601885756045","1"
"Yes","2001","Lower Saxony","Employed","1089","0.93621393400159","0.922223385402827","0.950204482600354","1"
"Yes","2001","Bremen","Not Employed","54","0.931645496176846","0.866133689703589","0.997157302650104","1"
"Yes","2001","Saxony-Anhalt","Not Employed","413","1","1","1","1"
"Yes","2001","Saxony-Anhalt","Employed","592","1","1","1","1"
"Yes","2001","Bremen","Employed","90","0.835962412964784","0.763743247482032","0.908181578447535","1"
"Yes","2001","North Rhine-Westphalia","Not Employed","1539","0.894331132049623","0.880054070455012","0.908608193644235","1"
"Yes","2001","Thuringia","Not Employed","379","0.996668108184803","0.990874127815807","1.0024620885538","1"
"Yes","2001","Thuringia","Employed","591","0.998060331649727","0.994516040626931","1.00160462267252","1"
"Yes","2001","North Rhine-Westphalia","Employed","2571","0.90310017247727","0.892329858475254","0.913870486479285","1"
"No","2002","Brandenburg","Not Employed","1","","","","2"
"No","2002","Schleswig-Holstein","Employed","25","","","","2"
"No","2002","Schleswig-Holstein","Not Employed","10","","","","2"
"No","2002","Hamburg","Employed","9","","","","2"
"No","2002","Brandenburg","Employed","","","","","2"
"No","2002","Hamburg","Not Employed","9","","","","2"
"No","2002","Lower Saxony","Not Employed","45","0.0494775088740761","0.0339155670035821","0.0650394507445701","2"
"No","2002","Lower Saxony","Employed","71","0.0525997451673913","0.0401847698127537","0.0650147205220289","2"
"No","2002","Bremen","Not Employed","2","","","","2"
"No","2002","North Rhine-Westphalia","Employed","287","0.0971374258638959","0.0867091741622541","0.107565677565538","2"
"No","2002","North Rhine-Westphalia","Not Employed","219","0.101565844256074","0.0875914551051268","0.115540233407021","2"
"No","2002","Bremen","Employed","7","","","","2"
"No","2002","Hesse","Not Employed","80","0.133168555100507","0.104378707068828","0.161958403132186","2"
"No","2002","Hesse","Employed","149","0.141620228162151","0.121118359654346","0.162122096669956","2"
"No","2002","Rhineland-Palatinate,Saarland","Not Employed","42","0.069550595284766","0.0480347825799121","0.0910664079896199","2"
"No","2002","Rhineland-Palatinate,Saarland","Employed","60","0.0855020382623774","0.0666370528993921","0.104367023625363","2"
"No","2002","Baden-Württemberg","Not Employed","183","0.126971160895112","0.105584642442825","0.148357679347399","2"
"No","2002","Baden-Württemberg","Employed","363","0.161034294825935","0.144463303842486","0.177605285809384","2"
"No","2002","Bavaria","Not Employed","87","0.080209508518043","0.0638427512094614","0.0965762658266245","2"
"No","2002","Bavaria","Employed","191","0.0985206781417965","0.0861097915634245","0.110931564720169","2"
"No","2002","Mecklenburg-Western Pomerania","Not Employed","","","","","2"
"No","2002","Mecklenburg-Western Pomerania","Employed","1","","","","2"
"No","2002","Saxony","Not Employed","1","","","","2"
"No","2002","Saxony","Employed","3","","","","2"
"No","2002","Berlin","Not Employed","17","","","","2"
"No","2002","Berlin","Employed","34","0.0904065575911385","0.066309042107773","0.114504073074504","2"
"No","2002","Saxony-Anhalt","Not Employed","1","","","","2"
"No","2002","Saxony-Anhalt","Employed","","","","","2"
"No","2002","Thuringia","Not Employed","2","","","","2"
"No","2002","Thuringia","Employed","1","","","","2"
"Yes","2002","Schleswig-Holstein","Not Employed","246","0.949702814910775","0.922930013839524","0.976475615982026","1"
"Yes","2002","Schleswig-Holstein","Employed","446","0.952156033719546","0.932880549925474","0.971431517513618","1"
"Yes","2002","Hamburg","Not Employed","106","0.940824008993809","0.897699304064925","0.983948713922693","1"
"Yes","2002","Hamburg","Employed","205","0.968185640938036","0.944671337826709","0.991699944049363","1"
"Yes","2002","Lower Saxony","Not Employed","701","0.950522491125924","0.93496054925543","0.966084432996418","1"
"Yes","2002","Lower Saxony","Employed","1171","0.947400254832609","0.934985279477971","0.959815230187246","1"
"Yes","2002","Hesse","Not Employed","455","0.866831444899493","0.838041596867814","0.895621292931172","1"
"Yes","2002","Hesse","Employed","962","0.858379771837849","0.837877903330044","0.878881640345654","1"
"Yes","2002","Rhineland-Palatinate,Saarland","Not Employed","495","0.930449404715234","0.90893359201038","0.951965217420088","1"
"Yes","2002","Rhineland-Palatinate,Saarland","Employed","784","0.914497961737623","0.895632976374637","0.933362947100608","1"
"Yes","2002","Baden-Württemberg","Not Employed","748","0.873028839104888","0.851642320652601","0.894415357557174","1"
"Yes","2002","Baden-Württemberg","Employed","1527","0.838965705174065","0.822394714190616","0.855536696157514","1"
"Yes","2002","Bavaria","Not Employed","971","0.919790491481957","0.903423734173376","0.936157248790539","1"
"Yes","2002","Bavaria","Employed","2024","0.901479321858203","0.889068435279831","0.913890208436575","1"
"Yes","2002","Berlin","Not Employed","273","0.928562439353823","0.898919725859205","0.958205152848442","1"
"Yes","2002","Berlin","Employed","510","0.909593442408862","0.885495926925496","0.933690957892227","1"
"Yes","2002","Brandenburg","Not Employed","397","0.995751007106514","0.98936065284884","1.00214136136419","1"
"Yes","2002","Brandenburg","Employed","572","1","1","1","1"
"Yes","2002","Mecklenburg-Western Pomerania","Not Employed","180","1","1","1","1"
"Yes","2002","Mecklenburg-Western Pomerania","Employed","338","0.998696175136152","0.994854907523231","1.00253744274907","1"
"Yes","2002","Saxony","Not Employed","623","0.996918485970841","0.992569703390391","1.00126726855129","1"
"Yes","2002","Saxony","Employed","1031","0.996241513786477","0.992511790432632","0.999971237140321","1"
"Yes","2002","Saxony-Anhalt","Not Employed","402","0.990532468735182","0.981077756832312","0.999987180638051","1"
"Yes","2002","Bremen","Not Employed","59","0.933107881983326","0.870412352260943","0.99580341170571","1"
"Yes","2002","Bremen","Employed","105","0.911071422601665","0.85835620976056","0.96378663544277","1"
"Yes","2002","Saxony-Anhalt","Employed","571","1","1","1","1"
"Yes","2002","Thuringia","Not Employed","378","0.987045563167495","0.9756762517644","0.998414874570589","1"
"Yes","2002","North Rhine-Westphalia","Not Employed","1576","0.898434155743926","0.884459766592979","0.912408544894873","1"
"Yes","2002","North Rhine-Westphalia","Employed","2811","0.902862574136104","0.892434322434462","0.913290825837746","1"
"Yes","2002","Thuringia","Employed","590","0.997651132877097","0.993748363171933","1.00155390258226","1"
"No","2003","Brandenburg","Not Employed","3","","","","2"
"No","2003","Schleswig-Holstein","Not Employed","11","","","","2"
"No","2003","Schleswig-Holstein","Employed","23","","","","2"
"No","2003","Brandenburg","Employed","","","","","2"
"No","2003","Hamburg","Not Employed","8","","","","2"
"No","2003","Hamburg","Employed","10","","","","2"
"No","2003","Lower Saxony","Not Employed","42","0.0474612228361668","0.0318653466328613","0.0630570990394723","2"
"No","2003","Lower Saxony","Employed","70","0.0591589225933172","0.0458217392774117","0.0724961059092226","2"
"No","2003","Bremen","Employed","5","","","","2"
"No","2003","Bremen","Not Employed","6","","","","2"
"No","2003","North Rhine-Westphalia","Not Employed","205","0.102348949259628","0.0882719010707103","0.116425997448546","2"
"No","2003","North Rhine-Westphalia","Employed","262","0.0967427534877434","0.0860116653780297","0.107473841597457","2"
"No","2003","Hesse","Not Employed","63","0.124881582440586","0.0955208950492696","0.154242269831902","2"
"No","2003","Hesse","Employed","120","0.122356303744479","0.102226177645714","0.142486429843245","2"
"No","2003","Rhineland-Palatinate,Saarland","Not Employed","38","0.0802120493612676","0.0574704253020137","0.102953673420522","2"
"No","2003","Rhineland-Palatinate,Saarland","Employed","55","0.0874468529841873","0.0679568233418925","0.106936882626482","2"
"No","2003","Baden-Württemberg","Not Employed","182","0.138259130904615","0.115795512969136","0.160722748840094","2"
"No","2003","Baden-Württemberg","Employed","311","0.149664884669353","0.133184518640282","0.166145250698424","2"
"No","2003","Bavaria","Not Employed","96","0.0994018199196974","0.0812957977687954","0.117507842070599","2"
"No","2003","Bavaria","Employed","176","0.0986195879907139","0.0858555495975911","0.111383626383837","2"
"No","2003","Berlin","Not Employed","19","","","","2"
"No","2003","Berlin","Employed","29","","","","2"
"No","2003","Mecklenburg-Western Pomerania","Not Employed","","","","","2"
"No","2003","Mecklenburg-Western Pomerania","Employed","1","","","","2"
"No","2003","Saxony","Not Employed","2","","","","2"
"No","2003","Saxony","Employed","3","","","","2"
"No","2003","Saxony-Anhalt","Not Employed","","","","","2"
"No","2003","Saxony-Anhalt","Employed","","","","","2"
"No","2003","Thuringia","Not Employed","","","","","2"
"No","2003","Thuringia","Employed","1","","","","2"
"Yes","2003","Schleswig-Holstein","Not Employed","239","0.963615083886549","0.940404259245986","0.986825908527112","1"
"Yes","2003","Schleswig-Holstein","Employed","402","0.923784859237757","0.898558203879788","0.949011514595725","1"
"Yes","2003","Hamburg","Not Employed","101","0.953544181653302","0.914032518589076","0.993055844717529","1"
"Yes","2003","Hamburg","Employed","179","0.972973453240668","0.949854776965104","0.996092129516232","1"
"Yes","2003","Hesse","Not Employed","424","0.875118417559414","0.845757730168098","0.90447910495073","1"
"Yes","2003","Hesse","Employed","898","0.877643696255521","0.857513570156755","0.897773822354287","1"
"Yes","2003","Rhineland-Palatinate,Saarland","Not Employed","510","0.919787950638732","0.897046326579478","0.942529574697986","1"
"Yes","2003","Rhineland-Palatinate,Saarland","Employed","752","0.912553147015813","0.893063117373518","0.932043176658108","1"
"Yes","2003","Baden-Württemberg","Not Employed","725","0.861740869095385","0.839277251159906","0.884204487030864","1"
"Yes","2003","Baden-Württemberg","Employed","1489","0.850335115330647","0.833854749301576","0.866815481359718","1"
"Yes","2003","Bavaria","Not Employed","953","0.900598180080303","0.882492157929401","0.918704202231205","1"
"Yes","2003","Bavaria","Employed","1920","0.901380412009286","0.888616373616163","0.914144450402409","1"
"Yes","2003","Berlin","Not Employed","285","0.91547313717949","0.884202878265626","0.946743396093353","1"
"Yes","2003","Berlin","Employed","498","0.912304399381289","0.888155264820723","0.936453533941856","1"
"Yes","2003","Brandenburg","Not Employed","396","0.989745682556579","0.979860678996718","0.99963068611644","1"
"Yes","2003","Brandenburg","Employed","550","1","1","1","1"
"Yes","2003","Mecklenburg-Western Pomerania","Not Employed","189","1","1","1","1"
"Yes","2003","Mecklenburg-Western Pomerania","Employed","338","0.998653466252912","0.994749875595489","1.00255705691033","1"
"Yes","2003","Saxony","Not Employed","623","0.993622404770511","0.987381504447619","0.999863305093403","1"
"Yes","2003","Saxony","Employed","994","0.995819464277746","0.991814424935221","0.999824503620272","1"
"Yes","2003","Lower Saxony","Not Employed","672","0.952538777163833","0.936942900960528","0.968134653367139","1"
"Yes","2003","Lower Saxony","Employed","1132","0.940841077406683","0.927503894090777","0.954178260722588","1"
"Yes","2003","Bremen","Not Employed","64","0.87500244252009","0.797528712284772","0.952476172755409","1"
"Yes","2003","Saxony-Anhalt","Not Employed","404","1","1","1","1"
"Yes","2003","Saxony-Anhalt","Employed","534","1","1","1","1"
"Yes","2003","Bremen","Employed","99","0.931411521538694","0.882834843856052","0.979988199221335","1"
"Yes","2003","North Rhine-Westphalia","Not Employed","1576","0.897651050740372","0.883574002551453","0.91172809892929","1"
"Yes","2003","Thuringia","Not Employed","383","1","1","1","1"
"Yes","2003","Thuringia","Employed","574","0.997869214165707","0.9941002597815","1.00163816854991","1"
"Yes","2003","North Rhine-Westphalia","Employed","2653","0.903257246512257","0.892526158402543","0.91398833462197","1"
"No","2004","Brandenburg","Not Employed","2","","","","2"
"No","2004","Schleswig-Holstein","Employed","20","","","","2"
"No","2004","Schleswig-Holstein","Not Employed","15","","","","2"
"No","2004","Hamburg","Employed","10","","","","2"
"No","2004","Brandenburg","Employed","1","","","","2"
"No","2004","Hamburg","Not Employed","8","","","","2"
"No","2004","Lower Saxony","Not Employed","43","0.047996303893368","0.0322508684133284","0.0637417393734077","2"
"No","2004","Lower Saxony","Employed","62","0.0632926801865056","0.0494351942397348","0.0771501661332765","2"
"No","2004","Bremen","Not Employed","4","","","","2"
"No","2004","North Rhine-Westphalia","Not Employed","189","0.0937766601248822","0.0801727484718439","0.10738057177792","2"
"No","2004","North Rhine-Westphalia","Employed","240","0.100957253042636","0.08979219998233","0.112122306102941","2"
"No","2004","Bremen","Employed","7","","","","2"
"No","2004","Hesse","Not Employed","63","0.142454502812144","0.110856048558128","0.17405295706616","2"
"No","2004","Hesse","Employed","113","0.133374677529554","0.112056347179972","0.154693007879137","2"
"No","2004","Rhineland-Palatinate,Saarland","Not Employed","35","0.0802012748113613","0.0571216198277199","0.103280929795003","2"
"No","2004","Rhineland-Palatinate,Saarland","Employed","56","0.10070893446277","0.0795076706290031","0.121910198296537","2"
"No","2004","Baden-Württemberg","Not Employed","170","0.139684367004274","0.117404662519897","0.16196407148865","2"
"No","2004","Baden-Württemberg","Employed","285","0.140246222768023","0.123710468075102","0.156781977460943","2"
"No","2004","Bavaria","Not Employed","97","0.109114576535452","0.0903097884233792","0.127919364647525","2"
"No","2004","Bavaria","Employed","158","0.0883112942269853","0.0758943697744179","0.100728218679553","2"
"No","2004","Berlin","Not Employed","17","","","","2"
"No","2004","Berlin","Employed","25","","","","2"
"No","2004","Mecklenburg-Western Pomerania","Not Employed","","","","","2"
"No","2004","Mecklenburg-Western Pomerania","Employed","1","","","","2"
"No","2004","Saxony","Not Employed","3","","","","2"
"No","2004","Saxony","Employed","3","","","","2"
"No","2004","Saxony-Anhalt","Not Employed","","","","","2"
"No","2004","Saxony-Anhalt","Employed","","","","","2"
"No","2004","Thuringia","Not Employed","","","","","2"
"No","2004","Thuringia","Employed","1","","","","2"
"Yes","2004","Schleswig-Holstein","Not Employed","241","0.922320731800634","0.889532223694079","0.95510923990719","1"
"Yes","2004","Schleswig-Holstein","Employed","402","0.937750571804773","0.914698858075398","0.960802285534149","1"
"Yes","2004","Hamburg","Not Employed","101","0.947019528547818","0.904968926438863","0.989070130656773","1"
"Yes","2004","Hamburg","Employed","179","0.977380804154603","0.956183156358532","0.998578451950674","1"
"Yes","2004","Hesse","Not Employed","407","0.857545497187856","0.82594704293384","0.889143951441872","1"
"Yes","2004","Hesse","Employed","864","0.866625322470446","0.845306992120863","0.887943652820028","1"
"Yes","2004","Rhineland-Palatinate,Saarland","Not Employed","497","0.919798725188639","0.896719070204997","0.94287838017228","1"
"Yes","2004","Rhineland-Palatinate,Saarland","Employed","718","0.89929106553723","0.878089801703463","0.920492329370997","1"
"Yes","2004","Lower Saxony","Not Employed","665","0.952003696106632","0.936258260626592","0.967749131586672","1"
"Yes","2004","Lower Saxony","Employed","1124","0.936707319813494","0.922849833866723","0.950564805760265","1"
"Yes","2004","Baden-Württemberg","Not Employed","760","0.860315632995726","0.83803592851135","0.882595337480103","1"
"Yes","2004","Baden-Württemberg","Employed","1409","0.859753777231977","0.843218022539057","0.876289531924898","1"
"Yes","2004","Bavaria","Not Employed","959","0.890885423464548","0.872080635352475","0.909690211576621","1"
"Yes","2004","Bavaria","Employed","1848","0.911688705773015","0.899271781320447","0.924105630225582","1"
"Yes","2004","Berlin","Not Employed","284","0.930444997715103","0.901705817183391","0.959184178246816","1"
"Yes","2004","Berlin","Employed","486","0.922902727952885","0.899774885961725","0.946030569944044","1"
"Yes","2004","Brandenburg","Not Employed","393","0.992023518693106","0.983251163594206","1.00079587379201","1"
"Yes","2004","Brandenburg","Employed","518","0.99843771009834","0.995039848285233","1.00183557191145","1"
"Yes","2004","Mecklenburg-Western Pomerania","Not Employed","200","1","1","1","1"
"Yes","2004","Mecklenburg-Western Pomerania","Employed","314","0.99863190290991","0.994550081570568","1.00271372424925","1"
"Yes","2004","Saxony","Not Employed","636","0.99273526798802","0.986150746996396","0.999319788979645","1"
"Yes","2004","Saxony","Employed","938","0.99559884177735","0.991369439823584","0.999828243731117","1"
"Yes","2004","Saxony-Anhalt","Not Employed","410","1","1","1","1"
"Yes","2004","Bremen","Not Employed","60","0.94263071221733","0.885657772893331","0.99960365154133","1"
"Yes","2004","Bremen","Employed","97","0.851865544516921","0.783593172748991","0.920137916284851","1"
"Yes","2004","Saxony-Anhalt","Employed","518","1","1","1","1"
"Yes","2004","Thuringia","Not Employed","388","1","1","1","1"
"Yes","2004","North Rhine-Westphalia","Not Employed","1575","0.906223339875118","0.89261942822208","0.919827251528156","1"
"Yes","2004","North Rhine-Westphalia","Employed","2557","0.899042746957364","0.887877693897059","0.91020780001767","1"
"Yes","2004","Thuringia","Employed","557","0.997848085495439","0.994003268154919","1.00169290283596","1"
"No","2005","Schleswig-Holstein","Not Employed","13","","","","2"
"No","2005","Brandenburg","Employed","1","","","","2"
"No","2005","Brandenburg","Not Employed","2","","","","2"
"No","2005","Hamburg","Not Employed","9","","","","2"
"No","2005","Schleswig-Holstein","Employed","20","","","","2"
"No","2005","Hamburg","Employed","10","","","","2"
"No","2005","Lower Saxony","Not Employed","29","","","","2"
"No","2005","Lower Saxony","Employed","67","0.0809130721810107","0.0648342366755172","0.0969919076865041","2"
"No","2005","Bremen","Not Employed","1","","","","2"
"No","2005","Bremen","Employed","1","","","","2"
"No","2005","North Rhine-Westphalia","Not Employed","189","0.106684925630155","0.0920571952439437","0.121312656016367","2"
"No","2005","North Rhine-Westphalia","Employed","244","0.105709582325229","0.0940427852125973","0.117376379437862","2"
"No","2005","Hesse","Not Employed","55","0.131689263887004","0.100652356511823","0.162726171262185","2"
"No","2005","Hesse","Employed","103","0.127996993634336","0.106350058305204","0.149643928963468","2"
"No","2005","Rhineland-Palatinate,Saarland","Not Employed","28","","","","2"
"No","2005","Rhineland-Palatinate,Saarland","Employed","55","0.118316673109716","0.0952169161104915","0.14141643010894","2"
"No","2005","Baden-Württemberg","Not Employed","182","0.154833681658613","0.1313945588294","0.178272804487826","2"
"No","2005","Baden-Württemberg","Employed","262","0.148086228551632","0.130795561849417","0.165376895253848","2"
"No","2005","Bavaria","Not Employed","80","0.100299875139146","0.081444079190988","0.119155671087304","2"
"No","2005","Bavaria","Employed","148","0.0936980395474618","0.0807340988672176","0.106661980227706","2"
"No","2005","Berlin","Not Employed","15","","","","2"
"No","2005","Berlin","Employed","21","","","","2"
"No","2005","Mecklenburg-Western Pomerania","Not Employed","","","","","2"
"No","2005","Mecklenburg-Western Pomerania","Employed","1","","","","2"
"No","2005","Saxony","Not Employed","2","","","","2"
"No","2005","Saxony","Employed","4","","","","2"
"No","2005","Saxony-Anhalt","Not Employed","","","","","2"
"No","2005","Saxony-Anhalt","Employed","","","","","2"
"No","2005","Thuringia","Not Employed","2","","","","2"
"No","2005","Thuringia","Employed","","","","","2"
"Yes","2005","Schleswig-Holstein","Not Employed","235","0.934603871229033","0.903834964977962","0.965372777480104","1"
"Yes","2005","Schleswig-Holstein","Employed","386","0.929835743761074","0.904990334462677","0.954681153059471","1"
"Yes","2005","Hamburg","Not Employed","103","0.941809150203197","0.898453282519369","0.985165017887025","1"
"Yes","2005","Hamburg","Employed","170","0.958567596623059","0.929454173412315","0.987681019833803","1"
"Yes","2005","Hesse","Not Employed","401","0.868310736112996","0.837273828737815","0.899347643488177","1"
"Yes","2005","Hesse","Employed","812","0.872003006365664","0.850356071036532","0.893649941694796","1"
"Yes","2005","Rhineland-Palatinate,Saarland","Not Employed","463","0.923118943817412","0.899555115646176","0.946682771988649","1"
"Yes","2005","Rhineland-Palatinate,Saarland","Employed","696","0.881683326890284","0.85858356989106","0.904783083889508","1"
"Yes","2005","Baden-Württemberg","Not Employed","733","0.845166318341387","0.821727195512174","0.8686054411706","1"
"Yes","2005","Baden-Württemberg","Employed","1359","0.851913771448368","0.834623104746153","0.869204438150583","1"
"Yes","2005","Bavaria","Not Employed","895","0.899700124860854","0.880844328912696","0.918555920809012","1"
"Yes","2005","Bavaria","Employed","1793","0.906301960452538","0.893338019772294","0.919265901132782","1"
"Yes","2005","Berlin","Not Employed","272","0.921974423894283","0.890944188405287","0.953004659383278","1"
"Yes","2005","Berlin","Employed","451","0.92051038909307","0.896107197789355","0.944913580396785","1"
"Yes","2005","Brandenburg","Not Employed","384","0.991075612537852","0.981693577680519","1.00045764739519","1"
"Yes","2005","Brandenburg","Employed","502","0.998355485849858","0.994814489246404","1.00189648245331","1"
"Yes","2005","Mecklenburg-Western Pomerania","Not Employed","209","1","1","1","1"
"Yes","2005","Mecklenburg-Western Pomerania","Employed","295","0.998856583420165","0.995006624936094","1.00270654190424","1"
"Yes","2005","Saxony","Not Employed","617","0.991528837455878","0.984309007835162","0.998748667076594","1"
"Yes","2005","Saxony","Employed","910","0.993860213457682","0.988795973424868","0.998924453490496","1"
"Yes","2005","Lower Saxony","Not Employed","662","0.965520601820339","0.951916506124712","0.979124697515965","1"
"Yes","2005","Lower Saxony","Employed","1038","0.919086927818989","0.903008092313496","0.935165763324483","1"
"Yes","2005","Bremen","Not Employed","62","0.991661966954809","0.969208084187257","1.01411584972236","1"
"Yes","2005","Saxony-Anhalt","Not Employed","390","1","1","1","1"
"Yes","2005","Saxony-Anhalt","Employed","509","1","1","1","1"
"Yes","2005","Bremen","Employed","83","0.984821707726629","0.958676101859731","1.01096731359353","1"
"Yes","2005","North Rhine-Westphalia","Not Employed","1522","0.893315074369845","0.878687343983633","0.907942804756056","1"
"Yes","2005","Thuringia","Not Employed","374","0.98565642319741","0.973638050203436","0.997674796191385","1"
"Yes","2005","Thuringia","Employed","518","1","1","1","1"
"Yes","2005","North Rhine-Westphalia","Employed","2424","0.89429041767477","0.882623620562138","0.905957214787403","1"
"No","2006","Brandenburg","Not Employed","2","","","","2"
"No","2006","Schleswig-Holstein","Not Employed","9","","","","2"
"No","2006","Schleswig-Holstein","Employed","17","","","","2"
"No","2006","Brandenburg","Employed","1","","","","2"
"No","2006","Hamburg","Not Employed","13","","","","2"
"No","2006","Hamburg","Employed","7","","","","2"
"No","2006","Lower Saxony","Not Employed","40","0.0643579168249056","0.0470815227223517","0.0816343109274596","2"
"No","2006","Bremen","Employed","2","","","","2"
"No","2006","North Rhine-Westphalia","Not Employed","185","0.123356610713189","0.108269386242407","0.13844383518397","2"
"No","2006","North Rhine-Westphalia","Employed","229","0.099187619366928","0.0879932925614843","0.110381946172372","2"
"No","2006","Lower Saxony","Employed","48","0.0489458323181376","0.0367436622731841","0.0611480023630911","2"
"No","2006","Bremen","Not Employed","1","","","","2"
"No","2006","Hesse","Not Employed","53","0.133378097542312","0.103929121396432","0.162827073688191","2"
"No","2006","Hesse","Employed","94","0.144282266383503","0.122192724836705","0.166371807930302","2"
"No","2006","Rhineland-Palatinate,Saarland","Not Employed","25","","","","2"
"No","2006","Rhineland-Palatinate,Saarland","Employed","50","0.0906144738997126","0.070735011369167","0.110493936430258","2"
"No","2006","Baden-Württemberg","Not Employed","180","0.17852086628289","0.155077017072571","0.201964715493209","2"
"No","2006","Baden-Württemberg","Employed","233","0.141170701151918","0.124657553290334","0.157683849013501","2"
"No","2006","Bavaria","Not Employed","84","0.106394125407115","0.0882467363530983","0.124541514461131","2"
"No","2006","Bavaria","Employed","141","0.0995935175470831","0.0866241751159121","0.112562859978254","2"
"No","2006","Berlin","Not Employed","16","","","","2"
"No","2006","Berlin","Employed","25","","","","2"
"No","2006","Mecklenburg-Western Pomerania","Not Employed","1","","","","2"
"No","2006","Mecklenburg-Western Pomerania","Employed","","","","","2"
"No","2006","Saxony","Not Employed","2","","","","2"
"No","2006","Saxony","Employed","3","","","","2"
"No","2006","Saxony-Anhalt","Not Employed","4","","","","2"
"No","2006","Saxony-Anhalt","Employed","3","","","","2"
"No","2006","Thuringia","Not Employed","2","","","","2"
"No","2006","Thuringia","Employed","","","","","2"
"Yes","2006","Schleswig-Holstein","Not Employed","264","0.948780187139369","0.922630375515412","0.974929998763325","1"
"Yes","2006","Schleswig-Holstein","Employed","386","0.937036544164823","0.913321818192757","0.960751270136888","1"
"Yes","2006","Hamburg","Not Employed","123","0.911883054713005","0.864242377522386","0.959523731903624","1"
"Yes","2006","Hamburg","Employed","167","0.949758355286033","0.917301087971296","0.98221562260077","1"
"Yes","2006","Hesse","Not Employed","459","0.866621902457688","0.837172926311809","0.896070878603567","1"
"Yes","2006","Hesse","Employed","878","0.855717733616497","0.833628192069698","0.877807275163295","1"
"Yes","2006","Rhineland-Palatinate,Saarland","Not Employed","466","0.924377182712474","0.90099105162405","0.947763313800899","1"
"Yes","2006","Rhineland-Palatinate,Saarland","Employed","751","0.909385526100287","0.889506063569742","0.929264988630833","1"
"Yes","2006","Baden-Württemberg","Not Employed","845","0.82147913371711","0.798035284506791","0.844922982927429","1"
"Yes","2006","Baden-Württemberg","Employed","1475","0.858829298848082","0.842316150986498","0.875342446709665","1"
"Yes","2006","Lower Saxony","Not Employed","735","0.935642083175094","0.91836568907254","0.952918477277648","1"
"Yes","2006","Lower Saxony","Employed","1153","0.951054167681862","0.938851997636909","0.963256337726816","1"
"Yes","2006","Bavaria","Not Employed","1025","0.893605874592885","0.875458485538869","0.911753263646902","1"
"Yes","2006","Bavaria","Employed","1907","0.900406482452917","0.887437140021746","0.913375824884088","1"
"Yes","2006","Berlin","Not Employed","284","0.938959958740252","0.911869372132465","0.96605054534804","1"
"Yes","2006","Berlin","Employed","462","0.930348028100923","0.907739460949657","0.952956595252189","1"
"Yes","2006","Brandenburg","Not Employed","406","0.993137164261967","0.985126391203543","1.00114793732039","1"
"Yes","2006","Brandenburg","Employed","536","0.998621475721922","0.995483362501635","1.00175958894221","1"
"Yes","2006","Mecklenburg-Western Pomerania","Not Employed","227","0.999002723353475","0.994905668031781","1.00309977867517","1"
"Yes","2006","Mecklenburg-Western Pomerania","Employed","325","1","1","1","1"
"Yes","2006","Saxony","Not Employed","654","0.992880084736715","0.986446071002058","0.999314098471373","1"
"Yes","2006","Saxony","Employed","927","0.996613837250408","0.992880269925926","1.00034740457489","1"
"Yes","2006","Saxony-Anhalt","Not Employed","388","0.99213308355712","0.983387429546071","1.00087873756817","1"
"Yes","2006","Bremen","Not Employed","58","0.989091921799779","0.962587731933792","1.01559611166577","1"
"Yes","2006","Bremen","Employed","84","0.98228550566256","0.954406189741607","1.01016482158351","1"
