"plj0014_v3","year","bula_h","e11103","n","percent","lower_confidence","upper_confidence"
"No","2001","Thuringia","Full Time","1","","",""
"No","2001","Thuringia","Part Time","","","",""
"No","2001","Thuringia","Not Working","1","","",""
"Yes","2002","Schleswig-Holstein","Full Time","275","0.955198653156517","0.931389635456318","0.979007670856715"
"Yes","2002","Schleswig-Holstein","Part Time","171","0.947597644535175","0.915134080738907","0.980061208331444"
"Yes","2002","Schleswig-Holstein","Not Working","246","0.949702814910775","0.922930013839524","0.976475615982026"
"Yes","2002","Hamburg","Full Time","130","0.9746060468595","0.948068491417679","1.00114360230132"
"Yes","2002","Hamburg","Part Time","75","0.958045288653194","0.913835551397128","1.00225502590926"
"Yes","2002","Hamburg","Not Working","106","0.940824008993809","0.897699304064925","0.983948713922693"
"Yes","2002","Lower Saxony","Full Time","740","0.952934602183295","0.938138642465527","0.967730561901063"
"Yes","2002","Lower Saxony","Part Time","431","0.938118547207047","0.915979878343931","0.960257216070162"
"Yes","2002","Lower Saxony","Not Working","701","0.950522491125924","0.93496054925543","0.966084432996418"
"Yes","2002","Bremen","Full Time","68","0.891573111322362","0.819755852958327","0.963390369686397"
"Yes","2002","Bremen","Part Time","37","0.93732793114524","0.862217390102268","1.01243847218821"
"Yes","2002","Bremen","Not Working","59","0.933107881983326","0.870412352260943","0.99580341170571"
"Yes","2002","North Rhine-Westphalia","Full Time","1778","0.904404356509151","0.891383749044145","0.917424963974157"
"Yes","2002","North Rhine-Westphalia","Part Time","1033","0.900197179709808","0.882790078277855","0.917604281141762"
"Yes","2002","North Rhine-Westphalia","Not Working","1576","0.898434155743926","0.884459766592979","0.912408544894873"
"Yes","2002","Hesse","Full Time","606","0.856078306953693","0.83013111861281","0.882025495294575"
"Yes","2002","Hesse","Part Time","356","0.862232272932661","0.828789375778534","0.895675170086789"
"Yes","2002","Hesse","Not Working","455","0.866831444899493","0.838041596867814","0.895621292931172"
"Yes","2002","Rhineland-Palatinate,Saarland","Full Time","479","0.917584601043451","0.893857183044993","0.941312019041909"
"Yes","2002","Rhineland-Palatinate,Saarland","Part Time","305","0.90946102031088","0.878406772660212","0.940515267961548"
"Yes","2002","Rhineland-Palatinate,Saarland","Not Working","495","0.930449404715234","0.90893359201038","0.951965217420088"
"Yes","2002","Baden-Württemberg","Full Time","960","0.849538236733223","0.829216458739047","0.869860014727399"
"Yes","2002","Baden-Württemberg","Part Time","567","0.819778428961351","0.791324600375501","0.848232257547202"
"Yes","2002","Baden-Württemberg","Not Working","748","0.873028839104888","0.851642320652601","0.894415357557174"
"Yes","2002","Bavaria","Full Time","1303","0.906500579003809","0.891352924290359","0.921648233717259"
"Yes","2002","Bavaria","Part Time","721","0.891969106227581","0.870404553836781","0.913533658618381"
"Yes","2002","Bavaria","Not Working","971","0.919790491481957","0.903423734173376","0.936157248790539"
"Yes","2002","Berlin","Full Time","342","0.907698174537597","0.877880780685327","0.937515568389867"
"Yes","2002","Berlin","Part Time","168","0.913200566244501","0.87229768237962","0.954103450109382"
"Yes","2002","Berlin","Not Working","273","0.928562439353823","0.898919725859205","0.958205152848442"
"Yes","2002","Brandenburg","Full Time","402","1","1","1"
"Yes","2002","Brandenburg","Part Time","170","1","1","1"
"Yes","2002","Brandenburg","Not Working","397","0.995751007106514","0.98936065284884","1.00214136136419"
"Yes","2002","Mecklenburg-Western Pomerania","Full Time","231","0.998047330790958","0.992366733447591","1.00372792813433"
"Yes","2002","Mecklenburg-Western Pomerania","Part Time","107","1","1","1"
"Yes","2002","Mecklenburg-Western Pomerania","Not Working","180","1","1","1"
"Yes","2002","Saxony","Full Time","722","1","1","1"
"Yes","2002","Saxony","Part Time","309","0.988072331842936","0.97602632967083","1.00011833401504"
"Yes","2002","Saxony","Not Working","623","0.996918485970841","0.992569703390391","1.00126726855129"
"Yes","2002","Saxony-Anhalt","Full Time","393","1","1","1"
"Yes","2002","Saxony-Anhalt","Part Time","178","1","1","1"
"Yes","2002","Saxony-Anhalt","Not Working","402","0.990532468735182","0.981077756832312","0.999987180638051"
"Yes","2002","Thuringia","Full Time","413","0.996602643251803","0.990997592948984","1.00220769355462"
"Yes","2002","Thuringia","Part Time","177","1","1","1"
"Yes","2002","Thuringia","Not Working","378","0.987045563167495","0.9756762517644","0.998414874570589"
"No","2002","Schleswig-Holstein","Full Time","15","","",""
"No","2002","Schleswig-Holstein","Part Time","10","","",""
"No","2002","Schleswig-Holstein","Not Working","10","","",""
"No","2002","Hamburg","Full Time","5","","",""
"No","2002","Hamburg","Part Time","4","","",""
"No","2002","Hamburg","Not Working","9","","",""
"No","2002","Lower Saxony","Full Time","47","0.0470653978167052","0.0322694380989371","0.0618613575344733"
"No","2002","Lower Saxony","Part Time","24","","",""
"No","2002","Lower Saxony","Not Working","45","0.0494775088740761","0.0339155670035821","0.0650394507445701"
"No","2002","Bremen","Full Time","4","","",""
"No","2002","Bremen","Part Time","3","","",""
"No","2002","Bremen","Not Working","2","","",""
"No","2002","North Rhine-Westphalia","Full Time","181","0.0955956434908487","0.0825750360258429","0.108616250955855"
"No","2002","North Rhine-Westphalia","Part Time","106","0.0998028202901915","0.0823957188582383","0.117209921722145"
"No","2002","North Rhine-Westphalia","Not Working","219","0.101565844256074","0.0875914551051268","0.115540233407021"
"No","2002","Hesse","Full Time","97","0.143921693046307","0.117974504705425","0.16986888138719"
"No","2002","Hesse","Part Time","52","0.137767727067339","0.104324829913211","0.171210624221466"
"No","2002","Hesse","Not Working","80","0.133168555100507","0.104378707068828","0.161958403132186"
"No","2002","Rhineland-Palatinate,Saarland","Full Time","37","0.0824153989565489","0.0586879809580907","0.106142816955007"
"No","2002","Rhineland-Palatinate,Saarland","Part Time","23","","",""
"No","2002","Rhineland-Palatinate,Saarland","Not Working","42","0.069550595284766","0.0480347825799121","0.0910664079896199"
"No","2002","Baden-Württemberg","Full Time","229","0.150461763266777","0.130139985272601","0.170783541260953"
"No","2002","Baden-Württemberg","Part Time","134","0.180221571038649","0.151767742452798","0.208675399624499"
"No","2002","Baden-Württemberg","Not Working","183","0.126971160895112","0.105584642442825","0.148357679347399"
"No","2002","Bavaria","Full Time","116","0.0934994209961913","0.078351766282741","0.108647075709642"
"No","2002","Bavaria","Part Time","75","0.108030893772419","0.0864663413816194","0.129595446163219"
"No","2002","Bavaria","Not Working","87","0.080209508518043","0.0638427512094614","0.0965762658266245"
"No","2002","Berlin","Full Time","20","","",""
"No","2002","Berlin","Part Time","14","","",""
"No","2002","Berlin","Not Working","17","","",""
"No","2002","Brandenburg","Full Time","","","",""
"No","2002","Brandenburg","Part Time","","","",""
"No","2002","Brandenburg","Not Working","1","","",""
"No","2002","Mecklenburg-Western Pomerania","Full Time","1","","",""
"No","2002","Mecklenburg-Western Pomerania","Part Time","","","",""
"No","2002","Mecklenburg-Western Pomerania","Not Working","","","",""
"No","2002","Saxony","Full Time","","","",""
"No","2002","Saxony","Part Time","3","","",""
"No","2002","Saxony","Not Working","1","","",""
"No","2002","Saxony-Anhalt","Full Time","","","",""
"No","2002","Saxony-Anhalt","Part Time","","","",""
"No","2002","Saxony-Anhalt","Not Working","1","","",""
"No","2002","Thuringia","Full Time","1","","",""
"No","2002","Thuringia","Part Time","","","",""
"No","2002","Thuringia","Not Working","2","","",""
"Yes","2003","Schleswig-Holstein","Full Time","257","0.933531021569232","0.903873331335901","0.963188711802562"
"Yes","2003","Schleswig-Holstein","Part Time","145","0.907286596297193","0.861479660546089","0.953093532048297"
"Yes","2003","Schleswig-Holstein","Not Working","239","0.963615083886549","0.940404259245986","0.986825908527112"
"Yes","2003","Hamburg","Full Time","117","0.974066698186818","0.945978829222821","1.00215456715082"
"Yes","2003","Hamburg","Part Time","62","0.970765888450643","0.930123583813223","1.01140819308806"
"Yes","2003","Hamburg","Not Working","101","0.953544181653302","0.914032518589076","0.993055844717529"
"Yes","2003","Lower Saxony","Full Time","691","0.947645737715372","0.931487808919943","0.963803666510802"
"Yes","2003","Lower Saxony","Part Time","441","0.9303131562224","0.907342834890015","0.953283477554784"
"Yes","2003","Lower Saxony","Not Working","672","0.952538777163833","0.936942900960528","0.968134653367139"
"Yes","2003","Bremen","Full Time","61","0.916394873230645","0.849105080124154","0.983684666337136"
"Yes","2003","Bremen","Part Time","38","0.958493942468871","0.895895112539913","1.02109277239783"
"Yes","2003","Bremen","Not Working","64","0.87500244252009","0.797528712284772","0.952476172755409"
"Yes","2003","North Rhine-Westphalia","Full Time","1638","0.902705116655737","0.888999048794666","0.916411184516808"
"Yes","2003","North Rhine-Westphalia","Part Time","1015","0.904165239090505","0.886918043724473","0.921412434456538"
"Yes","2003","North Rhine-Westphalia","Not Working","1576","0.897651050740372","0.883574002551453","0.91172809892929"
"Yes","2003","Hesse","Full Time","570","0.887448270600148","0.863001123430876","0.91189541776942"
"Yes","2003","Hesse","Part Time","328","0.862001316374473","0.827139853687044","0.896862779061903"
"Yes","2003","Hesse","Not Working","424","0.875118417559414","0.845757730168098","0.90447910495073"
"Yes","2003","Rhineland-Palatinate,Saarland","Full Time","463","0.907693329029922","0.882270754119321","0.933115903940524"
"Yes","2003","Rhineland-Palatinate,Saarland","Part Time","289","0.920142495024262","0.889918333327294","0.950366656721231"
"Yes","2003","Rhineland-Palatinate,Saarland","Not Working","510","0.919787950638732","0.897046326579478","0.942529574697986"
"Yes","2003","Baden-Württemberg","Full Time","908","0.848518265790316","0.827360438541508","0.869676093039125"
"Yes","2003","Baden-Württemberg","Part Time","581","0.853368370097949","0.827107216253973","0.879629523941925"
"Yes","2003","Baden-Württemberg","Not Working","725","0.861740869095385","0.839277251159906","0.884204487030864"
"Yes","2003","Bavaria","Full Time","1205","0.902266495297674","0.886240875135139","0.918292115460209"
"Yes","2003","Bavaria","Part Time","715","0.899694320476888","0.878571698180871","0.920816942772905"
"Yes","2003","Bavaria","Not Working","953","0.900598180080303","0.882492157929401","0.918704202231205"
"Yes","2003","Berlin","Full Time","317","0.918696970607693","0.889343092912762","0.948050848302624"
"Yes","2003","Berlin","Part Time","181","0.901842758357315","0.859975568676722","0.943709948037909"
"Yes","2003","Berlin","Not Working","285","0.91547313717949","0.884202878265626","0.946743396093353"
"Yes","2003","Brandenburg","Full Time","382","1","1","1"
"Yes","2003","Brandenburg","Part Time","168","1","1","1"
"Yes","2003","Brandenburg","Not Working","396","0.989745682556579","0.979860678996718","0.99963068611644"
"Yes","2003","Mecklenburg-Western Pomerania","Full Time","223","1","1","1"
"Yes","2003","Mecklenburg-Western Pomerania","Part Time","115","0.996270298343053","0.985177407622832","1.00736318906327"
"Yes","2003","Mecklenburg-Western Pomerania","Not Working","189","1","1","1"
"Yes","2003","Saxony","Full Time","686","0.999740135091816","0.998534857438093","1.00094541274554"
"Yes","2003","Saxony","Part Time","308","0.987981819613846","0.975851811825602","1.00011182740209"
"Yes","2003","Saxony","Not Working","623","0.993622404770511","0.987381504447619","0.999863305093403"
"Yes","2003","Saxony-Anhalt","Full Time","372","1","1","1"
"Yes","2003","Saxony-Anhalt","Part Time","162","1","1","1"
"Yes","2003","Saxony-Anhalt","Not Working","404","1","1","1"
"Yes","2003","Thuringia","Full Time","388","0.996796181533773","0.991180397169898","1.00241196589765"
"Yes","2003","Thuringia","Part Time","186","1","1","1"
"Yes","2003","Thuringia","Not Working","383","1","1","1"
"No","2003","Schleswig-Holstein","Full Time","14","","",""
"No","2003","Schleswig-Holstein","Part Time","9","","",""
"No","2003","Schleswig-Holstein","Not Working","11","","",""
"No","2003","Hamburg","Full Time","6","","",""
"No","2003","Hamburg","Part Time","4","","",""
"No","2003","Hamburg","Not Working","8","","",""
"No","2003","Lower Saxony","Full Time","39","0.0523542622846277","0.036196333489198","0.0685121910800574"
"No","2003","Lower Saxony","Part Time","31","0.0696868437776006","0.046716522445216","0.0926571651099852"
"No","2003","Lower Saxony","Not Working","42","0.0474612228361668","0.0318653466328613","0.0630570990394723"
"No","2003","Bremen","Full Time","4","","",""
"No","2003","Bremen","Part Time","1","","",""
"No","2003","Bremen","Not Working","6","","",""
"No","2003","North Rhine-Westphalia","Full Time","158","0.0972948833442633","0.0835888154831921","0.111000951205334"
"No","2003","North Rhine-Westphalia","Part Time","104","0.0958347609094947","0.0785875655434618","0.113081956275527"
"No","2003","North Rhine-Westphalia","Not Working","205","0.102348949259628","0.0882719010707103","0.116425997448546"
"No","2003","Hesse","Full Time","72","0.112551729399852","0.08810458223058","0.136998876569124"
"No","2003","Hesse","Part Time","48","0.137998683625527","0.103137220938097","0.172860146312956"
"No","2003","Hesse","Not Working","63","0.124881582440586","0.0955208950492696","0.154242269831902"
"No","2003","Rhineland-Palatinate,Saarland","Full Time","35","0.0923066709700776","0.0668840960594763","0.117729245880679"
"No","2003","Rhineland-Palatinate,Saarland","Part Time","20","","",""
"No","2003","Rhineland-Palatinate,Saarland","Not Working","38","0.0802120493612676","0.0574704253020137","0.102953673420522"
"No","2003","Baden-Württemberg","Full Time","195","0.151481734209684","0.130323906960875","0.172639561458493"
"No","2003","Baden-Württemberg","Part Time","116","0.146631629902051","0.120370476058075","0.172892783746027"
"No","2003","Baden-Württemberg","Not Working","182","0.138259130904615","0.115795512969136","0.160722748840094"
"No","2003","Bavaria","Full Time","114","0.097733504702326","0.0817078845397913","0.113759124864861"
"No","2003","Bavaria","Part Time","62","0.100305679523112","0.0791830572270953","0.121428301819129"
"No","2003","Bavaria","Not Working","96","0.0994018199196974","0.0812957977687954","0.117507842070599"
"No","2003","Berlin","Full Time","16","","",""
"No","2003","Berlin","Part Time","13","","",""
"No","2003","Berlin","Not Working","19","","",""
"No","2003","Brandenburg","Full Time","","","",""
"No","2003","Brandenburg","Part Time","","","",""
"No","2003","Brandenburg","Not Working","3","","",""
"No","2003","Mecklenburg-Western Pomerania","Full Time","","","",""
"No","2003","Mecklenburg-Western Pomerania","Part Time","1","","",""
"No","2003","Mecklenburg-Western Pomerania","Not Working","","","",""
"No","2003","Saxony","Full Time","1","","",""
"No","2003","Saxony","Part Time","2","","",""
"No","2003","Saxony","Not Working","2","","",""
"No","2003","Saxony-Anhalt","Full Time","","","",""
"No","2003","Saxony-Anhalt","Part Time","","","",""
"No","2003","Saxony-Anhalt","Not Working","","","",""
"No","2003","Thuringia","Full Time","1","","",""
"No","2003","Thuringia","Part Time","","","",""
"No","2003","Thuringia","Not Working","","","",""
"Yes","2004","Schleswig-Holstein","Full Time","250","0.930191083871375","0.89939384720111","0.960988320541639"
"Yes","2004","Schleswig-Holstein","Part Time","152","0.949716328870695","0.915749111533355","0.983683546208035"
"Yes","2004","Schleswig-Holstein","Not Working","241","0.922320731800634","0.889532223694079","0.95510923990719"
"Yes","2004","Hamburg","Full Time","111","0.970700199368278","0.94027159879475","1.00112879994181"
"Yes","2004","Hamburg","Part Time","68","0.986721778635627","0.960096986495318","1.01334657077594"
"Yes","2004","Hamburg","Not Working","101","0.947019528547818","0.904968926438863","0.989070130656773"
"Yes","2004","Lower Saxony","Full Time","663","0.947586677001737","0.93104185792587","0.964131496077605"
"Yes","2004","Lower Saxony","Part Time","461","0.920556943689796","0.896588106662594","0.944525780716997"
"Yes","2004","Lower Saxony","Not Working","665","0.952003696106632","0.936258260626592","0.967749131586672"
"Yes","2004","Bremen","Full Time","60","0.931429380953488","0.868522775873605","0.99433598603337"
"Yes","2004","Bremen","Part Time","37","0.751084496147576","0.620318803547282","0.88185018874787"
"Yes","2004","Bremen","Not Working","60","0.94263071221733","0.885657772893331","0.99960365154133"
"Yes","2004","North Rhine-Westphalia","Full Time","1560","0.895013742338494","0.880480646448156","0.909546838228832"
"Yes","2004","North Rhine-Westphalia","Part Time","997","0.905445950192671","0.88805973799044","0.922832162394902"
"Yes","2004","North Rhine-Westphalia","Not Working","1575","0.906223339875118","0.89261942822208","0.919827251528156"
"Yes","2004","Hesse","Full Time","541","0.866417895005909","0.839508635082064","0.893327154929754"
"Yes","2004","Hesse","Part Time","323","0.866984357532768","0.832050079879752","0.901918635185784"
"Yes","2004","Hesse","Not Working","407","0.857545497187856","0.82594704293384","0.889143951441872"
"Yes","2004","Rhineland-Palatinate,Saarland","Full Time","434","0.927110388479813","0.90350812391463","0.950712653044997"
"Yes","2004","Rhineland-Palatinate,Saarland","Part Time","284","0.855281499351842","0.815990841631921","0.894572157071764"
"Yes","2004","Rhineland-Palatinate,Saarland","Not Working","497","0.919798725188639","0.896719070204997","0.94287838017228"
"Yes","2004","Baden-Württemberg","Full Time","878","0.871689429742804","0.851489678888927","0.891889180596681"
"Yes","2004","Baden-Württemberg","Part Time","531","0.839196936756148","0.810758993713476","0.867634879798821"
"Yes","2004","Baden-Württemberg","Not Working","760","0.860315632995726","0.83803592851135","0.882595337480103"
"Yes","2004","Bavaria","Full Time","1160","0.915029546909022","0.899627205279457","0.930431888538588"
"Yes","2004","Bavaria","Part Time","688","0.90567213256031","0.884712034964496","0.926632230156125"
"Yes","2004","Bavaria","Not Working","959","0.890885423464548","0.872080635352475","0.909690211576621"
"Yes","2004","Berlin","Full Time","308","0.934113845113121","0.907017099063013","0.961210591163228"
"Yes","2004","Berlin","Part Time","178","0.906685848015266","0.865217248903569","0.948154447126963"
"Yes","2004","Berlin","Not Working","284","0.930444997715103","0.901705817183391","0.959184178246816"
"Yes","2004","Brandenburg","Full Time","332","0.997596569229564","0.992337374442827","1.0028557640163"
"Yes","2004","Brandenburg","Part Time","186","1","1","1"
"Yes","2004","Brandenburg","Not Working","393","0.992023518693106","0.983251163594206","1.00079587379201"
"Yes","2004","Mecklenburg-Western Pomerania","Full Time","203","0.997834248200115","0.991455043294668","1.00421345310556"
"Yes","2004","Mecklenburg-Western Pomerania","Part Time","111","1","1","1"
"Yes","2004","Mecklenburg-Western Pomerania","Not Working","200","1","1","1"
"Yes","2004","Saxony","Full Time","642","0.997004577609194","0.9927838942759","1.00122526094249"
"Yes","2004","Saxony","Part Time","296","0.992624270212969","0.982893105802904","1.00235543462303"
"Yes","2004","Saxony","Not Working","636","0.99273526798802","0.986150746996396","0.999319788979645"
"Yes","2004","Saxony-Anhalt","Full Time","349","1","1","1"
"Yes","2004","Saxony-Anhalt","Part Time","169","1","1","1"
"Yes","2004","Saxony-Anhalt","Not Working","410","1","1","1"
"Yes","2004","Thuringia","Full Time","386","1","1","1"
"Yes","2004","Thuringia","Part Time","171","0.99322493021558","0.980965661631093","1.00548419880007"
"Yes","2004","Thuringia","Not Working","388","1","1","1"
"No","2004","Schleswig-Holstein","Full Time","13","","",""
"No","2004","Schleswig-Holstein","Part Time","7","","",""
"No","2004","Schleswig-Holstein","Not Working","15","","",""
"No","2004","Hamburg","Full Time","7","","",""
"No","2004","Hamburg","Part Time","3","","",""
"No","2004","Hamburg","Not Working","8","","",""
"No","2004","Lower Saxony","Full Time","34","0.0524133229982625","0.035868503922395","0.06895814207413"
"No","2004","Lower Saxony","Part Time","28","","",""
"No","2004","Lower Saxony","Not Working","43","0.047996303893368","0.0322508684133284","0.0637417393734077"
"No","2004","Bremen","Full Time","2","","",""
"No","2004","Bremen","Part Time","5","","",""
"No","2004","Bremen","Not Working","4","","",""
"No","2004","North Rhine-Westphalia","Full Time","149","0.104986257661506","0.0904531617711681","0.119519353551844"
"No","2004","North Rhine-Westphalia","Part Time","91","0.0945540498073287","0.0771678376050975","0.11194026200956"
"No","2004","North Rhine-Westphalia","Not Working","189","0.0937766601248822","0.0801727484718439","0.10738057177792"
"No","2004","Hesse","Full Time","73","0.133582104994091","0.106672845070246","0.160491364917936"
"No","2004","Hesse","Part Time","40","0.133015642467232","0.0980813648142157","0.167949920120248"
"No","2004","Hesse","Not Working","63","0.142454502812144","0.110856048558128","0.17405295706616"
"No","2004","Rhineland-Palatinate,Saarland","Full Time","32","0.072889611520187","0.0492873469550035","0.0964918760853706"
"No","2004","Rhineland-Palatinate,Saarland","Part Time","24","","",""
"No","2004","Rhineland-Palatinate,Saarland","Not Working","35","0.0802012748113613","0.0571216198277199","0.103280929795003"
"No","2004","Baden-Württemberg","Full Time","175","0.128310570257196","0.108110819403319","0.148510321111073"
"No","2004","Baden-Württemberg","Part Time","110","0.160803063243852","0.132365120201179","0.189241006286524"
"No","2004","Baden-Württemberg","Not Working","170","0.139684367004274","0.117404662519897","0.16196407148865"
"No","2004","Bavaria","Full Time","99","0.0849704530909774","0.0695681114614123","0.100372794720542"
"No","2004","Bavaria","Part Time","59","0.0943278674396897","0.0733677698438755","0.115287965035504"
"No","2004","Bavaria","Not Working","97","0.109114576535452","0.0903097884233792","0.127919364647525"
"No","2004","Berlin","Full Time","14","","",""
"No","2004","Berlin","Part Time","11","","",""
"No","2004","Berlin","Not Working","17","","",""
"No","2004","Brandenburg","Full Time","1","","",""
"No","2004","Brandenburg","Part Time","","","",""
"No","2004","Brandenburg","Not Working","2","","",""
"No","2004","Mecklenburg-Western Pomerania","Full Time","1","","",""
"No","2004","Mecklenburg-Western Pomerania","Part Time","","","",""
"No","2004","Mecklenburg-Western Pomerania","Not Working","","","",""
"No","2004","Saxony","Full Time","2","","",""
"No","2004","Saxony","Part Time","1","","",""
"No","2004","Saxony","Not Working","3","","",""
"No","2004","Saxony-Anhalt","Full Time","","","",""
"No","2004","Saxony-Anhalt","Part Time","","","",""
"No","2004","Saxony-Anhalt","Not Working","","","",""
"No","2004","Thuringia","Full Time","","","",""
"No","2004","Thuringia","Part Time","1","","",""
"No","2004","Thuringia","Not Working","","","",""
"Yes","2005","Schleswig-Holstein","Full Time","236","0.927443750864837","0.895158553034416","0.959728948695258"
"Yes","2005","Schleswig-Holstein","Part Time","150","0.933372769019478","0.894488584720188","0.972256953318768"
"Yes","2005","Schleswig-Holstein","Not Working","235","0.934603871229033","0.903834964977962","0.965372777480104"
"Yes","2005","Hamburg","Full Time","101","0.963796611539345","0.928236553094997","0.999356669983694"
"Yes","2005","Hamburg","Part Time","69","0.949706335017476","0.899911586781066","0.999501083253887"
"Yes","2005","Hamburg","Not Working","103","0.941809150203197","0.898453282519369","0.985165017887025"
"Yes","2005","Lower Saxony","Full Time","605","0.94104832926648","0.922771882131448","0.959324776401512"
"Yes","2005","Lower Saxony","Part Time","433","0.887068429571718","0.858362217030283","0.915774642113153"
"Yes","2005","Lower Saxony","Not Working","662","0.965520601820339","0.951916506124712","0.979124697515965"
"Yes","2005","Bremen","Full Time","50","1","1","1"
"Yes","2005","Bremen","Part Time","33","0.959148009835239","0.892611800195058","1.02568421947542"
"Yes","2005","Bremen","Not Working","62","0.991661966954809","0.969208084187257","1.01411584972236"
"Yes","2005","North Rhine-Westphalia","Full Time","1505","0.903106046203406","0.888819771217814","0.917392321188998"
"Yes","2005","North Rhine-Westphalia","Part Time","919","0.879834869955283","0.859890283516184","0.899779456394382"
"Yes","2005","North Rhine-Westphalia","Not Working","1522","0.893315074369845","0.878687343983633","0.907942804756056"
"Yes","2005","Hesse","Full Time","508","0.892893073818692","0.867505618727004","0.91828052891038"
"Yes","2005","Hesse","Part Time","304","0.840625302081958","0.802001994769086","0.87924860939483"
"Yes","2005","Hesse","Not Working","401","0.868310736112996","0.837273828737815","0.899347643488177"
"Yes","2005","Rhineland-Palatinate,Saarland","Full Time","418","0.881924078435247","0.852108852409032","0.911739304461462"
"Yes","2005","Rhineland-Palatinate,Saarland","Part Time","278","0.881280106361025","0.844738841519105","0.917821371202945"
"Yes","2005","Rhineland-Palatinate,Saarland","Not Working","463","0.923118943817412","0.899555115646176","0.946682771988649"
"Yes","2005","Baden-Württemberg","Full Time","867","0.858923135013389","0.83777715698329","0.880069113043489"
"Yes","2005","Baden-Württemberg","Part Time","492","0.839688100247607","0.809829051083934","0.869547149411279"
"Yes","2005","Baden-Württemberg","Not Working","733","0.845166318341387","0.821727195512174","0.8686054411706"
"Yes","2005","Bavaria","Full Time","1118","0.915261077655648","0.899536878605077","0.930985276706219"
"Yes","2005","Bavaria","Part Time","675","0.890172869119028","0.867583651995731","0.912762086242325"
"Yes","2005","Bavaria","Not Working","895","0.899700124860854","0.880844328912696","0.918555920809012"
"Yes","2005","Berlin","Full Time","284","0.928345434073253","0.89901310126172","0.957677766884786"
"Yes","2005","Berlin","Part Time","167","0.909130693389801","0.866546263841301","0.951715122938302"
"Yes","2005","Berlin","Not Working","272","0.921974423894283","0.890944188405287","0.953004659383278"
"Yes","2005","Brandenburg","Full Time","316","0.997371901354363","0.991735941959174","1.00300786074955"
"Yes","2005","Brandenburg","Part Time","186","1","1","1"
"Yes","2005","Brandenburg","Not Working","384","0.991075612537852","0.981693577680519","1.00045764739519"
"Yes","2005","Mecklenburg-Western Pomerania","Full Time","190","0.998225951318893","0.992257954238474","1.00419394839931"
"Yes","2005","Mecklenburg-Western Pomerania","Part Time","105","1","1","1"
"Yes","2005","Mecklenburg-Western Pomerania","Not Working","209","1","1","1"
"Yes","2005","Saxony","Full Time","631","0.994815040847266","0.989224583952663","1.00040549774187"
"Yes","2005","Saxony","Part Time","279","0.991789165834501","0.98121922891134","1.00235910275766"
"Yes","2005","Saxony","Not Working","617","0.991528837455878","0.984309007835162","0.998748667076594"
"Yes","2005","Saxony-Anhalt","Full Time","325","1","1","1"
"Yes","2005","Saxony-Anhalt","Part Time","184","1","1","1"
"Yes","2005","Saxony-Anhalt","Not Working","390","1","1","1"
"Yes","2005","Thuringia","Full Time","334","1","1","1"
"Yes","2005","Thuringia","Part Time","184","1","1","1"
"Yes","2005","Thuringia","Not Working","374","0.98565642319741","0.973638050203436","0.997674796191385"
"No","2005","Schleswig-Holstein","Full Time","12","","",""
"No","2005","Schleswig-Holstein","Part Time","8","","",""
"No","2005","Schleswig-Holstein","Not Working","13","","",""
"No","2005","Hamburg","Full Time","5","","",""
"No","2005","Hamburg","Part Time","5","","",""
"No","2005","Hamburg","Not Working","9","","",""
"No","2005","Lower Saxony","Full Time","33","0.0589516707335199","0.0406752235984877","0.0772281178685521"
"No","2005","Lower Saxony","Part Time","34","0.112931570428282","0.0842253578868467","0.141637782969717"
"No","2005","Lower Saxony","Not Working","29","","",""
"No","2005","Bremen","Full Time","","","",""
"No","2005","Bremen","Part Time","1","","",""
"No","2005","Bremen","Not Working","1","","",""
"No","2005","North Rhine-Westphalia","Full Time","142","0.0968939537965938","0.0826076788110017","0.111180228782186"
"No","2005","North Rhine-Westphalia","Part Time","102","0.120165130044717","0.100220543605618","0.140109716483816"
"No","2005","North Rhine-Westphalia","Not Working","189","0.106684925630155","0.0920571952439437","0.121312656016367"
"No","2005","Hesse","Full Time","62","0.107106926181308","0.08171947108962","0.132494381272996"
"No","2005","Hesse","Part Time","41","0.159374697918042","0.12075139060517","0.197998005230914"
"No","2005","Hesse","Not Working","55","0.131689263887004","0.100652356511823","0.162726171262185"
"No","2005","Rhineland-Palatinate,Saarland","Full Time","32","0.118075921564753","0.0882606955385381","0.147891147590968"
"No","2005","Rhineland-Palatinate,Saarland","Part Time","23","","",""
"No","2005","Rhineland-Palatinate,Saarland","Not Working","28","","",""
"No","2005","Baden-Württemberg","Full Time","174","0.141076864986611","0.119930886956511","0.16222284301671"
"No","2005","Baden-Württemberg","Part Time","88","0.160311899752393","0.130452850588721","0.190170948916066"
"No","2005","Baden-Württemberg","Not Working","182","0.154833681658613","0.1313945588294","0.178272804487826"
"No","2005","Bavaria","Full Time","87","0.0847389223443519","0.0690147232937807","0.100463121394923"
"No","2005","Bavaria","Part Time","61","0.109827130880972","0.0872379137576754","0.132416348004269"
"No","2005","Bavaria","Not Working","80","0.100299875139146","0.081444079190988","0.119155671087304"
"No","2005","Berlin","Full Time","13","","",""
"No","2005","Berlin","Part Time","8","","",""
"No","2005","Berlin","Not Working","15","","",""
"No","2005","Brandenburg","Full Time","1","","",""
"No","2005","Brandenburg","Part Time","","","",""
"No","2005","Brandenburg","Not Working","2","","",""
"No","2005","Mecklenburg-Western Pomerania","Full Time","1","","",""
