"plj0014_v3","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","1999","Bavaria","Couple + C. LE 16 ","64","0.127017582888161","0.0952844772397503","0.158750688536571","2"
"No","1999","Bavaria","Couple + C. GT 16 ","53","0.121219455023896","0.084530302546045","0.157908607501746","2"
"No","1999","Bavaria","Couple + C. LE and GT 16","22","","","","2"
"No","1999","Berlin","1-pers.-HH","4","","","","2"
"No","1999","Berlin","(Married) couple without C. ","3","","","","2"
"No","1999","Berlin","Single parent ","3","","","","2"
"No","1999","Berlin","Couple + C. LE 16 ","13","","","","2"
"No","1999","Berlin","Couple + C. GT 16 ","10","","","","2"
"No","1999","Berlin","Couple + C. LE and GT 16","5","","","","2"
"No","1999","Brandenburg","1-pers.-HH","1","","","","2"
"No","1999","Brandenburg","(Married) couple without C. ","","","","","2"
"No","1999","Brandenburg","Single parent ","","","","","2"
"No","1999","Brandenburg","Couple + C. LE 16 ","","","","","2"
"No","1999","Hesse","(Married) couple without C. ","59","0.116839398967925","0.0819692509170774","0.151709547018772","2"
"No","1999","Brandenburg","Couple + C. GT 16 ","","","","","2"
"No","1999","Brandenburg","Couple + C. LE and GT 16","","","","","2"
"No","1999","Mecklenburg-Western Pomerania","1-pers.-HH","","","","","2"
"No","1999","Mecklenburg-Western Pomerania","(Married) couple without C. ","","","","","2"
"No","1999","Mecklenburg-Western Pomerania","Single parent ","","","","","2"
"No","1999","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","","","","","2"
"No","1999","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","","","2"
"No","1999","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","","","","","2"
"No","1999","Saxony","1-pers.-HH","","","","","2"
"No","1999","Saxony","(Married) couple without C. ","","","","","2"
"No","1999","Saxony","Single parent ","","","","","2"
"No","1999","Saxony","Couple + C. LE 16 ","2","","","","2"
"No","1999","Saxony","Couple + C. GT 16 ","1","","","","2"
"No","1999","Saxony-Anhalt","(Married) couple without C. ","","","","","2"
"No","1999","Saxony-Anhalt","Single parent ","","","","","2"
"No","1999","Saxony-Anhalt","Couple + C. LE 16 ","","","","","2"
"No","1999","Saxony-Anhalt","Couple + C. GT 16 ","","","","","2"
"No","1999","Saxony-Anhalt","Couple + C. LE and GT 16","","","","","2"
"No","1999","Thuringia","1-pers.-HH","","","","","2"
"No","1999","Thuringia","(Married) couple without C. ","1","","","","2"
"No","1999","Thuringia","Single parent ","","","","","2"
"No","1999","Thuringia","Couple + C. LE 16 ","1","","","","2"
"No","1999","Thuringia","Couple + C. GT 16 ","","","","","2"
"No","1999","Thuringia","Couple + C. LE and GT 16","","","","","2"
"No","1999","Saxony","Couple + C. LE and GT 16","1","","","","2"
"No","1999","Saxony-Anhalt","1-pers.-HH","1","","","","2"
"Yes","1999","Hesse","Couple + C. GT 16 ","106","0.847334665529332","0.791075152492929","0.903594178565735","1"
"Yes","1999","Hesse","Couple + C. LE and GT 16","44","0.688279590186753","0.571076913349404","0.805482267024102","1"
"Yes","1999","Rhineland-Palatinate,Saarland","1-pers.-HH","72","0.970495674570034","0.933181469649498","1.00780987949057","1"
"Yes","1999","Rhineland-Palatinate,Saarland","(Married) couple without C. ","219","0.935736241490372","0.904450109323351","0.967022373657392","1"
"Yes","1999","Rhineland-Palatinate,Saarland","Single parent ","48","0.977110929508388","0.935658584633049","1.01856327438373","1"
"Yes","1999","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","151","0.887688622948816","0.84156174705774","0.933815498839893","1"
"Yes","1999","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","126","0.980801914377496","0.957568378663933","1.00403545009106","1"
"Yes","1999","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","39","0.801804025153081","0.691308517891007","0.912299532415155","1"
"Yes","1999","Baden-Württemberg","1-pers.-HH","178","0.910266001710128","0.87206352393707","0.948468479483187","1"
"Yes","1999","Baden-Württemberg","(Married) couple without C. ","332","0.915837651969816","0.8892543301858","0.942420973753832","1"
"Yes","1999","Baden-Württemberg","Single parent ","65","0.787425288848599","0.70471783671741","0.870132740979788","1"
"Yes","1999","Baden-Württemberg","Couple + C. LE 16 ","286","0.788681465969293","0.749545184191541","0.827817747747046","1"
"Yes","1999","Baden-Württemberg","Couple + C. GT 16 ","203","0.747720753458503","0.702979897776767","0.792461609140239","1"
"Yes","1999","Baden-Württemberg","Couple + C. LE and GT 16","85","0.647454947662777","0.57125201132051","0.723657884005044","1"
"Yes","1999","Bavaria","1-pers.-HH","197","0.927518786509813","0.892860830483917","0.96217674253571","1"
"Yes","1999","Bavaria","(Married) couple without C. ","484","0.882661558197597","0.855887212648697","0.909435903746496","1"
"Yes","1999","Bavaria","Single parent ","85","0.925901242915074","0.873504985187508","0.97829750064264","1"
"Yes","1999","Bavaria","Couple + C. LE 16 ","359","0.872982417111839","0.841249311463429","0.90471552276025","1"
"Yes","1999","Bavaria","Couple + C. GT 16 ","251","0.878780544976104","0.842091392498253","0.915469697453955","1"
"Yes","1999","Bavaria","Couple + C. LE and GT 16","124","0.882544332343775","0.830319516503746","0.934769148183804","1"
"Yes","1999","Berlin","1-pers.-HH","107","0.956068743423891","0.917943030404299","0.994194456443483","1"
"Yes","1999","Berlin","(Married) couple without C. ","145","0.983423228459223","0.962853079321119","1.00399337759733","1"
"Yes","1999","Berlin","Single parent ","35","0.900743594779523","0.805675201280765","0.99581198827828","1"
"Yes","1999","Berlin","Couple + C. LE 16 ","91","0.810912102008707","0.735654534075338","0.886169669942075","1"
"Yes","1999","Berlin","Couple + C. GT 16 ","60","0.870671545101256","0.79206236054918","0.949280729653332","1"
"Yes","1999","Berlin","Couple + C. LE and GT 16","27","","","","1"
"Yes","1999","Brandenburg","1-pers.-HH","66","0.98453815939433","0.954994957503508","1.01408136128515","1"
"Yes","1999","Brandenburg","(Married) couple without C. ","190","1","1","1","1"
"Yes","1999","Brandenburg","Single parent ","43","1","1","1","1"
"Yes","1999","Brandenburg","Couple + C. LE 16 ","111","1","1","1","1"
"Yes","1999","Brandenburg","Couple + C. GT 16 ","111","1","1","1","1"
"Yes","1999","Brandenburg","Couple + C. LE and GT 16","62","1","1","1","1"
"Yes","1999","Mecklenburg-Western Pomerania","1-pers.-HH","48","1","1","1","1"
"Yes","1999","Mecklenburg-Western Pomerania","(Married) couple without C. ","112","1","1","1","1"
"Yes","1999","Mecklenburg-Western Pomerania","Single parent ","28","","","","1"
"Yes","1999","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","78","1","1","1","1"
"Yes","1999","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","78","1","1","1","1"
"Yes","1999","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","47","1","1","1","1"
"Yes","1999","Saxony","1-pers.-HH","119","1","1","1","1"
"Yes","1999","Saxony","(Married) couple without C. ","377","1","1","1","1"
"Yes","1999","Saxony","Single parent ","49","1","1","1","1"
"Yes","1999","Saxony","Couple + C. LE 16 ","234","0.987369262459398","0.973121513757495","1.0016170111613","1"
"Yes","1999","Saxony","Couple + C. GT 16 ","240","0.99629598717616","0.988626435092297","1.00396553926002","1"
"Yes","1999","Schleswig-Holstein","1-pers.-HH","48","1","1","1","1"
"Yes","1999","Schleswig-Holstein","(Married) couple without C. ","102","0.980625840711805","0.954509080488824","1.00674260093479","1"
"Yes","1999","Schleswig-Holstein","Single parent ","20","","","","1"
"Yes","1999","Schleswig-Holstein","Couple + C. LE 16 ","81","0.960322692289943","0.918825537420743","1.00181984715914","1"
"Yes","1999","Schleswig-Holstein","Couple + C. GT 16 ","31","0.770380278569377","0.640041013916147","0.900719543222606","1"
"Yes","1999","Schleswig-Holstein","Couple + C. LE and GT 16","22","","","","1"
"Yes","1999","Hamburg","1-pers.-HH","39","0.915376505209479","0.832188785025457","0.998564225393501","1"
"Yes","1999","Hamburg","(Married) couple without C. ","32","0.92729718001702","0.84363439322097","1.01095996681307","1"
"Yes","1999","Hamburg","Single parent ","9","","","","1"
"Yes","1999","Hamburg","Couple + C. LE 16 ","12","","","","1"
"Yes","1999","Hamburg","Couple + C. GT 16 ","17","","","","1"
"Yes","1999","Hamburg","Couple + C. LE and GT 16","6","","","","1"
"Yes","1999","Lower Saxony","1-pers.-HH","124","0.94345666738218","0.904350309378112","0.982563025386248","1"
"Yes","1999","Lower Saxony","(Married) couple without C. ","362","0.977716291299416","0.962696589912125","0.992735992686707","1"
"Yes","1999","Lower Saxony","Single parent ","54","0.960003481017089","0.910003529108806","1.01000343292537","1"
"Yes","1999","Lower Saxony","Couple + C. LE 16 ","229","0.921388898501539","0.88873829103075","0.954039505972327","1"
"Yes","1999","Lower Saxony","Couple + C. GT 16 ","168","0.910932601833592","0.870850569708608","0.951014633958576","1"
"Yes","1999","Lower Saxony","Couple + C. LE and GT 16","92","0.914727573464035","0.861051391380729","0.968403755547342","1"
"Yes","1999","Bremen","1-pers.-HH","25","","","","1"
"Yes","1999","Hesse","(Married) couple without C. ","267","0.883160601032075","0.848290452981228","0.918030749082923","1"
"Yes","1999","Hesse","Single parent ","19","","","","1"
"Yes","1999","Hesse","Couple + C. LE 16 ","164","0.851975586460005","0.803598114718482","0.900353058201528","1"
"Yes","1999","Saxony","Couple + C. LE and GT 16","90","0.987691722646936","0.965038148145891","1.01034529714798","1"
"Yes","1999","Saxony-Anhalt","1-pers.-HH","81","0.97977207261249","0.949301586283416","1.01024255894156","1"
"Yes","1999","Saxony-Anhalt","(Married) couple without C. ","233","1","1","1","1"
"Yes","1999","Saxony-Anhalt","Single parent ","36","1","1","1","1"
"Yes","1999","Saxony-Anhalt","Couple + C. LE 16 ","104","1","1","1","1"
"Yes","1999","Bremen","(Married) couple without C. ","21","","","","1"
"Yes","1999","Bremen","Single parent ","9","","","","1"
"Yes","1999","Bremen","Couple + C. LE 16 ","10","","","","1"
"Yes","1999","Bremen","Couple + C. GT 16 ","17","","","","1"
"Yes","1999","Bremen","Couple + C. LE and GT 16","","","","","1"
"Yes","1999","North Rhine-Westphalia","1-pers.-HH","323","0.95798503098898","0.936815076284901","0.979154985693059","1"
"Yes","1999","North Rhine-Westphalia","(Married) couple without C. ","712","0.908583179527281","0.888796874996329","0.928369484058233","1"
"Yes","1999","North Rhine-Westphalia","Single parent ","106","0.937546465414367","0.894070471229098","0.981022459599637","1"
"Yes","1999","North Rhine-Westphalia","Couple + C. LE 16 ","536","0.874209113899217","0.848871401789247","0.899546826009188","1"
"Yes","1999","North Rhine-Westphalia","Couple + C. GT 16 ","364","0.861458877479493","0.830358508135629","0.892559246823356","1"
"Yes","1999","North Rhine-Westphalia","Couple + C. LE and GT 16","173","0.816936827277691","0.767174712541457","0.866698942013924","1"
"Yes","1999","Hesse","1-pers.-HH","89","0.940822529097939","0.893374481911365","0.988270576284513","1"
"Yes","1999","Saxony-Anhalt","Couple + C. GT 16 ","141","1","1","1","1"
"Yes","1999","Saxony-Anhalt","Couple + C. LE and GT 16","77","1","1","1","1"
"Yes","1999","Thuringia","1-pers.-HH","71","1","1","1","1"
"Yes","1999","Thuringia","(Married) couple without C. ","198","0.993655887377773","0.982624630448065","1.00468714430748","1"
"Yes","1999","Thuringia","Single parent ","39","1","1","1","1"
"Yes","1999","Thuringia","Couple + C. LE 16 ","140","0.997344523618489","0.988850130427441","1.00583891680954","1"
"Yes","1999","Thuringia","Couple + C. GT 16 ","166","1","1","1","1"
"Yes","1999","Thuringia","Couple + C. LE and GT 16","77","1","1","1","1"
"No","2000","Schleswig-Holstein","(Married) couple without C. ","6","","","","2"
"No","2000","Schleswig-Holstein","1-pers.-HH","3","","","","2"
"No","2000","Schleswig-Holstein","Couple + C. GT 16 ","8","","","","2"
"No","2000","Schleswig-Holstein","Couple + C. LE and GT 16","4","","","","2"
"No","2000","Schleswig-Holstein","Single parent ","1","","","","2"
"No","2000","Hamburg","1-pers.-HH","3","","","","2"
"No","2000","Hamburg","(Married) couple without C. ","6","","","","2"
"No","2000","Schleswig-Holstein","Couple + C. LE 16 ","10","","","","2"
"No","2000","Hamburg","Single parent ","2","","","","2"
"No","2000","Hamburg","Couple + C. LE 16 ","7","","","","2"
"No","2000","Hamburg","Couple + C. GT 16 ","","","","","2"
"No","2000","Hamburg","Couple + C. LE and GT 16","5","","","","2"
"No","2000","Lower Saxony","1-pers.-HH","10","","","","2"
"No","2000","Bavaria","Single parent ","12","","","","2"
"No","2000","Lower Saxony","Single parent ","3","","","","2"
"No","2000","Lower Saxony","Couple + C. LE 16 ","57","0.105559832066278","0.0783809031673876","0.132738760965169","2"
"No","2000","Lower Saxony","Couple + C. GT 16 ","24","","","","2"
"No","2000","Lower Saxony","Couple + C. LE and GT 16","15","","","","2"
"No","2000","Bremen","1-pers.-HH","2","","","","2"
"No","2000","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","14","","","","2"
"No","2000","Baden-Württemberg","Single parent ","39","0.219489927997194","0.153031278661728","0.285948577332661","2"
"No","2000","Baden-Württemberg","Couple + C. LE 16 ","187","0.223977101070479","0.193397060088976","0.254557142051982","2"
"No","2000","Baden-Württemberg","Couple + C. GT 16 ","202","0.289451236450879","0.251653118672974","0.327249354228784","2"
"No","2000","Baden-Württemberg","Couple + C. LE and GT 16","75","0.268449425626208","0.214583412275619","0.322315438976797","2"
"No","2000","Bavaria","1-pers.-HH","35","0.0644972288453776","0.0424072981642654","0.0865871595264898","2"
"No","2000","Bavaria","(Married) couple without C. ","89","0.0866039842032384","0.0693942999197749","0.103813668486702","2"
"No","2000","Lower Saxony","(Married) couple without C. ","24","","","","2"
"No","2000","Bremen","(Married) couple without C. ","3","","","","2"
"No","2000","Bremen","Single parent ","","","","","2"
"No","2000","Bremen","Couple + C. LE 16 ","5","","","","2"
"No","2000","Bremen","Couple + C. GT 16 ","","","","","2"
"No","2000","Bremen","Couple + C. LE and GT 16","4","","","","2"
"No","2000","North Rhine-Westphalia","1-pers.-HH","46","0.0550155605929077","0.0383376758248845","0.0716934453609309","2"
"No","2000","Hesse","Couple + C. LE and GT 16","36","0.309181619199677","0.231509096141152","0.386854142258201","2"
"No","2000","Rhineland-Palatinate,Saarland","Single parent ","5","","","","2"
"No","2000","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","44","0.115471003009921","0.0826845703813315","0.148257435638511","2"
"No","2000","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","22","","","","2"
"No","2000","Baden-Württemberg","1-pers.-HH","36","0.0559777386297942","0.0319971670044476","0.0799583102551407","2"
"No","2000","Baden-Württemberg","(Married) couple without C. ","103","0.0745381614894505","0.0565174635330729","0.0925588594458281","2"
"No","2000","North Rhine-Westphalia","(Married) couple without C. ","137","0.0786986994408508","0.065857136461736","0.0915402624199656","2"
"No","2000","North Rhine-Westphalia","Single parent ","12","","","","2"
"No","2000","North Rhine-Westphalia","Couple + C. LE 16 ","175","0.137098807367804","0.117356578201872","0.156841036533736","2"
"No","2000","North Rhine-Westphalia","Couple + C. GT 16 ","137","0.122371873374407","0.0998312383324981","0.144912508416315","2"
"No","2000","North Rhine-Westphalia","Couple + C. LE and GT 16","75","0.186020729643649","0.148582837667573","0.223458621619725","2"
"No","2000","Hesse","Single parent ","18","","","","2"
"No","2000","Hesse","Couple + C. LE 16 ","77","0.203493969248579","0.163383022375236","0.243604916121923","2"
"No","2000","Hesse","Couple + C. GT 16 ","54","0.141229514485995","0.0975322283073539","0.184926800664636","2"
"No","2000","Rhineland-Palatinate,Saarland","1-pers.-HH","9","","","","2"
"No","2000","Rhineland-Palatinate,Saarland","(Married) couple without C. ","22","","","","2"
"No","2000","Bavaria","Couple + C. LE 16 ","93","0.139600141778113","0.114713686072289","0.164486597483938","2"
"No","2000","Bavaria","Couple + C. GT 16 ","45","0.0682036823729966","0.0474718194015746","0.0889355453444185","2"
"No","2000","Bavaria","Couple + C. LE and GT 16","26","","","","2"
"No","2000","Berlin","1-pers.-HH","13","","","","2"
"No","2000","Berlin","(Married) couple without C. ","1","","","","2"
"No","2000","Berlin","Single parent ","7","","","","2"
"No","2000","Berlin","Couple + C. LE 16 ","22","","","","2"
"No","2000","Berlin","Couple + C. GT 16 ","9","","","","2"
"No","2000","Berlin","Couple + C. LE and GT 16","5","","","","2"
"No","2000","Brandenburg","1-pers.-HH","1","","","","2"
"No","2000","Brandenburg","(Married) couple without C. ","","","","","2"
"No","2000","Brandenburg","Single parent ","","","","","2"
"No","2000","Brandenburg","Couple + C. LE 16 ","","","","","2"
"No","2000","Hesse","1-pers.-HH","15","","","","2"
"No","2000","Hesse","(Married) couple without C. ","74","0.120170453462376","0.0931427704710498","0.147198136453702","2"
"No","2000","Brandenburg","Couple + C. GT 16 ","","","","","2"
"No","2000","Brandenburg","Couple + C. LE and GT 16","","","","","2"
"No","2000","Mecklenburg-Western Pomerania","1-pers.-HH","1","","","","2"
"No","2000","Mecklenburg-Western Pomerania","(Married) couple without C. ","","","","","2"
"No","2000","Mecklenburg-Western Pomerania","Single parent ","1","","","","2"
"No","2000","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","","","","","2"
"No","2000","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","","","2"
"No","2000","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","","","","","2"
"No","2000","Saxony","1-pers.-HH","1","","","","2"
"No","2000","Saxony","(Married) couple without C. ","1","","","","2"
"No","2000","Saxony","Single parent ","","","","","2"
"No","2000","Saxony","Couple + C. LE 16 ","8","","","","2"
"No","2000","Saxony","Couple + C. GT 16 ","1","","","","2"
"No","2000","Saxony","Couple + C. LE and GT 16","1","","","","2"
"No","2000","Saxony-Anhalt","1-pers.-HH","1","","","","2"
"No","2000","Saxony-Anhalt","(Married) couple without C. ","","","","","2"
"No","2000","Saxony-Anhalt","Single parent ","","","","","2"
"No","2000","Saxony-Anhalt","Couple + C. LE 16 ","","","","","2"
"No","2000","Saxony-Anhalt","Couple + C. GT 16 ","","","","","2"
"No","2000","Saxony-Anhalt","Couple + C. LE and GT 16","","","","","2"
"No","2000","Thuringia","1-pers.-HH","","","","","2"
"No","2000","Thuringia","(Married) couple without C. ","1","","","","2"
"No","2000","Thuringia","Single parent ","","","","","2"
"No","2000","Thuringia","Couple + C. LE 16 ","1","","","","2"
"No","2000","Thuringia","Couple + C. GT 16 ","3","","","","2"
"No","2000","Thuringia","Couple + C. LE and GT 16","","","","","2"
"Yes","2000","Schleswig-Holstein","1-pers.-HH","109","0.978394862955555","0.951468687320463","1.00532103859065","1"
"Yes","2000","Schleswig-Holstein","(Married) couple without C. ","268","0.965384324434664","0.943739237381479","0.987029411487849","1"
"Yes","2000","Schleswig-Holstein","Single parent ","42","0.984918243923372","0.948489859538331","1.02134662830841","1"
"Yes","2000","Schleswig-Holstein","Couple + C. LE 16 ","152","0.926066927416342","0.885773784083053","0.966360070749632","1"
"Yes","2000","Schleswig-Holstein","Couple + C. GT 16 ","51","0.802762928569738","0.701229275412282","0.904296581727193","1"
"Yes","2000","Schleswig-Holstein","Couple + C. LE and GT 16","52","0.970714854268385","0.926555408912427","1.01487429962434","1"
"Yes","2000","Hamburg","1-pers.-HH","85","0.96270550879073","0.923116390748236","1.00229462683323","1"
"Yes","2000","Hamburg","(Married) couple without C. ","89","0.945904135231529","0.900416654534779","0.991391615928279","1"
"Yes","2000","Hamburg","Single parent ","16","","","","1"
"Yes","2000","Hamburg","Couple + C. LE 16 ","54","0.92749065142645","0.862412539327598","0.992568763525303","1"
"Yes","2000","Hamburg","Couple + C. GT 16 ","24","","","","1"
"Yes","2000","Hamburg","Couple + C. LE and GT 16","7","","","","1"
"Yes","2000","Lower Saxony","1-pers.-HH","251","0.969797454872416","0.949034453708017","0.990560456036815","1"
"Yes","2000","Lower Saxony","(Married) couple without C. ","630","0.968266188410016","0.954831805588215","0.981700571231816","1"
"Yes","2000","Lower Saxony","Single parent ","91","0.976010079769969","0.945076817941048","1.00694334159889","1"
"Yes","2000","Lower Saxony","Couple + C. LE 16 ","434","0.894440167933722","0.867261239034831","0.921619096832612","1"
"Yes","2000","Lower Saxony","Couple + C. GT 16 ","248","0.917863723226486","0.885233484735934","0.950493961717038","1"
"Yes","2000","Lower Saxony","Couple + C. LE and GT 16","151","0.919689639706933","0.878346783091398","0.961032496322467","1"
"Yes","2000","Hesse","Couple + C. GT 16 ","190","0.858770485514005","0.815073199335364","0.902467771692646","1"
"Yes","2000","Hesse","Couple + C. LE and GT 16","100","0.690818380800323","0.613145857741798","0.768490903858848","1"
"Yes","2000","Rhineland-Palatinate,Saarland","1-pers.-HH","175","0.966197361153102","0.94008492412208","0.992309798184123","1"
"Yes","2000","Rhineland-Palatinate,Saarland","(Married) couple without C. ","403","0.953514082232054","0.933498054847619","0.97353010961649","1"
"Yes","2000","Rhineland-Palatinate,Saarland","Single parent ","74","0.934246141180116","0.87959165394287","0.988900628417362","1"
"Yes","2000","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","321","0.884528996990079","0.851742564361489","0.917315429618669","1"
"Yes","2000","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","204","0.917719597159786","0.88189369966133","0.953545494658242","1"
"Yes","2000","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","88","0.833594107893521","0.761315517675596","0.905872698111446","1"
"Yes","2000","Baden-Württemberg","1-pers.-HH","317","0.944022261370206","0.920041689744859","0.968002832995552","1"
"Yes","2000","Baden-Württemberg","(Married) couple without C. ","713","0.925461838510549","0.907441140554172","0.943482536466927","1"
"Yes","2000","Baden-Württemberg","Single parent ","110","0.780510072002806","0.714051422667339","0.846968721338272","1"
"Yes","2000","Baden-Württemberg","Couple + C. LE 16 ","527","0.776022898929521","0.745442857948018","0.806602939911024","1"
"Yes","2000","Baden-Württemberg","Couple + C. GT 16 ","351","0.710548763549121","0.672750645771216","0.748346881327026","1"
"Yes","2000","Baden-Württemberg","Couple + C. LE and GT 16","185","0.731550574373792","0.677684561023202","0.785416587724381","1"
"Yes","2000","Bavaria","1-pers.-HH","440","0.935502771154622","0.91341284047351","0.957592701835735","1"
"Yes","2000","Bavaria","(Married) couple without C. ","937","0.913396015796762","0.896186331513298","0.930605700080225","1"
"Yes","2000","Bavaria","Single parent ","154","0.941001571705942","0.905158151593025","0.97684499181886","1"
"Yes","2000","Bavaria","Couple + C. LE 16 ","652","0.860399858221887","0.835513402516062","0.885286313927711","1"
"Yes","2000","Bavaria","Couple + C. GT 16 ","523","0.931796317627003","0.911064454655582","0.952528180598425","1"
"Yes","2000","Bavaria","Couple + C. LE and GT 16","231","0.904043062217041","0.868033795445442","0.940052328988639","1"
"Yes","2000","Berlin","1-pers.-HH","197","0.945094197953231","0.914284665191251","0.975903730715211","1"
"Yes","2000","Berlin","(Married) couple without C. ","217","0.994308534096267","0.984322512592735","1.0042945555998","1"
"Yes","2000","Berlin","Single parent ","70","0.91540945583779","0.853255133619786","0.977563778055795","1"
"Yes","2000","Berlin","Couple + C. LE 16 ","140","0.792305506644131","0.729838684611373","0.85477232867689","1"
"Yes","2000","Berlin","Couple + C. GT 16 ","96","0.906130622879448","0.850346473727609","0.961914772031286","1"
"Yes","2000","Berlin","Couple + C. LE and GT 16","29","","","","1"
"Yes","2000","Brandenburg","1-pers.-HH","135","0.991009421038155","0.975145470093936","1.00687337198237","1"
"Yes","2000","Brandenburg","(Married) couple without C. ","322","1","1","1","1"
"Yes","2000","Brandenburg","Single parent ","50","1","1","1","1"
"Yes","2000","Brandenburg","Couple + C. LE 16 ","176","1","1","1","1"
"Yes","2000","Brandenburg","Couple + C. GT 16 ","214","1","1","1","1"
"Yes","2000","Brandenburg","Couple + C. LE and GT 16","88","1","1","1","1"
"Yes","2000","Mecklenburg-Western Pomerania","1-pers.-HH","91","0.995222632939963","0.98113271042686","1.00931255545307","1"
"Yes","2000","Mecklenburg-Western Pomerania","(Married) couple without C. ","179","1","1","1","1"
"Yes","2000","Mecklenburg-Western Pomerania","Single parent ","32","0.980608081265617","0.93355920594299","1.02765695658824","1"
"Yes","2000","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","99","1","1","1","1"
"Yes","2000","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","94","1","1","1","1"
"Yes","2000","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","59","1","1","1","1"
"Yes","2000","Saxony","1-pers.-HH","221","0.996763399153166","0.989291823181954","1.00423497512438","1"
"Yes","2000","Saxony","(Married) couple without C. ","581","0.999125426912931","0.996723860180617","1.00152699364524","1"
"Yes","2000","Saxony","Single parent ","80","1","1","1","1"
"Yes","2000","Saxony","Couple + C. LE 16 ","348","0.983969293480333","0.970922908295934","0.997015678664732","1"
"Yes","2000","Saxony","Couple + C. GT 16 ","324","0.993887642893646","0.985413819358059","1.00236146642923","1"
"Yes","2000","Saxony","Couple + C. LE and GT 16","158","0.994735082104688","0.983486467233286","1.00598369697609","1"
"Yes","2000","Saxony-Anhalt","1-pers.-HH","116","0.984478469965197","0.962079629509192","1.0068773104212","1"
"Yes","2000","Saxony-Anhalt","(Married) couple without C. ","385","1","1","1","1"
"Yes","2000","Saxony-Anhalt","Single parent ","51","1","1","1","1"
"Yes","2000","Bremen","1-pers.-HH","49","0.978102371179384","0.937936822517807","1.01826791984096","1"
"Yes","2000","Bremen","(Married) couple without C. ","54","0.940308005838859","0.878803947447555","1.00181206423016","1"
"Yes","2000","Bremen","Single parent ","7","","","","1"
"Yes","2000","Bremen","Couple + C. LE 16 ","34","0.766742917128676","0.634016279072345","0.899469555185006","1"
"Yes","2000","Bremen","Couple + C. GT 16 ","20","","","","1"
"Yes","2000","Hesse","(Married) couple without C. ","482","0.879829546537624","0.852801863546298","0.90685722952895","1"
"Yes","2000","Hesse","Single parent ","60","0.730617070846884","0.632163667656114","0.829070474037655","1"
"Yes","2000","Hesse","Couple + C. LE 16 ","310","0.796506030751421","0.756395083878077","0.836616977624764","1"
"Yes","2000","Saxony-Anhalt","Couple + C. LE 16 ","151","1","1","1","1"
"Yes","2000","Saxony-Anhalt","Couple + C. GT 16 ","226","1","1","1","1"
"Yes","2000","Saxony-Anhalt","Couple + C. LE and GT 16","96","1","1","1","1"
"Yes","2000","Thuringia","1-pers.-HH","129","1","1","1","1"
"Yes","2000","Thuringia","(Married) couple without C. ","313","0.996104415778753","0.98921437172526","1.00299445983225","1"
"Yes","2000","Bremen","Couple + C. LE and GT 16","8","","","","1"
"Yes","2000","North Rhine-Westphalia","1-pers.-HH","672","0.944984439407092","0.928306554639069","0.961662324175116","1"
"Yes","2000","North Rhine-Westphalia","(Married) couple without C. ","1552","0.921301300559149","0.908459737580034","0.934142863538264","1"
"Yes","2000","North Rhine-Westphalia","Single parent ","206","0.953462238761831","0.925499845670277","0.981424631853386","1"
"Yes","2000","North Rhine-Westphalia","Couple + C. LE 16 ","991","0.862901192632196","0.843158963466264","0.882643421798128","1"
"Yes","2000","North Rhine-Westphalia","Couple + C. GT 16 ","675","0.877628126625593","0.855087491583685","0.900168761667502","1"
"Yes","2000","North Rhine-Westphalia","Couple + C. LE and GT 16","340","0.813979270356351","0.776541378380275","0.851417162332427","1"
"Yes","2000","Hesse","1-pers.-HH","208","0.933181437549873","0.900407602080367","0.96595527301938","1"
"Yes","2000","Thuringia","Single parent ","63","1","1","1","1"
"Yes","2000","Thuringia","Couple + C. LE 16 ","185","0.997995211396084","0.991567000152277","1.00442342263989","1"
"Yes","2000","Thuringia","Couple + C. GT 16 ","223","0.985922995376216","0.970563728162577","1.00128226258985","1"
"Yes","2000","Thuringia","Couple + C. LE and GT 16","96","1","1","1","1"
"No","2001","Brandenburg","Couple + C. LE 16 ","","","","","2"
"No","2001","Schleswig-Holstein","1-pers.-HH","1","","","","2"
"No","2001","Hamburg","1-pers.-HH","3","","","","2"
