"plh0173","year","e11103","n","percent","lower_confidence","upper_confidence","value"
"9 on Scale 1 to 10","1988","Not Working","12","","","","9"
"9 on Scale 1 to 10","1988","Part Time","179","0.136914017322144","0.118263373697896","0.155564660946391","9"
"9 on Scale 1 to 10","1988","Full Time","614","0.140233468659347","0.129996931622981","0.150470005695712","9"
"0 Completely dissatisfied","1989","Full Time","25","","","","0"
"0 Completely dissatisfied","1989","Part Time","7","","","","0"
"0 Completely dissatisfied","1989","Not Working","2","","","","0"
"1 on Scale 1 to 10","1989","Full Time","26","","","","1"
"1 on Scale 1 to 10","1989","Part Time","10","","","","1"
"1 on Scale 1 to 10","1989","Not Working","","","","","1"
"10 Completely satisfied","1989","Part Time","186","0.153928005855262","0.133669438970021","0.174186572740502","10"
"10 Completely satisfied","1989","Full Time","552","0.120714936626144","0.111044408338887","0.130385464913402","10"
"10 Completely satisfied","1989","Not Working","16","","","","10"
"2 on Scale 1 to 10","1989","Not Working","2","","","","2"
"2 on Scale 1 to 10","1989","Part Time","19","","","","2"
"2 on Scale 1 to 10","1989","Full Time","59","0.0142148745954372","0.0107011518247269","0.0177285973661476","2"
"3 on Scale 1 to 10","1989","Part Time","39","0.032524239275234","0.022566291176031","0.0424821873744371","3"
"3 on Scale 1 to 10","1989","Not Working","2","","","","3"
"3 on Scale 1 to 10","1989","Full Time","123","0.0285004266954947","0.0235612810304908","0.0334395723604987","3"
"4 on Scale 1 to 10","1989","Full Time","144","0.0342351913487605","0.0288378869246675","0.0396324957728536","4"
"4 on Scale 1 to 10","1989","Not Working","4","","","","4"
"4 on Scale 1 to 10","1989","Part Time","57","0.0454839776558997","0.0337871775412593","0.0571807777705401","4"
"5 on Scale 1 to 10","1989","Full Time","471","0.10485295589644","0.0957592191774973","0.113946692615382","5"
"5 on Scale 1 to 10","1989","Not Working","21","","","","5"
"5 on Scale 1 to 10","1989","Part Time","136","0.114244041162704","0.0963865658635126","0.132101516461895","5"
"6 on Scale 1 to 10","1989","Not Working","15","","","","6"
"6 on Scale 1 to 10","1989","Full Time","429","0.0965298390132709","0.0877640191004531","0.105295658926089","6"
