"plj0588","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Often","2015","Employed","1-pers.-HH","","","","","2"
"Often","2015","Employed","Single parent ","","","","","2"
"Often","2015","Employed","Couple + C. LE 16 ","","","","","2"
"Often","2015","Employed","Couple + C. LE and GT 16","","","","","2"
"Often","2015","Employed","Couple + C. GT 16 ","","","","","2"
"Rarely ","2015","Not Employed","1-pers.-HH","","","","","4"
"Rarely ","2015","Not Employed","(Married) couple without C. ","","","","","4"
"Rarely ","2015","Not Employed","Single parent ","","","","","4"
"Rarely ","2015","Not Employed","Couple + C. LE 16 ","","","","","4"
"Rarely ","2015","Not Employed","Couple + C. GT 16 ","","","","","4"
"Rarely ","2015","Not Employed","Couple + C. LE and GT 16","","","","","4"
"Rarely ","2015","Employed","1-pers.-HH","","","","","4"
"Rarely ","2015","Employed","(Married) couple without C. ","","","","","4"
"Rarely ","2015","Employed","Couple + C. LE and GT 16","","","","","4"
"Rarely ","2015","Employed","Single parent ","","","","","4"
"Rarely ","2015","Employed","Couple + C. LE 16 ","","","","","4"
"Rarely ","2015","Employed","Couple + C. GT 16 ","","","","","4"
"Sometimes","2015","Not Employed","Single parent ","","","","","3"
"Sometimes","2015","Not Employed","Couple + C. LE and GT 16","","","","","3"
"Sometimes","2015","Employed","Single parent ","","","","","3"
"Sometimes","2015","Employed","Couple + C. LE 16 ","","","","","3"
"Sometimes","2015","Employed","Couple + C. LE and GT 16","","","","","3"
"Sometimes","2015","Not Employed","(Married) couple without C. ","","","","","3"
"Sometimes","2015","Not Employed","Couple + C. LE 16 ","","","","","3"
"Sometimes","2015","Not Employed","Couple + C. GT 16 ","","","","","3"
"Sometimes","2015","Employed","1-pers.-HH","","","","","3"
"Sometimes","2015","Employed","(Married) couple without C. ","","","","","3"
"Sometimes","2015","Employed","Couple + C. GT 16 ","","","","","3"
"Sometimes","2015","Not Employed","1-pers.-HH","","","","","3"
"Very often","2015","Not Employed","1-pers.-HH","","","","","1"
"Very often","2015","Not Employed","(Married) couple without C. ","","","","","1"
"Very often","2015","Not Employed","Single parent ","","","","","1"
"Very often","2015","Not Employed","Couple + C. LE 16 ","","","","","1"
"Very often","2015","Not Employed","Couple + C. LE and GT 16","","","","","1"
"Very often","2015","Employed","1-pers.-HH","","","","","1"
"Very often","2015","Employed","(Married) couple without C. ","","","","","1"
"Very often","2015","Employed","Single parent ","","","","","1"
"Very often","2015","Employed","Couple + C. LE 16 ","","","","","1"
"Very often","2015","Employed","Couple + C. GT 16 ","","","","","1"
"Very often","2015","Employed","Couple + C. LE and GT 16","","","","","1"
"Very often","2015","Not Employed","Couple + C. GT 16 ","","","","","1"
"Never","2016","Not Employed","(Married) couple without C. ","47","0.328630324149778","0.25054392989625","0.406716718403307","5"
"Never","2016","Employed","(Married) couple without C. ","","","","","5"
"Never","2016","Employed","Single parent ","","","","","5"
"Never","2016","Employed","Couple + C. LE 16 ","","","","","5"
"Never","2016","Employed","Couple + C. GT 16 ","","","","","5"
"Never","2016","Not Employed","1-pers.-HH","219","0.207089261754302","0.181143332160592","0.233035191348012","5"
"Never","2016","Not Employed","Single parent ","96","0.246096807546022","0.200379390802403","0.291814224289641","5"
"Never","2016","Not Employed","Couple + C. LE 16 ","640","0.344133621504276","0.322167909305333","0.366099333703218","5"
"Never","2016","Not Employed","Couple + C. GT 16 ","30","0.531706245639422","0.411321575547122","0.652090915731722","5"
"Never","2016","Not Employed","Couple + C. LE and GT 16","155","0.327333808612106","0.281291522935855","0.373376094288357","5"
"Never","2016","Employed","1-pers.-HH","","","","","5"
"Never","2016","Employed","Couple + C. LE and GT 16","","","","","5"
"Often","2016","Not Employed","(Married) couple without C. ","19","","","","2"
"Often","2016","Not Employed","Single parent ","48","0.103264420786431","0.0709662104188776","0.135562631153984","2"
"Often","2016","Not Employed","Couple + C. LE 16 ","208","0.122185862942929","0.107043773120794","0.137327952765065","2"
"Often","2016","Not Employed","1-pers.-HH","178","0.220998848816807","0.194431858893556","0.247565838740058","2"
"Often","2016","Not Employed","Couple + C. GT 16 ","4","","","","2"
"Often","2016","Not Employed","Couple + C. LE and GT 16","34","0.110255901768863","0.0795235975242616","0.140988206013464","2"
"Often","2016","Employed","(Married) couple without C. ","","","","","2"
"Often","2016","Employed","1-pers.-HH","","","","","2"
"Often","2016","Employed","Single parent ","","","","","2"
"Often","2016","Employed","Couple + C. LE 16 ","","","","","2"
"Often","2016","Employed","Couple + C. LE and GT 16","","","","","2"
"Often","2016","Employed","Couple + C. GT 16 ","","","","","2"
"Rarely ","2016","Not Employed","(Married) couple without C. ","26","","","","4"
"Rarely ","2016","Not Employed","1-pers.-HH","169","0.166318117524172","0.142475811514316","0.190160423534028","4"
"Rarely ","2016","Not Employed","Single parent ","59","0.179488028761286","0.13875646288183","0.220219594640742","4"
"Rarely ","2016","Not Employed","Couple + C. LE 16 ","357","0.190539161281351","0.172381324899719","0.208696997662983","4"
"Rarely ","2016","Not Employed","Couple + C. LE and GT 16","100","0.263335449549128","0.220118790265456","0.3065521088328","4"
"Rarely ","2016","Not Employed","Couple + C. GT 16 ","16","","","","4"
"Rarely ","2016","Employed","1-pers.-HH","","","","","4"
"Rarely ","2016","Employed","(Married) couple without C. ","","","","","4"
"Rarely ","2016","Employed","Couple + C. LE and GT 16","","","","","4"
"Rarely ","2016","Employed","Single parent ","","","","","4"
"Rarely ","2016","Employed","Couple + C. LE 16 ","","","","","4"
"Rarely ","2016","Employed","Couple + C. GT 16 ","","","","","4"
"Sometimes","2016","Not Employed","Couple + C. LE and GT 16","90","0.251964609127077","0.209366287517597","0.294562930736557","3"
"Sometimes","2016","Employed","Single parent ","","","","","3"
"Sometimes","2016","Employed","Couple + C. LE and GT 16","","","","","3"
"Sometimes","2016","Not Employed","(Married) couple without C. ","37","0.298404497073079","0.222339164027398","0.37446983011876","3"
"Sometimes","2016","Not Employed","Single parent ","102","0.367781922552479","0.316602009262519","0.41896183584244","3"
"Sometimes","2016","Not Employed","Couple + C. GT 16 ","11","","","","3"
"Sometimes","2016","Employed","(Married) couple without C. ","","","","","3"
