"year","hgtyp1hh","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1996","Couple + C. GT 16 ","East Germany","42.7","40","419","35","40","46","52","75","41.78","43.62","2.5","80","40","42"
"1996","Couple + C. GT 16 ","West Germany","37.57","39","935","20","35","43","50","72","36.8","38.34","0.5","80","38.5","40"
"1996","Couple + C. LE 16","East Germany","43.26","42","612","30","40","50","60","70","42.39","44.13","5","80","42","43"
"1996","Couple + C. LE 16","West Germany","37.17","40","1405","16","30","45","50","70","36.47","37.87","1.5","80","39","40"
"1996","Couple + C. LE and GT 16","East Germany","43.35","40.07","276","38","40","46","55","75","42.23","44.47","7","78","40","42"
"1996","Couple + C. LE and GT 16","West Germany","36.68","39","515","19.3","33","42","50","70","35.7","37.66","3","70","38.5","39"
"1996","Single parent","East Germany","42","41","96","35","40","45","50","60","40.38","43.62","11","60","40","42"
"1996","Single parent","West Germany","35.53","38.5","262","19.5","30","40.5","46","60","34.16","36.9","4","60","38.5","40"
"1997","(Married) couple without C.","East Germany","43.25","42","406","34","40","48","56","75","42.21","44.29","1","80","40","42.5"
"1997","(Married) couple without C.","West Germany","39.83","40","1280","22","37.5","45","50","75","39.21","40.45","1","80","40","40"
"1997","1-pers.-HH","East Germany","42.97","43","114","35","40","47","53","62","41.2","44.74","1","80","41","45"
"1997","1-pers.-HH","West Germany","41.4","40","501","30","38.5","45","55","70","40.46","42.34","2","80","40","40"
"1997","Couple + C. GT 16 ","East Germany","43.48","41","474","35","40","48","56","80","42.6","44.36","4.5","80","40","42"
"1997","Couple + C. GT 16 ","West Germany","37.56","40","922","19","35","43","50","76","36.78","38.34","2","80","39","40"
"1997","Couple + C. LE 16","East Germany","43.73","42","522","30","40","50","60","70","42.82","44.64","8","75","42","43"
"1997","Couple + C. LE 16","West Germany","37.67","40","1403","18","30","45","53","70","36.95","38.39","1.5","80","40","40"
"1997","Couple + C. LE and GT 16","East Germany","43.97","42","261","35.7","40","50","60","75","42.83","45.11","3","79","41","43"
"1997","Couple + C. LE and GT 16","West Germany","37.37","39","503","19","35","42","50","70","36.31","38.43","2","72","38.5","40"
"1997","Single parent","East Germany","40.18","40","100","27","38","45","51","65","38.2","42.16","10","70","40","42"
"1997","Single parent","West Germany","35.75","38.5","253","20","28","40","47","65","34.32","37.18","6","80","38.5","40"
"1998","(Married) couple without C.","East Germany","43.31","42","447","32","40","50","60","76","42.24","44.38","2","80","40.5","42"
"1998","(Married) couple without C.","West Germany","39.64","40","1498","23","37","45","50","70","39.06","40.22","2","80","40","40"
"1998","1-pers.-HH","East Germany","40.69","42","127","30","40","45","50","60","38.76","42.62","5","70","40","43"
"1998","1-pers.-HH","West Germany","41.11","40","603","30","38","45.5","50","65","40.32","41.9","8.5","80","40","40"
"1998","Couple + C. GT 16 ","East Germany","43.03","42","523","35.9","40","46","50","80","42.2","43.86","5","80","41","42"
"1998","Couple + C. GT 16 ","West Germany","38.22","40","976","20","35","43","50","70","37.49","38.95","3","80","38.5","40"
"1998","Couple + C. LE 16","East Germany","43.14","42","537","30","40","50","55","72","42.2","44.08","4","80","41","42.5"
"1998","Couple + C. LE 16","West Germany","37.51","40","1538","15","30","45","53","70","36.81","38.21","2","80","40","40"
"1998","Couple + C. LE and GT 16","East Germany","42.64","41","256","35","40","45","55","65","41.44","43.84","5","72","40","42"
"1998","Couple + C. LE and GT 16","West Germany","36.79","39","494","18","32","43","50","60","35.71","37.87","4","77","38.5","40"
"1998","Single parent","East Germany","40.42","40","95","30","38","44","50","60","38.7","42.14","5","60","40","41"
"1998","Single parent","West Germany","35","38.5","294","15","29","41","48","66","33.56","36.44","3","70","38","39"
"1999","(Married) couple without C.","East Germany","42.13","41.68","484","30","40","48","55","75","41.15","43.11","2","80","40","42"
"1999","(Married) couple without C.","West Germany","38.89","40","1535","20","36","45","50","70","38.3","39.48","2","80","40","40"
"1999","1-pers.-HH","East Germany","40.91","41","156","30","40","45","50","60","39.3","42.52","5","60","40","42"
"1999","1-pers.-HH","West Germany","40.49","40","615","25","38","45","55","70","39.61","41.37","4","80","40","40"
"1999","Couple + C. GT 16 ","East Germany","41.82","40","508","32.5","40","45.5","55","66","40.86","42.78","2","75","40","42"
"1999","Couple + C. GT 16 ","West Germany","36.85","39","1000","15","35","43","50","65","36.09","37.61","0.5","80","38.5","40"
"1999","Couple + C. LE 16","East Germany","42.9","42","539","30","40","49","60","80","41.91","43.89","6","80","41","42"
"1999","Couple + C. LE 16","West Germany","37.14","40","1623","12","28.5","45","55","72","36.42","37.86","1","80","39.5","40"
"1999","Couple + C. LE and GT 16","East Germany","41.33","42","264","26.2","39","48","52","70","39.98","42.68","5","72.8","40","42"
"1999","Couple + C. LE and GT 16","West Germany","35.71","39","495","15","30","42","50","65","34.54","36.88","2","75","38.5","40"
"1999","Single parent","East Germany","40.03","40","117","30","38","43","50","70","38.17","41.89","8","75","40","41"
"1999","Single parent","West Germany","35.86","38.5","297","18","30","40","48","60","34.45","37.27","2","76","38.5","40"
"2000","(Married) couple without C.","East Germany","41.91","42","706","26.5","40","47.5","56","72","41.08","42.74","4","80","40","42"
"2000","(Married) couple without C.","West Germany","39.26","40","2619","20","37","45","55","72","38.77","39.75","1","80","40","40"
"2000","1-pers.-HH","East Germany","40.13","40","284","22","39","45","50.5","70","38.69","41.57","4","80","40","42"
"2000","1-pers.-HH","West Germany","40.25","40","1236","25","38","45","50","70","39.6","40.9","2","80","40","40"
"2000","Couple + C. GT 16 ","East Germany","41.76","40","764","32","40","45","54","70","41.02","42.5","2.5","80","40","41"
"2000","Couple + C. GT 16 ","West Germany","37.34","40","1696","19.2","35","43","50","70","36.74","37.94","1.5","80","39.5","40"
"2000","Couple + C. LE 16","East Germany","42.26","40.97","753","30","40","48","60","74","41.42","43.1","2.5","80","40","42"
"2000","Couple + C. LE 16","West Germany","37.49","40","2913","15","30","45","54","70","36.96","38.02","1","80","40","40"
"2000","Couple + C. LE and GT 16","East Germany","42.82","40","344","35","40","46","55","71","41.85","43.79","6","78","40","40.5"
"2000","Couple + C. LE and GT 16","West Germany","35.97","39","882","14","27","42.5","50","70","35.03","36.91","2","80","38.5","40"
"2000","Single parent","East Germany","39.43","40","170","30","36","45","50","70","37.76","41.1","2","72","40","40"
"2000","Single parent","West Germany","35.21","38.5","529","20","29","40","46","62","34.19","36.23","3","72","38.5","40"
"2001","(Married) couple without C.","East Germany","40.62","40","700","25","38","45","55","70","39.72","41.52","2","80","40","41"
"2001","(Married) couple without C.","West Germany","38.95","40","2302","20","35","45","55","70","38.44","39.46","1","80","40","40"
"2001","1-pers.-HH","East Germany","41.84","40","260","30","40","46","53","72","40.45","43.23","1","80","40","42"
"2001","1-pers.-HH","West Germany","39.92","40","1127","24","37.5","45","51","70","39.21","40.63","2","80","40","40"
