"pld0044","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Sometimes","2003","Schleswig-Holstein","Single parent ","5","","",""
"Sometimes","2003","Schleswig-Holstein","Couple + C. LE 16 ","17","","",""
"Sometimes","2003","Schleswig-Holstein","Couple + C. GT 16 ","17","","",""
"Sometimes","2003","Schleswig-Holstein","Couple + C. LE and GT 16","12","","",""
"Sometimes","2003","Hamburg","1-pers.-HH","13","","",""
"Sometimes","2003","Hamburg","(Married) couple without C. ","8","","",""
"Sometimes","2003","Hamburg","Single parent ","2","","",""
"Sometimes","2003","Hamburg","Couple + C. LE 16 ","8","","",""
"Sometimes","2003","Hamburg","Couple + C. GT 16 ","5","","",""
"Sometimes","2003","Hamburg","Couple + C. LE and GT 16","3","","",""
"Sometimes","2003","Lower Saxony","1-pers.-HH","20","","",""
"Sometimes","2003","Lower Saxony","(Married) couple without C. ","50","0.0608245115795152","0.0417951390256329","0.0798538841333975"
"Sometimes","2003","Lower Saxony","Single parent ","16","","",""
"Sometimes","2003","Lower Saxony","Couple + C. LE 16 ","67","0.186473301571184","0.14877251615653","0.224174086985838"
"Sometimes","2003","Lower Saxony","Couple + C. GT 16 ","62","0.20768540491431","0.165665177884121","0.249705631944499"
"Sometimes","2003","Lower Saxony","Couple + C. LE and GT 16","39","0.248371561029786","0.177306447491942","0.319436674567629"
"Sometimes","2003","Bremen","1-pers.-HH","6","","",""
"Sometimes","2003","Bremen","(Married) couple without C. ","8","","",""
"Sometimes","2003","Bremen","Single parent ","1","","",""
"Sometimes","2003","Bremen","Couple + C. LE 16 ","3","","",""
"Sometimes","2003","Bremen","Couple + C. GT 16 ","4","","",""
"Sometimes","2003","Bremen","Couple + C. LE and GT 16","5","","",""
"Sometimes","2003","North Rhine-Westphalia","1-pers.-HH","92","0.128206168331597","0.102162173990876","0.154250162672319"
"Sometimes","2003","North Rhine-Westphalia","(Married) couple without C. ","169","0.101470761023029","0.0864435371014751","0.116497984944583"
"Sometimes","2003","North Rhine-Westphalia","Single parent ","45","0.243935596501718","0.185147669525089","0.302723523478348"
"Sometimes","2003","North Rhine-Westphalia","Couple + C. LE 16 ","143","0.143218053439842","0.121185110343883","0.1652509965358"
"Sometimes","2003","North Rhine-Westphalia","Couple + C. GT 16 ","137","0.183891237796972","0.156722021423232","0.211060454170711"
"Sometimes","2003","North Rhine-Westphalia","Couple + C. LE and GT 16","68","0.209683786782303","0.168092050281661","0.251275523282946"
"Sometimes","2003","Hesse","1-pers.-HH","28","","",""
