"pld0044","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"Very often","2018","middle vocational","West Germany","74","0.00590636576697426","0.0042965083427675","0.00751622319118102"
"Very often","2018","middle vocational","East Germany","10","","",""
"Very often","2018","vocational + Abi","West Germany","14","","",""
"Very often","2018","vocational + Abi","East Germany","1","","",""
"Very often","2018","higher vocational","West Germany","5","","",""
"Very often","2018","higher vocational","East Germany","","","",""
"Very often","2018","higher education","West Germany","22","","",""
"Very often","2018","higher education","East Germany","5","","",""
"Often","2018","in school","West Germany","51","0.166339289011108","0.123331815079828","0.209346762942388"
"Often","2018","in school","East Germany","11","","",""
"Often","2018","inadequately","West Germany","28","","",""
"Often","2018","inadequately","East Germany","2","","",""
"Often","2018","general elemantary","West Germany","114","0.0424382530887309","0.0341363792113272","0.0507401269661345"
"Often","2018","general elemantary","East Germany","12","","",""
"Often","2018","middle vocational","West Germany","357","0.0394282489899996","0.0353395772006344","0.0435169207793647"
"Often","2018","middle vocational","East Germany","57","0.0180458096137222","0.0130858594717761","0.0230057597556682"
"Often","2018","vocational + Abi","West Germany","87","0.0604320028036036","0.0493901863809393","0.0714738192262679"
"Often","2018","vocational + Abi","East Germany","11","","",""
"Often","2018","higher vocational","West Germany","23","","",""
"Often","2018","higher vocational","East Germany","6","","",""
"Often","2018","higher education","West Germany","202","0.0476520063409698","0.041708497082492","0.0535955155994477"
"Often","2018","higher education","East Germany","28","","",""
"Sometimes","2018","in school","West Germany","117","0.366647545118457","0.310993214068559","0.422301876168356"
"Sometimes","2018","in school","East Germany","21","","",""
"Sometimes","2018","inadequately","West Germany","88","0.254717853577942","0.213147672376994","0.296288034778891"
"Sometimes","2018","inadequately","East Germany","10","","",""
"Sometimes","2018","general elemantary","West Germany","457","0.183639322652377","0.16769383272182","0.199584812582934"
"Sometimes","2018","general elemantary","East Germany","54","0.131709045838171","0.0984436054180714","0.164974486258271"
"Sometimes","2018","middle vocational","West Germany","1384","0.151906817249338","0.144365902733754","0.159447731764922"
"Sometimes","2018","middle vocational","East Germany","303","0.11578768991124","0.103865583753525","0.127709796068956"
"Sometimes","2018","vocational + Abi","West Germany","321","0.17845729199296","0.16071437002387","0.196200213962049"
"Sometimes","2018","vocational + Abi","East Germany","54","0.189034461032282","0.146135695651917","0.231933226412646"
"Sometimes","2018","higher vocational","West Germany","144","0.138523984793614","0.117767138931503","0.159280830655725"
"Sometimes","2018","higher vocational","East Germany","27","","",""
"Sometimes","2018","higher education","West Germany","988","0.21638449630369","0.204895843818468","0.227873148788912"
"Sometimes","2018","higher education","East Germany","176","0.13555304499611","0.117557520701733","0.153548569290487"
"Rarely","2018","in school","West Germany","59","0.199629817783396","0.153465119380239","0.245794516186554"
"Rarely","2018","in school","East Germany","11","","",""
"Rarely","2018","inadequately","West Germany","90","0.188746410257418","0.151411979703821","0.226080840811016"
"Rarely","2018","inadequately","East Germany","11","","",""
"Rarely","2018","general elemantary","West Germany","616","0.265952670219892","0.247756575160866","0.284148765278919"
"Rarely","2018","general elemantary","East Germany","106","0.239232152551864","0.197267011573947","0.281197293529781"
"Rarely","2018","middle vocational","West Germany","2791","0.315062033517049","0.305302315832882","0.324821751201216"
"Rarely","2018","middle vocational","East Germany","718","0.278059388363253","0.261365287637411","0.294753489089095"
"Rarely","2018","vocational + Abi","West Germany","660","0.374555403922699","0.35212715453005","0.396983653315348"
"Rarely","2018","vocational + Abi","East Germany","112","0.352274929916478","0.299937869795901","0.404611990037056"
"Rarely","2018","higher vocational","West Germany","412","0.360736933691654","0.331882511065369","0.38959135631794"
"Rarely","2018","higher vocational","East Germany","108","0.321551814426593","0.275077172413459","0.368026456439727"
"Rarely","2018","higher education","West Germany","1949","0.37981429552071","0.366273286058086","0.393355304983334"
"Rarely","2018","higher education","East Germany","505","0.374330543757081","0.348889155801755","0.399771931712407"
"Never","2018","in school","West Germany","44","0.193196680046417","0.147599759284372","0.238793600808463"
"Never","2018","in school","East Germany","15","","",""
"Never","2018","inadequately","West Germany","205","0.479976311597285","0.432309804245177","0.527642818949394"
"Never","2018","inadequately","East Germany","33","0.677898381305126","0.557640694345595","0.798156068264658"
"Never","2018","general elemantary","West Germany","1045","0.497030579294177","0.476439631699299","0.517621526889055"
"Never","2018","general elemantary","East Germany","216","0.580737515847729","0.532199079615915","0.629275952079543"
"Never","2018","middle vocational","West Germany","4097","0.48769653447664","0.477195016481879","0.4981980524714"
"Never","2018","middle vocational","East Germany","1679","0.585739047644064","0.567384968526555","0.604093126761573"
"Never","2018","vocational + Abi","West Germany","707","0.381099313420267","0.358594651858226","0.403603974982308"
"Never","2018","vocational + Abi","East Germany","142","0.401204640066803","0.347502043020485","0.454907237113121"
"Never","2018","higher vocational","West Germany","480","0.475204857815552","0.44519854613865","0.505211169492455"
"Never","2018","higher vocational","East Germany","247","0.565840899921483","0.516523082293777","0.61515871754919"
"Never","2018","higher education","West Germany","1774","0.352076043201872","0.338750504683484","0.365401581720259"
"Never","2018","higher education","East Germany","676","0.469969761084231","0.44373204838577","0.496207473782692"
