"plh0187","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"Very rare","2010","16-34 y.","Female","325","0.172358780962805","0.155198963362736","0.189518598562875"
"Very rare","2010","16-34 y.","Male","508","0.259846544393149","0.239127152052906","0.280565936733393"
"Very rare","2010","35-65 y.","Female","788","0.160981256763589","0.150545217537548","0.171417295989629"
"Very rare","2010","35-65 y.","Male","1154","0.251820949402749","0.238854824125775","0.264787074679723"
"Very rare","2010","66 and older","Female","313","0.138987548820963","0.124261954752045","0.153713142889881"
"Very rare","2010","66 and older","Male","483","0.233631549398949","0.214684792097658","0.252578306700239"
"Often","2011","16-34 y.","Female","327","0.155381593412335","0.140432715342937","0.170330471481732"
"Often","2011","16-34 y.","Male","138","0.070463973327391","0.0593418093338664","0.0815861373209157"
"Often","2011","35-65 y.","Female","767","0.136898762439325","0.12821843235739","0.145579092521259"
"Often","2011","35-65 y.","Male","404","0.0895606688648171","0.0818671974771406","0.0972541402524936"
"Often","2011","66 and older","Female","365","0.144203802545216","0.130925999496553","0.157481605593879"
"Often","2011","66 and older","Male","147","0.0607165640533294","0.0512834303078787","0.07014969779878"
"Rarely","2011","16-34 y.","Female","725","0.324617949357614","0.305296506026294","0.343939392688933"
"Rarely","2011","16-34 y.","Male","815","0.400781577607976","0.379484546248212","0.42207860896774"
"Rarely","2011","35-65 y.","Female","1840","0.289032824445616","0.277585500630978","0.300480148260255"
"Rarely","2011","35-65 y.","Male","1945","0.348342392770416","0.335505761294288","0.361179024246544"
"Rarely","2011","66 and older","Female","767","0.279761716680248","0.262795502975603","0.296727930384893"
"Rarely","2011","66 and older","Male","882","0.355274466506524","0.336369605014878","0.37417932799817"
"Sometimes","2011","16-34 y.","Female","790","0.340958869056275","0.321398105692964","0.360519632419586"
"Sometimes","2011","16-34 y.","Male","520","0.266948094103659","0.247723667615149","0.286172520592168"
"Sometimes","2011","35-65 y.","Female","2222","0.367229382341934","0.355056386521761","0.379402378162107"
"Sometimes","2011","35-65 y.","Male","1501","0.293077833859542","0.280814304940615","0.305341362778469"
"Sometimes","2011","66 and older","Female","988","0.378446637795228","0.360115297246853","0.396777978343603"
"Sometimes","2011","66 and older","Male","682","0.294305909930301","0.276304281280537","0.312307538580064"
"Very often","2011","16-34 y.","Female","105","0.0425345284563375","0.0342070999035113","0.0508619570091638"
"Very often","2011","16-34 y.","Male","38","0.0148357876730675","0.00958188244185635","0.0200896929042786"
"Very often","2011","35-65 y.","Female","240","0.0460600040012672","0.0407666843105464","0.0513533236919881"
"Very often","2011","35-65 y.","Male","80","0.0160786774867978","0.0126898963468141","0.0194674586267815"
"Very often","2011","66 and older","Female","94","0.04125381087213","0.0337369493108794","0.0487706724333805"
"Very often","2011","66 and older","Male","40","0.017429678624605","0.012260392427481","0.022598964821729"
"Very rare","2011","16-34 y.","Female","309","0.136507059717439","0.122339811757723","0.150674307677155"
"Very rare","2011","16-34 y.","Male","523","0.246970567287907","0.228229203448818","0.265711931126996"
"Very rare","2011","35-65 y.","Female","955","0.160779026771858","0.151503075221083","0.170054978322632"
"Very rare","2011","35-65 y.","Male","1362","0.252940427018427","0.241228592845883","0.26465226119097"
"Very rare","2011","66 and older","Female","475","0.156334032107178","0.14260737706218","0.170060687152176"
"Very rare","2011","66 and older","Male","711","0.272273380885241","0.254690469420581","0.289856292349901"
"Often","2012","16-34 y.","Female","256","0.129447543749508","0.115313611179751","0.143581476319264"
"Often","2012","16-34 y.","Male","107","0.050483899909842","0.040835338564166","0.060132461255518"
"Often","2012","35-65 y.","Female","710","0.127927705284683","0.11947696359098","0.136378446978385"
"Often","2012","35-65 y.","Male","364","0.0856186154042789","0.0779916705274151","0.0932455602811426"
"Often","2012","66 and older","Female","318","0.123384590046518","0.110961043974613","0.135808136118424"
"Often","2012","66 and older","Male","156","0.0648161685273914","0.0552074444541623","0.0744248926006205"
"Rarely","2012","16-34 y.","Female","766","0.358077847170378","0.337891927343666","0.37826376699709"
"Rarely","2012","16-34 y.","Male","777","0.409797268196932","0.388124215620522","0.431470320773341"
"Rarely","2012","35-65 y.","Female","2023","0.317969377540239","0.306187056197169","0.329751698883309"
"Rarely","2012","35-65 y.","Male","1991","0.370027387635138","0.356866639165705","0.383188136104571"
"Rarely","2012","66 and older","Female","802","0.292942226216927","0.275750123279295","0.310134329154559"
"Rarely","2012","66 and older","Male","983","0.379782227714388","0.360840701381434","0.398723754047342"
"Sometimes","2012","16-34 y.","Female","719","0.30758814251918","0.288157566370156","0.327018718668204"
"Sometimes","2012","16-34 y.","Male","460","0.240032524103607","0.22121044923545","0.258854598971764"
"Sometimes","2012","35-65 y.","Female","1987","0.334380845344773","0.322444541129327","0.34631714956022"
"Sometimes","2012","35-65 y.","Male","1328","0.267037371456022","0.254977858799706","0.279096884112338"
"Sometimes","2012","66 and older","Female","974","0.377575970628237","0.359263121714845","0.395888819541629"
"Sometimes","2012","66 and older","Male","609","0.256933913249524","0.239880944899688","0.273986881599359"
"Very often","2012","16-34 y.","Female","66","0.0268122136585496","0.0200110488961522","0.0336133784209471"
"Very often","2012","16-34 y.","Male","22","","",""
"Very often","2012","35-65 y.","Female","213","0.0403529723369057","0.035374113607632","0.0453318310661794"
"Very often","2012","35-65 y.","Male","69","0.0147062282480177","0.011425000773732","0.0179874557223033"
"Very often","2012","66 and older","Female","99","0.0411083686736858","0.0336083827409676","0.0486083546064041"
"Very often","2012","66 and older","Male","41","0.0202515260677052","0.014754070531828","0.0257489816035823"
"Very rare","2012","16-34 y.","Female","360","0.178074252902385","0.161966480171881","0.194182025632888"
"Very rare","2012","16-34 y.","Male","612","0.291243875928431","0.271221677519697","0.311266074337166"
"Very rare","2012","35-65 y.","Female","1068","0.179369099493399","0.169662121956918","0.18907607702988"
"Very rare","2012","35-65 y.","Male","1418","0.262610397256544","0.250615203079889","0.274605591433199"
"Very rare","2012","66 and older","Female","499","0.164988844434632","0.150967682909796","0.179010005959468"
"Very rare","2012","66 and older","Male","733","0.278216164440992","0.26072694990017","0.295705378981815"
"Often","2013","16-34 y.","Female","419","0.112282104700862","0.101397687630685","0.12316652177104"
"Often","2013","16-34 y.","Male","129","0.0564652705401459","0.0474191806927836","0.0655113603875081"
"Often","2013","35-65 y.","Female","986","0.124071218001259","0.116970061713141","0.131172374289378"
"Often","2013","35-65 y.","Male","462","0.0780128174123191","0.0715967703600827","0.0844288644645554"
"Often","2013","66 and older","Female","328","0.141830301826824","0.128391728444202","0.155268875209446"
"Often","2013","66 and older","Male","146","0.0688981641240803","0.0587923374249086","0.079003990823252"
"Rarely","2013","16-34 y.","Female","1151","0.347430206398547","0.331014495852369","0.363845916944726"
"Rarely","2013","16-34 y.","Male","979","0.386133754220966","0.367052935486379","0.405214572955553"
"Rarely","2013","35-65 y.","Female","2825","0.326307329733797","0.316207745969174","0.336406913498421"
"Rarely","2013","35-65 y.","Male","2678","0.376096216397562","0.364507631440367","0.387684801354756"
"Rarely","2013","66 and older","Female","796","0.297337531908033","0.27973073680134","0.314944327014726"
"Rarely","2013","66 and older","Male","919","0.376418420763735","0.357087546188903","0.395749295338567"
"Sometimes","2013","16-34 y.","Female","1015","0.328451892624844","0.312260400831136","0.344643384418552"
"Sometimes","2013","16-34 y.","Male","585","0.230890784931629","0.214375405619439","0.247406164243819"
"Sometimes","2013","35-65 y.","Female","2791","0.346657181410767","0.33640586091637","0.356908501905165"
"Sometimes","2013","35-65 y.","Male","1622","0.256178709427761","0.245735645504358","0.266621773351163"
"Sometimes","2013","66 and older","Female","929","0.365447774468367","0.346898436576558","0.383997112360176"
"Sometimes","2013","66 and older","Male","621","0.266279662283526","0.248643515390526","0.283915809176526"
"Very often","2013","16-34 y.","Female","132","0.0364879219628476","0.0300237104002252","0.0429521335254699"
"Very often","2013","16-34 y.","Male","31","0.0169587997747104","0.0118985184560102","0.0220190810934106"
"Very often","2013","35-65 y.","Female","324","0.0376624892210977","0.0335616063318493","0.0417633721103461"
"Very often","2013","35-65 y.","Male","92","0.016219667712699","0.0131976837071625","0.0192416517182355"
"Very often","2013","66 and older","Female","98","0.040454399501838","0.0328651688070956","0.0480436301965803"
"Very often","2013","66 and older","Male","26","","",""
"Very rare","2013","16-34 y.","Female","515","0.175347874312899","0.162238014156295","0.188457734469503"
"Very rare","2013","16-34 y.","Male","777","0.309551390532549","0.291432846138721","0.327669934926377"
"Very rare","2013","35-65 y.","Female","1353","0.165301781633079","0.157300442830974","0.173303120435183"
"Very rare","2013","35-65 y.","Male","1858","0.273492589049659","0.262828717067994","0.284156461031325"
"Very rare","2013","66 and older","Female","438","0.154929992294938","0.140992130312165","0.168867854277711"
"Very rare","2013","66 and older","Male","701","0.27663420432487","0.258785719540386","0.294482689109353"
"Often","2014","16-34 y.","Female","430","0.128422224983266","0.117481323796483","0.139363126170049"
"Often","2014","16-34 y.","Male","167","0.0541375648188266","0.0460224657320821","0.062252663905571"
"Often","2014","35-65 y.","Female","1048","0.128259236857428","0.121169086027195","0.13534938768766"
"Often","2014","35-65 y.","Male","464","0.0716711902884869","0.0656432334797759","0.0776991470971979"
"Often","2014","66 and older","Female","309","0.129414634666595","0.116376475819219","0.142452793513971"
"Often","2014","66 and older","Male","154","0.0574301654742818","0.0481833304801664","0.0666770004683973"
"Rarely","2014","16-34 y.","Female","1222","0.335289017502176","0.31985048493377","0.350727550070582"
"Rarely","2014","16-34 y.","Male","1209","0.413933457684963","0.396270264871411","0.431596650498514"
"Rarely","2014","35-65 y.","Female","2862","0.325999115533739","0.316059812876848","0.335938418190629"
"Rarely","2014","35-65 y.","Male","2637","0.363631825819584","0.352390123572476","0.374873528066692"
"Rarely","2014","66 and older","Female","796","0.306976262501346","0.289060085530939","0.324892439471754"
"Rarely","2014","66 and older","Male","896","0.366477264102368","0.347327169367008","0.385627358837728"
"Sometimes","2014","16-34 y.","Female","1234","0.344892634516947","0.329348085451399","0.360437183582494"
"Sometimes","2014","16-34 y.","Male","647","0.206818191722728","0.192293356288246","0.221343027157209"
"Sometimes","2014","35-65 y.","Female","2759","0.322614715012048","0.312702346568023","0.332527083456074"
"Sometimes","2014","35-65 y.","Male","1733","0.262087562329248","0.251810416240313","0.272364708418183"
"Sometimes","2014","66 and older","Female","898","0.357309431802109","0.338695329572479","0.37592353403174"
"Sometimes","2014","66 and older","Male","613","0.269911471968089","0.252268784546351","0.287554159389827"
"Very often","2014","16-34 y.","Female","136","0.0292202656300261","0.0237124124164202","0.0347281188436319"
"Very often","2014","16-34 y.","Male","39","0.00862450712148854","0.00530849040145233","0.0119405238415247"
"Very often","2014","35-65 y.","Female","369","0.0442371277493699","0.0398771325643842","0.0485971229343557"
"Very often","2014","35-65 y.","Male","96","0.0134365837156476","0.0107459545615178","0.0161272128697773"
"Very often","2014","66 and older","Female","119","0.0485437859418945","0.0401958306052857","0.0568917412785032"
"Very often","2014","66 and older","Male","44","0.0185559610683881","0.0131925534712116","0.0239193686655646"
"Very rare","2014","16-34 y.","Female","570","0.162175857367585","0.150121350084211","0.17423036465096"
"Very rare","2014","16-34 y.","Male","925","0.316486278651994","0.299806835738492","0.333165721565497"
"Very rare","2014","35-65 y.","Female","1506","0.178889804847416","0.170763165463157","0.187016444231675"
"Very rare","2014","35-65 y.","Male","2104","0.289172837847034","0.278577674299059","0.299768001395008"
"Very rare","2014","66 and older","Female","424","0.157755885088055","0.143596947458148","0.171914822717963"
"Very rare","2014","66 and older","Male","725","0.287625137386873","0.269635019120407","0.305615255653339"
"Often","2015","16-34 y.","Female","385","0.114352599886524","0.103184125534726","0.125521074238321"
"Often","2015","16-34 y.","Male","160","0.0630836666198354","0.0538064101155791","0.0723609231240917"
"Often","2015","35-65 y.","Female","905","0.115886430329805","0.108857795127486","0.122915065532124"
"Often","2015","35-65 y.","Male","380","0.0728628546512186","0.0665208582187598","0.0792048510836775"
"Often","2015","66 and older","Female","340","0.133286079424832","0.120029005362799","0.146543153486865"
"Often","2015","66 and older","Male","168","0.0783074820972735","0.067552523695996","0.089062440498551"
"Rarely","2015","16-34 y.","Female","1051","0.34827640434252","0.331556485997595","0.364996322687444"
"Rarely","2015","16-34 y.","Male","1076","0.403986128262399","0.385261116217506","0.422711140307293"
"Rarely","2015","35-65 y.","Female","2681","0.330010855605737","0.319685650713605","0.34033606049787"
"Rarely","2015","35-65 y.","Male","2571","0.389846906580395","0.377946347448598","0.401747465712191"
"Rarely","2015","66 and older","Female","789","0.2993767831451","0.281513194030137","0.317240372260063"
"Rarely","2015","66 and older","Male","894","0.358735476243952","0.339534653213958","0.377936299273947"
"Sometimes","2015","16-34 y.","Female","1054","0.334413745940245","0.317856632054137","0.350970859826353"
"Sometimes","2015","16-34 y.","Male","572","0.226603083650702","0.210627938191689","0.242578229109715"
"Sometimes","2015","35-65 y.","Female","2619","0.336218976370396","0.32584550268758","0.346592450053212"
"Sometimes","2015","35-65 y.","Male","1546","0.247800440806841","0.237265830225877","0.258335051387806"
"Sometimes","2015","66 and older","Female","879","0.35916508094963","0.340452334317657","0.377877827581604"
"Sometimes","2015","66 and older","Male","609","0.277114385394917","0.259196844647526","0.295031926142307"
"Very often","2015","16-34 y.","Female","102","0.0308855158412857","0.0248138847602108","0.0369571469223605"
"Very often","2015","16-34 y.","Male","31","0.00888443176149117","0.00530356903569583","0.0124652944872865"
"Very often","2015","35-65 y.","Female","324","0.0445014141449229","0.0399734538205008","0.049029374469345"
"Very often","2015","35-65 y.","Male","104","0.0173832402404525","0.0141942120272789","0.0205722684536262"
"Very often","2015","66 and older","Female","99","0.0448004401725323","0.0367317024805285","0.0528691778645361"
"Very often","2015","66 and older","Male","40","0.0156477569863979","0.0106793703151873","0.0206161436576084"
"Very rare","2015","16-34 y.","Female","527","0.172071733989426","0.158825527335175","0.185317940643677"
"Very rare","2015","16-34 y.","Male","799","0.297442689705572","0.279998402683181","0.314886976727963"
"Very rare","2015","35-65 y.","Female","1438","0.173382323549139","0.165069368429199","0.181695278669079"
"Very rare","2015","35-65 y.","Male","1851","0.272106557721093","0.261247195508449","0.282965919933736"
"Very rare","2015","66 and older","Female","418","0.163371616307906","0.148951392531898","0.177791840083914"
"Very rare","2015","66 and older","Male","686","0.27019489927746","0.252417996621267","0.287971801933654"
"Often","2016","16-34 y.","Female","317","0.110309837673176","0.0991570960800551","0.121462579266297"
"Often","2016","16-34 y.","Male","149","0.0545311278030694","0.0457405049989813","0.0633217506071574"
"Often","2016","35-65 y.","Female","869","0.121114861717343","0.113820913426253","0.128408810008433"
"Often","2016","35-65 y.","Male","394","0.0716772380050665","0.0652594947933723","0.0780949812167607"
"Often","2016","66 and older","Female","293","0.139439300794683","0.125688924198659","0.153189677390706"
"Often","2016","66 and older","Male","139","0.0725309286117918","0.061974693520258","0.0830871637033257"
"Rarely","2016","16-34 y.","Female","1048","0.352403618549825","0.335396626483008","0.369410610616642"
"Rarely","2016","16-34 y.","Male","1019","0.398742881442647","0.379786721038119","0.417699041847175"
"Rarely","2016","35-65 y.","Female","2621","0.322634710932222","0.312183540870471","0.333085880993974"
"Rarely","2016","35-65 y.","Male","2321","0.36373977826269","0.351770857537205","0.375708698988175"
"Rarely","2016","66 and older","Female","753","0.29219827368645","0.274146250941696","0.310250296431203"
"Rarely","2016","66 and older","Male","921","0.398974240629001","0.379043809743537","0.418904671514465"
"Sometimes","2016","16-34 y.","Female","1048","0.340366309565941","0.323497679264236","0.357234939867645"
"Sometimes","2016","16-34 y.","Male","533","0.219228647616522","0.203211529606833","0.235245765626211"
"Sometimes","2016","35-65 y.","Female","2506","0.331986285082542","0.321458169073358","0.342514401091727"
"Sometimes","2016","35-65 y.","Male","1545","0.255630947807483","0.244778115942404","0.266483779672561"
"Sometimes","2016","66 and older","Female","870","0.36451579482894","0.345411025583875","0.383620564074004"
"Sometimes","2016","66 and older","Male","607","0.254355323674764","0.236630411442683","0.272080235906846"
"Very often","2016","16-34 y.","Female","105","0.0354414862272393","0.0288592210435061","0.0420237514109726"
"Very often","2016","16-34 y.","Male","35","0.0120879811954862","0.00785730477176513","0.0163186576192073"
"Very often","2016","35-65 y.","Female","306","0.0392881783905986","0.0349448225164496","0.0436315342647475"
"Very often","2016","35-65 y.","Male","81","0.0177010065371762","0.0144203328439789","0.0209816802303735"
"Very often","2016","66 and older","Female","98","0.0412443029929961","0.0333508467922381","0.0491377591937541"
"Very often","2016","66 and older","Male","36","0.0150896557353692","0.0101278959839112","0.0200514154868272"
"Very rare","2016","16-34 y.","Female","513","0.161478747983819","0.148378791691903","0.174578704275735"
"Very rare","2016","16-34 y.","Male","827","0.315409361942275","0.297419552804506","0.333399171080044"
"Very rare","2016","35-65 y.","Female","1384","0.184975963877294","0.176295543478051","0.193656384276537"
"Very rare","2016","35-65 y.","Male","1865","0.291251029387585","0.279947289366428","0.302554769408742"
"Very rare","2016","66 and older","Female","424","0.162602327696932","0.147954929297768","0.177249726096096"
"Very rare","2016","66 and older","Male","616","0.259049851349073","0.241218515284993","0.276881187413154"
"Often","2017","16-34 y.","Female","404","0.128245314567037","0.116756976278565","0.139733652855509"
"Often","2017","16-34 y.","Male","140","0.0510348210911023","0.0430239006236718","0.0590457415585327"
