"pgfamstd","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"8","1985","(Married) couple without C. ","East Germany","","","",""
"8","1985","Single parent ","West Germany","","","",""
"8","1985","Single parent ","East Germany","","","",""
"8","1985","Couple + C. LE 16 ","West Germany","","","",""
"8","1985","Couple + C. LE 16 ","East Germany","","","",""
"8","1985","Couple + C. GT 16 ","West Germany","","","",""
"8","1985","Couple + C. GT 16 ","East Germany","","","",""
"8","1985","Couple + C. LE and GT 16","West Germany","","","",""
"8","1985","Couple + C. LE and GT 16","East Germany","","","",""
"1","1986","1-pers.-HH","West Germany","3","","",""
"1","1986","1-pers.-HH","East Germany","","","",""
"1","1986","(Married) couple without C. ","West Germany","2039","0.884811965530755","0.871926344098691","0.897697586962819"
"1","1986","(Married) couple without C. ","East Germany","","","",""
"1","1986","Single parent ","West Germany","14","","",""
"1","1986","Single parent ","East Germany","","","",""
"1","1986","Couple + C. LE 16 ","West Germany","2307","0.969639949871742","0.96276126153081","0.976518638212674"
"1","1986","Couple + C. LE 16 ","East Germany","","","",""
"1","1986","Couple + C. GT 16 ","West Germany","1198","0.584626185724487","0.563484210690912","0.605768160758062"
"1","1986","Couple + C. GT 16 ","East Germany","","","",""
"1","1986","Couple + C. LE and GT 16","West Germany","823","0.591410751638235","0.565446895393812","0.617374607882657"
"1","1986","Couple + C. LE and GT 16","East Germany","","","",""
"2","1986","1-pers.-HH","West Germany","61","0.0434275741492328","0.0313111342316136","0.0555440140668519"
"2","1986","1-pers.-HH","East Germany","","","",""
"2","1986","(Married) couple without C. ","West Germany","28","","",""
"2","1986","(Married) couple without C. ","East Germany","","","",""
"2","1986","Single parent ","West Germany","48","0.093583695767095","0.0678744946373985","0.119292896896792"
"2","1986","Single parent ","East Germany","","","",""
"2","1986","Couple + C. LE 16 ","West Germany","16","","",""
"2","1986","Couple + C. LE 16 ","East Germany","","","",""
"2","1986","Couple + C. GT 16 ","West Germany","11","","",""
"2","1986","Couple + C. GT 16 ","East Germany","","","",""
"2","1986","Couple + C. LE and GT 16","West Germany","6","","",""
"2","1986","Couple + C. LE and GT 16","East Germany","","","",""
"3","1986","1-pers.-HH","West Germany","446","0.359550684681153","0.331023707030067","0.388077662332238"
"3","1986","1-pers.-HH","East Germany","","","",""
"3","1986","(Married) couple without C. ","West Germany","221","0.0752495854258356","0.0646022603506079","0.0858969105010633"
"3","1986","(Married) couple without C. ","East Germany","","","",""
"3","1986","Single parent ","West Germany","236","0.482578462366995","0.438469092852999","0.526687831880991"
"3","1986","Single parent ","East Germany","","","",""
"3","1986","Couple + C. LE 16 ","West Germany","39","0.0138107491684307","0.00913191242679679","0.0184895859100646"
"3","1986","Couple + C. LE 16 ","East Germany","","","",""
"3","1986","Couple + C. GT 16 ","West Germany","851","0.402700350609101","0.381658981238075","0.423741719980127"
"3","1986","Couple + C. GT 16 ","East Germany","","","",""
"3","1986","Couple + C. LE and GT 16","West Germany","534","0.396601083138925","0.370762997580379","0.422439168697471"
"3","1986","Couple + C. LE and GT 16","East Germany","","","",""
"4","1986","1-pers.-HH","West Germany","145","0.127599587617963","0.107765332936603","0.147433842299323"
"4","1986","1-pers.-HH","East Germany","","","",""
"4","1986","(Married) couple without C. ","West Germany","44","0.0146520174731412","0.00980226335541736","0.0195017715908651"
"4","1986","(Married) couple without C. ","East Germany","","","",""
"4","1986","Single parent ","West Germany","87","0.170013350448364","0.136854329600614","0.203172371296114"
"4","1986","Single parent ","East Germany","","","",""
"4","1986","Couple + C. LE 16 ","West Germany","23","","",""
"4","1986","Couple + C. LE 16 ","East Germany","","","",""
"4","1986","Couple + C. GT 16 ","West Germany","13","","",""
"4","1986","Couple + C. GT 16 ","East Germany","","","",""
"4","1986","Couple + C. LE and GT 16","West Germany","3","","",""
"4","1986","Couple + C. LE and GT 16","East Germany","","","",""
"5","1986","1-pers.-HH","West Germany","384","0.456872186249334","0.427259234387881","0.486485138110787"
"5","1986","1-pers.-HH","East Germany","","","",""
"5","1986","(Married) couple without C. ","West Germany","25","","",""
"5","1986","(Married) couple without C. ","East Germany","","","",""
"5","1986","Single parent ","West Germany","101","0.223115391206122","0.186364518603578","0.259866263808665"
"5","1986","Single parent ","East Germany","","","",""
"5","1986","Couple + C. LE 16 ","West Germany","5","","",""
"5","1986","Couple + C. LE 16 ","East Germany","","","",""
"5","1986","Couple + C. GT 16 ","West Germany","8","","",""
"5","1986","Couple + C. GT 16 ","East Germany","","","",""
"5","1986","Couple + C. LE and GT 16","West Germany","3","","",""
"5","1986","Couple + C. LE and GT 16","East Germany","","","",""
"6","1986","1-pers.-HH","West Germany","48","0.010656362196249","0.00455240628273118","0.0167603181097668"
"6","1986","1-pers.-HH","East Germany","","","",""
"6","1986","(Married) couple without C. ","West Germany","1","","",""
"6","1986","(Married) couple without C. ","East Germany","","","",""
"6","1986","Single parent ","West Germany","7","","",""
"6","1986","Single parent ","East Germany","","","",""
"6","1986","Couple + C. LE 16 ","West Germany","","","",""
"6","1986","Couple + C. LE 16 ","East Germany","","","",""
"6","1986","Couple + C. GT 16 ","West Germany","6","","",""
"6","1986","Couple + C. GT 16 ","East Germany","","","",""
"6","1986","Couple + C. LE and GT 16","West Germany","8","","",""
"6","1986","Couple + C. LE and GT 16","East Germany","","","",""
"7","1986","1-pers.-HH","West Germany","","","",""
"7","1986","1-pers.-HH","East Germany","","","",""
"7","1986","(Married) couple without C. ","West Germany","","","",""
"7","1986","(Married) couple without C. ","East Germany","","","",""
"7","1986","Single parent ","West Germany","","","",""
"7","1986","Single parent ","East Germany","","","",""
"7","1986","Couple + C. LE 16 ","West Germany","","","",""
"7","1986","Couple + C. LE 16 ","East Germany","","","",""
"7","1986","Couple + C. GT 16 ","West Germany","","","",""
"7","1986","Couple + C. GT 16 ","East Germany","","","",""
"7","1986","Couple + C. LE and GT 16","West Germany","","","",""
"7","1986","Couple + C. LE and GT 16","East Germany","","","",""
"8","1986","1-pers.-HH","West Germany","","","",""
"8","1986","1-pers.-HH","East Germany","","","",""
"8","1986","(Married) couple without C. ","West Germany","","","",""
"8","1986","(Married) couple without C. ","East Germany","","","",""
"8","1986","Single parent ","West Germany","","","",""
"8","1986","Single parent ","East Germany","","","",""
"8","1986","Couple + C. LE 16 ","West Germany","","","",""
"8","1986","Couple + C. LE 16 ","East Germany","","","",""
"8","1986","Couple + C. GT 16 ","West Germany","","","",""
"8","1986","Couple + C. GT 16 ","East Germany","","","",""
"8","1986","Couple + C. LE and GT 16","West Germany","","","",""
"8","1986","Couple + C. LE and GT 16","East Germany","","","",""
"1","1987","1-pers.-HH","West Germany","","","",""
"1","1987","1-pers.-HH","East Germany","","","",""
"1","1987","(Married) couple without C. ","West Germany","2004","0.879729322936186","0.866558395451825","0.892900250420547"
"1","1987","(Married) couple without C. ","East Germany","","","",""
"1","1987","Single parent ","West Germany","8","","",""
"1","1987","Single parent ","East Germany","","","",""
"1","1987","Couple + C. LE 16 ","West Germany","2287","0.972590923976286","0.965999479414488","0.979182368538083"
"1","1987","Couple + C. LE 16 ","East Germany","","","",""
"1","1987","Couple + C. GT 16 ","West Germany","1247","0.60325201397539","0.582596728132015","0.623907299818765"
"1","1987","Couple + C. GT 16 ","East Germany","","","",""
"1","1987","Couple + C. LE and GT 16","West Germany","739","0.606880537521679","0.579878637192347","0.633882437851011"
"1","1987","Couple + C. LE and GT 16","East Germany","","","",""
"2","1987","1-pers.-HH","West Germany","54","0.038851799399104","0.0273587856603821","0.0503448131378259"
"2","1987","1-pers.-HH","East Germany","","","",""
"2","1987","(Married) couple without C. ","West Germany","17","","",""
"2","1987","(Married) couple without C. ","East Germany","","","",""
"2","1987","Single parent ","West Germany","38","0.0705025678195395","0.0482853553854266","0.0927197802536524"
"2","1987","Single parent ","East Germany","","","",""
"2","1987","Couple + C. LE 16 ","West Germany","13","","",""
"2","1987","Couple + C. LE 16 ","East Germany","","","",""
"2","1987","Couple + C. GT 16 ","West Germany","12","","",""
"2","1987","Couple + C. GT 16 ","East Germany","","","",""
"2","1987","Couple + C. LE and GT 16","West Germany","6","","",""
"2","1987","Couple + C. LE and GT 16","East Germany","","","",""
"3","1987","1-pers.-HH","West Germany","434","0.357607666723478","0.329101635041444","0.386113698405512"
"3","1987","1-pers.-HH","East Germany","","","",""
"3","1987","(Married) couple without C. ","West Germany","242","0.0829578219585451","0.0717895682104794","0.0941260757066109"
"3","1987","(Married) couple without C. ","East Germany","","","",""
"3","1987","Single parent ","West Germany","255","0.491701658482266","0.448313303380039","0.535090013584494"
"3","1987","Single parent ","East Germany","","","",""
"3","1987","Couple + C. LE 16 ","West Germany","28","","",""
"3","1987","Couple + C. LE 16 ","East Germany","","","",""
"3","1987","Couple + C. GT 16 ","West Germany","866","0.382261610347734","0.361744930002763","0.402778290692706"
"3","1987","Couple + C. GT 16 ","East Germany","","","",""
"3","1987","Couple + C. LE and GT 16","West Germany","499","0.383201264094091","0.356325200738481","0.4100773274497"
"3","1987","Couple + C. LE and GT 16","East Germany","","","",""
"4","1987","1-pers.-HH","West Germany","153","0.133002352881609","0.112806053503456","0.153198652259762"
"4","1987","1-pers.-HH","East Germany","","","",""
"4","1987","(Married) couple without C. ","West Germany","45","0.0151512216592885","0.0102050344741006","0.0200974088444763"
"4","1987","(Married) couple without C. ","East Germany","","","",""
"4","1987","Single parent ","West Germany","92","0.178256954223131","0.145040424139874","0.211473484306388"
"4","1987","Single parent ","East Germany","","","",""
"4","1987","Couple + C. LE 16 ","West Germany","25","","",""
"4","1987","Couple + C. LE 16 ","East Germany","","","",""
"4","1987","Couple + C. GT 16 ","West Germany","16","","",""
"4","1987","Couple + C. GT 16 ","East Germany","","","",""
"4","1987","Couple + C. LE and GT 16","West Germany","6","","",""
"4","1987","Couple + C. LE and GT 16","East Germany","","","",""
"5","1987","1-pers.-HH","West Germany","401","0.459399486969466","0.42976027463183","0.489038699307101"
"5","1987","1-pers.-HH","East Germany","","","",""
"5","1987","(Married) couple without C. ","West Germany","34","0.0161318482910112","0.0110306469813349","0.0212330496006875"
"5","1987","(Married) couple without C. ","East Germany","","","",""
"5","1987","Single parent ","West Germany","110","0.23919698635705","0.20217352943099","0.27622044328311"
"5","1987","Single parent ","East Germany","","","",""
"5","1987","Couple + C. LE 16 ","West Germany","3","","",""
"5","1987","Couple + C. LE 16 ","East Germany","","","",""
"5","1987","Couple + C. GT 16 ","West Germany","9","","",""
"5","1987","Couple + C. GT 16 ","East Germany","","","",""
"5","1987","Couple + C. LE and GT 16","West Germany","2","","",""
"5","1987","Couple + C. LE and GT 16","East Germany","","","",""
"6","1987","1-pers.-HH","West Germany","44","0.0111386940263434","0.00489677677146584","0.0173806112812211"
"6","1987","1-pers.-HH","East Germany","","","",""
"6","1987","(Married) couple without C. ","West Germany","1","","",""
"6","1987","(Married) couple without C. ","East Germany","","","",""
"6","1987","Single parent ","West Germany","7","","",""
"6","1987","Single parent ","East Germany","","","",""
"6","1987","Couple + C. LE 16 ","West Germany","1","","",""
"6","1987","Couple + C. LE 16 ","East Germany","","","",""
"6","1987","Couple + C. GT 16 ","West Germany","5","","",""
"6","1987","Couple + C. GT 16 ","East Germany","","","",""
"6","1987","Couple + C. LE and GT 16","West Germany","5","","",""
"6","1987","Couple + C. LE and GT 16","East Germany","","","",""
"7","1987","1-pers.-HH","West Germany","","","",""
"7","1987","1-pers.-HH","East Germany","","","",""
"7","1987","(Married) couple without C. ","West Germany","","","",""
"7","1987","(Married) couple without C. ","East Germany","","","",""
"7","1987","Single parent ","West Germany","","","",""
"7","1987","Single parent ","East Germany","","","",""
"7","1987","Couple + C. LE 16 ","West Germany","","","",""
"7","1987","Couple + C. LE 16 ","East Germany","","","",""
"7","1987","Couple + C. GT 16 ","West Germany","","","",""
"7","1987","Couple + C. GT 16 ","East Germany","","","",""
"7","1987","Couple + C. LE and GT 16","West Germany","","","",""
"7","1987","Couple + C. LE and GT 16","East Germany","","","",""
"8","1987","1-pers.-HH","West Germany","","","",""
"8","1987","1-pers.-HH","East Germany","","","",""
"8","1987","(Married) couple without C. ","West Germany","","","",""
"8","1987","(Married) couple without C. ","East Germany","","","",""
"8","1987","Single parent ","West Germany","","","",""
"8","1987","Single parent ","East Germany","","","",""
"8","1987","Couple + C. LE 16 ","West Germany","","","",""
"8","1987","Couple + C. LE 16 ","East Germany","","","",""
"8","1987","Couple + C. GT 16 ","West Germany","","","",""
"8","1987","Couple + C. GT 16 ","East Germany","","","",""
"8","1987","Couple + C. LE and GT 16","West Germany","","","",""
"8","1987","Couple + C. LE and GT 16","East Germany","","","",""
"1","1988","1-pers.-HH","West Germany","","","",""
"1","1988","1-pers.-HH","East Germany","","","",""
"1","1988","(Married) couple without C. ","West Germany","1936","0.866140908584652","0.852182748014202","0.880099069155103"
"1","1988","(Married) couple without C. ","East Germany","","","",""
"1","1988","Single parent ","West Germany","13","","",""
"1","1988","Single parent ","East Germany","","","",""
"1","1988","Couple + C. LE 16 ","West Germany","2161","0.969915939353217","0.962821415414032","0.977010463292401"
"1","1988","Couple + C. LE 16 ","East Germany","","","",""
"1","1988","Couple + C. GT 16 ","West Germany","1263","0.587301135036823","0.566766092168839","0.607836177904806"
"1","1988","Couple + C. GT 16 ","East Germany","","","",""
"1","1988","Couple + C. LE and GT 16","West Germany","652","0.617328940251281","0.588435154572361","0.646222725930201"
"1","1988","Couple + C. LE and GT 16","East Germany","","","",""
"2","1988","1-pers.-HH","West Germany","65","0.0507617209200152","0.0374014734367258","0.0641219684033046"
"2","1988","1-pers.-HH","East Germany","","","",""
"2","1988","(Married) couple without C. ","West Germany","24","","",""
"2","1988","(Married) couple without C. ","East Germany","","","",""
"2","1988","Single parent ","West Germany","46","0.0919054399357833","0.0666338609019648","0.117177018969602"
