"pgfamstd","year","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Single","2015","Urban Area","4954","0.306309985434575","0.299584542170294","0.313035428698856","3"
"Single","2015","Rural Area","2267","0.272875052789746","0.263842414932445","0.281907690647046","3"
"Widowed","2015","Urban Area","856","0.0776751407690666","0.0737699649083165","0.0815803166298167","5"
"Widowed","2015","Rural Area","543","0.087361354094892","0.0816355397060609","0.0930871684837231","5"
"Divorced","2016","Urban Area","1481","0.0933801965748434","0.0892690498353014","0.0974913433143855","4"
"Divorced","2016","Rural Area","804","0.109006538899599","0.102884264278399","0.115128813520798","4"
"Married","2016","Rural Area","5805","0.511214587340621","0.501394620758451","0.521034553922791","1"
"Married","2016","Urban Area","10932","0.489004469729043","0.481941490144515","0.49606744931357","1"
"Married, but separated","2016","Urban Area","699","0.0266071770149066","0.0243333027041486","0.0288810513256647","2"
"Married, but separated","2016","Rural Area","366","0.0235750934301829","0.0205945503150233","0.0265556365453424","2"
"Single","2016","Rural Area","2445","0.271912197015809","0.263171310230362","0.280653083801256","3"
"Single","2016","Urban Area","5243","0.314811455537991","0.308249197609475","0.321373713466507","3"
"Widowed","2016","Rural Area","534","0.0842915833137883","0.0788337535973272","0.0897494130302494","5"
"Widowed","2016","Urban Area","887","0.0761967011432161","0.0724479999455868","0.0799454023408453","5"
"Divorced","2017","Urban Area","1651","0.097726380509158","0.0937621473611353","0.101690613657181","4"
"Divorced","2017","Rural Area","909","0.105743170637013","0.100047627357563","0.111438713916463","4"
"Married","2017","Rural Area","6493","0.512133578311591","0.502875519203526","0.521391637419657","1"
"Married","2017","Urban Area","12018","0.485666169776291","0.478993868873629","0.492338470678952","1"
"Married, but separated","2017","Urban Area","799","0.0279267857020387","0.0257271836504025","0.0301263877536749","2"
"Married, but separated","2017","Rural Area","349","0.0229069196228563","0.0201359665285749","0.0256778727171376","2"
"Single","2017","Rural Area","2883","0.276140241626306","0.267859486798714","0.284420996453897","3"
"Single","2017","Urban Area","6162","0.313636316745982","0.307442270089803","0.31983036340216","3"
"Widowed","2017","Rural Area","564","0.083076089802234","0.0779641876552096","0.0881879919492584","5"
"Widowed","2017","Urban Area","924","0.0750443472665312","0.0715270943419027","0.0785616001911596","5"
"Divorced","2018","Urban Area","1696","0.099098496551505","0.0949753927221405","0.10322160038087","4"
"Divorced","2018","Rural Area","899","0.108497172768847","0.1025224995077","0.114471846029994","4"
"Married","2018","Rural Area","5975","0.511677142088543","0.502074403160273","0.521279881016813","1"
"Married","2018","Urban Area","11060","0.489188636632236","0.482290678757384","0.496086594507088","1"
"Married, but separated","2018","Rural Area","315","0.0244684084641859","0.0215003864577034","0.0274364304706685","2"
"Married, but separated","2018","Urban Area","700","0.0276501524622083","0.025387529849498","0.0299127750749187","2"
"Single","2018","Urban Area","5820","0.309800032085344","0.303419156462525","0.316180907708162","3"
"Single","2018","Rural Area","2679","0.273391158872377","0.264828943285776","0.281953374458978","3"
"Widowed","2018","Rural Area","541","0.0819661178060476","0.0766963664438131","0.087235869168282","5"
"Widowed","2018","Urban Area","898","0.0742626822687072","0.070644576287927","0.0778807882494873","5"
"Divorced","2019","Urban Area","1549","0.0965154097338507","0.0922442402625456","0.100786579205156","4"
"Divorced","2019","Rural Area","930","0.115785271186962","0.109534311005801","0.122036231368124","4"
"Married","2019","Rural Area","5934","0.513155444667547","0.503390701370551","0.522920187964543","1"
"Married","2019","Urban Area","10613","0.513895984258749","0.506666782994014","0.521125185523485","1"
"Married, but separated","2019","Rural Area","279","0.0224816865127705","0.0195855562183828","0.0253778168071583","2"
"Married, but separated","2019","Urban Area","532","0.0230198451208125","0.0208507321606227","0.0251889580810023","2"
"Single","2019","Urban Area","4872","0.293363185687994","0.286777681416358","0.299948689959629","3"
"Single","2019","Rural Area","2406","0.268387530278864","0.259730619971365","0.277044440586362","3"
"Widowed","2019","Rural Area","516","0.0801900673538564","0.0748842714752801","0.0854958632324326","5"
"Widowed","2019","Urban Area","796","0.0732055751985936","0.0694380871398097","0.0769730632573775","5"
