"pgfamstd","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence","value"
"Single","1986","(Married) couple without C. ","direct migration background","17","","","","3"
"Single","1986","Single parent ","direct migration background","42","0.376776023220816","0.280836234271164","0.472715812170467","3"
"Single","1986","Single parent ","indirect migration background","11","","","","3"
"Single","1986","Couple + C. LE 16 ","no migration background","26","","","","3"
"Single","1986","Couple + C. LE 16 ","direct migration background","11","","","","3"
"Single","1986","Couple + C. LE 16 ","indirect migration background","2","","","","3"
"Single","1986","Couple + C. GT 16 ","no migration background","642","0.412025971728608","0.387570014714661","0.436481928742555","3"
"Single","1986","Couple + C. LE and GT 16","no migration background","299","0.39900526230925","0.364258810025051","0.433751714593449","3"
"Single","1986","(Married) couple without C. ","indirect migration background","3","","","","3"
"Single","1986","Single parent ","no migration background","183","0.490451565452929","0.440254722756047","0.540648408149811","3"
"Widowed","1986","(Married) couple without C. ","indirect migration background","","","","","5"
"Widowed","1986","1-pers.-HH","no migration background","357","0.469701994020126","0.437059666224077","0.502344321816174","5"
"Widowed","1986","1-pers.-HH","direct migration background","26","","","","5"
"Widowed","1986","1-pers.-HH","indirect migration background","1","","","","5"
"Widowed","1986","(Married) couple without C. ","no migration background","23","","","","5"
"Widowed","1986","(Married) couple without C. ","direct migration background","2","","","","5"
"Widowed","1986","Single parent ","no migration background","83","0.226235091140893","0.184223405934417","0.268246776347369","5"
"Widowed","1986","Single parent ","direct migration background","18","","","","5"
"Widowed","1986","Single parent ","indirect migration background","","","","","5"
"Widowed","1986","Couple + C. LE 16 ","no migration background","4","","","","5"
"Widowed","1986","Couple + C. LE 16 ","direct migration background","1","","","","5"
"Widowed","1986","Couple + C. LE 16 ","indirect migration background","","","","","5"
"Widowed","1986","Couple + C. GT 16 ","no migration background","8","","","","5"
"Widowed","1986","Couple + C. GT 16 ","direct migration background","","","","","5"
"Widowed","1986","Couple + C. GT 16 ","indirect migration background","","","","","5"
"Widowed","1986","Couple + C. LE and GT 16","no migration background","3","","","","5"
"Widowed","1986","Couple + C. LE and GT 16","direct migration background","","","","","5"
"Widowed","1986","Couple + C. LE and GT 16","indirect migration background","","","","","5"
"Divorced","1987","(Married) couple without C. ","indirect migration background","","","","","4"
"Divorced","1987","1-pers.-HH","no migration background","123","0.129327392679491","0.107355534469116","0.151299250889866","4"
"Divorced","1987","Couple + C. LE 16 ","no migration background","22","","","","4"
"Divorced","1987","1-pers.-HH","indirect migration background","2","","","","4"
"Divorced","1987","(Married) couple without C. ","no migration background","40","0.015397319441409","0.00994218139668755","0.0208524574861304","4"
"Divorced","1987","(Married) couple without C. ","direct migration background","5","","","","4"
"Divorced","1987","Single parent ","direct migration background","19","","","","4"
"Divorced","1987","1-pers.-HH","direct migration background","28","","","","4"
"Divorced","1987","Single parent ","indirect migration background","","","","","4"
"Divorced","1987","Couple + C. LE 16 ","direct migration background","3","","","","4"
"Divorced","1987","Couple + C. LE 16 ","indirect migration background","","","","","4"
"Divorced","1987","Couple + C. GT 16 ","no migration background","13","","","","4"
"Divorced","1987","Couple + C. GT 16 ","direct migration background","3","","","","4"
"Divorced","1987","Couple + C. GT 16 ","indirect migration background","","","","","4"
"Divorced","1987","Couple + C. LE and GT 16","no migration background","3","","","","4"
"Divorced","1987","Couple + C. LE and GT 16","direct migration background","2","","","","4"
"Divorced","1987","Couple + C. LE and GT 16","indirect migration background","1","","","","4"
"Divorced","1987","Single parent ","no migration background","73","0.173876064162772","0.136826972252212","0.210925156073331","4"
"Married","1987","1-pers.-HH","no migration background","","","","","1"
"Married","1987","1-pers.-HH","direct migration background","","","","","1"
"Married","1987","1-pers.-HH","indirect migration background","","","","","1"
"Married","1987","(Married) couple without C. ","no migration background","1653","0.876825659417489","0.862265389485171","0.891385929349808","1"
"Married","1987","(Married) couple without C. ","direct migration background","343","0.918122752130463","0.890335584373121","0.945909919887805","1"
"Married","1987","(Married) couple without C. ","indirect migration background","8","","","","1"
"Married","1987","Single parent ","no migration background","6","","","","1"
"Married","1987","Single parent ","direct migration background","2","","","","1"
"Married","1987","Single parent ","indirect migration background","","","","","1"
"Married","1987","Couple + C. LE 16 ","no migration background","1419","0.971690596802326","0.963217863368771","0.980163330235881","1"
"Married","1987","Couple + C. LE 16 ","direct migration background","848","0.985428630545779","0.977433869898053","0.993423391193505","1"
"Married","1987","Couple + C. LE 16 ","indirect migration background","20","","","","1"
"Married","1987","Couple + C. GT 16 ","no migration background","920","0.594870937728424","0.570853943810687","0.618887931646161","1"
"Married","1987","Couple + C. GT 16 ","direct migration background","324","0.729599258641832","0.690391613179772","0.768806904103892","1"
"Married","1987","Couple + C. GT 16 ","indirect migration background","3","","","","1"
"Married","1987","Couple + C. LE and GT 16","no migration background","382","0.600408584896755","0.562926158867199","0.637891010926311","1"
"Married","1987","Couple + C. LE and GT 16","direct migration background","353","0.666978329623634","0.627518980162199","0.706437679085068","1"
"Married","1987","Couple + C. LE and GT 16","indirect migration background","4","","","","1"
"Married, but separated","1987","1-pers.-HH","no migration background","41","0.0367823103021635","0.0244576257314019","0.0491069948729251","2"
"Married, but separated","1987","(Married) couple without C. ","no migration background","10","","","","2"
"Married, but separated","1987","(Married) couple without C. ","direct migration background","8","","","","2"
"Married, but separated","1987","Single parent ","indirect migration background","1","","","","2"
"Married, but separated","1987","Couple + C. LE and GT 16","direct migration background","10","","","","2"
"Married, but separated","1987","Single parent ","direct migration background","16","","","","2"
"Married, but separated","1987","1-pers.-HH","indirect migration background","1","","","","2"
"Married, but separated","1987","(Married) couple without C. ","indirect migration background","","","","","2"
"Married, but separated","1987","Single parent ","no migration background","28","","","","2"
"Married, but separated","1987","Couple + C. LE 16 ","no migration background","10","","","","2"
"Married, but separated","1987","Couple + C. LE 16 ","indirect migration background","","","","","2"
"Married, but separated","1987","Couple + C. GT 16 ","no migration background","7","","","","2"
"Married, but separated","1987","1-pers.-HH","direct migration background","56","0.191213270914501","0.133441708446676","0.248984833382325","2"
"Married, but separated","1987","Couple + C. LE and GT 16","no migration background","1","","","","2"
"Married, but separated","1987","Couple + C. LE 16 ","direct migration background","4","","","","2"
"Married, but separated","1987","Couple + C. GT 16 ","direct migration background","9","","","","2"
"Married, but separated","1987","Couple + C. GT 16 ","indirect migration background","1","","","","2"
"Married, but separated","1987","Couple + C. LE and GT 16","indirect migration background","","","","","2"
"Single","1987","Couple + C. GT 16 ","direct migration background","157","0.250626199119797","0.212371294977995","0.288881103261599","3"
"Single","1987","Couple + C. LE and GT 16","indirect migration background","48","0.8682760055328","0.777227776660738","0.959324234404862","3"
"Single","1987","1-pers.-HH","no migration background","362","0.361043793587616","0.329594595603884","0.392492991571347","3"
"Single","1987","1-pers.-HH","direct migration background","64","0.308128850047175","0.240299620793016","0.375958079301335","3"
"Single","1987","1-pers.-HH","indirect migration background","8","","","","3"
"Single","1987","Couple + C. LE and GT 16","direct migration background","183","0.316503361586473","0.277561638269301","0.355445084903645","3"
"Single","1987","(Married) couple without C. ","no migration background","223","0.0865810764741023","0.0741216178804831","0.0990405350677214","3"
"Single","1987","Single parent ","direct migration background","42","0.371322594392896","0.275172029941333","0.467473158844459","3"
"Single","1987","Single parent ","indirect migration background","10","","","","3"
"Single","1987","Couple + C. LE 16 ","direct migration background","7","","","","3"
"Single","1987","Couple + C. LE 16 ","indirect migration background","2","","","","3"
"Single","1987","Couple + C. GT 16 ","no migration background","656","0.391121798142741","0.367247434954307","0.414996161331175","3"
"Single","1987","Couple + C. GT 16 ","indirect migration background","53","0.86199095249609","0.772451219257167","0.951530685735013","3"
"Single","1987","Couple + C. LE and GT 16","no migration background","268","0.391246911134339","0.353901072084145","0.428592750184532","3"
"Single","1987","(Married) couple without C. ","direct migration background","15","","","","3"
"Single","1987","(Married) couple without C. ","indirect migration background","4","","","","3"
"Single","1987","Single parent ","no migration background","203","0.497337580888838","0.448461214496092","0.546213947281584","3"
"Single","1987","Couple + C. LE 16 ","no migration background","19","","","","3"
"Widowed","1987","Couple + C. LE 16 ","no migration background","2","","","","5"
"Widowed","1987","1-pers.-HH","no migration background","370","0.47284650343073","0.440155916133829","0.50553709072763","5"
"Widowed","1987","1-pers.-HH","direct migration background","30","0.327126081018477","0.258203342847329","0.396048819189626","5"
"Widowed","1987","(Married) couple without C. ","no migration background","31","0.0165805923089405","0.01092312457164","0.022238060046241","5"
