"pgfamstd","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Widowed","1990","66 and older","higher education","19","","","","5"
"Widowed","1990","35-65 y.","higher education","20","","","","5"
"Widowed","1990","66 and older","in school","","","","","5"
"Widowed","1990","66 and older","inadequately","10","","","","5"
"Widowed","1990","66 and older","general elemantary","284","0.590448166173679","0.548222689991623","0.632673642355735","5"
"Widowed","1990","66 and older","middle vocational","261","0.432673449812959","0.396075358290078","0.469271541335839","5"
"Widowed","1990","66 and older","vocational + Abi","2","","","","5"
"Widowed","1990","35-65 y.","in school","","","","","5"
"Widowed","1990","35-65 y.","inadequately","13","","","","5"
"Widowed","1990","35-65 y.","general elemantary","89","0.0945544987023583","0.0788705778041518","0.110238419600565","5"
"Widowed","1990","35-65 y.","middle vocational","137","0.0472616604938256","0.0403106509174907","0.0542126700701605","5"
"Widowed","1990","35-65 y.","vocational + Abi","4","","","","5"
"Widowed","1990","35-65 y.","higher vocational","15","","","","5"
"Widowed","1990","16-34 y.","in school","","","","","5"
"Widowed","1990","16-34 y.","inadequately","1","","","","5"
"Widowed","1990","16-34 y.","general elemantary","3","","","","5"
"Widowed","1990","16-34 y.","middle vocational","2","","","","5"
"Widowed","1990","16-34 y.","vocational + Abi","2","","","","5"
"Widowed","1990","16-34 y.","higher vocational","1","","","","5"
"Widowed","1990","16-34 y.","higher education","","","","","5"
"Divorced","1991","66 and older","higher vocational","2","","","","4"
"Divorced","1991","66 and older","higher education","4","","","","4"
"Divorced","1991","16-34 y.","in school","","","","","4"
"Divorced","1991","16-34 y.","higher vocational","5","","","","4"
"Divorced","1991","35-65 y.","middle vocational","262","0.0961023815185608","0.0863603315247764","0.105844431512345","4"
"Divorced","1991","35-65 y.","vocational + Abi","5","","","","4"
"Divorced","1991","35-65 y.","higher vocational","21","","","","4"
"Divorced","1991","35-65 y.","higher education","85","0.108459862002939","0.0900332961346961","0.126886427871181","4"
"Divorced","1991","66 and older","in school","","","","","4"
"Divorced","1991","66 and older","inadequately","1","","","","4"
"Divorced","1991","66 and older","general elemantary","7","","","","4"
"Divorced","1991","16-34 y.","inadequately","3","","","","4"
"Divorced","1991","16-34 y.","general elemantary","14","","","","4"
"Divorced","1991","16-34 y.","middle vocational","81","0.038413873382832","0.0311590592259381","0.0456686875397259","4"
"Divorced","1991","16-34 y.","vocational + Abi","2","","","","4"
"Divorced","1991","35-65 y.","in school","","","","","4"
"Divorced","1991","35-65 y.","inadequately","20","","","","4"
"Divorced","1991","35-65 y.","general elemantary","85","0.084766809827523","0.0695613193931822","0.0999723002618637","4"
"Divorced","1991","66 and older","middle vocational","22","","","","4"
"Divorced","1991","66 and older","vocational + Abi","1","","","","4"
"Divorced","1991","16-34 y.","higher education","23","","","","4"
"Married","1991","16-34 y.","in school","","","","","1"
"Married","1991","16-34 y.","inadequately","87","0.31524837189817","0.249184465002685","0.381312278793654","1"
"Married","1991","16-34 y.","general elemantary","307","0.228607233373134","0.203480791383018","0.25373367536325","1"
"Married","1991","16-34 y.","middle vocational","1277","0.411118572708557","0.392545420226528","0.429691725190586","1"
"Married","1991","16-34 y.","vocational + Abi","88","0.315575661871741","0.254850133096364","0.376301190647118","1"
"Married","1991","16-34 y.","higher vocational","139","0.585492811017204","0.519021586333954","0.651964035700454","1"
"Married","1991","16-34 y.","higher education","315","0.555642311940349","0.51105072734552","0.600233896535179","1"
"Married","1991","35-65 y.","in school","","","","","1"
"Married","1991","35-65 y.","inadequately","388","0.770803250620754","0.731968740614751","0.809637760626756","1"
"Married","1991","35-65 y.","general elemantary","1039","0.741749235082915","0.717856217968598","0.765642252197231","1"
"Married","1991","35-65 y.","middle vocational","2916","0.772586312941916","0.758731347000294","0.786441278883539","1"
"Married","1991","35-65 y.","vocational + Abi","114","0.776578147268768","0.705248865610997","0.84790742892654","1"
"Married","1991","35-65 y.","higher vocational","396","0.805263428031843","0.768797124872068","0.841729731191619","1"
"Married","1991","35-65 y.","higher education","912","0.755901320599219","0.730447399300092","0.781355241898347","1"
"Married","1991","66 and older","in school","","","","","1"
"Married","1991","66 and older","general elemantary","208","0.350527111154066","0.308705148571925","0.392349073736206","1"
"Married","1991","66 and older","middle vocational","396","0.47223553601471","0.435514212868708","0.508956859160713","1"
"Married","1991","66 and older","vocational + Abi","17","","","","1"
"Married","1991","66 and older","higher vocational","62","0.560154866236259","0.459811627014051","0.660498105458466","1"
"Married","1991","66 and older","higher education","75","0.575650450474633","0.48411688558129","0.667184015367976","1"
"Married","1991","66 and older","inadequately","9","","","","1"
"Married, but separated","1991","66 and older","higher vocational","1","","","","2"
"Married, but separated","1991","66 and older","higher education","3","","","","2"
"Married, but separated","1991","16-34 y.","vocational + Abi","3","","","","2"
"Married, but separated","1991","35-65 y.","in school","","","","","2"
"Married, but separated","1991","66 and older","in school","","","","","2"
"Married, but separated","1991","16-34 y.","in school","","","","","2"
"Married, but separated","1991","16-34 y.","inadequately","3","","","","2"
"Married, but separated","1991","16-34 y.","general elemantary","16","","","","2"
"Married, but separated","1991","16-34 y.","middle vocational","43","0.0216716021568945","0.0161752318246625","0.0271679724891265","2"
"Married, but separated","1991","16-34 y.","higher vocational","3","","","","2"
"Married, but separated","1991","16-34 y.","higher education","6","","","","2"
"Married, but separated","1991","35-65 y.","inadequately","21","","","","2"
"Married, but separated","1991","35-65 y.","general elemantary","43","0.0400340165747542","0.0293320365342446","0.0507359966152639","2"
"Married, but separated","1991","35-65 y.","middle vocational","59","0.018894727749147","0.0143943208489194","0.0233951346493747","2"
"Married, but separated","1991","35-65 y.","vocational + Abi","1","","","","2"
"Married, but separated","1991","35-65 y.","higher vocational","5","","","","2"
"Married, but separated","1991","35-65 y.","higher education","15","","","","2"
"Married, but separated","1991","66 and older","inadequately","1","","","","2"
"Married, but separated","1991","66 and older","general elemantary","1","","","","2"
"Married, but separated","1991","66 and older","middle vocational","4","","","","2"
"Married, but separated","1991","66 and older","vocational + Abi","","","","","2"
"Single","1991","66 and older","higher vocational","4","","","","3"
"Single","1991","16-34 y.","in school","162","1","1","1","3"
"Single","1991","16-34 y.","inadequately","96","0.629844430269821","0.561188179818053","0.698500680721589","3"
"Single","1991","16-34 y.","general elemantary","735","0.737838245802636","0.711522633543153","0.764153858062118","3"
"Single","1991","16-34 y.","middle vocational","1292","0.526963803952545","0.508117520157593","0.545810087747497","3"
"Single","1991","16-34 y.","vocational + Abi","132","0.6656768939188","0.604035596692494","0.727318191145106","3"
"Single","1991","16-34 y.","higher vocational","64","0.365883498476504","0.300891064397886","0.430875932555121","3"
"Single","1991","16-34 y.","higher education","131","0.37825783713751","0.334737923105726","0.421777751169294","3"
"Single","1991","35-65 y.","in school","","","","","3"
"Single","1991","35-65 y.","inadequately","9","","","","3"
"Single","1991","35-65 y.","general elemantary","39","0.0450036403213474","0.0336862495164194","0.0563210311262754","3"
"Single","1991","35-65 y.","middle vocational","152","0.0654844296706519","0.0573075811303106","0.0736612782109932","3"
"Single","1991","35-65 y.","vocational + Abi","8","","","","3"
"Single","1991","35-65 y.","higher vocational","16","","","","3"
"Single","1991","35-65 y.","higher education","57","0.0914324515171138","0.074353224048765","0.108511678985463","3"
"Single","1991","66 and older","in school","","","","","3"
"Single","1991","66 and older","inadequately","1","","","","3"
"Single","1991","66 and older","general elemantary","22","","","","3"
"Single","1991","66 and older","middle vocational","24","","","","3"
"Single","1991","66 and older","vocational + Abi","3","","","","3"
"Single","1991","66 and older","higher education","14","","","","3"
"Widowed","1991","35-65 y.","in school","","","","","5"
"Widowed","1991","35-65 y.","inadequately","12","","","","5"
"Widowed","1991","66 and older","higher vocational","25","","","","5"
"Widowed","1991","66 and older","higher education","16","","","","5"
"Widowed","1991","35-65 y.","general elemantary","83","0.0884462981934606","0.0729455524635935","0.103947043923328","5"
"Widowed","1991","35-65 y.","middle vocational","127","0.0469321481197241","0.0399414462000512","0.0539228500393971","5"
"Widowed","1991","35-65 y.","vocational + Abi","3","","","","5"
"Widowed","1991","35-65 y.","higher vocational","15","","","","5"
"Widowed","1991","35-65 y.","higher education","25","","","","5"
"Widowed","1991","66 and older","in school","","","","","5"
"Widowed","1991","66 and older","inadequately","11","","","","5"
"Widowed","1991","66 and older","general elemantary","262","0.58563016306249","0.542451531472262","0.628808794652718","5"
"Widowed","1991","66 and older","middle vocational","264","0.439573655364848","0.403065153153953","0.476082157575744","5"
"Widowed","1991","66 and older","vocational + Abi","2","","","","5"
"Widowed","1991","16-34 y.","in school","","","","","5"
"Widowed","1991","16-34 y.","inadequately","1","","","","5"
"Widowed","1991","16-34 y.","general elemantary","1","","","","5"
"Widowed","1991","16-34 y.","middle vocational","3","","","","5"
"Widowed","1991","16-34 y.","vocational + Abi","","","","","5"
"Widowed","1991","16-34 y.","higher vocational","","","","","5"
"Widowed","1991","16-34 y.","higher education","2","","","","5"
"Divorced","1992","66 and older","higher education","4","","","","4"
"Divorced","1992","66 and older","higher vocational","2","","","","4"
"Divorced","1992","16-34 y.","in school","","","","","4"
"Divorced","1992","16-34 y.","inadequately","4","","","","4"
"Divorced","1992","16-34 y.","general elemantary","10","","","","4"
"Divorced","1992","16-34 y.","middle vocational","80","0.0374804078329597","0.0301026255607078","0.0448581901052116","4"
"Divorced","1992","16-34 y.","vocational + Abi","2","","","","4"
"Divorced","1992","35-65 y.","higher vocational","22","","","","4"
"Divorced","1992","16-34 y.","higher vocational","3","","","","4"
"Divorced","1992","16-34 y.","higher education","15","","","","4"
"Divorced","1992","35-65 y.","middle vocational","255","0.0934942086356232","0.0838008536396386","0.103187563631608","4"
"Divorced","1992","35-65 y.","vocational + Abi","6","","","","4"
"Divorced","1992","35-65 y.","higher education","89","0.109235251480895","0.0908432128986121","0.127627290063178","4"
"Divorced","1992","66 and older","in school","","","","","4"
"Divorced","1992","66 and older","inadequately","1","","","","4"
"Divorced","1992","66 and older","general elemantary","8","","","","4"
"Divorced","1992","66 and older","vocational + Abi","2","","","","4"
"Divorced","1992","66 and older","middle vocational","24","","","","4"
"Divorced","1992","35-65 y.","in school","","","","","4"
"Divorced","1992","35-65 y.","inadequately","17","","","","4"
"Divorced","1992","35-65 y.","general elemantary","83","0.090062955755419","0.0740646384510689","0.106061273059769","4"
"Married","1992","16-34 y.","in school","","","","","1"
"Married","1992","16-34 y.","inadequately","81","0.343633033117711","0.271603488975613","0.415662577259809","1"
"Married","1992","16-34 y.","general elemantary","313","0.240492875537358","0.214932749914655","0.26605300116006","1"
"Married","1992","16-34 y.","middle vocational","1176","0.404160065617624","0.38509841984758","0.423221711387669","1"
"Married","1992","16-34 y.","vocational + Abi","87","0.304642575065589","0.244503578295137","0.364781571836041","1"
"Married","1992","16-34 y.","higher vocational","131","0.537624514347769","0.470979787401518","0.604269241294019","1"
"Married","1992","16-34 y.","higher education","286","0.559645281538941","0.513573138694747","0.605717424383135","1"
"Married","1992","35-65 y.","in school","","","","","1"
"Married","1992","35-65 y.","inadequately","371","0.769362225904558","0.729776910347022","0.808947541462095","1"
"Married","1992","35-65 y.","general elemantary","988","0.737358404556757","0.712765115933028","0.761951693180485","1"
"Married","1992","35-65 y.","middle vocational","2878","0.775470539935474","0.761576908005344","0.789364171865604","1"
"Married","1992","35-65 y.","vocational + Abi","117","0.773694943940064","0.703109814632824","0.844280073247303","1"
"Married","1992","35-65 y.","higher vocational","406","0.81722940407499","0.781949874592893","0.852508933557087","1"
"Married","1992","35-65 y.","higher education","912","0.748462750724887","0.722879648784838","0.774045852664936","1"
"Married","1992","66 and older","in school","","","","","1"
"Married","1992","66 and older","general elemantary","212","0.367180525835143","0.324236263447328","0.410124788222957","1"
"Married","1992","66 and older","middle vocational","405","0.476230522406543","0.439673802624678","0.512787242188407","1"
"Married","1992","66 and older","vocational + Abi","17","","","","1"
"Married","1992","66 and older","higher vocational","63","0.561106315759138","0.460248662009285","0.661963969508992","1"
"Married","1992","66 and older","higher education","73","0.612394107198645","0.520508624675621","0.704279589721669","1"
"Married","1992","66 and older","inadequately","11","","","","1"
"Married, but separated","1992","66 and older","higher education","2","","","","2"
"Married, but separated","1992","66 and older","higher vocational","1","","","","2"
"Married, but separated","1992","66 and older","inadequately","1","","","","2"
"Married, but separated","1992","16-34 y.","higher vocational","3","","","","2"
"Married, but separated","1992","35-65 y.","inadequately","24","","","","2"
"Married, but separated","1992","66 and older","in school","","","","","2"
"Married, but separated","1992","66 and older","general elemantary","2","","","","2"
"Married, but separated","1992","66 and older","middle vocational","7","","","","2"
"Married, but separated","1992","66 and older","vocational + Abi","","","","","2"
"Married, but separated","1992","16-34 y.","vocational + Abi","6","","","","2"
"Married, but separated","1992","16-34 y.","higher education","6","","","","2"
"Married, but separated","1992","35-65 y.","in school","","","","","2"
"Married, but separated","1992","35-65 y.","general elemantary","40","0.0351276141819328","0.0248390492923018","0.0454161790715639","2"
"Married, but separated","1992","35-65 y.","middle vocational","53","0.0185088427254965","0.0140210860696196","0.0229965993813733","2"
"Married, but separated","1992","35-65 y.","vocational + Abi","2","","","","2"
"Married, but separated","1992","35-65 y.","higher vocational","3","","","","2"
"Married, but separated","1992","35-65 y.","higher education","16","","","","2"
"Married, but separated","1992","16-34 y.","inadequately","3","","","","2"
"Married, but separated","1992","16-34 y.","in school","","","","","2"
"Married, but separated","1992","16-34 y.","general elemantary","21","","","","2"
"Married, but separated","1992","16-34 y.","middle vocational","43","0.0183453354885274","0.013132655214418","0.0235580157626369","2"
"Single","1992","66 and older","higher vocational","4","","","","3"
"Single","1992","16-34 y.","in school","187","1","1","1","3"
"Single","1992","16-34 y.","inadequately","78","0.585402030959644","0.510683116617858","0.660120945301431","3"
"Single","1992","16-34 y.","general elemantary","728","0.728974820703762","0.702391634434041","0.755558006973482","3"
"Single","1992","16-34 y.","middle vocational","1244","0.539532006779694","0.520171031868596","0.558892981690793","3"
"Single","1992","16-34 y.","vocational + Abi","130","0.647082394167373","0.58464090011518","0.709523888219565","3"
"Single","1992","16-34 y.","higher vocational","76","0.382674844721712","0.317706649042418","0.447643040401007","3"
"Single","1992","16-34 y.","higher education","137","0.383436071507463","0.338311176810136","0.42856096620479","3"
"Single","1992","35-65 y.","in school","","","","","3"
"Single","1992","35-65 y.","inadequately","9","","","","3"
"Single","1992","35-65 y.","general elemantary","41","0.0485784578559525","0.0365640080468682","0.0605929076650369","3"
"Single","1992","35-65 y.","middle vocational","156","0.0674450208746135","0.0590945946990131","0.0757954470502138","3"
"Single","1992","35-65 y.","vocational + Abi","8","","","","3"
"Single","1992","35-65 y.","higher vocational","17","","","","3"
"Single","1992","35-65 y.","higher education","61","0.0940151893867125","0.0768073468666703","0.111223031906755","3"
"Single","1992","66 and older","in school","","","","","3"
"Single","1992","66 and older","inadequately","1","","","","3"
"Single","1992","66 and older","general elemantary","19","","","","3"
"Single","1992","66 and older","middle vocational","23","","","","3"
"Single","1992","66 and older","vocational + Abi","3","","","","3"
"Single","1992","66 and older","higher education","14","","","","3"
"Widowed","1992","66 and older","higher vocational","23","","","","5"
"Widowed","1992","66 and older","higher education","15","","","","5"
"Widowed","1992","16-34 y.","in school","","","","","5"
"Widowed","1992","16-34 y.","inadequately","1","","","","5"
"Widowed","1992","66 and older","middle vocational","258","0.42877480738927","0.39254993870403","0.464999676074509","5"
"Widowed","1992","16-34 y.","general elemantary","2","","","","5"
"Widowed","1992","16-34 y.","middle vocational","3","","","","5"
"Widowed","1992","16-34 y.","vocational + Abi","","","","","5"
"Widowed","1992","16-34 y.","higher vocational","2","","","","5"
"Widowed","1992","16-34 y.","higher education","2","","","","5"
"Widowed","1992","35-65 y.","in school","","","","","5"
"Widowed","1992","35-65 y.","inadequately","14","","","","5"
"Widowed","1992","35-65 y.","higher vocational","13","","","","5"
"Widowed","1992","35-65 y.","higher education","27","","","","5"
"Widowed","1992","66 and older","in school","","","","","5"
"Widowed","1992","66 and older","inadequately","13","","","","5"
"Widowed","1992","66 and older","general elemantary","243","0.569204548945201","0.525088648735286","0.613320449155115","5"
"Widowed","1992","66 and older","vocational + Abi","3","","","","5"
"Widowed","1992","35-65 y.","general elemantary","78","0.0888725676499389","0.0729699374316669","0.104775197868211","5"
"Widowed","1992","35-65 y.","middle vocational","123","0.0450813878287927","0.0381729748835536","0.0519898007740318","5"
"Widowed","1992","35-65 y.","vocational + Abi","2","","","","5"
"Divorced","1993","66 and older","higher education","6","","","","4"
"Divorced","1993","66 and older","higher vocational","3","","","","4"
"Divorced","1993","16-34 y.","in school","","","","","4"
"Divorced","1993","16-34 y.","inadequately","6","","","","4"
"Divorced","1993","16-34 y.","general elemantary","12","","","","4"
"Divorced","1993","16-34 y.","middle vocational","83","0.0443415945699785","0.0363313670326905","0.0523518221072665","4"
"Divorced","1993","16-34 y.","vocational + Abi","1","","","","4"
"Divorced","1993","16-34 y.","higher vocational","2","","","","4"
"Divorced","1993","35-65 y.","middle vocational","243","0.091144975890086","0.0814777201818845","0.100812231598287","4"
"Divorced","1993","35-65 y.","vocational + Abi","5","","","","4"
"Divorced","1993","35-65 y.","higher vocational","18","","","","4"
"Divorced","1993","35-65 y.","higher education","89","0.108203359459903","0.0899373217481234","0.126469397171683","4"
"Divorced","1993","66 and older","inadequately","1","","","","4"
"Divorced","1993","66 and older","general elemantary","11","","","","4"
"Divorced","1993","35-65 y.","in school","","","","","4"
"Divorced","1993","16-34 y.","higher education","13","","","","4"
"Divorced","1993","35-65 y.","inadequately","16","","","","4"
"Divorced","1993","35-65 y.","general elemantary","79","0.094527202586011","0.0776913465647293","0.111363058607293","4"
"Divorced","1993","66 and older","in school","","","","","4"
"Divorced","1993","66 and older","middle vocational","26","","","","4"
"Divorced","1993","66 and older","vocational + Abi","1","","","","4"
"Married","1993","16-34 y.","higher vocational","127","0.545936905450832","0.477947098193373","0.613926712708292","1"
"Married","1993","16-34 y.","in school","","","","","1"
"Married","1993","16-34 y.","inadequately","79","0.340462605668059","0.268377013843826","0.412548197492293","1"
"Married","1993","16-34 y.","general elemantary","315","0.247431856186462","0.22109163119349","0.273772081179434","1"
"Married","1993","16-34 y.","middle vocational","1131","0.404344653418947","0.385247825617538","0.423441481220355","1"
"Married","1993","16-34 y.","vocational + Abi","88","0.33072537204497","0.269522599025332","0.391928145064607","1"
"Married","1993","16-34 y.","higher education","250","0.512004894166161","0.463738564774989","0.560271223557333","1"
"Married","1993","66 and older","middle vocational","409","0.471264473040849","0.43495404425137","0.507574901830328","1"
"Married","1993","35-65 y.","in school","","","","","1"
"Married","1993","35-65 y.","inadequately","356","0.772833830822086","0.732714288569704","0.812953373074467","1"
"Married","1993","35-65 y.","general elemantary","926","0.718800199040725","0.692928157776995","0.744672240304455","1"
"Married","1993","35-65 y.","middle vocational","2819","0.777875186916203","0.763913334925454","0.791837038906952","1"
"Married","1993","35-65 y.","vocational + Abi","113","0.779853398512049","0.709435226372471","0.850271570651627","1"
"Married","1993","66 and older","in school","","","","","1"
"Married","1993","66 and older","general elemantary","221","0.386124341371497","0.34310444732389","0.429144235419105","1"
"Married","1993","66 and older","higher education","76","0.606556369875694","0.51765756150282","0.695455178248567","1"
"Married","1993","35-65 y.","higher vocational","395","0.819380820044431","0.783915514676919","0.854846125411944","1"
"Married","1993","35-65 y.","higher education","906","0.737539337620465","0.711668185697105","0.763410489543824","1"
"Married","1993","66 and older","higher vocational","53","0.49350869041359","0.389051063225767","0.597966317601412","1"
"Married","1993","66 and older","vocational + Abi","19","","","","1"
"Married","1993","66 and older","inadequately","13","","","","1"
"Married, but separated","1993","66 and older","higher vocational","3","","","","2"
"Married, but separated","1993","66 and older","higher education","2","","","","2"
"Married, but separated","1993","66 and older","inadequately","","","","","2"
"Married, but separated","1993","16-34 y.","higher vocational","4","","","","2"
"Married, but separated","1993","35-65 y.","inadequately","25","","","","2"
"Married, but separated","1993","66 and older","in school","","","","","2"
"Married, but separated","1993","66 and older","general elemantary","3","","","","2"
"Married, but separated","1993","66 and older","middle vocational","6","","","","2"
"Married, but separated","1993","66 and older","vocational + Abi","","","","","2"
"Married, but separated","1993","35-65 y.","higher vocational","7","","","","2"
"Married, but separated","1993","35-65 y.","general elemantary","34","0.0348682998846064","0.0243116097804069","0.0454249899888058","2"
"Married, but separated","1993","16-34 y.","vocational + Abi","6","","","","2"
"Married, but separated","1993","16-34 y.","higher education","3","","","","2"
"Married, but separated","1993","35-65 y.","in school","","","","","2"
"Married, but separated","1993","35-65 y.","middle vocational","70","0.0224139034134296","0.0174419644430103","0.027385842383849","2"
"Married, but separated","1993","35-65 y.","vocational + Abi","3","","","","2"
"Married, but separated","1993","35-65 y.","higher education","24","","","","2"
"Married, but separated","1993","16-34 y.","in school","1","","","","2"
"Married, but separated","1993","16-34 y.","inadequately","6","","","","2"
"Married, but separated","1993","16-34 y.","general elemantary","21","","","","2"
"Married, but separated","1993","16-34 y.","middle vocational","57","0.0188243911324097","0.0135360227728819","0.0241127594919375","2"
"Single","1993","66 and older","higher vocational","5","","","","3"
"Single","1993","16-34 y.","in school","184","0.981180024590662","0.961598518067461","1.00076153111386","3"
"Single","1993","16-34 y.","inadequately","73","0.56132681255885","0.485839756966327","0.636813868151372","3"
"Single","1993","16-34 y.","general elemantary","681","0.715542948490573","0.688004151563435","0.743081745417711","3"
"Single","1993","16-34 y.","middle vocational","1263","0.532000616714722","0.512584312599926","0.551416920829518","3"
"Single","1993","16-34 y.","vocational + Abi","132","0.634144385070078","0.571485292593287","0.696803477546868","3"
"Single","1993","16-34 y.","higher vocational","71","0.374599417764771","0.308503114472437","0.440695721057106","3"
"Single","1993","16-34 y.","higher education","144","0.439929576928104","0.391999030212403","0.487860123643805","3"
"Single","1993","35-65 y.","in school","","","","","3"
"Single","1993","35-65 y.","inadequately","9","","","","3"
"Single","1993","35-65 y.","general elemantary","38","0.0496627848054097","0.0371609573976199","0.0621646122131994","3"
"Single","1993","35-65 y.","middle vocational","154","0.0643850883561463","0.056141225688873","0.0726289510234196","3"
"Single","1993","35-65 y.","vocational + Abi","10","","","","3"
"Single","1993","35-65 y.","higher vocational","18","","","","3"
"Single","1993","35-65 y.","higher education","69","0.0939863155194903","0.0768273637899571","0.111145267249023","3"
"Single","1993","66 and older","in school","","","","","3"
"Single","1993","66 and older","inadequately","1","","","","3"
"Single","1993","66 and older","general elemantary","20","","","","3"
"Single","1993","66 and older","middle vocational","24","","","","3"
"Single","1993","66 and older","vocational + Abi","2","","","","3"
"Single","1993","66 and older","higher education","14","","","","3"
"Widowed","1993","66 and older","higher education","18","","","","5"
"Widowed","1993","66 and older","higher vocational","24","","","","5"
"Widowed","1993","16-34 y.","in school","","","","","5"
"Widowed","1993","16-34 y.","inadequately","2","","","","5"
"Widowed","1993","16-34 y.","general elemantary","2","","","","5"
"Widowed","1993","16-34 y.","middle vocational","3","","","","5"
"Widowed","1993","16-34 y.","vocational + Abi","","","","","5"
"Widowed","1993","16-34 y.","higher vocational","2","","","","5"
"Widowed","1993","16-34 y.","higher education","2","","","","5"
"Widowed","1993","35-65 y.","in school","","","","","5"
"Widowed","1993","35-65 y.","vocational + Abi","2","","","","5"
"Widowed","1993","35-65 y.","higher vocational","14","","","","5"
"Widowed","1993","35-65 y.","higher education","23","","","","5"
"Widowed","1993","66 and older","in school","","","","","5"
"Widowed","1993","66 and older","inadequately","11","","","","5"
"Widowed","1993","66 and older","general elemantary","237","0.538034127484539","0.493981136698646","0.582087118270432","5"
"Widowed","1993","66 and older","middle vocational","261","0.428941119462689","0.392939746299335","0.464942492626043","5"
"Widowed","1993","35-65 y.","inadequately","13","","","","5"
"Widowed","1993","35-65 y.","general elemantary","83","0.102141513683248","0.0847144512484281","0.119568576118067","5"
"Widowed","1993","35-65 y.","middle vocational","119","0.0441808454241355","0.0372785362498644","0.0510831545984066","5"
"Widowed","1993","66 and older","vocational + Abi","4","","","","5"
"Divorced","1994","66 and older","higher vocational","2","","","","4"
"Divorced","1994","66 and older","higher education","6","","","","4"
"Divorced","1994","35-65 y.","higher education","88","0.107882642315158","0.0895826740560192","0.126182610574296","4"
"Divorced","1994","16-34 y.","in school","","","","","4"
"Divorced","1994","16-34 y.","inadequately","3","","","","4"
"Divorced","1994","16-34 y.","general elemantary","12","","","","4"
"Divorced","1994","16-34 y.","middle vocational","79","0.0410212143007522","0.0331882771642014","0.048854151437303","4"
"Divorced","1994","16-34 y.","vocational + Abi","5","","","","4"
"Divorced","1994","16-34 y.","higher vocational","5","","","","4"
"Divorced","1994","35-65 y.","general elemantary","74","0.0950849604706467","0.0777109191660896","0.112459001775204","4"
"Divorced","1994","35-65 y.","middle vocational","248","0.0911355124546511","0.0814186394270165","0.100852385482286","4"
"Divorced","1994","35-65 y.","vocational + Abi","6","","","","4"
"Divorced","1994","35-65 y.","higher vocational","22","","","","4"
"Divorced","1994","66 and older","in school","","","","","4"
"Divorced","1994","16-34 y.","higher education","12","","","","4"
"Divorced","1994","35-65 y.","in school","","","","","4"
"Divorced","1994","35-65 y.","inadequately","15","","","","4"
"Divorced","1994","66 and older","inadequately","1","","","","4"
"Divorced","1994","66 and older","general elemantary","10","","","","4"
"Divorced","1994","66 and older","middle vocational","24","","","","4"
"Divorced","1994","66 and older","vocational + Abi","1","","","","4"
"Married","1994","16-34 y.","higher vocational","122","0.494685183532324","0.428467878532568","0.560902488532081","1"
"Married","1994","16-34 y.","in school","","","","","1"
"Married","1994","16-34 y.","inadequately","75","0.391804261941338","0.311514497642893","0.472094026239783","1"
"Married","1994","16-34 y.","general elemantary","285","0.254223409895963","0.226071849084725","0.282374970707201","1"
"Married","1994","16-34 y.","middle vocational","1091","0.415478203558099","0.39601607384054","0.434940333275657","1"
"Married","1994","16-34 y.","vocational + Abi","93","0.308633642523617","0.251373313368823","0.36589397167841","1"
"Married","1994","66 and older","higher education","84","0.588547315890532","0.504279238624408","0.672815393156655","1"
"Married","1994","66 and older","vocational + Abi","16","","","","1"
"Married","1994","66 and older","higher vocational","55","0.476661955009963","0.374603127157276","0.578720782862649","1"
"Married","1994","16-34 y.","higher education","237","0.485179417347516","0.437325200334339","0.533033634360693","1"
"Married","1994","35-65 y.","middle vocational","2777","0.776987786454936","0.762933637218877","0.791041935690995","1"
"Married","1994","35-65 y.","vocational + Abi","101","0.795974916580826","0.723264177275397","0.868685655886255","1"
"Married","1994","35-65 y.","higher vocational","390","0.805333880301866","0.768587561984254","0.842080198619479","1"
"Married","1994","35-65 y.","higher education","909","0.756465436768035","0.731146911690564","0.781783961845507","1"
"Married","1994","66 and older","in school","","","","","1"
"Married","1994","66 and older","inadequately","19","","","","1"
"Married","1994","66 and older","general elemantary","206","0.360659154137621","0.317611563585787","0.403706744689455","1"
"Married","1994","66 and older","middle vocational","408","0.455221098811289","0.419243637493185","0.491198560129394","1"
"Married","1994","35-65 y.","inadequately","328","0.772424079141549","0.730489379656961","0.814358778626137","1"
"Married","1994","35-65 y.","in school","","","","","1"
"Married","1994","35-65 y.","general elemantary","877","0.723042846676335","0.696537753108514","0.749547940244157","1"
"Married, but separated","1994","66 and older","higher vocational","2","","","","2"
"Married, but separated","1994","66 and older","higher education","3","","","","2"
"Married, but separated","1994","66 and older","inadequately","","","","","2"
"Married, but separated","1994","16-34 y.","higher vocational","5","","","","2"
"Married, but separated","1994","66 and older","general elemantary","3","","","","2"
"Married, but separated","1994","16-34 y.","general elemantary","28","","","","2"
"Married, but separated","1994","35-65 y.","inadequately","19","","","","2"
"Married, but separated","1994","35-65 y.","middle vocational","78","0.022864339125754","0.0178178435281944","0.0279108347233136","2"
"Married, but separated","1994","66 and older","in school","","","","","2"
"Married, but separated","1994","66 and older","middle vocational","10","","","","2"
"Married, but separated","1994","66 and older","vocational + Abi","1","","","","2"
"Married, but separated","1994","35-65 y.","general elemantary","35","0.0410540910669007","0.0293019686287762","0.0528062135050253","2"
