"pgfamstd","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Married, but separated","1992","general elemantary","63","0.0199482936060126","0.014758153558498","0.0251384336535273","2"
"Married, but separated","1992","middle vocational","103","0.0171112496952533","0.0140124168808219","0.0202100825096847","2"
"Married, but separated","1992","in school","","","","","2"
"Single","1992","in school","187","1","1","1","3"
"Single","1992","inadequately","88","0.233595180189668","0.200529015781072","0.266661344598264","3"
"Single","1992","general elemantary","788","0.235072245523621","0.219331960444054","0.250812530603187","3"
"Single","1992","middle vocational","1423","0.211468452716235","0.201710978103525","0.221225927328945","3"
"Single","1992","vocational + Abi","141","0.430937397848709","0.3814716201486","0.480403175548819","3"
"Single","1992","higher vocational","97","0.147198874129682","0.122157333308308","0.172240414951056","3"
"Single","1992","higher education","212","0.171286478682458","0.153156860780531","0.189416096584385","3"
"Widowed","1992","inadequately","28","","","","5"
"Widowed","1992","higher education","44","0.0332305722183821","0.0246056485145262","0.0418554959222381","5"
"Widowed","1992","in school","","","","","5"
"Widowed","1992","general elemantary","323","0.204553334653805","0.189580276167649","0.21952639313996","5"
"Widowed","1992","middle vocational","384","0.0970866947527911","0.0900119954764497","0.104161394029133","5"
"Widowed","1992","vocational + Abi","5","","","","5"
"Widowed","1992","higher vocational","38","0.0940797267066364","0.0734459876460951","0.114713465767178","5"
"Divorced","1993","in school","","","","","4"
"Divorced","1993","inadequately","23","","","","4"
"Divorced","1993","middle vocational","352","0.0687835758145184","0.0627089716466602","0.0748581799823766","4"
"Divorced","1993","general elemantary","102","0.0504154242259495","0.0421362638861506","0.0586945845657484","4"
"Divorced","1993","vocational + Abi","7","","","","4"
"Divorced","1993","higher vocational","23","","","","4"
"Divorced","1993","higher education","108","0.0840182168015731","0.0705878225244351","0.097448611078711","4"
"Married","1993","in school","","","","","1"
"Married","1993","inadequately","448","0.593974010431498","0.555034711874575","0.632913308988421","1"
"Married","1993","general elemantary","1462","0.489039894588206","0.470125023069713","0.507954766106699","1"
"Married","1993","middle vocational","4359","0.608556907392364","0.596842098437503","0.620271716347226","1"
"Married","1993","higher vocational","575","0.694856020066039","0.661813094451416","0.727898945680661","1"
"Married","1993","higher education","1232","0.670244664336806","0.647484719106434","0.693004609567177","1"
"Married","1993","vocational + Abi","220","0.500850459965669","0.450970762030528","0.550730157900809","1"
"Married, but separated","1993","vocational + Abi","9","","","","2"
"Married, but separated","1993","higher vocational","14","","","","2"
"Married, but separated","1993","higher education","29","","","","2"
"Married, but separated","1993","middle vocational","133","0.0190419043344257","0.0157614748039862","0.0223223338648653","2"
"Married, but separated","1993","inadequately","31","0.0547864496110349","0.0367426068445755","0.0728302923774944","2"
"Married, but separated","1993","general elemantary","58","0.0214084257159027","0.0159315755862654","0.0268852758455399","2"
"Married, but separated","1993","in school","1","","","","2"
"Single","1993","in school","184","0.981180024590662","0.961598518067461","1.00076153111386","3"
"Single","1993","inadequately","83","0.231024959631662","0.197604450692476","0.264445468570848","3"
"Single","1993","middle vocational","1441","0.206900973877433","0.197178086143214","0.216623861611652","3"
"Single","1993","vocational + Abi","144","0.421238332773522","0.371981298382966","0.470495367164077","3"
"Single","1993","higher vocational","94","0.147339890029865","0.121905178237126","0.172774601822604","3"
"Single","1993","higher education","227","0.182235146090769","0.163546023852985","0.200924268328552","3"
"Single","1993","general elemantary","739","0.231937523219515","0.215966912039563","0.247908134399468","3"
"Widowed","1993","in school","","","","","5"
"Widowed","1993","inadequately","26","","","","5"
"Widowed","1993","general elemantary","322","0.207198732250426","0.191862683882578","0.222534780618275","5"
"Widowed","1993","middle vocational","383","0.0967166385812585","0.0896222838904918","0.103810993272025","5"
"Widowed","1993","vocational + Abi","6","","","","5"
