"pgfamstd","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Married, but separated","1986","16-34 y.","1-pers.-HH","15","","","","2"
"Married, but separated","1986","16-34 y.","Couple + C. GT 16 ","7","","","","2"
"Married, but separated","1986","35-65 y.","Couple + C. LE and GT 16","3","","","","2"
"Married, but separated","1986","66 and older","1-pers.-HH","7","","","","2"
"Married, but separated","1986","16-34 y.","Couple + C. LE 16 ","9","","","","2"
"Married, but separated","1986","35-65 y.","(Married) couple without C. ","19","","","","2"
"Married, but separated","1986","35-65 y.","Single parent ","34","0.138056447578943","0.0921592695608883","0.183953625596999","2"
"Married, but separated","1986","66 and older","Couple + C. GT 16 ","1","","","","2"
"Married, but separated","1986","16-34 y.","(Married) couple without C. ","1","","","","2"
"Married, but separated","1986","16-34 y.","Single parent ","21","","","","2"
"Married, but separated","1986","16-34 y.","Couple + C. LE and GT 16","11","","","","2"
"Married, but separated","1986","35-65 y.","Couple + C. LE 16 ","7","","","","2"
"Married, but separated","1986","35-65 y.","Couple + C. GT 16 ","9","","","","2"
"Married, but separated","1986","66 and older","Couple + C. LE 16 ","","","","","2"
"Married, but separated","1986","35-65 y.","1-pers.-HH","87","0.126080269121195","0.0937122036109092","0.158448334631481","2"
"Married, but separated","1986","66 and older","(Married) couple without C. ","9","","","","2"
"Married, but separated","1986","66 and older","Single parent ","","","","","2"
"Married, but separated","1986","66 and older","Couple + C. LE and GT 16","","","","","2"
"Single","1986","66 and older","(Married) couple without C. ","2","","","","3"
"Single","1986","16-34 y.","(Married) couple without C. ","199","0.321847051197397","0.285043361448782","0.358650740946013","3"
"Single","1986","66 and older","Couple + C. LE and GT 16","","","","","3"
"Single","1986","16-34 y.","1-pers.-HH","282","0.884603764909678","0.849706582240232","0.919500947579124","3"
"Single","1986","16-34 y.","Single parent ","210","0.848239820886869","0.803941622456176","0.892538019317562","3"
"Single","1986","66 and older","Single parent ","","","","","3"
"Single","1986","66 and older","Couple + C. GT 16 ","","","","","3"
"Single","1986","16-34 y.","Couple + C. LE 16 ","33","0.0265677289876285","0.0172365750325255","0.0358988829427316","3"
"Single","1986","16-34 y.","Couple + C. GT 16 ","834","0.982845431374677","0.974162147054443","0.991528715694911","3"
"Single","1986","35-65 y.","(Married) couple without C. ","20","","","","3"
"Single","1986","35-65 y.","Single parent ","26","","","","3"
"Single","1986","35-65 y.","Couple + C. LE 16 ","6","","","","3"
"Single","1986","35-65 y.","Couple + C. GT 16 ","17","","","","3"
"Single","1986","35-65 y.","Couple + C. LE and GT 16","1","","","","3"
"Single","1986","66 and older","1-pers.-HH","42","0.114652366428833","0.0817866641350527","0.147518068722614","3"
"Single","1986","66 and older","Couple + C. LE 16 ","","","","","3"
"Single","1986","16-34 y.","Couple + C. LE and GT 16","533","0.960217731978591","0.944242624121762","0.97619283983542","3"
"Single","1986","35-65 y.","1-pers.-HH","122","0.312800062883391","0.267590284322061","0.358009841444721","3"
"Widowed","1986","16-34 y.","Couple + C. LE and GT 16","1","","","","5"
"Widowed","1986","16-34 y.","1-pers.-HH","","","","","5"
"Widowed","1986","16-34 y.","(Married) couple without C. ","1","","","","5"
"Widowed","1986","16-34 y.","Single parent ","1","","","","5"
"Widowed","1986","16-34 y.","Couple + C. LE 16 ","","","","","5"
"Widowed","1986","16-34 y.","Couple + C. GT 16 ","","","","","5"
"Widowed","1986","35-65 y.","1-pers.-HH","91","0.273341383337221","0.229882824892007","0.316799941782435","5"
"Widowed","1986","35-65 y.","(Married) couple without C. ","11","","","","5"
"Widowed","1986","35-65 y.","Single parent ","77","0.357147912605789","0.293395325779882","0.420900499431696","5"
"Widowed","1986","35-65 y.","Couple + C. LE 16 ","5","","","","5"
"Widowed","1986","35-65 y.","Couple + C. GT 16 ","6","","","","5"
"Widowed","1986","35-65 y.","Couple + C. LE and GT 16","2","","","","5"
"Widowed","1986","66 and older","1-pers.-HH","293","0.821487464174472","0.781984533191768","0.860990395157176","5"
"Widowed","1986","66 and older","(Married) couple without C. ","13","","","","5"
"Widowed","1986","66 and older","Single parent ","23","","","","5"
"Widowed","1986","66 and older","Couple + C. LE 16 ","","","","","5"
"Widowed","1986","66 and older","Couple + C. GT 16 ","2","","","","5"
"Widowed","1986","66 and older","Couple + C. LE and GT 16","","","","","5"
"Divorced","1987","16-34 y.","Couple + C. LE and GT 16","2","","","","4"
"Divorced","1987","16-34 y.","1-pers.-HH","22","","","","4"
"Divorced","1987","35-65 y.","Couple + C. LE 16 ","11","","","","4"
"Divorced","1987","16-34 y.","Single parent ","16","","","","4"
"Divorced","1987","16-34 y.","Couple + C. LE 16 ","14","","","","4"
"Divorced","1987","16-34 y.","Couple + C. GT 16 ","8","","","","4"
"Divorced","1987","35-65 y.","(Married) couple without C. ","35","0.0212699156159028","0.0132327647399811","0.0293070664918246","4"
"Divorced","1987","16-34 y.","(Married) couple without C. ","6","","","","4"
"Divorced","1987","35-65 y.","Single parent ","76","0.334952302237502","0.272585334200303","0.397319270274701","4"
"Divorced","1987","35-65 y.","Couple + C. GT 16 ","8","","","","4"
"Divorced","1987","35-65 y.","Couple + C. LE and GT 16","4","","","","4"
"Divorced","1987","66 and older","1-pers.-HH","21","","","","4"
"Divorced","1987","66 and older","(Married) couple without C. ","4","","","","4"
"Divorced","1987","66 and older","Single parent ","","","","","4"
"Divorced","1987","66 and older","Couple + C. LE 16 ","","","","","4"
"Divorced","1987","66 and older","Couple + C. GT 16 ","","","","","4"
"Divorced","1987","66 and older","Couple + C. LE and GT 16","","","","","4"
"Divorced","1987","35-65 y.","1-pers.-HH","110","0.300924789440699","0.256528456829705","0.345321122051694","4"
"Married","1987","16-34 y.","1-pers.-HH","","","","","1"
"Married","1987","16-34 y.","(Married) couple without C. ","368","0.624381350358632","0.585501597468291","0.663261103248974","1"
"Married","1987","16-34 y.","Single parent ","4","","","","1"
"Married","1987","16-34 y.","Couple + C. LE 16 ","1108","0.959280366657862","0.947887214924078","0.970673518391646","1"
"Married","1987","16-34 y.","Couple + C. GT 16 ","19","","","","1"
"Married","1987","16-34 y.","Couple + C. LE and GT 16","22","","","","1"
"Married","1987","35-65 y.","1-pers.-HH","","","","","1"
"Married","1987","35-65 y.","(Married) couple without C. ","1153","0.942518919724131","0.929553240648082","0.955484598800179","1"
"Married","1987","35-65 y.","Single parent ","4","","","","1"
"Married","1987","35-65 y.","Couple + C. LE 16 ","1178","0.986060215641257","0.97942679994425","0.992693631338263","1"
"Married","1987","35-65 y.","Couple + C. GT 16 ","1186","0.96852408708647","0.958742670343683","0.978305503829256","1"
"Married","1987","35-65 y.","Couple + C. LE and GT 16","717","0.983020461453009","0.973629174600578","0.99241174830544","1"
"Married","1987","66 and older","1-pers.-HH","","","","","1"
"Married","1987","66 and older","(Married) couple without C. ","483","0.948327835116898","0.929097060519635","0.96755860971416","1"
"Married","1987","66 and older","Single parent ","","","","","1"
"Married","1987","66 and older","Couple + C. LE 16 ","1","","","","1"
"Married","1987","66 and older","Couple + C. GT 16 ","42","0.987757759361517","0.955265685356583","1.02024983336645","1"
"Married","1987","66 and older","Couple + C. LE and GT 16","","","","","1"
"Married, but separated","1987","16-34 y.","1-pers.-HH","14","","","","2"
"Married, but separated","1987","16-34 y.","Couple + C. LE 16 ","9","","","","2"
"Married, but separated","1987","16-34 y.","Couple + C. GT 16 ","9","","","","2"
"Married, but separated","1987","35-65 y.","Single parent ","30","0.105520877227073","0.0649241474053893","0.146117607048756","2"
"Married, but separated","1987","66 and older","Couple + C. GT 16 ","","","","","2"
"Married, but separated","1987","35-65 y.","(Married) couple without C. ","16","","","","2"
