"pgfamstd","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Widowed","1995","direct migration background","Rural Area","28","","","","5"
"Widowed","1995","indirect migration background","Urban Area","1","","","","5"
"Widowed","1995","indirect migration background","Rural Area","","","","","5"
"Divorced","1996","no migration background","Rural Area","221","0.0677458495367986","0.059849506898212","0.0756421921753852","4"
"Divorced","1996","no migration background","Urban Area","359","0.0719451221508511","0.0654172231659472","0.0784730211357549","4"
"Divorced","1996","direct migration background","Urban Area","67","0.0494609110211648","0.0403379825387067","0.0585838395036228","4"
"Divorced","1996","direct migration background","Rural Area","23","","","","4"
"Divorced","1996","indirect migration background","Rural Area","1","","","","4"
"Divorced","1996","indirect migration background","Urban Area","9","","","","4"
"Married","1996","no migration background","Urban Area","3632","0.561587020282278","0.549051679303472","0.574122361261084","1"
"Married","1996","no migration background","Rural Area","2450","0.586272201854505","0.570797422056441","0.601746981652568","1"
"Married","1996","direct migration background","Urban Area","1664","0.697242805321696","0.677911664652972","0.71657394599042","1"
"Married","1996","direct migration background","Rural Area","329","0.647610018995503","0.603324383100454","0.691895654890552","1"
"Married","1996","indirect migration background","Rural Area","21","","","","1"
"Married","1996","indirect migration background","Urban Area","110","0.218878099421049","0.181174078742346","0.256582120099751","1"
"Married, but separated","1996","no migration background","Urban Area","143","0.0246408803243499","0.0207243968029686","0.0285573638457312","2"
"Married, but separated","1996","no migration background","Rural Area","52","0.0152523204048263","0.011401547399742","0.0191030934099106","2"
"Married, but separated","1996","direct migration background","Urban Area","78","0.0386649410493413","0.0305531960313958","0.0467766860672867","2"
"Married, but separated","1996","direct migration background","Rural Area","11","","","","2"
"Married, but separated","1996","indirect migration background","Urban Area","6","","","","2"
"Married, but separated","1996","indirect migration background","Rural Area","","","","","2"
"Single","1996","no migration background","Urban Area","1467","0.23164679668145","0.220988703277211","0.242304890085689","3"
"Single","1996","no migration background","Rural Area","898","0.212495890952873","0.19964245735959","0.225349324546157","3"
"Single","1996","direct migration background","Urban Area","273","0.146131150219534","0.131268878037009","0.160993422402059","3"
"Single","1996","direct migration background","Rural Area","57","0.142808616933623","0.110373875932202","0.175243357935043","3"
"Single","1996","indirect migration background","Urban Area","336","0.712823352234985","0.671566829273729","0.754079875196242","3"
"Single","1996","indirect migration background","Rural Area","65","0.795421809991328","0.710656749142173","0.880186870840482","3"
"Widowed","1996","no migration background","Urban Area","418","0.110180180561071","0.102269958114669","0.118090403007473","5"
"Widowed","1996","no migration background","Rural Area","270","0.118233737250997","0.108088436557953","0.128379037944041","5"
"Widowed","1996","direct migration background","Urban Area","88","0.0685001923882635","0.0578720955098508","0.0791282892666762","5"
"Widowed","1996","direct migration background","Rural Area","27","","","","5"
"Widowed","1996","indirect migration background","Urban Area","1","","","","5"
"Widowed","1996","indirect migration background","Rural Area","","","","","5"
"Divorced","1997","no migration background","Urban Area","375","0.0755696844160456","0.0688504532209562","0.0822889156111349","4"
"Divorced","1997","no migration background","Rural Area","225","0.0707149701879622","0.0626164757681108","0.0788134646078136","4"
"Divorced","1997","direct migration background","Urban Area","61","0.0457217326619262","0.0367103361161313","0.0547331292077212","4"
"Divorced","1997","direct migration background","Rural Area","23","","","","4"
"Divorced","1997","indirect migration background","Urban Area","12","","","","4"
"Divorced","1997","indirect migration background","Rural Area","2","","","","4"
"Married","1997","no migration background","Urban Area","3530","0.55000480194557","0.53735755871486","0.56265204517628","1"
"Married","1997","no migration background","Rural Area","2414","0.585846742888804","0.570285413845125","0.601408071932483","1"
"Married","1997","direct migration background","Urban Area","1595","0.714545873523257","0.695061947810596","0.734029799235919","1"
"Married","1997","direct migration background","Rural Area","307","0.632449216282936","0.586394029388542","0.678504403177331","1"
"Married","1997","indirect migration background","Urban Area","115","0.207481265327181","0.171613728108264","0.243348802546098","1"
"Married","1997","indirect migration background","Rural Area","19","","","","1"
"Married, but separated","1997","no migration background","Urban Area","144","0.025376542961862","0.021378537809415","0.029374548114309","2"
"Married, but separated","1997","direct migration background","Urban Area","73","0.0393729867531256","0.0309828348762402","0.0477631386300111","2"
"Married, but separated","1997","no migration background","Rural Area","62","0.0171948201777903","0.0130879906772542","0.0213016496783263","2"
"Married, but separated","1997","indirect migration background","Urban Area","7","","","","2"
"Married, but separated","1997","direct migration background","Rural Area","12","","","","2"
"Married, but separated","1997","indirect migration background","Rural Area","","","","","2"
"Single","1997","no migration background","Urban Area","1481","0.236689354097558","0.225883758431567","0.247494949763549","3"
"Single","1997","no migration background","Rural Area","888","0.212850687306132","0.199919445756666","0.225781928855599","3"
"Single","1997","direct migration background","Urban Area","247","0.13051784894169","0.115984739838713","0.145050958044666","3"
"Single","1997","direct migration background","Rural Area","49","0.12890760292716","0.0968981375184053","0.160917068335915","3"
"Single","1997","indirect migration background","Urban Area","355","0.715362648757704","0.675449460556392","0.755275836959017","3"
"Single","1997","indirect migration background","Rural Area","63","0.783296518503112","0.695190720228901","0.871402316777322","3"
"Widowed","1997","no migration background","Urban Area","414","0.112359616578965","0.104331154857136","0.120388078300794","5"
"Widowed","1997","no migration background","Rural Area","260","0.113392779439311","0.103375899515344","0.123409659363278","5"
"Widowed","1997","direct migration background","Urban Area","88","0.0698415581200012","0.058845711574415","0.0808374046655874","5"
"Widowed","1997","direct migration background","Rural Area","30","0.12076670748352","0.0896400333984022","0.151893381568639","5"
"Widowed","1997","indirect migration background","Urban Area","2","","","","5"
"Widowed","1997","indirect migration background","Rural Area","","","","","5"
"Divorced","1998","no migration background","Urban Area","455","0.0778903655113357","0.0715498547740823","0.0842308762485891","4"
"Divorced","1998","no migration background","Rural Area","253","0.0669714071156484","0.0595684842516312","0.0743743299796656","4"
"Divorced","1998","direct migration background","Urban Area","76","0.0578733100793417","0.0476677728650031","0.0680788472936803","4"
"Divorced","1998","indirect migration background","Urban Area","12","","","","4"
"Divorced","1998","direct migration background","Rural Area","16","","","","4"
"Divorced","1998","indirect migration background","Rural Area","3","","","","4"
"Married","1998","no migration background","Urban Area","4065","0.552172987720507","0.540408207643441","0.563937767797574","1"
"Married","1998","no migration background","Rural Area","2757","0.600602018374077","0.586097364743874","0.615106672004281","1"
"Married","1998","direct migration background","Urban Area","1535","0.702612946320558","0.682634525409107","0.722591367232009","1"
"Married","1998","direct migration background","Rural Area","301","0.652785883842989","0.6064764855545","0.699095282131478","1"
"Married","1998","indirect migration background","Urban Area","127","0.221464549215157","0.185532605281748","0.257396493148567","1"
"Married","1998","indirect migration background","Rural Area","19","","","","1"
"Married, but separated","1998","no migration background","Urban Area","165","0.0265416814435975","0.0227387894764095","0.0303445734107856","2"
"Married, but separated","1998","no migration background","Rural Area","60","0.0165757790845572","0.0127946764942482","0.0203568816748661","2"
"Married, but separated","1998","direct migration background","Urban Area","74","0.041619245327455","0.0328903718567706","0.0503481187981395","2"
"Married, but separated","1998","direct migration background","Rural Area","14","","","","2"
"Married, but separated","1998","indirect migration background","Urban Area","11","","","","2"
"Married, but separated","1998","indirect migration background","Rural Area","1","","","","2"
"Single","1998","no migration background","Urban Area","1692","0.235302809815969","0.225267069953331","0.245338549678606","3"
"Single","1998","no migration background","Rural Area","1024","0.211388187141126","0.199296607741757","0.223479766540494","3"
"Single","1998","direct migration background","Urban Area","234","0.126637965952318","0.112102760552166","0.14117317135247","3"
"Single","1998","direct migration background","Rural Area","44","0.12039060066224","0.0887367684748705","0.152044432849609","3"
"Single","1998","indirect migration background","Urban Area","361","0.71784801672759","0.678903419688047","0.756792613767134","3"
"Single","1998","indirect migration background","Rural Area","68","0.76866344975943","0.682023610538849","0.855303288980012","3"
"Widowed","1998","no migration background","Urban Area","486","0.10809215550859","0.100746202056774","0.115438108960407","5"
"Widowed","1998","no migration background","Rural Area","286","0.104462608284591","0.0954045871354517","0.113520629433731","5"
"Widowed","1998","direct migration background","Urban Area","92","0.0712565323203277","0.0600130126593412","0.0825000519813141","5"
"Widowed","1998","direct migration background","Rural Area","31","0.13140138782721","0.0985393405685454","0.164263435085875","5"
"Widowed","1998","indirect migration background","Urban Area","2","","","","5"
"Widowed","1998","indirect migration background","Rural Area","","","","","5"
"Divorced","1999","no migration background","Urban Area","463","0.0832926207502834","0.0766261688420162","0.0899590726585506","4"
"Divorced","1999","no migration background","Rural Area","266","0.0726081605063668","0.0648295077702078","0.0803868132425259","4"
"Divorced","1999","direct migration background","Urban Area","76","0.060203814007926","0.0494055490697897","0.0710020789460623","4"
"Divorced","1999","indirect migration background","Urban Area","14","","","","4"
"Divorced","1999","direct migration background","Rural Area","19","","","","4"
"Divorced","1999","indirect migration background","Rural Area","4","","","","4"
"Married","1999","no migration background","Urban Area","3865","0.544108665542394","0.532092950697609","0.556124380387179","1"
"Married","1999","no migration background","Rural Area","2625","0.584854177091354","0.57008337205668","0.599624982126028","1"
"Married","1999","direct migration background","Urban Area","1435","0.70829159023865","0.687656534109516","0.728926646367783","1"
"Married","1999","direct migration background","Rural Area","262","0.683017056223845","0.634614573776632","0.731419538671058","1"
"Married","1999","indirect migration background","Urban Area","135","0.213664108034387","0.178601979617169","0.248726236451606","1"
"Married","1999","indirect migration background","Rural Area","17","","","","1"
"Married, but separated","1999","no migration background","Rural Area","70","0.018729664226723","0.0146657983847554","0.0227935300686906","2"
"Married, but separated","1999","no migration background","Urban Area","148","0.0232675036115734","0.0196305409970716","0.0269044662260752","2"
"Married, but separated","1999","direct migration background","Urban Area","68","0.0435094298495008","0.0342484448757584","0.0527704148232431","2"
"Married, but separated","1999","direct migration background","Rural Area","10","","","","2"
"Married, but separated","1999","indirect migration background","Urban Area","14","","","","2"
"Married, but separated","1999","indirect migration background","Rural Area","1","","","","2"
"Single","1999","no migration background","Urban Area","1662","0.240094207502461","0.229789234888388","0.250399180116535","3"
"Single","1999","no migration background","Rural Area","1037","0.220230004462664","0.207807718133695","0.232652290791634","3"
"Single","1999","direct migration background","Urban Area","207","0.124942728285408","0.109932100063705","0.13995335650711","3"
"Single","1999","direct migration background","Rural Area","34","0.0905545645927378","0.0607022911103721","0.120406838075104","3"
"Single","1999","indirect migration background","Urban Area","360","0.707157002886196","0.668230643846558","0.746083361925834","3"
"Single","1999","indirect migration background","Rural Area","65","0.740170246010535","0.648019529315585","0.832320962705486","3"
"Widowed","1999","no migration background","Urban Area","462","0.109237002593288","0.101711385895003","0.116762619291573","5"
"Widowed","1999","no migration background","Rural Area","277","0.103577993712892","0.0944438038726091","0.112712183553174","5"
"Widowed","1999","direct migration background","Urban Area","78","0.0630524376185159","0.0520184187976156","0.0740864564394163","5"
"Widowed","1999","direct migration background","Rural Area","30","0.126396885326534","0.0918300844823758","0.160963686170692","5"
"Widowed","1999","indirect migration background","Urban Area","2","","","","5"
"Widowed","1999","indirect migration background","Rural Area","","","","","5"
"Divorced","2000","no migration background","Urban Area","831","0.076368674461667","0.0716944541237019","0.0810428947996322","4"
"Divorced","2000","no migration background","Rural Area","465","0.069630316739828","0.0639110572758581","0.0753495762037979","4"
"Divorced","2000","direct migration background","Urban Area","121","0.0575693808149825","0.0488842148531548","0.0662545467768102","4"
"Divorced","2000","direct migration background","Rural Area","31","0.0770493294779808","0.0552147688729968","0.0988838900829647","4"
"Divorced","2000","indirect migration background","Urban Area","18","","","","4"
"Divorced","2000","indirect migration background","Rural Area","3","","","","4"
"Married","2000","no migration background","Urban Area","7526","0.561656022930602","0.552923394941892","0.570388650919311","1"
"Married","2000","no migration background","Rural Area","4743","0.588489020324731","0.577431118370414","0.599546922279048","1"
"Married","2000","direct migration background","Urban Area","2074","0.703819176682943","0.686794978576132","0.720843374789754","1"
"Married","2000","direct migration background","Rural Area","422","0.686487847144189","0.648502648940115","0.724473045348263","1"
"Married","2000","indirect migration background","Rural Area","31","0.282262347767867","0.198149741871348","0.366374953664386","1"
"Married","2000","indirect migration background","Urban Area","206","0.27038896791527","0.237945891991031","0.302832043839509","1"
"Married, but separated","2000","no migration background","Urban Area","267","0.0220666116118353","0.0194812297948184","0.0246519934288523","2"
"Married, but separated","2000","no migration background","Rural Area","122","0.015927337877741","0.0131141546518344","0.0187405211036476","2"
"Married, but separated","2000","direct migration background","Urban Area","85","0.0327977252085467","0.0261566535768166","0.0394387968402768","2"
"Married, but separated","2000","direct migration background","Rural Area","10","","","","2"
"Married, but separated","2000","indirect migration background","Rural Area","","","","","2"
"Married, but separated","2000","indirect migration background","Urban Area","13","","","","2"
"Single","2000","no migration background","Rural Area","1760","0.227649950683045","0.218227720524065","0.237072180842026","3"
"Single","2000","no migration background","Urban Area","2869","0.236722648932305","0.229241585773154","0.244203712091457","3"
"Single","2000","direct migration background","Urban Area","365","0.150913128343877","0.13756571154089","0.164260545146864","3"
"Single","2000","direct migration background","Rural Area","70","0.121897553366833","0.0951095177257168","0.148685589007948","3"
"Single","2000","indirect migration background","Urban Area","476","0.659715870338158","0.625107499473528","0.694324241202788","3"
"Single","2000","indirect migration background","Rural Area","74","0.643683638331949","0.554187176532482","0.733180100131416","3"
"Widowed","2000","no migration background","Urban Area","909","0.10318604206359","0.0978322206032774","0.108539863523904","5"
"Widowed","2000","no migration background","Rural Area","518","0.0983033743746545","0.0916133565614705","0.104993392187838","5"
"Widowed","2000","direct migration background","Urban Area","118","0.0549005889496511","0.0464071240465132","0.0633940538527891","5"
"Widowed","2000","direct migration background","Rural Area","40","0.0980592019419112","0.0737089211670727","0.12240948271675","5"
"Widowed","2000","indirect migration background","Urban Area","7","","","","5"
"Widowed","2000","indirect migration background","Rural Area","2","","","","5"
"Divorced","2001","no migration background","Urban Area","785","0.0805558049062212","0.0755498751135243","0.085561734698918","4"
"Divorced","2001","no migration background","Rural Area","432","0.072419777001988","0.0663069917929123","0.0785325622110637","4"
"Divorced","2001","direct migration background","Urban Area","119","0.0652915302070303","0.0554652247037479","0.0751178357103127","4"
"Divorced","2001","direct migration background","Rural Area","25","","","","4"
"Divorced","2001","indirect migration background","Urban Area","19","","","","4"
"Divorced","2001","indirect migration background","Rural Area","3","","","","4"
"Married","2001","no migration background","Urban Area","6807","0.549952553111791","0.540801619418543","0.559103486805039","1"
"Married","2001","no migration background","Rural Area","4269","0.579751784357449","0.568110288443379","0.591393280271519","1"
"Married","2001","direct migration background","Urban Area","1823","0.694727735945584","0.676409875647698","0.71304559624347","1"
"Married","2001","direct migration background","Rural Area","376","0.671377359126413","0.630691340184717","0.712063378068109","1"
"Married","2001","indirect migration background","Urban Area","207","0.28763400739028","0.253536277822361","0.321731736958199","1"
"Married","2001","indirect migration background","Rural Area","31","0.341419611974018","0.248480884869569","0.434358339078468","1"
"Married, but separated","2001","no migration background","Urban Area","246","0.0228931168697597","0.020142075349371","0.0256441583901484","2"
"Married, but separated","2001","no migration background","Rural Area","119","0.0175267540690154","0.014431859087292","0.0206216490507388","2"
"Married, but separated","2001","direct migration background","Urban Area","71","0.0292583243380704","0.0225548444259611","0.0359618042501798","2"
"Married, but separated","2001","direct migration background","Rural Area","13","","","","2"
"Married, but separated","2001","indirect migration background","Urban Area","12","","","","2"
"Married, but separated","2001","indirect migration background","Rural Area","","","","","2"
"Single","2001","no migration background","Urban Area","2707","0.246010246129748","0.23808828027971","0.253932211979786","3"
"Single","2001","no migration background","Rural Area","1603","0.230059867033243","0.220133651178458","0.239986082888028","3"
"Single","2001","direct migration background","Urban Area","310","0.157480691629034","0.142992061096344","0.171969322161723","3"
"Single","2001","direct migration background","Rural Area","65","0.128826607904017","0.0998085597141755","0.157844656093859","3"
"Single","2001","indirect migration background","Urban Area","432","0.637274323473072","0.601057853549576","0.673490793396567","3"
"Single","2001","indirect migration background","Rural Area","64","0.593977528006538","0.497725888943162","0.690229167069913","3"
"Widowed","2001","no migration background","Urban Area","809","0.10058827898248","0.0950557129458264","0.106120845019134","5"
"Widowed","2001","no migration background","Rural Area","483","0.100241817538305","0.0931587371190846","0.107324897957525","5"
"Widowed","2001","direct migration background","Urban Area","105","0.0532417178802816","0.0443113502775632","0.062172085483","5"
"Widowed","2001","direct migration background","Rural Area","33","0.0958714649170955","0.0703695448396774","0.121373384994514","5"
"Widowed","2001","indirect migration background","Urban Area","7","","","","5"
"Widowed","2001","indirect migration background","Rural Area","2","","","","5"
"Divorced","2002","no migration background","Urban Area","840","0.0842836859451415","0.0793935097092188","0.0891738621810643","4"
"Divorced","2002","no migration background","Rural Area","452","0.0755226212262552","0.0693634105985014","0.0816818318540091","4"
"Divorced","2002","direct migration background","Urban Area","115","0.0628743988492211","0.0530098083847883","0.072738989313654","4"
"Divorced","2002","direct migration background","Rural Area","25","","","","4"
"Divorced","2002","indirect migration background","Urban Area","22","","","","4"
"Divorced","2002","indirect migration background","Rural Area","2","","","","4"
"Married","2002","no migration background","Urban Area","7644","0.551655467783779","0.542901354196817","0.560409581370741","1"
"Married","2002","no migration background","Rural Area","4337","0.567542716928483","0.555994650608945","0.579090783248022","1"
"Married","2002","direct migration background","Urban Area","1723","0.685089373013269","0.66621334950422","0.703965396522318","1"
"Married","2002","direct migration background","Rural Area","355","0.660086238111513","0.617842801801546","0.70232967442148","1"
"Married","2002","indirect migration background","Urban Area","220","0.294966984578928","0.260841607044508","0.329092362113349","1"
"Married","2002","indirect migration background","Rural Area","29","","","","1"
"Married, but separated","2002","no migration background","Urban Area","234","0.0213679681778308","0.0188225238525628","0.0239134125030988","2"
"Married, but separated","2002","no migration background","Rural Area","131","0.016453937697315","0.0134886238859166","0.0194192515087133","2"
"Married, but separated","2002","direct migration background","Urban Area","77","0.0346496120166602","0.0272171121245313","0.042082111908789","2"
"Married, but separated","2002","direct migration background","Rural Area","12","","","","2"
"Married, but separated","2002","indirect migration background","Urban Area","11","","","","2"
"Married, but separated","2002","indirect migration background","Rural Area","1","","","","2"
"Single","2002","no migration background","Urban Area","2884","0.243026181253351","0.235476315387294","0.250576047119409","3"
"Single","2002","direct migration background","Urban Area","308","0.165100988676371","0.150012871569743","0.180189105783","3"
"Single","2002","no migration background","Rural Area","1681","0.243731714055744","0.233724058489762","0.253739369621725","3"
"Single","2002","indirect migration background","Urban Area","429","0.648633694617071","0.612909220717831","0.684358168516312","3"
"Single","2002","direct migration background","Rural Area","57","0.120166042033814","0.09116819436901","0.149163889698619","3"
"Single","2002","indirect migration background","Rural Area","63","0.628573520909417","0.532417452961122","0.724729588857711","3"
"Widowed","2002","no migration background","Urban Area","796","0.0996666968398971","0.0943938037610307","0.104939589918764","5"
"Widowed","2002","no migration background","Rural Area","469","0.0967490100922029","0.0898582699529198","0.103639750231486","5"
"Widowed","2002","direct migration background","Urban Area","103","0.0522856274444785","0.0432392827580894","0.0613319721308676","5"
"Widowed","2002","direct migration background","Rural Area","34","0.0943998744530011","0.068324625050455","0.120475123855547","5"
"Widowed","2002","indirect migration background","Urban Area","4","","","","5"
"Widowed","2002","indirect migration background","Rural Area","2","","","","5"
"Divorced","2003","no migration background","Urban Area","827","0.0874162770148051","0.0823636456931168","0.0924689083364935","4"
"Divorced","2003","no migration background","Rural Area","442","0.0743572502124774","0.0681041718654639","0.080610328559491","4"
"Divorced","2003","direct migration background","Urban Area","111","0.0673394453290382","0.0568097642488175","0.077869126409259","4"
"Divorced","2003","direct migration background","Rural Area","27","","","","4"
"Divorced","2003","indirect migration background","Urban Area","24","","","","4"
"Divorced","2003","indirect migration background","Rural Area","2","","","","4"
"Married","2003","no migration background","Urban Area","7247","0.542100701504321","0.533187985437701","0.551013417570942","1"
"Married","2003","no migration background","Rural Area","4082","0.559542634988157","0.547710066202174","0.571375203774139","1"
"Married","2003","direct migration background","Urban Area","1611","0.680222895940663","0.660626872464323","0.699818919417003","1"
"Married","2003","direct migration background","Rural Area","333","0.686788874901418","0.644405123783612","0.729172626019225","1"
"Married","2003","indirect migration background","Urban Area","218","0.293438091170406","0.25943864561651","0.327437536724303","1"
"Married","2003","indirect migration background","Rural Area","29","","","","1"
"Married, but separated","2003","no migration background","Urban Area","255","0.0235443039395225","0.0208319004338979","0.0262567074451471","2"
"Married, but separated","2003","no migration background","Rural Area","126","0.0168900772255004","0.0138187409782937","0.0199614134727071","2"
"Married, but separated","2003","direct migration background","Urban Area","72","0.033291481518635","0.0257538833836824","0.0408290796535877","2"
"Married, but separated","2003","direct migration background","Rural Area","13","","","","2"
"Married, but separated","2003","indirect migration background","Urban Area","15","","","","2"
"Married, but separated","2003","indirect migration background","Rural Area","1","","","","2"
"Single","2003","no migration background","Urban Area","2883","0.247362744486161","0.239644027826257","0.255081461146064","3"
"Single","2003","no migration background","Rural Area","1650","0.250750536075181","0.240419481320135","0.261081590830228","3"
"Single","2003","direct migration background","Urban Area","286","0.168563331284826","0.152833836078471","0.184292826491182","3"
"Single","2003","direct migration background","Rural Area","53","0.105260619561426","0.0772159445026387","0.133305294620213","3"
"Single","2003","indirect migration background","Urban Area","428","0.640090291709496","0.604251291894293","0.675929291524699","3"
"Single","2003","indirect migration background","Rural Area","67","0.645051868209227","0.551733492658787","0.738370243759666","3"
"Widowed","2003","no migration background","Urban Area","792","0.0995759730551904","0.0942194137846493","0.104932532325731","5"
"Widowed","2003","no migration background","Rural Area","462","0.098459501498684","0.0913582982280841","0.105560704769284","5"
"Widowed","2003","direct migration background","Urban Area","96","0.0505828459268374","0.0413751957106619","0.0597904961430129","5"
"Widowed","2003","direct migration background","Rural Area","34","0.0897768341558969","0.0636537012069915","0.115899967104802","5"
"Widowed","2003","indirect migration background","Urban Area","4","","","","5"
"Widowed","2003","indirect migration background","Rural Area","2","","","","5"
"Divorced","2004","no migration background","Rural Area","448","0.0762591206632286","0.0698617333192765","0.0826565080071807","4"
"Divorced","2004","no migration background","Urban Area","838","0.0913266558693916","0.08609965523808","0.0965536565007033","4"
"Divorced","2004","direct migration background","Urban Area","111","0.0707910161966971","0.0598215822596888","0.0817604501337054","4"
"Divorced","2004","direct migration background","Rural Area","21","","","","4"
"Divorced","2004","indirect migration background","Urban Area","22","","","","4"
"Divorced","2004","indirect migration background","Rural Area","3","","","","4"
"Married","2004","no migration background","Urban Area","6982","0.532126280806182","0.523072675432028","0.541179886180336","1"
"Married","2004","no migration background","Rural Area","3934","0.549646077143446","0.537653839945316","0.561638314341577","1"
"Married","2004","direct migration background","Urban Area","1546","0.678429004434392","0.658452059057081","0.698405949811702","1"
"Married","2004","direct migration background","Rural Area","318","0.660100124220469","0.616139781271649","0.704060467169288","1"
"Married","2004","indirect migration background","Urban Area","221","0.276338253056072","0.243043960931679","0.309632545180465","1"
"Married","2004","indirect migration background","Rural Area","30","0.218910121274159","0.143660811217046","0.294159431331272","1"
"Married, but separated","2004","no migration background","Urban Area","250","0.0259115254453992","0.0230288511615881","0.0287941997292103","2"
"Married, but separated","2004","no migration background","Rural Area","120","0.0181729770504387","0.0149533008437757","0.0213926532571017","2"
"Married, but separated","2004","direct migration background","Urban Area","68","0.0348941973021469","0.0270454108466796","0.0427429837576142","2"
"Married, but separated","2004","direct migration background","Rural Area","15","","","","2"
"Married, but separated","2004","indirect migration background","Urban Area","12","","","","2"
"Married, but separated","2004","indirect migration background","Rural Area","2","","","","2"
"Single","2004","no migration background","Urban Area","2845","0.253495080976658","0.245601919531366","0.26138824242195","3"
"Single","2004","no migration background","Rural Area","1646","0.25615692922959","0.245635484367277","0.266678374091903","3"
"Single","2004","direct migration background","Urban Area","279","0.160512609369072","0.144812592836181","0.176212625901964","3"
"Single","2004","direct migration background","Rural Area","61","0.154221795995812","0.120703511380378","0.187740080611247","3"
"Single","2004","indirect migration background","Rural Area","81","0.750756489511727","0.672037307317929","0.829475671705525","3"
"Single","2004","indirect migration background","Urban Area","434","0.668378118861771","0.633326008144197","0.703430229579344","3"
"Widowed","2004","no migration background","Rural Area","464","0.099764895913296","0.0925413819364564","0.106988409890136","5"
"Widowed","2004","no migration background","Urban Area","753","0.097140456902369","0.0917669223207761","0.102513991483962","5"
"Widowed","2004","direct migration background","Urban Area","96","0.0553731726976919","0.0455913838172606","0.0651549615781232","5"
"Widowed","2004","direct migration background","Rural Area","31","0.0857497973998154","0.0597643771055685","0.111735217694062","5"
"Widowed","2004","indirect migration background","Urban Area","4","","","","5"
"Widowed","2004","indirect migration background","Rural Area","","","","","5"
"Divorced","2005","no migration background","Urban Area","821","0.0950725016557389","0.0896330407713841","0.100511962540094","4"
"Divorced","2005","no migration background","Rural Area","449","0.0800987594433533","0.073421271244344","0.0867762476423627","4"
"Divorced","2005","direct migration background","Urban Area","98","0.065433938196922","0.0545028633771336","0.0763650130167103","4"
"Divorced","2005","direct migration background","Rural Area","23","","","","4"
"Divorced","2005","indirect migration background","Rural Area","4","","","","4"
"Divorced","2005","indirect migration background","Urban Area","26","","","","4"
"Married","2005","no migration background","Urban Area","6562","0.516727549650479","0.50746035399999","0.525994745300968","1"
"Married","2005","no migration background","Rural Area","3754","0.542032068176039","0.529775760436809","0.554288375915268","1"
"Married","2005","direct migration background","Urban Area","1448","0.685516891440142","0.664992793598028","0.706040989282255","1"
"Married","2005","direct migration background","Rural Area","289","0.651920044524094","0.605866415880899","0.697973673167288","1"
"Married","2005","indirect migration background","Urban Area","238","0.28994507886431","0.256985151706269","0.322905006022351","1"
"Married","2005","indirect migration background","Rural Area","24","","","","1"
"Married, but separated","2005","no migration background","Urban Area","251","0.0252436201676561","0.0223346091502426","0.0281526311850695","2"
"Married, but separated","2005","direct migration background","Urban Area","73","0.0395317207839492","0.0309183983106916","0.0481450432572067","2"
"Married, but separated","2005","no migration background","Rural Area","110","0.0167955887392803","0.0136344092378577","0.0199567682407029","2"
"Married, but separated","2005","direct migration background","Rural Area","17","","","","2"
"Married, but separated","2005","indirect migration background","Urban Area","14","","","","2"
"Married, but separated","2005","indirect migration background","Rural Area","3","","","","2"
"Single","2005","no migration background","Urban Area","2798","0.267274876227873","0.259068127916246","0.2754816245395","3"
"Single","2005","no migration background","Rural Area","1583","0.268491649309636","0.257589687220269","0.279393611399004","3"
"Single","2005","direct migration background","Urban Area","253","0.158021161126865","0.141897467144183","0.174144855109547","3"
"Single","2005","direct migration background","Rural Area","50","0.126691242001695","0.0945335860330811","0.158848897970309","3"
"Single","2005","indirect migration background","Urban Area","446","0.642367183675433","0.607550070768838","0.677184296582028","3"
"Single","2005","indirect migration background","Rural Area","75","0.799864575814758","0.724054589744174","0.875674561885343","3"
"Widowed","2005","no migration background","Urban Area","738","0.0956814522982529","0.0902264353660898","0.101136469230416","5"
"Widowed","2005","no migration background","Rural Area","452","0.0925819343316915","0.0854518204272996","0.0997120482360834","5"
"Widowed","2005","direct migration background","Urban Area","94","0.0514962884521222","0.041726980136399","0.0612655967678454","5"
"Widowed","2005","direct migration background","Rural Area","32","0.0949716705603499","0.06662805128837","0.12331528983233","5"
"Widowed","2005","indirect migration background","Urban Area","4","","","","5"
"Widowed","2005","indirect migration background","Rural Area","1","","","","5"
"Divorced","2006","no migration background","Urban Area","905","0.0956181886355487","0.0903737773388189","0.100862599932278","4"
"Divorced","2006","no migration background","Rural Area","523","0.0876863584326378","0.0810401311180713","0.0943325857472043","4"
"Divorced","2006","direct migration background","Urban Area","107","0.0642659438971035","0.0534012038070349","0.0751306839871722","4"
"Divorced","2006","direct migration background","Rural Area","29","","","","4"
"Divorced","2006","indirect migration background","Urban Area","29","","","","4"
"Divorced","2006","indirect migration background","Rural Area","3","","","","4"
"Married","2006","no migration background","Urban Area","7134","0.515562270807233","0.506649553698077","0.52447498791639","1"
"Married","2006","no migration background","Rural Area","4107","0.529417015976575","0.51768820068606","0.54114583126709","1"
"Married","2006","direct migration background","Urban Area","1425","0.691394389005403","0.670929117409552","0.711859660601254","1"
"Married","2006","direct migration background","Rural Area","298","0.627887096731748","0.582411189668465","0.673363003795031","1"
"Married","2006","indirect migration background","Urban Area","247","0.289632851836652","0.256885235646371","0.322380468026933","1"
"Married","2006","indirect migration background","Rural Area","32","0.205387777993101","0.134849031619268","0.275926524366933","1"
