"pgfamstd","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"5","1990","Employed","Couple + C. LE 16 ","2","","",""
"5","1990","Employed","Couple + C. GT 16 ","4","","",""
"5","1990","Employed","Couple + C. LE and GT 16","1","","",""
"6","1990","Not Employed","1-pers.-HH","5","","",""
"6","1990","Not Employed","(Married) couple without C. ","","","",""
"6","1990","Not Employed","Single parent ","1","","",""
"6","1990","Not Employed","Couple + C. LE 16 ","","","",""
"6","1990","Not Employed","Couple + C. GT 16 ","","","",""
"6","1990","Not Employed","Couple + C. LE and GT 16","1","","",""
"6","1990","Employed","1-pers.-HH","22","","",""
"6","1990","Employed","(Married) couple without C. ","1","","",""
"6","1990","Employed","Single parent ","3","","",""
"6","1990","Employed","Couple + C. LE 16 ","1","","",""
"6","1990","Employed","Couple + C. GT 16 ","2","","",""
"6","1990","Employed","Couple + C. LE and GT 16","4","","",""
"7","1990","Not Employed","1-pers.-HH","","","",""
"7","1990","Not Employed","(Married) couple without C. ","","","",""
"7","1990","Not Employed","Single parent ","","","",""
"7","1990","Not Employed","Couple + C. LE 16 ","","","",""
"7","1990","Not Employed","Couple + C. GT 16 ","","","",""
"7","1990","Not Employed","Couple + C. LE and GT 16","","","",""
"7","1990","Employed","1-pers.-HH","","","",""
"7","1990","Employed","(Married) couple without C. ","","","",""
"7","1990","Employed","Single parent ","","","",""
"7","1990","Employed","Couple + C. LE 16 ","","","",""
"7","1990","Employed","Couple + C. GT 16 ","","","",""
"7","1990","Employed","Couple + C. LE and GT 16","","","",""
"8","1990","Not Employed","1-pers.-HH","","","",""
"8","1990","Not Employed","(Married) couple without C. ","","","",""
"8","1990","Not Employed","Single parent ","","","",""
"8","1990","Not Employed","Couple + C. LE 16 ","","","",""
"8","1990","Not Employed","Couple + C. GT 16 ","","","",""
"8","1990","Not Employed","Couple + C. LE and GT 16","","","",""
"8","1990","Employed","1-pers.-HH","","","",""
"8","1990","Employed","(Married) couple without C. ","","","",""
"8","1990","Employed","Single parent ","","","",""
"8","1990","Employed","Couple + C. LE 16 ","","","",""
"8","1990","Employed","Couple + C. GT 16 ","","","",""
"8","1990","Employed","Couple + C. LE and GT 16","","","",""
"1","1991","Not Employed","1-pers.-HH","3","","",""
"1","1991","Not Employed","(Married) couple without C. ","886","0.920994777688252","0.90397550808997","0.938014047286535"
"1","1991","Not Employed","Single parent ","2","","",""
"1","1991","Not Employed","Couple + C. LE 16 ","473","0.956701314002686","0.938717115674167","0.974685512331205"
"1","1991","Not Employed","Couple + C. GT 16 ","389","0.616635141848353","0.5789960304419","0.654274253254806"
"1","1991","Not Employed","Couple + C. LE and GT 16","130","0.505402764974044","0.444862809916513","0.565942720031575"
"1","1991","Employed","1-pers.-HH","1","","",""
"1","1991","Employed","(Married) couple without C. ","999","0.754407705830783","0.731531233083375","0.777284178578192"
"1","1991","Employed","Single parent ","5","","",""
"1","1991","Employed","Couple + C. LE 16 ","1528","0.953218812608443","0.942874911784517","0.963562713432369"
"1","1991","Employed","Couple + C. GT 16 ","766","0.591419874747488","0.565100093951952","0.617739655543024"
"1","1991","Employed","Couple + C. LE and GT 16","414","0.683551285962309","0.647176077652979","0.719926494271638"
"2","1991","Not Employed","1-pers.-HH","13","","",""
"2","1991","Not Employed","(Married) couple without C. ","3","","",""
"2","1991","Not Employed","Single parent ","11","","",""
"2","1991","Not Employed","Couple + C. LE 16 ","5","","",""
"2","1991","Not Employed","Couple + C. GT 16 ","4","","",""
"2","1991","Not Employed","Couple + C. LE and GT 16","1","","",""
"2","1991","Employed","1-pers.-HH","39","0.0628009860026573","0.0425441582932598","0.0830578137120548"
"2","1991","Employed","(Married) couple without C. ","17","","",""
"2","1991","Employed","Single parent ","26","","",""
"2","1991","Employed","Couple + C. LE 16 ","16","","",""
"2","1991","Employed","Couple + C. GT 16 ","9","","",""
"2","1991","Employed","Couple + C. LE and GT 16","3","","",""
"3","1991","Not Employed","1-pers.-HH","68","0.137427404174423","0.106032323521481","0.168822484827366"
"3","1991","Not Employed","(Married) couple without C. ","35","0.0326330371655849","0.0214229546893194","0.0438431196418503"
"3","1991","Not Employed","Single parent ","68","0.401459466183954","0.325504577008335","0.477414355359573"
"3","1991","Not Employed","Couple + C. LE 16 ","7","","",""
"3","1991","Not Employed","Couple + C. GT 16 ","244","0.372632083665637","0.335202038490092","0.410062128841182"
"3","1991","Not Employed","Couple + C. LE and GT 16","131","0.492508984163399","0.431972289705302","0.553045678621496"
"3","1991","Employed","1-pers.-HH","328","0.60905902141616","0.568315592146993","0.649802450685326"
"3","1991","Employed","(Married) couple without C. ","278","0.186439893301672","0.165741202265319","0.207138584338025"
"3","1991","Employed","Single parent ","153","0.490468586569693","0.435523911224076","0.54541326191531"
"3","1991","Employed","Couple + C. LE 16 ","34","0.0214948913543829","0.0143909134673448","0.028598869241421"
"3","1991","Employed","Couple + C. GT 16 ","546","0.384118810614522","0.358076653814503","0.410160967414541"
"3","1991","Employed","Couple + C. LE and GT 16","205","0.299440863773027","0.263619162884373","0.335262564661682"
"4","1991","Not Employed","1-pers.-HH","38","0.0805190242925755","0.0557078266066262","0.105330221978525"
"4","1991","Not Employed","(Married) couple without C. ","8","","",""
"4","1991","Not Employed","Single parent ","22","","",""
"4","1991","Not Employed","Couple + C. LE 16 ","6","","",""
"4","1991","Not Employed","Couple + C. GT 16 ","1","","",""
"4","1991","Not Employed","Couple + C. LE and GT 16","","","",""
"4","1991","Employed","1-pers.-HH","122","0.244978816791856","0.209068757165651","0.28088887641806"
"4","1991","Employed","(Married) couple without C. ","57","0.040850809590194","0.0303306566621612","0.0513709625182269"
"4","1991","Employed","Single parent ","84","0.274804117336519","0.225738890209393","0.323869344463645"
"4","1991","Employed","Couple + C. LE 16 ","19","","",""
"4","1991","Employed","Couple + C. GT 16 ","14","","",""
"4","1991","Employed","Couple + C. LE and GT 16","3","","",""
"5","1991","Not Employed","1-pers.-HH","337","0.752995849024894","0.713670234292416","0.792321463757371"
"5","1991","Not Employed","(Married) couple without C. ","33","0.0359805287935465","0.0242298999684149","0.0477311576186782"
"5","1991","Not Employed","Single parent ","56","0.3815868540498","0.306316465398588","0.456857242701012"
"5","1991","Not Employed","Couple + C. LE 16 ","1","","",""
"5","1991","Not Employed","Couple + C. GT 16 ","3","","",""
"5","1991","Not Employed","Couple + C. LE and GT 16","","","",""
"5","1991","Employed","1-pers.-HH","40","0.0674310944746058","0.0464927248870716","0.08836946406214"
"5","1991","Employed","(Married) couple without C. ","8","","",""
"5","1991","Employed","Single parent ","47","0.135972210077833","0.0982997948028287","0.173644625352837"
"5","1991","Employed","Couple + C. LE 16 ","3","","",""
"5","1991","Employed","Couple + C. GT 16 ","4","","",""
"5","1991","Employed","Couple + C. LE and GT 16","","","",""
"6","1991","Not Employed","1-pers.-HH","3","","",""
"6","1991","Not Employed","(Married) couple without C. ","","","",""
"6","1991","Not Employed","Single parent ","1","","",""
"6","1991","Not Employed","Couple + C. LE 16 ","","","",""
"6","1991","Not Employed","Couple + C. GT 16 ","","","",""
"6","1991","Not Employed","Couple + C. LE and GT 16","","","",""
"6","1991","Employed","1-pers.-HH","21","","",""
"6","1991","Employed","(Married) couple without C. ","1","","",""
"6","1991","Employed","Single parent ","3","","",""
"6","1991","Employed","Couple + C. LE 16 ","1","","",""
"6","1991","Employed","Couple + C. GT 16 ","1","","",""
"6","1991","Employed","Couple + C. LE and GT 16","3","","",""
"7","1991","Not Employed","1-pers.-HH","","","",""
"7","1991","Not Employed","(Married) couple without C. ","","","",""
"7","1991","Not Employed","Single parent ","","","",""
"7","1991","Not Employed","Couple + C. LE 16 ","","","",""
"7","1991","Not Employed","Couple + C. GT 16 ","","","",""
"7","1991","Not Employed","Couple + C. LE and GT 16","","","",""
"7","1991","Employed","1-pers.-HH","","","",""
"7","1991","Employed","(Married) couple without C. ","","","",""
"7","1991","Employed","Single parent ","","","",""
"7","1991","Employed","Couple + C. LE 16 ","","","",""
"7","1991","Employed","Couple + C. GT 16 ","","","",""
"7","1991","Employed","Couple + C. LE and GT 16","","","",""
"8","1991","Not Employed","1-pers.-HH","","","",""
"8","1991","Not Employed","(Married) couple without C. ","","","",""
"8","1991","Not Employed","Single parent ","","","",""
"8","1991","Not Employed","Couple + C. LE 16 ","","","",""
"8","1991","Not Employed","Couple + C. GT 16 ","","","",""
"8","1991","Not Employed","Couple + C. LE and GT 16","","","",""
"8","1991","Employed","1-pers.-HH","","","",""
"8","1991","Employed","(Married) couple without C. ","","","",""
"8","1991","Employed","Single parent ","","","",""
"8","1991","Employed","Couple + C. LE 16 ","","","",""
"8","1991","Employed","Couple + C. GT 16 ","","","",""
"8","1991","Employed","Couple + C. LE and GT 16","","","",""
"1","1992","Not Employed","1-pers.-HH","1","","",""
"1","1992","Not Employed","(Married) couple without C. ","1261","0.924702637125839","0.910735085191326","0.938670189060352"
"1","1992","Not Employed","Single parent ","1","","",""
"1","1992","Not Employed","Couple + C. LE 16 ","558","0.951286193152029","0.933856854245794","0.968715532058265"
"1","1992","Not Employed","Couple + C. GT 16 ","468","0.627289967415901","0.593804871642594","0.660775063189209"
"1","1992","Not Employed","Couple + C. LE and GT 16","131","0.43714191805613","0.381290081721149","0.492993754391111"
"1","1992","Employed","1-pers.-HH","2","","",""
"1","1992","Employed","(Married) couple without C. ","1440","0.74972006316341","0.73029867213463","0.76914145419219"
"1","1992","Employed","Single parent ","15","","",""
"1","1992","Employed","Couple + C. LE 16 ","2551","0.942884860522467","0.93414773856859","0.951621982476345"
"1","1992","Employed","Couple + C. GT 16 ","1153","0.608456759303958","0.58672594852543","0.630187570082486"
"1","1992","Employed","Couple + C. LE and GT 16","586","0.695748661125211","0.664945157339758","0.726552164910664"
"2","1992","Not Employed","1-pers.-HH","15","","",""
"2","1992","Not Employed","(Married) couple without C. ","3","","",""
"2","1992","Not Employed","Single parent ","12","","",""
"2","1992","Not Employed","Couple + C. LE 16 ","7","","",""
"2","1992","Not Employed","Couple + C. GT 16 ","4","","",""
"2","1992","Not Employed","Couple + C. LE and GT 16","","","",""
"2","1992","Employed","1-pers.-HH","38","0.0535652085154724","0.0363615072527296","0.0707689097782152"
"2","1992","Employed","(Married) couple without C. ","25","","",""
"2","1992","Employed","Single parent ","35","0.074933679437881","0.0507152972506908","0.0991520616250712"
"2","1992","Employed","Couple + C. LE 16 ","25","","",""
"2","1992","Employed","Couple + C. GT 16 ","11","","",""
"2","1992","Employed","Couple + C. LE and GT 16","3","","",""
"3","1992","Not Employed","1-pers.-HH","101","0.147553207792287","0.120454841283822","0.174651574300753"
"3","1992","Not Employed","(Married) couple without C. ","41","0.030259554791314","0.0211920376506819","0.0393270719319461"
"3","1992","Not Employed","Single parent ","80","0.410339047183118","0.338875428313966","0.48180266605227"
"3","1992","Not Employed","Couple + C. LE 16 ","14","","",""
"3","1992","Not Employed","Couple + C. GT 16 ","322","0.355998895139445","0.322840044824688","0.389157745454201"
"3","1992","Not Employed","Couple + C. LE and GT 16","171","0.561836973795085","0.505970688023886","0.617703259566285"
"3","1992","Employed","1-pers.-HH","396","0.614036072354511","0.576839283852188","0.651232860856834"
"3","1992","Employed","(Married) couple without C. ","351","0.175520790972993","0.158464999194251","0.192576582751735"
"3","1992","Employed","Single parent ","208","0.457439731565549","0.411613821355788","0.50326564177531"
"3","1992","Employed","Couple + C. LE 16 ","90","0.0327029576884443","0.0260066270119123","0.0393992883649763"
"3","1992","Employed","Couple + C. GT 16 ","736","0.368822907945635","0.34734184525324","0.39030397063803"
"3","1992","Employed","Couple + C. LE and GT 16","250","0.288459174634318","0.258127263849001","0.318791085419635"
"4","1992","Not Employed","1-pers.-HH","81","0.0994244610016324","0.0765610070032506","0.122287915000014"
"4","1992","Not Employed","(Married) couple without C. ","18","","",""
"4","1992","Not Employed","Single parent ","25","","",""
"4","1992","Not Employed","Couple + C. LE 16 ","6","","",""
"4","1992","Not Employed","Couple + C. GT 16 ","3","","",""
"4","1992","Not Employed","Couple + C. LE and GT 16","1","","",""
"4","1992","Employed","1-pers.-HH","153","0.2428625797503","0.210098135817238","0.275627023683363"
"4","1992","Employed","(Married) couple without C. ","79","0.04906810513978","0.0393832729921226","0.0587529372874373"
"4","1992","Employed","Single parent ","134","0.306435912849328","0.264029328469133","0.348842497229523"
"4","1992","Employed","Couple + C. LE 16 ","36","0.0136760161419759","0.0093032822884353","0.0180487499955165"
"4","1992","Employed","Couple + C. GT 16 ","32","0.0139505022173459","0.00872875932801496","0.0191722451066768"
"4","1992","Employed","Couple + C. LE and GT 16","11","","",""
"5","1992","Not Employed","1-pers.-HH","456","0.726553037866517","0.692496118808556","0.760609956924477"
"5","1992","Not Employed","(Married) couple without C. ","48","0.032342621100255","0.0229782681027652","0.0417069740977448"
"5","1992","Not Employed","Single parent ","63","0.371714961304646","0.301505478019401","0.441924444589891"
"5","1992","Not Employed","Couple + C. LE 16 ","1","","",""
"5","1992","Not Employed","Couple + C. GT 16 ","4","","",""
"5","1992","Not Employed","Couple + C. LE and GT 16","","","",""
"5","1992","Employed","1-pers.-HH","53","0.0763897446352801","0.0560943712087576","0.0966851180618027"
"5","1992","Employed","(Married) couple without C. ","16","","",""
"5","1992","Employed","Single parent ","60","0.132525385521136","0.101336626845091","0.163714144197182"
"5","1992","Employed","Couple + C. LE 16 ","7","","",""
"5","1992","Employed","Couple + C. GT 16 ","3","","",""
"5","1992","Employed","Couple + C. LE and GT 16","4","","",""
"6","1992","Not Employed","1-pers.-HH","4","","",""
"6","1992","Not Employed","(Married) couple without C. ","","","",""
"6","1992","Not Employed","Single parent ","1","","",""
"6","1992","Not Employed","Couple + C. LE 16 ","","","",""
"6","1992","Not Employed","Couple + C. GT 16 ","","","",""
"6","1992","Not Employed","Couple + C. LE and GT 16","","","",""
"6","1992","Employed","1-pers.-HH","16","","",""
"6","1992","Employed","(Married) couple without C. ","","","",""
"6","1992","Employed","Single parent ","2","","",""
"6","1992","Employed","Couple + C. LE 16 ","1","","",""
"6","1992","Employed","Couple + C. GT 16 ","3","","",""
"6","1992","Employed","Couple + C. LE and GT 16","3","","",""
"7","1992","Not Employed","1-pers.-HH","","","",""
"7","1992","Not Employed","(Married) couple without C. ","","","",""
"7","1992","Not Employed","Single parent ","","","",""
"7","1992","Not Employed","Couple + C. LE 16 ","","","",""
"7","1992","Not Employed","Couple + C. GT 16 ","","","",""
"7","1992","Not Employed","Couple + C. LE and GT 16","","","",""
"7","1992","Employed","1-pers.-HH","","","",""
"7","1992","Employed","(Married) couple without C. ","","","",""
"7","1992","Employed","Single parent ","","","",""
"7","1992","Employed","Couple + C. LE 16 ","","","",""
"7","1992","Employed","Couple + C. GT 16 ","","","",""
"7","1992","Employed","Couple + C. LE and GT 16","","","",""
"8","1992","Not Employed","1-pers.-HH","","","",""
"8","1992","Not Employed","(Married) couple without C. ","","","",""
"8","1992","Not Employed","Single parent ","","","",""
"8","1992","Not Employed","Couple + C. LE 16 ","","","",""
"8","1992","Not Employed","Couple + C. GT 16 ","","","",""
"8","1992","Not Employed","Couple + C. LE and GT 16","","","",""
"8","1992","Employed","1-pers.-HH","","","",""
"8","1992","Employed","(Married) couple without C. ","","","",""
"8","1992","Employed","Single parent ","","","",""
"8","1992","Employed","Couple + C. LE 16 ","","","",""
"8","1992","Employed","Couple + C. GT 16 ","","","",""
"8","1992","Employed","Couple + C. LE and GT 16","","","",""
"1","1993","Not Employed","1-pers.-HH","2","","",""
"1","1993","Not Employed","(Married) couple without C. ","1351","0.934752919774569","0.922102454208373","0.947403385340766"
"1","1993","Not Employed","Single parent ","1","","",""
"1","1993","Not Employed","Couple + C. LE 16 ","565","0.94725406672575","0.929368603380403","0.965139530071097"
"1","1993","Not Employed","Couple + C. GT 16 ","466","0.642813778442304","0.608880670111611","0.676746886772997"
"1","1993","Not Employed","Couple + C. LE and GT 16","124","0.375221329906472","0.322418927051948","0.428023732760996"
"1","1993","Employed","1-pers.-HH","3","","",""
"1","1993","Employed","(Married) couple without C. ","1383","0.756180092733301","0.736708258849082","0.77565192661752"
"1","1993","Employed","Single parent ","5","","",""
"1","1993","Employed","Couple + C. LE 16 ","2371","0.943836165865864","0.934848677327718","0.95282365440401"
"1","1993","Employed","Couple + C. GT 16 ","1076","0.613775338898791","0.591443606133169","0.636107071664413"
"1","1993","Employed","Couple + C. LE and GT 16","595","0.683849125381716","0.652827108140911","0.714871142622521"
"2","1993","Not Employed","1-pers.-HH","17","","",""
"2","1993","Not Employed","(Married) couple without C. ","6","","",""
"2","1993","Not Employed","Single parent ","14","","",""
"2","1993","Not Employed","Couple + C. LE 16 ","8","","",""
"2","1993","Not Employed","Couple + C. GT 16 ","4","","",""
"2","1993","Not Employed","Couple + C. LE and GT 16","","","",""
"2","1993","Employed","1-pers.-HH","51","0.0807502329711409","0.0604508096666633","0.101049656275619"
"2","1993","Employed","(Married) couple without C. ","20","","",""
"2","1993","Employed","Single parent ","36","0.0780724398591158","0.0520399753860998","0.104104904332132"
"2","1993","Employed","Couple + C. LE 16 ","29","","",""
"2","1993","Employed","Couple + C. GT 16 ","18","","",""
"2","1993","Employed","Couple + C. LE and GT 16","3","","",""
"3","1993","Not Employed","1-pers.-HH","114","0.15917828148603","0.131861322763022","0.186495240209039"
"3","1993","Not Employed","(Married) couple without C. ","41","0.0196459137919559","0.0125369688392247","0.026754858744687"
"3","1993","Not Employed","Single parent ","85","0.408949686204237","0.339945100764233","0.477954271644241"
"3","1993","Not Employed","Couple + C. LE 16 ","19","","",""
"3","1993","Not Employed","Couple + C. GT 16 ","285","0.34117469225542","0.307600370569211","0.37474901394163"
"3","1993","Not Employed","Couple + C. LE and GT 16","194","0.610214052569146","0.557027600433396","0.663400504704897"
"3","1993","Employed","1-pers.-HH","409","0.586223587108171","0.549528362253418","0.622918811962925"
"3","1993","Employed","(Married) couple without C. ","384","0.183310839494589","0.165764677931952","0.200857001057226"
"3","1993","Employed","Single parent ","189","0.453240290429702","0.404936577336647","0.501544003522757"
"3","1993","Employed","Couple + C. LE 16 ","79","0.031999342870167","0.025129132681251","0.0388695530590829"
"3","1993","Employed","Couple + C. GT 16 ","705","0.36373014488283","0.341664936859538","0.385795352906123"
"3","1993","Employed","Couple + C. LE and GT 16","245","0.295949248033807","0.265494620180727","0.326403875886887"
"4","1993","Not Employed","1-pers.-HH","90","0.108146881886767","0.0849573410909909","0.131336422682542"
"4","1993","Not Employed","(Married) couple without C. ","16","","",""
"4","1993","Not Employed","Single parent ","30","0.166406822027194","0.114131896285273","0.218681747769115"
"4","1993","Not Employed","Couple + C. LE 16 ","7","","",""
"4","1993","Not Employed","Couple + C. GT 16 ","6","","",""
"4","1993","Not Employed","Couple + C. LE and GT 16","4","","",""
"4","1993","Employed","1-pers.-HH","154","0.239292361553393","0.207503984900866","0.271080738205919"
"4","1993","Employed","(Married) couple without C. ","69","0.0425804995643202","0.0334242806905294","0.051736718438111"
"4","1993","Employed","Single parent ","123","0.326494712150005","0.28099312031592","0.37199630398409"
"4","1993","Employed","Couple + C. LE 16 ","35","0.0124726731250877","0.008140398293011","0.0168049479571643"
"4","1993","Employed","Couple + C. GT 16 ","21","","",""
"4","1993","Employed","Couple + C. LE and GT 16","15","","",""
"5","1993","Not Employed","1-pers.-HH","461","0.705817273472069","0.671792659564882","0.739841887379256"
"5","1993","Not Employed","(Married) couple without C. ","50","0.0334228021436209","0.0242158209830241","0.0426297833042176"
"5","1993","Not Employed","Single parent ","63","0.366710360568958","0.299071923001274","0.434348798136641"
"5","1993","Not Employed","Couple + C. LE 16 ","1","","",""
"5","1993","Not Employed","Couple + C. GT 16 ","4","","",""
"5","1993","Not Employed","Couple + C. LE and GT 16","","","",""
"5","1993","Employed","1-pers.-HH","57","0.0783211213017878","0.0583029542242717","0.098339288379304"
"5","1993","Employed","(Married) couple without C. ","12","","",""
"5","1993","Employed","Single parent ","52","0.121537988956853","0.0898324218935056","0.153243556020201"
"5","1993","Employed","Couple + C. LE 16 ","7","","",""
"5","1993","Employed","Couple + C. GT 16 ","2","","",""
"5","1993","Employed","Couple + C. LE and GT 16","3","","",""
"6","1993","Not Employed","1-pers.-HH","5","","",""
"6","1993","Not Employed","(Married) couple without C. ","","","",""
"6","1993","Not Employed","Single parent ","2","","",""
"6","1993","Not Employed","Couple + C. LE 16 ","","","",""
"6","1993","Not Employed","Couple + C. GT 16 ","1","","",""
"6","1993","Not Employed","Couple + C. LE and GT 16","1","","",""
"6","1993","Employed","1-pers.-HH","18","","",""
"6","1993","Employed","(Married) couple without C. ","","","",""
"6","1993","Employed","Single parent ","3","","",""
"6","1993","Employed","Couple + C. LE 16 ","","","",""
"6","1993","Employed","Couple + C. GT 16 ","4","","",""
"6","1993","Employed","Couple + C. LE and GT 16","2","","",""
"7","1993","Not Employed","1-pers.-HH","","","",""
"7","1993","Not Employed","(Married) couple without C. ","","","",""
"7","1993","Not Employed","Single parent ","","","",""
"7","1993","Not Employed","Couple + C. LE 16 ","","","",""
"7","1993","Not Employed","Couple + C. GT 16 ","","","",""
"7","1993","Not Employed","Couple + C. LE and GT 16","","","",""
"7","1993","Employed","1-pers.-HH","","","",""
"7","1993","Employed","(Married) couple without C. ","","","",""
"7","1993","Employed","Single parent ","","","",""
"7","1993","Employed","Couple + C. LE 16 ","","","",""
"7","1993","Employed","Couple + C. GT 16 ","","","",""
"7","1993","Employed","Couple + C. LE and GT 16","","","",""
"8","1993","Not Employed","1-pers.-HH","","","",""
"8","1993","Not Employed","(Married) couple without C. ","","","",""
"8","1993","Not Employed","Single parent ","","","",""
"8","1993","Not Employed","Couple + C. LE 16 ","","","",""
"8","1993","Not Employed","Couple + C. GT 16 ","","","",""
"8","1993","Not Employed","Couple + C. LE and GT 16","","","",""
"8","1993","Employed","1-pers.-HH","","","",""
"8","1993","Employed","(Married) couple without C. ","","","",""
"8","1993","Employed","Single parent ","","","",""
"8","1993","Employed","Couple + C. LE 16 ","","","",""
"8","1993","Employed","Couple + C. GT 16 ","","","",""
"8","1993","Employed","Couple + C. LE and GT 16","","","",""
"1","1994","Not Employed","1-pers.-HH","1","","",""
"1","1994","Not Employed","(Married) couple without C. ","1400","0.93411251170802","0.921644863068262","0.946580160347778"
"1","1994","Not Employed","Single parent ","","","",""
"1","1994","Not Employed","Couple + C. LE 16 ","604","0.939121113224721","0.920753541258559","0.957488685190882"
"1","1994","Not Employed","Couple + C. GT 16 ","463","0.601240624424195","0.567310714262552","0.635170534585838"
"1","1994","Not Employed","Couple + C. LE and GT 16","125","0.356471571714995","0.304717269087177","0.408225874342814"
"1","1994","Employed","1-pers.-HH","3","","",""
"1","1994","Employed","(Married) couple without C. ","1371","0.74709012492221","0.727446434339165","0.766733815505256"
"1","1994","Employed","Single parent ","4","","",""
"1","1994","Employed","Couple + C. LE 16 ","2226","0.944161127649197","0.934924804664635","0.953397450633758"
"1","1994","Employed","Couple + C. GT 16 ","993","0.632538862394022","0.60936751541464","0.655710209373405"
"1","1994","Employed","Couple + C. LE and GT 16","581","0.696984688133198","0.666090091157572","0.727879285108825"
"2","1994","Not Employed","1-pers.-HH","24","","",""
"2","1994","Not Employed","(Married) couple without C. ","5","","",""
"2","1994","Not Employed","Single parent ","12","","",""
"2","1994","Not Employed","Couple + C. LE 16 ","5","","",""
"2","1994","Not Employed","Couple + C. GT 16 ","9","","",""
"2","1994","Not Employed","Couple + C. LE and GT 16","2","","",""
"2","1994","Employed","1-pers.-HH","59","0.073924896708836","0.0541570653926233","0.0936927280250487"
"2","1994","Employed","(Married) couple without C. ","30","0.0165547059557654","0.0107885082083756","0.0223209037031551"
"2","1994","Employed","Single parent ","38","0.10713992969851","0.0758775849699616","0.138402274427058"
"2","1994","Employed","Couple + C. LE 16 ","32","0.011604323334227","0.00729625024439277","0.0159123964240612"
"2","1994","Employed","Couple + C. GT 16 ","9","","",""
"2","1994","Employed","Couple + C. LE and GT 16","1","","",""
"3","1994","Not Employed","1-pers.-HH","116","0.161676904853129","0.134501048319688","0.188852761386571"
"3","1994","Not Employed","(Married) couple without C. ","44","0.0211045529782016","0.013881185373826","0.0283279205825773"
"3","1994","Not Employed","Single parent ","85","0.400887521205353","0.332102125979051","0.469672916431655"
"3","1994","Not Employed","Couple + C. LE 16 ","29","","",""
"3","1994","Not Employed","Couple + C. GT 16 ","320","0.380684589317814","0.34703795027672","0.414331228358908"
"3","1994","Not Employed","Couple + C. LE and GT 16","196","0.622616941882892","0.570238592435264","0.674995291330521"
"3","1994","Employed","1-pers.-HH","410","0.610019148231411","0.573169450107779","0.646868846355043"
"3","1994","Employed","(Married) couple without C. ","396","0.182886205724608","0.165416506039098","0.200355905410118"
"3","1994","Employed","Single parent ","178","0.453599553959249","0.403278931970911","0.503920175947588"
"3","1994","Employed","Couple + C. LE 16 ","73","0.0289457082297512","0.0222016458324765","0.0356897706270259"
"3","1994","Employed","Couple + C. GT 16 ","623","0.342738624694953","0.319927192816988","0.365550056572917"
"3","1994","Employed","Couple + C. LE and GT 16","247","0.27956948212695","0.249399186901061","0.309739777352839"
"4","1994","Not Employed","1-pers.-HH","90","0.108535402240791","0.0855743760975648","0.131496428384018"
"4","1994","Not Employed","(Married) couple without C. ","22","","",""
"4","1994","Not Employed","Single parent ","30","0.172119237013403","0.119137110288048","0.225101363738757"
"4","1994","Not Employed","Couple + C. LE 16 ","12","","",""
"4","1994","Not Employed","Couple + C. GT 16 ","4","","",""
"4","1994","Not Employed","Couple + C. LE and GT 16","6","","",""
"4","1994","Employed","1-pers.-HH","147","0.242289859316954","0.209918590101736","0.274661128532171"
"4","1994","Employed","(Married) couple without C. ","66","0.0416027287080103","0.0325789718287489","0.0506264855872716"
"4","1994","Employed","Single parent ","105","0.296621955312899","0.250452981754125","0.342790928871673"
"4","1994","Employed","Couple + C. LE 16 ","37","0.0141596998387242","0.00940702567052165","0.0189123740069267"
"4","1994","Employed","Couple + C. GT 16 ","31","0.0151356226398824","0.00926761964615199","0.0210036256336128"
"4","1994","Employed","Couple + C. LE and GT 16","16","","",""
"5","1994","Not Employed","1-pers.-HH","470","0.688162860568859","0.653967824456318","0.722357896681399"
"5","1994","Not Employed","(Married) couple without C. ","50","0.030719692243582","0.0220477453616312","0.0393916391255328"
"5","1994","Not Employed","Single parent ","66","0.374100769252728","0.306183956811901","0.442017581693555"
"5","1994","Not Employed","Couple + C. LE 16 ","1","","",""
"5","1994","Not Employed","Couple + C. GT 16 ","4","","",""
"5","1994","Not Employed","Couple + C. LE and GT 16","","","",""
"5","1994","Employed","1-pers.-HH","47","0.0652677521658757","0.0466068128858646","0.0839286914458869"
"5","1994","Employed","(Married) couple without C. ","18","","",""
"5","1994","Employed","Single parent ","47","0.117156326879352","0.0846491730361205","0.149663480722584"
"5","1994","Employed","Couple + C. LE 16 ","6","","",""
"5","1994","Employed","Couple + C. GT 16 ","2","","",""
"5","1994","Employed","Couple + C. LE and GT 16","3","","",""
"6","1994","Not Employed","1-pers.-HH","4","","",""
"6","1994","Not Employed","(Married) couple without C. ","","","",""
"6","1994","Not Employed","Single parent ","2","","",""
"6","1994","Not Employed","Couple + C. LE 16 ","","","",""
"6","1994","Not Employed","Couple + C. GT 16 ","","","",""
"6","1994","Not Employed","Couple + C. LE and GT 16","","","",""
"6","1994","Employed","1-pers.-HH","7","","",""
"6","1994","Employed","(Married) couple without C. ","","","",""
"6","1994","Employed","Single parent ","4","","",""
"6","1994","Employed","Couple + C. LE 16 ","","","",""
"6","1994","Employed","Couple + C. GT 16 ","5","","",""
"6","1994","Employed","Couple + C. LE and GT 16","2","","",""
"7","1994","Not Employed","1-pers.-HH","","","",""
"7","1994","Not Employed","(Married) couple without C. ","","","",""
"7","1994","Not Employed","Single parent ","","","",""
"7","1994","Not Employed","Couple + C. LE 16 ","","","",""
