"pgfamstd","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"7","1986","35-65 y.","no migration background","","","",""
"7","1986","35-65 y.","direct migration background","","","",""
"7","1986","35-65 y.","indirect migration background","","","",""
"7","1986","66 and older","no migration background","","","",""
"7","1986","66 and older","direct migration background","","","",""
"7","1986","66 and older","indirect migration background","","","",""
"8","1986","16-34 y.","no migration background","","","",""
"8","1986","16-34 y.","direct migration background","","","",""
"8","1986","16-34 y.","indirect migration background","","","",""
"8","1986","35-65 y.","no migration background","","","",""
"8","1986","35-65 y.","direct migration background","","","",""
"8","1986","35-65 y.","indirect migration background","","","",""
"8","1986","66 and older","no migration background","","","",""
"8","1986","66 and older","direct migration background","","","",""
"8","1986","66 and older","indirect migration background","","","",""
"1","1987","16-34 y.","no migration background","1052","0.356302663287021","0.338598799533951","0.37400652704009"
"1","1987","16-34 y.","direct migration background","535","0.529831388660191","0.499925834119799","0.559736943200584"
"1","1987","16-34 y.","indirect migration background","18","","",""
"1","1987","35-65 y.","no migration background","2977","0.78767343912374","0.774367979845799","0.800978898401682"
"1","1987","35-65 y.","direct migration background","1454","0.795778051879306","0.776472248841604","0.815083854917008"
"1","1987","35-65 y.","indirect migration background","19","","",""
"1","1987","66 and older","no migration background","525","0.440429818180104","0.4098739412239","0.470985695136308"
"1","1987","66 and older","direct migration background","27","","",""
"1","1987","66 and older","indirect migration background","2","","",""
"2","1987","16-34 y.","no migration background","36","0.0132010100241787","0.00898175674313984","0.0174202633052176"
"2","1987","16-34 y.","direct migration background","22","","",""
"2","1987","16-34 y.","indirect migration background","1","","",""
"2","1987","35-65 y.","no migration background","65","0.0196665546517971","0.0151489766673415","0.0241841326362528"
"2","1987","35-65 y.","direct migration background","27","","",""
"2","1987","35-65 y.","indirect migration background","2","","",""
"2","1987","66 and older","no migration background","5","","",""
"2","1987","66 and older","direct migration background","","","",""
"2","1987","66 and older","indirect migration background","","","",""
"3","1987","16-34 y.","no migration background","1658","0.605215109685675","0.58714533195724","0.62328488741411"
"3","1987","16-34 y.","direct migration background","478","0.415862941015446","0.386331224396889","0.445394657634004"
"3","1987","16-34 y.","indirect migration background","127","0.81851273477126","0.756207401666538","0.880818067875981"
"3","1987","35-65 y.","no migration background","180","0.063406679820474","0.0554780591329477","0.0713353005080002"
"3","1987","35-65 y.","direct migration background","36","0.03338406882434","0.0247813190047072","0.0419868186439728"
"3","1987","35-65 y.","indirect migration background","1","","",""
"3","1987","66 and older","no migration background","59","0.0662786362359969","0.0509668963338401","0.0815903761381536"
"3","1987","66 and older","direct migration background","4","","",""
"3","1987","66 and older","indirect migration background","1","","",""
"4","1987","16-34 y.","no migration background","63","0.0239733622204252","0.0183186178462505","0.0296281065945998"
"4","1987","16-34 y.","direct migration background","14","","",""
"4","1987","16-34 y.","indirect migration background","1","","",""
"4","1987","35-65 y.","no migration background","216","0.0685462028915829","0.0603251590033489","0.0767672467798169"
"4","1987","35-65 y.","direct migration background","56","0.0611454897194382","0.0496712994393932","0.0726196799994831"
"4","1987","35-65 y.","indirect migration background","3","","",""
"4","1987","66 and older","no migration background","25","","",""
"4","1987","66 and older","direct migration background","3","","",""
"4","1987","66 and older","indirect migration background","","","",""
"5","1987","16-34 y.","no migration background","2","","",""
"5","1987","16-34 y.","direct migration background","2","","",""
"5","1987","16-34 y.","indirect migration background","","","",""
"5","1987","35-65 y.","no migration background","191","0.0607071235124057","0.0529379477100652","0.0684762993147462"
"5","1987","35-65 y.","direct migration background","43","0.0550061728084273","0.044087725423758","0.0659246201930967"
"5","1987","35-65 y.","indirect migration background","","","",""
"5","1987","66 and older","no migration background","400","0.459111011006094","0.428439015060492","0.489783006951696"
"5","1987","66 and older","direct migration background","21","","",""
"5","1987","66 and older","indirect migration background","1","","",""
"6","1987","16-34 y.","no migration background","","","",""
"6","1987","16-34 y.","direct migration background","19","","",""
"6","1987","16-34 y.","indirect migration background","","","",""
"6","1987","35-65 y.","no migration background","","","",""
"6","1987","35-65 y.","direct migration background","59","0.0361175542121035","0.0271821976512222","0.0450529107729848"
"6","1987","35-65 y.","indirect migration background","","","",""
"6","1987","66 and older","no migration background","","","",""
"6","1987","66 and older","direct migration background","","","",""
"6","1987","66 and older","indirect migration background","","","",""
"7","1987","16-34 y.","no migration background","","","",""
"7","1987","16-34 y.","direct migration background","","","",""
"7","1987","16-34 y.","indirect migration background","","","",""
"7","1987","35-65 y.","no migration background","","","",""
"7","1987","35-65 y.","direct migration background","","","",""
"7","1987","35-65 y.","indirect migration background","","","",""
"7","1987","66 and older","no migration background","","","",""
"7","1987","66 and older","direct migration background","","","",""
"7","1987","66 and older","indirect migration background","","","",""
"8","1987","16-34 y.","no migration background","","","",""
"8","1987","16-34 y.","direct migration background","","","",""
"8","1987","16-34 y.","indirect migration background","","","",""
"8","1987","35-65 y.","no migration background","","","",""
"8","1987","35-65 y.","direct migration background","","","",""
"8","1987","35-65 y.","indirect migration background","","","",""
"8","1987","66 and older","no migration background","","","",""
"8","1987","66 and older","direct migration background","","","",""
"8","1987","66 and older","indirect migration background","","","",""
"1","1988","16-34 y.","no migration background","982","0.343079195473642","0.324935576523695","0.361222814423588"
"1","1988","16-34 y.","direct migration background","534","0.531458149152304","0.500804447104307","0.5621118512003"
"1","1988","16-34 y.","indirect migration background","26","","",""
"1","1988","35-65 y.","no migration background","2823","0.780684470885839","0.766905029504732","0.794463912266946"
"1","1988","35-65 y.","direct migration background","1382","0.787979389371367","0.767888646363146","0.808070132379588"
"1","1988","35-65 y.","indirect migration background","17","","",""
"1","1988","66 and older","no migration background","508","0.444380681156802","0.413206903307874","0.475554459005731"
"1","1988","66 and older","direct migration background","35","0.494321835740992","0.369872023950586","0.618771647531397"
"1","1988","66 and older","indirect migration background","2","","",""
"2","1988","16-34 y.","no migration background","41","0.0177236427194033","0.0126809377991551","0.0227663476396515"
"2","1988","16-34 y.","direct migration background","18","","",""
"2","1988","16-34 y.","indirect migration background","","","",""
