"pgfamstd","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Single","1992","middle vocational","East Germany","414","0.211463451637549","0.194469440746509","0.22845746252859","3"
"Single","1992","vocational + Abi","West Germany","118","0.434462045668271","0.379895651036267","0.489028440300276","3"
"Widowed","1992","in school","West Germany","","","","","5"
"Widowed","1992","in school","East Germany","","","","","5"
"Widowed","1992","inadequately","West Germany","25","","","","5"
"Widowed","1992","inadequately","East Germany","3","","","","5"
"Widowed","1992","general elemantary","West Germany","240","0.19404838964214","0.177994271321666","0.210102507962615","5"
"Widowed","1992","general elemantary","East Germany","83","0.279542082885031","0.238397004078766","0.320687161691296","5"
"Widowed","1992","middle vocational","West Germany","256","0.097629854415602","0.0889673493781558","0.106292359453048","5"
"Widowed","1992","middle vocational","East Germany","128","0.0950804922544443","0.0828732375517341","0.107287746957154","5"
"Widowed","1992","vocational + Abi","West Germany","5","","","","5"
"Widowed","1992","vocational + Abi","East Germany","","","","","5"
"Widowed","1992","higher vocational","West Germany","33","0.107715413696931","0.0814453078692114","0.13398551952465","5"
"Widowed","1992","higher vocational","East Germany","5","","","","5"
"Widowed","1992","higher education","West Germany","20","","","","5"
"Widowed","1992","higher education","East Germany","24","","","","5"
"Divorced","1993","in school","West Germany","","","","","4"
"Divorced","1993","in school","East Germany","","","","","4"
"Divorced","1993","inadequately","West Germany","22","","","","4"
"Divorced","1993","inadequately","East Germany","1","","","","4"
"Divorced","1993","general elemantary","West Germany","78","0.0484187360085891","0.0395612962249591","0.057276175792219","4"
"Divorced","1993","general elemantary","East Germany","24","","","","4"
"Divorced","1993","middle vocational","West Germany","222","0.0662606200158784","0.0590180676281329","0.0735031724036239","4"
"Divorced","1993","middle vocational","East Germany","130","0.0783073667790361","0.066916934711675","0.0896977988463972","4"
"Divorced","1993","vocational + Abi","West Germany","5","","","","4"
"Divorced","1993","vocational + Abi","East Germany","2","","","","4"
"Divorced","1993","higher vocational","West Germany","18","","","","4"
"Divorced","1993","higher vocational","East Germany","5","","","","4"
"Divorced","1993","higher education","West Germany","54","0.0835434965895865","0.0639228342228676","0.103164158956305","4"
"Divorced","1993","higher education","East Germany","54","0.0849000549883899","0.0664315255968441","0.103368584379936","4"
"Married","1993","in school","West Germany","","","","","1"
"Married","1993","in school","East Germany","","","","","1"
"Married","1993","inadequately","West Germany","443","0.606190925019382","0.566899078071054","0.645482771967709","1"
"Married","1993","inadequately","East Germany","5","","","","1"
"Married","1993","general elemantary","West Germany","1324","0.514045667873776","0.493421467275063","0.534669868472489","1"
"Married","1993","general elemantary","East Germany","138","0.309068198152567","0.265237447860705","0.352898948444428","1"
"Married","1993","middle vocational","West Germany","2926","0.608207726255852","0.593994097760459","0.622421354751246","1"
"Married","1993","middle vocational","East Germany","1433","0.609875015365039","0.58919417733641","0.630555853393667","1"
"Married","1993","vocational + Abi","West Germany","179","0.490071547883167","0.434954123274038","0.545188972492296","1"
"Married","1993","vocational + Abi","East Germany","41","0.582996082181708","0.467490770391566","0.69850139397185","1"
"Married","1993","higher vocational","West Germany","382","0.67712135826361","0.636933086128133","0.717309630399088","1"
"Married","1993","higher vocational","East Germany","193","0.769737187305529","0.714849237596748","0.82462513701431","1"
"Married","1993","higher education","West Germany","513","0.623253218553156","0.588892799472968","0.657613637633344","1"
"Married","1993","higher education","East Germany","719","0.757535768232194","0.72913896339783","0.785932573066558","1"
"Married, but separated","1993","vocational + Abi","East Germany","1","","","","2"
"Married, but separated","1993","higher vocational","West Germany","14","","","","2"
"Married, but separated","1993","higher vocational","East Germany","","","","","2"
"Married, but separated","1993","higher education","West Germany","22","","","","2"
"Married, but separated","1993","higher education","East Germany","7","","","","2"
"Married, but separated","1993","in school","West Germany","1","","","","2"
"Married, but separated","1993","in school","East Germany","","","","","2"
"Married, but separated","1993","inadequately","West Germany","31","0.0571152174075184","0.0384531351661631","0.0757772996488737","2"
"Married, but separated","1993","inadequately","East Germany","","","","","2"
"Married, but separated","1993","general elemantary","West Germany","56","0.0237557857392281","0.0174716945332144","0.0300398769452418","2"
"Married, but separated","1993","general elemantary","East Germany","2","","","","2"
"Married, but separated","1993","middle vocational","West Germany","95","0.0200915857170623","0.016006032134997","0.0241771392991275","2"
"Married, but separated","1993","middle vocational","East Germany","38","0.0150795098790949","0.00991249122712504","0.0202465285310647","2"
"Married, but separated","1993","vocational + Abi","West Germany","8","","","","2"
"Single","1993","in school","West Germany","124","0.976860176816231","0.95050358169322","1.00321677193924","3"
"Single","1993","in school","East Germany","60","1","1","1","3"
"Single","1993","inadequately","West Germany","74","0.217681499598504","0.184495307012431","0.250867692184576","3"
"Single","1993","inadequately","East Germany","9","","","","3"
"Single","1993","vocational + Abi","East Germany","26","","","","3"
"Single","1993","higher vocational","West Germany","72","0.147544539325383","0.117062512697034","0.178026565953733","3"
"Single","1993","higher vocational","East Germany","22","","","","3"
"Single","1993","higher education","West Germany","157","0.218018476439526","0.188740146011629","0.247296806867423","3"
"Single","1993","higher education","East Germany","70","0.115764188342897","0.0945651954119593","0.136963181273835","3"
"Single","1993","general elemantary","West Germany","555","0.217218042760134","0.200202457367583","0.234233628152685","3"
"Single","1993","general elemantary","East Germany","184","0.337876653302518","0.293014233377055","0.382739073227981","3"
"Single","1993","middle vocational","West Germany","1032","0.209154574019245","0.1973124243193","0.220996723719189","3"
"Single","1993","middle vocational","East Germany","409","0.198393961317091","0.181486027291837","0.215301895342344","3"
"Single","1993","vocational + Abi","West Germany","118","0.429319831072136","0.374745123767649","0.483894538376624","3"
"Widowed","1993","in school","West Germany","","","","","5"
"Widowed","1993","in school","East Germany","","","","","5"
"Widowed","1993","inadequately","West Germany","24","","","","5"
"Widowed","1993","inadequately","East Germany","2","","","","5"
"Widowed","1993","general elemantary","West Germany","243","0.196561767618273","0.180163260414783","0.212960274821762","5"
"Widowed","1993","general elemantary","East Germany","79","0.283755155757606","0.240995245156388","0.326515066358824","5"
"Widowed","1993","middle vocational","West Germany","256","0.0962854939919625","0.0876964046918598","0.104874583292065","5"
"Widowed","1993","middle vocational","East Germany","127","0.09834414665974","0.08571888198877","0.11096941133071","5"
"Widowed","1993","vocational + Abi","West Germany","6","","","","5"
"Widowed","1993","vocational + Abi","East Germany","","","","","5"
"Widowed","1993","higher vocational","West Germany","34","0.115212885857142","0.0877708491316285","0.142654922582655","5"
"Widowed","1993","higher vocational","East Germany","6","","","","5"
"Widowed","1993","higher education","West Germany","18","","","","5"
"Widowed","1993","higher education","East Germany","25","","","","5"
"Divorced","1994","in school","West Germany","","","","","4"
"Divorced","1994","in school","East Germany","","","","","4"
"Divorced","1994","inadequately","West Germany","19","","","","4"
"Divorced","1994","inadequately","East Germany","","","","","4"
"Divorced","1994","general elemantary","West Germany","70","0.0474390754597194","0.0383167528219098","0.056561398097529","4"
"Divorced","1994","general elemantary","East Germany","26","","","","4"
"Divorced","1994","middle vocational","West Germany","228","0.0659219091256139","0.0586563824772601","0.0731874357739676","4"
"Divorced","1994","middle vocational","East Germany","123","0.0751717370564366","0.0638623079238489","0.0864811661890242","4"
"Divorced","1994","vocational + Abi","West Germany","10","","","","4"
"Divorced","1994","vocational + Abi","East Germany","2","","","","4"
"Divorced","1994","higher vocational","West Germany","22","","","","4"
"Divorced","1994","higher vocational","East Germany","7","","","","4"
"Divorced","1994","higher education","West Germany","54","0.0850255506609197","0.0656248663110421","0.104426235010797","4"
"Divorced","1994","higher education","East Germany","52","0.0778683590436697","0.0599591733784985","0.0957775447088409","4"
"Married","1994","in school","West Germany","","","","","1"
"Married","1994","in school","East Germany","","","","","1"
"Married","1994","inadequately","West Germany","417","0.637768253138452","0.597415372428134","0.67812113384877","1"
"Married","1994","inadequately","East Germany","5","","","","1"
"Married","1994","general elemantary","West Germany","1246","0.519218286351366","0.497777539990022","0.540659032712711","1"
"Married","1994","general elemantary","East Germany","122","0.27352413255442","0.230163711077644","0.316884554031197","1"
"Married","1994","middle vocational","West Germany","2879","0.609572261083717","0.595288468015529","0.623856054151906","1"
"Married","1994","middle vocational","East Germany","1397","0.61510748942929","0.59423721875851","0.63597776010007","1"
"Married","1994","vocational + Abi","West Germany","170","0.474198744859232","0.419317299514195","0.529080190204269","1"
"Married","1994","vocational + Abi","East Germany","40","0.475480805748278","0.361697271627521","0.589264339869034","1"
"Married","1994","higher vocational","West Germany","372","0.649237920924103","0.608261173167585","0.690214668680621","1"
"Married","1994","higher vocational","East Germany","195","0.765882857946303","0.711858468044151","0.819907247848455","1"
"Married","1994","higher education","West Germany","529","0.625167695038942","0.591496803898809","0.658838586179074","1"
"Married","1994","higher education","East Germany","701","0.761798468112053","0.733328224194088","0.790268712030018","1"
"Married, but separated","1994","vocational + Abi","East Germany","1","","","","2"
"Married, but separated","1994","higher vocational","West Germany","10","","","","2"
"Married, but separated","1994","higher vocational","East Germany","1","","","","2"
"Married, but separated","1994","higher education","West Germany","19","","","","2"
"Married, but separated","1994","higher education","East Germany","11","","","","2"
"Married, but separated","1994","in school","West Germany","","","","","2"
"Married, but separated","1994","in school","East Germany","","","","","2"
"Married, but separated","1994","inadequately","West Germany","22","","","","2"
"Married, but separated","1994","inadequately","East Germany","","","","","2"
"Married, but separated","1994","general elemantary","West Germany","63","0.0305183683979591","0.0231369234147618","0.0378998133811564","2"
"Married, but separated","1994","general elemantary","East Germany","3","","","","2"
"Married, but separated","1994","middle vocational","West Germany","100","0.0235173168132754","0.0190803439051589","0.0279542897213919","2"
"Married, but separated","1994","middle vocational","East Germany","42","0.0189070845850905","0.0130652373326267","0.0247489318375542","2"
"Married, but separated","1994","vocational + Abi","West Germany","8","","","","2"
"Single","1994","in school","West Germany","156","1","1","1","3"
"Single","1994","in school","East Germany","84","1","1","1","3"
"Single","1994","inadequately","West Germany","64","0.200163055200232","0.166570539348503","0.233755571051961","3"
"Single","1994","inadequately","East Germany","5","","","","3"
"Single","1994","vocational + Abi","East Germany","31","0.474603330591545","0.360829788358303","0.588376872824786","3"
"Single","1994","higher vocational","West Germany","83","0.160482051866317","0.128964138583177","0.191999965149458","3"
"Single","1994","higher vocational","East Germany","28","","","","3"
"Single","1994","higher education","West Germany","172","0.225663249493337","0.196587347626271","0.254739151360403","3"
"Single","1994","higher education","East Germany","70","0.113685347196725","0.0924702475365288","0.134900446856922","3"
"Single","1994","general elemantary","West Germany","466","0.197743070705539","0.180650856992794","0.214835284418285","3"
"Single","1994","general elemantary","East Germany","178","0.332380514433551","0.286559219970491","0.378201808896612","3"
"Single","1994","middle vocational","West Germany","1023","0.206451293441263","0.19460026017572","0.218302326706805","3"
"Single","1994","middle vocational","East Germany","398","0.189325190746811","0.172521279293181","0.20612910220044","3"
"Single","1994","vocational + Abi","West Germany","125","0.429891062562547","0.375479316340951","0.484302808784144","3"
"Widowed","1994","in school","West Germany","","","","","5"
"Widowed","1994","in school","East Germany","","","","","5"
"Widowed","1994","inadequately","West Germany","23","","","","5"
"Widowed","1994","inadequately","East Germany","1","","","","5"
"Widowed","1994","general elemantary","West Germany","241","0.205081199085416","0.187754523365008","0.222407874805824","5"
"Widowed","1994","general elemantary","East Germany","77","0.308867639422706","0.263925691432631","0.353809587412781","5"
"Widowed","1994","middle vocational","West Germany","251","0.0945372195361308","0.0859708395844129","0.103103599487849","5"
"Widowed","1994","middle vocational","East Germany","128","0.101488498182372","0.0885360138018048","0.114440982562939","5"
"Widowed","1994","vocational + Abi","West Germany","5","","","","5"
"Widowed","1994","vocational + Abi","East Germany","","","","","5"
"Widowed","1994","higher vocational","West Germany","34","0.120037293479446","0.0921298881523118","0.147944698806579","5"
"Widowed","1994","higher vocational","East Germany","5","","","","5"
"Widowed","1994","higher education","West Germany","20","","","","5"
"Widowed","1994","higher education","East Germany","26","","","","5"
"Divorced","1995","vocational + Abi","East Germany","3","","","","4"
"Divorced","1995","higher vocational","West Germany","26","","","","4"
"Divorced","1995","higher vocational","East Germany","9","","","","4"
"Divorced","1995","higher education","West Germany","65","0.084842561612809","0.0668856345806789","0.102799488644939","4"
"Divorced","1995","higher education","East Germany","62","0.0938503641287541","0.0740705232109843","0.113630205046524","4"
"Divorced","1995","in school","West Germany","","","","","4"
"Divorced","1995","in school","East Germany","","","","","4"
"Divorced","1995","inadequately","West Germany","14","","","","4"
"Divorced","1995","inadequately","East Germany","1","","","","4"
"Divorced","1995","general elemantary","West Germany","80","0.0524855182137133","0.0429725368191002","0.0619984996083263","4"
"Divorced","1995","general elemantary","East Germany","25","","","","4"
"Divorced","1995","middle vocational","West Germany","251","0.0698273892134703","0.0625257589020696","0.077129019524871","4"
"Divorced","1995","middle vocational","East Germany","130","0.0805817234735003","0.0687874791946689","0.0923759677523318","4"
"Divorced","1995","vocational + Abi","West Germany","11","","","","4"
"Married","1995","in school","West Germany","1","","","","1"
"Married","1995","in school","East Germany","","","","","1"
"Married","1995","inadequately","West Germany","412","0.659226851275543","0.618567263867101","0.699886438683985","1"
"Married","1995","inadequately","East Germany","4","","","","1"
"Married","1995","general elemantary","West Germany","1261","0.508739211997568","0.487413299098069","0.530065124897066","1"
"Married","1995","general elemantary","East Germany","117","0.289871692852528","0.24443360782853","0.335309777876526","1"
"Married","1995","middle vocational","West Germany","3028","0.611676186157085","0.59771305031691","0.62563932199726","1"
"Married","1995","middle vocational","East Germany","1338","0.602151055953974","0.580942694946139","0.62335941696181","1"
"Married","1995","vocational + Abi","West Germany","249","0.531439378491043","0.483078275623316","0.579800481358769","1"
"Married","1995","vocational + Abi","East Germany","37","0.422067949801762","0.305533823924482","0.538602075679041","1"
"Married","1995","higher vocational","West Germany","393","0.705929024756947","0.66717583716001","0.744682212353885","1"
"Married","1995","higher vocational","East Germany","188","0.754681685020957","0.699433626347856","0.809929743694059","1"
"Married","1995","higher education","West Germany","608","0.618423514915705","0.587118708418926","0.649728321412484","1"
"Married","1995","higher education","East Germany","675","0.755746718281216","0.726605131749445","0.784888304812987","1"
"Married, but separated","1995","in school","West Germany","","","","","2"
"Married, but separated","1995","in school","East Germany","","","","","2"
"Married, but separated","1995","inadequately","West Germany","18","","","","2"
"Married, but separated","1995","inadequately","East Germany","","","","","2"
"Married, but separated","1995","general elemantary","West Germany","51","0.0213624414070373","0.015194498340523","0.0275303844735516","2"
"Married, but separated","1995","general elemantary","East Germany","1","","","","2"
"Married, but separated","1995","middle vocational","West Germany","96","0.0200974247105633","0.0160768621963062","0.0241179872248204","2"
"Married, but separated","1995","middle vocational","East Germany","33","0.0144574490101739","0.00928520743532888","0.0196296905850188","2"
"Married, but separated","1995","vocational + Abi","West Germany","12","","","","2"
"Married, but separated","1995","vocational + Abi","East Germany","","","","","2"
"Married, but separated","1995","higher vocational","West Germany","9","","","","2"
"Married, but separated","1995","higher vocational","East Germany","2","","","","2"
"Married, but separated","1995","higher education","West Germany","22","","","","2"
"Married, but separated","1995","higher education","East Germany","5","","","","2"
"Single","1995","in school","West Germany","189","0.992779148820971","0.98074011009943","1.00481818754251","3"
"Single","1995","in school","East Germany","97","1","1","1","3"
"Single","1995","inadequately","West Germany","52","0.183879901947262","0.150647861498193","0.217111942396331","3"
"Single","1995","inadequately","East Germany","4","","","","3"
"Single","1995","vocational + Abi","East Germany","29","","","","3"
"Single","1995","higher vocational","West Germany","80","0.145604051698283","0.11560433519509","0.175603768201476","3"
"Single","1995","higher vocational","East Germany","28","","","","3"
"Single","1995","higher education","West Germany","209","0.238759044087831","0.211285276923811","0.266232811251851","3"
"Single","1995","higher education","East Germany","68","0.11310506363144","0.0916227048696105","0.13458742239327","3"
"Single","1995","middle vocational","West Germany","1051","0.20078460506149","0.189307766034973","0.212261444088007","3"
"Single","1995","middle vocational","East Germany","413","0.195555340401437","0.178369206029077","0.212741474773796","3"
"Single","1995","vocational + Abi","West Germany","130","0.379581143488904","0.332550464758915","0.426611822218893","3"
"Single","1995","general elemantary","West Germany","467","0.19384980928789","0.176986428612006","0.210713189963774","3"
"Single","1995","general elemantary","East Germany","169","0.314105231149581","0.267619995812222","0.36059046648694","3"
"Widowed","1995","in school","West Germany","","","","","5"
"Widowed","1995","in school","East Germany","","","","","5"
"Widowed","1995","inadequately","West Germany","26","","","","5"
"Widowed","1995","inadequately","East Germany","1","","","","5"
"Widowed","1995","general elemantary","West Germany","252","0.223563019093792","0.205790169589377","0.241335868598208","5"
"Widowed","1995","general elemantary","East Germany","71","0.309270682226033","0.262982297585335","0.355559066866732","5"
"Widowed","1995","middle vocational","West Germany","254","0.0976143948573913","0.0891112774230755","0.106117512291707","5"
"Widowed","1995","middle vocational","East Germany","132","0.107254431160915","0.0938463463027984","0.120662516019032","5"
"Widowed","1995","vocational + Abi","West Germany","7","","","","5"
"Widowed","1995","vocational + Abi","East Germany","","","","","5"
"Widowed","1995","higher vocational","West Germany","23","","","","5"
"Widowed","1995","higher vocational","East Germany","6","","","","5"
"Widowed","1995","higher education","West Germany","21","","","","5"
"Widowed","1995","higher education","East Germany","25","","","","5"
"Divorced","1996","vocational + Abi","East Germany","3","","","","4"
"Divorced","1996","higher vocational","West Germany","22","","","","4"
"Divorced","1996","higher vocational","East Germany","7","","","","4"
"Divorced","1996","higher education","West Germany","60","0.0838492782409802","0.0660073679131825","0.101691188568778","4"
"Divorced","1996","higher education","East Germany","54","0.0796074675855365","0.0613132626157561","0.0979016725553168","4"
"Divorced","1996","in school","West Germany","","","","","4"
"Divorced","1996","in school","East Germany","","","","","4"
"Divorced","1996","inadequately","West Germany","16","","","","4"
"Divorced","1996","inadequately","East Germany","1","","","","4"
"Divorced","1996","general elemantary","West Germany","82","0.0541096986804898","0.0442488235487211","0.0639705738122586","4"
"Divorced","1996","general elemantary","East Germany","24","","","","4"
"Divorced","1996","middle vocational","West Germany","258","0.0733502199885956","0.065812085924877","0.0808883540523142","4"
"Divorced","1996","middle vocational","East Germany","129","0.0818402191348753","0.0699097742169553","0.0937706640527953","4"
"Divorced","1996","vocational + Abi","West Germany","11","","","","4"
"Married","1996","in school","West Germany","2","","","","1"
"Married","1996","in school","East Germany","","","","","1"
"Married","1996","inadequately","West Germany","370","0.657512830399028","0.615104632099625","0.699921028698431","1"
"Married","1996","inadequately","East Germany","4","","","","1"
"Married","1996","general elemantary","West Germany","1218","0.510663849476731","0.488875279716663","0.532452419236799","1"
"Married","1996","general elemantary","East Germany","112","0.290892901137057","0.244677831234856","0.337107971039257","1"
"Married","1996","middle vocational","West Germany","2931","0.607163600921762","0.59304264628482","0.621284555558703","1"
"Married","1996","middle vocational","East Germany","1306","0.585963866813553","0.564526637392674","0.607401096234433","1"
"Married","1996","vocational + Abi","West Germany","241","0.508430541904509","0.459621101405197","0.557239982403821","1"
"Married","1996","vocational + Abi","East Germany","36","0.403075040813561","0.292062950112308","0.514087131514815","1"
"Married","1996","higher vocational","West Germany","384","0.676587036556504","0.637022917842766","0.716151155270242","1"
"Married","1996","higher vocational","East Germany","186","0.767627727900844","0.713045450522444","0.822210005279245","1"
"Married","1996","higher education","West Germany","599","0.612575665827339","0.581215269543312","0.643936062111367","1"
"Married","1996","higher education","East Germany","674","0.750022100163155","0.720757814271641","0.779286386054669","1"
"Married, but separated","1996","in school","West Germany","","","","","2"
"Married, but separated","1996","in school","East Germany","","","","","2"
"Married, but separated","1996","inadequately","West Germany","20","","","","2"
"Married, but separated","1996","inadequately","East Germany","","","","","2"
"Married, but separated","1996","general elemantary","West Germany","44","0.0208889832588069","0.0146554808031603","0.0271224857144535","2"
"Married, but separated","1996","general elemantary","East Germany","4","","","","2"
"Married, but separated","1996","middle vocational","West Germany","123","0.0281276380507585","0.0233471021771343","0.0329081739243827","2"
"Married, but separated","1996","middle vocational","East Germany","37","0.0169776469879282","0.0113550809891918","0.0226002129866646","2"
"Married, but separated","1996","vocational + Abi","West Germany","8","","","","2"
"Married, but separated","1996","vocational + Abi","East Germany","","","","","2"
"Married, but separated","1996","higher vocational","West Germany","14","","","","2"
"Married, but separated","1996","higher vocational","East Germany","3","","","","2"
"Married, but separated","1996","higher education","West Germany","26","","","","2"
"Married, but separated","1996","higher education","East Germany","6","","","","2"
"Single","1996","vocational + Abi","East Germany","36","0.540913183085127","0.428134075608746","0.653692290561507","3"
"Single","1996","in school","West Germany","194","0.9964685980305","0.988163869484091","1.00477332657691","3"
"Single","1996","in school","East Germany","98","1","1","1","3"
"Single","1996","inadequately","West Germany","49","0.177506099676272","0.143359415602718","0.211652783749826","3"
"Single","1996","inadequately","East Germany","7","","","","3"
"Single","1996","general elemantary","East Germany","165","0.321469621094306","0.273945318369318","0.368993923819294","3"
"Single","1996","middle vocational","West Germany","1034","0.19629330730831","0.18480894535331","0.20777766926331","3"
"Single","1996","higher vocational","West Germany","94","0.165531008974665","0.134096568766749","0.196965449182582","3"
"Single","1996","higher vocational","East Germany","27","","","","3"
"Single","1996","higher education","West Germany","223","0.254086505589645","0.226061658204071","0.282111352975219","3"
"Single","1996","higher education","East Germany","79","0.121145354481416","0.0990926426738382","0.143198066288994","3"
"Single","1996","general elemantary","West Germany","440","0.190887888524494","0.173758137388748","0.208017639660241","3"
"Single","1996","middle vocational","East Germany","419","0.200299927096533","0.182881133256338","0.217718720936727","3"
"Single","1996","vocational + Abi","West Germany","136","0.415812321540448","0.367692895169207","0.463931747911689","3"
"Widowed","1996","in school","West Germany","","","","","5"
"Widowed","1996","in school","East Germany","","","","","5"
"Widowed","1996","inadequately","West Germany","26","","","","5"
"Widowed","1996","inadequately","East Germany","1","","","","5"
"Widowed","1996","general elemantary","West Germany","238","0.223449580059478","0.20529308080137","0.241606079317587","5"
"Widowed","1996","general elemantary","East Germany","66","0.299004349098683","0.252418120801152","0.345590577396214","5"
"Widowed","1996","middle vocational","West Germany","249","0.0950652337305744","0.0865846678934056","0.103545799567743","5"
"Widowed","1996","middle vocational","East Germany","137","0.11491833996711","0.101037988648249","0.128798691285972","5"
"Widowed","1996","vocational + Abi","West Germany","7","","","","5"
"Widowed","1996","vocational + Abi","East Germany","","","","","5"
"Widowed","1996","higher vocational","West Germany","23","","","","5"
"Widowed","1996","higher vocational","East Germany","7","","","","5"
"Widowed","1996","higher education","West Germany","19","","","","5"
"Widowed","1996","higher education","East Germany","28","","","","5"
"Divorced","1997","in school","West Germany","","","","","4"
"Divorced","1997","in school","East Germany","","","","","4"
"Divorced","1997","inadequately","West Germany","18","","","","4"
"Divorced","1997","inadequately","East Germany","1","","","","4"
"Divorced","1997","vocational + Abi","East Germany","2","","","","4"
"Divorced","1997","higher vocational","West Germany","24","","","","4"
"Divorced","1997","higher vocational","East Germany","11","","","","4"
"Divorced","1997","higher education","West Germany","61","0.0775169590546342","0.0603398208653767","0.0946940972438918","4"
"Divorced","1997","higher education","East Germany","55","0.0839560858153284","0.0652021387310753","0.102710032899582","4"
"Divorced","1997","general elemantary","West Germany","81","0.0577483315688682","0.0474762364686066","0.0680204266691298","4"
"Divorced","1997","general elemantary","East Germany","24","","","","4"
"Divorced","1997","middle vocational","West Germany","261","0.0755687318061085","0.0678472266658045","0.0832902369464125","4"
"Divorced","1997","middle vocational","East Germany","134","0.0859377619216735","0.0735988697397505","0.0982766541035965","4"
"Divorced","1997","vocational + Abi","West Germany","11","","","","4"
"Married","1997","in school","West Germany","2","","","","1"
"Married","1997","in school","East Germany","","","","","1"
"Married","1997","inadequately","West Germany","349","0.664634884995823","0.621206800582379","0.708062969409267","1"
"Married","1997","inadequately","East Germany","4","","","","1"
"Married","1997","general elemantary","West Germany","1161","0.486845257332517","0.464834980818546","0.508855533846489","1"
"Married","1997","general elemantary","East Germany","105","0.287626997220287","0.240339611020588","0.334914383419985","1"
"Married","1997","middle vocational","West Germany","2901","0.608544690492682","0.594285958130375","0.622803422854989","1"
"Married","1997","middle vocational","East Germany","1245","0.570092528864178","0.548297550762373","0.591887506965984","1"
"Married","1997","vocational + Abi","West Germany","236","0.527761570179478","0.477894107542231","0.577629032816726","1"
"Married","1997","vocational + Abi","East Germany","34","0.39560281340397","0.283432595446546","0.507773031361394","1"
"Married","1997","higher vocational","West Germany","385","0.687641408059592","0.648110310866101","0.727172505253082","1"
"Married","1997","higher vocational","East Germany","179","0.742430301933961","0.686159989366674","0.798700614501249","1"
"Married","1997","higher education","West Germany","589","0.60092337541704","0.569466835914561","0.63237991491952","1"
"Married","1997","higher education","East Germany","657","0.727638031036061","0.697532979461672","0.75774308261045","1"
"Married, but separated","1997","in school","West Germany","","","","","2"
"Married, but separated","1997","in school","East Germany","","","","","2"
"Married, but separated","1997","inadequately","West Germany","20","","","","2"
"Married, but separated","1997","inadequately","East Germany","","","","","2"
"Married, but separated","1997","general elemantary","West Germany","41","0.0187482137336616","0.0127754404306536","0.0247209870366697","2"
"Married, but separated","1997","general elemantary","East Germany","2","","","","2"
"Married, but separated","1997","middle vocational","West Germany","124","0.0292895000894754","0.0243634998590169","0.0342155003199338","2"
"Married, but separated","1997","middle vocational","East Germany","42","0.0226721757940029","0.0161188313107425","0.0292255202772634","2"
"Married, but separated","1997","vocational + Abi","West Germany","8","","","","2"
"Married, but separated","1997","vocational + Abi","East Germany","","","","","2"
"Married, but separated","1997","higher vocational","West Germany","13","","","","2"
"Married, but separated","1997","higher vocational","East Germany","2","","","","2"
"Married, but separated","1997","higher education","West Germany","27","","","","2"
"Married, but separated","1997","higher education","East Germany","15","","","","2"
"Single","1997","vocational + Abi","East Germany","37","0.578928510373697","0.465668382355513","0.69218863839188","3"
"Single","1997","higher vocational","West Germany","84","0.160468453979451","0.129161236233104","0.191775671725798","3"
"Single","1997","higher vocational","East Germany","34","0.154142398732375","0.10767869950921","0.20060609795554","3"
"Single","1997","higher education","West Germany","233","0.263164357148326","0.234878320641075","0.291450393655576","3"
"Single","1997","higher education","East Germany","86","0.132854931877749","0.10990173574465","0.155808128010848","3"
"Single","1997","in school","West Germany","204","0.996883007441705","0.989270907876742","1.00449510700667","3"
"Single","1997","in school","East Germany","110","1","1","1","3"
"Single","1997","inadequately","West Germany","41","0.14076911429839","0.108778042281886","0.172760186314895","3"
"Single","1997","inadequately","East Germany","5","","","","3"
"Single","1997","general elemantary","West Germany","462","0.204982250574671","0.187205499374028","0.222759001775314","3"
"Single","1997","general elemantary","East Germany","159","0.331431285624847","0.282256040323619","0.380606530926075","3"
"Single","1997","middle vocational","West Germany","970","0.192319098570437","0.18080513903848","0.203833058102394","3"
"Single","1997","middle vocational","East Germany","423","0.209592773213682","0.191673934139425","0.227511612287939","3"
"Single","1997","vocational + Abi","West Germany","123","0.379320108315053","0.330852175517765","0.427788041112342","3"
"Widowed","1997","in school","West Germany","","","","","5"
"Widowed","1997","in school","East Germany","","","","","5"
"Widowed","1997","inadequately","West Germany","26","","","","5"
"Widowed","1997","inadequately","East Germany","1","","","","5"
"Widowed","1997","general elemantary","West Germany","236","0.231675946790282","0.213097109073879","0.250254784506685","5"
"Widowed","1997","general elemantary","East Germany","62","0.2775993295045","0.230817733312792","0.324380925696208","5"
"Widowed","1997","middle vocational","West Germany","245","0.0942779790412971","0.0857411579438366","0.102814800138758","5"
"Widowed","1997","middle vocational","East Germany","138","0.111704760206464","0.0978368578972921","0.125572662515635","5"
"Widowed","1997","vocational + Abi","West Germany","7","","","","5"
"Widowed","1997","vocational + Abi","East Germany","","","","","5"
"Widowed","1997","higher vocational","West Germany","22","","","","5"
"Widowed","1997","higher vocational","East Germany","6","","","","5"
"Widowed","1997","higher education","West Germany","21","","","","5"
"Widowed","1997","higher education","East Germany","27","","","","5"
"Divorced","1998","vocational + Abi","East Germany","2","","","","4"
"Divorced","1998","higher vocational","West Germany","27","","","","4"
"Divorced","1998","higher vocational","East Germany","10","","","","4"
"Divorced","1998","higher education","West Germany","84","0.0875624338410914","0.0708965848276271","0.104228282854556","4"
"Divorced","1998","higher education","East Germany","66","0.0963872834048942","0.0767880064146619","0.115986560395126","4"
