"year","pgcasmin","sampreg","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2011","(3b) higher tertiary education","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2012","(0) in school","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2012","(0) in school","Westdeutschland, alte Bundeslaender","4.65","5","170","4.43","4.87","3","4","6","6"
"2012","(1a) inadequately completed","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2012","(1a) inadequately completed","Westdeutschland, alte Bundeslaender","4.38","4.48","142","4.08","4.68","2","3","6","7"
"2012","(1b) general elementary school","Ostdeutschland, neue Bundeslaender","4.22","4","44","3.78","4.66","2","3","5","6"
"2012","(1b) general elementary school","Westdeutschland, alte Bundeslaender","4.51","5","531","4.37","4.65","2","3","6","7"
"2012","(1c) basic vocational qualification","Ostdeutschland, neue Bundeslaender","4.34","4","135","4.04","4.64","2","3","6","7"
"2012","(1c) basic vocational qualification","Westdeutschland, alte Bundeslaender","4.66","5","994","4.57","4.75","3","4","6","7"
"2012","(2a) intermediate vocational","Ostdeutschland, neue Bundeslaender","4.6","5","601","4.48","4.72","2","4","6","6"
"2012","(2a) intermediate vocational","Westdeutschland, alte Bundeslaender","4.63","5","1464","4.55","4.71","2","4","6","7"
"2012","(2b) intermediate general qualification","Ostdeutschland, neue Bundeslaender","4.13","4","55","3.67","4.59","1","3","5","7"
"2012","(2b) intermediate general qualification","Westdeutschland, alte Bundeslaender","4.36","4.08","176","4.13","4.59","2","3","6","6"
"2012","(2c_gen) general maturity certificate","Ostdeutschland, neue Bundeslaender","4.53","4","36","3.97","5.09","3","4","6","6"
"2012","(2c_gen) general maturity certificate","Westdeutschland, alte Bundeslaender","4.49","5","211","4.29","4.69","2","3","6","6"
"2012","(2c_voc) vocational maturity certificate","Ostdeutschland, neue Bundeslaender","4.44","5","126","4.16","4.72","2","4","6","6"
"2012","(2c_voc) vocational maturity certificate","Westdeutschland, alte Bundeslaender","4.66","5","747","4.55","4.77","2","4","6","6"
"2012","(3a) lower tertiary education","Ostdeutschland, neue Bundeslaender","4.66","5","86","4.35","4.97","3","4","6","6"
"2012","(3a) lower tertiary education","Westdeutschland, alte Bundeslaender","4.63","5","367","4.49","4.77","3","4","6","6"
"2012","(3b) higher tertiary education","Ostdeutschland, neue Bundeslaender","4.5","4","186","4.3","4.7","2","4","6","6"
"2012","(3b) higher tertiary education","Westdeutschland, alte Bundeslaender","4.52","5","856","4.43","4.61","3","3","6","6"
"2013","(0) in school","Ostdeutschland, neue Bundeslaender","4.57","5","33","4.1","5.04","3","4","5","6"
"2013","(0) in school","Westdeutschland, alte Bundeslaender","4.26","4","229","4.07","4.45","2","3","5","6"
"2013","(1a) inadequately completed","Ostdeutschland, neue Bundeslaender","4.59","5","34","4.07","5.11","2","3","6","6"
"2013","(1a) inadequately completed","Westdeutschland, alte Bundeslaender","4.19","4","187","3.93","4.45","2","3","6","7"
"2013","(1b) general elementary school","Ostdeutschland, neue Bundeslaender","4.36","4","175","4.13","4.59","2","3","5","7"
"2013","(1b) general elementary school","Westdeutschland, alte Bundeslaender","4.43","4","1225","4.34","4.52","2","3","6","6"
"2013","(1c) basic vocational qualification","Ostdeutschland, neue Bundeslaender","4.55","5","903","4.45","4.65","3","4","6","6"
"2013","(1c) basic vocational qualification","Westdeutschland, alte Bundeslaender","4.6","5","3893","4.55","4.65","2","4","6","6"
"2013","(2a) intermediate vocational","Ostdeutschland, neue Bundeslaender","4.59","5","1600","4.52","4.66","3","4","6","6"
"2013","(2a) intermediate vocational","Westdeutschland, alte Bundeslaender","4.63","5","2973","4.58","4.68","2","4","6","6"
"2013","(2b) intermediate general qualification","Ostdeutschland, neue Bundeslaender","4.08","4","82","3.74","4.42","2","3","5","6"
"2013","(2b) intermediate general qualification","Westdeutschland, alte Bundeslaender","4.54","5","386","4.38","4.7","2","4","6","6"
"2013","(2c_gen) general maturity certificate","Ostdeutschland, neue Bundeslaender","4.47","5","110","4.19","4.75","3","4","5","6"
"2013","(2c_gen) general maturity certificate","Westdeutschland, alte Bundeslaender","4.76","5","659","4.65","4.87","3","4","6","6"
"2013","(2c_voc) vocational maturity certificate","Ostdeutschland, neue Bundeslaender","4.79","5","232","4.61","4.97","3","4","6","6"
"2013","(2c_voc) vocational maturity certificate","Westdeutschland, alte Bundeslaender","4.65","5","1225","4.57","4.73","3","4","6","6"
"2013","(3a) lower tertiary education","Ostdeutschland, neue Bundeslaender","4.54","5","574","4.42","4.66","2","4","6","6"
