"year","migback","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2011","direct migration background","Male","2844.61","2553.74","961","790","1756","3270","5000","10000","2716.71","2972.51","0","27000","2310","2500"
"2011","indirect migration background","Female","1694.43","1448.55","410","348","670","2400","3200","5400","1529.71","1859.15","0","20000","1091","1400"
"2011","indirect migration background","Male","2477.29","2300","426","418","1000","3500","4700","8333","2275.67","2678.91","0","19000","2400","2700"
"2011","no migration background","Female","1876.68","1700","7263","400","843","2588","3500","6330","1843.79","1909.57","0","20000","1500","1514"
"2011","no migration background","Male","3093.88","2700","7142","800","1800","3800","5404","10000","3029.85","3157.91","0","70000","2800","3000"
"2012","direct migration background","Female","1470.63","1250","848","350","490","2000","2976","5000","1348.34","1592.92","0","42000","1068","1250"
"2012","direct migration background","Male","2818.07","2500","944","790","1800","3400","4800","10000","2653.5","2982.64","0","48688","2400","2500"
"2012","indirect migration background","Female","1708.93","1490.6","412","360","590","2400","3400","5000","1541.64","1876.22","0","20000","1170","1440"
"2012","indirect migration background","Male","2551.44","2200","443","450","1500","3400","4900","9100","2351.31","2751.57","0","20000","2300","2600"
"2012","no migration background","Female","1934.74","1700","7211","396","850","2700","3612","6635","1900.02","1969.46","0","32000","1500","1600"
"2012","no migration background","Male","3110.13","2760","6909","730","1800","3900","5500","10000","3044.05","3176.21","0","65000","2800","2970"
"2013","direct migration background","Female","1473.08","1200","1970","320","450","2020","2900","5500","1419.82","1526.34","0","14900","1060","1200"
"2013","direct migration background","Male","2683.47","2400","2081","798","1658","3200","4750","9900","2606.35","2760.59","0","24900","2200","2300"
"2013","indirect migration background","Female","1772.98","1482.55","660","340","615","2465","3440","5500","1641.6","1904.36","0","20679","1100","1350"
"2013","indirect migration background","Male","2663.46","2400","747","450","1084","3500","5000","10000","2484.83","2842.09","0","35000","2200","2500"
"2013","no migration background","Female","1966.43","1700","7038","400","874","2700","3700","7410","1930.92","2001.94","0","27000","1536","1600"
"2013","no migration background","Male","3202.62","2800","6626","745","1896","4000","5614","11255","3133.17","3272.07","0","65000","2900","3000"
"2014","direct migration background","Female","1486.9","1200","1567","320","450","2000","3000","6341","1423.18","1550.62","0","15000","1100","1200"
"2014","direct migration background","Male","2782.7","2500","1674","600","1600","3300","5000","10000","2687.11","2878.29","0","30000","2300","2400"
"2014","indirect migration background","Female","1629.31","1300","603","280","450","2400","3200","5862","1486.67","1771.95","7","25000","1100","1330"
"2014","indirect migration background","Male","2776.47","2500","601","550","1200","3700","5310","10000","2572.25","2980.69","0","35000","2341","2600"
"2014","no migration background","Female","2013.29","1763.57","6382","400","900","2750","3800","7700","1974.66","2051.92","0","27000","1600","1700"
"2014","no migration background","Male","3235.9","2900","6030","750","1900","4000","5646","10600","3163.05","3308.75","0","50000","3000","3000"
"2015","direct migration background","Female","1693.34","1372.02","1782","370","670","2200","3600","7000","1622.16","1764.52","0","30000","1200","1300"
"2015","direct migration background","Male","2843.05","2500","1988","800","1700","3500","5000","10000","2753.5","2932.6","0","30000","2300","2400"
"2015","indirect migration background","Female","1763.04","1500","551","300","540","2500","3330","6000","1620.62","1905.46","0","25000","1150","1500"
"2015","indirect migration background","Male","2857.53","2500","569","600","1300","3800","5400","10500","2634.08","3080.98","0","40000","2350","2800"
"2015","no migration background","Female","2100.33","1850","6069","430","1000","2850","3900","7487","2059.12","2141.54","0","40000","1683","1761"
"2015","no migration background","Male","3319.39","2900","5674","650","1848","4200","6000","11000","3241.4","3397.38","0","56500","3000","3100"
"2016","direct migration background","Female","1701.1","1400","1636","380","500","2240","3400","8000","1624.22","1777.98","0","18000","1200","1340"
"2016","direct migration background","Male","2940.26","2500","2013","513","1650","3500","5000","12400","2851.31","3029.21","0","30000","2070","2200"
"2016","indirect migration background","Female","1982.07","1700","568","397","800","2700","4000","7080","1839.84","2124.3","0","25000","1150","1450"
"2016","indirect migration background","Male","2954.85","2600","533","450","1200","3800","5500","11900","2685.63","3224.07","0","43000","2400","2700"
"2016","no migration background","Female","2154.48","1906.89","5753","450","1013","2904","4000","7700","2110.47","2198.49","0","32000","1700","1800"
"2016","no migration background","Male","3312.99","2964.47","5298","694","1900","4154","5999","12000","3232.4","3393.58","0","57000","3000","3050"
"2017","direct migration background","Female","1747.79","1460","1636","400","600","2400","3500","7000","1672.04","1823.54","0","30000","1170","1300"
"2017","direct migration background","Male","2972.54","2600","2266","680","1750","3500","5200","11000","2893.32","3051.76","0","25000","2000","2100"
"2017","indirect migration background","Female","1906.97","1600","620","290","800","2594","3750","6600","1772.95","2040.99","0","25000","1300","1600"
"2017","indirect migration background","Male","2821.34","2500","586","400","1050","3703","5500","11000","2584.14","3058.54","0","40000","2300","2650"
"2017","no migration background","Female","2197.12","1983.35","6679","450","1000","3000","4050","7500","2156.33","2237.91","0","35000","1800","1895"
"2017","no migration background","Male","3376.05","3000","6273","700","1901","4300","6000","11000","3305.16","3446.94","0","61000","3000","3200"
"2018","direct migration background","Female","1896.84","1600","1625","425","820","2500","3600","7000","1819.87","1973.81","0","30000","1230","1400"
"2018","direct migration background","Male","2999.05","2600","2417","700","1750","3600","5457","12500","2924.31","3073.79","0","20000","1900","2000"
"2018","indirect migration background","Female","1978.34","1700","630","350","775","2709","3910","6800","1856.13","2100.55","0","16500","1400","1600"
"2018","indirect migration background","Male","2905.13","2600","594","400","1023","3800","5500","13500","2663.92","3146.34","0","39151","2300","2700"
"2018","no migration background","Female","2265.08","2040","6391","450","1100","3096","4200","7500","2223.95","2306.21","0","32000","1876","2000"
"2018","no migration background","Male","3501.07","3150","5978","737","2000","4500","6201","11500","3422.07","3580.07","0","70000","3100","3200"
"2019","direct migration background","Female","1983.62","1720","1486","450","850","2660","3800","7159","1890.68","2076.56","0","30000","1345","1500"
"2019","direct migration background","Male","3158.82","2700","2356","800","1900","3800","5750","15000","3042.09","3275.55","0","90000","2000","2100"
"2019","indirect migration background","Female","2239.61","2000","639","450","1046","3000","3920","7500","2074.36","2404.86","0","30000","1600","1968"
"2019","indirect migration background","Male","3277.62","2800","621","600","1500","4200","5500","15000","2637.09","3918.15","0","150000","2800","3250"
"2019","no migration background","Female","2348.82","2150","6595","450","1200","3200","4400","7500","2285.59","2412.05","0","120000","2080","2200"
"2019","no migration background","Male","3846.23","3200","6731","807","2100","4599","6500","13000","3039.8","4652.66","0","2700000","3500","3600"
