"year","age_gr","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","35-65 y.","inadequately","1301.53","1329","260","511","971","1636","1943","3068","1238.52","1364.54","184","4295","1279","1432"
"1990","35-65 y.","middle vocational","1456.17","1455.34","2727","409","626","1943","2556","4602","1422.29","1490.05","51","10226","844","1074"
"1990","35-65 y.","vocational + Abi","1660.24","1687.74","98","435","716","2449","3068","3579","1487.31","1833.17","102","3579","1278","1718"
"1990","66 and older","general elemantary","","","","","","","","","","","","","",""
"1990","66 and older","higher education","","","","","","","","","","","","","",""
"1990","66 and older","higher vocational","","","","","","","","","","","","","",""
"1990","66 and older","in school","","","","","","","","","","","","","",""
"1990","66 and older","inadequately","","","","","","","","","","","","","",""
"1990","66 and older","middle vocational","","","","","","","","","","","","","",""
"1990","66 and older","vocational + Abi","","","","","","","","","","","","","",""
"1991","16-34 y.","general elemantary","884.34","614","737","240","358","1380","1790","2761","831.64","937.04","51","6647","597","787"
"1991","16-34 y.","higher education","1677.35","1293.11","390","613","767","2352","3068","5261","1568.66","1786.04","102","11504","892","1063"
"1991","16-34 y.","higher vocational","1665.44","1636","178","767","1227","2096","2556","3579","1554.88","1776","95","4628","1368","1585"
"1991","16-34 y.","in school","","","","","","","","","","","","","",""
"1991","16-34 y.","inadequately","1221.81","1227","87","437","955","1636","1841","2659","1084.01","1359.61","179","4090","1074","1348"
"1991","16-34 y.","middle vocational","1264.26","1227","2041","460","716","1713","2096","3156","1234.51","1294.01","0","10635","1023","1125"
"1991","16-34 y.","vocational + Abi","1377.49","1443.16","163","429","920","1738","2224","2812","1278.57","1476.41","125","3068","1278","1534"
"1991","35-65 y.","general elemantary","1168.58","1145.63","732","290","586","1631","1994","3068","1119.18","1217.98","0","5416","1227","1380"
"1991","35-65 y.","higher education","2304.26","1940.05","924","767","1023","3068","4090","10226","2201.86","2406.66","100","17043","1211","1432"
"1991","35-65 y.","higher vocational","1839.6","1663.41","375","624","874","2556","3323","5113","1730.98","1948.22","0","5113","1253","1636"
"1991","35-65 y.","in school","","","","","","","","","","","","","",""
"1991","35-65 y.","inadequately","1349.15","1329","265","614","1023","1687","2045","2608","1279.2","1419.1","179","4602","1278","1483"
"1991","35-65 y.","middle vocational","1550.3","1534","2552","511","792","2025","2608","4653","1513.6","1587","0","15339","1125","1278"
"1991","35-65 y.","vocational + Abi","1781.04","1636","104","767","1023","2556","3068","3835","1619.45","1942.63","102","4602","1457","1764"
"1991","66 and older","general elemantary","","","","","","","","","","","","","",""
"1991","66 and older","higher education","","","","","","","","","","","","","",""
"1991","66 and older","higher vocational","","","","","","","","","","","","","",""
"1991","66 and older","in school","","","","","","","","","","","","","",""
"1991","66 and older","inadequately","","","","","","","","","","","","","",""
"1991","66 and older","middle vocational","","","","","","","","","","","","","",""
"1991","66 and older","vocational + Abi","","","","","","","","","","","","","",""
"1992","16-34 y.","general elemantary","938.56","690","720","266","389","1432","1841","2608","883.31","993.81","0","7669","665","920"
"1992","16-34 y.","higher education","1831.93","1616.2","352","716","1023","2454","3221","5401","1717","1946.86","62","9203","1246","1479"
"1992","16-34 y.","higher vocational","1685.64","1611.68","184","851","1278","1943","2608","4960","1582.3","1788.98","205","4960","1534","1687"
"1992","16-34 y.","in school","","","","","","","","","","","","","",""
"1992","16-34 y.","inadequately","1309.33","1278","70","442","971","1611","1947","3068","1143.84","1474.82","28","4090","1176","1534"
"1992","16-34 y.","middle vocational","1403.44","1380","1848","537","869","1841","2282","3323","1372.56","1434.32","0","5113","1253","1329"
"1992","16-34 y.","vocational + Abi","1555.22","1585","146","689","1176","1815","2454","4090","1445.82","1664.62","102","4090","1534","1667"
"1992","35-65 y.","general elemantary","1297.39","1317.14","667","309","665","1789","2147","3170","1243.46","1351.32","0","4090","1362","1534"
"1992","35-65 y.","higher education","2591.46","2454","900","1023","1403","3323","4355","7669","2492.09","2690.83","0","17384","1585","1790"
