"year","e11103","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2004","Full Time","direct migration background","2450.76","2100","839","1200","1650","2828","4000","8000","2335.64","2565.88","0","17000","2300","2400"
"2004","Full Time","indirect migration background","2122.39","2000","303","600","950","2800","3879","7502","1942.36","2302.42","67","10800","1950","2200"
"2004","Full Time","no migration background","2934.32","2592.73","7086","1200","1900","3500","4837","10000","2875.71","2992.93","0","60000","2600","2700"
"2004","Not Working","direct migration background","1472.93","1071.52","42","160","460","2020","3420","6500","1004.21","1941.65","0","6500","581","1650"
"2004","Not Working","indirect migration background","","","","","","","","","","","","","",""
"2004","Not Working","no migration background","1438.32","1058.81","217","150","495","1900","2999","6870","1254.19","1622.45","0","8099","794","1100"
"2004","Part Time","direct migration background","1248.38","980.41","456","300","400","1750","2500","6000","1155.58","1341.18","0","6600","1000","1200"
"2004","Part Time","indirect migration background","1061.65","807.11","165","282","438","1400","2050","4303","940.19","1183.11","19","4303","650","1020"
"2004","Part Time","no migration background","1345.12","1080","3285","286","400","1800","2600","6000","1297.13","1393.11","0","20000","1080","1150"
"2005","Full Time","direct migration background","2533.24","2200","775","1200","1700","2800","4000","9047","2406.41","2660.07","0","20000","2300","2463"
"2005","Full Time","indirect migration background","2238.29","2100","311","525","1300","2925","3895","7000","2048.6","2427.98","66","12000","2100","2300"
"2005","Full Time","no migration background","2913.92","2600","6716","1200","1887","3500","4830","10000","2858.89","2968.95","0","40000","2649","2740"
"2005","Not Working","direct migration background","1124.17","702.66","35","20","320","1400","2600","5700","675.49","1572.85","0","5700","500","1155"
"2005","Not Working","indirect migration background","","","","","","","","","","","","","",""
"2005","Not Working","no migration background","1181.92","800","194","158","353","1500","2727","4900","968.49","1395.35","0","9684","678","1100"
"2005","Part Time","direct migration background","1001.82","800","426","252","388","1500","2100","3591","922","1081.64","0","5000","800","1000"
"2005","Part Time","indirect migration background","1113.64","807.39","148","250","400","1500","2300","4286","980.12","1247.16","50","4286","665","1031"
"2005","Part Time","no migration background","1311.05","1058","3124","256","400","1800","2700","5000","1266.68","1355.42","0","20000","1030","1100"
"2006","Full Time","direct migration background","2563.56","2206.81","767","1150","1600","2900","4200","9267","2441.35","2685.77","0","18000","2300","2500"
"2006","Full Time","indirect migration background","2210.24","2100","317","550","1400","3000","3601","6940","2046.67","2373.81","112","11240","2006","2300"
"2006","Full Time","no migration background","2964.66","2561.77","7109","1150","1850","3500","4936","10300","2897.63","3031.69","0","115926","2600","2700"
"2006","Not Working","direct migration background","979.1","577.48","48","90","200","1570","2200","3300","724.65","1233.55","0","3300","400","1250"
"2006","Not Working","indirect migration background","","","","","","","","","","","","","",""
"2006","Not Working","no migration background","1562.73","1171.74","222","150","400","2054","2900","11960","1371.6","1753.86","0","11960","850","1346"
"2006","Part Time","direct migration background","1144.27","861.41","443","250","400","1500","2400","4731","1048.34","1240.2","0","10000","807","1078"
"2006","Part Time","indirect migration background","1018.29","800","163","306","400","1330","2150","3200","897.18","1139.4","0","4500","700","1000"
"2006","Part Time","no migration background","1279.06","1064.94","3307","250","400","1795","2640","4414","1237.96","1320.16","0","20000","1050","1130"
"2007","Full Time","direct migration background","2668.47","2300","680","1200","1800","3000","4500","10000","2493.29","2843.65","100","30000","2300","2500"
"2007","Full Time","indirect migration background","2413.16","2300","317","650","1400","2953","3980","7500","2207.36","2618.96","0","16000","2200","2400"
"2007","Full Time","no migration background","3016","2600","6708","1200","1885","3500","5000","11000","2956.88","3075.12","0","50000","2650","2750"
"2007","Not Working","direct migration background","","","","","","","","","","","","","",""
"2007","Not Working","indirect migration background","","","","","","","","","","","","","",""
"2007","Not Working","no migration background","1244.95","879.47","283","130","350","2100","2501","5000","1100.01","1389.89","0","6502","800","1300"
"2007","Part Time","direct migration background","1085.75","900","407","270","400","1508","2300","4500","996.27","1175.23","80","6000","800","1050"
"2007","Part Time","indirect migration background","1095.44","1000","171","300","400","1500","2190","3800","965.76","1225.12","70","5000","750","1100"
"2007","Part Time","no migration background","1273.46","1058.33","3198","276","400","1770","2506","5000","1226.43","1320.49","0","29812","1100","1170"
"2008","Full Time","direct migration background","2727.46","2400","615","1468","1850","3076","4400","8798","2566.96","2887.96","0","20024","2338","2500"
"2008","Full Time","indirect migration background","2484.73","2400","322","822","1700","3099","4150","6702","2300.87","2668.59","100","13500","2102","2500"
"2008","Full Time","no migration background","3025.85","2600","6409","1230","1870","3530","5000","12000","2967.91","3083.79","0","35288","2600","2719"
"2008","Not Working","direct migration background","","","","","","","","","","","","","",""
"2008","Not Working","indirect migration background","","","","","","","","","","","","","",""
"2008","Not Working","no migration background","1337.49","1000","217","48","213","1800","3100","6000","1019.87","1655.11","0","19874","575","1100"
"2008","Part Time","direct migration background","1129.72","800","401","230","390","1500","2366","5400","1024.62","1234.82","0","9564","800","1100"
"2008","Part Time","indirect migration background","926.68","661.45","173","165","350","1250","2100","4500","809.15","1044.21","0","4500","600","850"
"2008","Part Time","no migration background","1256.26","1010","3014","250","400","1800","2520","4801","1211.63","1300.89","0","20000","1050","1100"
"2009","Full Time","direct migration background","2743.06","2380","511","1200","1800","3000","4900","9000","2576.15","2909.97","0","16000","2300","2500"
"2009","Full Time","indirect migration background","2493.07","2400","297","600","1520","3300","4200","6500","2296.89","2689.25","135","11663","2132","2500"
"2009","Full Time","no migration background","3083.91","2700","6010","1250","1947","3600","5000","10790","3022.71","3145.11","0","46856","2700","2800"
"2009","Not Working","direct migration background","","","","","","","","","","","","","",""
"2009","Not Working","indirect migration background","","","","","","","","","","","","","",""
"2009","Not Working","no migration background","1330.33","776.03","155","180","300","1800","3100","11000","1094.86","1565.8","0","11000","680","1150"
"2009","Part Time","direct migration background","1167.54","900","367","256","400","1700","2800","3599","1072.4","1262.68","50","5000","900","1150"
"2009","Part Time","indirect migration background","1293.19","850.77","159","300","400","1800","2500","4501","1085.64","1500.74","0","10968","650","1173"
"2009","Part Time","no migration background","1325.57","1047.93","2898","250","400","1847","2790","5250","1279.09","1372.05","0","20000","1038","1150"
"2010","Full Time","direct migration background","3047.01","2500","879","1400","1865","3100","5000","15000","2889.06","3204.96","0","38446","2350","2500"
"2010","Full Time","indirect migration background","2515.46","2400","423","610","1400","3288","4371","7500","2314.81","2716.11","0","23961","2300","2600"
"2010","Full Time","no migration background","3083.58","2700","7519","1200","1900","3609","5050","12000","3026.56","3140.6","0","40000","2761","2847"
"2010","Not Working","direct migration background","1489.94","1333.07","54","400","500","2800","3100","3500","1256.63","1723.25","0","3500","500","1200"
"2010","Not Working","indirect migration background","","","","","","","","","","","","","",""
"2010","Not Working","no migration background","1397.62","1234.64","311","120","400","2001","3100","4900","1254.4","1540.84","0","10300","689","1160"
"2010","Part Time","direct migration background","1000.24","750","566","200","380","1411","2200","4300","914.9","1085.58","0","7543","699","888"
"2010","Part Time","indirect migration background","999.52","800","230","250","400","1360","2280","3550","872.66","1126.38","0","5501","658","1000"
"2010","Part Time","no migration background","1264.72","1000","4107","220","400","1800","2702","4800","1228.22","1301.22","0","20000","1000","1100"
"2011","Full Time","direct migration background","2907.93","2500","1015","1400","1900","3200","5000","10000","2786.9","3028.96","0","27000","2400","2500"
"2011","Full Time","indirect migration background","2710.87","2450","467","780","1600","3500","4800","8333","2508.74","2913","0","20000","2450","2800"
"2011","Full Time","no migration background","3087.66","2700","8883","1230","1950","3700","5200","10000","3035.13","3140.19","0","70000","2800","2856"
"2011","Not Working","direct migration background","1414.36","1015.05","76","180","400","2500","2800","3400","1187.18","1641.54","0","5000","400","1000"
"2011","Not Working","indirect migration background","596.4","400","32","0","163","1000","1300","2000","412.28","780.52","0","2000","330","900"
