"year","hgtyp1hh","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2006","Couple + C. LE 16","(2a) intermediate vocational","22.17","10","789","1","3","22","35","300","17.91","26.43","1","999","10","12"
"2006","Couple + C. LE 16","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"2006","Couple + C. LE 16","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"2006","Couple + C. LE 16","(2c_voc) vocational maturity certificate","18.58","14","308","2","6","23","35","105","14.99","22.17","1","380","11","15"
"2006","Couple + C. LE 16","(3a) lower tertiary education","23.62","15","240","1","7","30","48","130","16.27","30.97","1","450","14","18"
"2006","Couple + C. LE 16","(3b) higher tertiary education","31.13","14","458","2","4","32","60","320","23.77","38.49","1","999","12","17"
"2006","Couple + C. LE and GT 16","(0) in school","","","","","","","","","","","","","",""
"2006","Couple + C. LE and GT 16","(1a) inadequately completed","","","","","","","","","","","","","",""
"2006","Couple + C. LE and GT 16","(1b) general elementary school","13.35","10","75","1","3","16","25","65","10.15","16.55","1","65","5","13"
"2006","Couple + C. LE and GT 16","(1c) basic vocational qualification","15.93","10","183","1","4","25","39","90","13.35","18.51","1","100","8","12"
"2006","Couple + C. LE and GT 16","(2a) intermediate vocational","16.96","10.33","198","1","3","25","35","64","11.66","22.26","1","500","8","12"
"2006","Couple + C. LE and GT 16","(2b) intermediate general qualification","14.3","10","48","2","5","25","25","84","9.76","18.84","1","84","5","15"
"2006","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"2006","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","15.64","10.04","65","2","4","20","25","35","-10.25","41.53","1","850","5","13"
"2006","Couple + C. LE and GT 16","(3a) lower tertiary education","21.22","12.94","81","2","6","26","42","380","11.72","30.72","1","380","7","14"
"2006","Couple + C. LE and GT 16","(3b) higher tertiary education","27.24","13.43","120","2","5","27","70","140","18.2","36.28","1","500","9","15"
"2006","Single parent","(0) in school","","","","","","","","","","","","","",""
"2006","Single parent","(1a) inadequately completed","","","","","","","","","","","","","",""
"2006","Single parent","(1b) general elementary school","8.68","5","51","1","2","12","18","40","4.04","13.32","1","105","4","10"
"2006","Single parent","(1c) basic vocational qualification","10.22","7","127","1","2","15","20","50","8","12.44","1","100","5","10"
"2006","Single parent","(2a) intermediate vocational","19.1","10","189","2","3","20","30","260","7.4","30.8","1","999","7","12"
"2006","Single parent","(2b) intermediate general qualification","14.3","10","39","1","5","20","22","150","6.5","22.1","1","150","6","20"
"2006","Single parent","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"2006","Single parent","(2c_voc) vocational maturity certificate","6.78","5","41","1","2","10","15","26","4.68","8.88","1","26","4","11"
"2006","Single parent","(3a) lower tertiary education","11.84","8","39","2","2","15","25","90","5.87","17.81","1","90","3","15"
"2006","Single parent","(3b) higher tertiary education","18.1","11","61","3","5","22","36","165","11.85","24.35","1","165","7","12"
"2007","(Married) couple without C.","(0) in school","","","","","","","","","","","","","",""
"2007","(Married) couple without C.","(1a) inadequately completed","","","","","","","","","","","","","",""
"2007","(Married) couple without C.","(1b) general elementary school","13.57","5","111","1","2","12","25","215","7.1","20.04","1","250","4","10"
"2007","(Married) couple without C.","(1c) basic vocational qualification","16.51","8","641","1","3","19","35","155","12.99","20.03","1","680","8","11"
"2007","(Married) couple without C.","(2a) intermediate vocational","23.21","12","803","1","4","25","45","240","19.24","27.18","1","650","10","13"
"2007","(Married) couple without C.","(2b) intermediate general qualification","12.99","10","43","3","4","15","30","35","10.11","15.87","1","40","4","11"
"2007","(Married) couple without C.","(2c_gen) general maturity certificate","22.29","10","67","2","3","17","120","130","15.55","29.03","1","130","6","12"
"2007","(Married) couple without C.","(2c_voc) vocational maturity certificate","21.43","12","257","2","5","26","43","145","15.07","27.79","1","600","8","13"
"2007","(Married) couple without C.","(3a) lower tertiary education","28.58","15","321","3","6","30","55","240","21.33","35.83","1","800","10","15"
"2007","(Married) couple without C.","(3b) higher tertiary education","28.66","12","525","2","4","28","50","300","22.24","35.08","1","999","10","15"
"2007","1-pers.-HH","(0) in school","","","","","","","","","","","","","",""
"2007","1-pers.-HH","(1a) inadequately completed","","","","","","","","","","","","","",""
"2007","1-pers.-HH","(1b) general elementary school","18.3","5.05","43","1","3","10","20","510","-5.42","42.02","1","510","3","8"
"2007","1-pers.-HH","(1c) basic vocational qualification","16.76","10","251","2","3","18","30","280","12.3","21.22","1","400","8","11"
"2007","1-pers.-HH","(2a) intermediate vocational","19.48","10","355","1","3","22","50","101","14.58","24.38","1","500","8","12"
"2007","1-pers.-HH","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"2007","1-pers.-HH","(2c_gen) general maturity certificate","18.42","7","70","2","4","17","30","200","11.24","25.6","1","200","5","10"
