"erwst","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Non-working","1984","Couple + C. LE and GT 16","(1c) basic vocational qualification","121","0.232972576061496","0.196569250642172","0.26937590148082"
"Non-working","1984","Couple + C. LE and GT 16","(2b) intermediate general qualification","63","0.443446465059802","0.357717554007512","0.529175376112092"
"Non-working","1984","Couple + C. LE and GT 16","(2a) intermediate vocational","33","0.271344946657243","0.194011371163561","0.348678522150925"
"Non-working","1984","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","39","0.797232581950159","0.693759901515178","0.900705262385139"
"Non-working","1984","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","7","","",""
"Non-working","1984","Couple + C. LE and GT 16","(3a) lower tertiary education","1","","",""
"Non-working","1984","Couple + C. LE and GT 16","(3b) higher tertiary education","5","","",""
"Other","1984","1-pers.-HH","(0) in school","","","",""
"Other","1984","1-pers.-HH","(1a) inadequately completed","1","","",""
"Other","1984","1-pers.-HH","(1b) general elementary school","7","","",""
"Other","1984","1-pers.-HH","(1c) basic vocational qualification","9","","",""
"Other","1984","1-pers.-HH","(2b) intermediate general qualification","3","","",""
"Other","1984","1-pers.-HH","(2a) intermediate vocational","8","","",""
"Other","1984","1-pers.-HH","(2c_gen) general maturity certificate","10","","",""
"Other","1984","1-pers.-HH","(2c_voc) vocational maturity certificate","3","","",""
"Other","1984","1-pers.-HH","(3a) lower tertiary education","","","",""
"Other","1984","1-pers.-HH","(3b) higher tertiary education","2","","",""
"Other","1984","(Married) couple without C. ","(0) in school","","","",""
"Other","1984","(Married) couple without C. ","(1a) inadequately completed","1","","",""
"Other","1984","(Married) couple without C. ","(1b) general elementary school","16","","",""
"Other","1984","(Married) couple without C. ","(1c) basic vocational qualification","15","","",""
"Other","1984","(Married) couple without C. ","(2b) intermediate general qualification","4","","",""
"Other","1984","(Married) couple without C. ","(2a) intermediate vocational","4","","",""
"Other","1984","(Married) couple without C. ","(2c_gen) general maturity certificate","10","","",""
"Other","1984","(Married) couple without C. ","(2c_voc) vocational maturity certificate","2","","",""
"Other","1984","(Married) couple without C. ","(3a) lower tertiary education","5","","",""
"Other","1984","(Married) couple without C. ","(3b) higher tertiary education","2","","",""
"Other","1984","Single parent ","(0) in school","","","",""
"Other","1984","Single parent ","(1a) inadequately completed","2","","",""
"Other","1984","Single parent ","(1b) general elementary school","22","","",""
"Other","1984","Single parent ","(1c) basic vocational qualification","11","","",""
"Other","1984","Single parent ","(2b) intermediate general qualification","7","","",""
"Other","1984","Single parent ","(2a) intermediate vocational","3","","",""
"Other","1984","Single parent ","(2c_gen) general maturity certificate","4","","",""
"Other","1984","Single parent ","(2c_voc) vocational maturity certificate","","","",""
"Other","1984","Single parent ","(3a) lower tertiary education","","","",""
"Other","1984","Single parent ","(3b) higher tertiary education","2","","",""
"Other","1984","Couple + C. LE 16 ","(0) in school","","","",""
"Other","1984","Couple + C. LE 16 ","(1a) inadequately completed","6","","",""
"Other","1984","Couple + C. LE 16 ","(1b) general elementary school","37","0.0853040477260808","0.0634221933927142","0.107185902059447"
"Other","1984","Couple + C. LE 16 ","(1c) basic vocational qualification","41","0.0371320368380883","0.026302063229849","0.0479620104463276"
"Other","1984","Couple + C. LE 16 ","(2b) intermediate general qualification","3","","",""
"Other","1984","Couple + C. LE 16 ","(2a) intermediate vocational","20","","",""
"Other","1984","Couple + C. LE 16 ","(2c_gen) general maturity certificate","4","","",""
"Other","1984","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","4","","",""
"Other","1984","Couple + C. LE 16 ","(3a) lower tertiary education","","","",""
"Other","1984","Couple + C. LE 16 ","(3b) higher tertiary education","7","","",""
"Other","1984","Couple + C. GT 16 ","(0) in school","1","","",""
"Other","1984","Couple + C. GT 16 ","(1a) inadequately completed","7","","",""
"Other","1984","Couple + C. GT 16 ","(1b) general elementary school","65","0.141087798786347","0.108888676350752","0.173286921221941"
"Other","1984","Couple + C. GT 16 ","(1c) basic vocational qualification","31","0.0389981664469456","0.0243394855079489","0.0536568473859422"
"Other","1984","Couple + C. GT 16 ","(2b) intermediate general qualification","61","0.414768186355917","0.334298274219677","0.495238098492157"
"Other","1984","Couple + C. GT 16 ","(2a) intermediate vocational","19","","",""
"Other","1984","Couple + C. GT 16 ","(2c_gen) general maturity certificate","26","","",""
"Other","1984","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","3","","",""
"Other","1984","Couple + C. GT 16 ","(3a) lower tertiary education","1","","",""
"Other","1984","Couple + C. GT 16 ","(3b) higher tertiary education","1","","",""
"Other","1984","Couple + C. LE and GT 16","(0) in school","","","",""
"Other","1984","Couple + C. LE and GT 16","(1a) inadequately completed","7","","",""
"Other","1984","Couple + C. LE and GT 16","(1b) general elementary school","97","0.250943312792947","0.211871579575346","0.290015046010548"
"Other","1984","Couple + C. LE and GT 16","(1c) basic vocational qualification","33","0.048017013300001","0.0296052502896","0.0664287763104021"
"Other","1984","Couple + C. LE and GT 16","(2b) intermediate general qualification","52","0.429852772928134","0.344423519621754","0.515282026234515"
"Other","1984","Couple + C. LE and GT 16","(2a) intermediate vocational","16","","",""
"Other","1984","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","8","","",""
"Other","1984","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","","","",""
"Other","1984","Couple + C. LE and GT 16","(3a) lower tertiary education","","","",""
"Other","1984","Couple + C. LE and GT 16","(3b) higher tertiary education","5","","",""
"Full-time","1985","1-pers.-HH","(0) in school","","","",""
"Full-time","1985","1-pers.-HH","(1a) inadequately completed","45","0.510866307733861","0.388397490362814","0.633335125104907"
"Full-time","1985","1-pers.-HH","(1b) general elementary school","73","0.134304867510752","0.0959747930067443","0.17263494201476"
"Full-time","1985","1-pers.-HH","(1c) basic vocational qualification","156","0.345495711529937","0.295889242284341","0.395102180775533"
"Full-time","1985","1-pers.-HH","(2b) intermediate general qualification","8","","",""
"Full-time","1985","1-pers.-HH","(2a) intermediate vocational","101","0.467884591773432","0.395983660430528","0.539785523116335"
"Full-time","1985","1-pers.-HH","(2c_gen) general maturity certificate","5","","",""
"Full-time","1985","1-pers.-HH","(2c_voc) vocational maturity certificate","46","0.587741954902945","0.474042139616406","0.701441770189485"
"Full-time","1985","1-pers.-HH","(3a) lower tertiary education","18","","",""
"Full-time","1985","1-pers.-HH","(3b) higher tertiary education","54","0.638357684785741","0.53172939205319","0.744985977518291"
"Full-time","1985","(Married) couple without C. ","(0) in school","","","",""
"Full-time","1985","(Married) couple without C. ","(1a) inadequately completed","64","0.451489268728527","0.358066846684733","0.544911690772321"
"Full-time","1985","(Married) couple without C. ","(1b) general elementary school","158","0.1897440785965","0.15741308216057","0.22207507503243"
"Full-time","1985","(Married) couple without C. ","(1c) basic vocational qualification","454","0.389172344114297","0.359147988211915","0.419196700016678"
"Full-time","1985","(Married) couple without C. ","(2b) intermediate general qualification","13","","",""
"Full-time","1985","(Married) couple without C. ","(2a) intermediate vocational","204","0.547594386230934","0.495073501929051","0.600115270532817"
"Full-time","1985","(Married) couple without C. ","(2c_gen) general maturity certificate","6","","",""
"Full-time","1985","(Married) couple without C. ","(2c_voc) vocational maturity certificate","46","0.371145279156751","0.281673471271224","0.460617087042279"
"Full-time","1985","(Married) couple without C. ","(3a) lower tertiary education","50","0.563090385950352","0.455073802016792","0.671106969883913"
"Full-time","1985","(Married) couple without C. ","(3b) higher tertiary education","71","0.586066349438281","0.495652611364629","0.676480087511933"
"Full-time","1985","Single parent ","(0) in school","","","",""
"Full-time","1985","Single parent ","(1a) inadequately completed","20","","",""
"Full-time","1985","Single parent ","(1b) general elementary school","56","0.298952800362054","0.226882358566969","0.371023242157139"
"Full-time","1985","Single parent ","(1c) basic vocational qualification","93","0.541297638015851","0.465266818239226","0.617328457792476"
"Full-time","1985","Single parent ","(2b) intermediate general qualification","7","","",""
"Full-time","1985","Single parent ","(2a) intermediate vocational","35","0.655603005571391","0.52886660885382","0.782339402288961"
"Full-time","1985","Single parent ","(2c_gen) general maturity certificate","7","","",""
"Full-time","1985","Single parent ","(2c_voc) vocational maturity certificate","10","","",""
"Full-time","1985","Single parent ","(3a) lower tertiary education","1","","",""
"Full-time","1985","Single parent ","(3b) higher tertiary education","8","","",""
"Full-time","1985","Couple + C. LE 16 ","(0) in school","","","",""
"Full-time","1985","Couple + C. LE 16 ","(1a) inadequately completed","162","0.501825697739304","0.443674852707428","0.559976542771181"
"Full-time","1985","Couple + C. LE 16 ","(1b) general elementary school","241","0.365755132418103","0.324437394667071","0.407072870169134"
"Full-time","1985","Couple + C. LE 16 ","(1c) basic vocational qualification","591","0.561831670765796","0.531397685903614","0.592265655627979"
"Full-time","1985","Couple + C. LE 16 ","(2b) intermediate general qualification","7","","",""
"Full-time","1985","Couple + C. LE 16 ","(2a) intermediate vocational","184","0.508677949449122","0.457531011015735","0.55982488788251"
"Full-time","1985","Couple + C. LE 16 ","(2c_gen) general maturity certificate","18","","",""
"Full-time","1985","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","70","0.527263593199606","0.433964984843395","0.620562201555818"
"Full-time","1985","Couple + C. LE 16 ","(3a) lower tertiary education","55","0.75658086890027","0.658803744014327","0.854357993786214"
"Full-time","1985","Couple + C. LE 16 ","(3b) higher tertiary education","126","0.715678520040692","0.648460012374871","0.782897027706512"
"Full-time","1985","Couple + C. GT 16 ","(0) in school","","","",""
"Full-time","1985","Couple + C. GT 16 ","(1a) inadequately completed","73","0.38389866108329","0.303625029723841","0.464172292442739"
"Full-time","1985","Couple + C. GT 16 ","(1b) general elementary school","160","0.28514789382055","0.243708933155559","0.326586854485541"
"Full-time","1985","Couple + C. GT 16 ","(1c) basic vocational qualification","423","0.626023690161958","0.588968856241012","0.663078524082904"
"Full-time","1985","Couple + C. GT 16 ","(2b) intermediate general qualification","36","0.218168627603438","0.155151469269272","0.281185785937605"
"Full-time","1985","Couple + C. GT 16 ","(2a) intermediate vocational","132","0.570000592202253","0.505879349291576","0.63412183511293"
"Full-time","1985","Couple + C. GT 16 ","(2c_gen) general maturity certificate","15","","",""
"Full-time","1985","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","35","0.647142866669935","0.515994605180308","0.778291128159562"
"Full-time","1985","Couple + C. GT 16 ","(3a) lower tertiary education","30","0.790132200910217","0.658921270921862","0.921343130898571"
"Full-time","1985","Couple + C. GT 16 ","(3b) higher tertiary education","54","0.754062850206386","0.654591575528746","0.853534124884026"
"Full-time","1985","Couple + C. LE and GT 16","(0) in school","","","",""
"Full-time","1985","Couple + C. LE and GT 16","(1a) inadequately completed","96","0.37319589527189","0.308090870923047","0.438300919620733"
"Full-time","1985","Couple + C. LE and GT 16","(1b) general elementary school","169","0.353958405532749","0.30685992967483","0.401056881390668"
"Full-time","1985","Couple + C. LE and GT 16","(1c) basic vocational qualification","289","0.671619704911088","0.627689210593608","0.715550199228567"
"Full-time","1985","Couple + C. LE and GT 16","(2b) intermediate general qualification","22","","",""
