"erwst","year","e11103","sex","n","percent","lower_confidence","upper_confidence"
"Part-time","1998","Not Working","Female","23","","",""
"Non-working","1998","Full Time","Male","148","0.0378918990539998","0.0319540576641968","0.0438297404438027"
"Non-working","1998","Full Time","Female","83","0.0446085424088628","0.0356390972763191","0.0535779875414064"
"Non-working","1998","Part Time","Male","274","0.251825382992259","0.225069225121129","0.278581540863389"
"Non-working","1998","Part Time","Female","362","0.184896588122126","0.167301230756315","0.202491945487936"
"Non-working","1998","Not Working","Male","1869","0.968298934182896","0.960488524354177","0.976109344011614"
"Non-working","1998","Not Working","Female","3433","0.982185553779709","0.977807056649245","0.986564050910174"
"Other","1998","Full Time","Male","172","0.0376836067311355","0.0317614670767462","0.0436057463855247"
"Other","1998","Full Time","Female","138","0.0545146790034055","0.0446507483774215","0.0643786096293895"
"Other","1998","Part Time","Male","165","0.165533490796418","0.14262376423817","0.188443217354666"
"Other","1998","Part Time","Female","273","0.125789253626256","0.110759317730534","0.140819189521979"
"Other","1998","Not Working","Male","23","","",""
"Other","1998","Not Working","Female","30","0.00794841752474845","0.00500907905724907","0.0108877559922478"
"Full-time","1999","Full Time","Male","3564","0.915443735959915","0.906704074483269","0.924183397436561"
"Full-time","1999","Full Time","Female","1643","0.847381768275051","0.831452914927183","0.863310621622919"
"Full-time","1999","Part Time","Male","452","0.453009137537383","0.422156548961116","0.48386172611365"
"Full-time","1999","Part Time","Female","349","0.160798598557618","0.144490009056955","0.177107188058281"
"Full-time","1999","Not Working","Male","25","","",""
"Full-time","1999","Not Working","Female","28","","",""
"Part-time","1999","Full Time","Male","27","","",""
"Part-time","1999","Full Time","Female","120","0.062273872072446","0.0515702025713362","0.0729775415735558"
"Part-time","1999","Part Time","Male","83","0.0989492361964237","0.0804425379553852","0.117455934437462"
"Part-time","1999","Part Time","Female","862","0.449776084592923","0.427690439817421","0.471861729368426"
"Part-time","1999","Not Working","Male","5","","",""
"Part-time","1999","Not Working","Female","24","","",""
"Non-working","1999","Full Time","Male","134","0.0363213173414939","0.0304443563099851","0.0421982783730027"
"Non-working","1999","Full Time","Female","72","0.0351044068904161","0.0269524339648439","0.0432563798159883"
"Non-working","1999","Part Time","Male","278","0.266297817307659","0.238901524455577","0.293694110159741"
"Non-working","1999","Part Time","Female","372","0.18603182642177","0.168755973083302","0.203307679760239"
"Non-working","1999","Not Working","Male","1704","0.977032715625861","0.970018317419808","0.984047113831914"
"Non-working","1999","Not Working","Female","3119","0.976608599787228","0.971384897072944","0.981832302501513"
"Other","1999","Full Time","Male","168","0.0362348419303363","0.030364617769649","0.0421050660910236"
"Other","1999","Full Time","Female","123","0.0552399527620867","0.0451211494053463","0.065358756118827"
"Other","1999","Part Time","Male","187","0.181743808958534","0.157842452228126","0.205645165688942"
"Other","1999","Part Time","Female","366","0.203393490427688","0.185523158404094","0.221263822451282"
"Other","1999","Not Working","Male","18","","",""
"Other","1999","Not Working","Female","45","0.00987424927418396","0.00645691633941631","0.0132915822089516"
"Full-time","2000","Full Time","Male","6234","0.919649221367257","0.913180606122404","0.926117836612111"
"Full-time","2000","Full Time","Female","2690","0.822822368504324","0.80982474911616","0.835819987892488"
"Full-time","2000","Part Time","Male","596","0.375410582377732","0.351518986627551","0.399302178127913"
"Full-time","2000","Part Time","Female","477","0.137287512390814","0.125915201241925","0.148659823539703"
"Full-time","2000","Not Working","Male","50","0.0155668582263578","0.0113387526436202","0.0197949638090955"
"Full-time","2000","Not Working","Female","38","0.00564120920891415","0.00370972055819325","0.00757269785963505"
"Part-time","2000","Full Time","Male","56","0.0117719565973336","0.00920535722069831","0.0143385559739688"
"Part-time","2000","Full Time","Female","269","0.0820642908108286","0.0727212215677788","0.0914073600538783"
"Part-time","2000","Part Time","Male","145","0.108736947203503","0.0933771277362143","0.124096766670792"
"Part-time","2000","Part Time","Female","1702","0.487420036572539","0.470902979276746","0.503937093868331"
"Part-time","2000","Not Working","Male","7","","",""
"Part-time","2000","Not Working","Female","61","0.00984688413026547","0.00730043449027815","0.0123933337702528"
"Non-working","2000","Full Time","Male","202","0.0278474826631368","0.023932179952473","0.0317627853738005"
"Non-working","2000","Full Time","Female","153","0.046352068226384","0.0391950039291746","0.0535091325235935"
"Non-working","2000","Part Time","Male","556","0.335557856058649","0.312260486838371","0.358855225278927"
"Non-working","2000","Part Time","Female","707","0.18854594695864","0.175620643716593","0.201471250200686"
"Non-working","2000","Not Working","Male","3193","0.971233274671733","0.965524285549948","0.976942263793519"
"Non-working","2000","Not Working","Female","5610","0.972791287335034","0.968595646225574","0.976986928444493"
"Other","2000","Full Time","Male","292","0.0407313393722725","0.0360276390437628","0.0454350397007822"
"Other","2000","Full Time","Female","203","0.0487612724584632","0.0414298439923967","0.0560927009245298"
"Other","2000","Part Time","Male","281","0.180294614360116","0.161326906029131","0.199262322691101"
"Other","2000","Part Time","Female","632","0.186746504078008","0.17386877206486","0.199624236091155"
"Other","2000","Not Working","Male","43","0.0108698407614901","0.00732831391252402","0.0144113676104563"
"Other","2000","Not Working","Female","67","0.0117206193257868","0.00894506554884935","0.0144961731027242"
"Full-time","2001","Full Time","Male","5604","0.91937587061214","0.912536914152536","0.926214827071745"
"Full-time","2001","Full Time","Female","2434","0.811570890403474","0.797570441911495","0.825571338895453"
"Full-time","2001","Part Time","Male","511","0.344304458044582","0.319789149479252","0.368819766609913"
"Full-time","2001","Part Time","Female","465","0.135684626598212","0.124166928489147","0.147202324707277"
"Full-time","2001","Not Working","Male","35","0.0104065199281888","0.00680564398027567","0.014007395876102"
"Full-time","2001","Not Working","Female","33","0.00613704304363368","0.00399110402532694","0.00828298206194041"
"Part-time","2001","Full Time","Male","45","0.0106981192785649","0.0081139027233838","0.013282335833746"
"Part-time","2001","Full Time","Female","234","0.0853147612792284","0.0753135490160871","0.0953159735423696"
"Part-time","2001","Part Time","Male","145","0.112004967825077","0.0957330464775279","0.128276889172627"
"Part-time","2001","Part Time","Female","1587","0.465611779713547","0.448835151974759","0.482388407452335"
"Part-time","2001","Not Working","Male","5","","",""
"Part-time","2001","Not Working","Female","51","0.0090886368660999","0.00648103477972196","0.0116962389524778"
"Non-working","2001","Full Time","Male","193","0.0345822371923964","0.0299924245873118","0.0391720497974809"
"Non-working","2001","Full Time","Female","115","0.0368943733154457","0.030145648053559","0.0436430985773323"
"Non-working","2001","Part Time","Male","484","0.331527194121191","0.307237817065641","0.35581657117674"
"Non-working","2001","Part Time","Female","729","0.213518587996117","0.199736141156639","0.227301034835594"
"Non-working","2001","Not Working","Male","2975","0.977391546314009","0.972116859162034","0.982666233465983"
"Non-working","2001","Not Working","Female","4935","0.974056919475914","0.969688971275327","0.978424867676501"
"Other","2001","Full Time","Male","246","0.0353437729168986","0.0307055297942391","0.0399820160395581"
"Other","2001","Full Time","Female","214","0.0662199750018522","0.0573172795815751","0.0751226704221293"
"Other","2001","Part Time","Male","303","0.212163380009149","0.191068929343624","0.233257830674674"
"Other","2001","Part Time","Female","615","0.185185005692125","0.172120389189494","0.198249622194755"
"Other","2001","Not Working","Male","36","0.0102682302720125","0.00669111000035207","0.0138453505436729"
"Other","2001","Not Working","Female","69","0.0107174006143526","0.00788809763257821","0.013546703596127"
"Full-time","2002","Full Time","Male","5930","0.91403804420573","0.907196767086781","0.920879321324679"
"Full-time","2002","Full Time","Female","2573","0.81336220288205","0.799747426105309","0.826976979658792"
"Full-time","2002","Part Time","Male","509","0.31776342480702","0.294531532754994","0.340995316859045"
"Full-time","2002","Part Time","Female","497","0.12516689509753","0.114518884362481","0.135814905832579"
"Full-time","2002","Not Working","Male","37","0.0125805068461662","0.00871038068413147","0.0164506330082008"
"Full-time","2002","Not Working","Female","25","","",""
"Part-time","2002","Full Time","Male","51","0.010682354430335","0.00817333934868701","0.0131913695119831"
"Part-time","2002","Full Time","Female","241","0.0718239131574071","0.0628015884923588","0.0808462378224554"
"Part-time","2002","Part Time","Male","143","0.0986955492535076","0.083813947782211","0.113577150724804"
"Part-time","2002","Part Time","Female","1814","0.477383047181812","0.461310438205881","0.493455656157742"
"Part-time","2002","Not Working","Male","6","","",""
"Part-time","2002","Not Working","Female","39","0.00597718833001347","0.00386645893417908","0.00808791772584786"
"Non-working","2002","Full Time","Male","204","0.0329575580236339","0.0286004113199873","0.0373147047272804"
"Non-working","2002","Full Time","Female","127","0.0374971425909241","0.0308586598153395","0.0441356253665086"
"Non-working","2002","Part Time","Male","582","0.391744348726284","0.367388146328329","0.416100551124239"
"Non-working","2002","Part Time","Female","726","0.213642843049595","0.200453740881834","0.226831945217356"
"Non-working","2002","Not Working","Male","3107","0.974996119447088","0.969574483443741","0.980417755450434"
"Non-working","2002","Not Working","Female","4991","0.978076447249335","0.974066600448477","0.982086294050194"
"Other","2002","Full Time","Male","264","0.0423220433403016","0.0374084980675838","0.0472355886130195"
"Other","2002","Full Time","Female","205","0.0773167413696186","0.0679835144902936","0.0866499682489437"
"Other","2002","Part Time","Male","309","0.191796677213189","0.172151950872577","0.211441403553801"
"Other","2002","Part Time","Female","673","0.183807214671063","0.171343749942276","0.19627067939985"
"Other","2002","Not Working","Male","36","0.0109032221952409","0.00729725285246801","0.0145091915380139"
"Other","2002","Not Working","Female","68","0.011688861093707","0.0087456673137643","0.0146320548736497"
"Full-time","2003","Full Time","Male","5464","0.915166294042546","0.908106589484524","0.922225998600567"
"Full-time","2003","Full Time","Female","2403","0.806287867639048","0.792024102539414","0.820551632738683"
"Full-time","2003","Part Time","Male","505","0.329508597393916","0.306055775255191","0.352961419532641"
"Full-time","2003","Part Time","Female","459","0.130179965018908","0.119190842499938","0.141169087537879"
"Full-time","2003","Not Working","Male","23","","",""
"Full-time","2003","Not Working","Female","17","","",""
"Part-time","2003","Full Time","Male","64","0.0135745195652769","0.0106426363074352","0.0165064028231186"
"Part-time","2003","Full Time","Female","244","0.0815832229178162","0.0717038122629656","0.0914626335726668"
"Part-time","2003","Part Time","Male","150","0.108484320749524","0.0929671296792162","0.124001511819832"
"Part-time","2003","Part Time","Female","1789","0.478839612981376","0.462525743955593","0.495153482007158"
"Part-time","2003","Not Working","Male","4","","",""
"Part-time","2003","Not Working","Female","31","0.00517660357583122","0.00319047174545534","0.00716273540620709"
"Non-working","2003","Full Time","Male","205","0.0316888415217832","0.027250579397365","0.0361271036462014"
"Non-working","2003","Full Time","Female","98","0.0382437511222339","0.031321880863442","0.0451656213810258"
"Non-working","2003","Part Time","Male","588","0.383664796463886","0.359401511936232","0.40792808099154"
"Non-working","2003","Part Time","Female","711","0.200352686445463","0.187281257601832","0.213424115289094"
"Non-working","2003","Not Working","Male","3133","0.979719257313039","0.974838417134201","0.984600097491877"
"Non-working","2003","Not Working","Female","4901","0.979685964468708","0.97578156568072","0.983590363256696"
"Other","2003","Full Time","Male","251","0.0395703448703944","0.0346309926442089","0.0445096970965799"
"Other","2003","Full Time","Female","204","0.0738851583209013","0.0644440771630487","0.0833262394787539"
"Other","2003","Part Time","Male","300","0.178342285392674","0.15924209218193","0.197442478603418"
"Other","2003","Part Time","Female","643","0.190627735554253","0.177800193704286","0.20345527740422"
"Other","2003","Not Working","Male","44","0.0140143515180863","0.00994407759630138","0.0180846254398713"
"Other","2003","Not Working","Female","66","0.0114206124076517","0.00847982862882588","0.0143613961864775"
"Full-time","2004","Full Time","Male","5207","0.915297985750524","0.908043504435578","0.922552467065471"
"Full-time","2004","Full Time","Female","2292","0.806365827553881","0.79178169522753","0.820949959880233"
"Full-time","2004","Part Time","Male","535","0.350765778944979","0.326640190738325","0.374891367151633"
"Full-time","2004","Part Time","Female","455","0.126819645800831","0.115840526411061","0.137798765190601"
"Full-time","2004","Not Working","Male","25","","",""
"Full-time","2004","Not Working","Female","21","","",""
"Part-time","2004","Full Time","Male","45","0.00969157551398054","0.00713910535847184","0.0122440456694892"
"Part-time","2004","Full Time","Female","261","0.0935696522467761","0.0828208947880828","0.104318409705469"
"Part-time","2004","Part Time","Male","163","0.117483965372084","0.101205284793712","0.133762645950456"
"Part-time","2004","Part Time","Female","1689","0.451115400998887","0.434697916629287","0.467532885368487"
"Part-time","2004","Not Working","Male","6","","",""
"Part-time","2004","Not Working","Female","27","","",""
"Non-working","2004","Full Time","Male","179","0.0329843512102297","0.028331180688148","0.0376375217323114"
"Non-working","2004","Full Time","Female","88","0.0348419644654887","0.0280737506670716","0.0416101782639059"
"Non-working","2004","Part Time","Male","498","0.348253005977665","0.324167512101386","0.372338499853944"
"Non-working","2004","Part Time","Female","660","0.202925574962077","0.189656516984263","0.216194632939891"
"Non-working","2004","Not Working","Male","3193","0.97864952892248","0.973692849284162","0.983606208560797"
"Non-working","2004","Not Working","Female","4848","0.981461436177438","0.977705649433534","0.985217222921341"
"Other","2004","Full Time","Male","228","0.0420260875252653","0.0367983404749085","0.0472538345756221"
"Other","2004","Full Time","Female","179","0.0652225557338539","0.0561092370918028","0.074335874375905"
"Other","2004","Part Time","Male","307","0.183497249705272","0.163928539293401","0.203065960117144"
"Other","2004","Part Time","Female","725","0.219139378238205","0.205491371271875","0.232787385204536"
"Other","2004","Not Working","Male","43","0.0117510709450526","0.0080558073445653","0.0154463345455399"
"Other","2004","Not Working","Female","59","0.0107225066656772","0.00785480817058392","0.0135902051607704"
"Full-time","2005","Full Time","Male","4912","0.907602280677519","0.89985263009389","0.915351931261148"
"Full-time","2005","Full Time","Female","2179","0.792836006587272","0.777518026181092","0.808153986993451"
"Full-time","2005","Part Time","Male","449","0.3194772371678","0.294973867372052","0.343980606963549"
"Full-time","2005","Part Time","Female","411","0.12008845574251","0.10922414594806","0.130952765536959"
"Full-time","2005","Not Working","Male","30","0.00686666290617331","0.00400186959654711","0.00973145621579952"
"Full-time","2005","Not Working","Female","20","","",""
"Part-time","2005","Full Time","Male","64","0.0160204195164686","0.01266046273089","0.0193803763020472"
"Part-time","2005","Full Time","Female","240","0.0960565791060422","0.0849191007779812","0.107194057434103"
"Part-time","2005","Part Time","Male","142","0.101751674111976","0.0858642490186366","0.117639099205316"
"Part-time","2005","Part Time","Female","1616","0.446128098872536","0.429514395255305","0.462741802489766"
"Part-time","2005","Not Working","Male","9","","",""
"Part-time","2005","Not Working","Female","25","","",""
"Non-working","2005","Full Time","Male","179","0.0360139892890534","0.0310277319594286","0.0410002466186782"
"Non-working","2005","Full Time","Female","98","0.0402720734035461","0.032841390118492","0.0477027566886003"
"Non-working","2005","Part Time","Male","505","0.369221085626231","0.343860086612667","0.394582084639795"
"Non-working","2005","Part Time","Female","670","0.212486130457986","0.198814308233286","0.226157952682686"
"Non-working","2005","Not Working","Male","3113","0.974462370419195","0.968989823698879","0.97993491713951"
"Non-working","2005","Not Working","Female","4642","0.984511990550126","0.980995538449396","0.988028442650857"
"Other","2005","Full Time","Male","209","0.0403633105169591","0.0350964657556144","0.0456301552783038"
"Other","2005","Full Time","Female","172","0.0708353409031401","0.0611386394269659","0.0805320423793142"
"Other","2005","Part Time","Male","295","0.209550003093993","0.18816223025104","0.230937775936945"
"Other","2005","Part Time","Female","742","0.221297314926969","0.207423180072098","0.235171449781841"
"Other","2005","Not Working","Male","40","0.0156238989584129","0.0113216861279882","0.0199261117888376"
"Other","2005","Not Working","Female","50","0.00845003120108827","0.00584338038467994","0.0110566820174966"
"Full-time","2006","Full Time","Male","5151","0.914504881729315","0.907192488264169","0.921817275194461"
"Full-time","2006","Full Time","Female","2273","0.783814673011487","0.768653902700861","0.798975443322113"
"Full-time","2006","Part Time","Male","425","0.297645830537084","0.273881462101975","0.321410198972193"
"Full-time","2006","Part Time","Female","419","0.124397060951543","0.113632582022761","0.135161539880326"
"Full-time","2006","Not Working","Male","40","0.0147150514862455","0.0108017955051106","0.0186283074673804"
"Full-time","2006","Not Working","Female","22","","",""
"Part-time","2006","Full Time","Male","66","0.0100104171649316","0.00740703887068011","0.0126137954591831"
"Part-time","2006","Full Time","Female","284","0.100544478331809","0.0894687976779983","0.111620158985619"
"Part-time","2006","Part Time","Male","166","0.128922608533299","0.111504892498937","0.146340324567662"
"Part-time","2006","Part Time","Female","1745","0.449757337873774","0.433531743848139","0.465982931899409"
"Part-time","2006","Not Working","Male","14","","",""
"Part-time","2006","Not Working","Female","37","0.00691108348379922","0.00467245988744656","0.00914970708015188"
"Non-working","2006","Full Time","Male","185","0.0340737118799423","0.0293293523206122","0.0388180714392724"
"Non-working","2006","Full Time","Female","91","0.0366538388282247","0.029733101200566","0.0435745764558835"
"Non-working","2006","Part Time","Male","506","0.352392684418901","0.327563205359249","0.377222163478553"
"Non-working","2006","Part Time","Female","669","0.201439259375273","0.188357673923346","0.214520844827201"
"Non-working","2006","Not Working","Male","3484","0.956253496886388","0.949606359879145","0.962900633893631"
"Non-working","2006","Not Working","Female","5102","0.974434059093915","0.970169039230408","0.978699078957422"
"Other","2006","Full Time","Male","215","0.0414109892258109","0.0362006031497472","0.0466213753018745"
"Other","2006","Full Time","Female","184","0.0789870098284795","0.06905328373257","0.0889207359243891"
"Other","2006","Part Time","Male","325","0.221038876510716","0.199471837854005","0.242605915167427"
"Other","2006","Part Time","Female","778","0.224406341799409","0.210799133453766","0.238013550145052"
"Other","2006","Not Working","Male","99","0.0255004743475841","0.0203772734533415","0.0306236752418267"
"Other","2006","Not Working","Female","100","0.0160098633805149","0.0126182751020665","0.0194014516589633"
"Full-time","2007","Full Time","Male","4890","0.927057904379136","0.920021083493539","0.934094725264733"
"Full-time","2007","Full Time","Female","2142","0.808884037992997","0.793877357390402","0.823890718595592"
"Full-time","2007","Part Time","Male","413","0.30832205405241","0.283189746682886","0.333454361421935"
"Full-time","2007","Part Time","Female","379","0.11103117281264","0.10052026611159","0.121542079513691"
"Full-time","2007","Not Working","Male","35","0.0120662902605712","0.00842514746780433","0.0157074330533381"
"Full-time","2007","Not Working","Female","27","","",""
"Part-time","2007","Full Time","Male","64","0.0142304568027723","0.0110254344225692","0.0174354791829755"
"Part-time","2007","Full Time","Female","260","0.0968196364242462","0.0855330660649725","0.10810620678352"
"Part-time","2007","Part Time","Male","166","0.139562157619092","0.120703025988546","0.158421289249638"
"Part-time","2007","Part Time","Female","1749","0.480471403010562","0.463756150085097","0.497186655936027"
"Part-time","2007","Not Working","Male","5","","",""
"Part-time","2007","Not Working","Female","50","0.0127506272129272","0.00960854236691415","0.0158927120589402"
"Non-working","2007","Full Time","Male","111","0.0224531672275886","0.0184441166079829","0.0264622178471942"
"Non-working","2007","Full Time","Female","82","0.0283580820199469","0.0220225283457708","0.034693635694123"
"Non-working","2007","Part Time","Male","395","0.318490252950689","0.293135334874947","0.343845171026432"
"Non-working","2007","Part Time","Female","602","0.185555933310844","0.172549970548398","0.198561896073291"
"Non-working","2007","Not Working","Male","3322","0.960929588238983","0.954467740781544","0.967391435696422"
"Non-working","2007","Not Working","Female","4711","0.962146102391171","0.956801510916225","0.967490693866117"
"Other","2007","Full Time","Male","181","0.0362584715905034","0.0312000038900067","0.0413169392910001"
"Other","2007","Full Time","Female","153","0.0659382435628099","0.0564660730185992","0.0754104141070206"
"Other","2007","Part Time","Male","323","0.233625535377808","0.210597400172917","0.256653670582699"
"Other","2007","Part Time","Female","702","0.222941490865954","0.209016440899185","0.236866540832722"
"Other","2007","Not Working","Male","92","0.0249608175643024","0.0197581346056817","0.0301635005229231"
"Other","2007","Not Working","Female","110","0.021456864767315","0.0173988668486904","0.0255148626859397"
"Full-time","2008","Full Time","Male","4611","0.930671227687442","0.923607853790086","0.937734601584798"
"Full-time","2008","Full Time","Female","2087","0.807961129627573","0.792630384217216","0.82329187503793"
"Full-time","2008","Part Time","Male","373","0.296641632735084","0.27091515086064","0.322368114609527"
"Full-time","2008","Part Time","Female","395","0.118143068462926","0.106983989661525","0.129302147264326"
"Full-time","2008","Not Working","Male","30","0.0156316199451846","0.0113377671346447","0.0199254727557245"
"Full-time","2008","Not Working","Female","32","0.00742156290921231","0.00492797445750107","0.00991515136092355"
"Part-time","2008","Full Time","Male","53","0.00923520302471476","0.00657529999159935","0.0118951060578302"
"Part-time","2008","Full Time","Female","243","0.0957522142204764","0.0842999434885157","0.107204484952437"
"Part-time","2008","Part Time","Male","158","0.136158876836341","0.116842932865125","0.155474820807557"
"Part-time","2008","Part Time","Female","1639","0.488713273458682","0.471431652269644","0.50599489464772"
"Part-time","2008","Not Working","Male","7","","",""
"Part-time","2008","Not Working","Female","31","0.00610636244593861","0.00384299055656696","0.00836973433531026"
"Non-working","2008","Full Time","Male","113","0.0210249332481658","0.0170355071377384","0.0250143593585933"
"Non-working","2008","Full Time","Female","61","0.0276066905173637","0.0212299077753366","0.0339834732593908"
"Non-working","2008","Part Time","Male","381","0.310275519820336","0.284220728708544","0.336330310932128"
"Non-working","2008","Part Time","Female","489","0.156995926382416","0.144418720118365","0.169573132646467"
"Non-working","2008","Not Working","Male","3078","0.954503424369418","0.947289951006212","0.961716897732623"
"Non-working","2008","Not Working","Female","4382","0.964576626814229","0.95920620995516","0.969947043673298"
"Other","2008","Full Time","Male","191","0.0390686360396774","0.0336807598607263","0.0444565122186286"
"Other","2008","Full Time","Female","145","0.0686799656345865","0.0588367279132288","0.0785232033559443"
"Other","2008","Part Time","Male","299","0.256923970608239","0.232314914416868","0.281533026799611"
"Other","2008","Part Time","Female","691","0.236147731695977","0.221464497348017","0.250830966043936"
"Other","2008","Not Working","Male","91","0.0278991074459847","0.0221985522162664","0.0335996626757031"
"Other","2008","Not Working","Female","106","0.02189544783062","0.017643732006345","0.0261471636548949"
"Full-time","2009","Full Time","Male","4216","0.914591978934646","0.906506518207533","0.92267743966176"
"Full-time","2009","Full Time","Female","1984","0.825490822817586","0.810381428915422","0.840600216719749"
"Full-time","2009","Part Time","Male","376","0.320154822550347","0.293490566888095","0.346819078212599"
"Full-time","2009","Part Time","Female","373","0.125965936523308","0.114201743130487","0.13773012991613"
"Full-time","2009","Not Working","Male","24","","",""
"Full-time","2009","Not Working","Female","15","","",""
"Part-time","2009","Full Time","Male","45","0.00991290238926412","0.00704688471929247","0.0127789200592358"
"Part-time","2009","Full Time","Female","235","0.09260135220571","0.0810617852501726","0.104140919161247"
"Part-time","2009","Part Time","Male","169","0.137338548828514","0.117665989984201","0.157011107672826"
"Part-time","2009","Part Time","Female","1509","0.44756176866494","0.429932277812419","0.465191259517461"
"Part-time","2009","Not Working","Male","6","","",""
"Part-time","2009","Not Working","Female","30","0.00791611664464581","0.00520615488068305","0.0106260784086086"
"Non-working","2009","Full Time","Male","146","0.0325818324767214","0.0274456952233911","0.0377179697300516"
"Non-working","2009","Full Time","Female","71","0.0276038153316435","0.0210817076773575","0.0341259229859295"
"Non-working","2009","Part Time","Male","356","0.288446698387468","0.262553784000651","0.314339612774285"
"Non-working","2009","Part Time","Female","480","0.176959233695665","0.16342858233088","0.19048988506045"
"Non-working","2009","Not Working","Male","2924","0.969466256023203","0.963316785055653","0.975615726990753"
"Non-working","2009","Not Working","Female","3971","0.968969006472678","0.963666445673171","0.974271567272185"
"Other","2009","Full Time","Male","183","0.0429132861993685","0.0370503755108151","0.0487761968879219"
"Other","2009","Full Time","Female","134","0.0543040096450607","0.0452826186486478","0.0633254006414736"
"Other","2009","Part Time","Male","275","0.254059930233671","0.229179121894099","0.278940738573243"
"Other","2009","Part Time","Female","694","0.249513061116087","0.234170790902701","0.264855331329472"
"Other","2009","Not Working","Male","53","0.0190576796652575","0.0141707270945429","0.0239446322359721"
"Other","2009","Not Working","Female","92","0.019889188224459","0.0156196688127187","0.0241587076361992"
"Full-time","2010","Full Time","Male","5840","0.917679977600257","0.910909105595567","0.924450849604948"
"Full-time","2010","Full Time","Female","2116","0.795141409808753","0.780515111345406","0.8097677082721"
"Full-time","2010","Part Time","Male","505","0.269662289473556","0.247731427514627","0.291593151432484"
"Full-time","2010","Part Time","Female","480","0.118774039152401","0.109607370686956","0.127940707617846"
"Full-time","2010","Not Working","Male","39","0.00975479604745773","0.0063643112714563","0.0131452808234592"
"Full-time","2010","Not Working","Female","43","0.00738440642185452","0.00513985593422788","0.00962895690948115"
"Part-time","2010","Full Time","Male","97","0.0108277945781671","0.00827831115630571","0.0133772780000284"
"Part-time","2010","Full Time","Female","366","0.1155051167148","0.103921786696707","0.127088446732894"
"Part-time","2010","Part Time","Male","242","0.150773242784123","0.133090171315913","0.168456314252333"
"Part-time","2010","Part Time","Female","2221","0.447356930335728","0.433268695932407","0.461445164739049"
"Part-time","2010","Not Working","Male","15","","",""
"Part-time","2010","Not Working","Female","113","0.00929709405462208","0.00678100292343027","0.0118131851858139"
"Non-working","2010","Full Time","Male","182","0.0288386780562454","0.024715998314757","0.0329613577977337"
"Non-working","2010","Full Time","Female","274","0.0282774336794672","0.0222701755156679","0.0342846918432665"
"Non-working","2010","Part Time","Male","470","0.330209122801687","0.306968493826448","0.353449751776925"
"Non-working","2010","Part Time","Female","1013","0.17599640623159","0.165206353359322","0.186786459103858"
"Non-working","2010","Not Working","Male","3064","0.961751868650496","0.955135526459096","0.968368210841896"
"Non-working","2010","Not Working","Female","5270","0.966024146548294","0.961274511784658","0.97077378131193"
"Other","2010","Full Time","Male","211","0.0426535497653304","0.0376755096520352","0.0476315898786256"
"Other","2010","Full Time","Female","169","0.0610760397969795","0.0523977169712926","0.0697543626226664"
"Other","2010","Part Time","Male","356","0.249355344940635","0.227975218519258","0.270735471362012"
"Other","2010","Part Time","Female","1071","0.257872624280282","0.245477554785592","0.270267693774971"
"Other","2010","Not Working","Male","110","0.0253632668582035","0.0199394463196832","0.0307870873967238"
"Other","2010","Not Working","Female","163","0.0172943529752294","0.0138765665432909","0.0207121394071678"
"Full-time","2011","Full Time","Male","6704","0.917558608308645","0.911223290993062","0.923893925624227"
"Full-time","2011","Full Time","Female","2634","0.80375964332997","0.790417961611057","0.817101325048883"
"Full-time","2011","Part Time","Male","688","0.313011894086334","0.292138938270032","0.333884849902637"
"Full-time","2011","Part Time","Female","716","0.143275809393209","0.134244441023654","0.152307177762764"
"Full-time","2011","Not Working","Male","42","0.0140590050814892","0.0104294558402787","0.0176885543226998"
"Full-time","2011","Not Working","Female","44","0.00497776310354287","0.00328614069331197","0.00666938551377377"
"Part-time","2011","Full Time","Male","99","0.0130657295968033","0.0104500186148099","0.0156814405787966"
"Part-time","2011","Full Time","Female","444","0.0986822698492412","0.0886635591132878","0.108700980585195"
"Part-time","2011","Part Time","Male","281","0.14899601613771","0.132967915918127","0.165024116357293"
"Part-time","2011","Part Time","Female","2959","0.462244752328549","0.449392627660274","0.475096876996823"
"Part-time","2011","Not Working","Male","8","","",""
"Part-time","2011","Not Working","Female","150","0.00856140934894917","0.00634691046625066","0.0107759082316477"
"Non-working","2011","Full Time","Male","189","0.026464106730548","0.0227668176198798","0.0301613958412161"
"Non-working","2011","Full Time","Female","117","0.0340669167667509","0.0279730458508693","0.0401607876826325"
"Non-working","2011","Part Time","Male","562","0.319621652461679","0.298631177638338","0.34061212728502"
"Non-working","2011","Part Time","Female","963","0.179762592219028","0.169864168210348","0.189661016227708"
"Non-working","2011","Not Working","Male","3883","0.96141534267018","0.955477717411497","0.967352967928863"
"Non-working","2011","Not Working","Female","6219","0.964046554963483","0.959571594699233","0.968521515227733"
"Other","2011","Full Time","Male","248","0.0429115553640041","0.038243435785262","0.0475796749427462"
"Other","2011","Full Time","Female","209","0.0634911700540374","0.0552996232153292","0.0716827168927455"
"Other","2011","Part Time","Male","365","0.218370437314276","0.199774146257276","0.236966728371276"
"Other","2011","Part Time","Female","1143","0.214716846059214","0.204131798676009","0.22530189344242"
"Other","2011","Not Working","Male","109","0.0201980855810342","0.0158612377684697","0.0245349333935987"
"Other","2011","Not Working","Female","236","0.0224142725840251","0.0188562420129027","0.0259723031551475"
"Full-time","2012","Full Time","Male","6434","0.914328096383884","0.907761781079606","0.920894411688161"
