"erwst","year","bula_h","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Non-working","1994","Saxony","(2b) intermediate general qualification","20","","",""
"Non-working","1994","Saxony","(2a) intermediate vocational","99","0.317650240761141","0.269624662163605","0.365675819358676"
"Non-working","1994","Saxony","(2c_gen) general maturity certificate","9","","",""
"Non-working","1994","Saxony","(2c_voc) vocational maturity certificate","10","","",""
"Non-working","1994","Saxony","(3a) lower tertiary education","35","0.332943951627974","0.257274308652107","0.408613594603841"
"Non-working","1994","Saxony","(3b) higher tertiary education","24","","",""
"Non-working","1994","Saxony-Anhalt","(0) in school","8","","",""
"Non-working","1994","Saxony-Anhalt","(1a) inadequately completed","7","","",""
"Non-working","1994","Saxony-Anhalt","(1b) general elementary school","47","0.894542818285297","0.81480776104924","0.974277875521355"
"Non-working","1994","Saxony-Anhalt","(1c) basic vocational qualification","115","0.680568702073574","0.615950062171619","0.745187341975528"
"Non-working","1994","Saxony-Anhalt","(2b) intermediate general qualification","7","","",""
"Non-working","1994","Saxony-Anhalt","(2a) intermediate vocational","59","0.30981141497967","0.248568108856827","0.371054721102513"
"Non-working","1994","Saxony-Anhalt","(2c_gen) general maturity certificate","3","","",""
"Non-working","1994","Saxony-Anhalt","(2c_voc) vocational maturity certificate","4","","",""
"Non-working","1994","Saxony-Anhalt","(3a) lower tertiary education","33","0.370205730201338","0.278714993855019","0.461696466547656"
"Non-working","1994","Saxony-Anhalt","(3b) higher tertiary education","5","","",""
"Non-working","1994","Thuringia","(0) in school","5","","",""
"Non-working","1994","Thuringia","(1a) inadequately completed","3","","",""
"Non-working","1994","Thuringia","(1b) general elementary school","35","0.89736662245022","0.807695827605135","0.987037417295305"
"Non-working","1994","Thuringia","(1c) basic vocational qualification","134","0.678816726618652","0.616402788127424","0.741230665109881"
"Non-working","1994","Thuringia","(2b) intermediate general qualification","10","","",""
"Non-working","1994","Thuringia","(2a) intermediate vocational","53","0.327290218899187","0.265002815210622","0.389577622587751"
"Non-working","1994","Thuringia","(2c_gen) general maturity certificate","5","","",""
"Non-working","1994","Thuringia","(2c_voc) vocational maturity certificate","3","","",""
"Non-working","1994","Thuringia","(3a) lower tertiary education","23","","",""
"Non-working","1994","Thuringia","(3b) higher tertiary education","4","","",""
"Other","1994","Schleswig-Holstein","(0) in school","","","",""
"Other","1994","Schleswig-Holstein","(1a) inadequately completed","","","",""
"Other","1994","Schleswig-Holstein","(1b) general elementary school","5","","",""
"Other","1994","Schleswig-Holstein","(1c) basic vocational qualification","1","","",""
"Other","1994","Schleswig-Holstein","(2b) intermediate general qualification","1","","",""
"Other","1994","Schleswig-Holstein","(2a) intermediate vocational","2","","",""
"Other","1994","Schleswig-Holstein","(2c_gen) general maturity certificate","3","","",""
"Other","1994","Schleswig-Holstein","(2c_voc) vocational maturity certificate","1","","",""
"Other","1994","Schleswig-Holstein","(3a) lower tertiary education","2","","",""
"Other","1994","Schleswig-Holstein","(3b) higher tertiary education","","","",""
"Other","1994","Hamburg","(0) in school","","","",""
"Other","1994","Hamburg","(1a) inadequately completed","","","",""
"Other","1994","Hamburg","(1b) general elementary school","4","","",""
"Other","1994","Hamburg","(1c) basic vocational qualification","1","","",""
"Other","1994","Hamburg","(2b) intermediate general qualification","1","","",""
"Other","1994","Hamburg","(2a) intermediate vocational","","","",""
"Other","1994","Hamburg","(2c_gen) general maturity certificate","1","","",""
"Other","1994","Hamburg","(2c_voc) vocational maturity certificate","1","","",""
"Other","1994","Hamburg","(3a) lower tertiary education","","","",""
"Other","1994","Hamburg","(3b) higher tertiary education","","","",""
"Other","1994","Lower Saxony","(0) in school","","","",""
"Other","1994","Lower Saxony","(1a) inadequately completed","3","","",""
"Other","1994","Lower Saxony","(1b) general elementary school","3","","",""
"Other","1994","Lower Saxony","(1c) basic vocational qualification","8","","",""
"Other","1994","Lower Saxony","(2b) intermediate general qualification","11","","",""
"Other","1994","Lower Saxony","(2a) intermediate vocational","5","","",""
"Other","1994","Lower Saxony","(2c_gen) general maturity certificate","11","","",""
"Other","1994","Lower Saxony","(2c_voc) vocational maturity certificate","3","","",""
"Other","1994","Lower Saxony","(3a) lower tertiary education","","","",""
"Other","1994","Lower Saxony","(3b) higher tertiary education","","","",""
"Other","1994","Bremen","(0) in school","","","",""
"Other","1994","Bremen","(1a) inadequately completed","","","",""
"Other","1994","Bremen","(1b) general elementary school","1","","",""
"Other","1994","Bremen","(1c) basic vocational qualification","","","",""
"Other","1994","Bremen","(2b) intermediate general qualification","","","",""
"Other","1994","Bremen","(2a) intermediate vocational","","","",""
"Other","1994","Bremen","(2c_gen) general maturity certificate","","","",""
"Other","1994","Bremen","(2c_voc) vocational maturity certificate","","","",""
"Other","1994","Bremen","(3a) lower tertiary education","","","",""
"Other","1994","Bremen","(3b) higher tertiary education","","","",""
"Other","1994","North Rhine-Westphalia","(0) in school","1","","",""
"Other","1994","North Rhine-Westphalia","(1a) inadequately completed","3","","",""
"Other","1994","North Rhine-Westphalia","(1b) general elementary school","20","","",""
"Other","1994","North Rhine-Westphalia","(1c) basic vocational qualification","24","","",""
"Other","1994","North Rhine-Westphalia","(2b) intermediate general qualification","23","","",""
"Other","1994","North Rhine-Westphalia","(2a) intermediate vocational","14","","",""
"Other","1994","North Rhine-Westphalia","(2c_gen) general maturity certificate","24","","",""
"Other","1994","North Rhine-Westphalia","(2c_voc) vocational maturity certificate","8","","",""
"Other","1994","North Rhine-Westphalia","(3a) lower tertiary education","3","","",""
"Other","1994","North Rhine-Westphalia","(3b) higher tertiary education","3","","",""
"Other","1994","Hesse","(0) in school","","","",""
"Other","1994","Hesse","(1a) inadequately completed","1","","",""
"Other","1994","Hesse","(1b) general elementary school","14","","",""
"Other","1994","Hesse","(1c) basic vocational qualification","7","","",""
"Other","1994","Hesse","(2b) intermediate general qualification","5","","",""
"Other","1994","Hesse","(2a) intermediate vocational","4","","",""
"Other","1994","Hesse","(2c_gen) general maturity certificate","7","","",""
"Other","1994","Hesse","(2c_voc) vocational maturity certificate","2","","",""
"Other","1994","Hesse","(3a) lower tertiary education","2","","",""
"Other","1994","Hesse","(3b) higher tertiary education","1","","",""
"Other","1994","Rhineland-Palatinate,Saarland","(0) in school","","","",""
"Other","1994","Rhineland-Palatinate,Saarland","(1a) inadequately completed","1","","",""
"Other","1994","Rhineland-Palatinate,Saarland","(1b) general elementary school","7","","",""
"Other","1994","Rhineland-Palatinate,Saarland","(1c) basic vocational qualification","12","","",""
"Other","1994","Rhineland-Palatinate,Saarland","(2b) intermediate general qualification","6","","",""
"Other","1994","Rhineland-Palatinate,Saarland","(2a) intermediate vocational","3","","",""
"Other","1994","Rhineland-Palatinate,Saarland","(2c_gen) general maturity certificate","5","","",""
"Other","1994","Rhineland-Palatinate,Saarland","(2c_voc) vocational maturity certificate","","","",""
"Other","1994","Rhineland-Palatinate,Saarland","(3a) lower tertiary education","","","",""
"Other","1994","Rhineland-Palatinate,Saarland","(3b) higher tertiary education","","","",""
"Other","1994","Baden-Württemberg","(0) in school","","","",""
"Other","1994","Baden-Württemberg","(1a) inadequately completed","4","","",""
"Other","1994","Baden-Württemberg","(1b) general elementary school","28","","",""
"Other","1994","Baden-Württemberg","(1c) basic vocational qualification","16","","",""
"Other","1994","Baden-Württemberg","(2b) intermediate general qualification","10","","",""
"Other","1994","Baden-Württemberg","(2a) intermediate vocational","9","","",""
"Other","1994","Baden-Württemberg","(2c_gen) general maturity certificate","9","","",""
"Other","1994","Baden-Württemberg","(2c_voc) vocational maturity certificate","7","","",""
"Other","1994","Baden-Württemberg","(3a) lower tertiary education","2","","",""
"Other","1994","Baden-Württemberg","(3b) higher tertiary education","4","","",""
"Other","1994","Bavaria","(0) in school","1","","",""
"Other","1994","Bavaria","(1a) inadequately completed","","","",""
"Other","1994","Bavaria","(1b) general elementary school","32","0.100029687070208","0.0662461339504386","0.133813240189978"
"Other","1994","Bavaria","(1c) basic vocational qualification","10","","",""
"Other","1994","Bavaria","(2b) intermediate general qualification","7","","",""
"Other","1994","Bavaria","(2a) intermediate vocational","17","","",""
"Other","1994","Bavaria","(2c_gen) general maturity certificate","8","","",""
"Other","1994","Bavaria","(2c_voc) vocational maturity certificate","4","","",""
"Other","1994","Bavaria","(3a) lower tertiary education","1","","",""
"Other","1994","Bavaria","(3b) higher tertiary education","4","","",""
"Other","1994","Berlin","(0) in school","","","",""
"Other","1994","Berlin","(1a) inadequately completed","1","","",""
"Other","1994","Berlin","(1b) general elementary school","2","","",""
"Other","1994","Berlin","(1c) basic vocational qualification","1","","",""
"Other","1994","Berlin","(2b) intermediate general qualification","9","","",""
"Other","1994","Berlin","(2a) intermediate vocational","3","","",""
"Other","1994","Berlin","(2c_gen) general maturity certificate","4","","",""
"Other","1994","Berlin","(2c_voc) vocational maturity certificate","1","","",""
"Other","1994","Berlin","(3a) lower tertiary education","","","",""
"Other","1994","Berlin","(3b) higher tertiary education","5","","",""
"Other","1994","Brandenburg","(0) in school","","","",""
"Other","1994","Brandenburg","(1a) inadequately completed","3","","",""
"Other","1994","Brandenburg","(1b) general elementary school","1","","",""
"Other","1994","Brandenburg","(1c) basic vocational qualification","2","","",""
"Other","1994","Brandenburg","(2b) intermediate general qualification","20","","",""
"Other","1994","Brandenburg","(2a) intermediate vocational","8","","",""
"Other","1994","Brandenburg","(2c_gen) general maturity certificate","4","","",""
"Other","1994","Brandenburg","(2c_voc) vocational maturity certificate","","","",""
"Other","1994","Brandenburg","(3a) lower tertiary education","","","",""
"Other","1994","Brandenburg","(3b) higher tertiary education","1","","",""
"Other","1994","Mecklenburg-Western Pomerania","(0) in school","","","",""
"Other","1994","Mecklenburg-Western Pomerania","(1a) inadequately completed","1","","",""
"Other","1994","Mecklenburg-Western Pomerania","(1b) general elementary school","2","","",""
"Other","1994","Mecklenburg-Western Pomerania","(1c) basic vocational qualification","","","",""
"Other","1994","Mecklenburg-Western Pomerania","(2b) intermediate general qualification","7","","",""
"Other","1994","Mecklenburg-Western Pomerania","(2a) intermediate vocational","3","","",""
"Other","1994","Mecklenburg-Western Pomerania","(2c_gen) general maturity certificate","1","","",""
"Other","1994","Mecklenburg-Western Pomerania","(2c_voc) vocational maturity certificate","","","",""
"Other","1994","Mecklenburg-Western Pomerania","(3a) lower tertiary education","3","","",""
"Other","1994","Mecklenburg-Western Pomerania","(3b) higher tertiary education","","","",""
"Other","1994","Saxony","(0) in school","","","",""
"Other","1994","Saxony","(1a) inadequately completed","2","","",""
"Other","1994","Saxony","(1b) general elementary school","4","","",""
"Other","1994","Saxony","(1c) basic vocational qualification","6","","",""
"Other","1994","Saxony","(2b) intermediate general qualification","24","","",""
"Other","1994","Saxony","(2a) intermediate vocational","7","","",""
"Other","1994","Saxony","(2c_gen) general maturity certificate","4","","",""
"Other","1994","Saxony","(2c_voc) vocational maturity certificate","","","",""
"Other","1994","Saxony","(3a) lower tertiary education","3","","",""
"Other","1994","Saxony","(3b) higher tertiary education","1","","",""
"Other","1994","Saxony-Anhalt","(0) in school","","","",""
"Other","1994","Saxony-Anhalt","(1a) inadequately completed","4","","",""
"Other","1994","Saxony-Anhalt","(1b) general elementary school","2","","",""
"Other","1994","Saxony-Anhalt","(1c) basic vocational qualification","1","","",""
"Other","1994","Saxony-Anhalt","(2b) intermediate general qualification","13","","",""
"Other","1994","Saxony-Anhalt","(2a) intermediate vocational","3","","",""
"Other","1994","Saxony-Anhalt","(2c_gen) general maturity certificate","7","","",""
"Other","1994","Saxony-Anhalt","(2c_voc) vocational maturity certificate","","","",""
"Other","1994","Saxony-Anhalt","(3a) lower tertiary education","1","","",""
"Other","1994","Saxony-Anhalt","(3b) higher tertiary education","","","",""
"Other","1994","Thuringia","(0) in school","","","",""
"Other","1994","Thuringia","(1a) inadequately completed","3","","",""
"Other","1994","Thuringia","(1b) general elementary school","7","","",""
"Other","1994","Thuringia","(1c) basic vocational qualification","3","","",""
"Other","1994","Thuringia","(2b) intermediate general qualification","21","","",""
"Other","1994","Thuringia","(2a) intermediate vocational","4","","",""
"Other","1994","Thuringia","(2c_gen) general maturity certificate","6","","",""
"Other","1994","Thuringia","(2c_voc) vocational maturity certificate","1","","",""
"Other","1994","Thuringia","(3a) lower tertiary education","","","",""
"Other","1994","Thuringia","(3b) higher tertiary education","1","","",""
"Full-time","1995","Schleswig-Holstein","(0) in school","","","",""
"Full-time","1995","Schleswig-Holstein","(1a) inadequately completed","3","","",""
"Full-time","1995","Schleswig-Holstein","(1b) general elementary school","11","","",""
"Full-time","1995","Schleswig-Holstein","(1c) basic vocational qualification","42","0.369659412653911","0.275519037486292","0.46379978782153"
"Full-time","1995","Schleswig-Holstein","(2b) intermediate general qualification","","","",""
"Full-time","1995","Schleswig-Holstein","(2a) intermediate vocational","31","0.386217688344008","0.26693391513881","0.505501461549206"
"Full-time","1995","Schleswig-Holstein","(2c_gen) general maturity certificate","4","","",""
"Full-time","1995","Schleswig-Holstein","(2c_voc) vocational maturity certificate","7","","",""
"Full-time","1995","Schleswig-Holstein","(3a) lower tertiary education","5","","",""
"Full-time","1995","Schleswig-Holstein","(3b) higher tertiary education","11","","",""
"Full-time","1995","Hamburg","(0) in school","","","",""
"Full-time","1995","Hamburg","(1a) inadequately completed","4","","",""
"Full-time","1995","Hamburg","(1b) general elementary school","4","","",""
"Full-time","1995","Hamburg","(1c) basic vocational qualification","17","","",""
"Full-time","1995","Hamburg","(2b) intermediate general qualification","2","","",""
"Full-time","1995","Hamburg","(2a) intermediate vocational","13","","",""
"Full-time","1995","Hamburg","(2c_gen) general maturity certificate","2","","",""
"Full-time","1995","Hamburg","(2c_voc) vocational maturity certificate","4","","",""
"Full-time","1995","Hamburg","(3a) lower tertiary education","5","","",""
"Full-time","1995","Hamburg","(3b) higher tertiary education","4","","",""
"Full-time","1995","Lower Saxony","(0) in school","","","",""
"Full-time","1995","Lower Saxony","(1a) inadequately completed","15","","",""
"Full-time","1995","Lower Saxony","(1b) general elementary school","49","0.189935064948075","0.134738796575229","0.245131333320921"
"Full-time","1995","Lower Saxony","(1c) basic vocational qualification","150","0.430609695949347","0.37644173212016","0.484777659778535"
"Full-time","1995","Lower Saxony","(2b) intermediate general qualification","8","","",""
"Full-time","1995","Lower Saxony","(2a) intermediate vocational","117","0.534094840076574","0.465642080848347","0.602547599304801"
"Full-time","1995","Lower Saxony","(2c_gen) general maturity certificate","9","","",""
"Full-time","1995","Lower Saxony","(2c_voc) vocational maturity certificate","28","","",""
"Full-time","1995","Lower Saxony","(3a) lower tertiary education","23","","",""
"Full-time","1995","Lower Saxony","(3b) higher tertiary education","44","0.633463361249414","0.518934990772486","0.747991731726341"
"Full-time","1995","Bremen","(0) in school","","","",""
"Full-time","1995","Bremen","(1a) inadequately completed","","","",""
"Full-time","1995","Bremen","(1b) general elementary school","4","","",""
"Full-time","1995","Bremen","(1c) basic vocational qualification","8","","",""
"Full-time","1995","Bremen","(2b) intermediate general qualification","2","","",""
"Full-time","1995","Bremen","(2a) intermediate vocational","8","","",""
"Full-time","1995","Bremen","(2c_gen) general maturity certificate","2","","",""
"Full-time","1995","Bremen","(2c_voc) vocational maturity certificate","4","","",""
"Full-time","1995","Bremen","(3a) lower tertiary education","1","","",""
"Full-time","1995","Bremen","(3b) higher tertiary education","1","","",""
"Full-time","1995","North Rhine-Westphalia","(0) in school","","","",""
"Full-time","1995","North Rhine-Westphalia","(1a) inadequately completed","58","0.351114018883197","0.276921894006099","0.425306143760295"
"Full-time","1995","North Rhine-Westphalia","(1b) general elementary school","151","0.230778216507551","0.191047224270247","0.270509208744855"
"Full-time","1995","North Rhine-Westphalia","(1c) basic vocational qualification","390","0.422976417535111","0.389224143993673","0.45672869107655"
"Full-time","1995","North Rhine-Westphalia","(2b) intermediate general qualification","20","","",""
"Full-time","1995","North Rhine-Westphalia","(2a) intermediate vocational","208","0.513812788424231","0.463822378374001","0.563803198474461"
"Full-time","1995","North Rhine-Westphalia","(2c_gen) general maturity certificate","30","0.231418662631719","0.159743881136677","0.303093444126761"
"Full-time","1995","North Rhine-Westphalia","(2c_voc) vocational maturity certificate","91","0.558135703698407","0.480701309411375","0.635570097985439"
"Full-time","1995","North Rhine-Westphalia","(3a) lower tertiary education","57","0.651257147908626","0.549342324344937","0.753171971472314"
"Full-time","1995","North Rhine-Westphalia","(3b) higher tertiary education","129","0.635155002522747","0.566525437179703","0.703784567865791"
"Full-time","1995","Hesse","(0) in school","","","",""
"Full-time","1995","Hesse","(1a) inadequately completed","30","0.326378724852321","0.214104644113182","0.438652805591459"
"Full-time","1995","Hesse","(1b) general elementary school","62","0.179950122376324","0.126843794856003","0.233056449896644"
"Full-time","1995","Hesse","(1c) basic vocational qualification","137","0.400105555125713","0.342411253956864","0.457799856294562"
"Full-time","1995","Hesse","(2b) intermediate general qualification","9","","",""
"Full-time","1995","Hesse","(2a) intermediate vocational","76","0.496801153605945","0.411506415189946","0.582095892021944"
"Full-time","1995","Hesse","(2c_gen) general maturity certificate","9","","",""
"Full-time","1995","Hesse","(2c_voc) vocational maturity certificate","23","","",""
"Full-time","1995","Hesse","(3a) lower tertiary education","28","","",""
"Full-time","1995","Hesse","(3b) higher tertiary education","40","0.548787822556817","0.432216503702857","0.665359141410778"
"Full-time","1995","Rhineland-Palatinate,Saarland","(0) in school","","","",""
"Full-time","1995","Rhineland-Palatinate,Saarland","(1a) inadequately completed","10","","",""
"Full-time","1995","Rhineland-Palatinate,Saarland","(1b) general elementary school","45","0.200938889969097","0.141739974068878","0.260137805869315"
"Full-time","1995","Rhineland-Palatinate,Saarland","(1c) basic vocational qualification","139","0.505456226096071","0.445259995304663","0.56565245688748"
"Full-time","1995","Rhineland-Palatinate,Saarland","(2b) intermediate general qualification","3","","",""
"Full-time","1995","Rhineland-Palatinate,Saarland","(2a) intermediate vocational","40","0.483314435318825","0.370965401403943","0.595663469233707"
"Full-time","1995","Rhineland-Palatinate,Saarland","(2c_gen) general maturity certificate","9","","",""
"Full-time","1995","Rhineland-Palatinate,Saarland","(2c_voc) vocational maturity certificate","12","","",""
"Full-time","1995","Rhineland-Palatinate,Saarland","(3a) lower tertiary education","15","","",""
"Full-time","1995","Rhineland-Palatinate,Saarland","(3b) higher tertiary education","14","","",""
"Full-time","1995","Baden-Württemberg","(0) in school","1","","",""
"Full-time","1995","Baden-Württemberg","(1a) inadequately completed","66","0.38418073385881","0.312925625910927","0.455435841806692"
"Full-time","1995","Baden-Württemberg","(1b) general elementary school","148","0.240545612243508","0.197906907231094","0.283184317255921"
"Full-time","1995","Baden-Württemberg","(1c) basic vocational qualification","311","0.442822310521088","0.402397713423752","0.483246907618425"
"Full-time","1995","Baden-Württemberg","(2b) intermediate general qualification","12","","",""
"Full-time","1995","Baden-Württemberg","(2a) intermediate vocational","123","0.532368895283856","0.465829439068069","0.598908351499643"
"Full-time","1995","Baden-Württemberg","(2c_gen) general maturity certificate","13","","",""
"Full-time","1995","Baden-Württemberg","(2c_voc) vocational maturity certificate","50","0.546231422359677","0.446118108421824","0.646344736297531"
"Full-time","1995","Baden-Württemberg","(3a) lower tertiary education","34","0.598024535602601","0.464762730031209","0.731286341173992"
"Full-time","1995","Baden-Württemberg","(3b) higher tertiary education","51","0.593692535690037","0.485388973746466","0.701996097633608"
"Full-time","1995","Bavaria","(0) in school","","","",""
"Full-time","1995","Bavaria","(1a) inadequately completed","30","0.416675874136518","0.301183524204257","0.532168224068779"
"Full-time","1995","Bavaria","(1b) general elementary school","97","0.203876681438389","0.158810282846024","0.248943080030755"
"Full-time","1995","Bavaria","(1c) basic vocational qualification","309","0.471792172096229","0.431545300093562","0.512039044098895"
"Full-time","1995","Bavaria","(2b) intermediate general qualification","18","","",""
"Full-time","1995","Bavaria","(2a) intermediate vocational","157","0.490211326135824","0.431341199734651","0.549081452536996"
"Full-time","1995","Bavaria","(2c_gen) general maturity certificate","11","","",""
"Full-time","1995","Bavaria","(2c_voc) vocational maturity certificate","47","0.543001433364332","0.434517983282621","0.651484883446042"
"Full-time","1995","Bavaria","(3a) lower tertiary education","50","0.665693627064545","0.554383911454931","0.77700334267416"
"Full-time","1995","Bavaria","(3b) higher tertiary education","70","0.645476375679564","0.553538558681191","0.737414192677936"
"Full-time","1995","Berlin","(0) in school","","","",""
"Full-time","1995","Berlin","(1a) inadequately completed","3","","",""
"Full-time","1995","Berlin","(1b) general elementary school","16","","",""
"Full-time","1995","Berlin","(1c) basic vocational qualification","59","0.450714891970062","0.360939573664416","0.540490210275707"
"Full-time","1995","Berlin","(2b) intermediate general qualification","7","","",""
"Full-time","1995","Berlin","(2a) intermediate vocational","89","0.606449657438213","0.526096778099467","0.686802536776958"
"Full-time","1995","Berlin","(2c_gen) general maturity certificate","1","","",""
"Full-time","1995","Berlin","(2c_voc) vocational maturity certificate","10","","",""
"Full-time","1995","Berlin","(3a) lower tertiary education","40","0.53007427774916","0.4114491730913","0.648699382407019"
"Full-time","1995","Berlin","(3b) higher tertiary education","42","0.482912509146874","0.371298432215946","0.594526586077801"
"Full-time","1995","Brandenburg","(0) in school","","","",""
"Full-time","1995","Brandenburg","(1a) inadequately completed","1","","",""
"Full-time","1995","Brandenburg","(1b) general elementary school","1","","",""
"Full-time","1995","Brandenburg","(1c) basic vocational qualification","56","0.30142762176352","0.227747186108897","0.375108057418143"
"Full-time","1995","Brandenburg","(2b) intermediate general qualification","1","","",""
"Full-time","1995","Brandenburg","(2a) intermediate vocational","129","0.727968788454009","0.663669683571281","0.792267893336736"
"Full-time","1995","Brandenburg","(2c_gen) general maturity certificate","","","",""
"Full-time","1995","Brandenburg","(2c_voc) vocational maturity certificate","7","","",""
"Full-time","1995","Brandenburg","(3a) lower tertiary education","67","0.586436663744072","0.490864905156634","0.68200842233151"
"Full-time","1995","Brandenburg","(3b) higher tertiary education","27","","",""
"Full-time","1995","Mecklenburg-Western Pomerania","(0) in school","","","",""
"Full-time","1995","Mecklenburg-Western Pomerania","(1a) inadequately completed","1","","",""
"Full-time","1995","Mecklenburg-Western Pomerania","(1b) general elementary school","2","","",""
"Full-time","1995","Mecklenburg-Western Pomerania","(1c) basic vocational qualification","32","0.26622564173189","0.178269042211351","0.354182241252429"
"Full-time","1995","Mecklenburg-Western Pomerania","(2b) intermediate general qualification","3","","",""
"Full-time","1995","Mecklenburg-Western Pomerania","(2a) intermediate vocational","104","0.671163095101253","0.596478572876566","0.74584761732594"
"Full-time","1995","Mecklenburg-Western Pomerania","(2c_gen) general maturity certificate","4","","",""
"Full-time","1995","Mecklenburg-Western Pomerania","(2c_voc) vocational maturity certificate","4","","",""
"Full-time","1995","Mecklenburg-Western Pomerania","(3a) lower tertiary education","38","0.558808579835444","0.434205655395551","0.683411504275336"
"Full-time","1995","Mecklenburg-Western Pomerania","(3b) higher tertiary education","22","","",""
"Full-time","1995","Saxony","(0) in school","","","",""
"Full-time","1995","Saxony","(1a) inadequately completed","2","","",""
"Full-time","1995","Saxony","(1b) general elementary school","8","","",""
"Full-time","1995","Saxony","(1c) basic vocational qualification","99","0.251708898145336","0.203002866557737","0.300414929732935"
"Full-time","1995","Saxony","(2b) intermediate general qualification","6","","",""
"Full-time","1995","Saxony","(2a) intermediate vocational","230","0.620104825999788","0.569400944928567","0.670808707071008"
"Full-time","1995","Saxony","(2c_gen) general maturity certificate","2","","",""
"Full-time","1995","Saxony","(2c_voc) vocational maturity certificate","21","","",""
"Full-time","1995","Saxony","(3a) lower tertiary education","81","0.549170655476688","0.465236068723958","0.633105242229418"
"Full-time","1995","Saxony","(3b) higher tertiary education","72","0.713631111874421","0.624128675491095","0.803133548257747"
"Full-time","1995","Saxony-Anhalt","(0) in school","","","",""
"Full-time","1995","Saxony-Anhalt","(1a) inadequately completed","1","","",""
"Full-time","1995","Saxony-Anhalt","(1b) general elementary school","6","","",""
"Full-time","1995","Saxony-Anhalt","(1c) basic vocational qualification","78","0.331761599619672","0.265675585639909","0.397847613599434"
"Full-time","1995","Saxony-Anhalt","(2b) intermediate general qualification","5","","",""
"Full-time","1995","Saxony-Anhalt","(2a) intermediate vocational","130","0.59787054219154","0.532176236601106","0.663564847781975"
"Full-time","1995","Saxony-Anhalt","(2c_gen) general maturity certificate","1","","",""
"Full-time","1995","Saxony-Anhalt","(2c_voc) vocational maturity certificate","11","","",""
"Full-time","1995","Saxony-Anhalt","(3a) lower tertiary education","70","0.607008263868587","0.515735592992373","0.6982809347448"
"Full-time","1995","Saxony-Anhalt","(3b) higher tertiary education","31","0.53211994799583","0.381217779557552","0.683022116434108"
"Full-time","1995","Thuringia","(0) in school","","","",""
"Full-time","1995","Thuringia","(1a) inadequately completed","1","","",""
"Full-time","1995","Thuringia","(1b) general elementary school","","","",""
"Full-time","1995","Thuringia","(1c) basic vocational qualification","70","0.295902063436997","0.23387132429137","0.357932802582624"
"Full-time","1995","Thuringia","(2b) intermediate general qualification","5","","",""
"Full-time","1995","Thuringia","(2a) intermediate vocational","146","0.582895720043935","0.516832618268936","0.648958821818933"
"Full-time","1995","Thuringia","(2c_gen) general maturity certificate","1","","",""
"Full-time","1995","Thuringia","(2c_voc) vocational maturity certificate","7","","",""
"Full-time","1995","Thuringia","(3a) lower tertiary education","47","0.579804714338605","0.47026609854411","0.6893433301331"
"Full-time","1995","Thuringia","(3b) higher tertiary education","32","0.785982425842926","0.657262161241956","0.914702690443895"
"Part-time","1995","Schleswig-Holstein","(0) in school","","","",""
"Part-time","1995","Schleswig-Holstein","(1a) inadequately completed","1","","",""
"Part-time","1995","Schleswig-Holstein","(1b) general elementary school","4","","",""
"Part-time","1995","Schleswig-Holstein","(1c) basic vocational qualification","11","","",""
"Part-time","1995","Schleswig-Holstein","(2b) intermediate general qualification","1","","",""
"Part-time","1995","Schleswig-Holstein","(2a) intermediate vocational","9","","",""
"Part-time","1995","Schleswig-Holstein","(2c_gen) general maturity certificate","","","",""
"Part-time","1995","Schleswig-Holstein","(2c_voc) vocational maturity certificate","2","","",""
"Part-time","1995","Schleswig-Holstein","(3a) lower tertiary education","1","","",""
"Part-time","1995","Schleswig-Holstein","(3b) higher tertiary education","2","","",""
"Part-time","1995","Hamburg","(0) in school","","","",""
"Part-time","1995","Hamburg","(1a) inadequately completed","","","",""
"Part-time","1995","Hamburg","(1b) general elementary school","1","","",""
"Part-time","1995","Hamburg","(1c) basic vocational qualification","4","","",""
"Part-time","1995","Hamburg","(2b) intermediate general qualification","","","",""
"Part-time","1995","Hamburg","(2a) intermediate vocational","1","","",""
"Part-time","1995","Hamburg","(2c_gen) general maturity certificate","1","","",""
"Part-time","1995","Hamburg","(2c_voc) vocational maturity certificate","3","","",""
"Part-time","1995","Hamburg","(3a) lower tertiary education","1","","",""
"Part-time","1995","Hamburg","(3b) higher tertiary education","3","","",""
"Part-time","1995","Lower Saxony","(0) in school","","","",""
"Part-time","1995","Lower Saxony","(1a) inadequately completed","2","","",""
"Part-time","1995","Lower Saxony","(1b) general elementary school","16","","",""
"Part-time","1995","Lower Saxony","(1c) basic vocational qualification","33","0.0935025731015477","0.0616539512862097","0.125351194916886"
"Part-time","1995","Lower Saxony","(2b) intermediate general qualification","4","","",""
"Part-time","1995","Lower Saxony","(2a) intermediate vocational","19","","",""
"Part-time","1995","Lower Saxony","(2c_gen) general maturity certificate","3","","",""
"Part-time","1995","Lower Saxony","(2c_voc) vocational maturity certificate","7","","",""
"Part-time","1995","Lower Saxony","(3a) lower tertiary education","2","","",""
"Part-time","1995","Lower Saxony","(3b) higher tertiary education","5","","",""
"Part-time","1995","Bremen","(0) in school","","","",""
"Part-time","1995","Bremen","(1a) inadequately completed","1","","",""
"Part-time","1995","Bremen","(1b) general elementary school","","","",""
"Part-time","1995","Bremen","(1c) basic vocational qualification","3","","",""
"Part-time","1995","Bremen","(2b) intermediate general qualification","","","",""
