"erwst","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"Non-working","2002","inadequately","Male","67","0.581439921735337","0.492050426380787","0.670829417089888"
"Non-working","2002","inadequately","Female","121","0.747193108473222","0.681472082695607","0.812914134250837"
"Non-working","2002","general elemantary","Male","378","0.392736879648702","0.361796088224776","0.423677671072627"
"Non-working","2002","general elemantary","Female","1351","0.719198733661854","0.699339161001321","0.739058306322387"
"Non-working","2002","middle vocational","Male","2125","0.402186939134246","0.389335221037593","0.415038657230898"
"Non-working","2002","middle vocational","Female","2978","0.527699348671103","0.515132028592543","0.540266668749662"
"Non-working","2002","vocational + Abi","Male","129","0.282183869817591","0.242734888957259","0.321632850677924"
"Non-working","2002","vocational + Abi","Female","261","0.430898230054961","0.393678265268406","0.468118194841516"
"Non-working","2002","higher vocational","Male","286","0.328155437519292","0.299226529507861","0.357084345530724"
"Non-working","2002","higher vocational","Female","261","0.422679792466466","0.387040093063166","0.458319491869767"
"Non-working","2002","higher education","Male","608","0.285511124017968","0.268180256430433","0.302841991605503"
"Non-working","2002","higher education","Female","547","0.347543411820006","0.326488804103549","0.368598019536462"
"Other","2002","in school","Male","29","","",""
"Other","2002","in school","Female","27","","",""
"Other","2002","inadequately","Male","11","","",""
"Other","2002","inadequately","Female","16","","",""
"Other","2002","general elemantary","Male","265","0.248251928863506","0.220881941359385","0.275621916367626"
"Other","2002","general elemantary","Female","248","0.11318986983513","0.0991886777425424","0.127191061927719"
"Other","2002","middle vocational","Male","191","0.0307928263953199","0.0262649183715146","0.0353207344191251"
"Other","2002","middle vocational","Female","465","0.0729267596054698","0.0663812930802394","0.0794722261307002"
"Other","2002","vocational + Abi","Male","24","","",""
"Other","2002","vocational + Abi","Female","46","0.0671556115865439","0.0483434201036676","0.0859678030694202"
"Other","2002","higher vocational","Male","11","","",""
"Other","2002","higher vocational","Female","45","0.0447043524245277","0.0297948306456856","0.0596138742033699"
"Other","2002","higher education","Male","37","0.0192378508993594","0.0139671159534945","0.0245085858452243"
"Other","2002","higher education","Female","72","0.0437934254511474","0.0347455391481414","0.0528413117541534"
"Full-time","2003","in school","Male","","","",""
"Full-time","2003","in school","Female","","","",""
"Full-time","2003","inadequately","Male","33","0.305931378003245","0.21981912236712","0.39204363363937"
"Full-time","2003","inadequately","Female","19","","",""
"Full-time","2003","general elemantary","Male","286","0.326318931221856","0.296021731909871","0.356616130533841"
"Full-time","2003","general elemantary","Female","182","0.0891403980936812","0.0761453572642508","0.102135438923112"
"Full-time","2003","middle vocational","Male","2972","0.536422370179539","0.523057428516239","0.549787311842839"
"Full-time","2003","middle vocational","Female","1368","0.221646376003111","0.210983610538547","0.232309141467675"
"Full-time","2003","vocational + Abi","Male","322","0.623564386817282","0.580490311800371","0.666638461834192"
"Full-time","2003","vocational + Abi","Female","242","0.322350891549079","0.287170544646817","0.35753123845134"
"Full-time","2003","higher vocational","Male","648","0.616508100118055","0.586049899967085","0.646966300269026"
"Full-time","2003","higher vocational","Female","216","0.281675082949162","0.248704262731895","0.314645903166429"
"Full-time","2003","higher education","Male","1708","0.645974050272915","0.627103324629454","0.664844775916377"
"Full-time","2003","higher education","Female","841","0.399998990121011","0.377982490464155","0.422015489777868"
"Part-time","2003","in school","Male","2","","",""
"Part-time","2003","in school","Female","2","","",""
"Part-time","2003","inadequately","Male","1","","",""
"Part-time","2003","inadequately","Female","11","","",""
"Part-time","2003","general elemantary","Male","11","","",""
"Part-time","2003","general elemantary","Female","161","0.0716379735480135","0.0598769539579569","0.08339899313807"
"Part-time","2003","middle vocational","Male","81","0.0174683370413788","0.01395717032906","0.0209795037536975"
"Part-time","2003","middle vocational","Female","1138","0.177581270630578","0.167770657752315","0.187391883508841"
"Part-time","2003","vocational + Abi","Male","18","","",""
"Part-time","2003","vocational + Abi","Female","134","0.180525319198236","0.151573885529815","0.209476752866657"
"Part-time","2003","higher vocational","Male","22","","",""
"Part-time","2003","higher vocational","Female","180","0.218343828017552","0.188062605059353","0.24862505097575"
"Part-time","2003","higher education","Male","82","0.0389537765475404","0.0313187519802768","0.046588801114804"
"Part-time","2003","higher education","Female","432","0.186017245990786","0.168529773608405","0.203504718373167"
"Non-working","2003","in school","Male","273","0.892922347326","0.858048417706864","0.927796276945135"
"Non-working","2003","in school","Female","287","0.913441487751709","0.882438767049059","0.944444208454358"
"Non-working","2003","inadequately","Male","66","0.57626783327494","0.483923626627696","0.668612039922184"
"Non-working","2003","inadequately","Female","119","0.748010274014049","0.680947679459616","0.815072868568482"
"Non-working","2003","general elemantary","Male","377","0.43252689194164","0.400513375745142","0.464540408138138"
"Non-working","2003","general elemantary","Female","1280","0.743187211880639","0.723263416159146","0.763111007602131"
"Non-working","2003","middle vocational","Male","2107","0.417022177667467","0.403807457091632","0.430236898243303"
"Non-working","2003","middle vocational","Female","2886","0.527579389348673","0.514763185923992","0.540395592773354"
"Non-working","2003","vocational + Abi","Male","124","0.28188336644682","0.241883165388229","0.321883567505411"
"Non-working","2003","vocational + Abi","Female","249","0.405941076728082","0.368977030422995","0.44290512303317"
"Non-working","2003","higher vocational","Male","294","0.332675696545249","0.303161174584182","0.362190218506317"
"Non-working","2003","higher vocational","Female","279","0.459023497489008","0.422497529861113","0.495549465116904"
"Non-working","2003","higher education","Male","635","0.292355181051404","0.274406746353345","0.310303615749462"
"Non-working","2003","higher education","Female","553","0.361058476368146","0.339472973841387","0.382643978894905"
"Other","2003","in school","Male","27","","",""
"Other","2003","in school","Female","27","","",""
"Other","2003","inadequately","Male","10","","",""
"Other","2003","inadequately","Female","12","","",""
"Other","2003","general elemantary","Male","246","0.226592027762225","0.199541184219174","0.253642871305276"
"Other","2003","general elemantary","Female","224","0.0960344164776666","0.082597363104247","0.109471469851086"
"Other","2003","middle vocational","Male","188","0.0290871151116149","0.0245831724931147","0.0335910577301151"
"Other","2003","middle vocational","Female","437","0.0731929640176381","0.0665067481826191","0.0798791798526571"
"Other","2003","vocational + Abi","Male","22","","",""
"Other","2003","vocational + Abi","Female","53","0.0911827125246029","0.0695142654473615","0.112851159601844"
"Other","2003","higher vocational","Male","15","","",""
"Other","2003","higher vocational","Female","40","0.0409575915442775","0.0264304161045557","0.0554847669839993"
"Other","2003","higher education","Male","42","0.0227169921281408","0.0168373742214253","0.0285966100348563"
"Other","2003","higher education","Female","76","0.0529252875200569","0.0428636986351014","0.0629868764050125"
"Full-time","2004","in school","Male","","","",""
"Full-time","2004","in school","Female","","","",""
"Full-time","2004","inadequately","Male","34","0.321674529626597","0.23146407359258","0.411884985660614"
"Full-time","2004","inadequately","Female","16","","",""
"Full-time","2004","general elemantary","Male","259","0.319066528689967","0.287620208463539","0.350512848916396"
"Full-time","2004","general elemantary","Female","163","0.0913295640662609","0.0778632869572557","0.104795841175266"
"Full-time","2004","middle vocational","Male","2836","0.521194602191607","0.507593351036017","0.534795853347196"
"Full-time","2004","middle vocational","Female","1290","0.219339958002944","0.208563493022034","0.230116422983854"
"Full-time","2004","vocational + Abi","Male","327","0.636473087113919","0.593752037252506","0.679194136975332"
"Full-time","2004","vocational + Abi","Female","237","0.314820442961039","0.27991225578667","0.349728630135408"
"Full-time","2004","higher vocational","Male","621","0.636792939120981","0.606032569062359","0.667553309179603"
"Full-time","2004","higher vocational","Female","221","0.293227082296188","0.25971765828916","0.326736506303215"
"Full-time","2004","higher education","Male","1671","0.638075564485672","0.618956870919892","0.657194258051452"
"Full-time","2004","higher education","Female","825","0.39246444148827","0.370415200205008","0.414513682771533"
"Part-time","2004","in school","Male","3","","",""
"Part-time","2004","in school","Female","4","","",""
"Part-time","2004","inadequately","Male","1","","",""
"Part-time","2004","inadequately","Female","10","","",""
"Part-time","2004","general elemantary","Male","17","","",""
"Part-time","2004","general elemantary","Female","151","0.0753461353491311","0.063007738321995","0.0876845323762672"
"Part-time","2004","middle vocational","Male","85","0.0178303500712322","0.0142272810919053","0.0214334190505591"
"Part-time","2004","middle vocational","Female","1066","0.170043030659865","0.160259543595309","0.179826517724421"
"Part-time","2004","vocational + Abi","Male","16","","",""
"Part-time","2004","vocational + Abi","Female","138","0.189573503661649","0.160113060953227","0.219033946370071"
"Part-time","2004","higher vocational","Male","15","","",""
"Part-time","2004","higher vocational","Female","179","0.216630638106315","0.186307914737911","0.24695336147472"
"Part-time","2004","higher education","Male","75","0.0351427247226019","0.0278167999265894","0.0424686495186143"
"Part-time","2004","higher education","Female","424","0.18806422198915","0.170419225667935","0.205709218310365"
"Non-working","2004","in school","Male","291","0.941771514829027","0.915661364484817","0.967881665173237"
"Non-working","2004","in school","Female","301","0.924611589518967","0.896126139772732","0.953097039265203"
"Non-working","2004","inadequately","Male","59","0.598816874600221","0.504160945544929","0.693472803655513"
"Non-working","2004","inadequately","Female","116","0.772783086276619","0.706385619853991","0.839180552699247"
"Non-working","2004","general elemantary","Male","356","0.441068840070856","0.407571585223345","0.474566094918366"
"Non-working","2004","general elemantary","Female","1224","0.731657066844633","0.71094432831768","0.752369805371587"
"Non-working","2004","middle vocational","Male","2058","0.424894830239313","0.411435800709576","0.43835385976905"
"Non-working","2004","middle vocational","Female","2832","0.533230723561735","0.520238150068937","0.546223297054532"
"Non-working","2004","vocational + Abi","Male","129","0.286663715194434","0.24650154883656","0.326825881552307"
"Non-working","2004","vocational + Abi","Female","244","0.385747967906564","0.349161645338389","0.422334290474739"
"Non-working","2004","higher vocational","Male","290","0.330475741454993","0.300389478543065","0.360562004366921"
"Non-working","2004","higher vocational","Female","257","0.427124167458379","0.390713193439137","0.46353514147762"
"Non-working","2004","higher education","Male","623","0.30204064527623","0.283773908787673","0.320307381764786"
"Non-working","2004","higher education","Female","557","0.366604337831592","0.344845084729718","0.388363590933467"
"Other","2004","in school","Male","15","","",""
"Other","2004","in school","Female","25","","",""
"Other","2004","inadequately","Male","9","","",""
"Other","2004","inadequately","Female","11","","",""
"Other","2004","general elemantary","Male","212","0.214197115883269","0.186518747428355","0.241875484338183"
"Other","2004","general elemantary","Female","220","0.101667233739975","0.0875403041862597","0.115794163293689"
"Other","2004","middle vocational","Male","203","0.0360802174978477","0.0310026651816224","0.041157769814073"
"Other","2004","middle vocational","Female","476","0.0773862877754569","0.0704275827383965","0.0843449928125174"
"Other","2004","vocational + Abi","Male","15","","",""
"Other","2004","vocational + Abi","Female","61","0.109858085470748","0.0863542210419222","0.133361949899573"
"Other","2004","higher vocational","Male","13","","",""
"Other","2004","higher vocational","Female","52","0.0630181121391183","0.04513169867468","0.0809045256035565"
"Other","2004","higher education","Male","58","0.0247410655154967","0.0185611523712291","0.0309209786597643"
"Other","2004","higher education","Female","78","0.0528669986909873","0.0427627167875747","0.0629712805944"
"Full-time","2005","in school","Male","1","","",""
"Full-time","2005","in school","Female","","","",""
"Full-time","2005","inadequately","Male","32","0.317044377391703","0.227180376768871","0.406908378014535"
"Full-time","2005","inadequately","Female","9","","",""
"Full-time","2005","general elemantary","Male","231","0.315720540106137","0.283164214714019","0.348276865498255"
"Full-time","2005","general elemantary","Female","156","0.0924481619039174","0.0783993415408387","0.106496982266996"
"Full-time","2005","middle vocational","Male","2677","0.53181804316862","0.517858066768667","0.545778019568573"
"Full-time","2005","middle vocational","Female","1204","0.218519977845021","0.207498096659238","0.229541859030805"
"Full-time","2005","vocational + Abi","Male","317","0.630731645116947","0.587007782527459","0.674455507706435"
"Full-time","2005","vocational + Abi","Female","232","0.319670543905983","0.284332217356505","0.35500887045546"
"Full-time","2005","higher vocational","Male","587","0.641314223066186","0.609962547309096","0.672665898823277"
"Full-time","2005","higher vocational","Female","200","0.287561067658682","0.253262664739085","0.321859470578278"
"Full-time","2005","higher education","Male","1530","0.62066504828124","0.600907859527333","0.640422237035147"
"Full-time","2005","higher education","Female","796","0.387943416735131","0.365816462196288","0.410070371273973"
"Part-time","2005","in school","Male","","","",""
"Part-time","2005","in school","Female","5","","",""
"Part-time","2005","inadequately","Male","2","","",""
"Part-time","2005","inadequately","Female","11","","",""
"Part-time","2005","general elemantary","Male","10","","",""
"Part-time","2005","general elemantary","Female","146","0.0806212751951805","0.0674166203104161","0.093825930079945"
"Part-time","2005","middle vocational","Male","92","0.0219273960582745","0.0178303118359059","0.0260244802806432"
"Part-time","2005","middle vocational","Female","992","0.170945272680516","0.160904402344994","0.180986143016037"
"Part-time","2005","vocational + Abi","Male","16","","",""
"Part-time","2005","vocational + Abi","Female","142","0.218267781100074","0.186966734818495","0.249568827381653"
"Part-time","2005","higher vocational","Male","19","","",""
"Part-time","2005","higher vocational","Female","166","0.217054621177291","0.185816472831579","0.248292769523002"
"Part-time","2005","higher education","Male","75","0.0418729936370344","0.0337172489755873","0.0500287382984815"
"Part-time","2005","higher education","Female","412","0.185703696265277","0.168045628899479","0.203361763631076"
"Non-working","2005","in school","Male","288","0.908656929166191","0.876638083424013","0.94067577490837"
"Non-working","2005","in school","Female","313","0.937620030473526","0.911913429877809","0.963326631069243"
"Non-working","2005","inadequately","Male","60","0.543726408635806","0.44753586954593","0.639916947725682"
"Non-working","2005","inadequately","Female","112","0.755561724074995","0.685124918350448","0.825998529799543"
"Non-working","2005","general elemantary","Male","363","0.463903565564262","0.428973248752614","0.498833882375909"
"Non-working","2005","general elemantary","Female","1121","0.715419429439981","0.693534860999597","0.737303997880364"
"Non-working","2005","middle vocational","Male","1965","0.408538363754485","0.394786057767756","0.422290669741215"
"Non-working","2005","middle vocational","Female","2722","0.525457502082245","0.512138933065077","0.538776071099414"
"Non-working","2005","vocational + Abi","Male","119","0.305485605385204","0.263754377286487","0.347216833483922"
"Non-working","2005","vocational + Abi","Female","235","0.368270363281102","0.331720644221129","0.404820082341075"
"Non-working","2005","higher vocational","Male","282","0.329364335860702","0.298642309785687","0.360086361935717"
"Non-working","2005","higher vocational","Female","256","0.433788494933347","0.396233873223206","0.471343116643489"
"Non-working","2005","higher education","Male","644","0.301524009032996","0.282837775818266","0.320210242247726"
"Non-working","2005","higher education","Female","571","0.379155960219675","0.357124571898825","0.401187348540524"
"Other","2005","in school","Male","22","","",""
"Other","2005","in school","Female","22","","",""
"Other","2005","inadequately","Male","9","","",""
"Other","2005","inadequately","Female","11","","",""
"Other","2005","general elemantary","Male","179","0.200313038553113","0.172279247829215","0.228346829277012"
"Other","2005","general elemantary","Female","210","0.111511133460921","0.0962446114278577","0.126777655493985"
"Other","2005","middle vocational","Male","174","0.0377161970186205","0.0323863916520774","0.0430460023851636"
"Other","2005","middle vocational","Female","482","0.0850772473922179","0.0776359246643424","0.0925185701200934"
"Other","2005","vocational + Abi","Male","16","","",""
"Other","2005","vocational + Abi","Female","60","0.093791311712842","0.0716995450327024","0.115883078392981"
"Other","2005","higher vocational","Male","11","","",""
"Other","2005","higher vocational","Female","47","0.0615958162306803","0.0433776102883187","0.0798140221730419"
"Other","2005","higher education","Male","68","0.035937949048729","0.0283589088189874","0.0435169892784706"
"Other","2005","higher education","Female","84","0.0471969267799172","0.0375675074666689","0.0568263460931655"
"Full-time","2006","in school","Male","2","","",""
"Full-time","2006","in school","Female","","","",""
"Full-time","2006","inadequately","Male","27","","",""
"Full-time","2006","inadequately","Female","9","","",""
"Full-time","2006","general elemantary","Male","230","0.31375654127209","0.281742033639138","0.345771048905042"
"Full-time","2006","general elemantary","Female","148","0.0849851284294188","0.0719237034047867","0.098046553454051"
"Full-time","2006","middle vocational","Male","2781","0.529018513682176","0.515567419658077","0.542469607706275"
"Full-time","2006","middle vocational","Female","1256","0.211553599493193","0.201090625980079","0.222016573006307"
"Full-time","2006","vocational + Abi","Male","332","0.646894771579384","0.604315884589058","0.68947365856971"
"Full-time","2006","vocational + Abi","Female","243","0.323944510467036","0.290135250248354","0.357753770685719"
"Full-time","2006","higher vocational","Male","591","0.62218886636859","0.591292954578725","0.653084778158454"
"Full-time","2006","higher vocational","Female","206","0.281339215893279","0.248334162784699","0.314344269001859"
"Full-time","2006","higher education","Male","1636","0.622656247493711","0.603864791846246","0.641447703141175"
"Full-time","2006","higher education","Female","842","0.386938304837681","0.36577197449171","0.408104635183651"
"Part-time","2006","in school","Male","3","","",""
"Part-time","2006","in school","Female","3","","",""
"Part-time","2006","inadequately","Male","2","","",""
"Part-time","2006","inadequately","Female","7","","",""
"Part-time","2006","general elemantary","Male","20","","",""
"Part-time","2006","general elemantary","Female","151","0.0696517508921761","0.0577285239741526","0.0815749778101996"
"Part-time","2006","middle vocational","Male","98","0.0199295207337007","0.0161633731346641","0.0236956683327374"
"Part-time","2006","middle vocational","Female","1086","0.17260789094774","0.162926342137704","0.182289439757777"
"Part-time","2006","vocational + Abi","Male","13","","",""
"Part-time","2006","vocational + Abi","Female","174","0.236641375156761","0.205935687175558","0.267347063137964"
"Part-time","2006","higher vocational","Male","16","","",""
"Part-time","2006","higher vocational","Female","188","0.212443601524984","0.182419778885313","0.242467424164655"
"Part-time","2006","higher education","Male","90","0.0392401844682379","0.0317128606131854","0.0467675083232904"
"Part-time","2006","higher education","Female","452","0.183546380495568","0.16672307666391","0.200369684327227"
"Non-working","2006","in school","Male","263","0.79826978164037","0.754574362464478","0.841965200816263"
"Non-working","2006","in school","Female","260","0.84452532975922","0.804509762646312","0.884540896872127"
"Non-working","2006","inadequately","Male","58","0.601051258288302","0.504591804383347","0.697510712193258"
"Non-working","2006","inadequately","Female","111","0.793928034644326","0.727863729670569","0.859992339618084"
"Non-working","2006","general elemantary","Male","375","0.445381013725024","0.411090456719282","0.479671570730766"
"Non-working","2006","general elemantary","Female","1243","0.74272663572708","0.722251964807571","0.763201306646589"
"Non-working","2006","middle vocational","Male","2185","0.407110565145178","0.393871317762794","0.420349812527563"
"Non-working","2006","middle vocational","Female","2996","0.53074963572444","0.517964480929743","0.543534790519137"
"Non-working","2006","vocational + Abi","Male","121","0.281353143130386","0.241293316905611","0.321412969355161"
"Non-working","2006","vocational + Abi","Female","262","0.351531554229699","0.317038173254113","0.386024935205286"
"Non-working","2006","higher vocational","Male","326","0.348850396678638","0.318479156688507","0.379221636668769"
"Non-working","2006","higher vocational","Female","266","0.435208149693196","0.398816977362632","0.47159932202376"
"Non-working","2006","higher education","Male","766","0.31389603800794","0.295905027926249","0.331887048089631"
"Non-working","2006","higher education","Female","631","0.362598348892412","0.341705766675788","0.383490931109036"
"Other","2006","in school","Male","56","0.182092126108939","0.140070450693473","0.224113801524404"
"Other","2006","in school","Female","52","0.152024049177319","0.112374273936587","0.191673824418051"
"Other","2006","inadequately","Male","12","","",""
"Other","2006","inadequately","Female","17","","",""
"Other","2006","general elemantary","Male","182","0.206649529516528","0.17871373189052","0.234585327142536"
"Other","2006","general elemantary","Female","209","0.102636484951325","0.0884217061140098","0.11685126378864"
"Other","2006","middle vocational","Male","226","0.0439414004389453","0.0384180899414071","0.0494647109364834"
"Other","2006","middle vocational","Female","515","0.0850888738346263","0.0779408717357606","0.092236875933492"
"Other","2006","vocational + Abi","Male","18","","",""
"Other","2006","vocational + Abi","Female","57","0.0878825601465033","0.0674281992823331","0.108336921010674"
"Other","2006","higher vocational","Male","13","","",""
"Other","2006","higher vocational","Female","53","0.0710090328885415","0.0521566665397213","0.0898613992373617"
"Other","2006","higher education","Male","64","0.0242075300301117","0.0182492400316852","0.0301658200285383"
"Other","2006","higher education","Female","109","0.0669169657743392","0.056057689471629","0.0777762420770493"
"Full-time","2007","in school","Male","","","",""
"Full-time","2007","in school","Female","","","",""
"Full-time","2007","inadequately","Male","21","","",""
"Full-time","2007","inadequately","Female","11","","",""
"Full-time","2007","general elemantary","Male","231","0.35993688796145","0.324877331229296","0.394996444693604"
"Full-time","2007","general elemantary","Female","124","0.0837041172628034","0.0699568520445571","0.0974513824810497"
"Full-time","2007","middle vocational","Male","2663","0.541006361849151","0.527090650670317","0.554922073027986"
"Full-time","2007","middle vocational","Female","1169","0.215122976871583","0.204222744630676","0.22602320911249"
"Full-time","2007","vocational + Abi","Male","318","0.639693467270674","0.596197680547329","0.683189253994018"
"Full-time","2007","vocational + Abi","Female","232","0.322162693275024","0.287716697682748","0.356608688867299"
"Full-time","2007","higher vocational","Male","565","0.609909380653744","0.578042302445022","0.641776458862466"
"Full-time","2007","higher vocational","Female","170","0.258562997125984","0.224614701388561","0.292511292863408"
"Full-time","2007","higher education","Male","1526","0.62606877184927","0.606771477899988","0.645366065798553"
"Full-time","2007","higher education","Female","826","0.391374992123184","0.36991544314663","0.412834541099739"
"Part-time","2007","in school","Male","3","","",""
"Part-time","2007","in school","Female","1","","",""
"Part-time","2007","inadequately","Male","3","","",""
"Part-time","2007","inadequately","Female","8","","",""
"Part-time","2007","general elemantary","Male","15","","",""
"Part-time","2007","general elemantary","Female","128","0.0811592984643575","0.0676038375852099","0.0947147593435051"
"Part-time","2007","middle vocational","Male","96","0.0228353662401466","0.0186638998567656","0.0270068326235277"
"Part-time","2007","middle vocational","Female","1080","0.180090944874019","0.169897515373522","0.190284374374515"
"Part-time","2007","vocational + Abi","Male","18","","",""
"Part-time","2007","vocational + Abi","Female","179","0.246231855132166","0.214475591950126","0.277988118314206"
"Part-time","2007","higher vocational","Male","11","","",""
"Part-time","2007","higher vocational","Female","191","0.263638700117615","0.22947635146908","0.297801048766151"
"Part-time","2007","higher education","Male","84","0.0365846470470113","0.0290969935299473","0.0440723005640753"
"Part-time","2007","higher education","Female","468","0.205025468683372","0.187274188789046","0.222776748577698"
"Non-working","2007","in school","Male","264","0.835224108692577","0.794125769904966","0.876322447480188"
"Non-working","2007","in school","Female","263","0.824178882920574","0.782141170674085","0.866216595167062"
"Non-working","2007","inadequately","Male","49","0.613076219088169","0.507010380923393","0.719142057252944"
"Non-working","2007","inadequately","Female","106","0.774250409578609","0.704497431365621","0.844003387791597"
"Non-working","2007","general elemantary","Male","316","0.411901062463933","0.375950681552711","0.447851443375155"
"Non-working","2007","general elemantary","Female","1137","0.727195717940136","0.705086352334894","0.749305083545379"
"Non-working","2007","middle vocational","Male","1954","0.391095919011837","0.377468394502939","0.404723443520736"
"Non-working","2007","middle vocational","Female","2725","0.518045848932374","0.504790886367961","0.531300811496788"
"Non-working","2007","vocational + Abi","Male","117","0.28854769714441","0.247498292239118","0.329597102049701"
"Non-working","2007","vocational + Abi","Female","238","0.353242471208951","0.318009798640015","0.388475143777886"
"Non-working","2007","higher vocational","Male","310","0.35974214735861","0.328387641951501","0.39109665276572"
"Non-working","2007","higher vocational","Female","228","0.406341934388477","0.368260642768662","0.444423226008292"
"Non-working","2007","higher education","Male","734","0.302574232066298","0.284253007920956","0.320895456211641"
"Non-working","2007","higher education","Female","610","0.350720515601988","0.329738578385557","0.371702452818419"
"Other","2007","in school","Male","46","0.145163692347833","0.106138378423128","0.184189006272538"
"Other","2007","in school","Female","51","0.168186635086216","0.126881742037512","0.20949152813492"
"Other","2007","inadequately","Male","8","","",""
"Other","2007","inadequately","Female","13","","",""
"Other","2007","general elemantary","Male","158","0.187576314154265","0.159062052532673","0.216090575775856"
"Other","2007","general elemantary","Female","170","0.107940866332703","0.0925375297558896","0.123344202909516"
"Other","2007","middle vocational","Male","213","0.0450623528988646","0.039269462296367","0.0508552435013623"
"Other","2007","middle vocational","Female","485","0.0867402293220236","0.0792740401329849","0.0942064185110624"
"Other","2007","vocational + Abi","Male","15","","",""
"Other","2007","vocational + Abi","Female","58","0.0783629803838597","0.0585534667806608","0.0981724939870586"
"Other","2007","higher vocational","Male","14","","",""
"Other","2007","higher vocational","Female","50","0.0714563683679234","0.051484472640921","0.0914282640949258"
"Other","2007","higher education","Male","71","0.0347723490374198","0.0274656466882964","0.0420790513865432"
"Other","2007","higher education","Female","83","0.0528790235914557","0.0430390575699603","0.062718989612951"
"Full-time","2008","in school","Male","","","",""
"Full-time","2008","in school","Female","","","",""
"Full-time","2008","inadequately","Male","26","","",""
"Full-time","2008","inadequately","Female","9","","",""
"Full-time","2008","general elemantary","Male","209","0.34348190453806","0.30717069732198","0.379793111754139"
"Full-time","2008","general elemantary","Female","121","0.086778459379845","0.0722081908261348","0.101348727933555"
"Full-time","2008","middle vocational","Male","2512","0.552465530618797","0.538142878808655","0.566788182428939"
"Full-time","2008","middle vocational","Female","1168","0.22573449149074","0.214324286593155","0.237144696388324"
"Full-time","2008","vocational + Abi","Male","305","0.643425543617661","0.598771456039685","0.688079631195638"
"Full-time","2008","vocational + Abi","Female","234","0.359081933011447","0.322426936837329","0.395736929185565"
"Full-time","2008","higher vocational","Male","511","0.608307261543063","0.575198791382269","0.641415731703857"
"Full-time","2008","higher vocational","Female","163","0.27444770007785","0.238348863961838","0.310546536193861"
"Full-time","2008","higher education","Male","1431","0.638878426430085","0.619252705893472","0.658504146966698"
"Full-time","2008","higher education","Female","803","0.403432988477627","0.381414471450635","0.42545150550462"
"Part-time","2008","in school","Male","","","",""
"Part-time","2008","in school","Female","2","","",""
"Part-time","2008","inadequately","Male","2","","",""
"Part-time","2008","inadequately","Female","9","","",""
"Part-time","2008","general elemantary","Male","10","","",""
"Part-time","2008","general elemantary","Female","122","0.0819723062424461","0.0677740508578009","0.0961705616270913"
"Part-time","2008","middle vocational","Male","98","0.0217961484299599","0.0175902172896065","0.0260020795703132"
"Part-time","2008","middle vocational","Female","992","0.180167991361919","0.169678588175797","0.190657394548041"
"Part-time","2008","vocational + Abi","Male","16","","",""
"Part-time","2008","vocational + Abi","Female","168","0.238417629139748","0.20585925062027","0.270976007659226"
"Part-time","2008","higher vocational","Male","10","","",""
"Part-time","2008","higher vocational","Female","174","0.273034085596164","0.236993279289778","0.309074891902549"
"Part-time","2008","higher education","Male","76","0.0318536206299943","0.024678326701315","0.0390289145586735"
"Part-time","2008","higher education","Female","440","0.200849664579336","0.18286830429301","0.218831024865661"
"Non-working","2008","in school","Male","227","0.82597660290572","0.781569057434671","0.870384148376768"
"Non-working","2008","in school","Female","230","0.835598643596769","0.791712808087971","0.879484479105567"
"Non-working","2008","inadequately","Male","39","0.505074496818191","0.390382187440449","0.619766806195934"
"Non-working","2008","inadequately","Female","81","0.680276035647137","0.594665769721353","0.765886301572922"
"Non-working","2008","general elemantary","Male","281","0.430624654101015","0.392761727416142","0.468487580785887"
"Non-working","2008","general elemantary","Female","1021","0.718356478924195","0.695075919906484","0.741637037941905"
"Non-working","2008","middle vocational","Male","1821","0.373686480750325","0.359751474054411","0.387621487446239"
"Non-working","2008","middle vocational","Female","2521","0.501897267476409","0.48825092070609","0.515543614246729"
"Non-working","2008","vocational + Abi","Male","101","0.256775367129996","0.216049186480194","0.297501547779797"
"Non-working","2008","vocational + Abi","Female","204","0.322557750162471","0.286840746018963","0.358274754305978"
"Non-working","2008","higher vocational","Male","297","0.359361604717726","0.326817137058066","0.391906072377386"
"Non-working","2008","higher vocational","Female","208","0.391707449147872","0.352219352152127","0.431195546143618"
"Non-working","2008","higher education","Male","732","0.300524211651011","0.281790843924771","0.319257579377251"
"Non-working","2008","higher education","Female","578","0.335874848229399","0.314677260068253","0.357072436390545"
"Other","2008","in school","Male","53","0.17402339709428","0.129615851623231","0.218430942565329"
"Other","2008","in school","Female","42","0.15700185502054","0.113925543309564","0.200078166731515"
"Other","2008","inadequately","Male","6","","",""
"Other","2008","inadequately","Female","15","","",""
"Other","2008","general elemantary","Male","157","0.205237545478574","0.174355043104876","0.236120047852273"
"Other","2008","general elemantary","Female","170","0.112892755453514","0.0965134827012459","0.129272028205782"
"Other","2008","middle vocational","Male","199","0.0520518402009179","0.04565349107983","0.0584501893220058"
"Other","2008","middle vocational","Female","476","0.0922002496709323","0.0843041866967456","0.100096312645119"
"Other","2008","vocational + Abi","Male","20","","",""
"Other","2008","vocational + Abi","Female","52","0.0799426876863349","0.05922067393933","0.10066470143334"
"Other","2008","higher vocational","Male","17","","",""
"Other","2008","higher vocational","Female","42","0.0608107651781146","0.0414779175772841","0.080143612778945"
