"erwst","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Full-time","1999","35-65 y.","West Germany","2666","0.518735743819076","0.505127877742666","0.532343609895487"
"Full-time","1999","35-65 y.","East Germany","1195","0.522570937513871","0.50139352566971","0.543748349358032"
"Full-time","1999","66 and older","West Germany","14","","",""
"Full-time","1999","66 and older","East Germany","1","","",""
"Part-time","1999","16-34 y.","West Germany","234","0.069584583251623","0.0610866858404183","0.0780824806628276"
"Part-time","1999","16-34 y.","East Germany","57","0.0647654275436958","0.0506812665815467","0.0788495885058448"
"Part-time","1999","35-65 y.","West Germany","645","0.118361830077095","0.109563987971524","0.127159672182665"
"Part-time","1999","35-65 y.","East Germany","173","0.0703858221898539","0.0595405665548286","0.0812310778248792"
"Part-time","1999","66 and older","West Germany","11","","",""
"Part-time","1999","66 and older","East Germany","1","","",""
"Non-working","1999","16-34 y.","West Germany","1091","0.316673372025065","0.30113747030357","0.33220927374656"
"Non-working","1999","16-34 y.","East Germany","411","0.35098342933168","0.323670374024974","0.378296484638386"
"Non-working","1999","35-65 y.","West Germany","1658","0.320961024684865","0.308246543727263","0.333675505642466"
"Non-working","1999","35-65 y.","East Germany","729","0.386319610329225","0.365675777676019","0.406963442982432"
"Non-working","1999","66 and older","West Germany","1302","0.969821500214774","0.960668434922961","0.978974565506586"
"Non-working","1999","66 and older","East Germany","488","0.990725694533869","0.982264298107859","0.999187090959879"
"Other","1999","16-34 y.","West Germany","457","0.144039920813746","0.132312980581477","0.155766861046015"
"Other","1999","16-34 y.","East Germany","182","0.124819359463531","0.105905118790551","0.14373360013651"
"Other","1999","35-65 y.","West Germany","210","0.0419414014189643","0.0364820300110574","0.0474007728268713"
"Other","1999","35-65 y.","East Germany","40","0.0207236299670497","0.0146837072454523","0.0267635526886472"
"Other","1999","66 and older","West Germany","15","","",""
"Other","1999","66 and older","East Germany","3","","",""
"Full-time","2000","16-34 y.","West Germany","2469","0.474019161603926","0.460779537463777","0.487258785744075"
"Full-time","2000","16-34 y.","East Germany","692","0.421812242062892","0.398204292411159","0.445420191714625"
"Full-time","2000","35-65 y.","West Germany","5089","0.511630434150357","0.501915017092737","0.521345851207977"
"Full-time","2000","35-65 y.","East Germany","1802","0.530233262117967","0.513230921607259","0.547235602628675"
"Full-time","2000","66 and older","West Germany","32","0.0124684644998782","0.0083249461876372","0.0166119828121191"
"Full-time","2000","66 and older","East Germany","1","","",""
"Part-time","2000","16-34 y.","West Germany","426","0.0758036187461065","0.068785513983386","0.082821723508827"
"Part-time","2000","16-34 y.","East Germany","98","0.0681251084924639","0.0560803903134829","0.0801698266714449"
"Part-time","2000","35-65 y.","West Germany","1421","0.13855349323446","0.13183871205716","0.145268274411759"
"Part-time","2000","35-65 y.","East Germany","268","0.0749847094822869","0.0660125929314914","0.0839568260330823"
"Part-time","2000","66 and older","West Germany","24","","",""
"Part-time","2000","66 and older","East Germany","3","","",""
"Non-working","2000","16-34 y.","West Germany","1829","0.314231879924977","0.301923340717036","0.326540419132918"
"Non-working","2000","16-34 y.","East Germany","616","0.359235571009982","0.336300341085243","0.382170800934721"
"Non-working","2000","35-65 y.","West Germany","3259","0.310730835435247","0.301735951397715","0.319725719472779"
"Non-working","2000","35-65 y.","East Germany","1169","0.367238093657314","0.350816015331873","0.383660171982755"
"Non-working","2000","66 and older","West Germany","2671","0.965210211698066","0.958367564692501","0.972052858703632"
"Non-working","2000","66 and older","East Germany","877","0.988667757531495","0.981694116787508","0.995641398275481"
"Other","2000","16-34 y.","West Germany","740","0.13594533972499","0.126857816865908","0.145032862584072"
"Other","2000","16-34 y.","East Germany","275","0.150827078434662","0.133718971265213","0.167935185604111"
"Other","2000","35-65 y.","West Germany","400","0.0390852371799367","0.0353185654198844","0.0428519089399891"
"Other","2000","35-65 y.","East Germany","71","0.0275439347424321","0.0219684570927801","0.0331194123920842"
"Other","2000","66 and older","West Germany","28","","",""
"Other","2000","66 and older","East Germany","4","","",""
"Full-time","2001","16-34 y.","West Germany","2082","0.454874652982377","0.440728489545498","0.469020816419255"
"Full-time","2001","16-34 y.","East Germany","609","0.416763371055227","0.392139581135663","0.441387160974791"
"Full-time","2001","35-65 y.","West Germany","4700","0.517219700720043","0.507033073304792","0.527406328135295"
"Full-time","2001","35-65 y.","East Germany","1662","0.523135282863521","0.505478939714771","0.540791626012271"
"Full-time","2001","66 and older","West Germany","25","","",""
"Full-time","2001","66 and older","East Germany","4","","",""
"Part-time","2001","16-34 y.","West Germany","363","0.0782641893176527","0.0706341040630652","0.0858942745722402"
"Part-time","2001","16-34 y.","East Germany","93","0.0688942316496164","0.0562445769778994","0.0815438863213333"
"Part-time","2001","35-65 y.","West Germany","1325","0.138933391194183","0.131882568155757","0.145984214232608"
"Part-time","2001","35-65 y.","East Germany","266","0.0827263373107111","0.072988387773857","0.0924642868475652"
"Part-time","2001","66 and older","West Germany","20","","",""
"Part-time","2001","66 and older","East Germany","","","",""
"Non-working","2001","16-34 y.","West Germany","1589","0.31189629562941","0.298735665888057","0.325056925370763"
"Non-working","2001","16-34 y.","East Germany","573","0.353999367722127","0.330115456660273","0.37788327878398"
"Non-working","2001","35-65 y.","West Germany","2838","0.304495953053232","0.295114746121581","0.313877159984884"
"Non-working","2001","35-65 y.","East Germany","1077","0.36834847363294","0.351296903654681","0.385400043611198"
"Non-working","2001","66 and older","West Germany","2513","0.967187014416328","0.960331481703825","0.974042547128832"
"Non-working","2001","66 and older","East Germany","841","0.988137612644792","0.980863532579087","0.995411692710497"
"Other","2001","16-34 y.","West Germany","726","0.154964862070561","0.144684731857396","0.165244992283726"
"Other","2001","16-34 y.","East Germany","265","0.16034302957303","0.142017196685288","0.178668862460772"
"Other","2001","35-65 y.","West Germany","381","0.0393509550325414","0.0353874616377255","0.0433144484273573"
"Other","2001","35-65 y.","East Germany","69","0.0257899061928282","0.0201865613192573","0.0313932510663991"
"Other","2001","66 and older","West Germany","36","0.0162072609035615","0.0113480055331524","0.0210665162739706"
"Other","2001","66 and older","East Germany","6","","",""
"Full-time","2002","16-34 y.","West Germany","1950","0.441339229086813","0.427128314673895","0.455550143499731"
"Full-time","2002","16-34 y.","East Germany","570","0.393254149806584","0.3685014623209","0.418006837292269"
"Full-time","2002","35-65 y.","West Germany","5334","0.505477428532699","0.4958069246376","0.515147932427798"
"Full-time","2002","35-65 y.","East Germany","1679","0.501335550507906","0.483625738428524","0.519045362587287"
"Full-time","2002","66 and older","West Germany","36","0.00839485810911026","0.0049792373978359","0.0118104788203846"
"Full-time","2002","66 and older","East Germany","2","","",""
"Part-time","2002","16-34 y.","West Germany","343","0.0718071383749119","0.0644184969313991","0.0791957798184246"
"Part-time","2002","16-34 y.","East Germany","85","0.0628562478697648","0.0505575359837336","0.075154959755796"
"Part-time","2002","35-65 y.","West Germany","1561","0.141078962079462","0.134345895498391","0.147812028660532"
"Part-time","2002","35-65 y.","East Germany","267","0.0852830899449007","0.0753902652029684","0.0951759146868329"
"Part-time","2002","66 and older","West Germany","36","0.0110203647787279","0.0071120887159927","0.014928640841463"
"Part-time","2002","66 and older","East Germany","2","","",""
"Non-working","2002","16-34 y.","West Germany","1669","0.331861278052695","0.318384897032821","0.345337659072569"
"Non-working","2002","16-34 y.","East Germany","570","0.370473415619702","0.34600150620958","0.394945325029825"
"Non-working","2002","35-65 y.","West Germany","2919","0.306337343837541","0.297421154351312","0.31525353332377"
"Non-working","2002","35-65 y.","East Germany","1057","0.391175683267956","0.373890363514746","0.408461003021166"
"Non-working","2002","66 and older","West Germany","2633","0.968535644569743","0.962000415766367","0.97507087337312"
"Non-working","2002","66 and older","East Germany","889","0.990987591056248","0.984813381161258","0.997161800951238"
"Other","2002","16-34 y.","West Germany","728","0.15499235448558","0.144635040870408","0.165349668100752"
"Other","2002","16-34 y.","East Germany","271","0.173416186703948","0.154230799946961","0.192601573460936"
"Other","2002","35-65 y.","West Germany","454","0.0471062655502987","0.0430083148000487","0.0512042163005487"
"Other","2002","35-65 y.","East Germany","59","0.0222056762792374","0.0169865085285885","0.0274248440298863"
"Other","2002","66 and older","West Germany","36","0.0120491325424185","0.00796463031195975","0.0161336347728772"
"Other","2002","66 and older","East Germany","7","","",""
"Full-time","2003","16-34 y.","West Germany","1773","0.426215150992789","0.411636211401077","0.4407940905845"
"Full-time","2003","16-34 y.","East Germany","521","0.375468297857258","0.350680098108431","0.400256497606085"
"Full-time","2003","35-65 y.","West Germany","4963","0.501045858556389","0.491106935306764","0.510984781806013"
"Full-time","2003","35-65 y.","East Germany","1574","0.481767676393806","0.46384276567414","0.499692587113471"
"Full-time","2003","66 and older","West Germany","37","0.0104738719640613","0.0066915477660537","0.0142561961620689"
"Full-time","2003","66 and older","East Germany","3","","",""
"Part-time","2003","16-34 y.","West Germany","335","0.0791028908719015","0.0711460863470685","0.0870596953967344"
"Part-time","2003","16-34 y.","East Germany","101","0.0687879431734773","0.0558322228895904","0.0817436634573641"
"Part-time","2003","35-65 y.","West Germany","1520","0.140955928367464","0.134038898064035","0.147872958670893"
"Part-time","2003","35-65 y.","East Germany","290","0.0926503337177287","0.0822490543993904","0.103051613036067"
"Part-time","2003","66 and older","West Germany","34","0.00875529150822531","0.00529416690834614","0.0122164161081045"
"Part-time","2003","66 and older","East Germany","2","","",""
"Non-working","2003","16-34 y.","West Germany","1607","0.342369754092039","0.32838111255528","0.356358395628798"
"Non-working","2003","16-34 y.","East Germany","607","0.410890625308658","0.385705611741125","0.436075638876191"
"Non-working","2003","35-65 y.","West Germany","2806","0.31112447269755","0.301921931980772","0.320327013414327"
"Non-working","2003","35-65 y.","East Germany","1042","0.394366339338493","0.376834364231881","0.411898314445106"
"Non-working","2003","66 and older","West Germany","2666","0.962659167566254","0.955615160855113","0.969703174277396"
"Non-working","2003","66 and older","East Germany","908","0.989076414291326","0.982363427246186","0.995789401336467"
"Other","2003","16-34 y.","West Germany","705","0.152312204043271","0.141719123533363","0.16290528455318"
"Other","2003","16-34 y.","East Germany","237","0.144853133660607","0.126836841845776","0.162869425475437"
"Other","2003","35-65 y.","West Germany","433","0.046873740378598","0.0426721829380885","0.0510752978191075"
"Other","2003","35-65 y.","East Germany","79","0.0312156505499722","0.0249772152463549","0.0374540858535895"
"Other","2003","66 and older","West Germany","46","0.0181116689614591","0.0131571468254243","0.023066191097494"
"Other","2003","66 and older","East Germany","8","","",""
"Full-time","2004","16-34 y.","West Germany","1649","0.423326451608635","0.408408694074612","0.438244209142659"
"Full-time","2004","16-34 y.","East Germany","499","0.331074596234086","0.306700509298807","0.355448683169366"
"Full-time","2004","35-65 y.","West Germany","4814","0.502912374536281","0.492812858438619","0.513011890633943"
"Full-time","2004","35-65 y.","East Germany","1530","0.483533156819177","0.465202442573171","0.501863871065183"
"Full-time","2004","66 and older","West Germany","40","0.00952692045606305","0.00595995031366164","0.0130938905984645"
"Full-time","2004","66 and older","East Germany","3","","",""
"Part-time","2004","16-34 y.","West Germany","286","0.0696136685380741","0.061929803173392","0.0772975339027561"
"Part-time","2004","16-34 y.","East Germany","101","0.0688196068267327","0.0557081911245909","0.0819310225288744"
"Part-time","2004","35-65 y.","West Germany","1471","0.139021323553704","0.132032970523752","0.146009676583657"
"Part-time","2004","35-65 y.","East Germany","293","0.105685125631661","0.0944080317548187","0.116962219508503"
"Part-time","2004","66 and older","West Germany","37","0.0102657888723658","0.00656446301077104","0.0139671147339606"
"Part-time","2004","66 and older","East Germany","3","","",""
"Non-working","2004","16-34 y.","West Germany","1601","0.354037175364568","0.339598444496122","0.368475906233015"
"Non-working","2004","16-34 y.","East Germany","593","0.411234580362981","0.385749116495498","0.436720044230465"
"Non-working","2004","35-65 y.","West Germany","2659","0.308074731149986","0.298748727877698","0.317400734422273"
"Non-working","2004","35-65 y.","East Germany","948","0.37564363508231","0.35787928498031","0.393407985184309"
"Non-working","2004","66 and older","West Germany","2713","0.959985977751116","0.952789161477817","0.967182794024415"
"Non-working","2004","66 and older","East Germany","952","0.986674784183875","0.979451502472908","0.993898065894842"
"Other","2004","16-34 y.","West Germany","678","0.153022704488722","0.142153077359728","0.163892331617717"
"Other","2004","16-34 y.","East Germany","239","0.1888712165762","0.168598853426683","0.209143579725716"
"Other","2004","35-65 y.","West Germany","471","0.0499915707600289","0.0455895706450614","0.0543935708749963"
"Other","2004","35-65 y.","East Germany","84","0.0351380824668525","0.0283839955321666","0.0418921694015384"
"Other","2004","66 and older","West Germany","59","0.0202213129204551","0.0150527413387272","0.0253898845021829"
"Other","2004","66 and older","East Germany","10","","",""
"Full-time","2005","16-34 y.","West Germany","1505","0.401761298742256","0.38654941683266","0.416973180651851"
"Full-time","2005","16-34 y.","East Germany","474","0.347720166193007","0.322353074773511","0.373087257612503"
"Full-time","2005","35-65 y.","West Germany","4561","0.506659089195471","0.496279799768781","0.517038378622161"
"Full-time","2005","35-65 y.","East Germany","1429","0.488297491705123","0.469567349956211","0.507027633454036"
"Full-time","2005","66 and older","West Germany","30","0.00971516514402594","0.00611093832833235","0.0133193919597195"
"Full-time","2005","66 and older","East Germany","2","","",""
"Part-time","2005","16-34 y.","West Germany","269","0.072901518528575","0.064834875002818","0.080968162054332"
"Part-time","2005","16-34 y.","East Germany","83","0.0560093832490602","0.0437617268837649","0.0682570396143556"
"Part-time","2005","35-65 y.","West Germany","1395","0.143108645557068","0.135838686684549","0.150378604429587"
"Part-time","2005","35-65 y.","East Germany","302","0.109142055141976","0.0974580877334404","0.120826022550511"
"Part-time","2005","66 and older","West Germany","40","0.0113044708987695","0.00741971834479899","0.0151892234527399"
"Part-time","2005","66 and older","East Germany","7","","",""
"Non-working","2005","16-34 y.","West Germany","1554","0.363643275442769","0.348717058740034","0.378569492145505"
"Non-working","2005","16-34 y.","East Germany","591","0.444630858324702","0.418162352135859","0.471099364513546"
"Non-working","2005","35-65 y.","West Germany","2460","0.291239670386403","0.281807511587019","0.300671829185788"
"Non-working","2005","35-65 y.","East Germany","921","0.374033926510881","0.355902960634555","0.392164892387207"
"Non-working","2005","66 and older","West Germany","2729","0.962901595053764","0.955956542643866","0.969846647463662"
"Non-working","2005","66 and older","East Germany","952","0.980881640767305","0.972281566050435","0.989481715484176"
"Other","2005","16-34 y.","West Germany","662","0.1616939072864","0.150270128561938","0.173117686010861"
"Other","2005","16-34 y.","East Germany","206","0.15163959223323","0.132535110576682","0.170744073889779"
"Other","2005","35-65 y.","West Germany","497","0.0589925948610571","0.0541012148091804","0.0638839749129338"
"Other","2005","35-65 y.","East Germany","84","0.0285265266420195","0.0222887479063958","0.0347643053776432"
"Other","2005","66 and older","West Germany","46","0.0160787689034408","0.0114569436818724","0.0207005941250093"
"Other","2005","66 and older","East Germany","13","","",""
"Full-time","2006","16-34 y.","West Germany","1493","0.390335235079377","0.375340844130094","0.40532962602866"
"Full-time","2006","16-34 y.","East Germany","453","0.346211210814967","0.321137056229459","0.371285365400475"
"Full-time","2006","35-65 y.","West Germany","4833","0.510108045584739","0.500093575207101","0.520122515962377"
"Full-time","2006","35-65 y.","East Germany","1496","0.489884549231212","0.471586054950128","0.508183043512296"
"Full-time","2006","66 and older","West Germany","51","0.0144615634248918","0.0104182731249263","0.0185048537248573"
"Full-time","2006","66 and older","East Germany","4","","",""
"Part-time","2006","16-34 y.","West Germany","281","0.0738408451085618","0.0658027054948959","0.0818789847222277"
"Part-time","2006","16-34 y.","East Germany","85","0.0523090763060408","0.0405747303744468","0.0640434222376347"
"Part-time","2006","35-65 y.","West Germany","1561","0.142481445244972","0.135479033161602","0.149483857328343"
"Part-time","2006","35-65 y.","East Germany","333","0.106247511290583","0.0949676889457342","0.117527333635433"
"Part-time","2006","66 and older","West Germany","48","0.0145494251247941","0.0104940516354773","0.0186047986141108"
"Part-time","2006","66 and older","East Germany","4","","",""
"Non-working","2006","16-34 y.","West Germany","1577","0.361824893003812","0.347054788946746","0.376594997060877"
"Non-working","2006","16-34 y.","East Germany","589","0.430067513615049","0.403974933455715","0.456160093774384"
"Non-working","2006","35-65 y.","West Germany","2644","0.289059380722543","0.27997789417226","0.298140867272825"
"Non-working","2006","35-65 y.","East Germany","923","0.352746048145859","0.33525552987769","0.370236566414029"
"Non-working","2006","66 and older","West Germany","3180","0.954870622146231","0.947840021068026","0.961901223224436"
"Non-working","2006","66 and older","East Germany","1124","0.984973065740004","0.977920090707423","0.992026040772585"
"Other","2006","16-34 y.","West Germany","715","0.173999026808249","0.162346285827272","0.185651767789227"
"Other","2006","16-34 y.","East Germany","256","0.171412199263943","0.151550009266021","0.191274389261864"
"Other","2006","35-65 y.","West Germany","534","0.0583511284477458","0.0536552605521071","0.0630469963433845"
"Other","2006","35-65 y.","East Germany","115","0.0511218913323454","0.0430598890903977","0.0591838935742931"
"Other","2006","66 and older","West Germany","70","0.016118389304083","0.0118533527326994","0.0203834258754665"
"Other","2006","66 and older","East Germany","11","","",""
"Full-time","2007","16-34 y.","West Germany","1399","0.400292136948911","0.384635549914081","0.415948723983741"
"Full-time","2007","16-34 y.","East Germany","449","0.369090778201194","0.342939419726056","0.395242136676331"
"Full-time","2007","35-65 y.","West Germany","4540","0.516120306688763","0.505693303340586","0.52654731003694"
"Full-time","2007","35-65 y.","East Germany","1446","0.514612506701539","0.495637412367111","0.533587601035968"
"Full-time","2007","66 and older","West Germany","48","0.0121262430391818","0.00837144247572695","0.0158810436026366"
"Full-time","2007","66 and older","East Germany","4","","",""
"Part-time","2007","16-34 y.","West Germany","292","0.0781446208735865","0.0695679323796429","0.0867213093675301"
"Part-time","2007","16-34 y.","East Germany","103","0.0757962921832786","0.0614528940659226","0.0901396903006346"
"Part-time","2007","35-65 y.","West Germany","1523","0.155240183167302","0.1476843208047","0.162796045529903"
"Part-time","2007","35-65 y.","East Germany","325","0.117844181360428","0.105602918951494","0.130085443769362"
"Part-time","2007","66 and older","West Germany","45","0.014385626383313","0.0103006371278315","0.0184706156387944"
"Part-time","2007","66 and older","East Germany","6","","",""
"Non-working","2007","16-34 y.","West Germany","1417","0.347255049086382","0.332041352854818","0.362468745317947"
"Non-working","2007","16-34 y.","East Germany","524","0.390468414774518","0.364030007938049","0.416906821610987"
"Non-working","2007","35-65 y.","West Germany","2258","0.269947297917465","0.260684718599014","0.279209877235916"
"Non-working","2007","35-65 y.","East Germany","801","0.327917951301761","0.310094441548088","0.345741461055434"
"Non-working","2007","66 and older","West Germany","3107","0.953810726788297","0.9466100273849","0.961011426191693"
"Non-working","2007","66 and older","East Germany","1116","0.983086243339587","0.975604184532793","0.990568302146381"
"Other","2007","16-34 y.","West Germany","654","0.17430819309112","0.162185291395102","0.186431094787138"
"Other","2007","16-34 y.","East Germany","232","0.164644514841009","0.144546483612681","0.184742546069338"
"Other","2007","35-65 y.","West Germany","503","0.0586922122264701","0.0537879757089554","0.0635964487439849"
"Other","2007","35-65 y.","East Germany","93","0.0396253606362714","0.0322189729770023","0.0470317482955405"
"Other","2007","66 and older","West Germany","64","0.0196774037892087","0.0149126394976196","0.0244421680807977"
"Other","2007","66 and older","East Germany","15","","",""
"Full-time","2008","16-34 y.","West Germany","1327","0.412029616956995","0.395607938133309","0.42845129578068"
"Full-time","2008","16-34 y.","East Germany","449","0.393465093744302","0.365603616012199","0.421326571476406"
"Full-time","2008","35-65 y.","West Germany","4273","0.52903202067433","0.518213666185838","0.539850375162822"
"Full-time","2008","35-65 y.","East Germany","1427","0.553257513082798","0.533831438065824","0.572683588099773"
"Full-time","2008","66 and older","West Germany","48","0.0125064908226487","0.00867043044904598","0.0163425511962515"
"Full-time","2008","66 and older","East Germany","4","","",""
"Part-time","2008","16-34 y.","West Germany","257","0.0732579232700026","0.0645646695766831","0.0819511769633221"
"Part-time","2008","16-34 y.","East Germany","79","0.0686240254632716","0.054205403590272","0.0830426473362712"
"Part-time","2008","35-65 y.","West Germany","1447","0.158651900883208","0.150733544635457","0.16657025713096"
"Part-time","2008","35-65 y.","East Germany","296","0.110317750102163","0.0980762981129384","0.122559202091388"
"Part-time","2008","66 and older","West Germany","46","0.0117343741295919","0.00801716166470849","0.0154515865944754"
"Part-time","2008","66 and older","East Germany","6","","",""
"Non-working","2008","16-34 y.","West Germany","1220","0.329415544200123","0.313734521023035","0.345096567377211"
"Non-working","2008","16-34 y.","East Germany","452","0.378833449381234","0.351167133448123","0.406499765314345"
"Non-working","2008","35-65 y.","West Germany","1974","0.248158942946763","0.23879729031657","0.257520595576955"
"Non-working","2008","35-65 y.","East Germany","697","0.292816497034566","0.275035479773317","0.310597514295815"
"Non-working","2008","66 and older","West Germany","3052","0.950130879980464","0.942617105715785","0.957644654245143"
"Non-working","2008","66 and older","East Germany","1109","0.978505291635324","0.970071821852673","0.986938761417975"
"Other","2008","16-34 y.","West Germany","647","0.18529691557288","0.172333800187492","0.198260030958267"
"Other","2008","16-34 y.","East Germany","201","0.159077431411192","0.138217857585895","0.179937005236489"
"Other","2008","35-65 y.","West Germany","484","0.0641571354956989","0.0588464756258067","0.0694677953655911"
"Other","2008","35-65 y.","East Germany","96","0.0436082397804727","0.0356283854406417","0.0515880941203036"
"Other","2008","66 and older","West Germany","78","0.025628255067295","0.020173535422479","0.031082974712111"
"Other","2008","66 and older","East Germany","17","","",""
"Full-time","2009","16-34 y.","West Germany","1198","0.406744338880766","0.389646875819436","0.423841801942097"
"Full-time","2009","16-34 y.","East Germany","399","0.391439614269582","0.362195368246724","0.420683860292439"
"Full-time","2009","35-65 y.","West Germany","3969","0.536874376568115","0.525594596640626","0.548154156495604"
"Full-time","2009","35-65 y.","East Germany","1362","0.549342072466851","0.529410986774641","0.569273158159061"
"Full-time","2009","66 and older","West Germany","53","0.0126766031044435","0.00873266809825204","0.016620538110635"
"Full-time","2009","66 and older","East Germany","7","","",""
"Part-time","2009","16-34 y.","West Germany","235","0.0802949970088765","0.0708365793454432","0.0897534146723098"
"Part-time","2009","16-34 y.","East Germany","80","0.0586885946905954","0.0446054475190246","0.0727717418621663"
"Part-time","2009","35-65 y.","West Germany","1306","0.150869526317492","0.142772923038005","0.158966129596978"
"Part-time","2009","35-65 y.","East Germany","313","0.132009719566402","0.118450134398219","0.145569304734586"
"Part-time","2009","66 and older","West Germany","53","0.0153161849150639","0.0109868389855257","0.0196455308446021"
"Part-time","2009","66 and older","East Germany","7","","",""
"Non-working","2009","16-34 y.","West Germany","1130","0.326444608187354","0.310123810607513","0.342765405767196"
"Non-working","2009","16-34 y.","East Germany","409","0.36401986460444","0.335190138295619","0.392849590913261"
"Non-working","2009","35-65 y.","West Germany","1786","0.249832376785964","0.240039317107583","0.259625436464345"
"Non-working","2009","35-65 y.","East Germany","633","0.277599009978889","0.259660591937905","0.295537428019873"
"Non-working","2009","66 and older","West Germany","2889","0.939831456419589","0.93144828538955","0.948214627449628"
"Non-working","2009","66 and older","East Germany","1101","0.977946767112839","0.969376639659097","0.98651689456658"
"Other","2009","16-34 y.","West Germany","608","0.186516055923003","0.172958463478085","0.200073648367921"
"Other","2009","16-34 y.","East Germany","182","0.185851926435383","0.162544654916659","0.209159197954106"
"Other","2009","35-65 y.","West Germany","446","0.0624237203284292","0.0569511290644163","0.0678963115924422"
"Other","2009","35-65 y.","East Germany","86","0.0410491979878572","0.0331015885005913","0.048996807475123"
"Other","2009","66 and older","West Germany","96","0.0321757555609033","0.0259547410545338","0.0383967700672728"
"Other","2009","66 and older","East Germany","13","","",""
"Full-time","2010","16-34 y.","West Germany","1680","0.395336099842224","0.382243450842394","0.408428748842054"
"Full-time","2010","16-34 y.","East Germany","564","0.392742196241051","0.368752933901123","0.416731458580978"
"Full-time","2010","35-65 y.","West Germany","5152","0.533292412654094","0.523764499303433","0.542820326004755"
"Full-time","2010","35-65 y.","East Germany","1570","0.563867645524147","0.545734296579757","0.582000994468537"
"Full-time","2010","66 and older","West Germany","52","0.0137161641243059","0.0095576024456775","0.0178747258029343"
"Full-time","2010","66 and older","East Germany","5","","",""
"Part-time","2010","16-34 y.","West Germany","437","0.0693557114895429","0.0625524017843388","0.0761590211947471"
"Part-time","2010","16-34 y.","East Germany","132","0.0768431671335591","0.0637598782249021","0.0899264560422161"
"Part-time","2010","35-65 y.","West Germany","2008","0.160979605270784","0.153960781249863","0.167998429291705"
"Part-time","2010","35-65 y.","East Germany","423","0.139135175628499","0.126480056737332","0.151790294519667"
"Part-time","2010","66 and older","West Germany","47","0.0139178156498155","0.00972922471070004","0.018106406588931"
"Part-time","2010","66 and older","East Germany","7","","",""
"Non-working","2010","16-34 y.","West Germany","2358","0.340045358216073","0.327359707858393","0.352731008573753"
"Non-working","2010","16-34 y.","East Germany","685","0.376836981897055","0.35303275102409","0.400641212770019"
"Non-working","2010","35-65 y.","West Germany","2635","0.237824213801161","0.229693133045533","0.24595529455679"
"Non-working","2010","35-65 y.","East Germany","730","0.248527457842972","0.232725022389072","0.264329893296872"
"Non-working","2010","66 and older","West Germany","2816","0.946804907262353","0.938780889375501","0.954828925149205"
"Non-working","2010","66 and older","East Germany","1049","0.977266012792042","0.968339176737038","0.986192848847046"
"Other","2010","16-34 y.","West Germany","882","0.19526283045216","0.184647730481525","0.205877930422796"
"Other","2010","16-34 y.","East Germany","211","0.153577654728335","0.135867019637149","0.171288289819521"
"Other","2010","35-65 y.","West Germany","737","0.0679037682739613","0.0630990272974912","0.0727085092504314"
"Other","2010","35-65 y.","East Germany","150","0.048469721004382","0.0406168792787558","0.0563225627300083"
"Other","2010","66 and older","West Germany","90","0.0255611129635252","0.0199183340312581","0.0312038918957924"
"Other","2010","66 and older","East Germany","10","","",""
"Full-time","2011","16-34 y.","West Germany","1800","0.414581016496478","0.401788290794911","0.427373742198045"
"Full-time","2011","16-34 y.","East Germany","605","0.432190777491995","0.40828818058401","0.456093374399981"
"Full-time","2011","35-65 y.","West Germany","6463","0.547701793008093","0.539140057585203","0.556263528430982"
"Full-time","2011","35-65 y.","East Germany","1904","0.574076383780382","0.557626172304475","0.590526595256289"
"Full-time","2011","66 and older","West Germany","51","0.0109422412257319","0.00768560666886299","0.0141988757826008"
"Full-time","2011","66 and older","East Germany","5","","",""
"Part-time","2011","16-34 y.","West Germany","580","0.0765203260939907","0.0696174980027127","0.0834231541852687"
"Part-time","2011","16-34 y.","East Germany","167","0.071256515214931","0.058843814083677","0.0836692163461849"
"Part-time","2011","35-65 y.","West Germany","2609","0.162219797639134","0.155878264549245","0.168561330729022"
"Part-time","2011","35-65 y.","East Germany","516","0.127839857772562","0.116731444176295","0.138948271368828"
"Part-time","2011","66 and older","West Germany","65","0.0135346799537071","0.00991750126186852","0.0171518586455457"
"Part-time","2011","66 and older","East Germany","4","","",""
"Non-working","2011","16-34 y.","West Germany","2336","0.335877112745715","0.323612907482858","0.348141318008573"
"Non-working","2011","16-34 y.","East Germany","660","0.344698415053851","0.321766180700708","0.367630649406994"
"Non-working","2011","35-65 y.","West Germany","3066","0.229971465385604","0.222732647106655","0.237210283664554"
"Non-working","2011","35-65 y.","East Germany","884","0.247018837389407","0.232671283103362","0.261366391675452"
"Non-working","2011","66 and older","West Germany","3717","0.951756534829982","0.945048624656032","0.958464445003931"
"Non-working","2011","66 and older","East Germany","1270","0.981597078629514","0.974268380252494","0.988925777006535"
"Other","2011","16-34 y.","West Germany","981","0.173021544663816","0.163199041634728","0.182844047692904"
"Other","2011","16-34 y.","East Germany","218","0.151854292239223","0.134538000693791","0.169170583784655"
"Other","2011","35-65 y.","West Germany","844","0.0601069439671693","0.0560183043454856","0.0641955835888531"
"Other","2011","35-65 y.","East Germany","167","0.0510649210576495","0.0437417299575457","0.0583881121577534"
"Other","2011","66 and older","West Germany","87","0.0237665439905794","0.0189982292088433","0.0285348587723156"
"Other","2011","66 and older","East Germany","13","","",""
"Full-time","2012","16-34 y.","West Germany","1720","0.418458470814494","0.40529748470135","0.431619456927638"
