"erwst","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Other","1986","(2b) intermediate general qualification","Male","64","0.364504662046741","0.293600915158553","0.435408408934929"
"Other","1986","(2b) intermediate general qualification","Female","64","0.18865738916688","0.143550983417392","0.233763794916368"
"Other","1986","(2a) intermediate vocational","Male","","","",""
"Other","1986","(2a) intermediate vocational","Female","33","0.037676376301043","0.0240307828304042","0.0513219697716817"
"Other","1986","(2c_gen) general maturity certificate","Male","35","0.175370918758507","0.126541872415105","0.22419996510191"
"Other","1986","(2c_gen) general maturity certificate","Female","35","0.248223423848018","0.183665486901711","0.312781360794326"
"Other","1986","(2c_voc) vocational maturity certificate","Male","","","",""
"Other","1986","(2c_voc) vocational maturity certificate","Female","","","",""
"Other","1986","(3a) lower tertiary education","Male","","","",""
"Other","1986","(3a) lower tertiary education","Female","","","",""
"Other","1986","(3b) higher tertiary education","Male","","","",""
"Other","1986","(3b) higher tertiary education","Female","","","",""
"Full-time","1987","(0) in school","Male","","","",""
"Full-time","1987","(0) in school","Female","","","",""
"Full-time","1987","(1a) inadequately completed","Male","266","0.672720913686261","0.62431804722075","0.721123780151771"
"Full-time","1987","(1a) inadequately completed","Female","151","0.270941300348976","0.23041416032036","0.311468440377592"
"Full-time","1987","(1b) general elementary school","Male","522","0.541948480183674","0.508453880335117","0.575443080032232"
"Full-time","1987","(1b) general elementary school","Female","327","0.142556760314312","0.125447055853624","0.159666464774999"
"Full-time","1987","(1c) basic vocational qualification","Male","1595","0.688318788869847","0.668583641081159","0.708053936658534"
"Full-time","1987","(1c) basic vocational qualification","Female","407","0.235648126968316","0.213989508846667","0.257306745089965"
"Full-time","1987","(2b) intermediate general qualification","Male","","","",""
"Full-time","1987","(2b) intermediate general qualification","Female","52","0.205906894182454","0.156850119196608","0.254963669168299"
"Full-time","1987","(2a) intermediate vocational","Male","442","0.733481793430172","0.697343113980881","0.769620472879463"
"Full-time","1987","(2a) intermediate vocational","Female","289","0.368342087325827","0.333981008238337","0.402703166413317"
"Full-time","1987","(2c_gen) general maturity certificate","Male","52","0.150455955405901","0.104150944464907","0.196760966346894"
"Full-time","1987","(2c_gen) general maturity certificate","Female","","","",""
"Full-time","1987","(2c_voc) vocational maturity certificate","Male","150","0.554439376926137","0.490205430123404","0.61867332372887"
"Full-time","1987","(2c_voc) vocational maturity certificate","Female","81","0.458594510527898","0.384979308129728","0.532209712926069"
"Full-time","1987","(3a) lower tertiary education","Male","132","0.702673151673377","0.63514490079027","0.770201402556485"
"Full-time","1987","(3a) lower tertiary education","Female","","","",""
"Full-time","1987","(3b) higher tertiary education","Male","275","0.828048761103557","0.786705596899833","0.86939192530728"
"Full-time","1987","(3b) higher tertiary education","Female","80","0.44978737516008","0.37608220164539","0.523492548674771"
"Part-time","1987","(0) in school","Male","","","",""
"Part-time","1987","(0) in school","Female","","","",""
"Part-time","1987","(1a) inadequately completed","Male","","","",""
"Part-time","1987","(1a) inadequately completed","Female","34","0.0608564868390937","0.0390569872935534","0.0826559863846339"
"Part-time","1987","(1b) general elementary school","Male","","","",""
"Part-time","1987","(1b) general elementary school","Female","167","0.0997858250339056","0.0851184208833955","0.114453229184416"
"Part-time","1987","(1c) basic vocational qualification","Male","","","",""
"Part-time","1987","(1c) basic vocational qualification","Female","230","0.144178682010133","0.12625223768744","0.162105126332826"
"Part-time","1987","(2b) intermediate general qualification","Male","","","",""
"Part-time","1987","(2b) intermediate general qualification","Female","","","",""
"Part-time","1987","(2a) intermediate vocational","Male","","","",""
"Part-time","1987","(2a) intermediate vocational","Female","119","0.136256334464995","0.111818037397588","0.160694631532402"
"Part-time","1987","(2c_gen) general maturity certificate","Male","","","",""
"Part-time","1987","(2c_gen) general maturity certificate","Female","","","",""
"Part-time","1987","(2c_voc) vocational maturity certificate","Male","","","",""
"Part-time","1987","(2c_voc) vocational maturity certificate","Female","","","",""
"Part-time","1987","(3a) lower tertiary education","Male","","","",""
"Part-time","1987","(3a) lower tertiary education","Female","","","",""
"Part-time","1987","(3b) higher tertiary education","Male","","","",""
"Part-time","1987","(3b) higher tertiary education","Female","32","0.162220133417791","0.107600799021649","0.216839467813934"
"Non-working","1987","(0) in school","Male","97","0.915287354222813","0.86124915610739","0.969325552338236"
"Non-working","1987","(0) in school","Female","85","0.944351798693918","0.896990968354985","0.991712629032852"
"Non-working","1987","(1a) inadequately completed","Male","90","0.310661975125366","0.262925026264382","0.35839892398635"
"Non-working","1987","(1a) inadequately completed","Female","262","0.629152297887482","0.585106671260017","0.673197924514946"
"Non-working","1987","(1b) general elementary school","Male","216","0.326939074368152","0.295403609908447","0.358474538827857"
"Non-working","1987","(1b) general elementary school","Female","1022","0.710968806449031","0.688784618271018","0.733152994627044"
"Non-working","1987","(1c) basic vocational qualification","Male","485","0.296813235900163","0.277347660992559","0.316278810807767"
