"erwst","year","e11102","migback","n","percent","lower_confidence","upper_confidence"
"Other","1998","Not Employed","no migration background","38","0.00788934880688453","0.00521912953857253","0.0105595680751965"
"Other","1998","Not Employed","direct migration background","9","","",""
"Other","1998","Not Employed","indirect migration background","6","","",""
"Other","1998","Employed","no migration background","572","0.0717875626073986","0.0657768431343955","0.0777982820804018"
"Other","1998","Employed","direct migration background","76","0.0560592677921107","0.0440394712568331","0.0680790643273883"
"Other","1998","Employed","indirect migration background","100","0.247718571842611","0.205200853365659","0.290236290319562"
"Full-time","1999","Not Employed","no migration background","36","0.00848401634577215","0.00559176291407639","0.0113762697774679"
"Full-time","1999","Not Employed","direct migration background","8","","",""
"Full-time","1999","Not Employed","indirect migration background","9","","",""
"Full-time","1999","Employed","no migration background","4843","0.67963388803359","0.668757137138514","0.690510638928666"
"Full-time","1999","Employed","direct migration background","933","0.69882469634242","0.673991046921156","0.723658345763683"
"Full-time","1999","Employed","indirect migration background","232","0.540990356674542","0.49327625559359","0.588704457755493"
"Part-time","1999","Not Employed","no migration background","22","","",""
"Part-time","1999","Not Employed","direct migration background","5","","",""
"Part-time","1999","Not Employed","indirect migration background","2","","",""
"Part-time","1999","Employed","no migration background","914","0.133303448902558","0.125380394987584","0.141226502817532"
"Part-time","1999","Employed","direct migration background","149","0.119558518638412","0.101995981493759","0.137121055783065"
"Part-time","1999","Employed","indirect migration background","29","","",""
"Non-working","1999","Not Employed","no migration background","3753","0.977439282953907","0.972756467090537","0.982122098817276"
"Non-working","1999","Not Employed","direct migration background","889","0.977771441339638","0.968203356939309","0.987339525739967"
"Non-working","1999","Not Employed","indirect migration background","181","0.949166500611433","0.918176924103736","0.98015607711913"
"Non-working","1999","Employed","no migration background","664","0.0962345684823299","0.0893602159707843","0.103108920993876"
"Non-working","1999","Employed","direct migration background","142","0.102148695214836","0.0857554337386629","0.11854195669101"
"Non-working","1999","Employed","indirect migration background","50","0.104696204287746","0.0753810785825452","0.134011329992947"
"Other","1999","Not Employed","no migration background","52","0.0097113001642683","0.00661883128717486","0.0128037690413617"
"Other","1999","Not Employed","direct migration background","10","","",""
"Other","1999","Not Employed","indirect migration background","1","","",""
"Other","1999","Employed","no migration background","649","0.0908280945815224","0.0841296882395395","0.0975265009235052"
"Other","1999","Employed","direct migration background","87","0.0794680898043323","0.064827365720945","0.0941088138877196"
"Other","1999","Employed","indirect migration background","108","0.272766986079736","0.230121430654777","0.315412541504696"
"Full-time","2000","Not Employed","no migration background","67","0.00788182115956696","0.0058744889236738","0.00988915339546012"
"Full-time","2000","Not Employed","direct migration background","19","","",""
"Full-time","2000","Not Employed","indirect migration background","2","","",""
"Full-time","2000","Employed","no migration background","8345","0.66784148071543","0.659628760123302","0.676054201307558"
"Full-time","2000","Employed","direct migration background","1341","0.668098539964075","0.647341300328822","0.688855779599327"
"Full-time","2000","Employed","indirect migration background","311","0.521902085213336","0.48138906616089","0.562415104265782"
"Part-time","2000","Not Employed","no migration background","53","0.00641828946877227","0.00460554866121381","0.00823103027633073"
"Part-time","2000","Not Employed","direct migration background","14","","",""
"Part-time","2000","Not Employed","indirect migration background","1","","",""
"Part-time","2000","Employed","no migration background","1846","0.145234639424435","0.13909085148341","0.151378427365461"
"Part-time","2000","Employed","direct migration background","276","0.148314278250458","0.132647636195868","0.163980920305049"
"Part-time","2000","Employed","indirect migration background","50","0.099434604473381","0.075164699814054","0.123704509132708"
"Non-working","2000","Not Employed","no migration background","7253","0.975537145425516","0.972030436334747","0.979043854516286"
"Non-working","2000","Not Employed","direct migration background","1317","0.955789649734961","0.944892649175346","0.966686650294577"
"Non-working","2000","Not Employed","indirect migration background","233","0.943840151800684","0.915128260487496","0.972552043113873"
"Non-working","2000","Employed","no migration background","1300","0.0985860182623562","0.0933878843549713","0.103784152169741"
"Non-working","2000","Employed","direct migration background","218","0.107149255009352","0.0935150830577739","0.120783426960931"
"Non-working","2000","Employed","indirect migration background","100","0.165640359103822","0.135489381826077","0.195791336381566"
"Other","2000","Not Employed","no migration background","82","0.0101627439461446","0.00788601328197088","0.0124394746103184"
"Other","2000","Not Employed","direct migration background","17","","",""
"Other","2000","Not Employed","indirect migration background","11","","",""
"Other","2000","Employed","no migration background","1143","0.0883378615977781","0.083389424487758","0.0932862987077982"
"Other","2000","Employed","direct migration background","142","0.0764379267761146","0.0647258947589678","0.0881499587932613"
"Other","2000","Employed","indirect migration background","123","0.213022951209461","0.179815472762029","0.246230429656893"
"Full-time","2001","Not Employed","no migration background","51","0.00653181744880702","0.00461095055648419","0.00845268434112985"
"Full-time","2001","Not Employed","direct migration background","12","","",""
"Full-time","2001","Not Employed","indirect migration background","5","","",""
"Full-time","2001","Employed","no migration background","7525","0.654103487729322","0.645441922190837","0.662765053267807"
"Full-time","2001","Employed","direct migration background","1193","0.632225518129978","0.609918440881376","0.654532595378579"
"Full-time","2001","Employed","indirect migration background","296","0.553567834347","0.511793282090658","0.595342386603342"
"Part-time","2001","Not Employed","no migration background","46","0.00602731313533621","0.00418165027419498","0.00787297599647745"
"Part-time","2001","Not Employed","direct migration background","8","","",""
"Part-time","2001","Not Employed","indirect migration background","2","","",""
"Part-time","2001","Employed","no migration background","1721","0.147120026961166","0.140669726749307","0.153570327173024"
"Part-time","2001","Employed","direct migration background","253","0.14640942765488","0.130055382561734","0.162763472748026"
"Part-time","2001","Employed","indirect migration background","37","0.0690043413215963","0.0477052695776701","0.0903034130655225"
"Non-working","2001","Not Employed","no migration background","6573","0.977768751342453","0.974253120422319","0.981284382262586"
"Non-working","2001","Not Employed","direct migration background","1118","0.966887862299134","0.956546426627813","0.977229297970456"
"Non-working","2001","Not Employed","indirect migration background","219","0.927408020213895","0.894092248720695","0.960723791707095"
"Non-working","2001","Employed","no migration background","1230","0.106072498338449","0.100465213470405","0.111679783206493"
"Non-working","2001","Employed","direct migration background","200","0.128855269564144","0.113355968529159","0.14435457059913"
"Non-working","2001","Employed","indirect migration background","91","0.152840757986973","0.122602918373406","0.18307859760054"
"Other","2001","Not Employed","no migration background","86","0.0096721180734043","0.00733837217011604","0.0120058639766926"
"Other","2001","Not Employed","direct migration background","12","","",""
"Other","2001","Not Employed","indirect migration background","7","","",""
"Other","2001","Employed","no migration background","1109","0.0927039869710631","0.0874228944095147","0.0979850795326115"
"Other","2001","Employed","direct migration background","149","0.0925097846509984","0.0791059002061395","0.105913669095857"
"Other","2001","Employed","indirect migration background","120","0.224587066344431","0.189519346154314","0.259654786534548"
"Full-time","2002","Not Employed","no migration background","49","0.00720662273744594","0.00521929267461819","0.00919395280027368"
"Full-time","2002","Not Employed","direct migration background","8","","",""
"Full-time","2002","Not Employed","indirect migration background","5","","",""
"Full-time","2002","Employed","no migration background","8093","0.637303318637562","0.628906570483723","0.645700066791401"
"Full-time","2002","Employed","direct migration background","1120","0.629025596580727","0.606123080784231","0.651928112377222"
"Full-time","2002","Employed","indirect migration background","296","0.523705839932911","0.481775230311154","0.565636449554669"
"Part-time","2002","Not Employed","no migration background","38","0.00377435602755913","0.00233365136027096","0.00521506069484729"
"Part-time","2002","Not Employed","direct migration background","4","","",""
"Part-time","2002","Not Employed","indirect migration background","3","","",""
"Part-time","2002","Employed","no migration background","1957","0.150076202726542","0.143838679763304","0.15631372568978"
"Part-time","2002","Employed","direct migration background","239","0.142041102112075","0.125490365869704","0.158591838354447"
"Part-time","2002","Employed","indirect migration background","53","0.101249009107169","0.075923107120389","0.126574911093948"
"Non-working","2002","Not Employed","no migration background","6792","0.978655930183242","0.975260238075821","0.982051622290663"
"Non-working","2002","Not Employed","direct migration background","1084","0.970947147120072","0.961071097824796","0.980823196415348"
"Non-working","2002","Not Employed","indirect migration background","222","0.944083846872152","0.914955015136755","0.973212678607548"
"Non-working","2002","Employed","no migration background","1353","0.117323694218242","0.111703389719514","0.12294399871697"
"Non-working","2002","Employed","direct migration background","201","0.122400230403035","0.106861467947228","0.137938992858841"
"Non-working","2002","Employed","indirect migration background","85","0.146560774740085","0.116868394341748","0.176253155138422"
"Other","2002","Not Employed","no migration background","80","0.0103630910517527","0.00798374685477519","0.0127424352487303"
"Other","2002","Not Employed","direct migration background","15","","",""
"Other","2002","Not Employed","indirect migration background","9","","",""
"Other","2002","Employed","no migration background","1191","0.0952967844176537","0.0901686613771659","0.100424907458142"
"Other","2002","Employed","direct migration background","149","0.106533070904163","0.0919059610273962","0.12116018078093"
"Other","2002","Employed","indirect migration background","111","0.228484376219835","0.193235079488028","0.263733672951642"
"Full-time","2003","Not Employed","no migration background","35","0.00412069797102548","0.00260929308326785","0.00563210285878312"
"Full-time","2003","Not Employed","direct migration background","3","","",""
"Full-time","2003","Not Employed","indirect migration background","2","","",""
"Full-time","2003","Employed","no migration background","7542","0.635745623670422","0.627121630088913","0.644369617251931"
"Full-time","2003","Employed","direct migration background","997","0.608491036664052","0.584401403219648","0.632580670108456"
"Full-time","2003","Employed","indirect migration background","292","0.537895707183413","0.495845295523132","0.579946118843694"
"Part-time","2003","Not Employed","no migration background","28","","",""
"Part-time","2003","Not Employed","direct migration background","3","","",""
"Part-time","2003","Not Employed","indirect migration background","4","","",""
"Part-time","2003","Employed","no migration background","1932","0.153222942127316","0.146767726022968","0.159678158231665"
"Part-time","2003","Employed","direct migration background","255","0.167492027109002","0.149062104376714","0.185921949841291"
"Part-time","2003","Employed","indirect migration background","60","0.0992799649680472","0.0740581154486521","0.124501814487442"
"Non-working","2003","Not Employed","no migration background","6749","0.981636261525613","0.978468533234611","0.984803989816616"
"Non-working","2003","Not Employed","direct migration background","1049","0.976343641488267","0.96722903837554","0.985458244600993"
"Non-working","2003","Not Employed","indirect migration background","236","0.931567677204892","0.900269724273392","0.962865630136392"
"Non-working","2003","Employed","no migration background","1330","0.114365480489476","0.108662011386961","0.120068949591991"
"Non-working","2003","Employed","direct migration background","199","0.133801758720382","0.11699933996541","0.150604177475354"
"Non-working","2003","Employed","indirect migration background","73","0.13289626844587","0.104264832340837","0.161527704550903"
"Other","2003","Not Employed","no migration background","89","0.0106462795847187","0.0082248780881411","0.0130676810812963"
"Other","2003","Not Employed","direct migration background","13","","",""
"Other","2003","Not Employed","indirect migration background","8","","",""
"Other","2003","Employed","no migration background","1157","0.0966659537127852","0.091370230168123","0.101961677257447"
"Other","2003","Employed","direct migration background","126","0.0902151775065634","0.0760754385392808","0.104354916473846"
"Other","2003","Employed","indirect migration background","115","0.22992805940267","0.194437499766681","0.265418619038659"
"Full-time","2004","Not Employed","no migration background","35","0.0041775342258473","0.00265379666074666","0.00570127179094794"
"Full-time","2004","Not Employed","direct migration background","9","","",""
"Full-time","2004","Not Employed","indirect migration background","2","","",""
"Full-time","2004","Employed","no migration background","7267","0.632130345600359","0.623311838228881","0.640948852971836"
"Full-time","2004","Employed","direct migration background","945","0.626319325447877","0.601630506994958","0.651008143900796"
"Full-time","2004","Employed","indirect migration background","277","0.473875368722203","0.432107885803659","0.515642851640746"
"Part-time","2004","Not Employed","no migration background","26","","",""
"Part-time","2004","Not Employed","direct migration background","5","","",""
"Part-time","2004","Not Employed","indirect migration background","2","","",""
"Part-time","2004","Employed","no migration background","1864","0.152416437321357","0.145843614184373","0.158989260458341"
"Part-time","2004","Employed","direct migration background","228","0.148788024133176","0.130626389617649","0.166949658648703"
"Part-time","2004","Employed","indirect migration background","66","0.13088079341398","0.102668424637605","0.159093162190356"
"Non-working","2004","Not Employed","no migration background","6734","0.982404248828721","0.979298200361799","0.985510297295643"
"Non-working","2004","Not Employed","direct migration background","1053","0.972588628923812","0.962837156147888","0.982340101699737"
"Non-working","2004","Not Employed","indirect migration background","254","0.956670382626414","0.93201731103903","0.981323454213799"
"Non-working","2004","Employed","no migration background","1160","0.110140468471319","0.104415422629856","0.115865514312781"
"Non-working","2004","Employed","direct migration background","183","0.140380605519114","0.122652646495338","0.158108564542889"
"Non-working","2004","Employed","indirect migration background","82","0.132096951613516","0.103773646980266","0.160420256246765"
"Other","2004","Not Employed","no migration background","88","0.0109870313320748","0.00852439444152318","0.0134496682226264"
"Other","2004","Not Employed","direct migration background","10","","",""
"Other","2004","Not Employed","indirect migration background","4","","",""
"Other","2004","Employed","no migration background","1196","0.105312748606965","0.0996994146733813","0.110926082540549"
"Other","2004","Employed","direct migration background","119","0.0845120448998332","0.0703169695110905","0.0987071202885759"
"Other","2004","Employed","indirect migration background","124","0.263146886250301","0.22631266452082","0.299981107979782"
"Full-time","2005","Not Employed","no migration background","41","0.00406213876819319","0.00253098932572668","0.0055932882106597"
"Full-time","2005","Not Employed","direct migration background","7","","",""
"Full-time","2005","Not Employed","indirect migration background","2","","",""
"Full-time","2005","Employed","no migration background","6822","0.624098082608065","0.615031841339274","0.633164323876857"
"Full-time","2005","Employed","direct migration background","833","0.574330802995374","0.548139112281194","0.600522493709553"
"Full-time","2005","Employed","indirect migration background","296","0.492167218170335","0.450385773350417","0.533948662990253"
"Part-time","2005","Not Employed","no migration background","25","","",""
"Part-time","2005","Not Employed","direct migration background","4","","",""
"Part-time","2005","Not Employed","indirect migration background","5","","",""
"Part-time","2005","Employed","no migration background","1789","0.152917917786765","0.146181088951629","0.159654746621901"
"Part-time","2005","Employed","direct migration background","217","0.163932576858059","0.144321580879398","0.183543572836721"
"Part-time","2005","Employed","indirect migration background","56","0.103917557803817","0.0784149145332102","0.129420201074423"
"Non-working","2005","Not Employed","no migration background","6497","0.982447332710969","0.979286145029656","0.985608520392282"
"Non-working","2005","Not Employed","direct migration background","991","0.976669048711461","0.967382485787126","0.985955611635796"
"Non-working","2005","Not Employed","indirect migration background","267","0.944402153542827","0.917798999432497","0.971005307653156"
"Non-working","2005","Employed","no migration background","1186","0.114235199616968","0.108281008658233","0.120189390575703"
"Non-working","2005","Employed","direct migration background","175","0.1486050989996","0.129763023265541","0.167447174733659"
"Non-working","2005","Employed","indirect migration background","91","0.204481132176214","0.17077424797089","0.238188016381538"
"Other","2005","Not Employed","no migration background","66","0.010266211609308","0.0078396664072885","0.0126927568113275"
"Other","2005","Not Employed","direct migration background","13","","",""
"Other","2005","Not Employed","indirect migration background","11","","",""
"Other","2005","Employed","no migration background","1167","0.108748799988202","0.102921385920231","0.114576214056173"
"Other","2005","Employed","direct migration background","144","0.113131521146967","0.0963524548515901","0.129910587442344"
"Other","2005","Employed","indirect migration background","107","0.199434091849635","0.166040357179722","0.232827826519548"
"Full-time","2006","Not Employed","no migration background","46","0.00619942508392581","0.00443078178701625","0.00796806838083536"
"Full-time","2006","Not Employed","direct migration background","12","","",""
"Full-time","2006","Not Employed","indirect migration background","4","","",""
"Full-time","2006","Employed","no migration background","7149","0.627414880045003","0.618598107007219","0.636231653082787"
"Full-time","2006","Employed","direct migration background","821","0.589133257058065","0.563014204000405","0.615252310115724"
"Full-time","2006","Employed","indirect migration background","298","0.494721727512126","0.45356864551486","0.535874809509393"
"Part-time","2006","Not Employed","no migration background","40","0.00469266023105627","0.00315272277966902","0.00623259768244351"
"Part-time","2006","Not Employed","direct migration background","11","","",""
"Part-time","2006","Not Employed","indirect migration background","","","",""
"Part-time","2006","Employed","no migration background","1950","0.152275942737465","0.145724116009918","0.158827769465012"
"Part-time","2006","Employed","direct migration background","239","0.159329170281459","0.139899707196128","0.17875863336679"
"Part-time","2006","Employed","indirect migration background","72","0.14097418581788","0.112330462733283","0.169617908902476"
"Non-working","2006","Not Employed","no migration background","7314","0.971347484509304","0.967588386833904","0.975106582184703"
"Non-working","2006","Not Employed","direct migration background","992","0.948285545798994","0.934800769337849","0.961770322260138"
"Non-working","2006","Not Employed","indirect migration background","280","0.941664061695536","0.914963627282798","0.968364496108274"
"Non-working","2006","Employed","no migration background","1206","0.1073489783449","0.101704038582794","0.112993918107007"
"Non-working","2006","Employed","direct migration background","158","0.143802532046206","0.125174353185043","0.162430710907368"
"Non-working","2006","Employed","indirect migration background","87","0.166609989317204","0.135938757029892","0.197281221604516"
"Other","2006","Not Employed","no migration background","166","0.0177604301757142","0.0147843106048568","0.0207365497465715"
"Other","2006","Not Employed","direct migration background","21","","",""
"Other","2006","Not Employed","indirect migration background","12","","",""
"Other","2006","Employed","no migration background","1247","0.112960198872632","0.10718783395541","0.118732563789853"
"Other","2006","Employed","direct migration background","145","0.107735040614271","0.0912752020304014","0.12419487919814"
"Other","2006","Employed","indirect migration background","110","0.19769409735279","0.164913006115429","0.230475188590151"
"Full-time","2007","Not Employed","no migration background","53","0.00694903187576672","0.00502528230063786","0.00887278145089557"
"Full-time","2007","Not Employed","direct migration background","4","","",""
"Full-time","2007","Not Employed","indirect migration background","5","","",""
"Full-time","2007","Employed","no migration background","6778","0.638988756488061","0.629933882825166","0.648043630150955"
"Full-time","2007","Employed","direct migration background","726","0.567495735622593","0.540020376987232","0.594971094257954"
"Full-time","2007","Employed","indirect migration background","320","0.51760824682957","0.47603613083913","0.55918036282001"
"Part-time","2007","Not Employed","no migration background","43","0.00732222642921661","0.00534786643825133","0.00929658642018188"
"Part-time","2007","Not Employed","direct migration background","8","","",""
"Part-time","2007","Not Employed","indirect migration background","4","","",""
"Part-time","2007","Employed","no migration background","1937","0.16262830829724","0.155671138022895","0.169585478571584"
"Part-time","2007","Employed","direct migration background","227","0.172080923451341","0.151148130366201","0.193013716536482"
"Part-time","2007","Employed","indirect migration background","75","0.164711723439489","0.1338527092474","0.195570737631578"
"Non-working","2007","Not Employed","no migration background","6895","0.963780281855061","0.959453528222026","0.968107035488095"
"Non-working","2007","Not Employed","direct migration background","880","0.977753817328069","0.968118426259415","0.987389208396722"
"Non-working","2007","Not Employed","indirect migration background","258","0.851741828245913","0.810772157138031","0.892711499353796"
"Non-working","2007","Employed","no migration background","952","0.0880533129557697","0.0827109548216403","0.0933956710898992"
"Non-working","2007","Employed","direct migration background","170","0.153046237871597","0.133079456998383","0.173013018744812"
"Non-working","2007","Employed","indirect migration background","68","0.155007784577539","0.124898203849142","0.185117365305936"
"Other","2007","Not Employed","no migration background","172","0.021948459839956","0.0185554625611911","0.0253414571187209"
"Other","2007","Not Employed","direct migration background","8","","",""
"Other","2007","Not Employed","indirect migration background","22","","",""
"Other","2007","Employed","no migration background","1141","0.11032962225893","0.104423042756051","0.11623620176181"
"Other","2007","Employed","direct migration background","126","0.107377103054469","0.0902076395592145","0.124546566549723"
"Other","2007","Employed","indirect migration background","92","0.162672245153402","0.131967459264241","0.193377031042562"
"Full-time","2008","Not Employed","no migration background","49","0.00938342095051653","0.00707208397848821","0.0116947579225448"
"Full-time","2008","Not Employed","direct migration background","7","","",""
"Full-time","2008","Not Employed","indirect migration background","6","","",""
"Full-time","2008","Employed","no migration background","6492","0.640558177039848","0.631269852401417","0.649846501678278"
"Full-time","2008","Employed","direct migration background","670","0.586023289264082","0.557060762096347","0.614985816431816"
"Full-time","2008","Employed","indirect migration background","304","0.552751669856963","0.511789847393056","0.593713492320871"
"Part-time","2008","Not Employed","no migration background","34","0.0038865002476691","0.00239486157937851","0.00537813891595968"
"Part-time","2008","Not Employed","direct migration background","2","","",""
"Part-time","2008","Not Employed","indirect migration background","2","","",""
"Part-time","2008","Employed","no migration background","1808","0.162964800311005","0.155815516178039","0.170114084443971"
"Part-time","2008","Employed","direct migration background","217","0.179239675823011","0.15668605297944","0.201793298666582"
"Part-time","2008","Employed","indirect migration background","68","0.105041238054433","0.079781938488931","0.130300537619935"
"Non-working","2008","Not Employed","no migration background","6436","0.96398518008365","0.959518285815292","0.968452074352009"
"Non-working","2008","Not Employed","direct migration background","788","0.965083690245315","0.952434273904414","0.977733106586216"
"Non-working","2008","Not Employed","indirect migration background","236","0.870392364933701","0.829877074448301","0.910907655419102"
"Non-working","2008","Employed","no migration background","872","0.0851212257515353","0.0797193510965836","0.090523100406487"
"Non-working","2008","Employed","direct migration background","101","0.109831127294264","0.0914450117908882","0.128217242797639"
"Non-working","2008","Employed","indirect migration background","71","0.114167007718908","0.0879679235392298","0.140366091898586"
"Other","2008","Not Employed","no migration background","165","0.0227448987181642","0.0191707234354889","0.0263190740008395"
"Other","2008","Not Employed","direct migration background","12","","",""
"Other","2008","Not Employed","indirect migration background","20","","",""
"Other","2008","Employed","no migration background","1080","0.111355796897612","0.105266541868632","0.117445051926592"
"Other","2008","Employed","direct migration background","123","0.124905907618643","0.105465295856507","0.14434651938078"
"Other","2008","Employed","indirect migration background","123","0.228040084369696","0.193474584094055","0.262605584645337"
"Full-time","2009","Not Employed","no migration background","29","","",""
"Full-time","2009","Not Employed","direct migration background","5","","",""
"Full-time","2009","Not Employed","indirect migration background","5","","",""
"Full-time","2009","Employed","no migration background","6101","0.635867205807492","0.62631206395347","0.645422347661513"
"Full-time","2009","Employed","direct migration background","569","0.542891543321889","0.511750188818709","0.574032897825069"
"Full-time","2009","Employed","indirect migration background","279","0.560159750798753","0.517537864738829","0.602781636858677"
"Part-time","2009","Not Employed","no migration background","30","0.00497387155149406","0.00322076764093685","0.00672697546205126"
"Part-time","2009","Not Employed","direct migration background","4","","",""
"Part-time","2009","Not Employed","indirect migration background","2","","",""
"Part-time","2009","Employed","no migration background","1685","0.152169526751444","0.14503701682937","0.159302036673518"
"Part-time","2009","Employed","direct migration background","202","0.199483333064052","0.174502332491169","0.224464333636936"
"Part-time","2009","Employed","indirect migration background","71","0.136430299729402","0.106956688952933","0.165903910505871"
"Non-working","2009","Not Employed","no migration background","6005","0.973439545837344","0.969432582448813","0.977446509225874"
"Non-working","2009","Not Employed","direct migration background","674","0.960258181148935","0.945713662548144","0.974802699749726"
"Non-working","2009","Not Employed","indirect migration background","216","0.904585985542502","0.867103955755609","0.942068015329394"
"Non-working","2009","Employed","no migration background","879","0.0956531092608751","0.0898127293415738","0.101493489180176"
"Non-working","2009","Employed","direct migration background","109","0.122893410966738","0.102369419845773","0.143417402087704"
"Non-working","2009","Employed","indirect migration background","65","0.0974183592094729","0.0719563376015529","0.122880380817393"
"Other","2009","Not Employed","no migration background","122","0.0168581720975728","0.0136500088334543","0.0200663353616913"
"Other","2009","Not Employed","direct migration background","10","","",""
"Other","2009","Not Employed","indirect migration background","13","","",""
"Other","2009","Employed","no migration background","1077","0.116310158180189","0.10994392146457","0.122676394895809"
"Other","2009","Employed","direct migration background","103","0.13473171264732","0.113387426197361","0.156075999097279"
"Other","2009","Employed","indirect migration background","106","0.205991590262372","0.171264649541946","0.240718530982798"
"Full-time","2010","Not Employed","no migration background","65","0.00804675232857629","0.00597993410086687","0.0101135705562857"
"Full-time","2010","Not Employed","direct migration background","10","","",""
"Full-time","2010","Not Employed","indirect migration background","7","","",""
"Full-time","2010","Employed","no migration background","7587","0.632588245615873","0.62433357396991","0.640842917261835"
"Full-time","2010","Employed","direct migration background","952","0.520067943276691","0.496353888349477","0.543781998203905"
"Full-time","2010","Employed","indirect migration background","402","0.50525193998917","0.470714018680508","0.539789861297831"
"Part-time","2010","Not Employed","no migration background","100","0.00581547406701542","0.00405644739231821","0.00757450074171263"
"Part-time","2010","Not Employed","direct migration background","21","","",""
"Part-time","2010","Not Employed","indirect migration background","7","","",""
"Part-time","2010","Employed","no migration background","2543","0.159509509562764","0.153240161057387","0.165778858068141"
"Part-time","2010","Employed","direct migration background","284","0.189250403546992","0.170657480275772","0.207843326818213"
"Part-time","2010","Employed","indirect migration background","99","0.114527098437771","0.0925286567695743","0.136525540105967"
"Non-working","2010","Not Employed","no migration background","6792","0.965671269421371","0.961459254593681","0.96988328424906"
"Non-working","2010","Not Employed","direct migration background","1161","0.966222979080761","0.956069131127112","0.97637682703441"
"Non-working","2010","Not Employed","indirect migration background","381","0.917215019586808","0.890955349749491","0.943474689424126"
"Non-working","2010","Employed","no migration background","1522","0.0918026087490597","0.0868585871784601","0.0967466303196594"
"Non-working","2010","Employed","direct migration background","263","0.139901507375903","0.123436148932402","0.156366865819405"
"Non-working","2010","Employed","indirect migration background","154","0.162222625600395","0.136756071886151","0.187689179314639"
"Other","2010","Not Employed","no migration background","221","0.0204665041830376","0.0171910023704458","0.0237420059956294"
"Other","2010","Not Employed","direct migration background","24","","",""
"Other","2010","Not Employed","indirect migration background","28","","",""
"Other","2010","Employed","no migration background","1451","0.116099636072304","0.11061459598364","0.121584676160967"
"Other","2010","Employed","direct migration background","206","0.150780145800414","0.133795048136935","0.167765243463892"
"Other","2010","Employed","indirect migration background","150","0.217998335972664","0.189476296359965","0.246520375585364"
"Full-time","2011","Not Employed","no migration background","64","0.00805543784838312","0.00619380923802904","0.0099170664587372"
"Full-time","2011","Not Employed","direct migration background","18","","",""
"Full-time","2011","Not Employed","indirect migration background","4","","",""
"Full-time","2011","Employed","no migration background","9139","0.640673917687343","0.633112417950275","0.648235417424412"
"Full-time","2011","Employed","direct migration background","1114","0.564221189254034","0.542173177010769","0.586269201497299"
"Full-time","2011","Employed","indirect migration background","489","0.555737101154508","0.523471213207276","0.588002989101741"
"Part-time","2011","Not Employed","no migration background","122","0.00631880512345804","0.00466857015721131","0.00796904008970477"
"Part-time","2011","Not Employed","direct migration background","25","","",""
"Part-time","2011","Not Employed","indirect migration background","11","","",""
"Part-time","2011","Employed","no migration background","3250","0.159064894504141","0.153301034013304","0.164828754994979"
"Part-time","2011","Employed","direct migration background","373","0.180137545404936","0.163049817880695","0.197225272929177"
"Part-time","2011","Employed","indirect migration background","160","0.141255736743605","0.118639316035463","0.163872157451746"
"Non-working","2011","Not Employed","no migration background","8404","0.964995698764153","0.961168084505353","0.968823313022954"
"Non-working","2011","Not Employed","direct migration background","1257","0.96827381090861","0.958871913561271","0.97767570825595"
"Non-working","2011","Not Employed","indirect migration background","441","0.892273930715464","0.865071524150446","0.919476337280481"
"Non-working","2011","Employed","no migration background","1491","0.0954853175468959","0.0908538229997998","0.100116812093992"
"Non-working","2011","Employed","direct migration background","233","0.132297939198925","0.117232786264143","0.147363092133706"
"Non-working","2011","Employed","indirect migration background","107","0.114572177208027","0.0938895802993011","0.135254774116754"
"Other","2011","Not Employed","no migration background","267","0.0206300582640055","0.0176698083216777","0.0235903082063333"
"Other","2011","Not Employed","direct migration background","35","0.0132569455138183","0.0071217100815188","0.0193921809461178"
"Other","2011","Not Employed","indirect migration background","43","0.0751052644088425","0.0519804017735757","0.0982301270441092"
"Other","2011","Employed","no migration background","1587","0.104775870261619","0.0999492672846808","0.109602473238558"
"Other","2011","Employed","direct migration background","223","0.123343326142105","0.108722083302172","0.137964568982039"
"Other","2011","Employed","indirect migration background","155","0.18843498489386","0.163040972352587","0.213828997435134"
"Full-time","2012","Not Employed","no migration background","139","0.0141550956788928","0.0116793612449246","0.016630830112861"
"Full-time","2012","Not Employed","direct migration background","18","","",""
"Full-time","2012","Not Employed","indirect migration background","11","","",""
"Full-time","2012","Employed","no migration background","8745","0.629916297942394","0.622211145567822","0.637621450316966"
"Full-time","2012","Employed","direct migration background","1107","0.586775564475727","0.564593508773496","0.608957620177958"
"Full-time","2012","Employed","indirect migration background","480","0.546619806609522","0.514795560966391","0.578444052252652"
"Part-time","2012","Not Employed","no migration background","111","0.00642486479103927","0.00475040120308146","0.00809932837899708"
"Part-time","2012","Not Employed","direct migration background","22","","",""
"Part-time","2012","Not Employed","indirect migration background","8","","",""
"Part-time","2012","Employed","no migration background","3245","0.164086707601488","0.158176439996721","0.169996975206256"
"Part-time","2012","Employed","direct migration background","394","0.189706845951167","0.172045029354744","0.20736866254759"
"Part-time","2012","Employed","indirect migration background","173","0.148730361767011","0.125983706104795","0.171477017429227"
"Non-working","2012","Not Employed","no migration background","8227","0.962679638258075","0.958707199871756","0.966652076644395"
"Non-working","2012","Not Employed","direct migration background","1114","0.961413729508266","0.950414886381068","0.972412572635465"
"Non-working","2012","Not Employed","indirect migration background","375","0.860632780675166","0.828049674340406","0.893215887009927"
"Non-working","2012","Employed","no migration background","1423","0.0945289233971357","0.089860078182208","0.0991977686120634"
