"erwst","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"Non-working","2004","East Germany","Female","1406","0.588807433469428","0.570393589586376","0.60722127735248","5"
"Non-working","2004","West Germany","Female","4190","0.534527608277345","0.523961431394662","0.545093785160027","5"
"Non-working","2004","East Germany","Male","1087","0.474133184218197","0.454606597581812","0.493659770854583","5"
"Other","2004","West Germany","Female","796","0.0878511455183088","0.0818547203902204","0.0938475706463972","6"
"Other","2004","East Germany","Male","166","0.0736465787384979","0.0634324126230089","0.083860744853987","6"
"Other","2004","East Germany","Female","167","0.0599412864334644","0.0510579582565263","0.0688246146104025","6"
"Other","2004","West Germany","Male","412","0.0475479165583672","0.0428602675877773","0.0522355655289571","6"
"Part-time","2004","West Germany","Male","163","0.0233637404178298","0.0200363376242891","0.0266911432113705","2"
"Part-time","2004","East Germany","Male","51","0.0222252038156724","0.0164604526094487","0.0279899550218961","2"
"Part-time","2004","West Germany","Female","1631","0.160157041685321","0.152388170791932","0.16792591257871","2"
"Part-time","2004","East Germany","Female","346","0.118860614281561","0.106749712572865","0.130971515990257","2"
"Full-time","2005","West Germany","Male","4235","0.539529853071317","0.528261428941098","0.550798277201536","1"
"Full-time","2005","West Germany","Female","1861","0.217410936217178","0.208500417423226","0.22632145501113","1"
"Full-time","2005","East Germany","Female","749","0.231063183826918","0.214962906172875","0.247163461480961","1"
"Full-time","2005","East Germany","Male","1156","0.443949348357252","0.424198784442326","0.463699912272178","1"
"Non-working","2005","West Germany","Male","2720","0.378290827099843","0.367327023476308","0.389254630723379","5"
"Non-working","2005","East Germany","Female","1387","0.598096087317789","0.579369042095111","0.616823132540467","5"
"Non-working","2005","West Germany","Female","4023","0.525457137511288","0.514670110138766","0.536244164883811","5"
"Non-working","2005","East Germany","Male","1077","0.473790686446966","0.453942166114225","0.493639206779708","5"
"Other","2005","West Germany","Female","817","0.0941048217486829","0.08779756772655","0.100412075770816","6"
"Other","2005","East Germany","Female","147","0.0474705217411335","0.039348318055279","0.055592725426988","6"
"Other","2005","West Germany","Male","388","0.0559618071170664","0.050765493519372","0.0611581207147608","6"
"Other","2005","East Germany","Male","156","0.0646139272776021","0.0548412371022043","0.0743866174529998","6"
"Part-time","2005","West Germany","Male","173","0.0262175127117734","0.0226052325265246","0.0298297928970222","2"
"Part-time","2005","East Germany","Male","42","0.0176460379181798","0.0124122849980716","0.0228797908382879","2"
"Part-time","2005","West Germany","Female","1531","0.163027104522851","0.155047506486624","0.171006702559078","2"
"Part-time","2005","East Germany","Female","350","0.12337020711416","0.11080886854084","0.135931545687479","2"
"Full-time","2006","West Germany","Male","4432","0.53764692649003","0.52677975099114","0.54851410198892","1"
"Full-time","2006","West Germany","Female","1945","0.212919135701518","0.20441469583404","0.221423575568996","1"
"Full-time","2006","East Germany","Female","769","0.229502434039687","0.213935043323294","0.24506982475608","1"
"Full-time","2006","East Germany","Male","1184","0.438677273773608","0.419566551999891","0.457787995547325","1"
"Non-working","2006","West Germany","Male","2993","0.375950352446751","0.365392975167881","0.386507729725622","5"
"Non-working","2006","East Germany","Female","1454","0.583809304567541","0.565561180220796","0.602057428914285","5"
"Non-working","2006","West Germany","Female","4408","0.529698856362688","0.519329991232673","0.540067721492702","5"
"Non-working","2006","East Germany","Male","1182","0.471918499811432","0.452692798670601","0.491144200952263","5"
"Other","2006","East Germany","Male","179","0.071113884011409","0.0612156744504623","0.0810120935723558","6"
"Other","2006","East Germany","Female","203","0.0713928288714452","0.0618609206048764","0.080924737138014","6"
"Other","2006","West Germany","Male","460","0.0598116141192065","0.0546429129385103","0.0649803152999027","6"
"Other","2006","West Germany","Female","859","0.0939706299423928","0.0879089095812337","0.100032350303552","6"
"Part-time","2006","West Germany","Male","201","0.0265911069440121","0.0230844192791823","0.030097794608842","2"
"Part-time","2006","West Germany","Female","1689","0.163411377993401","0.155730235647458","0.171092520339345","2"
"Part-time","2006","East Germany","Male","45","0.0182903424035506","0.0131297369315398","0.0234509478755613","2"
"Part-time","2006","East Germany","Female","377","0.115295432521327","0.103472050333157","0.127118814709497","2"
"Full-time","2007","West Germany","Male","4183","0.543146808387061","0.531900121775444","0.554393494998679","1"
"Full-time","2007","West Germany","Female","1804","0.214647375743875","0.205821898038671","0.22347285344908","1"
"Full-time","2007","East Germany","Male","1155","0.462558072820202","0.442859208517758","0.482256937122646","1"
"Full-time","2007","East Germany","Female","744","0.237937893828626","0.22173448253595","0.254141305121301","1"
"Non-working","2007","West Germany","Male","2737","0.368969648854693","0.358075379926522","0.379863917782864","5"
"Non-working","2007","West Germany","Female","4045","0.514315350650605","0.503572117201969","0.525058584099241","5"
"Non-working","2007","East Germany","Male","1091","0.449596511133632","0.429942810369361","0.469250211897904","5"
"Non-working","2007","East Germany","Female","1350","0.563395465941154","0.544522930024844","0.582268001857464","5"
"Other","2007","West Germany","Male","432","0.0593742342956051","0.0540386118299484","0.0647098567612618","6"
"Other","2007","East Germany","Male","164","0.0635307969005845","0.0538940337429643","0.0731675600582047","6"
"Other","2007","East Germany","Female","176","0.0671331935842184","0.0576105410087037","0.0766558461597331","6"
"Other","2007","West Germany","Female","789","0.095262165367396","0.0889516521376707","0.101572678597121","6"
"Part-time","2007","West Germany","Female","1676","0.175775108238123","0.16759338789296","0.183956828583287","2"
"Part-time","2007","East Germany","Male","51","0.0243146191455812","0.018229334204064","0.0303999040870984","2"
"Part-time","2007","West Germany","Male","184","0.0285093084626402","0.0247518835592108","0.0322667333660695","2"
"Part-time","2007","East Germany","Female","383","0.131533446646002","0.118672465104815","0.144394428187189","2"
"Full-time","2008","West Germany","Male","3888","0.547570819375796","0.535951524114258","0.559190114637334","1"
"Full-time","2008","West Germany","Female","1760","0.226261591887358","0.216978514783938","0.235544668990777","1"
"Full-time","2008","East Germany","Female","754","0.253101518886319","0.236047883094507","0.270155154678132","1"
"Full-time","2008","East Germany","Male","1126","0.494220313867284","0.473945696852779","0.51449493088179","1"
"Non-working","2008","West Germany","Male","2550","0.357227461038021","0.346041188108923","0.368413733967119","5"
"Non-working","2008","East Germany","Male","1022","0.432228646387051","0.412139791408382","0.452317501365719","5"
"Non-working","2008","West Germany","Female","3696","0.497647790746348","0.48655464652827","0.508740934964427","5"
"Non-working","2008","East Germany","Female","1236","0.542860380011468","0.523321155436862","0.562399604586073","5"
"Other","2008","West Germany","Male","434","0.0686253403090673","0.0627234817100374","0.0745271989080972","6"
"Other","2008","East Germany","Male","147","0.0561947390008104","0.0468557320644653","0.0655337459371555","6"
"Other","2008","East Germany","Female","167","0.0745693405719682","0.0642656949614364","0.0848729861825","6"
"Other","2008","West Germany","Female","775","0.0998970063140851","0.0932440939834132","0.106549918644757","6"
"Part-time","2008","West Germany","Female","1573","0.176193611052209","0.167740878717786","0.184646343386632","2"
"Part-time","2008","East Germany","Male","41","0.0173563007448547","0.0120604188388201","0.0226521826508893","2"
"Part-time","2008","West Germany","Male","177","0.026576379277115","0.0228216106325019","0.0303311479217281","2"
"Part-time","2008","East Germany","Female","340","0.129468760530245","0.116300952231775","0.142636568828715","2"
"Full-time","2009","West Germany","Male","3550","0.539721947503939","0.527664400110158","0.55177949489772","1"
"Full-time","2009","West Germany","Female","1670","0.234056021889572","0.224279384423174","0.243832659355969","1"
"Full-time","2009","East Germany","Female","702","0.261012993127878","0.243379614431654","0.278646371824103","1"
"Full-time","2009","East Germany","Male","1066","0.483187101869204","0.462348212388202","0.504025991350205","1"
"Non-working","2009","West Germany","Male","2462","0.367577078548365","0.355913231479892","0.379240925616838","5"
"Non-working","2009","East Germany","Male","964","0.432112432906111","0.411454836201101","0.452770029611121","5"
"Non-working","2009","West Germany","Female","3343","0.487714165514191","0.476172460857182","0.4992558701712","5"
"Non-working","2009","East Germany","Female","1179","0.52237505627641","0.5023201431487","0.542429969404119","5"
"Other","2009","West Germany","Male","378","0.0648765653573659","0.0589179932393451","0.0708351374753868","6"
"Other","2009","West Germany","Female","772","0.106431238154526","0.0993104241090523","0.113552052199999","6"
"Other","2009","East Germany","Male","133","0.0667266285124946","0.0563201387506819","0.0771331182743072","6"
"Other","2009","East Germany","Female","148","0.0734943398180673","0.0630173371426161","0.0839713424935185","6"
"Part-time","2009","East Germany","Male","46","0.0179738367121906","0.0124335510454571","0.023514122378924","2"
"Part-time","2009","West Germany","Female","1420","0.171798574441712","0.163088760791754","0.18050838809167","2"
"Part-time","2009","West Germany","Male","174","0.0278244085903298","0.0238456358630408","0.0318031813176189","2"
"Part-time","2009","East Germany","Female","354","0.143117610777645","0.129057355130994","0.157177866424295","2"
"Full-time","2010","West Germany","Male","5050","0.529385841431468","0.518831165901091","0.539940516961844","1"
"Full-time","2010","West Germany","Female","1834","0.232858321919037","0.224697199134067","0.241019444704007","1"
"Full-time","2010","East Germany","Female","805","0.272142511116178","0.25620580522835","0.288079217004007","1"
"Full-time","2010","East Germany","Male","1334","0.487698748786558","0.468259934900813","0.507137562672303","1"
"Non-working","2010","West Germany","Male","2733","0.373501029454435","0.363272049820113","0.383730009088758","5"
"Non-working","2010","East Germany","Male","983","0.420221720245552","0.401026130851537","0.439417309639566","5"
"Non-working","2010","West Germany","Female","5076","0.483941367467374","0.474291704648027","0.493591030286722","5"
"Non-working","2010","East Germany","Female","1481","0.508389814651239","0.490488453961563","0.526291175340915","5"
"Other","2010","West Germany","Male","535","0.0690836766066609","0.0637211522772751","0.0744462009360467","6"
"Other","2010","West Germany","Female","1174","0.108400416280462","0.102397439761039","0.114403392799886","6"
"Other","2010","East Germany","Male","142","0.0596190386539657","0.0504108198343932","0.0688272574735382","6"
"Other","2010","East Germany","Female","229","0.0716499160392919","0.0624148305528616","0.0808850015257223","6"
"Part-time","2010","West Germany","Female","2219","0.174799894333127","0.167466307114228","0.182133481552025","2"
"Part-time","2010","East Germany","Male","81","0.0324604923139247","0.0255685261329519","0.0393524584948975","2"
"Part-time","2010","West Germany","Male","273","0.0280294525074358","0.0245391739309982","0.0315197310838734","2"
"Part-time","2010","East Germany","Female","481","0.147817758193291","0.135108894194842","0.160526622191741","2"
"Full-time","2011","West Germany","Female","2411","0.243599549852482","0.236031121609192","0.251167978095771","1"
"Full-time","2011","West Germany","Male","5903","0.540016553364177","0.530364263776389","0.549668842951964","1"
"Full-time","2011","East Germany","Female","983","0.285145739829023","0.270138945024208","0.300152534633839","1"
"Full-time","2011","East Germany","Male","1531","0.510504208653216","0.492422302542541","0.528586114763892","1"
"Non-working","2011","West Germany","Male","3467","0.366522219720064","0.357190288000995","0.375854151439133","5"
"Non-working","2011","East Germany","Male","1167","0.404047293560365","0.386297550749043","0.421797036371688","5"
"Non-working","2011","West Germany","Female","5652","0.486511300042937","0.477698711793791","0.495323888292083","5"
"Non-working","2011","East Germany","Female","1647","0.503803470204769","0.487184535392611","0.520422405016927","5"
"Other","2011","West Germany","Male","566","0.0612132248494189","0.0565706189747087","0.0658558307241291","6"
"Other","2011","West Germany","Female","1346","0.0959180742882554","0.0907259427469224","0.101110205829588","6"
"Other","2011","East Germany","Male","156","0.0631694439492187","0.0543700225538524","0.0719688653445849","6"
"Other","2011","East Germany","Female","242","0.0678671892579502","0.0595070295342379","0.0762273489816625","6"
"Part-time","2011","West Germany","Female","2948","0.173971075816326","0.16728721004426","0.180654941588392","2"
"Part-time","2011","East Germany","Male","82","0.0222790538371997","0.0169404720984946","0.0276176355759048","2"
"Part-time","2011","West Germany","Male","306","0.0322480020663401","0.0288267178797202","0.03566928625296","2"
"Part-time","2011","East Germany","Female","605","0.143183600708258","0.131541368140341","0.154825833276174","2"
"Full-time","2012","West Germany","Female","2444","0.243417809144979","0.2357430856211","0.251092532668858","1"
"Full-time","2012","West Germany","Male","5631","0.542054936971889","0.532282021382956","0.551827852560822","1"
"Full-time","2012","East Germany","Female","965","0.278765127818019","0.263702147933119","0.293828107702918","1"
"Full-time","2012","East Germany","Male","1460","0.498123873380574","0.479850421363704","0.516397325397443","1"
"Non-working","2012","West Germany","Male","3374","0.362290640423785","0.352862289087478","0.371718991760092","5"
"Non-working","2012","West Germany","Female","5299","0.475934778712918","0.467003268520628","0.484866288905209","5"
"Non-working","2012","East Germany","Male","1159","0.408544417162771","0.390579121953854","0.426509712371689","5"
"Non-working","2012","East Germany","Female","1588","0.51219071799538","0.495399036145241","0.528982399845519","5"
"Other","2012","West Germany","Female","1353","0.0991666197298441","0.093821425416525","0.104511814043163","6"
"Other","2012","East Germany","Male","165","0.0652898769970613","0.0562613885125245","0.0743183654815981","6"
"Other","2012","East Germany","Female","237","0.0612170523302244","0.0531637849510502","0.0692703197093986","6"
"Other","2012","West Germany","Male","647","0.0636003523086009","0.0588134321230191","0.0683872724941827","6"
"Part-time","2012","West Germany","Male","332","0.0320540702957249","0.0285989518006467","0.035509188790803","2"
"Part-time","2012","East Germany","Female","614","0.147827101856377","0.135903864056793","0.159750339655961","2"
"Part-time","2012","West Germany","Female","2915","0.181480792412258","0.174588109838484","0.188373474986033","2"
"Part-time","2012","East Germany","Male","92","0.0280418324595937","0.0220081752623798","0.0340754896568076","2"
"Full-time","2013","West Germany","Female","2826","0.232255538620977","0.225162006257149","0.239349070984804","1"
"Full-time","2013","West Germany","Male","6478","0.530256381115109","0.52111964072007","0.539393121510148","1"
"Full-time","2013","East Germany","Female","937","0.279626978331036","0.264525327799647","0.294728628862425","1"
"Full-time","2013","East Germany","Male","1440","0.50362225399502","0.485256322292646","0.521988185697395","1"
"Non-working","2013","West Germany","Male","3721","0.368833931083204","0.360000993849704","0.377666868316703","5"
"Non-working","2013","West Germany","Female","5754","0.473698436572841","0.465310802514392","0.482086070631289","5"
"Non-working","2013","East Germany","Male","1107","0.396893256787898","0.378921591987361","0.414864921588436","5"
"Non-working","2013","East Germany","Female","1544","0.49024423254452","0.473423555137597","0.507064909951444","5"
"Other","2013","West Germany","Female","1742","0.108037613623848","0.102822882382386","0.11325234486531","6"
"Other","2013","East Germany","Male","186","0.0626177239439948","0.0537183108760607","0.071517137011929","6"
"Other","2013","East Germany","Female","251","0.0647472580543883","0.0564672387945306","0.0730272773142461","6"
"Other","2013","West Germany","Male","867","0.0696077639008849","0.0649489027305072","0.0742666250712626","6"
"Part-time","2013","West Germany","Male","396","0.0313019239008024","0.0281140757715723","0.0344897720300326","2"
"Part-time","2013","East Germany","Female","661","0.165381531070056","0.152880562573714","0.177882499566397","2"
"Part-time","2013","West Germany","Female","3291","0.186008411182335","0.179471878770927","0.192544943593743","2"
"Part-time","2013","East Germany","Male","114","0.0368667652730861","0.0299450288262878","0.0437885017198845","2"
"Full-time","2014","West Germany","Male","5615","0.52415995650742","0.514454693067364","0.533865219947477","1"
"Full-time","2014","West Germany","Female","2478","0.231675104816478","0.224096390648172","0.239253818984785","1"
"Full-time","2014","East Germany","Male","1287","0.497662532693873","0.47846216765026","0.516862897737486","1"
"Full-time","2014","East Germany","Female","864","0.277765425760859","0.261993467642287","0.293537383879431","1"
"Non-working","2014","West Germany","Male","3387","0.362059467092446","0.352719938250328","0.371398995934564","5"
"Non-working","2014","West Germany","Female","4963","0.465326477442594","0.456366506264835","0.474286448620354","5"
"Non-working","2014","East Germany","Male","1035","0.393431045374806","0.374671658935477","0.412190431814135","5"
"Non-working","2014","East Germany","Female","1451","0.501117449099157","0.483510816410144","0.51872408178817","5"
"Other","2014","West Germany","Female","1592","0.113549172187564","0.10785011910261","0.119248225272518","6"
"Other","2014","East Germany","Male","181","0.0717718790571412","0.06186016541987","0.0816835926944124","6"
"Other","2014","East Germany","Female","209","0.0601765918709863","0.0518023730103921","0.0685508107315805","6"
"Other","2014","West Germany","Male","809","0.0759721298885634","0.0708232281776808","0.081121031599446","6"
"Part-time","2014","West Germany","Male","361","0.0378084465115701","0.0341018944716638","0.0415149985514764","2"
"Part-time","2014","West Germany","Female","2872","0.189449245553364","0.182410100115447","0.19648839099128","2"
"Part-time","2014","East Germany","Male","102","0.0371345428741797","0.02987321459073","0.0443958711576295","2"
"Part-time","2014","East Germany","Female","574","0.160940533268997","0.148000467813173","0.173880598724821","2"
"Full-time","2015","West Germany","Male","5589","0.520723548134459","0.510997099543888","0.530449996725029","1"
"Full-time","2015","West Germany","Female","2479","0.236573587781823","0.228917727731389","0.244229447832258","1"
"Full-time","2015","East Germany","Male","1234","0.506325484615308","0.486859336052164","0.525791633178452","1"
"Full-time","2015","East Germany","Female","827","0.273902199499451","0.25796262597093","0.289841773027972","1"
"Non-working","2015","West Germany","Male","3350","0.362002160913923","0.352645458300087","0.371358863527759","5"
"Non-working","2015","West Germany","Female","4989","0.458231840233388","0.449255968508468","0.467207711958308","5"
"Non-working","2015","East Germany","Male","1030","0.389690612569943","0.370702588097179","0.408678637042707","5"
"Non-working","2015","East Germany","Female","1390","0.481313583353947","0.463454964292605","0.499172202415289","5"
"Other","2015","West Germany","Female","1467","0.106193442294637","0.100643379651919","0.111743504937356","6"
"Other","2015","East Germany","Male","165","0.0680115652136214","0.0582089618094698","0.0778141686177731","6"
"Other","2015","East Germany","Female","228","0.0682637788609518","0.0592496652116735","0.0772778925102301","6"
"Other","2015","West Germany","Male","804","0.0790979846965283","0.0738432951563185","0.0843526742367381","6"
"Part-time","2015","West Germany","Male","391","0.03817630625509","0.0344455031486242","0.0419071093615558","2"
"Part-time","2015","West Germany","Female","2902","0.199001129690151","0.191808776764132","0.206193482616171","2"
"Part-time","2015","East Germany","Male","105","0.0359723376011271","0.0287217389808399","0.0432229362214144","2"
"Part-time","2015","East Germany","Female","562","0.17652043828565","0.162893280395631","0.190147596175668","2"
"Full-time","2016","West Germany","Male","5030","0.51718457165671","0.508000336064006","0.526368807249414","1"
"Full-time","2016","West Germany","Female","2321","0.246215893477598","0.23853700234678","0.253894784608416","1"
"Full-time","2016","East Germany","Male","1146","0.491561165407635","0.473210254690022","0.509912076125249","1"
"Full-time","2016","East Germany","Female","804","0.278916353349711","0.263147239931933","0.294685466767489","1"
"Non-working","2016","West Germany","Male","5018","0.365234633896507","0.35638506216895","0.374084205624065","5"
"Non-working","2016","West Germany","Female","5716","0.453312362823964","0.444439058255608","0.462185667392321","5"
"Non-working","2016","East Germany","Male","1392","0.385950172522759","0.368080487032672","0.403819858012847","5"
"Non-working","2016","East Germany","Female","1552","0.47875899852484","0.461193712558614","0.496324284491065","5"
"Other","2016","West Germany","Female","1324","0.09964329954654","0.0943044420248409","0.104982157068239","6"
"Other","2016","East Germany","Male","187","0.0661103704820175","0.0569895889305981","0.0752311520334368","6"
"Other","2016","East Germany","Female","204","0.0669231341085373","0.0581364642073921","0.0757098040096826","6"
"Other","2016","West Germany","Male","875","0.0767892472492054","0.0718956266262193","0.0816828678721915","6"
"Part-time","2016","West Germany","Male","449","0.0407915471975776","0.0371559877273499","0.0444271066678053","2"
"Part-time","2016","West Germany","Female","2730","0.200828444151898","0.193687599234101","0.207969289069695","2"
"Part-time","2016","East Germany","Male","126","0.0563782915875879","0.0479117820914851","0.0648448010836907","2"
"Part-time","2016","East Germany","Female","547","0.175401514016912","0.162028928009106","0.188774100024718","2"
"Full-time","2017","West Germany","Male","5822","0.522211661746334","0.513594590804938","0.530828732687729","1"
"Full-time","2017","West Germany","Female","2624","0.240328314965295","0.233124350297081","0.24753227963351","1"
"Full-time","2017","East Germany","Female","948","0.298958072408453","0.283563151703086","0.31435299311382","1"
"Full-time","2017","East Germany","Male","1363","0.506055821763221","0.488401932823654","0.523709710702789","1"
"Non-working","2017","West Germany","Male","5529","0.361365625812176","0.353078228172955","0.369653023451398","5"
"Non-working","2017","West Germany","Female","6347","0.445374237482588","0.436994726026725","0.453753748938451","5"
"Non-working","2017","East Germany","Male","1375","0.374508735630462","0.357418665598909","0.391598805662015","5"
"Non-working","2017","East Germany","Female","1650","0.473944978471142","0.457153850715666","0.490736106226618","5"
"Other","2017","West Germany","Male","1022","0.0784425004558932","0.0738042355816632","0.0830807653301231","6"
"Other","2017","West Germany","Female","1419","0.107727277727744","0.102500093766512","0.112954461688976","6"
"Other","2017","East Germany","Male","199","0.060564489999103","0.0521419174566369","0.0689870625415691","6"
"Other","2017","East Germany","Female","216","0.0579296339025265","0.0500737984005233","0.0657854694045297","6"
"Part-time","2017","West Germany","Male","535","0.037980211985597","0.0346826777931846","0.0412777461780094","2"
"Part-time","2017","West Germany","Female","3124","0.206570169824372","0.199744516931307","0.213395822717438","2"
"Part-time","2017","East Germany","Male","144","0.0588709526072136","0.0505594917779991","0.067182413436428","2"
"Part-time","2017","East Germany","Female","583","0.169167315217879","0.156560211300319","0.181774419135438","2"
"Full-time","2018","West Germany","Male","5575","0.527636189973223","0.518638042376961","0.536634337569484","1"
"Full-time","2018","West Germany","Female","2576","0.247040443205848","0.239508892918514","0.254571993493181","1"
"Full-time","2018","East Germany","Male","1329","0.510849296767513","0.492850229239478","0.528848364295548","1"
"Full-time","2018","East Germany","Female","901","0.28996642172141","0.274447561724639","0.305485281718182","1"
"Non-working","2018","West Germany","Male","4579","0.347155001214296","0.338574468130295","0.355735534298297","5"
"Non-working","2018","West Germany","Female","5691","0.440482284080318","0.431812951373053","0.449151616787582","5"
"Non-working","2018","East Germany","Male","1253","0.366773821263569","0.349421368899772","0.384126273627365","5"
"Non-working","2018","East Germany","Female","1565","0.47565096494205","0.45857045059802","0.492731479286081","5"
"Other","2018","West Germany","Male","1025","0.0763033702693484","0.0715183469758126","0.0810883935628841","6"
"Other","2018","West Germany","Female","1315","0.0996173807581984","0.0943874536361337","0.104847307880263","6"
"Other","2018","East Germany","Male","212","0.066643782652624","0.0576635870301769","0.075623978275071","6"
"Other","2018","East Germany","Female","226","0.0636174243965615","0.0552698322883002","0.0719650165048228","6"
"Part-time","2018","West Germany","Female","3015","0.212859891955636","0.205711843858931","0.220007940052341","2"
"Part-time","2018","East Germany","Female","592","0.170765188939978","0.157894999158682","0.183635378721273","2"
"Part-time","2018","West Germany","Male","646","0.0489054385431326","0.0450182290712645","0.0527926480150007","2"
"Part-time","2018","East Germany","Male","169","0.0557330993162942","0.0474729814200564","0.063993217212532","2"
"Full-time","2019","West Germany","Male","6141","0.534770581221872","0.525803950210039","0.543737212233705","1"
"Full-time","2019","West Germany","Female","2663","0.24699181618352","0.239298110195772","0.254685522171268","1"
"Full-time","2019","East Germany","Male","1505","0.501213906994984","0.483310078420954","0.519117735569014","1"
"Full-time","2019","East Germany","Female","961","0.305691232336997","0.289671424593926","0.321711040080069","1"
"Non-working","2019","West Germany","Male","4086","0.340992843710781","0.332471076677008","0.349514610744554","5"
"Non-working","2019","West Germany","Female","5143","0.433288645625521","0.424448405389957","0.442128885861085","5"
"Non-working","2019","East Germany","Male","1135","0.370933446737788","0.353636339359955","0.388230554115621","5"
"Non-working","2019","East Germany","Female","1421","0.46318529707769","0.445846096627244","0.480524497528136","5"
"Other","2019","West Germany","Male","968","0.069468468833699","0.0648978882550245","0.0740390494123736","6"
"Other","2019","West Germany","Female","1234","0.0922291539655529","0.0870671696124637","0.0973911383186421","6"
"Other","2019","East Germany","Male","200","0.0725813171357975","0.0632910643907031","0.0818715698808919","6"
"Other","2019","East Germany","Female","214","0.0544584729220568","0.0465678277063919","0.0623491181377217","6"
"Part-time","2019","West Germany","Male","692","0.0547681062336485","0.0506779018927656","0.0588583105745314","2"
"Part-time","2019","West Germany","Female","3030","0.227490384225406","0.220011653009019","0.234969115441793","2"
"Part-time","2019","East Germany","Female","581","0.176664997663256","0.163403180715782","0.18992681461073","2"
"Part-time","2019","East Germany","Male","156","0.0552713291314306","0.047088929467595","0.0634537287952662","2"
