"erwst","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Other","1992","66 and older","Single parent ","","","","","6"
"Other","1992","66 and older","Couple + C. LE 16 ","","","","","6"
"Other","1992","66 and older","Couple + C. GT 16 ","2","","","","6"
"Other","1992","66 and older","Couple + C. LE and GT 16","","","","","6"
"Part-time","1992","16-34 y.","1-pers.-HH","9","","","","2"
"Part-time","1992","16-34 y.","(Married) couple without C. ","20","","","","2"
"Part-time","1992","16-34 y.","Single parent ","24","","","","2"
"Part-time","1992","16-34 y.","Couple + C. LE 16 ","201","0.137990406997304","0.121667536835333","0.154313277159275","2"
"Part-time","1992","35-65 y.","1-pers.-HH","21","","","","2"
"Part-time","1992","35-65 y.","(Married) couple without C. ","119","0.074944388803465","0.0628775164058643","0.0870112612010657","2"
"Part-time","1992","16-34 y.","Couple + C. GT 16 ","21","","","","2"
"Part-time","1992","16-34 y.","Couple + C. LE and GT 16","7","","","","2"
"Part-time","1992","35-65 y.","Single parent ","32","0.132163877747072","0.0931854479706598","0.171142307523485","2"
"Part-time","1992","35-65 y.","Couple + C. LE 16 ","179","0.139078838788189","0.122027555459215","0.156130122117163","2"
"Part-time","1992","35-65 y.","Couple + C. GT 16 ","168","0.123105965264893","0.106838244860382","0.139373685669404","2"
"Part-time","1992","35-65 y.","Couple + C. LE and GT 16","79","0.137003570398844","0.111887465692051","0.162119675105637","2"
"Part-time","1992","66 and older","Single parent ","","","","","2"
"Part-time","1992","66 and older","Couple + C. LE and GT 16","","","","","2"
"Part-time","1992","66 and older","1-pers.-HH","","","","","2"
"Part-time","1992","66 and older","(Married) couple without C. ","8","","","","2"
"Part-time","1992","66 and older","Couple + C. LE 16 ","","","","","2"
"Part-time","1992","66 and older","Couple + C. GT 16 ","","","","","2"
"Full-time","1993","16-34 y.","1-pers.-HH","270","0.706847832005242","0.661318424449586","0.752377239560899","1"
"Full-time","1993","16-34 y.","(Married) couple without C. ","618","0.782966832818708","0.754419432200625","0.811514233436791","1"
"Full-time","1993","16-34 y.","Single parent ","111","0.345077606428264","0.2904572027894","0.399698010067128","1"
"Full-time","1993","16-34 y.","Couple + C. LE 16 ","857","0.501602840071134","0.477240073436748","0.525965606705519","1"
"Full-time","1993","16-34 y.","Couple + C. GT 16 ","368","0.340783588052546","0.311392295335963","0.37017488076913","1"
"Full-time","1993","16-34 y.","Couple + C. LE and GT 16","87","0.176566100787985","0.141683425724279","0.21144877585169","1"
"Full-time","1993","35-65 y.","1-pers.-HH","301","0.584478304682468","0.542443195534682","0.626513413830253","1"
"Full-time","1993","35-65 y.","(Married) couple without C. ","820","0.444493648581107","0.421544396897881","0.467442900264332","1"
"Full-time","1993","35-65 y.","Single parent ","149","0.533640666243046","0.474679435602095","0.592601896883996","1"
"Full-time","1993","35-65 y.","Couple + C. LE 16 ","1027","0.642548814470434","0.618320118798998","0.666777510141871","1"
"Full-time","1993","35-65 y.","Couple + C. GT 16 ","812","0.52329924410165","0.498107537396994","0.548490950806306","1"
"Full-time","1993","35-65 y.","Couple + C. LE and GT 16","475","0.633693844901564","0.59876765145812","0.668620038345007","1"
"Full-time","1993","66 and older","1-pers.-HH","1","","","","1"
"Full-time","1993","66 and older","(Married) couple without C. ","4","","","","1"
"Full-time","1993","66 and older","Single parent ","","","","","1"
"Full-time","1993","66 and older","Couple + C. LE 16 ","","","","","1"
"Full-time","1993","66 and older","Couple + C. GT 16 ","","","","","1"
"Full-time","1993","66 and older","Couple + C. LE and GT 16","","","","","1"
"Non-working","1993","16-34 y.","1-pers.-HH","73","0.207420559593603","0.166866925258846","0.247974193928359","5"
"Non-working","1993","16-34 y.","(Married) couple without C. ","101","0.107008728279044","0.0856012731991081","0.128416183358979","5"
"Non-working","1993","16-34 y.","Single parent ","114","0.40987983826329","0.353373117989224","0.466386558537356","5"
"Non-working","1993","16-34 y.","Couple + C. LE 16 ","524","0.32566730919505","0.3028332552662","0.3485013631239","5"
"Non-working","1993","16-34 y.","Couple + C. GT 16 ","391","0.402906290990894","0.37249123509686","0.433321346884928","5"
"Non-working","1993","16-34 y.","Couple + C. LE and GT 16","220","0.489071712835616","0.44334099754101","0.534802428130221","5"
"Non-working","1993","35-65 y.","1-pers.-HH","199","0.346665564885704","0.306072274415876","0.387258855355532","5"
"Non-working","1993","35-65 y.","Couple + C. LE and GT 16","147","0.191677951103633","0.163143620125288","0.220212282081978","5"
"Non-working","1993","66 and older","Single parent ","41","0.95856115504885","0.898286160553748","1.01883614954395","5"
"Non-working","1993","66 and older","Couple + C. LE 16 ","1","","","","5"
"Non-working","1993","35-65 y.","(Married) couple without C. ","847","0.474335507849256","0.451273964205029","0.497397051493482","5"
"Non-working","1993","35-65 y.","Single parent ","85","0.294921836514263","0.241026170727265","0.348817502301261","5"
"Non-working","1993","35-65 y.","Couple + C. LE 16 ","285","0.200767141987284","0.180515903683745","0.221018380290823","5"
"Non-working","1993","35-65 y.","Couple + C. GT 16 ","506","0.321820885464083","0.298257432298226","0.345384338629941","5"
"Non-working","1993","66 and older","1-pers.-HH","500","0.990075079231163","0.98143793003776","0.998712228424565","5"
"Non-working","1993","66 and older","(Married) couple without C. ","720","0.982079489205945","0.972482200186104","0.991676778225785","5"
"Non-working","1993","66 and older","Couple + C. GT 16 ","84","0.952995021905567","0.908521071437353","0.997468972373781","5"
"Non-working","1993","66 and older","Couple + C. LE and GT 16","1","","","","5"
"Other","1993","16-34 y.","(Married) couple without C. ","48","0.0610430471245088","0.0444634956934406","0.077622598555577","6"
"Other","1993","16-34 y.","1-pers.-HH","32","0.0616098334255091","0.0375607117193925","0.0856589551316257","6"
"Other","1993","16-34 y.","Single parent ","44","0.167614149888507","0.124698145565706","0.210530154211309","6"
"Other","1993","16-34 y.","Couple + C. LE 16 ","51","0.0357403448328324","0.0266947902279994","0.0447858994376654","6"
"Other","1993","16-34 y.","Couple + C. GT 16 ","223","0.239325126812718","0.21286700380994","0.265783249815496","6"
"Other","1993","16-34 y.","Couple + C. LE and GT 16","150","0.330511753747591","0.287478252618158","0.373545254877025","6"
"Other","1993","35-65 y.","Single parent ","7","","","","6"
"Other","1993","35-65 y.","Couple + C. LE 16 ","24","","","","6"
"Other","1993","35-65 y.","1-pers.-HH","6","","","","6"
"Other","1993","35-65 y.","(Married) couple without C. ","18","","","","6"
"Other","1993","35-65 y.","Couple + C. GT 16 ","37","0.0341813950988176","0.0250170318913834","0.0433457583062519","6"
"Other","1993","35-65 y.","Couple + C. LE and GT 16","17","","","","6"
"Other","1993","66 and older","1-pers.-HH","4","","","","6"
"Other","1993","66 and older","(Married) couple without C. ","5","","","","6"
"Other","1993","66 and older","Single parent ","1","","","","6"
"Other","1993","66 and older","Couple + C. LE 16 ","","","","","6"
"Other","1993","66 and older","Couple + C. GT 16 ","2","","","","6"
"Other","1993","66 and older","Couple + C. LE and GT 16","","","","","6"
"Part-time","1993","16-34 y.","(Married) couple without C. ","34","0.0489813917777394","0.0340348093708525","0.0639279741846263","2"
"Part-time","1993","35-65 y.","1-pers.-HH","22","","","","2"
"Part-time","1993","35-65 y.","Couple + C. LE 16 ","167","0.138534994804095","0.121070052023314","0.155999937584877","2"
"Part-time","1993","16-34 y.","1-pers.-HH","9","","","","2"
"Part-time","1993","16-34 y.","Single parent ","22","","","","2"
"Part-time","1993","16-34 y.","Couple + C. GT 16 ","17","","","","2"
"Part-time","1993","16-34 y.","Couple + C. LE and GT 16","2","","","","2"
"Part-time","1993","16-34 y.","Couple + C. LE 16 ","186","0.136989505900984","0.1202358141612","0.153743197640767","2"
"Part-time","1993","35-65 y.","(Married) couple without C. ","116","0.0704839101323687","0.0586626252137864","0.082305195050951","2"
"Part-time","1993","35-65 y.","Single parent ","34","0.136655444003179","0.0960590657560669","0.177251822250292","2"
"Part-time","1993","35-65 y.","Couple + C. GT 16 ","155","0.120698475335449","0.104266891667724","0.137130059003173","2"
"Part-time","1993","66 and older","(Married) couple without C. ","5","","","","2"
"Part-time","1993","66 and older","Single parent ","","","","","2"
"Part-time","1993","35-65 y.","Couple + C. LE and GT 16","92","0.145093966110432","0.119562646059046","0.170625286161818","2"
"Part-time","1993","66 and older","1-pers.-HH","1","","","","2"
"Part-time","1993","66 and older","Couple + C. LE and GT 16","","","","","2"
"Part-time","1993","66 and older","Couple + C. LE 16 ","","","","","2"
"Part-time","1993","66 and older","Couple + C. GT 16 ","1","","","","2"
"Full-time","1994","16-34 y.","1-pers.-HH","270","0.693367368489358","0.647605191968167","0.73912954501055","1"
"Full-time","1994","16-34 y.","(Married) couple without C. ","658","0.7784082349347","0.75081078310252","0.80600568676688","1"
"Full-time","1994","16-34 y.","Single parent ","99","0.335024517260781","0.279540639683312","0.39050839483825","1"
"Full-time","1994","16-34 y.","Couple + C. LE 16 ","746","0.468497679284984","0.443469176136098","0.493526182433871","1"
"Full-time","1994","16-34 y.","Couple + C. GT 16 ","361","0.356341583974","0.325709519034472","0.386973648913528","1"
"Full-time","1994","16-34 y.","Couple + C. LE and GT 16","76","0.14894973130648","0.116235263374045","0.181664199238914","1"
"Full-time","1994","35-65 y.","1-pers.-HH","278","0.573563762047247","0.529996186239626","0.617131337854867","1"
"Full-time","1994","35-65 y.","(Married) couple without C. ","815","0.436890313547363","0.413995720167845","0.459784906926881","1"
"Full-time","1994","35-65 y.","Single parent ","133","0.484318260291893","0.423688739477007","0.544947781106779","1"
"Full-time","1994","35-65 y.","Couple + C. LE 16 ","983","0.621435325637516","0.596881719451944","0.645988931823088","1"
"Full-time","1994","35-65 y.","Couple + C. GT 16 ","773","0.508142977142635","0.482267645931403","0.534018308353867","1"
"Full-time","1994","35-65 y.","Couple + C. LE and GT 16","445","0.598761279211961","0.563107296216468","0.634415262207454","1"
"Full-time","1994","66 and older","1-pers.-HH","3","","","","1"
"Full-time","1994","66 and older","(Married) couple without C. ","6","","","","1"
"Full-time","1994","66 and older","Single parent ","","","","","1"
"Full-time","1994","66 and older","Couple + C. LE 16 ","","","","","1"
"Full-time","1994","66 and older","Couple + C. GT 16 ","","","","","1"
"Full-time","1994","66 and older","Couple + C. LE and GT 16","","","","","1"
"Non-working","1994","16-34 y.","1-pers.-HH","83","0.212877110479155","0.17225134643934","0.253502874518969","5"
"Non-working","1994","16-34 y.","(Married) couple without C. ","132","0.130607932993468","0.10821654169925","0.152999324287686","5"
"Non-working","1994","16-34 y.","Single parent ","111","0.386517238970753","0.329275698999758","0.443758778941748","5"
"Non-working","1994","16-34 y.","Couple + C. LE 16 ","545","0.35041424816005","0.326484523804849","0.374343972515251","5"
"Non-working","1994","16-34 y.","Couple + C. GT 16 ","390","0.445703720805923","0.413912338887581","0.477495102724266","5"
"Non-working","1994","16-34 y.","Couple + C. LE and GT 16","223","0.533028068979364","0.487186146686217","0.578869991272511","5"
"Non-working","1994","35-65 y.","1-pers.-HH","184","0.360057950765817","0.317771423749347","0.402344477782286","5"
"Non-working","1994","35-65 y.","Couple + C. LE and GT 16","169","0.22026671367307","0.190120883098782","0.250412544247358","5"
"Non-working","1994","66 and older","Single parent ","41","1","1","1","5"
"Non-working","1994","66 and older","Couple + C. LE 16 ","1","","","","5"
"Non-working","1994","66 and older","Couple + C. GT 16 ","90","0.967064585595101","0.930793051643919","1.00333611954628","5"
"Non-working","1994","66 and older","Couple + C. LE and GT 16","1","","","","5"
"Non-working","1994","35-65 y.","(Married) couple without C. ","843","0.475709672023456","0.452657750023702","0.49876159402321","5"
"Non-working","1994","35-65 y.","Single parent ","93","0.346526187787815","0.288795070610577","0.404257304965054","5"
"Non-working","1994","35-65 y.","Couple + C. LE 16 ","324","0.221181871678428","0.200171193777847","0.242192549579009","5"
"Non-working","1994","35-65 y.","Couple + C. GT 16 ","481","0.342217276738467","0.317660819454693","0.366773734022241","5"
"Non-working","1994","66 and older","1-pers.-HH","524","0.991024086610426","0.982994529564206","0.999053643656646","5"
"Non-working","1994","66 and older","(Married) couple without C. ","720","0.982142755741399","0.972549034862758","0.991736476620039","5"
"Other","1994","16-34 y.","(Married) couple without C. ","42","0.043608900698522","0.0300384648272051","0.0571793365698389","6"
"Other","1994","16-34 y.","1-pers.-HH","25","","","","6"
"Other","1994","16-34 y.","Single parent ","47","0.203416790396401","0.15609788760247","0.250735693190331","6"
"Other","1994","16-34 y.","Couple + C. LE 16 ","62","0.0499215023932192","0.0389982456745605","0.0608447591118779","6"
"Other","1994","16-34 y.","Couple + C. GT 16 ","178","0.186686211230513","0.161763201705106","0.21160922075592","6"
"Other","1994","16-34 y.","Couple + C. LE and GT 16","151","0.309077144786531","0.266616105677514","0.351538183895548","6"
"Other","1994","35-65 y.","Couple + C. LE 16 ","43","0.0378926968333666","0.0282269194641136","0.0475584742026197","6"
"Other","1994","35-65 y.","Couple + C. LE and GT 16","25","","","","6"
"Other","1994","66 and older","1-pers.-HH","1","","","","6"
"Other","1994","66 and older","(Married) couple without C. ","3","","","","6"
"Other","1994","35-65 y.","1-pers.-HH","7","","","","6"
"Other","1994","35-65 y.","(Married) couple without C. ","21","","","","6"
"Other","1994","35-65 y.","Single parent ","10","","","","6"
"Other","1994","35-65 y.","Couple + C. GT 16 ","28","","","","6"
"Other","1994","66 and older","Single parent ","","","","","6"
"Other","1994","66 and older","Couple + C. LE 16 ","","","","","6"
"Other","1994","66 and older","Couple + C. GT 16 ","1","","","","6"
"Other","1994","66 and older","Couple + C. LE and GT 16","","","","","6"
"Part-time","1994","16-34 y.","1-pers.-HH","12","","","","2"
"Part-time","1994","16-34 y.","(Married) couple without C. ","38","0.0473749313733104","0.0332585375932031","0.0614913251534177","2"
"Part-time","1994","16-34 y.","Single parent ","21","","","","2"
"Part-time","1994","16-34 y.","Couple + C. LE 16 ","174","0.131166570161747","0.114234564106842","0.148098576216651","2"
"Part-time","1994","16-34 y.","Couple + C. GT 16 ","10","","","","2"
"Part-time","1994","16-34 y.","Couple + C. LE and GT 16","5","","","","2"
"Part-time","1994","35-65 y.","1-pers.-HH","26","","","","2"
"Part-time","1994","35-65 y.","Couple + C. LE 16 ","149","0.119490105850689","0.103069833062291","0.135910378639088","2"
"Part-time","1994","35-65 y.","(Married) couple without C. ","124","0.074250220599575","0.0621485337572126","0.0863519074419373","2"
"Part-time","1994","35-65 y.","Single parent ","25","","","","2"
"Part-time","1994","35-65 y.","Couple + C. GT 16 ","152","0.123038940280719","0.106037529485503","0.140040351075934","2"
"Part-time","1994","66 and older","(Married) couple without C. ","3","","","","2"
"Part-time","1994","66 and older","Single parent ","","","","","2"
"Part-time","1994","35-65 y.","Couple + C. LE and GT 16","87","0.139458902855565","0.114259589286518","0.164658216424612","2"
"Part-time","1994","66 and older","1-pers.-HH","2","","","","2"
"Part-time","1994","66 and older","Couple + C. LE and GT 16","","","","","2"
"Part-time","1994","66 and older","Couple + C. LE 16 ","","","","","2"
"Part-time","1994","66 and older","Couple + C. GT 16 ","2","","","","2"
"Full-time","1995","16-34 y.","1-pers.-HH","291","0.695117600769863","0.650665242871325","0.7395699586684","1"
"Full-time","1995","16-34 y.","(Married) couple without C. ","703","0.781595907842529","0.754825248474362","0.808366567210696","1"
"Full-time","1995","16-34 y.","Single parent ","99","0.302513218857834","0.250534253260896","0.354492184454772","1"
"Full-time","1995","16-34 y.","Couple + C. LE 16 ","762","0.476372827840421","0.45151708366569","0.501228572015151","1"
"Full-time","1995","16-34 y.","Couple + C. GT 16 ","338","0.322541664715366","0.292863581545759","0.352219747884972","1"
"Full-time","1995","16-34 y.","Couple + C. LE and GT 16","86","0.151683450855296","0.120051011325667","0.183315890384925","1"
"Full-time","1995","35-65 y.","1-pers.-HH","278","0.536877436154768","0.493516187368668","0.580238684940868","1"
"Full-time","1995","35-65 y.","(Married) couple without C. ","823","0.431926634793756","0.409391180804957","0.454462088782554","1"
"Full-time","1995","35-65 y.","Single parent ","146","0.519265978862756","0.460321801131693","0.578210156593819","1"
"Full-time","1995","35-65 y.","Couple + C. LE 16 ","1020","0.607059665858453","0.583173067076282","0.630946264640625","1"
"Full-time","1995","66 and older","Couple + C. LE 16 ","","","","","1"
"Full-time","1995","35-65 y.","Couple + C. GT 16 ","773","0.498218657408032","0.472518656665043","0.523918658151021","1"
"Full-time","1995","35-65 y.","Couple + C. LE and GT 16","471","0.600391014065872","0.565475221245201","0.635306806886543","1"
"Full-time","1995","66 and older","1-pers.-HH","3","","","","1"
"Full-time","1995","66 and older","(Married) couple without C. ","4","","","","1"
"Full-time","1995","66 and older","Single parent ","","","","","1"
"Full-time","1995","66 and older","Couple + C. GT 16 ","2","","","","1"
"Full-time","1995","66 and older","Couple + C. LE and GT 16","","","","","1"
"Non-working","1995","16-34 y.","1-pers.-HH","74","0.196988822946489","0.158584415315747","0.235393230577232","5"
"Non-working","1995","16-34 y.","(Married) couple without C. ","126","0.124978826158139","0.103551644785042","0.146406007531237","5"
"Non-working","1995","16-34 y.","Single parent ","133","0.443503486683","0.387286546124638","0.499720427241362","5"
"Non-working","1995","16-34 y.","Couple + C. LE 16 ","561","0.358463195934288","0.334597436067973","0.382328955800604","5"
"Non-working","1995","16-34 y.","Couple + C. GT 16 ","393","0.445977022650867","0.414418128915396","0.477535916386339","5"
"Non-working","1995","16-34 y.","Couple + C. LE and GT 16","252","0.537668870539014","0.493702700922089","0.58163504015594","5"
"Non-working","1995","35-65 y.","1-pers.-HH","194","0.379583223613397","0.337383315418411","0.421783131808383","5"
"Non-working","1995","35-65 y.","Couple + C. LE and GT 16","181","0.232600600496568","0.202484181089513","0.262717019903623","5"
"Non-working","1995","66 and older","Single parent ","40","1","1","1","5"
"Non-working","1995","66 and older","Couple + C. LE 16 ","1","","","","5"
"Non-working","1995","66 and older","Couple + C. GT 16 ","95","0.962737209170891","0.925427482991536","1.00004693535025","5"
"Non-working","1995","66 and older","Couple + C. LE and GT 16","","","","","5"
"Non-working","1995","35-65 y.","(Married) couple without C. ","855","0.466991993979555","0.444294354746504","0.489689633212605","5"
"Non-working","1995","35-65 y.","Single parent ","84","0.277251863519242","0.224440877370663","0.330062849667821","5"
"Non-working","1995","35-65 y.","Couple + C. LE 16 ","354","0.230259420202894","0.209669426430852","0.250849413974937","5"
"Non-working","1995","35-65 y.","Couple + C. GT 16 ","478","0.353788878808804","0.329212087022303","0.378365670595305","5"
"Non-working","1995","66 and older","1-pers.-HH","529","0.977665594406354","0.965202279267865","0.990128909544842","5"
"Non-working","1995","66 and older","(Married) couple without C. ","742","0.981148829443075","0.971454365500606","0.990843293385544","5"
"Other","1995","16-34 y.","(Married) couple without C. ","38","0.0435849508163009","0.0303558896442675","0.0568140119883344","6"
"Other","1995","16-34 y.","1-pers.-HH","34","0.0754169253756529","0.0499188815067506","0.100914969244555","6"
"Other","1995","16-34 y.","Single parent ","47","0.191256476540636","0.146752281844792","0.235760671236481","6"
"Other","1995","16-34 y.","Couple + C. LE 16 ","52","0.0369588080692995","0.0275697159042234","0.0463479002343756","6"
"Other","1995","16-34 y.","Couple + C. GT 16 ","207","0.215936217004419","0.18981219253567","0.242060241473169","6"
"Other","1995","16-34 y.","Couple + C. LE and GT 16","152","0.303522013451435","0.26297737696746","0.344066649935411","6"
"Other","1995","35-65 y.","Couple + C. LE 16 ","49","0.0358774987619662","0.0267814556725634","0.044973541851369","6"
"Other","1995","35-65 y.","Couple + C. LE and GT 16","14","","","","6"
"Other","1995","66 and older","1-pers.-HH","5","","","","6"
"Other","1995","66 and older","(Married) couple without C. ","5","","","","6"
"Other","1995","35-65 y.","1-pers.-HH","8","","","","6"
"Other","1995","35-65 y.","(Married) couple without C. ","43","0.0241506895862078","0.0171665123346918","0.0311348668377238","6"
"Other","1995","35-65 y.","Single parent ","12","","","","6"
"Other","1995","35-65 y.","Couple + C. GT 16 ","40","0.029147309398653","0.0205007805951938","0.0377938382021121","6"
"Other","1995","66 and older","Single parent ","","","","","6"
"Other","1995","66 and older","Couple + C. LE 16 ","","","","","6"
"Other","1995","66 and older","Couple + C. GT 16 ","1","","","","6"
"Other","1995","66 and older","Couple + C. LE and GT 16","","","","","6"
"Part-time","1995","16-34 y.","1-pers.-HH","13","","","","2"
"Part-time","1995","16-34 y.","(Married) couple without C. ","48","0.049840315183031","0.0357400839852645","0.0639405463807975","2"
"Part-time","1995","16-34 y.","Single parent ","21","","","","2"
"Part-time","1995","16-34 y.","Couple + C. LE 16 ","176","0.128205168155992","0.111567130476504","0.14484320583548","2"
"Part-time","1995","16-34 y.","Couple + C. GT 16 ","15","","","","2"
"Part-time","1995","16-34 y.","Couple + C. LE and GT 16","4","","","","2"
"Part-time","1995","35-65 y.","1-pers.-HH","28","","","","2"
"Part-time","1995","35-65 y.","Couple + C. LE 16 ","183","0.126803415176686","0.110529321557009","0.143077508796363","2"
"Part-time","1995","35-65 y.","(Married) couple without C. ","135","0.076930681640482","0.0648072364539627","0.0890541268270013","2"
"Part-time","1995","35-65 y.","Single parent ","34","0.149954944780356","0.107834308963727","0.192075580596985","2"
"Part-time","1995","35-65 y.","Couple + C. GT 16 ","163","0.118845154384511","0.102211688788864","0.135478619980159","2"
"Part-time","1995","66 and older","(Married) couple without C. ","5","","","","2"
"Part-time","1995","66 and older","Single parent ","","","","","2"
"Part-time","1995","35-65 y.","Couple + C. LE and GT 16","90","0.141865805171946","0.116994208813291","0.166737401530602","2"
"Part-time","1995","66 and older","1-pers.-HH","3","","","","2"
"Part-time","1995","66 and older","Couple + C. LE and GT 16","","","","","2"
"Part-time","1995","66 and older","Couple + C. LE 16 ","","","","","2"
"Part-time","1995","66 and older","Couple + C. GT 16 ","1","","","","2"
"Full-time","1996","16-34 y.","Couple + C. LE 16 ","683","0.449375184137533","0.423903262394828","0.474847105880238","1"
"Full-time","1996","16-34 y.","1-pers.-HH","306","0.677262123585767","0.633377921235154","0.72114632593638","1"
"Full-time","1996","16-34 y.","(Married) couple without C. ","665","0.767866061532567","0.739955684077275","0.795776438987858","1"
"Full-time","1996","16-34 y.","Single parent ","103","0.301188503366612","0.251079083936611","0.351297922796613","1"
"Full-time","1996","16-34 y.","Couple + C. GT 16 ","340","0.348327881468626","0.317218284491062","0.379437478446191","1"
"Full-time","1996","16-34 y.","Couple + C. LE and GT 16","73","0.119170845067251","0.0899112381404539","0.148430451994047","1"
"Full-time","1996","35-65 y.","1-pers.-HH","278","0.541620025337019","0.498917120237253","0.584322930436785","1"
"Full-time","1996","35-65 y.","(Married) couple without C. ","827","0.423433297928566","0.401180973358065","0.445685622499066","1"
"Full-time","1996","35-65 y.","Single parent ","149","0.487640521910691","0.430111581769105","0.545169462052277","1"
"Full-time","1996","35-65 y.","Couple + C. LE 16 ","976","0.611379994066954","0.587058888281737","0.63570109985217","1"
"Full-time","1996","35-65 y.","Couple + C. GT 16 ","702","0.487133693415549","0.460666129145511","0.513601257685587","1"
"Full-time","1996","35-65 y.","Couple + C. LE and GT 16","477","0.592643927749871","0.55822865413422","0.627059201365521","1"
"Full-time","1996","66 and older","1-pers.-HH","2","","","","1"
"Full-time","1996","66 and older","(Married) couple without C. ","7","","","","1"
"Full-time","1996","66 and older","Single parent ","","","","","1"
"Full-time","1996","66 and older","Couple + C. LE 16 ","","","","","1"
"Full-time","1996","66 and older","Couple + C. GT 16 ","3","","","","1"
"Full-time","1996","66 and older","Couple + C. LE and GT 16","","","","","1"
"Non-working","1996","16-34 y.","1-pers.-HH","81","0.201162717434604","0.163535010220453","0.238790424648754","5"
"Non-working","1996","16-34 y.","Couple + C. LE 16 ","563","0.386212232274677","0.361280560222188","0.411143904327166","5"
"Non-working","1996","16-34 y.","Couple + C. GT 16 ","367","0.437635066419326","0.40524208898937","0.470028043849283","5"
"Non-working","1996","66 and older","Single parent ","40","0.94556449558647","0.876950904493011","1.01417808667993","5"
"Non-working","1996","66 and older","Couple + C. LE and GT 16","","","","","5"
"Non-working","1996","16-34 y.","(Married) couple without C. ","128","0.133158901107328","0.110698965762112","0.155618836452544","5"
"Non-working","1996","16-34 y.","Single parent ","145","0.450171055433844","0.395830667014689","0.504511443852999","5"
"Non-working","1996","16-34 y.","Couple + C. LE and GT 16","236","0.538158378197817","0.493134881062182","0.583181875333452","5"
"Non-working","1996","35-65 y.","1-pers.-HH","204","0.37190890891235","0.330487310465007","0.413330507359693","5"
"Non-working","1996","35-65 y.","(Married) couple without C. ","882","0.474752545236497","0.452263359417861","0.497241731055133","5"
"Non-working","1996","35-65 y.","Single parent ","85","0.287709703424686","0.235607647492772","0.339811759356599","5"
"Non-working","1996","35-65 y.","Couple + C. LE 16 ","319","0.211388557065275","0.191016381868192","0.231760732262358","5"
"Non-working","1996","35-65 y.","Couple + C. LE and GT 16","172","0.209987627979749","0.181458991824375","0.238516264135122","5"
"Non-working","1996","66 and older","1-pers.-HH","524","0.981794185488907","0.970422728444254","0.993165642533559","5"
"Non-working","1996","66 and older","(Married) couple without C. ","777","0.976308407685025","0.965749729086716","0.986867086283333","5"
"Non-working","1996","66 and older","Couple + C. LE 16 ","1","","","","5"
"Non-working","1996","66 and older","Couple + C. GT 16 ","98","0.936048375456276","0.889471527371198","0.982625223541355","5"
"Non-working","1996","35-65 y.","Couple + C. GT 16 ","468","0.3467771986475","0.321574691748259","0.371979705546741","5"
"Other","1996","16-34 y.","1-pers.-HH","35","0.0838099176641046","0.057799618551026","0.109820216777183","6"
"Other","1996","16-34 y.","(Married) couple without C. ","47","0.0538228300659088","0.03890439903767","0.0687412610941475","6"
"Other","1996","16-34 y.","Single parent ","53","0.188518914011679","0.145798365451706","0.231239462571652","6"
"Other","1996","16-34 y.","Couple + C. LE 16 ","50","0.0321806922952799","0.0231436958595007","0.0412176887310591","6"
"Other","1996","16-34 y.","Couple + C. GT 16 ","171","0.179918580889563","0.154837156886556","0.20500000489257","6"
"Other","1996","16-34 y.","Couple + C. LE and GT 16","152","0.32241439197882","0.280203266321973","0.364625517635667","6"
"Other","1996","35-65 y.","Couple + C. LE 16 ","52","0.042806969705769","0.0327069520145761","0.0529069873969619","6"
"Other","1996","35-65 y.","Couple + C. LE and GT 16","19","","","","6"
"Other","1996","66 and older","1-pers.-HH","2","","","","6"
"Other","1996","66 and older","(Married) couple without C. ","7","","","","6"
"Other","1996","35-65 y.","1-pers.-HH","7","","","","6"
"Other","1996","35-65 y.","(Married) couple without C. ","37","0.0214658947053003","0.0149387899252657","0.0279929994853349","6"
"Other","1996","35-65 y.","Single parent ","9","","","","6"
"Other","1996","35-65 y.","Couple + C. GT 16 ","33","0.0313920210595995","0.0221584123399174","0.0406256297792816","6"
"Other","1996","66 and older","Single parent ","2","","","","6"
"Other","1996","66 and older","Couple + C. LE 16 ","","","","","6"
"Other","1996","66 and older","Couple + C. GT 16 ","3","","","","6"
"Other","1996","66 and older","Couple + C. LE and GT 16","","","","","6"
"Part-time","1996","16-34 y.","(Married) couple without C. ","39","0.0451522072941962","0.0314256944529617","0.0588787201354308","2"
"Part-time","1996","16-34 y.","1-pers.-HH","14","","","","2"
"Part-time","1996","16-34 y.","Couple + C. LE 16 ","169","0.13223189129251","0.114885895921106","0.149577886663914","2"
"Part-time","1996","16-34 y.","Couple + C. GT 16 ","23","","","","2"
"Part-time","1996","16-34 y.","Couple + C. LE and GT 16","10","","","","2"
"Part-time","1996","35-65 y.","1-pers.-HH","34","0.070622531314736","0.0486659380802579","0.0925791245492142","2"
"Part-time","1996","35-65 y.","Couple + C. LE 16 ","196","0.134424479162002","0.117404587469707","0.151444370854298","2"
"Part-time","1996","35-65 y.","Couple + C. GT 16 ","167","0.134697086877352","0.116619061489031","0.152775112265672","2"
"Part-time","1996","16-34 y.","Single parent ","21","","","","2"
"Part-time","1996","35-65 y.","(Married) couple without C. ","148","0.0803482621296369","0.0681061022918177","0.0925904219674561","2"
"Part-time","1996","35-65 y.","Single parent ","47","0.196304138714164","0.150589037460539","0.242019239967789","2"
