"erwst","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"Full-time","1998","direct migration background","Female","293","0.243478173801551","0.219185280177947","0.267771067425155"
"Full-time","1998","indirect migration background","Male","135","0.388103289184508","0.333855759622179","0.442350818746838"
"Full-time","1998","indirect migration background","Female","85","0.263661011522183","0.213295148379535","0.31402687466483"
"Part-time","1998","no migration background","Male","87","0.022805862107936","0.0188182836699991","0.026793440545873"
"Part-time","1998","no migration background","Female","833","0.137025887924618","0.128264744158416","0.14578703169082"
"Part-time","1998","direct migration background","Male","","","",""
"Part-time","1998","direct migration background","Female","147","0.128976127881029","0.110004342824397","0.14794791293766"
"Part-time","1998","indirect migration background","Male","","","",""
"Part-time","1998","indirect migration background","Female","","","",""
"Non-working","1998","no migration background","Male","1740","0.358476070574532","0.34566657343875","0.371285567710314"
"Non-working","1998","no migration background","Female","3046","0.583062421100554","0.570500569558895","0.595624272642214"
"Non-working","1998","direct migration background","Male","432","0.391480360599962","0.364114773020022","0.418845948179902"
"Non-working","1998","direct migration background","Female","705","0.585308207076296","0.557421738113968","0.613194676038624"
"Non-working","1998","indirect migration background","Male","119","0.423782351049753","0.368773578393071","0.478791123706434"
"Non-working","1998","indirect migration background","Female","127","0.488111818152236","0.430974264941594","0.545249371362878"
"Other","1998","no migration background","Male","278","0.044831557798436","0.0393040741939952","0.0503590414028768"
"Other","1998","no migration background","Female","332","0.0435754601086795","0.0383742193556995","0.0487767008616595"
"Other","1998","direct migration background","Male","31","0.0305175525262523","0.0208735500388134","0.0401615550136911"
"Other","1998","direct migration background","Female","54","0.0422374912411246","0.0308529253978252","0.053622057084424"
"Other","1998","indirect migration background","Male","51","0.1681070000809","0.126478201414241","0.209735798747559"
"Other","1998","indirect migration background","Female","55","0.148700744237454","0.108030936086195","0.189370552388713"
"Full-time","1999","no migration background","Male","3218","0.58093281530081","0.567543990626692","0.594321639974928"
"Full-time","1999","no migration background","Female","1661","0.242271153115923","0.231163821331345","0.253378484900501"
"Full-time","1999","direct migration background","Male","681","0.571168556933262","0.542145245577783","0.600191868288742"
"Full-time","1999","direct migration background","Female","260","0.240420113189461","0.215235072644051","0.265605153734871"
"Full-time","1999","indirect migration background","Male","142","0.393947364409343","0.339642070530352","0.448252658288333"
"Full-time","1999","indirect migration background","Female","99","0.306713350720298","0.254619363161415","0.358807338279181"
"Part-time","1999","no migration background","Male","96","0.023501112706453","0.0193903939778313","0.0276118314350747"
"Part-time","1999","no migration background","Female","840","0.132893817388763","0.124093658555712","0.141693976221813"
"Part-time","1999","direct migration background","Male","","","",""
"Part-time","1999","direct migration background","Female","142","0.130004930723634","0.110184694088212","0.149825167359056"
"Part-time","1999","indirect migration background","Male","","","",""
"Part-time","1999","indirect migration background","Female","","","",""
"Non-working","1999","no migration background","Male","1629","0.350313948447152","0.337368468419317","0.363259428474988"
"Non-working","1999","no migration background","Female","2788","0.555897395757158","0.54301665140777","0.568778140106547"
"Non-working","1999","direct migration background","Male","389","0.37508161717648","0.346689613375643","0.403473620977317"
"Non-working","1999","direct migration background","Female","642","0.56831433317109","0.539123355095584","0.597505311246595"
"Non-working","1999","indirect migration background","Male","98","0.345111653547415","0.292275482194889","0.397947824899941"
"Non-working","1999","indirect migration background","Female","133","0.489928438435659","0.433454675921533","0.546402200949785"
"Other","1999","no migration background","Male","274","0.0452521235455843","0.0396118326218688","0.0508924144692998"
"Other","1999","no migration background","Female","427","0.0689376337381559","0.0623698392712045","0.0755054282051072"
"Other","1999","direct migration background","Male","35","0.0416779829006107","0.0299579027007543","0.0533980631004672"
"Other","1999","direct migration background","Female","62","0.0612606229158153","0.0471276427474912","0.0753936030841395"
"Other","1999","indirect migration background","Male","64","0.230968910505825","0.184128940527718","0.277808880483932"
"Other","1999","indirect migration background","Female","45","0.124250460286607","0.0869852303564198","0.161515690216795"
"Full-time","2000","no migration background","Male","5725","0.581399417703167","0.571532492480238","0.591266342926097"
"Full-time","2000","no migration background","Female","2689","0.236479214546611","0.228347002936145","0.244611426157078"
"Full-time","2000","direct migration background","Male","967","0.570307662785877","0.546363760994419","0.594251564577336"
"Full-time","2000","direct migration background","Female","393","0.23836631740142","0.218123832328942","0.258608802473898"
"Full-time","2000","indirect migration background","Male","189","0.431270162939288","0.383390080106543","0.479150245772034"
"Full-time","2000","indirect migration background","Female","124","0.286064339926196","0.242844331738668","0.329284348113723"
"Part-time","2000","no migration background","Male","173","0.0218517901509259","0.0189277019428653","0.0247758783589865"
"Part-time","2000","no migration background","Female","1726","0.152130557039917","0.145257111891554","0.15900400218828"
"Part-time","2000","direct migration background","Male","","","",""
"Part-time","2000","direct migration background","Female","265","0.160403791978989","0.14296923714348","0.177838346814498"
"Part-time","2000","indirect migration background","Male","","","",""
"Part-time","2000","indirect migration background","Female","41","0.104863432947816","0.0755625889070447","0.134164276988586"
"Non-working","2000","no migration background","Male","3236","0.349655073022053","0.340117531935601","0.359192614108505"
"Non-working","2000","no migration background","Female","5317","0.545388319074569","0.535858712684252","0.554917925464886"
"Non-working","2000","direct migration background","Male","584","0.364523080795553","0.341243566154752","0.387802595436354"
"Non-working","2000","direct migration background","Female","951","0.542833692289095","0.519166931622457","0.566500452955733"
"Non-working","2000","indirect migration background","Male","131","0.334601257912902","0.288983708357573","0.38021880746823"
"Non-working","2000","indirect migration background","Female","202","0.492157893905323","0.444345550890292","0.539970236920355"
"Other","2000","no migration background","Male","469","0.0470937191238536","0.0428567898353908","0.0513306484123163"
"Other","2000","no migration background","Female","756","0.0660019093389021","0.061250165771131","0.0707536529066732"
"Other","2000","direct migration background","Male","66","0.0435868097795286","0.0337112474429838","0.0534623721160734"
"Other","2000","direct migration background","Female","93","0.0583961983304963","0.0472559543530469","0.0695364423079458"
"Other","2000","indirect migration background","Male","81","0.199286520501084","0.160667192531932","0.237905848470236"
"Other","2000","indirect migration background","Female","53","0.116914333220665","0.0861846033699659","0.147644063071365"
"Full-time","2001","no migration background","Male","5106","0.568746420606239","0.558374802375303","0.579118038837175"
"Full-time","2001","no migration background","Female","2470","0.238415279878528","0.229883371921187","0.246947187835869"
"Full-time","2001","direct migration background","Male","859","0.554114911594068","0.528468517088525","0.579761306099611"
"Full-time","2001","direct migration background","Female","346","0.224254650678728","0.203161403389734","0.245347897967722"
"Full-time","2001","indirect migration background","Male","185","0.493026074829388","0.442758949614642","0.543293200044134"
"Full-time","2001","indirect migration background","Female","116","0.291918641724265","0.24719621791461","0.336641065533919"
"Part-time","2001","no migration background","Male","172","0.0235829983807049","0.0204051146409022","0.0267608821205076"
"Part-time","2001","no migration background","Female","1595","0.154602943883539","0.14736426597057","0.161841621796509"
"Part-time","2001","direct migration background","Male","","","",""
"Part-time","2001","direct migration background","Female","242","0.164367169713607","0.14562463127247","0.183109708154744"
"Part-time","2001","indirect migration background","Male","","","",""
"Part-time","2001","indirect migration background","Female","35","0.0914081477913166","0.0630596721393665","0.119756623443267"
"Non-working","2001","no migration background","Male","3032","0.359839758100873","0.349788515625708","0.369891000576038"
"Non-working","2001","no migration background","Female","4771","0.535875353902457","0.525889867721878","0.545860840083037"
"Non-working","2001","direct migration background","Male","505","0.377620986604836","0.352607717431108","0.402634255778565"
"Non-working","2001","direct migration background","Female","813","0.542365536003734","0.517170294309626","0.567560777697841"
"Non-working","2001","indirect migration background","Male","115","0.299411795092857","0.253362588079654","0.34546100210606"
"Non-working","2001","indirect migration background","Female","195","0.481717757024923","0.432566760191738","0.530868753858108"
"Other","2001","no migration background","Male","449","0.0478308229121836","0.043361602088695","0.0523000437356723"
"Other","2001","no migration background","Female","746","0.0711064223354757","0.0659605690255009","0.0762522756454504"
"Other","2001","direct migration background","Male","60","0.0519919263630473","0.0405370897784281","0.0634467629476664"
"Other","2001","direct migration background","Female","101","0.069012643603931","0.0561937852681228","0.0818315019397393"
"Other","2001","indirect migration background","Male","76","0.198275744274176","0.158188740342213","0.238362748206139"
"Other","2001","indirect migration background","Female","51","0.134955453459495","0.101345547808951","0.16856535911004"
"Full-time","2002","no migration background","Male","5491","0.549475695143749","0.539436763869611","0.559514626417888"
"Full-time","2002","no migration background","Female","2651","0.227131804092067","0.218967598938173","0.235296009245961"
"Full-time","2002","direct migration background","Male","800","0.547513938481373","0.521147798123052","0.573880078839694"
"Full-time","2002","direct migration background","Female","328","0.21662315868313","0.195427242613333","0.237819074752928"
"Full-time","2002","indirect migration background","Male","185","0.460456274125599","0.409873668632134","0.511038879619065"
"Full-time","2002","indirect migration background","Female","116","0.277733588618114","0.234433369677142","0.321033807559086"
"Part-time","2002","no migration background","Male","178","0.020965903205679","0.0180751579486756","0.0238566484626824"
"Part-time","2002","no migration background","Female","1817","0.156729656388773","0.149645612872295","0.16381369990525"
"Part-time","2002","direct migration background","Male","","","",""
"Part-time","2002","direct migration background","Female","226","0.154949534297162","0.136330770380952","0.173568298213372"
"Part-time","2002","indirect migration background","Male","","","",""
"Part-time","2002","indirect migration background","Female","51","0.126048859119193","0.0939610388430682","0.158136679395317"
"Non-working","2002","no migration background","Male","3287","0.381459511118902","0.371658691065405","0.391260331172399"
"Non-working","2002","no migration background","Female","4858","0.542991801243023","0.533284894711507","0.552698707774539"
"Non-working","2002","direct migration background","Male","492","0.382536959249978","0.356792216812528","0.408281701687428"
"Non-working","2002","direct migration background","Female","793","0.544709115880819","0.519085454647498","0.570332777114139"
"Non-working","2002","indirect migration background","Male","114","0.313479346363833","0.266400594002513","0.360558098725154"
"Non-working","2002","indirect migration background","Female","193","0.468637975992565","0.420394212951012","0.516881739034118"
"Other","2002","no migration background","Male","480","0.0480988905316692","0.0437815374173511","0.0524162436459873"
"Other","2002","no migration background","Female","791","0.0731467382761374","0.0680730335403963","0.0782204430118785"
"Other","2002","direct migration background","Male","60","0.0551247148799451","0.0430352580230221","0.0672141717368681"
"Other","2002","direct migration background","Female","104","0.0837181911388886","0.0694674045914118","0.0979689776863654"
"Other","2002","indirect migration background","Male","69","0.205677158686741","0.164658143172904","0.246696174200577"
"Other","2002","indirect migration background","Female","51","0.127579576270129","0.095325792522657","0.1598333600176"
"Full-time","2003","no migration background","Male","5111","0.537400323079202","0.527146517984244","0.547654128174159"
"Full-time","2003","no migration background","Female","2466","0.222333302092208","0.214091923260957","0.230574680923458"
"Full-time","2003","direct migration background","Male","695","0.500634429589753","0.473167915534805","0.5281009436447"
"Full-time","2003","direct migration background","Female","305","0.215598929534846","0.193838702398412","0.23735915667128"
"Full-time","2003","indirect migration background","Male","186","0.475496396620072","0.424951151114763","0.526041642125382"
"Full-time","2003","indirect migration background","Female","108","0.263856803199382","0.221454510240567","0.306259096158196"
"Part-time","2003","no migration background","Male","181","0.0225598569144648","0.0195060140264493","0.0256136998024804"
"Part-time","2003","no migration background","Female","1779","0.156354192239405","0.149155796654416","0.163552587824395"
"Part-time","2003","direct migration background","Male","","","",""
"Part-time","2003","direct migration background","Female","230","0.160214075556291","0.140804963604539","0.179623187508042"
"Part-time","2003","indirect migration background","Male","","","",""
"Part-time","2003","indirect migration background","Female","55","0.121132705417659","0.0897408921146785","0.15252451872064"
"Non-working","2003","no migration background","Male","3302","0.391441622606055","0.381404295951147","0.401478949260963"
"Non-working","2003","no migration background","Female","4777","0.54830896888223","0.538445395578982","0.558172542185479"
"Non-working","2003","direct migration background","Male","502","0.423739741263116","0.396594555208866","0.450884927317367"
"Non-working","2003","direct migration background","Female","746","0.548797336538882","0.522466608941968","0.575128064135797"
"Non-working","2003","indirect migration background","Male","122","0.334306442369205","0.286559891196377","0.382052993542034"
"Non-working","2003","indirect migration background","Female","187","0.452806707928639","0.404916044756758","0.500697371100519"
"Other","2003","no migration background","Male","489","0.0485981974002783","0.0441761285587715","0.0530202662417852"
"Other","2003","no migration background","Female","757","0.0730035367861564","0.067847549272511","0.0781595242998017"
"Other","2003","direct migration background","Male","48","0.0440108915308707","0.0327430574208466","0.0552787256408948"
"Other","2003","direct migration background","Female","91","0.0753896583699811","0.0614193402273151","0.089359976512647"
"Other","2003","indirect migration background","Male","58","0.172448560953058","0.13421367988948","0.210683442016637"
"Other","2003","indirect migration background","Female","65","0.162203783454321","0.12673684265055","0.197670724258091"
"Full-time","2004","no migration background","Male","4913","0.52796903204681","0.517547623937408","0.538390440156212"
"Full-time","2004","no migration background","Female","2389","0.220912069380911","0.212593747807559","0.229230390954263"
"Full-time","2004","direct migration background","Male","671","0.509114614758813","0.481108348370796","0.53712088114683"
"Full-time","2004","direct migration background","Female","283","0.220173507001314","0.197887586538098","0.242459427464529"
"Full-time","2004","indirect migration background","Male","183","0.419387808175519","0.370413674357072","0.468361941993966"
"Full-time","2004","indirect migration background","Female","96","0.202848771875857","0.164437066048658","0.241260477703056"
"Part-time","2004","no migration background","Male","181","0.0232032383780769","0.0200604630208353","0.0263460137353185"
"Part-time","2004","no migration background","Female","1709","0.152608864278357","0.145398377516716","0.159819351039998"
"Part-time","2004","direct migration background","Male","","","",""
"Part-time","2004","direct migration background","Female","213","0.156177622530801","0.136652940210724","0.175702304850877"
"Part-time","2004","indirect migration background","Male","","","",""
"Part-time","2004","indirect migration background","Female","55","0.137098340701444","0.104243164969406","0.169953516433481"
"Non-working","2004","no migration background","Male","3246","0.399607221911072","0.389382033321287","0.409832410500857"
"Non-working","2004","no migration background","Female","4648","0.544786255454337","0.534801130600849","0.554771380307825"
"Non-working","2004","direct migration background","Male","489","0.431225980410383","0.403481300643211","0.458970660177555"
"Non-working","2004","direct migration background","Female","747","0.562151292386564","0.535468105603154","0.588834479169973"
"Non-working","2004","indirect migration background","Male","135","0.370477856047106","0.322548408788914","0.418407303305298"
"Non-working","2004","indirect migration background","Female","201","0.468538486218798","0.420871731143476","0.51620524129412"
"Other","2004","no migration background","Male","475","0.0492205076640415","0.044704549812204","0.053736465515879"
"Other","2004","no migration background","Female","809","0.0816928108863948","0.0762009610069313","0.0871846607658584"
"Other","2004","direct migration background","Male","44","0.0414767569594008","0.0303065530207338","0.0526469608980677"
"Other","2004","direct migration background","Female","85","0.061497578081322","0.0485765890250341","0.07441856713761"
"Other","2004","indirect migration background","Male","59","0.169868169287319","0.132599376603928","0.20713696197071"
"Other","2004","indirect migration background","Female","69","0.191514401203901","0.153926860987561","0.229101941420242"
"Full-time","2005","no migration background","Male","4612","0.532614562297834","0.521955634162612","0.543273490433056"
"Full-time","2005","no migration background","Female","2251","0.220534629388586","0.212051458838124","0.229017799939047"
"Full-time","2005","direct migration background","Male","586","0.473235975235015","0.444047469322574","0.502424481147455"
"Full-time","2005","direct migration background","Female","254","0.212417853022709","0.189833572614342","0.235002133431077"
"Full-time","2005","indirect migration background","Male","193","0.444118074558241","0.395787097496646","0.492449051619835"
"Full-time","2005","indirect migration background","Female","105","0.232987745747657","0.192985245560574","0.27299024593474"
"Part-time","2005","no migration background","Male","185","0.0235894631383413","0.0203472266825797","0.0268316995941029"
"Part-time","2005","no migration background","Female","1629","0.156882087854881","0.149440729373363","0.164323446336398"
"Part-time","2005","direct migration background","Male","","","",""
"Part-time","2005","direct migration background","Female","202","0.157757578114186","0.137630696611119","0.177884459617254"
"Part-time","2005","indirect migration background","Male","","","",""
"Part-time","2005","indirect migration background","Female","50","0.124105027974754","0.0929060656255287","0.155303990323979"
"Non-working","2005","no migration background","Male","3176","0.389329737074816","0.378913002414344","0.399746471735287"
"Non-working","2005","no migration background","Female","4507","0.540349179156797","0.530152173584819","0.550546184728774"
"Non-working","2005","direct migration background","Male","472","0.446314398932778","0.417252967670575","0.47537583019498"
"Non-working","2005","direct migration background","Female","694","0.540849524171511","0.513333951008976","0.568365097334047"
"Non-working","2005","indirect migration background","Male","149","0.379278697431573","0.332081889737488","0.426475505125657"
"Non-working","2005","indirect migration background","Female","209","0.49498551782234","0.44767392086707","0.54229711477761"
"Other","2005","no migration background","Male","444","0.0544662374890092","0.0496181367486735","0.0593143382293448"
"Other","2005","no migration background","Female","789","0.0822341035997374","0.0766131069336207","0.0878551002658542"
"Other","2005","direct migration background","Male","47","0.0516593227132751","0.0387197040098664","0.0645989414166839"
"Other","2005","direct migration background","Female","110","0.0889750446915929","0.073254700061256","0.10469538932193"
"Other","2005","indirect migration background","Male","53","0.144077213223561","0.109918616713725","0.178235809733397"
"Other","2005","indirect migration background","Female","65","0.147921708455249","0.114326669233576","0.181516747676922"
"Full-time","2006","no migration background","Male","4845","0.526370263955134","0.516140185431094","0.536600342479175"
"Full-time","2006","no migration background","Female","2350","0.218794606848218","0.210678144381678","0.226911069314758"
"Full-time","2006","direct migration background","Male","581","0.498296545465259","0.468909008982381","0.527684081948138"
"Full-time","2006","direct migration background","Female","252","0.194421124083813","0.172799685957126","0.2160425622105"
"Full-time","2006","indirect migration background","Male","190","0.435004600466543","0.387191991093988","0.482817209839097"
"Full-time","2006","indirect migration background","Female","112","0.230665699969229","0.191744081450645","0.269587318487814"
"Part-time","2006","no migration background","Male","208","0.0236177907955245","0.0205064801299","0.0267291014611489"
"Part-time","2006","no migration background","Female","1782","0.154589183850732","0.147491946752517","0.161686420948948"
"Part-time","2006","direct migration background","Male","","","",""
"Part-time","2006","direct migration background","Female","223","0.154278635249786","0.134544169996986","0.174013100502586"
"Part-time","2006","indirect migration background","Male","","","",""
"Part-time","2006","indirect migration background","Female","61","0.152823161751576","0.11957838191039","0.186067941592761"
"Non-working","2006","no migration background","Male","3578","0.390724525105708","0.380727840329818","0.400721209881599"
"Non-working","2006","no migration background","Female","4942","0.540008583682148","0.530224029166988","0.549793138197308"
"Non-working","2006","direct migration background","Male","441","0.413342079926375","0.384399117772049","0.442285042080702"
"Non-working","2006","direct migration background","Female","709","0.56723778781012","0.54016917119904","0.594306404421201"
"Non-working","2006","indirect migration background","Male","156","0.406655263396442","0.359281290068429","0.454029236724456"
"Non-working","2006","indirect migration background","Female","211","0.441988129044607","0.396103327703467","0.487872930385748"
"Other","2006","no migration background","Male","520","0.0592874201436328","0.0544487773111598","0.0641260629761058"
"Other","2006","no migration background","Female","893","0.0866076256189015","0.0810859280142835","0.0921293232235195"
"Other","2006","direct migration background","Male","63","0.0592444819849094","0.0453686817820563","0.0731202821877625"
"Other","2006","direct migration background","Female","103","0.0840624528562809","0.068902677078546","0.0992222286340157"
"Other","2006","indirect migration background","Male","56","0.119355991943812","0.0880883326773738","0.15062365121025"
"Other","2006","indirect migration background","Female","66","0.174523009234588","0.139454228500493","0.209591789968682"
"Full-time","2007","no migration background","Male","4617","0.537961217098326","0.527425524971179","0.548496909225474"
"Full-time","2007","no migration background","Female","2214","0.223062586243481","0.214632968989961","0.231492203497001"
"Full-time","2007","direct migration background","Male","519","0.485424492839237","0.454307568639891","0.516541417038584"
"Full-time","2007","direct migration background","Female","211","0.181981668295901","0.159759360915471","0.204203975676332"
"Full-time","2007","indirect migration background","Male","202","0.457444564129403","0.408865549254504","0.506023579004302"
"Full-time","2007","indirect migration background","Female","123","0.253013535021205","0.212392592470651","0.29363447757176"
"Part-time","2007","no migration background","Male","202","0.025711055945729","0.0223663941017831","0.0290557177896748"
"Part-time","2007","no migration background","Female","1778","0.166640814559072","0.159094962700857","0.174186666417288"
"Part-time","2007","direct migration background","Male","","","",""
"Part-time","2007","direct migration background","Female","213","0.167334260131721","0.145835095112189","0.188833425151254"
"Part-time","2007","indirect migration background","Male","","","",""
"Part-time","2007","indirect migration background","Female","68","0.185553889196794","0.149230366485259","0.22187741190833"
"Non-working","2007","no migration background","Male","3288","0.377418341508131","0.367174613610257","0.387662069406006"
"Non-working","2007","no migration background","Female","4559","0.522790418556774","0.51267649053122","0.532904346582328"
"Non-working","2007","direct migration background","Male","406","0.440239811865207","0.409332806729078","0.471146817001336"
"Non-working","2007","direct migration background","Female","644","0.566291353482114","0.537747485974658","0.59483522098957"
"Non-working","2007","indirect migration background","Male","134","0.360418901417937","0.313601317450113","0.407236485385761"
"Non-working","2007","indirect migration background","Female","192","0.406007036670805","0.360121144189194","0.451892929152415"
"Other","2007","no migration background","Male","495","0.0589093854478136","0.0539336607974703","0.0638851100981568"
"Other","2007","no migration background","Female","818","0.0875061806406726","0.0817843394257946","0.0932280218555507"
"Other","2007","direct migration background","Male","44","0.0443289806548248","0.0315142540757266","0.0571437072339231"
"Other","2007","direct migration background","Female","90","0.084392718090263","0.0683823647131717","0.100403071467354"
"Other","2007","indirect migration background","Male","57","0.125031802939019","0.0927792728406856","0.157284333037352"
"Other","2007","indirect migration background","Female","57","0.155425539111195","0.121572168452295","0.189278909770096"
"Full-time","2008","no migration background","Male","4341","0.54373787751763","0.532889589504876","0.554586165530384"
"Full-time","2008","no migration background","Female","2200","0.234541909184488","0.225708221730757","0.243375596638218"
"Full-time","2008","direct migration background","Male","474","0.512377343116023","0.479482851556769","0.545271834675277"
"Full-time","2008","direct migration background","Female","203","0.189822647001771","0.165908109158073","0.213737184845469"
"Full-time","2008","indirect migration background","Male","199","0.497959331635833","0.448960640120614","0.546958023151051"
"Full-time","2008","indirect migration background","Female","111","0.282620388855365","0.240061515484901","0.325179262225829"
"Part-time","2008","no migration background","Male","186","0.0234334461574783","0.0201386525967799","0.0267282397181766"
"Part-time","2008","no migration background","Female","1656","0.169372968652813","0.161553159168095","0.17719277813753"
"Part-time","2008","direct migration background","Male","","","",""
"Part-time","2008","direct migration background","Female","196","0.169938354016247","0.14703501468266","0.192841693349834"
"Part-time","2008","indirect migration background","Male","","","",""
"Part-time","2008","indirect migration background","Female","61","0.13489832985661","0.102609617592514","0.167187042120705"
"Non-working","2008","no migration background","Male","3095","0.370110568298417","0.359594410145353","0.380626726451482"
"Non-working","2008","no migration background","Female","4213","0.508630373906777","0.498207766202816","0.519052981610738"
"Non-working","2008","direct migration background","Male","354","0.408019859938228","0.375676845034811","0.440362874841645"
"Non-working","2008","direct migration background","Female","535","0.526183755974565","0.495734855022585","0.556632656926545"
"Non-working","2008","indirect migration background","Male","123","0.30429230907283","0.259202646481328","0.349381971664332"
"Non-working","2008","indirect migration background","Female","184","0.399145201570213","0.352857663051944","0.445432740088482"
"Other","2008","no migration background","Male","476","0.0627181080264743","0.0574374165756089","0.0679987994773398"
"Other","2008","no migration background","Female","769","0.0874547482559223","0.0815650913777759","0.0933444051340687"
"Other","2008","direct migration background","Male","36","0.0411155705634393","0.0280486703359855","0.0541824707908932"
"Other","2008","direct migration background","Female","99","0.114055243007417","0.0946705521883977","0.133439933826437"
"Other","2008","indirect migration background","Male","69","0.183267140236239","0.145353069905793","0.221181210566684"
"Other","2008","indirect migration background","Female","74","0.183336079717812","0.146763169647812","0.219908989787813"
"Full-time","2009","no migration background","Male","4038","0.534858024099568","0.523677262930728","0.546038785268409"
"Full-time","2009","no migration background","Female","2092","0.244891941731209","0.235631193866192","0.254152689596227"
"Full-time","2009","direct migration background","Male","395","0.488046517722864","0.452671532352527","0.5234215030932"
"Full-time","2009","direct migration background","Female","179","0.18446061626884","0.159246691866825","0.209674540670855"
"Full-time","2009","indirect migration background","Male","183","0.529387948936656","0.477899117257965","0.580876780615347"
"Full-time","2009","indirect migration background","Female","101","0.27899932350535","0.234824999804502","0.323173647206198"
"Part-time","2009","no migration background","Male","185","0.0228534792017173","0.0195037063827115","0.0262032520207232"
"Part-time","2009","no migration background","Female","1530","0.162306839952169","0.154366023527155","0.170247656377183"
"Part-time","2009","direct migration background","Male","","","",""
"Part-time","2009","direct migration background","Female","181","0.194658110137833","0.168919058243669","0.220397162031997"
"Part-time","2009","indirect migration background","Male","","","",""
"Part-time","2009","indirect migration background","Female","63","0.165207276660572","0.128630585817327","0.201783967503817"
"Non-working","2009","no migration background","Male","2990","0.379471452440637","0.368593935107901","0.390348969773372"
"Non-working","2009","no migration background","Female","3894","0.502099104322989","0.491331466546989","0.512866742098989"
"Non-working","2009","direct migration background","Male","323","0.429810003535248","0.394775298495725","0.46484470857477"
"Non-working","2009","direct migration background","Female","460","0.487278508457575","0.454785079867293","0.519771937047858"
"Non-working","2009","indirect migration background","Male","113","0.273604766925776","0.227616948003154","0.319592585848398"
"Non-working","2009","indirect migration background","Female","168","0.380670717732696","0.332847803168918","0.428493632296473"
"Other","2009","no migration background","Male","432","0.0628170442580779","0.0573781541286475","0.0682559343875083"
"Other","2009","no migration background","Female","767","0.0907021139936329","0.0845174507711712","0.0968867772160947"
"Other","2009","direct migration background","Male","","","",""
"Other","2009","direct migration background","Female","89","0.133602765135751","0.111485450226157","0.155720080045345"
"Other","2009","indirect migration background","Male","55","0.161526706122177","0.123563640487014","0.19948977175734"
"Other","2009","indirect migration background","Female","64","0.175122682101383","0.137688669780015","0.212556694422751"
"Full-time","2010","no migration background","Male","5321","0.528901619673439","0.518744102465052","0.539059136881827"
"Full-time","2010","no migration background","Female","2331","0.252480090272671","0.244363049065506","0.260597131479836"
"Full-time","2010","direct migration background","Male","764","0.490384155912827","0.463261481472657","0.517506830352997"
"Full-time","2010","direct migration background","Female","198","0.163278227028162","0.145257094276963","0.181299359779361"
"Full-time","2010","indirect migration background","Male","299","0.477391940763273","0.435610105566794","0.519173775959751"
"Full-time","2010","indirect migration background","Female","110","0.250182292655311","0.21760467409048","0.282759911220142"
"Part-time","2010","no migration background","Male","297","0.0283821801717858","0.0250029721715174","0.0317613881720542"
"Part-time","2010","no migration background","Female","2346","0.16755166207686","0.160573744816245","0.174529579337475"
"Part-time","2010","direct migration background","Male","46","0.032612371275713","0.0229755392582869","0.0422492032931391"
"Part-time","2010","direct migration background","Female","259","0.187703571812686","0.168665588008236","0.206741555617137"
"Part-time","2010","indirect migration background","Male","","","",""
"Part-time","2010","indirect migration background","Female","95","0.158701775483932","0.131217829722521","0.186185721245342"
"Non-working","2010","no migration background","Male","3123","0.377915258404824","0.368048686146713","0.387781830662936"
"Non-working","2010","no migration background","Female","5191","0.488002019790836","0.478662646511642","0.49734139307003"
"Non-working","2010","direct migration background","Male","428","0.421671357840878","0.394878611206789","0.448464104474967"
"Non-working","2010","direct migration background","Female","996","0.517164896415617","0.492801302586926","0.541528490244307"
"Non-working","2010","indirect migration background","Male","165","0.349820636924436","0.309927221245842","0.38971405260303"
"Non-working","2010","indirect migration background","Female","370","0.394155800112983","0.357399850967546","0.430911749258421"
"Other","2010","no migration background","Male","536","0.0648009417499503","0.0597915268652043","0.0698103566346964"
"Other","2010","no migration background","Female","1136","0.0919662278596325","0.0865669212842864","0.0973655344349786"
"Other","2010","direct migration background","Male","67","0.0553321149705822","0.042927849673498","0.0677363802676663"
"Other","2010","direct migration background","Female","163","0.131853304743535","0.115357652944987","0.148348956542082"
"Other","2010","indirect migration background","Male","74","0.145859209550446","0.116333959937362","0.17538445916353"
"Other","2010","indirect migration background","Female","104","0.196960131747774","0.167046377567566","0.226873885927982"
"Full-time","2011","no migration background","Male","6241","0.537057793345278","0.527781380564625","0.546334206125931"
"Full-time","2011","no migration background","Female","2962","0.258403580495736","0.250942816086655","0.265864344904816"
"Full-time","2011","direct migration background","Male","849","0.537899814161418","0.51221167802366","0.563587950299177"
"Full-time","2011","direct migration background","Female","283","0.192180487217747","0.174133041943981","0.210227932491514"
"Full-time","2011","indirect migration background","Male","344","0.48108453388744","0.442130848085019","0.520038219689862"
"Full-time","2011","indirect migration background","Female","149","0.296931513163367","0.264825583169255","0.329037443157478"
"Part-time","2011","no migration background","Male","326","0.0286229014208239","0.025520793355587","0.0317250094860608"
"Part-time","2011","no migration background","Female","3046","0.166889332339238","0.160534327479284","0.173244337199192"
"Part-time","2011","direct migration background","Male","44","0.0322418252830882","0.0231404492132099","0.0413432013529665"
"Part-time","2011","direct migration background","Female","354","0.181729298299455","0.164066280993697","0.199392315605212"
"Part-time","2011","indirect migration background","Male","","","",""
"Part-time","2011","indirect migration background","Female","153","0.15730357714371","0.131719888141795","0.182887266145625"
"Non-working","2011","no migration background","Male","3953","0.376581673975197","0.367567508246556","0.385595839703839"
