"erwst","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence"
"Part-time","2004","Urban Area","East Germany","141","0.0708513137486952","0.059111894331197","0.0825907331661934"
"Part-time","2004","Rural Area","West Germany","412","0.0954412577915808","0.0860670708981773","0.104815444684984"
"Part-time","2004","Rural Area","East Germany","256","0.0717927092088129","0.0631410840104194","0.0804443344072065"
"Non-working","2004","Urban Area","West Germany","5407","0.463774758930895","0.455103043270278","0.472446474591512"
"Non-working","2004","Urban Area","East Germany","835","0.512010314470076","0.489139863253946","0.534880765686207"
"Non-working","2004","Rural Area","West Germany","1566","0.459099327048688","0.443200714265119","0.474997939832257"
"Non-working","2004","Rural Area","East Germany","1658","0.543803294168317","0.527110385105889","0.560496203230745"
"Other","2004","Urban Area","West Germany","878","0.0674690400942491","0.0631072803117874","0.0718307998767109"
"Other","2004","Urban Area","East Germany","123","0.0779463960316524","0.0656803056215915","0.0902124864417133"
"Other","2004","Rural Area","West Germany","330","0.0711630218522123","0.0629605625859208","0.0793654811185038"
"Other","2004","Rural Area","East Germany","210","0.0604894874964797","0.0524998732289","0.0684791017640593"
"Full-time","2005","Urban Area","West Germany","4709","0.370293619255052","0.36171163422299","0.378875604287113"
"Full-time","2005","Urban Area","East Germany","687","0.344765073942353","0.322622831128631","0.366907316756075"
"Full-time","2005","Rural Area","West Germany","1387","0.381703499838648","0.365803232970978","0.397603766706317"
"Full-time","2005","Rural Area","East Germany","1218","0.330770483650117","0.314703394205933","0.3468375730943"
"Part-time","2005","Urban Area","West Germany","1322","0.0984487304803535","0.093153975516173","0.103743485444534"
"Part-time","2005","Urban Area","East Germany","132","0.066669231948616","0.0550482727790881","0.078290191118144"
"Part-time","2005","Rural Area","West Germany","382","0.0921076164852999","0.0826428935159004","0.101572339454699"
"Part-time","2005","Rural Area","East Germany","260","0.0739843118957803","0.065045798707843","0.0829228250837176"
"Non-working","2005","Urban Area","West Germany","5238","0.45666053885555","0.447807793793984","0.465513283917117"
"Non-working","2005","Urban Area","East Germany","836","0.533152958419547","0.509910895365886","0.556395021473208"
"Non-working","2005","Rural Area","West Germany","1505","0.44700444175909","0.430731739089166","0.463277144429013"
"Non-working","2005","Rural Area","East Germany","1628","0.539065519550463","0.52204288917994","0.556088149920987"
"Other","2005","Urban Area","West Germany","893","0.0745971114090443","0.0699275937485336","0.0792666290695549"
"Other","2005","Urban Area","East Germany","115","0.055412735689484","0.0447544514872996","0.0660710198916684"
"Other","2005","Rural Area","West Germany","312","0.0791844419169627","0.0703465394848107","0.0880223443491147"
"Other","2005","Rural Area","East Germany","188","0.0561796849036397","0.0483160995768858","0.0640432702303936"
"Full-time","2006","Urban Area","West Germany","4891","0.368216411483068","0.359921482125279","0.376511340840856"
"Full-time","2006","Urban Area","East Germany","698","0.330025794395958","0.308615957186522","0.351435631605394"
"Full-time","2006","Rural Area","West Germany","1486","0.37690678099823","0.361886921264956","0.391926640731504"
"Full-time","2006","Rural Area","East Germany","1255","0.334285788973701","0.318745849204564","0.349825728742838"
"Part-time","2006","Urban Area","West Germany","1459","0.0994806209663328","0.094333163977783","0.104628077954883"
"Part-time","2006","Urban Area","East Germany","131","0.0638322265987377","0.0527019175909057","0.0749625356065697"
"Part-time","2006","Rural Area","West Germany","431","0.0895177898927148","0.0806694296260962","0.0983661501593334"
"Part-time","2006","Rural Area","East Germany","291","0.0693531069646724","0.060984139358177","0.0777220745711678"
"Non-working","2006","Urban Area","West Germany","5693","0.458160467514042","0.449591645903074","0.46672928912501"
"Non-working","2006","Urban Area","East Germany","878","0.520487688180765","0.49774114042575","0.543234235935781"
"Non-working","2006","Rural Area","West Germany","1708","0.445696835580094","0.430291688707809","0.461101982452378"
"Non-working","2006","Rural Area","East Germany","1758","0.532984332193066","0.516549343610824","0.549419320775307"
"Other","2006","Urban Area","West Germany","945","0.0741425000365575","0.0696365887337099","0.078648411339405"
"Other","2006","Urban Area","East Germany","146","0.0856542908245388","0.0729122157722687","0.0983963658768089"
"Other","2006","Rural Area","West Germany","374","0.0878785935289611","0.0791037322017752","0.096653454856147"
"Other","2006","Rural Area","East Germany","236","0.0633767718685615","0.055350867526742","0.071402676210381"
"Full-time","2007","Urban Area","West Germany","4568","0.370535093760074","0.361928928422422","0.379141259097726"
"Full-time","2007","Urban Area","East Germany","655","0.325729585711026","0.303853602048358","0.347605569373694"
"Full-time","2007","Rural Area","West Germany","1419","0.383087429631017","0.367534236336924","0.39864062292511"
"Full-time","2007","Rural Area","East Germany","1244","0.361223433243166","0.344959584633792","0.377487281852541"
"Part-time","2007","Urban Area","West Germany","1436","0.105046170900618","0.0995823094388615","0.110510032362374"
"Part-time","2007","Urban Area","East Germany","145","0.0835073967917988","0.0705937504130196","0.096421043170578"
"Part-time","2007","Rural Area","West Germany","424","0.10293210675587","0.0932103019672665","0.112653911544473"
"Part-time","2007","Rural Area","East Germany","289","0.0760025285577449","0.0670300942129012","0.0849749629025885"
"Non-working","2007","Urban Area","West Germany","5211","0.448932954786197","0.44006951672375","0.457796392848643"
"Non-working","2007","Urban Area","East Germany","829","0.521778971223857","0.498461601680316","0.545096340767398"
"Non-working","2007","Rural Area","West Germany","1571","0.428445635676283","0.412613648000826","0.44427762335174"
"Non-working","2007","Rural Area","East Germany","1612","0.499384540872809","0.482455570208084","0.516313511537534"
"Other","2007","Urban Area","West Germany","882","0.0754857805531114","0.0707781906425572","0.0801933704636657"
"Other","2007","Urban Area","East Germany","134","0.0689840462733183","0.0571543163788181","0.0808137761678185"
"Other","2007","Rural Area","West Germany","339","0.0855348279368301","0.07658707700294","0.0944825788707202"
"Other","2007","Rural Area","East Germany","206","0.0633894973262802","0.0551395905179301","0.0716394041346304"
"Full-time","2008","Urban Area","West Germany","4332","0.382253736511029","0.373307560876947","0.391199912145111"
"Full-time","2008","Urban Area","East Germany","672","0.370185133920628","0.347184725241885","0.393185542599371"
"Full-time","2008","Rural Area","West Germany","1316","0.37871091346399","0.362684393445886","0.394737433482094"
"Full-time","2008","Rural Area","East Germany","1208","0.375351074597626","0.358414713784126","0.392287435411126"
"Part-time","2008","Urban Area","West Germany","1337","0.103614247294739","0.0980035905769224","0.109224904012557"
"Part-time","2008","Urban Area","East Germany","125","0.0639274390967314","0.0522749683044434","0.0755799098890195"
"Part-time","2008","Rural Area","West Germany","413","0.105024103077661","0.0948945888710852","0.115153617284237"
"Part-time","2008","Rural Area","East Germany","256","0.0788158161549038","0.0693912104029953","0.0882404219068122"
"Non-working","2008","Urban Area","West Germany","4780","0.430770526845281","0.42165413116116","0.439886922529401"
"Non-working","2008","Urban Area","East Germany","777","0.493037637111951","0.469222805899035","0.516852468324866"
"Non-working","2008","Rural Area","West Germany","1466","0.426978783061513","0.410635964601874","0.443321601521153"
"Non-working","2008","Rural Area","East Germany","1481","0.484595618592907","0.467115391853614","0.502075845332199"
"Other","2008","Urban Area","West Germany","885","0.0833614893489508","0.0782724211713701","0.0884505575265315"
"Other","2008","Urban Area","East Germany","119","0.0728497898706896","0.0604701271055185","0.0852294526358608"
"Other","2008","Rural Area","West Germany","324","0.089286200396836","0.079864667103512","0.09870773369016"
"Other","2008","Rural Area","East Germany","195","0.0612374906545632","0.0528512015751149","0.0696237797340115"
"Full-time","2009","Urban Area","West Germany","3953","0.379429017577694","0.370118734900394","0.388739300254995"
"Full-time","2009","Urban Area","East Germany","616","0.37476326833191","0.351066884229842","0.398459652433979"
"Full-time","2009","Rural Area","West Germany","1267","0.392567915727358","0.375992227935896","0.409143603518821"
"Full-time","2009","Rural Area","East Germany","1152","0.368116248759643","0.350826199872318","0.385406297646968"
"Part-time","2009","Urban Area","West Germany","1201","0.101746497592684","0.0959460559980068","0.10754693918736"
"Part-time","2009","Urban Area","East Germany","144","0.0763787098628417","0.0633765812815776","0.0893808384441057"
"Part-time","2009","Rural Area","West Germany","393","0.10200766489546","0.0917341746914352","0.112281155099485"
"Part-time","2009","Rural Area","East Germany","256","0.0843032527579136","0.0743427069953904","0.0942637985204368"
"Non-working","2009","Urban Area","West Germany","4417","0.433675622120578","0.424167012936893","0.443184231304264"
"Non-working","2009","Urban Area","East Germany","746","0.476001523956665","0.451553119963346","0.500449927949984"
"Non-working","2009","Rural Area","West Germany","1388","0.415855287039334","0.399125260415907","0.432585313662761"
"Non-working","2009","Rural Area","East Germany","1397","0.478953181323776","0.461044234829184","0.496862127818368"
"Other","2009","Urban Area","West Germany","864","0.0851488627090436","0.0797937760119159","0.0905039494061714"
"Other","2009","Urban Area","East Germany","97","0.0728564978485833","0.060133514613352","0.0855794810838145"
"Other","2009","Rural Area","West Germany","286","0.0895691323378471","0.0798759147022785","0.0992623499734156"
"Other","2009","Rural Area","East Germany","184","0.0686273171586674","0.0595638285727313","0.0776908057446034"
"Full-time","2010","Urban Area","West Germany","5120","0.371751802345903","0.363772135467846","0.379731469223959"
"Full-time","2010","Urban Area","East Germany","757","0.377435881197376","0.35601390430248","0.398857858092273"
"Full-time","2010","Rural Area","West Germany","1764","0.391901837134995","0.378097292446151","0.405706381823839"
"Full-time","2010","Rural Area","East Germany","1382","0.381736754267464","0.365798398375422","0.397675110159506"
"Part-time","2010","Urban Area","West Germany","1875","0.106009569795289","0.100926435715094","0.111092703875485"
"Part-time","2010","Urban Area","East Germany","180","0.0743070440924897","0.0627167519369363","0.0858973362480432"
"Part-time","2010","Rural Area","West Germany","617","0.0962149741736835","0.0878762329566034","0.104553715390763"
"Part-time","2010","Rural Area","East Germany","382","0.0992647264394124","0.0894546842012614","0.109074768677563"
"Non-working","2010","Urban Area","West Germany","5895","0.438193497515058","0.430000950553242","0.446386044476874"
"Non-working","2010","Urban Area","East Germany","892","0.474977032884765","0.452908606460312","0.497045459309218"
"Non-working","2010","Rural Area","West Germany","1914","0.40582429766627","0.391938428831573","0.419710166500968"
"Non-working","2010","Rural Area","East Germany","1572","0.457882238514755","0.441536726322312","0.474227750707198"
"Other","2010","Urban Area","West Germany","1200","0.0840451303437504","0.0794638601115994","0.0886264005759014"
"Other","2010","Urban Area","East Germany","138","0.0732800418253689","0.061763740401063","0.0847963432496749"
"Other","2010","Rural Area","West Germany","509","0.106058891025051","0.097351769876299","0.114766012173804"
"Other","2010","Rural Area","East Germany","233","0.0611162807783681","0.0532574275157961","0.0689751340409401"
"Full-time","2011","Urban Area","West Germany","6049","0.385972523690482","0.378534039540656","0.393411007840307"
"Full-time","2011","Urban Area","East Germany","896","0.392589325866123","0.372636691912556","0.41254195981969"
"Full-time","2011","Rural Area","West Germany","2265","0.388544935347521","0.376358125162009","0.400731745533033"
"Full-time","2011","Rural Area","East Germany","1618","0.399564650407134","0.384593740601244","0.414535560213024"
"Part-time","2011","Urban Area","West Germany","2378","0.10475340363948","0.10007424515341","0.109432562125551"
"Part-time","2011","Urban Area","East Germany","251","0.0801453179303479","0.0690513100165481","0.0912393258441477"
"Part-time","2011","Rural Area","West Germany","876","0.108140881029753","0.100376081856258","0.115905680203248"
"Part-time","2011","Rural Area","East Germany","436","0.0849213511543319","0.0764009665908466","0.0934417357178172"
"Non-working","2011","Urban Area","West Germany","6737","0.436389584926171","0.428811856479146","0.443967313373196"
"Non-working","2011","Urban Area","East Germany","1009","0.454131613339525","0.433788162627525","0.474475064051525"
"Non-working","2011","Rural Area","West Germany","2382","0.405092769007122","0.392818687108649","0.417366850905594"
"Non-working","2011","Rural Area","East Germany","1805","0.454377660923393","0.439159012110838","0.469596309735948"
"Other","2011","Urban Area","West Germany","1290","0.0728844877438668","0.06891260132099","0.0768563741667436"
"Other","2011","Urban Area","East Germany","145","0.0731337428640037","0.0624958106695279","0.0837716750584795"
"Other","2011","Rural Area","West Germany","622","0.0982214146156043","0.0907802622258741","0.105662567005335"
"Other","2011","Rural Area","East Germany","253","0.0611363375151409","0.0538136160983808","0.0684590589319011"
"Full-time","2012","Urban Area","West Germany","5861","0.389563885708741","0.381978575912692","0.39714919550479"
"Full-time","2012","Urban Area","East Germany","846","0.387291017929284","0.367113540035403","0.407468495823165"
"Full-time","2012","Rural Area","West Germany","2214","0.382721388584461","0.370542004230678","0.394900772938243"
"Full-time","2012","Rural Area","East Germany","1579","0.387553566087322","0.372532402022337","0.402574730152308"
"Part-time","2012","Urban Area","West Germany","2340","0.107260732708088","0.102447392407437","0.11207407300874"
"Part-time","2012","Urban Area","East Germany","255","0.0833647127748459","0.0719145816717038","0.0948148438779881"
"Part-time","2012","Rural Area","West Germany","907","0.115016267618185","0.107021780010697","0.123010755225674"
"Part-time","2012","Rural Area","East Germany","451","0.0914384569488585","0.0825516594264116","0.100325254471305"
"Non-working","2012","Urban Area","West Germany","6319","0.424346601522831","0.416658753855943","0.432034449189719"
"Non-working","2012","Urban Area","East Germany","975","0.452664264425843","0.432046762131887","0.473281766719799"
"Non-working","2012","Rural Area","West Germany","2354","0.411007945985669","0.398679078585048","0.423336813386291"
"Non-working","2012","Rural Area","East Germany","1772","0.465575234010321","0.450195745613047","0.480954722407594"
"Other","2012","Urban Area","West Germany","1357","0.0788287800603393","0.074637212680766","0.0830203474399127"
"Other","2012","Urban Area","East Germany","163","0.0766800048700267","0.06565856766903","0.0877014420710235"
"Other","2012","Rural Area","West Germany","643","0.0912543978116847","0.0840384826663936","0.0984703129569758"
"Other","2012","Rural Area","East Germany","239","0.0554327429534986","0.0483776410053411","0.0624878449016561"
"Full-time","2013","Urban Area","West Germany","6880","0.380341115864041","0.373344188190964","0.387338043537118"
"Full-time","2013","Urban Area","East Germany","872","0.394563869839627","0.374422239773387","0.414705499905866"
"Full-time","2013","Rural Area","West Germany","2424","0.365983582327317","0.354346336570055","0.377620828084578"
"Full-time","2013","Rural Area","East Germany","1505","0.387057894383076","0.371921815081528","0.402193973684624"
"Part-time","2013","Urban Area","West Germany","2712","0.109403890600656","0.104905043987691","0.113902737213621"
"Part-time","2013","Urban Area","East Germany","272","0.0976953684807723","0.0854600473713057","0.109930689590239"
"Part-time","2013","Rural Area","West Germany","975","0.115763667317468","0.108034379701849","0.123492954933087"
"Part-time","2013","Rural Area","East Germany","503","0.104721874983961","0.0952067741950578","0.114236975772864"
"Non-working","2013","Urban Area","West Germany","7022","0.422124746177829","0.415006354821679","0.429243137533979"
"Non-working","2013","Urban Area","East Germany","935","0.434007902395337","0.413583197371006","0.454432607419668"
"Non-working","2013","Rural Area","West Germany","2453","0.425032937100687","0.413090253448495","0.436975620752879"
"Non-working","2013","Rural Area","East Germany","1716","0.450148986874001","0.434688742479141","0.465609231268861"
"Other","2013","Urban Area","West Germany","1879","0.0881302473574741","0.0840444830915568","0.0922160116233915"
"Other","2013","Urban Area","East Germany","183","0.0737328592842639","0.0629632373567394","0.0845024812117884"
"Other","2013","Rural Area","West Germany","730","0.0932198132545285","0.0861959786329136","0.100243647876143"
"Other","2013","Rural Area","East Germany","254","0.0580712437589629","0.0508034048377893","0.0653390826801365"
"Full-time","2014","Urban Area","West Germany","5959","0.376405341403605","0.368946192860615","0.383864489946595"
"Full-time","2014","Urban Area","East Germany","776","0.398175107953812","0.377076930035887","0.419273285871737"
"Full-time","2014","Rural Area","West Germany","2134","0.368605593717826","0.35626536024151","0.380945827194141"
"Full-time","2014","Rural Area","East Germany","1375","0.377553856405905","0.361794581588604","0.393313131223206"
"Part-time","2014","Urban Area","West Germany","2366","0.114728265275776","0.109821631022942","0.11963489952861"
"Part-time","2014","Urban Area","East Germany","240","0.0914518795393035","0.0790284040136338","0.103875355064973"
"Part-time","2014","Rural Area","West Germany","867","0.1175090768155","0.109271814779179","0.125746338851821"
"Part-time","2014","Rural Area","East Germany","436","0.105752500964178","0.0957554921738894","0.115749509754467"
"Non-working","2014","Urban Area","West Germany","6200","0.418590044765175","0.410994728658792","0.426185360871559"
"Non-working","2014","Urban Area","East Germany","903","0.439245110985372","0.417855010424694","0.460635211546049"
"Non-working","2014","Rural Area","West Germany","2150","0.403872338183942","0.391321181750482","0.416423494617402"
"Non-working","2014","Rural Area","East Germany","1583","0.453954289887876","0.437769150443346","0.470139429332406"
"Other","2014","Urban Area","West Germany","1681","0.0902763485554434","0.0858641818914425","0.0946885152194443"
"Other","2014","Urban Area","East Germany","149","0.0711279015215127","0.0600496612376452","0.0822061418053801"
"Other","2014","Rural Area","West Germany","720","0.110012991282732","0.102009013560904","0.11801696900456"
"Other","2014","Rural Area","East Germany","241","0.0627393527420407","0.0548562698778422","0.0706224356062392"
"Full-time","2015","Urban Area","West Germany","5902","0.374828287230159","0.367344835738994","0.382311738721323"
"Full-time","2015","Urban Area","East Germany","766","0.409980618208336","0.388726370035652","0.431234866381019"
"Full-time","2015","Rural Area","West Germany","2166","0.377131680321378","0.364761467929327","0.389501892713429"
"Full-time","2015","Rural Area","East Germany","1295","0.373986923006093","0.357920139974918","0.390053706037267"
"Part-time","2015","Urban Area","West Germany","2393","0.119189376501781","0.11418043274744","0.124198320256123"
"Part-time","2015","Urban Area","East Germany","254","0.102370782497682","0.0892708985941918","0.115470666401172"
"Part-time","2015","Rural Area","West Germany","900","0.12418731696609","0.115769940248107","0.132604693684072"
"Part-time","2015","Rural Area","East Germany","413","0.1110239807215","0.100592104193599","0.1214558572494"
"Non-working","2015","Urban Area","West Germany","6200","0.418144978163768","0.410519677979349","0.425770278348187"
"Non-working","2015","Urban Area","East Germany","881","0.412237242468513","0.390965376418987","0.433509108518038"
"Non-working","2015","Rural Area","West Germany","2139","0.39018932229056","0.377739368781605","0.402639275799516"
"Non-working","2015","Rural Area","East Germany","1539","0.451293261575404","0.434769512582037","0.467817010568772"
"Other","2015","Urban Area","West Germany","1579","0.0878373581042917","0.0834615135866405","0.092213202621943"
"Other","2015","Urban Area","East Germany","156","0.0754113568254692","0.0640003595964194","0.0868223540545191"
"Other","2015","Rural Area","West Germany","692","0.108491680421972","0.100554003006888","0.116429357837056"
"Other","2015","Rural Area","East Germany","237","0.0636958346970032","0.0555867280488913","0.0718049413451151"
"Full-time","2016","Urban Area","West Germany","5392","0.381812411037042","0.374553346238792","0.389071475835292"
"Full-time","2016","Urban Area","East Germany","712","0.396304560357611","0.375846926304926","0.416762194410295"
"Full-time","2016","Rural Area","West Germany","1959","0.372078904073121","0.36010130472801","0.384056503418231"
"Full-time","2016","Rural Area","East Germany","1238","0.374568408059303","0.35910183222398","0.390034983894627"
"Part-time","2016","Urban Area","West Germany","2293","0.118779674736907","0.113945650425018","0.123613699048797"
"Part-time","2016","Urban Area","East Germany","256","0.103045044054903","0.0903296215709363","0.115760466538869"
"Part-time","2016","Rural Area","West Germany","886","0.132535357505517","0.124133187027443","0.140937527983591"
"Part-time","2016","Rural Area","East Germany","417","0.125874173668766","0.115274463568184","0.136473883769347"
"Non-working","2016","Urban Area","West Germany","7980","0.413159815640922","0.405802583294465","0.420517047987379"
"Non-working","2016","Urban Area","East Germany","1081","0.433332755217293","0.412607173113785","0.4540583373208"
"Non-working","2016","Rural Area","West Germany","2754","0.4003315485207","0.38819024741389","0.41247284962751"
"Non-working","2016","Rural Area","East Germany","1863","0.433508475364203","0.41767288714392","0.449344063584485"
"Other","2016","Urban Area","West Germany","1542","0.0862480985851285","0.0820535577838782","0.0904426393863789"
"Other","2016","Urban Area","East Germany","147","0.0673176403701937","0.0568375929724708","0.0777976877679165"
"Other","2016","Rural Area","West Germany","657","0.0950541899006623","0.0877864957864347","0.10232188401489"
"Other","2016","Rural Area","East Germany","244","0.0660489429077283","0.0581123575754996","0.073985528239957"
"Full-time","2017","Urban Area","West Germany","6106","0.378299264698675","0.371463541916543","0.385134987480807"
"Full-time","2017","Urban Area","East Germany","807","0.406274372278691","0.386297863293026","0.426250881264356"
"Full-time","2017","Rural Area","West Germany","2340","0.38164869438421","0.370338595390116","0.392958793378305"
"Full-time","2017","Rural Area","East Germany","1504","0.398594758436089","0.38370938557407","0.413480131298107"
"Part-time","2017","Urban Area","West Germany","2660","0.122556761873747","0.117934504143416","0.127179019604078"
"Part-time","2017","Urban Area","East Germany","278","0.120235695469924","0.107007004789332","0.133464386150516"
"Part-time","2017","Rural Area","West Germany","999","0.126627482099403","0.118884992666402","0.134369971532404"
"Part-time","2017","Rural Area","East Germany","449","0.11134312423293","0.101779795691038","0.120906452774823"
"Non-working","2017","Urban Area","West Germany","8869","0.409314132257451","0.402383343490419","0.416244921024483"
"Non-working","2017","Urban Area","East Germany","1096","0.413028080763851","0.393001102083449","0.433055059444254"
"Non-working","2017","Rural Area","West Germany","3007","0.387764936846476","0.37642109294259","0.399108780750363"
"Non-working","2017","Rural Area","East Germany","1929","0.431540218117527","0.416482095405079","0.446598340829975"
"Other","2017","Urban Area","West Germany","1700","0.0898298411701266","0.0857994461370203","0.0938602362032329"
"Other","2017","Urban Area","East Germany","141","0.0604618514875337","0.0507675858975996","0.0701561170774678"
"Other","2017","Rural Area","West Germany","741","0.103958886669911","0.0968531083754098","0.111064664964411"
"Other","2017","Rural Area","East Germany","274","0.0585218992134538","0.0513855739095938","0.0656582245173138"
"Full-time","2018","Urban Area","West Germany","5919","0.384939028761988","0.377823590975384","0.392054466548591"
"Full-time","2018","Urban Area","East Germany","807","0.4146871966899","0.394433574768264","0.434940818611537"
"Full-time","2018","Rural Area","West Germany","2232","0.385651356035869","0.373779900941278","0.39752281113046"
"Full-time","2018","Rural Area","East Germany","1423","0.388892627155514","0.373735818214738","0.40404943609629"
"Part-time","2018","Urban Area","West Germany","2649","0.129178435521552","0.124273806477176","0.134083064565929"
"Part-time","2018","Urban Area","East Germany","278","0.109047844269806","0.096233862348251","0.121861826191362"
"Part-time","2018","Rural Area","West Germany","1012","0.141320966643681","0.132824902164801","0.149817031122561"
"Part-time","2018","Rural Area","East Germany","483","0.117336695060066","0.107330968701351","0.127342421418782"
"Non-working","2018","Urban Area","West Germany","7688","0.398058739375153","0.390900648523872","0.405216830226433"
"Non-working","2018","Urban Area","East Germany","1031","0.397096789314376","0.376981774382221","0.417211804246531"
"Non-working","2018","Rural Area","West Germany","2582","0.383904839447174","0.372043471921148","0.3957662069732"
"Non-working","2018","Rural Area","East Germany","1787","0.436967389060352","0.421545930613973","0.452388847506731"
"Other","2018","Urban Area","West Germany","1708","0.0878237963413075","0.0836848286130076","0.0919627640696075"
"Other","2018","Urban Area","East Germany","157","0.0791681697259171","0.0680684033745635","0.0902679360772707"
"Other","2018","Rural Area","West Germany","632","0.089122837873276","0.0821738191654388","0.0960718565811132"
"Other","2018","Rural Area","East Germany","281","0.0568032887240674","0.0496067769732822","0.0639998004748526"
"Full-time","2019","Urban Area","West Germany","6097","0.389262087785621","0.381865534535698","0.396658641035545"
"Full-time","2019","Urban Area","East Germany","714","0.439624398118404","0.416349802663766","0.462898993573041"
"Full-time","2019","Rural Area","West Germany","2307","0.391114998161236","0.37894925642654","0.403280739895933"
"Full-time","2019","Rural Area","East Germany","1540","0.380053860093039","0.364854845595799","0.395252874590279"
"Part-time","2019","Urban Area","West Germany","2547","0.138455958327107","0.133216631855585","0.143695284798628"
"Part-time","2019","Urban Area","East Germany","201","0.110913949538564","0.096188565776119","0.12563933330101"
"Part-time","2019","Rural Area","West Germany","988","0.15233650824293","0.143378066846348","0.161294949639511"
"Part-time","2019","Rural Area","East Germany","467","0.119091139577155","0.108949198341539","0.129233080812772"
"Non-working","2019","Urban Area","West Germany","6537","0.392986419181825","0.385577260957546","0.400395577406104"
"Non-working","2019","Urban Area","East Germany","732","0.386751674963609","0.363914839361983","0.409588510565235"
"Non-working","2019","Rural Area","West Germany","2294","0.372805441068922","0.360750614090539","0.384860268047305"
"Non-working","2019","Rural Area","East Germany","1637","0.438386072259026","0.422849214708477","0.453922929809574"
"Other","2019","Urban Area","West Germany","1512","0.0792955347054467","0.0751966529965312","0.0833944164143621"
"Other","2019","Urban Area","East Germany","100","0.0627099773794229","0.0513413781297554","0.0740785766290904"
"Other","2019","Rural Area","West Germany","592","0.0837430525269122","0.0768374472069143","0.0906486578469101"
"Other","2019","Rural Area","East Germany","274","0.0624689280707802","0.0548911699759217","0.0700466861656386"
