"erwst","year","age_gr","n","percent","lower_confidence","upper_confidence"
"Full-time","2013","35-65 y.","8943","0.542727451449798","0.535402045080908","0.550052857818688"
"Full-time","2013","66 and older","62","0.00971478659516498","0.00702551651195326","0.0124040566783767"
"Non-working","2013","16-34 y.","3240","0.321555777144641","0.311590535592573","0.33152101869671"
"Non-working","2013","35-65 y.","4074","0.232222860957513","0.226013836993105","0.238431884921922"
"Non-working","2013","66 and older","4812","0.946861393720776","0.940711240644083","0.953011546797469"
"Other","2013","16-34 y.","1714","0.194113115417643","0.185674579923603","0.202551650911683"
"Other","2013","35-65 y.","1170","0.0581919590738756","0.0547495224916163","0.0616343956561348"
"Other","2013","66 and older","162","0.0314170709873647","0.0266341975063108","0.0361999444684185"
"Part-time","2013","16-34 y.","809","0.0846166699525821","0.078678781126096","0.0905545587790682"
"Part-time","2013","35-65 y.","3579","0.166857728518813","0.161375135475361","0.172340321562266"
"Part-time","2013","66 and older","74","0.0120067486966944","0.00902049059898774","0.014993006794401"
"Full-time","2014","16-34 y.","2262","0.393483388481996","0.382163873378102","0.40480290358589"
"Full-time","2014","35-65 y.","7920","0.54247135018147","0.534657327867394","0.550285372495546"
"Full-time","2014","66 and older","62","0.0103063997117283","0.00750978202535637","0.0131030173981003"
"Non-working","2014","16-34 y.","2720","0.313784088410984","0.30303209170581","0.324536085116158"
"Non-working","2014","35-65 y.","3435","0.224431082191533","0.217887300589327","0.230974863793738"
"Non-working","2014","66 and older","4681","0.941046418833541","0.934524282884783","0.9475685547823"
"Other","2014","16-34 y.","1538","0.205487416894106","0.196125036592801","0.21484979719541"
"Other","2014","35-65 y.","1066","0.0608060208670004","0.0570577752766608","0.06455426645734"
"Other","2014","66 and older","187","0.0352624197061929","0.0301551371985451","0.0403697022138407"
"Part-time","2014","16-34 y.","635","0.0872451062129143","0.0807064140000131","0.0937837984258155"
"Part-time","2014","35-65 y.","3194","0.172291546759997","0.166368464325195","0.178214629194798"
"Part-time","2014","66 and older","80","0.0133847617485376","0.0102027010471811","0.0165668224498941"
"Full-time","2015","16-34 y.","2377","0.408488458743017","0.397197675183256","0.419779242302777"
"Full-time","2015","35-65 y.","7692","0.538510344480555","0.530601366310337","0.546419322650774"
"Full-time","2015","66 and older","60","0.0119279529113114","0.00890945515628771","0.0149464506663352"
"Non-working","2015","16-34 y.","2761","0.306980730065318","0.296386222190103","0.317575237940533"
"Non-working","2015","35-65 y.","3361","0.217426062991574","0.210881798288505","0.223970327694644"
"Non-working","2015","66 and older","4637","0.93552459957242","0.92869589660198","0.94235330254286"
"Other","2015","16-34 y.","1484","0.197868778471901","0.188717876095333","0.207019680848469"
"Other","2015","35-65 y.","991","0.0607676995419803","0.0569774720785845","0.0645579270053761"
"Other","2015","66 and older","189","0.0390521545069904","0.0336659107862871","0.0444383982276937"
"Part-time","2015","16-34 y.","659","0.0866620327197646","0.0801997974239027","0.0931242680156266"
"Part-time","2015","35-65 y.","3218","0.18329589298589","0.177157550680948","0.189434235290832"
"Part-time","2015","66 and older","83","0.013495293009278","0.0102871454706233","0.0167034405479327"
"Full-time","2016","16-34 y.","2081","0.39127721372861","0.381068926265978","0.401485501191243"
"Full-time","2016","35-65 y.","7150","0.546012371954205","0.538256740432012","0.553768003476398"
"Full-time","2016","66 and older","70","0.0128971672191454","0.00970820725455155","0.0160861271837393"
"Non-working","2016","16-34 y.","4655","0.343316238045125","0.333384479692065","0.353247996398184"
"Non-working","2016","35-65 y.","4553","0.206470861428248","0.200165576148287","0.212776146708209"
"Non-working","2016","66 and older","4469","0.932699003136296","0.925617879009598","0.939780127262994"
"Other","2016","16-34 y.","1436","0.181990759542304","0.17392018214757","0.190061336937037"
"Other","2016","35-65 y.","973","0.0589215901869738","0.0552534658265956","0.062589714547352"
"Other","2016","66 and older","181","0.03758477282278","0.032209408430449","0.042960137215111"
"Part-time","2016","16-34 y.","608","0.0834157886839614","0.0776320168866142","0.0891995604813085"
"Part-time","2016","35-65 y.","3155","0.188595176430573","0.182501519506433","0.194688833354714"
"Part-time","2016","66 and older","89","0.0168190568217786","0.0131846105968982","0.020453503046659"
"Full-time","2017","16-34 y.","2530","0.403361836224263","0.393802557308282","0.412921115140244"
"Full-time","2017","35-65 y.","8145","0.547187555519936","0.539853814854551","0.55452129618532"
"Full-time","2017","66 and older","82","0.0145310612391793","0.0112423173833732","0.0178198050949854"
"Non-working","2017","16-34 y.","5269","0.325650569031622","0.316519100340401","0.334782037722844"
"Non-working","2017","35-65 y.","4958","0.204025028425885","0.198087718833796","0.209962338017973"
"Non-working","2017","66 and older","4674","0.92300090069989","0.915674278492008","0.930327522907771"
"Other","2017","16-34 y.","1592","0.182957216045841","0.175423324101571","0.19049110799011"
"Other","2017","35-65 y.","1037","0.0596418724003167","0.0561527151605253","0.0631310296401081"
"Other","2017","66 and older","227","0.0471758650148724","0.0413491171755568","0.0530026128541881"
"Part-time","2017","16-34 y.","726","0.0880303786982739","0.0825092396230899","0.0935515177734579"
"Part-time","2017","35-65 y.","3557","0.189145543653863","0.183375650429724","0.194915436878002"
"Part-time","2017","66 and older","103","0.0152921730460583","0.0119197021536895","0.0186646439384271"
"Full-time","2018","16-34 y.","2524","0.409381216463725","0.399185484821213","0.419576948106236"
"Full-time","2018","35-65 y.","7784","0.557093610140617","0.549545404964144","0.564641815317091"
"Full-time","2018","66 and older","73","0.0153714997844532","0.0119944108460984","0.018748588722808"
"Non-working","2018","16-34 y.","4043","0.310920432408657","0.301322887998709","0.320517976818605"
"Non-working","2018","35-65 y.","4383","0.193621339487379","0.18761693752121","0.199625741453549"
"Non-working","2018","66 and older","4662","0.911459344808611","0.903661255725873","0.91925743389135"
"Other","2018","16-34 y.","1583","0.180067388720004","0.172100157413094","0.188034620026914"
"Other","2018","35-65 y.","950","0.0537196905274261","0.0502935885318487","0.0571457925230035"
"Other","2018","66 and older","245","0.0521949157223485","0.0460894078884902","0.0583004235562067"
"Part-time","2018","16-34 y.","785","0.0996309624076146","0.0934207243083259","0.105841200506903"
"Part-time","2018","35-65 y.","3519","0.195565359844577","0.189538168450722","0.201592551238432"
"Part-time","2018","66 and older","118","0.020974239684587","0.0170406564129166","0.0249078229562574"
"Full-time","2019","16-34 y.","2415","0.420188117624921","0.409263654295985","0.431112580953857"
"Full-time","2019","35-65 y.","8671","0.552805991022367","0.545350522201088","0.560261459843647"
"Full-time","2019","66 and older","218","0.0168621087288995","0.0133914924795002","0.0203327249782989"
"Non-working","2019","16-34 y.","3242","0.297598518775598","0.287479398357933","0.307717639193263"
"Non-working","2019","35-65 y.","3947","0.191133859720089","0.185237991846968","0.197029727593211"
"Non-working","2019","66 and older","4622","0.917332713254384","0.909909811400559","0.924755615108209"
"Other","2019","16-34 y.","1445","0.166081710682895","0.157844933341212","0.174318488024579"
"Other","2019","35-65 y.","915","0.0531753742026381","0.0498107958275597","0.0565399525777165"
"Other","2019","66 and older","264","0.0433152013281835","0.0378280360576854","0.0488023665986816"
"Part-time","2019","16-34 y.","740","0.116131652916585","0.109040713638061","0.123222592195109"
"Part-time","2019","35-65 y.","3552","0.202884775054905","0.196854656085917","0.208914894023894"
"Part-time","2019","66 and older","183","0.0224899766885326","0.0184933043186613","0.026486649058404"
