"erwst","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Full-time","1997","general elemantary","591","0.187203081757232","0.171431992815637","0.202974170698827","1"
"Full-time","1997","middle vocational","3041","0.412780357147566","0.400826244287989","0.424734470007143","1"
"Full-time","1997","higher vocational","460","0.536104189885065","0.500719071920511","0.57148930784962","1"
"Non-working","1997","inadequately","276","0.580133297002413","0.535419167711119","0.624847426293708","5"
"Non-working","1997","middle vocational","2684","0.471848014792968","0.459727025221813","0.483969004364122","5"
"Non-working","1997","general elemantary","1318","0.66740438535188","0.648355614950652","0.686453155753107","5"
"Non-working","1997","in school","304","0.957474338642813","0.93522620116189","0.979722476123735","5"
"Non-working","1997","vocational + Abi","145","0.313172726627733","0.270697951828156","0.355647501427311","5"
"Non-working","1997","higher vocational","222","0.356422141077032","0.322438594018543","0.390405688135521","5"
"Non-working","1997","higher education","424","0.268854020273725","0.248228295039102","0.289479745508349","5"
"Other","1997","inadequately","16","","","","6"
"Other","1997","general elemantary","299","0.0903720471183766","0.0787799204303563","0.101964173806397","6"
"Other","1997","middle vocational","247","0.0322259870068342","0.0279380574200385","0.0365139165936299","6"
"Other","1997","vocational + Abi","21","","","","6"
"Other","1997","higher education","32","0.0208989386941607","0.0142442952798316","0.0275535821084897","6"
"Other","1997","higher vocational","15","","","","6"
"Other","1997","in school","10","","","","6"
"Part-time","1997","inadequately","32","0.056782306044656","0.0358152407756011","0.0777493713137109","2"
"Part-time","1997","in school","","","","","2"
"Part-time","1997","general elemantary","142","0.0550204857725119","0.0458014061265821","0.0642395654184417","2"
"Part-time","1997","middle vocational","544","0.0831456410526322","0.0764417418887116","0.0898495402165528","2"
"Part-time","1997","higher education","150","0.0925384182453926","0.0790573572968917","0.106019479193894","2"
"Part-time","1997","vocational + Abi","42","0.129196172974337","0.0984776492013311","0.159914696747343","2"
"Part-time","1997","higher vocational","66","0.0857166186738575","0.0658529825765366","0.105580254771178","2"
"Full-time","1998","higher education","1251","0.597268519257375","0.575660358824407","0.618876679690343","1"
"Full-time","1998","vocational + Abi","285","0.531904511742713","0.488683276446673","0.575125747038753","1"
"Full-time","1998","in school","3","","","","1"
"Full-time","1998","inadequately","132","0.328136168969138","0.284657447308382","0.371614890629894","1"
"Full-time","1998","general elemantary","591","0.182741292573587","0.167774062788599","0.197708522358575","1"
"Full-time","1998","middle vocational","3256","0.407957915400814","0.396492461947733","0.419423368853895","1"
"Full-time","1998","higher vocational","496","0.536427029541674","0.502460802992939","0.570393256090409","1"
"Non-working","1998","inadequately","262","0.550757194892128","0.504696579202226","0.596817810582029","5"
"Non-working","1998","general elemantary","1485","0.666518026686608","0.648258671654474","0.684777381718742","5"
"Non-working","1998","in school","320","0.949356998182328","0.925841761420358","0.972872234944298","5"
"Non-working","1998","middle vocational","2925","0.471485764047477","0.459839948665388","0.483131579429566","5"
"Non-working","1998","vocational + Abi","150","0.290975286984724","0.251631890499618","0.330318683469829","5"
"Non-working","1998","higher education","511","0.285900301295808","0.265993021276592","0.305807581315023","5"
"Non-working","1998","higher vocational","240","0.356997301356344","0.324363190308098","0.389631412404589","5"
"Other","1998","inadequately","25","","","","6"
"Other","1998","general elemantary","347","0.101081387976432","0.0894068665543155","0.112755909398549","6"
"Other","1998","middle vocational","273","0.0338460608394217","0.029627304003962","0.0380648176748815","6"
"Other","1998","vocational + Abi","29","","","","6"
"Other","1998","higher vocational","17","","","","6"
"Other","1998","higher education","34","0.0164757581874731","0.0108673394323982","0.0220841769425481","6"
"Other","1998","in school","11","","","","6"
"Part-time","1998","inadequately","29","","","","2"
"Part-time","1998","higher education","183","0.100355421259345","0.0871171554588727","0.113593687059816","2"
"Part-time","1998","in school","","","","","2"
"Part-time","1998","general elemantary","138","0.0496592927633725","0.0412456661808571","0.0580729193458879","2"
"Part-time","1998","middle vocational","604","0.0867102597122873","0.0801450773062726","0.093275442118302","2"
"Part-time","1998","vocational + Abi","48","0.126459075349597","0.0976698658831406","0.155248284816054","2"
"Part-time","1998","higher vocational","75","0.08477548065376","0.0658026610975831","0.103748300209937","2"
"Full-time","1999","higher education","1267","0.602980695439505","0.581380270490262","0.624581120388748","1"
"Full-time","1999","inadequately","125","0.33392789173275","0.289247890309739","0.378607893155761","1"
"Full-time","1999","general elemantary","568","0.182967672166816","0.167692043735731","0.198243300597901","1"
"Full-time","1999","vocational + Abi","284","0.518807781333092","0.47544416018771","0.562171402478475","1"
"Full-time","1999","in school","4","","","","1"
"Full-time","1999","middle vocational","3232","0.420251469742096","0.408661869167","0.431841070317191","1"
"Full-time","1999","higher vocational","493","0.536346361089203","0.502276710548362","0.570416011630044","1"
"Non-working","1999","inadequately","245","0.513433704994394","0.466081587471808","0.560785822516981","5"
"Non-working","1999","general elemantary","1386","0.644641069313786","0.625731358528622","0.66355078009895","5"
"Non-working","1999","in school","291","0.874622446581528","0.83839683053256","0.910848062630496","5"
"Non-working","1999","middle vocational","2782","0.451074934919665","0.439391382844526","0.462758486994803","5"
"Non-working","1999","vocational + Abi","145","0.306739192776355","0.266717453132464","0.346760932420246","5"
"Non-working","1999","higher education","475","0.274590566014586","0.254887256270639","0.294293875758534","5"
"Non-working","1999","higher vocational","231","0.344913949135221","0.312438682264582","0.37738921600586","5"
"Other","1999","inadequately","27","","","","6"
"Other","1999","middle vocational","344","0.0433008815490465","0.0385219580767328","0.0480798050213603","6"
"Other","1999","general elemantary","358","0.121562715144278","0.108652072498247","0.134473357790309","6"
"Other","1999","vocational + Abi","31","0.0747627641132491","0.0519366371248252","0.097588891101673","6"
"Other","1999","higher vocational","19","","","","6"
"Other","1999","higher education","50","0.0319116647769196","0.0241521064302501","0.039671223123589","6"
"Other","1999","in school","23","","","","6"
"Part-time","1999","inadequately","31","0.0598654853697479","0.0373899803513696","0.0823409903881262","2"
"Part-time","1999","in school","3","","","","2"
"Part-time","1999","higher education","179","0.0905170737689888","0.0778502622908731","0.103183885247105","2"
"Part-time","1999","general elemantary","149","0.050828543375121","0.0421505672486288","0.0595065195016131","2"
"Part-time","1999","middle vocational","610","0.0853727137891932","0.0788116291507254","0.0919337984276611","2"
"Part-time","1999","higher vocational","80","0.0913567060780418","0.0716726269366514","0.111040785219432","2"
"Part-time","1999","vocational + Abi","50","0.0996902617773033","0.0736895435361174","0.125690980018489","2"
"Full-time","2000","higher education","2315","0.576590189552243","0.560962435726191","0.592217943378295","1"
"Full-time","2000","in school","1","","","","1"
"Full-time","2000","middle vocational","5431","0.406756574938589","0.398272438612113","0.415240711265065","1"
"Full-time","2000","inadequately","91","0.255371277390531","0.212954175658232","0.29778837912283","1"
"Full-time","2000","general elemantary","632","0.166647927985584","0.154438889556245","0.178856966414923","1"
"Full-time","2000","vocational + Abi","584","0.50774481975353","0.478595611201676","0.536894028305385","1"
"Full-time","2000","higher vocational","1023","0.511685562171349","0.489173801254809","0.534197323087889","1"
"Non-working","2000","inadequately","260","0.621809870974455","0.574639534419434","0.668980207529477","5"
"Non-working","2000","general elemantary","2136","0.635943667204581","0.620179869233327","0.651707465175834","5"
"Non-working","2000","middle vocational","5529","0.450791446869958","0.442197743472977","0.459385150266939","5"
"Non-working","2000","in school","450","0.896908653230445","0.870202051294728","0.923615255166162","5"
"Non-working","2000","vocational + Abi","361","0.324506219089452","0.297208204663541","0.351804233515362","5"
"Non-working","2000","higher vocational","624","0.360114046151472","0.338495353721752","0.381732738581193","5"
"Non-working","2000","higher education","1033","0.291086001557829","0.276718213427802","0.305453789687856","5"
"Other","2000","inadequately","33","0.0803074986635672","0.0538721862938995","0.106742811033235","6"
"Other","2000","middle vocational","655","0.0488516671307736","0.0451287128688246","0.0525746213927226","6"
"Other","2000","general elemantary","580","0.134911905347584","0.123719522754206","0.146104287940963","6"
"Other","2000","vocational + Abi","71","0.0698334311981711","0.0549733588755686","0.0846935035207735","6"
"Other","2000","higher vocational","48","0.0239937253123496","0.0171019160429759","0.0308855345817232","6"
"Other","2000","higher education","86","0.0286477688860794","0.0233716296002528","0.0339239081719061","6"
"Other","2000","in school","43","0.0959289855544341","0.0700641561494081","0.12179381495946","6"
"Part-time","2000","inadequately","22","","","","2"
"Part-time","2000","in school","4","","","","2"
"Part-time","2000","general elemantary","231","0.0624964994622516","0.0545663469988728","0.0704266519256303","2"
"Part-time","2000","higher education","406","0.103676040003849","0.0940343274000139","0.113317752607684","2"
"Part-time","2000","vocational + Abi","114","0.0979155299588467","0.080587138043401","0.115243921874292","2"
"Part-time","2000","middle vocational","1263","0.0936003110606793","0.0885696807806455","0.098630941340713","2"
"Part-time","2000","higher vocational","199","0.104206666364829","0.0904469409238375","0.11796639180582","2"
"Full-time","2001","higher education","2130","0.565977603323099","0.549714951596228","0.582240255049969","1"
"Full-time","2001","in school","","","","","1"
"Full-time","2001","middle vocational","4849","0.40307748776635","0.39417187443559","0.411983101097111","1"
"Full-time","2001","inadequately","69","0.22483878151972","0.178515168611022","0.271162394428417","1"
"Full-time","2001","general elemantary","580","0.173765742046551","0.160474507549011","0.18705697654409","1"
"Full-time","2001","vocational + Abi","538","0.468195599629578","0.438422298100123","0.497968901159032","1"
"Full-time","2001","higher vocational","902","0.507053267192015","0.483160751260984","0.530945783123045","1"
"Non-working","2001","inadequately","201","0.670411904490833","0.61825312610738","0.722570682874286","5"
"Non-working","2001","general elemantary","1832","0.626397709940868","0.609428505298329","0.643366914583407","5"
"Non-working","2001","middle vocational","4980","0.449800728362134","0.440768796202214","0.458832660522055","5"
"Non-working","2001","vocational + Abi","366","0.362469617250977","0.333786680406714","0.39115255409524","5"
"Non-working","2001","in school","471","0.836055307011081","0.805142497552031","0.866968116470132","5"
"Non-working","2001","higher vocational","555","0.362353963490608","0.339382353430041","0.385325573551174","5"
"Non-working","2001","higher education","979","0.29847734086756","0.283462794921344","0.313491886813776","5"
"Other","2001","inadequately","24","","","","6"
"Other","2001","middle vocational","648","0.0514308056234542","0.0474206912815786","0.0554409199653299","6"
"Other","2001","vocational + Abi","58","0.0607392706439028","0.0464876177161273","0.0749909235716783","6"
"Other","2001","higher education","79","0.0289342041001412","0.0234341651252513","0.0344342430750311","6"
"Other","2001","general elemantary","525","0.145227462222907","0.132868520164754","0.157586404281059","6"
"Other","2001","higher vocational","45","0.0261565630159769","0.0185292774864022","0.0337838485455517","6"
"Other","2001","in school","73","0.154048702203878","0.123906568352648","0.184190836055108","6"
"Part-time","2001","inadequately","18","","","","2"
"Part-time","2001","higher education","380","0.1066108517092","0.0964844136380996","0.116737289780301","2"
"Part-time","2001","in school","7","","","","2"
"Part-time","2001","general elemantary","185","0.0546090857896747","0.0466388750118769","0.0625792965674725","2"
"Part-time","2001","middle vocational","1177","0.0956909782480609","0.09035020040689","0.101031756089232","2"
"Part-time","2001","vocational + Abi","117","0.108595512475542","0.0900311210730248","0.12715990387806","2"
"Part-time","2001","higher vocational","180","0.104436206301401","0.0898208669807215","0.11905154562208","2"
"Full-time","2002","higher education","2804","0.558352162733426","0.543961123199283","0.572743202267569","1"
"Full-time","2002","inadequately","55","0.183148919019483","0.138243445021458","0.228054393017508","1"
"Full-time","2002","vocational + Abi","583","0.477985436745417","0.449484723451528","0.506486150039305","1"
"Full-time","2002","in school","","","","","1"
"Full-time","2002","general elemantary","509","0.166747457718917","0.153236773570693","0.18025814186714","1"
"Full-time","2002","middle vocational","4655","0.385236929841369","0.376401484875596","0.394072374807143","1"
"Full-time","2002","higher vocational","944","0.499660441113528","0.476234396239714","0.523086485987343","1"
"Non-working","2002","inadequately","188","0.674856855002349","0.620473149688592","0.729240560316106","5"
"Non-working","2002","general elemantary","1729","0.619985165188201","0.602391742730616","0.637578587645787","5"
"Non-working","2002","middle vocational","5103","0.466040982436109","0.456984144398864","0.475097820473353","5"
"Non-working","2002","vocational + Abi","390","0.36415555807188","0.336700270400965","0.391610845742795","5"
"Non-working","2002","higher education","1155","0.311301428254881","0.297882891544334","0.324719964965428","5"
"Non-working","2002","in school","546","0.898897321293383","0.875110200208472","0.922684442378294","5"
"Non-working","2002","higher vocational","547","0.367014226107566","0.344431961562732","0.3895964906524","5"
"Other","2002","inadequately","27","","","","6"
"Other","2002","general elemantary","513","0.154235978827284","0.141144857224642","0.167327100429926","6"
"Other","2002","vocational + Abi","70","0.059309913949575","0.0458328894507205","0.0727869384484295","6"
"Other","2002","higher vocational","56","0.0287892922007766","0.020954972475905","0.0366236119256482","6"
"Other","2002","middle vocational","656","0.0522283322995282","0.0481889447324128","0.0562677198666436","6"
"Other","2002","higher education","109","0.0294469816737044","0.0245477267677044","0.0343462365797044","6"
"Other","2002","in school","56","0.0797063151218186","0.0583357948230665","0.101076835420571","6"
"Part-time","2002","in school","15","","","","2"
"Part-time","2002","inadequately","15","","","","2"
"Part-time","2002","higher education","506","0.100899427337988","0.0921707488154189","0.109628105860558","2"
"Part-time","2002","general elemantary","173","0.0590313982655985","0.0504888290144595","0.0675739675167374","2"
"Part-time","2002","middle vocational","1240","0.0964937554229938","0.0911330027860454","0.101854508059942","2"
"Part-time","2002","vocational + Abi","137","0.0985490912331283","0.0815430025417354","0.115555179924521","2"
"Part-time","2002","higher vocational","203","0.104536040578129","0.0902014218674107","0.118870659288847","2"
"Full-time","2003","higher education","2549","0.541412580517719","0.526637416575853","0.556187744459584","1"
"Full-time","2003","in school","","","","","1"
"Full-time","2003","inadequately","52","0.188487739377979","0.141923496985112","0.235051981770847","1"
"Full-time","2003","general elemantary","468","0.164980707424926","0.15115114792852","0.178810266921331","1"
"Full-time","2003","vocational + Abi","564","0.454481673566953","0.425877166956972","0.483086180176935","1"
"Full-time","2003","middle vocational","4340","0.376027903156932","0.367047866973762","0.385007939340102","1"
"Full-time","2003","higher vocational","864","0.480332904494706","0.456541221388052","0.50412458760136","1"
"Non-working","2003","inadequately","185","0.672708740975334","0.616843177393648","0.72857430455702","5"
"Non-working","2003","middle vocational","4993","0.473356731036151","0.464100418435715","0.482613043636587","5"
"Non-working","2003","general elemantary","1657","0.643850334928185","0.626007977113688","0.661692692742681","5"
"Non-working","2003","in school","560","0.902689350596348","0.879322337693897","0.9260563634988","5"
"Non-working","2003","vocational + Abi","373","0.351521727886442","0.324093648194321","0.378949807578563","5"
"Non-working","2003","higher education","1188","0.32156024570677","0.307710433373919","0.33541005803962","5"
"Non-working","2003","higher vocational","573","0.384060821750563","0.360899661786176","0.407221981714949","5"
"Other","2003","inadequately","22","","","","6"
"Other","2003","general elemantary","470","0.137781574176877","0.124939128645937","0.150624019707817","6"
"Other","2003","vocational + Abi","75","0.0713782807496224","0.0565880802669747","0.0861684812322701","6"
"Other","2003","higher vocational","55","0.029734346495409","0.0216458851187939","0.037822807872024","6"
"Other","2003","middle vocational","625","0.05156130075074","0.0474616011925221","0.0556610003089579","6"
"Other","2003","higher education","118","0.0355582279958228","0.0300670549510966","0.0410494010405491","6"
"Other","2003","in school","54","0.0868969830042445","0.0646886433195921","0.109105322688897","6"
"Part-time","2003","in school","4","","","","2"
"Part-time","2003","inadequately","12","","","","2"
"Part-time","2003","general elemantary","172","0.0533873834700128","0.0450111461417301","0.0617636207982956","2"
"Part-time","2003","higher education","514","0.101468945779689","0.092515500401174","0.110422391158204","2"
"Part-time","2003","middle vocational","1219","0.0990540650561766","0.0935158351282104","0.104592294984143","2"
"Part-time","2003","vocational + Abi","152","0.122618317796982","0.103775599331268","0.141461036262697","2"
"Part-time","2003","higher vocational","202","0.105871927259322","0.091220441653793","0.120523412864852","2"
"Full-time","2004","higher education","2496","0.534322793976084","0.519432494906368","0.549213093045799","1"
"Full-time","2004","in school","","","","","1"
"Full-time","2004","inadequately","50","0.199514970734716","0.150560488702568","0.248469452766865","1"
"Full-time","2004","general elemantary","422","0.162434563942852","0.14826217567367","0.176606952212035","1"
"Full-time","2004","vocational + Abi","564","0.458170879113977","0.429584603571312","0.486757154656643","1"
"Full-time","2004","middle vocational","4126","0.367349950539485","0.358277281742661","0.376422619336309","1"
"Full-time","2004","higher vocational","842","0.498524120463984","0.474384101902798","0.522664139025171","1"
"Non-working","2004","general elemantary","1580","0.640928379637315","0.62249564645095","0.65936111282368","5"
"Non-working","2004","inadequately","175","0.694569957408441","0.63814880115285","0.750991113664033","5"
"Non-working","2004","middle vocational","4890","0.480109809006353","0.470707394520933","0.489512223491772","5"
"Non-working","2004","vocational + Abi","373","0.341589242336067","0.314380202620438","0.368798282051695","5"
"Non-working","2004","in school","592","0.933795323411527","0.914517062956731","0.953073583866324","5"
"Non-working","2004","higher education","1180","0.329314092403537","0.315285185665538","0.343342999141536","5"
"Non-working","2004","higher vocational","547","0.36937210855052","0.346070380786865","0.392673836314174","5"
"Other","2004","inadequately","20","","","","6"
"Other","2004","middle vocational","679","0.0571324627268628","0.0527644881181975","0.0615004373355282","6"
"Other","2004","higher education","136","0.0366222191640453","0.03101522994492","0.0422292083831705","6"
"Other","2004","general elemantary","432","0.136801790262815","0.123598091704048","0.150005488821582","6"
"Other","2004","vocational + Abi","76","0.0755555481594808","0.0603925091057745","0.0907185872131872","6"
"Other","2004","higher vocational","65","0.0310093340166314","0.0226402967125744","0.0393783713206883","6"
"Other","2004","in school","40","0.0570776508757246","0.0390902392982813","0.0750650624531679","6"
"Part-time","2004","inadequately","11","","","","2"
"Part-time","2004","in school","7","","","","2"
"Part-time","2004","general elemantary","168","0.0598352661570172","0.0507219793825492","0.0689485529314853","2"
"Part-time","2004","middle vocational","1151","0.0954077777272992","0.0898789684875874","0.100936586967011","2"
"Part-time","2004","higher education","499","0.0997408944563343","0.0907959124719668","0.108685876440702","2"
"Part-time","2004","vocational + Abi","154","0.124684330390475","0.105730327033772","0.143638333747178","2"
"Part-time","2004","higher vocational","194","0.101094436968865","0.0865401762526858","0.115648697685044","2"
"Full-time","2005","higher education","2326","0.519289726086705","0.504143427383729","0.53443602478968","1"
"Full-time","2005","in school","1","","","","1"
"Full-time","2005","inadequately","41","0.194189407003333","0.144757223848425","0.243621590158242","1"
"Full-time","2005","general elemantary","387","0.164345512152503","0.149568319832455","0.179122704472551","1"
"Full-time","2005","middle vocational","3881","0.371845201676691","0.362515337578486","0.381175065774896","1"
"Full-time","2005","vocational + Abi","549","0.455235396345006","0.426289279508149","0.484181513181863","1"
"Full-time","2005","higher vocational","787","0.499902885851419","0.475154603740557","0.524651167962282","1"
"Non-working","2005","inadequately","172","0.650923710931403","0.591356706752574","0.710490715110232","5"
"Non-working","2005","general elemantary","1484","0.634427215787068","0.615223845474874","0.653630586099262","5"
"Non-working","2005","middle vocational","4687","0.468238339123822","0.45860553160198","0.477871146645664","5"
"Non-working","2005","vocational + Abi","354","0.34090787274004","0.313355472659976","0.368460272820104","5"
"Non-working","2005","higher education","1215","0.335341080578323","0.321029000799163","0.349653160357483","5"
"Non-working","2005","in school","601","0.923370499823503","0.90293696083228","0.943804038814727","5"
"Non-working","2005","higher vocational","538","0.371107454603996","0.347195607537428","0.395019301670563","5"
"Other","2005","inadequately","20","","","","6"
"Other","2005","middle vocational","656","0.0618991800717753","0.0572473044754205","0.0665510556681301","6"
"Other","2005","vocational + Abi","76","0.0679382383419041","0.053311504965832","0.0825649717179763","6"
"Other","2005","higher vocational","58","0.0307385848864526","0.022195052716575","0.0392821170563301","6"
"Other","2005","higher education","152","0.0408424458395834","0.034842313949186","0.0468425777299809","6"
"Other","2005","general elemantary","389","0.140106796411098","0.126266305779826","0.15394728704237","6"
"Other","2005","in school","44","0.0691486591562412","0.0496596552485518","0.0886376630639306","6"
"Part-time","2005","inadequately","13","","","","2"
"Part-time","2005","in school","5","","","","2"
"Part-time","2005","general elemantary","156","0.0611204756493313","0.0515683962753572","0.0706725550233055","2"
"Part-time","2005","middle vocational","1084","0.098017279127712","0.0922772867406142","0.10375727151481","2"
"Part-time","2005","higher education","487","0.104526747495389","0.0952520452135161","0.113801449777261","2"
"Part-time","2005","vocational + Abi","158","0.135918492573049","0.115998714818997","0.155838270327102","2"
"Part-time","2005","higher vocational","185","0.0982510746581325","0.0835182325947622","0.112983916721503","2"
"Full-time","2006","higher education","2478","0.520924064917963","0.506471958972368","0.535376170863558","1"
"Full-time","2006","inadequately","36","0.177795830511707","0.129723455639361","0.225868205384052","1"
"Full-time","2006","in school","2","","","","1"
"Full-time","2006","general elemantary","378","0.158094084547296","0.143956102967009","0.172232066127583","1"
"Full-time","2006","middle vocational","4037","0.367377728989093","0.358426644080927","0.37632881389726","1"
"Full-time","2006","vocational + Abi","575","0.464263007765633","0.436277961219535","0.49224805431173","1"
"Full-time","2006","higher vocational","797","0.481372439383826","0.457329182045431","0.505415696722221","1"
"Non-working","2006","inadequately","169","0.69942441381326","0.641775357916508","0.757073469710011","5"
"Non-working","2006","general elemantary","1618","0.647703276992389","0.629191838435842","0.666214715548937","5"
"Non-working","2006","in school","523","0.819640013913574","0.789828822402339","0.849451205424809","5"
"Non-working","2006","middle vocational","5181","0.47006277023597","0.460795812780546","0.479329727691394","5"
"Non-working","2006","vocational + Abi","383","0.321039771518822","0.294841673532288","0.347237869505356","5"
"Non-working","2006","higher education","1397","0.334915194746423","0.321261578666794","0.348568810826053","5"
"Non-working","2006","higher vocational","592","0.384527681971391","0.361118137368686","0.407937226574095","5"
"Other","2006","inadequately","29","","","","6"
"Other","2006","middle vocational","741","0.0648920932259167","0.0603183289076522","0.0694658575441812","6"
"Other","2006","vocational + Abi","75","0.0675103061782117","0.0534311951184687","0.0815894172379546","6"
"Other","2006","higher vocational","66","0.0358982165077349","0.0269461607730786","0.0448502722423913","6"
"Other","2006","higher education","173","0.0426402554555971","0.036795192028143","0.0484853188830512","6"
"Other","2006","general elemantary","391","0.135876149891602","0.122597392593943","0.149154907189261","6"
"Other","2006","in school","108","0.168200564681837","0.139199048891879","0.197202080471795","6"
"Part-time","2006","in school","6","","","","2"
"Part-time","2006","inadequately","9","","","","2"
"Part-time","2006","general elemantary","171","0.0583264885687127","0.0492445007776427","0.0674084763597827","2"
"Part-time","2006","higher education","542","0.101520484880017","0.0927832767771579","0.110257692982876","2"
"Part-time","2006","vocational + Abi","187","0.147186914537334","0.127306304615131","0.167067524459537","2"
"Part-time","2006","middle vocational","1184","0.0976674075490206","0.0921554587077872","0.103179356390254","2"
"Part-time","2006","higher vocational","204","0.0982016621370482","0.0838817935472805","0.112521530726816","2"
"Full-time","2007","higher education","2352","0.523692560184754","0.50893872401741","0.538446396352098","1"
"Full-time","2007","inadequately","32","0.182804765108335","0.131615051186873","0.233994479029798","1"
"Full-time","2007","in school","","","","","1"
"Full-time","2007","general elemantary","355","0.170608963386586","0.155165079800293","0.186052846972879","1"
"Full-time","2007","middle vocational","3832","0.374833298061368","0.365523037365175","0.384143558757561","1"
"Full-time","2007","vocational + Abi","550","0.458152969233332","0.429664260870325","0.48664167759634","1"
"Full-time","2007","higher vocational","735","0.468911520365525","0.443979488523206","0.493843552207845","1"
"Non-working","2007","in school","527","0.829921767768062","0.800537747586871","0.859305787949254","5"
"Non-working","2007","inadequately","155","0.700715117630218","0.640063949836879","0.761366285423557","5"
"Non-working","2007","general elemantary","1453","0.628001717718841","0.608157827694194","0.647845607743488","5"
"Non-working","2007","middle vocational","4679","0.455829685061285","0.44625083078824","0.465408539334331","5"
"Non-working","2007","vocational + Abi","355","0.32553536091098","0.298743194285115","0.352327527536846","5"
"Non-working","2007","higher education","1344","0.323576212263056","0.309755806265175","0.337396618260938","5"
"Non-working","2007","higher vocational","538","0.378442980977917","0.354212083725027","0.402673878230808","5"
"Other","2007","in school","97","0.156216023373417","0.12782070808662","0.184611338660213","6"
"Other","2007","inadequately","21","","","","6"
"Other","2007","general elemantary","328","0.1329947595454","0.119053434468597","0.146936084622203","6"
"Other","2007","middle vocational","698","0.0663145576342539","0.0615288124301064","0.0711003028384014","6"
"Other","2007","vocational + Abi","73","0.0555841620550592","0.0424837088547711","0.0686846152553472","6"
"Other","2007","higher vocational","64","0.0402965671836346","0.0304715949751275","0.0501215393921418","6"
"Other","2007","higher education","154","0.042670695337215","0.0367000866503224","0.0486413040241077","6"
"Part-time","2007","in school","4","","","","2"
"Part-time","2007","inadequately","11","","","","2"
"Part-time","2007","general elemantary","143","0.0683945593491728","0.0580311485313884","0.0787579701669572","2"
"Part-time","2007","higher education","552","0.110060532214975","0.100815272621428","0.119305791808521","2"
"Part-time","2007","vocational + Abi","197","0.160727507800628","0.139727195292377","0.181727820308879","2"
"Part-time","2007","higher vocational","202","0.112348931472923","0.0965715693227363","0.128126293623109","2"
"Part-time","2007","middle vocational","1176","0.103022459243093","0.0971758834862709","0.108869034999915","2"
"Full-time","2008","higher education","2234","0.536666517361202","0.521600123430975","0.551732911291429","1"
"Full-time","2008","in school","","","","","1"
"Full-time","2008","inadequately","35","0.227735662860069","0.167628559349905","0.287842766370233","1"
"Full-time","2008","general elemantary","330","0.167600490531654","0.151591106406121","0.183609874657186","1"
"Full-time","2008","middle vocational","3680","0.385111580299585","0.375470743240217","0.394752417358953","1"
"Full-time","2008","vocational + Abi","539","0.484862920945764","0.455328895772184","0.514396946119344","1"
"Full-time","2008","higher vocational","674","0.473251032476234","0.447300520861174","0.499201544091294","1"
"Non-working","2008","in school","457","0.830607921419032","0.799373188872636","0.861842653965427","5"
"Non-working","2008","inadequately","120","0.600980756599545","0.530794110296142","0.671167402902948","5"
"Non-working","2008","general elemantary","1302","0.627765289176457","0.607045842257234","0.64848473609568","5"
"Non-working","2008","middle vocational","4342","0.439356952981568","0.429524196830708","0.449189709132428","5"
"Non-working","2008","vocational + Abi","305","0.293458544771999","0.266549768212475","0.320367321331523","5"
"Non-working","2008","higher education","1310","0.315870680382365","0.30182528448898","0.329916076275749","5"
"Non-working","2008","higher vocational","505","0.372446471167396","0.347318604859915","0.397574337474878","5"
"Other","2008","in school","95","0.165830521439061","0.134859709611523","0.196801333266599","6"
"Other","2008","inadequately","21","","","","6"
"Other","2008","general elemantary","327","0.141967135392251","0.127007639957878","0.156926630826624","6"
"Other","2008","middle vocational","675","0.0726161396374546","0.0674748787482502","0.077757400526659","6"
"Other","2008","vocational + Abi","72","0.0618977864294306","0.0476576422037977","0.0761379306550636","6"
"Other","2008","higher vocational","59","0.0391850479635248","0.0290999908835321","0.0492701050435176","6"
"Other","2008","higher education","148","0.0422443781825134","0.0361669191313375","0.0483218372336893","6"
"Part-time","2008","in school","2","","","","2"
"Part-time","2008","inadequately","11","","","","2"
"Part-time","2008","general elemantary","132","0.0626670848996383","0.0522789458304687","0.073055223968808","2"
"Part-time","2008","higher education","516","0.10521842407392","0.0959476790136065","0.114489169134233","2"
"Part-time","2008","vocational + Abi","184","0.159780747852806","0.138128136166282","0.18143335953933","2"
"Part-time","2008","higher vocational","184","0.115117448392845","0.0985287738756127","0.131706122910077","2"
"Part-time","2008","middle vocational","1090","0.102915327081392","0.0968955550548867","0.108935099107898","2"
"Full-time","2009","higher education","2134","0.53788915541866","0.522532604749355","0.553245706087966","1"
"Full-time","2009","in school","","","","","1"
"Full-time","2009","inadequately","30","0.205137912978697","0.144258059790871","0.266017766166522","1"
"Full-time","2009","middle vocational","3370","0.379885378082349","0.369919776732121","0.389850979432577","1"
"Full-time","2009","vocational + Abi","486","0.491918439876692","0.460979110746334","0.52285776900705","1"
"Full-time","2009","general elemantary","296","0.16903378211737","0.151969468667167","0.186098095567573","1"
"Full-time","2009","higher vocational","641","0.475920859033577","0.449160875522564","0.50268084254459","1"
"Non-working","2009","in school","418","0.83043225729981","0.797736111803193","0.863128402796426","5"
"Non-working","2009","inadequately","111","0.615271615756043","0.5419190527391","0.688624178772986","5"
"Non-working","2009","general elemantary","1153","0.637013386860727","0.615119142281053","0.658907631440402","5"
"Non-working","2009","middle vocational","4053","0.439137056875538","0.428947163205594","0.449326950545482","5"
"Non-working","2009","vocational + Abi","290","0.293660243835834","0.265474660495044","0.321845827176623","5"
