"transab_cat2","year","e11102","pgcasmin","n","percent","lower_confidence","upper_confidence"
"High transfer dependency","1990","Employed","(2b) intermediate general qualification","4","","",""
"High transfer dependency","1990","Employed","(2a) intermediate vocational","1","","",""
"High transfer dependency","1990","Employed","(2c_gen) general maturity certificate","2","","",""
"High transfer dependency","1990","Employed","(2c_voc) vocational maturity certificate","3","","",""
"High transfer dependency","1990","Employed","(3a) lower tertiary education","","","",""
"High transfer dependency","1990","Employed","(3b) higher tertiary education","1","","",""
"Very high transfer dependency","1990","Not Employed","(0) in school","3","","",""
"Very high transfer dependency","1990","Not Employed","(1a) inadequately completed","19","","",""
"Very high transfer dependency","1990","Not Employed","(1b) general elementary school","30","0.0230975649451271","0.0136445375081095","0.0325505923821446"
"Very high transfer dependency","1990","Not Employed","(1c) basic vocational qualification","28","","",""
"Very high transfer dependency","1990","Not Employed","(2b) intermediate general qualification","2","","",""
"Very high transfer dependency","1990","Not Employed","(2a) intermediate vocational","9","","",""
"Very high transfer dependency","1990","Not Employed","(2c_gen) general maturity certificate","5","","",""
"Very high transfer dependency","1990","Not Employed","(2c_voc) vocational maturity certificate","7","","",""
"Very high transfer dependency","1990","Not Employed","(3a) lower tertiary education","","","",""
"Very high transfer dependency","1990","Not Employed","(3b) higher tertiary education","1","","",""
"Very high transfer dependency","1990","Employed","(0) in school","","","",""
"Very high transfer dependency","1990","Employed","(1a) inadequately completed","1","","",""
"Very high transfer dependency","1990","Employed","(1b) general elementary school","6","","",""
"Very high transfer dependency","1990","Employed","(1c) basic vocational qualification","1","","",""
"Very high transfer dependency","1990","Employed","(2b) intermediate general qualification","2","","",""
"Very high transfer dependency","1990","Employed","(2a) intermediate vocational","1","","",""
"Very high transfer dependency","1990","Employed","(2c_gen) general maturity certificate","","","",""
"Very high transfer dependency","1990","Employed","(2c_voc) vocational maturity certificate","","","",""
"Very high transfer dependency","1990","Employed","(3a) lower tertiary education","","","",""
"Very high transfer dependency","1990","Employed","(3b) higher tertiary education","","","",""
"Very low transfer dependency","1991","Not Employed","(0) in school","126","0.927032627842459","0.882996659108325","0.971068596576593"
"Very low transfer dependency","1991","Not Employed","(1a) inadequately completed","225","0.792096464399181","0.743870200992377","0.840322727805986"
"Very low transfer dependency","1991","Not Employed","(1b) general elementary school","820","0.91410965122802","0.895954123618797","0.932265178837242"
"Very low transfer dependency","1991","Not Employed","(1c) basic vocational qualification","944","0.93489371885848","0.919700984864823","0.950086452852137"
"Very low transfer dependency","1991","Not Employed","(2b) intermediate general qualification","123","0.935549048205561","0.894127230307978","0.976970866103144"
"Very low transfer dependency","1991","Not Employed","(2a) intermediate vocational","308","0.961360606150937","0.940341940429183","0.98237927187269"
"Very low transfer dependency","1991","Not Employed","(2c_gen) general maturity certificate","134","0.908030720280693","0.862089983019572","0.953971457541814"
"Very low transfer dependency","1991","Not Employed","(2c_voc) vocational maturity certificate","88","0.862471170496758","0.796907339029097","0.928035001964419"
"Very low transfer dependency","1991","Not Employed","(3a) lower tertiary education","57","0.985903473598594","0.955564048495706","1.01624289870148"
"Very low transfer dependency","1991","Not Employed","(3b) higher tertiary education","78","0.946868218407701","0.898614475714983","0.995121961100418"
"Very low transfer dependency","1991","Employed","(0) in school","18","","",""
"Very low transfer dependency","1991","Employed","(1a) inadequately completed","384","0.949763994420372","0.928437917629904","0.971090071210841"
"Very low transfer dependency","1991","Employed","(1b) general elementary school","1103","0.953201400398028","0.941015603056979","0.965387197739077"
"Very low transfer dependency","1991","Employed","(1c) basic vocational qualification","2135","0.975742016168818","0.969294112302237","0.9821899200354"
"Very low transfer dependency","1991","Employed","(2b) intermediate general qualification","219","0.936162065695903","0.904568466427119","0.967755664964687"
"Very low transfer dependency","1991","Employed","(2a) intermediate vocational","936","0.986538802815429","0.979210806922816","0.993866798708043"
"Very low transfer dependency","1991","Employed","(2c_gen) general maturity certificate","179","0.986205619317514","0.969488473616355","1.00292276501867"
"Very low transfer dependency","1991","Employed","(2c_voc) vocational maturity certificate","309","0.975611355539652","0.958763198194008","0.992459512885296"
"Very low transfer dependency","1991","Employed","(3a) lower tertiary education","193","0.996135522402817","0.987404766690935","1.0048662781147"
"Very low transfer dependency","1991","Employed","(3b) higher tertiary education","381","0.984488530374322","0.972160711569237","0.996816349179407"
"Low transfer dependency","1991","Not Employed","(0) in school","7","","",""
"Low transfer dependency","1991","Not Employed","(1a) inadequately completed","25","","",""
"Low transfer dependency","1991","Not Employed","(1b) general elementary school","37","0.0303848566439097","0.0192632934307518","0.0415064198570677"
"Low transfer dependency","1991","Not Employed","(1c) basic vocational qualification","30","0.0250493750316498","0.0154258733440541","0.0346728767192454"
"Low transfer dependency","1991","Not Employed","(2b) intermediate general qualification","4","","",""
"Low transfer dependency","1991","Not Employed","(2a) intermediate vocational","10","","",""
"Low transfer dependency","1991","Not Employed","(2c_gen) general maturity certificate","7","","",""
"Low transfer dependency","1991","Not Employed","(2c_voc) vocational maturity certificate","12","","",""
"Low transfer dependency","1991","Not Employed","(3a) lower tertiary education","1","","",""
"Low transfer dependency","1991","Not Employed","(3b) higher tertiary education","2","","",""
"Low transfer dependency","1991","Employed","(0) in school","1","","",""
"Low transfer dependency","1991","Employed","(1a) inadequately completed","19","","",""
"Low transfer dependency","1991","Employed","(1b) general elementary school","35","0.0300220997322332","0.020176398838582","0.0398678006258844"
"Low transfer dependency","1991","Employed","(1c) basic vocational qualification","42","0.0205844962328762","0.0146336694607849","0.0265353230049675"
"Low transfer dependency","1991","Employed","(2b) intermediate general qualification","7","","",""
"Low transfer dependency","1991","Employed","(2a) intermediate vocational","8","","",""
"Low transfer dependency","1991","Employed","(2c_gen) general maturity certificate","7","","",""
"Low transfer dependency","1991","Employed","(2c_voc) vocational maturity certificate","10","","",""
"Low transfer dependency","1991","Employed","(3a) lower tertiary education","1","","",""
"Low transfer dependency","1991","Employed","(3b) higher tertiary education","4","","",""
"High transfer dependency","1991","Not Employed","(0) in school","","","",""
"High transfer dependency","1991","Not Employed","(1a) inadequately completed","7","","",""
"High transfer dependency","1991","Not Employed","(1b) general elementary school","24","","",""
"High transfer dependency","1991","Not Employed","(1c) basic vocational qualification","14","","",""
"High transfer dependency","1991","Not Employed","(2b) intermediate general qualification","2","","",""
"High transfer dependency","1991","Not Employed","(2a) intermediate vocational","2","","",""
"High transfer dependency","1991","Not Employed","(2c_gen) general maturity certificate","5","","",""
"High transfer dependency","1991","Not Employed","(2c_voc) vocational maturity certificate","1","","",""
"High transfer dependency","1991","Not Employed","(3a) lower tertiary education","","","",""
"High transfer dependency","1991","Not Employed","(3b) higher tertiary education","","","",""
"High transfer dependency","1991","Employed","(0) in school","","","",""
"High transfer dependency","1991","Employed","(1a) inadequately completed","","","",""
"High transfer dependency","1991","Employed","(1b) general elementary school","13","","",""
"High transfer dependency","1991","Employed","(1c) basic vocational qualification","7","","",""
"High transfer dependency","1991","Employed","(2b) intermediate general qualification","3","","",""
"High transfer dependency","1991","Employed","(2a) intermediate vocational","5","","",""
"High transfer dependency","1991","Employed","(2c_gen) general maturity certificate","1","","",""
"High transfer dependency","1991","Employed","(2c_voc) vocational maturity certificate","3","","",""
"High transfer dependency","1991","Employed","(3a) lower tertiary education","","","",""
"High transfer dependency","1991","Employed","(3b) higher tertiary education","1","","",""
"Very high transfer dependency","1991","Not Employed","(0) in school","1","","",""
"Very high transfer dependency","1991","Not Employed","(1a) inadequately completed","15","","",""
"Very high transfer dependency","1991","Not Employed","(1b) general elementary school","34","0.0290950380026541","0.0182048502146359","0.0399852257906723"
"Very high transfer dependency","1991","Not Employed","(1c) basic vocational qualification","25","","",""
"Very high transfer dependency","1991","Not Employed","(2b) intermediate general qualification","6","","",""
"Very high transfer dependency","1991","Not Employed","(2a) intermediate vocational","3","","",""
"Very high transfer dependency","1991","Not Employed","(2c_gen) general maturity certificate","6","","",""
"Very high transfer dependency","1991","Not Employed","(2c_voc) vocational maturity certificate","5","","",""
"Very high transfer dependency","1991","Not Employed","(3a) lower tertiary education","","","",""
"Very high transfer dependency","1991","Not Employed","(3b) higher tertiary education","3","","",""
"Very high transfer dependency","1991","Employed","(0) in school","","","",""
"Very high transfer dependency","1991","Employed","(1a) inadequately completed","","","",""
"Very high transfer dependency","1991","Employed","(1b) general elementary school","3","","",""
"Very high transfer dependency","1991","Employed","(1c) basic vocational qualification","3","","",""
"Very high transfer dependency","1991","Employed","(2b) intermediate general qualification","1","","",""
"Very high transfer dependency","1991","Employed","(2a) intermediate vocational","1","","",""
"Very high transfer dependency","1991","Employed","(2c_gen) general maturity certificate","","","",""
"Very high transfer dependency","1991","Employed","(2c_voc) vocational maturity certificate","","","",""
"Very high transfer dependency","1991","Employed","(3a) lower tertiary education","","","",""
"Very high transfer dependency","1991","Employed","(3b) higher tertiary education","","","",""
"Very low transfer dependency","1992","Not Employed","(0) in school","115","0.943039407778583","0.902571105323835","0.983507710233331"
"Very low transfer dependency","1992","Not Employed","(1a) inadequately completed","271","0.87474221628067","0.838531427953645","0.910953004607694"
"Very low transfer dependency","1992","Not Employed","(1b) general elementary school","980","0.93057899473526","0.91543443918933","0.945723550281189"
"Very low transfer dependency","1992","Not Employed","(1c) basic vocational qualification","1293","0.933748525717333","0.920738526357767","0.946758525076899"
"Very low transfer dependency","1992","Not Employed","(2b) intermediate general qualification","179","0.901402110184682","0.860391789300635","0.942412431068728"
"Very low transfer dependency","1992","Not Employed","(2a) intermediate vocational","397","0.918849821247277","0.893896050367344","0.943803592127209"
"Very low transfer dependency","1992","Not Employed","(2c_gen) general maturity certificate","148","0.882855904467751","0.835612280449611","0.930099528485892"
"Very low transfer dependency","1992","Not Employed","(2c_voc) vocational maturity certificate","100","0.848428914385684","0.786784699471444","0.910073129299923"
"Very low transfer dependency","1992","Not Employed","(3a) lower tertiary education","127","0.890314922579436","0.840636031113284","0.939993814045588"
"Very low transfer dependency","1992","Not Employed","(3b) higher tertiary education","110","0.955867172782705","0.918964802801319","0.992769542764092"
"Very low transfer dependency","1992","Employed","(0) in school","20","","",""
"Very low transfer dependency","1992","Employed","(1a) inadequately completed","373","0.918818096668291","0.892120052374254","0.945516140962328"
"Very low transfer dependency","1992","Employed","(1b) general elementary school","1135","0.950571087797161","0.938296624577766","0.962845551016556"
"Very low transfer dependency","1992","Employed","(1c) basic vocational qualification","2758","0.967446934370848","0.960965645618899","0.973928223122797"
"Very low transfer dependency","1992","Employed","(2b) intermediate general qualification","314","0.934451980727057","0.90810647602747","0.960797485426644"
"Very low transfer dependency","1992","Employed","(2a) intermediate vocational","1951","0.942122045909679","0.932129974759521","0.952114117059837"
"Very low transfer dependency","1992","Employed","(2c_gen) general maturity certificate","195","0.980958230253241","0.962016833306099","0.999899627200384"
"Very low transfer dependency","1992","Employed","(2c_voc) vocational maturity certificate","367","0.959475540797728","0.939930558549927","0.979020523045528"
"Very low transfer dependency","1992","Employed","(3a) lower tertiary education","668","0.955531114673315","0.940379328630396","0.970682900716234"
"Very low transfer dependency","1992","Employed","(3b) higher tertiary education","633","0.963765052975101","0.949551146489476","0.977978959460726"
"Low transfer dependency","1992","Not Employed","(0) in school","5","","",""
"Low transfer dependency","1992","Not Employed","(1a) inadequately completed","27","","",""
"Low transfer dependency","1992","Not Employed","(1b) general elementary school","45","0.0262547376057343","0.0167276319714572","0.0357818432400114"
"Low transfer dependency","1992","Not Employed","(1c) basic vocational qualification","51","0.0206374523658692","0.0132010252635701","0.0280738794681683"
"Low transfer dependency","1992","Not Employed","(2b) intermediate general qualification","16","","",""
"Low transfer dependency","1992","Not Employed","(2a) intermediate vocational","46","0.0410900416736822","0.0229504970438015","0.0592295863035629"
"Low transfer dependency","1992","Not Employed","(2c_gen) general maturity certificate","18","","",""
"Low transfer dependency","1992","Not Employed","(2c_voc) vocational maturity certificate","13","","",""
"Low transfer dependency","1992","Not Employed","(3a) lower tertiary education","16","","",""
"Low transfer dependency","1992","Not Employed","(3b) higher tertiary education","6","","",""
"Low transfer dependency","1992","Employed","(0) in school","1","","",""
"Low transfer dependency","1992","Employed","(1a) inadequately completed","23","","",""
"Low transfer dependency","1992","Employed","(1b) general elementary school","38","0.0292185042312545","0.0196815561896916","0.0387554522728174"
"Low transfer dependency","1992","Employed","(1c) basic vocational qualification","102","0.0252108587745234","0.0194855223884804","0.0309361951605664"
"Low transfer dependency","1992","Employed","(2b) intermediate general qualification","18","","",""
"Low transfer dependency","1992","Employed","(2a) intermediate vocational","127","0.0484594744876084","0.0392708956935499","0.0576480532816669"
"Low transfer dependency","1992","Employed","(2c_gen) general maturity certificate","3","","",""
"Low transfer dependency","1992","Employed","(2c_voc) vocational maturity certificate","18","","",""
"Low transfer dependency","1992","Employed","(3a) lower tertiary education","34","0.0348392034293123","0.0213605273767958","0.0483178794818289"
"Low transfer dependency","1992","Employed","(3b) higher tertiary education","25","","",""
"High transfer dependency","1992","Not Employed","(0) in school","1","","",""
"High transfer dependency","1992","Not Employed","(1a) inadequately completed","7","","",""
"High transfer dependency","1992","Not Employed","(1b) general elementary school","24","","",""
"High transfer dependency","1992","Not Employed","(1c) basic vocational qualification","27","","",""
"High transfer dependency","1992","Not Employed","(2b) intermediate general qualification","1","","",""
"High transfer dependency","1992","Not Employed","(2a) intermediate vocational","7","","",""
"High transfer dependency","1992","Not Employed","(2c_gen) general maturity certificate","5","","",""
"High transfer dependency","1992","Not Employed","(2c_voc) vocational maturity certificate","4","","",""
"High transfer dependency","1992","Not Employed","(3a) lower tertiary education","5","","",""
"High transfer dependency","1992","Not Employed","(3b) higher tertiary education","2","","",""
"High transfer dependency","1992","Employed","(0) in school","","","",""
"High transfer dependency","1992","Employed","(1a) inadequately completed","4","","",""
"High transfer dependency","1992","Employed","(1b) general elementary school","18","","",""
"High transfer dependency","1992","Employed","(1c) basic vocational qualification","15","","",""
"High transfer dependency","1992","Employed","(2b) intermediate general qualification","4","","",""
"High transfer dependency","1992","Employed","(2a) intermediate vocational","18","","",""
"High transfer dependency","1992","Employed","(2c_gen) general maturity certificate","1","","",""
"High transfer dependency","1992","Employed","(2c_voc) vocational maturity certificate","6","","",""
"High transfer dependency","1992","Employed","(3a) lower tertiary education","7","","",""
"High transfer dependency","1992","Employed","(3b) higher tertiary education","6","","",""
"Very high transfer dependency","1992","Not Employed","(0) in school","5","","",""
"Very high transfer dependency","1992","Not Employed","(1a) inadequately completed","16","","",""
"Very high transfer dependency","1992","Not Employed","(1b) general elementary school","33","0.0285009041450054","0.0185860808206334","0.0384157274693774"
"Very high transfer dependency","1992","Not Employed","(1c) basic vocational qualification","33","0.0306571211772534","0.0216399786469298","0.039674263707577"
"Very high transfer dependency","1992","Not Employed","(2b) intermediate general qualification","7","","",""
"Very high transfer dependency","1992","Not Employed","(2a) intermediate vocational","10","","",""
"Very high transfer dependency","1992","Not Employed","(2c_gen) general maturity certificate","7","","",""
"Very high transfer dependency","1992","Not Employed","(2c_voc) vocational maturity certificate","13","","",""
"Very high transfer dependency","1992","Not Employed","(3a) lower tertiary education","4","","",""
"Very high transfer dependency","1992","Not Employed","(3b) higher tertiary education","1","","",""
"Very high transfer dependency","1992","Employed","(0) in school","","","",""
"Very high transfer dependency","1992","Employed","(1a) inadequately completed","2","","",""
"Very high transfer dependency","1992","Employed","(1b) general elementary school","7","","",""
"Very high transfer dependency","1992","Employed","(1c) basic vocational qualification","5","","",""
"Very high transfer dependency","1992","Employed","(2b) intermediate general qualification","3","","",""
"Very high transfer dependency","1992","Employed","(2a) intermediate vocational","2","","",""
"Very high transfer dependency","1992","Employed","(2c_gen) general maturity certificate","1","","",""
"Very high transfer dependency","1992","Employed","(2c_voc) vocational maturity certificate","","","",""
"Very high transfer dependency","1992","Employed","(3a) lower tertiary education","2","","",""
"Very high transfer dependency","1992","Employed","(3b) higher tertiary education","","","",""
"Very low transfer dependency","1993","Not Employed","(0) in school","112","0.953560482781957","0.915751710015442","0.991369255548473"
"Very low transfer dependency","1993","Not Employed","(1a) inadequately completed","284","0.800682639457984","0.758890240362261","0.842475038553708"
"Very low transfer dependency","1993","Not Employed","(1b) general elementary school","929","0.918071810044525","0.901483259221675","0.934660360867375"
"Very low transfer dependency","1993","Not Employed","(1c) basic vocational qualification","1320","0.917654926772161","0.903673761339409","0.931636092204914"
"Very low transfer dependency","1993","Not Employed","(2b) intermediate general qualification","171","0.898173753423506","0.856156118771084","0.940191388075927"
"Very low transfer dependency","1993","Not Employed","(2a) intermediate vocational","400","0.847021588322689","0.816462049217256","0.877581127428121"
"Very low transfer dependency","1993","Not Employed","(2c_gen) general maturity certificate","136","0.89415179819433","0.846631131786246","0.941672464602413"
"Very low transfer dependency","1993","Not Employed","(2c_voc) vocational maturity certificate","99","0.922027139157652","0.873442526263358","0.970611752051947"
"Very low transfer dependency","1993","Not Employed","(3a) lower tertiary education","150","0.871052498941238","0.822362358456545","0.91974263942593"
"Very low transfer dependency","1993","Not Employed","(3b) higher tertiary education","123","0.942004668015372","0.903287184684599","0.980722151346145"
"Very low transfer dependency","1993","Employed","(0) in school","9","","",""
"Very low transfer dependency","1993","Employed","(1a) inadequately completed","353","0.950311124356801","0.928258708862194","0.972363539851408"
"Very low transfer dependency","1993","Employed","(1b) general elementary school","1071","0.946044620718234","0.932912313204219","0.959176928232248"
"Very low transfer dependency","1993","Employed","(1c) basic vocational qualification","2532","0.956934895108402","0.949259191290296","0.964610598926508"
"Very low transfer dependency","1993","Employed","(2b) intermediate general qualification","293","0.918753858606856","0.888819217060947","0.948688500152765"
"Very low transfer dependency","1993","Employed","(2a) intermediate vocational","1845","0.932599031672872","0.921706058543956","0.943492004801788"
"Very low transfer dependency","1993","Employed","(2c_gen) general maturity certificate","227","0.971360007118745","0.9502141300679","0.99250588416959"
"Very low transfer dependency","1993","Employed","(2c_voc) vocational maturity certificate","369","0.962927760862697","0.94424792402433","0.981607597701064"
"Very low transfer dependency","1993","Employed","(3a) lower tertiary education","621","0.957606108042112","0.942222773604324","0.972989442479899"
"Very low transfer dependency","1993","Employed","(3b) higher tertiary education","623","0.966524656822183","0.952675300921351","0.980374012723015"
"Low transfer dependency","1993","Not Employed","(0) in school","4","","",""
"Low transfer dependency","1993","Not Employed","(1a) inadequately completed","31","0.0882897603454819","0.0586087884277617","0.117970732263202"
"Low transfer dependency","1993","Not Employed","(1b) general elementary school","62","0.0332277213790792","0.0223868094560491","0.0440686333021093"
"Low transfer dependency","1993","Not Employed","(1c) basic vocational qualification","96","0.0392876825453505","0.0294064811823889","0.0491688839083121"
"Low transfer dependency","1993","Not Employed","(2b) intermediate general qualification","18","","",""
"Low transfer dependency","1993","Not Employed","(2a) intermediate vocational","83","0.084655372206609","0.0610231769226268","0.108287567490591"
"Low transfer dependency","1993","Not Employed","(2c_gen) general maturity certificate","14","","",""
"Low transfer dependency","1993","Not Employed","(2c_voc) vocational maturity certificate","9","","",""
"Low transfer dependency","1993","Not Employed","(3a) lower tertiary education","21","","",""
"Low transfer dependency","1993","Not Employed","(3b) higher tertiary education","8","","",""
"Low transfer dependency","1993","Employed","(0) in school","","","",""
"Low transfer dependency","1993","Employed","(1a) inadequately completed","13","","",""
"Low transfer dependency","1993","Employed","(1b) general elementary school","42","0.0367079251066587","0.0257777587783908","0.0476380914349265"
"Low transfer dependency","1993","Employed","(1c) basic vocational qualification","119","0.03036283342984","0.0238751442761744","0.0368505225835056"
"Low transfer dependency","1993","Employed","(2b) intermediate general qualification","21","","",""
"Low transfer dependency","1993","Employed","(2a) intermediate vocational","158","0.0523838358840485","0.0427037153984712","0.0620639563696259"
"Low transfer dependency","1993","Employed","(2c_gen) general maturity certificate","9","","",""
"Low transfer dependency","1993","Employed","(2c_voc) vocational maturity certificate","15","","",""
"Low transfer dependency","1993","Employed","(3a) lower tertiary education","27","","",""
"Low transfer dependency","1993","Employed","(3b) higher tertiary education","20","","",""
"High transfer dependency","1993","Not Employed","(0) in school","2","","",""
"High transfer dependency","1993","Not Employed","(1a) inadequately completed","15","","",""
"High transfer dependency","1993","Not Employed","(1b) general elementary school","23","","",""
"High transfer dependency","1993","Not Employed","(1c) basic vocational qualification","29","","",""
"High transfer dependency","1993","Not Employed","(2b) intermediate general qualification","4","","",""
"High transfer dependency","1993","Not Employed","(2a) intermediate vocational","16","","",""
"High transfer dependency","1993","Not Employed","(2c_gen) general maturity certificate","1","","",""
"High transfer dependency","1993","Not Employed","(2c_voc) vocational maturity certificate","1","","",""
"High transfer dependency","1993","Not Employed","(3a) lower tertiary education","5","","",""
"High transfer dependency","1993","Not Employed","(3b) higher tertiary education","6","","",""
"High transfer dependency","1993","Employed","(0) in school","","","",""
"High transfer dependency","1993","Employed","(1a) inadequately completed","7","","",""
"High transfer dependency","1993","Employed","(1b) general elementary school","16","","",""
"High transfer dependency","1993","Employed","(1c) basic vocational qualification","28","","",""
"High transfer dependency","1993","Employed","(2b) intermediate general qualification","3","","",""
"High transfer dependency","1993","Employed","(2a) intermediate vocational","26","","",""
"High transfer dependency","1993","Employed","(2c_gen) general maturity certificate","2","","",""
"High transfer dependency","1993","Employed","(2c_voc) vocational maturity certificate","8","","",""
"High transfer dependency","1993","Employed","(3a) lower tertiary education","9","","",""
"High transfer dependency","1993","Employed","(3b) higher tertiary education","4","","",""
"Very high transfer dependency","1993","Not Employed","(0) in school","1","","",""
"Very high transfer dependency","1993","Not Employed","(1a) inadequately completed","21","","",""
"Very high transfer dependency","1993","Not Employed","(1b) general elementary school","36","0.0333925542332577","0.0225257128100072","0.0442593956565082"
"Very high transfer dependency","1993","Not Employed","(1c) basic vocational qualification","40","0.0280534758335094","0.0196550210422045","0.0364519306248143"
"Very high transfer dependency","1993","Not Employed","(2b) intermediate general qualification","6","","",""
"Very high transfer dependency","1993","Not Employed","(2a) intermediate vocational","34","0.0478011648766817","0.0296891173336814","0.0659132124196821"
"Very high transfer dependency","1993","Not Employed","(2c_gen) general maturity certificate","10","","",""
"Very high transfer dependency","1993","Not Employed","(2c_voc) vocational maturity certificate","8","","",""
"Very high transfer dependency","1993","Not Employed","(3a) lower tertiary education","6","","",""
"Very high transfer dependency","1993","Not Employed","(3b) higher tertiary education","3","","",""
"Very high transfer dependency","1993","Employed","(0) in school","","","",""
"Very high transfer dependency","1993","Employed","(1a) inadequately completed","","","",""
"Very high transfer dependency","1993","Employed","(1b) general elementary school","8","","",""
"Very high transfer dependency","1993","Employed","(1c) basic vocational qualification","8","","",""
"Very high transfer dependency","1993","Employed","(2b) intermediate general qualification","3","","",""
"Very high transfer dependency","1993","Employed","(2a) intermediate vocational","6","","",""
"Very high transfer dependency","1993","Employed","(2c_gen) general maturity certificate","1","","",""
"Very high transfer dependency","1993","Employed","(2c_voc) vocational maturity certificate","1","","",""
"Very high transfer dependency","1993","Employed","(3a) lower tertiary education","2","","",""
"Very high transfer dependency","1993","Employed","(3b) higher tertiary education","1","","",""
"Very low transfer dependency","1994","Not Employed","(0) in school","177","0.924838653343658","0.887928120222414","0.961749186464902"
"Very low transfer dependency","1994","Not Employed","(1a) inadequately completed","240","0.770364323465842","0.722769992601666","0.817958654330019"
"Very low transfer dependency","1994","Not Employed","(1b) general elementary school","918","0.920206459266035","0.903785113114751","0.936627805417319"
"Very low transfer dependency","1994","Not Employed","(1c) basic vocational qualification","1368","0.910816526285225","0.896627915188284","0.925005137382166"
"Very low transfer dependency","1994","Not Employed","(2b) intermediate general qualification","147","0.914265350429567","0.871675279244729","0.956855421614406"
"Very low transfer dependency","1994","Not Employed","(2a) intermediate vocational","399","0.839778874462218","0.808812092929533","0.870745655994903"
"Very low transfer dependency","1994","Not Employed","(2c_gen) general maturity certificate","164","0.893215298607911","0.849530526758647","0.936900070457175"
"Very low transfer dependency","1994","Not Employed","(2c_voc) vocational maturity certificate","110","0.821566251380347","0.758143676728276","0.884988826032419"
"Very low transfer dependency","1994","Not Employed","(3a) lower tertiary education","165","0.868575994701363","0.821396179174315","0.915755810228411"
"Very low transfer dependency","1994","Not Employed","(3b) higher tertiary education","130","0.915885868913193","0.871168896266835","0.960602841559551"
"Very low transfer dependency","1994","Employed","(0) in school","7","","",""
"Very low transfer dependency","1994","Employed","(1a) inadequately completed","329","0.954369895250284","0.932413175827154","0.976326614673414"
"Very low transfer dependency","1994","Employed","(1b) general elementary school","936","0.930291855071886","0.914617831860954","0.945965878282818"
"Very low transfer dependency","1994","Employed","(1c) basic vocational qualification","2356","0.948733395643073","0.940091802628964","0.957374988657183"
"Very low transfer dependency","1994","Employed","(2b) intermediate general qualification","270","0.897960530626001","0.86387739863005","0.932043662621951"
"Very low transfer dependency","1994","Employed","(2a) intermediate vocational","1848","0.929669193864996","0.918548544514583","0.940789843215408"
"Very low transfer dependency","1994","Employed","(2c_gen) general maturity certificate","198","0.961348133011317","0.935276752665841","0.987419513356794"
"Very low transfer dependency","1994","Employed","(2c_voc) vocational maturity certificate","360","0.961714006658809","0.942446366203104","0.980981647114515"
"Very low transfer dependency","1994","Employed","(3a) lower tertiary education","615","0.950537531424576","0.933893948600962","0.967181114248189"
"Very low transfer dependency","1994","Employed","(3b) higher tertiary education","627","0.972153974367029","0.959534518252412","0.984773430481647"
"Low transfer dependency","1994","Not Employed","(0) in school","9","","",""
"Low transfer dependency","1994","Not Employed","(1a) inadequately completed","29","","",""
"Low transfer dependency","1994","Not Employed","(1b) general elementary school","57","0.0247718692300348","0.0153526534034379","0.0341910850566316"
"Low transfer dependency","1994","Not Employed","(1c) basic vocational qualification","92","0.0377487100221514","0.0282606472231759","0.0472367728211268"
"Low transfer dependency","1994","Not Employed","(2b) intermediate general qualification","10","","",""
"Low transfer dependency","1994","Not Employed","(2a) intermediate vocational","89","0.0824852448443323","0.0592606379931628","0.105709851695502"
"Low transfer dependency","1994","Not Employed","(2c_gen) general maturity certificate","18","","",""
"Low transfer dependency","1994","Not Employed","(2c_voc) vocational maturity certificate","16","","",""
"Low transfer dependency","1994","Not Employed","(3a) lower tertiary education","18","","",""
"Low transfer dependency","1994","Not Employed","(3b) higher tertiary education","7","","",""
"Low transfer dependency","1994","Employed","(0) in school","","","",""
"Low transfer dependency","1994","Employed","(1a) inadequately completed","14","","",""
"Low transfer dependency","1994","Employed","(1b) general elementary school","55","0.0427237551164076","0.0302762457132367","0.0551712645195784"
"Low transfer dependency","1994","Employed","(1c) basic vocational qualification","106","0.0326391559720054","0.0256766088033371","0.0396017031406737"
"Low transfer dependency","1994","Employed","(2b) intermediate general qualification","22","","",""
"Low transfer dependency","1994","Employed","(2a) intermediate vocational","145","0.0508985364285022","0.0413397645302161","0.0604573083267882"
"Low transfer dependency","1994","Employed","(2c_gen) general maturity certificate","11","","",""
"Low transfer dependency","1994","Employed","(2c_voc) vocational maturity certificate","17","","",""
"Low transfer dependency","1994","Employed","(3a) lower tertiary education","28","","",""
"Low transfer dependency","1994","Employed","(3b) higher tertiary education","21","","",""
"High transfer dependency","1994","Not Employed","(0) in school","5","","",""
"High transfer dependency","1994","Not Employed","(1a) inadequately completed","10","","",""
"High transfer dependency","1994","Not Employed","(1b) general elementary school","28","","",""
"High transfer dependency","1994","Not Employed","(1c) basic vocational qualification","33","0.0156674512941815","0.0094851190376822","0.0218497835506808"
"High transfer dependency","1994","Not Employed","(2b) intermediate general qualification","4","","",""
"High transfer dependency","1994","Not Employed","(2a) intermediate vocational","20","","",""
"High transfer dependency","1994","Not Employed","(2c_gen) general maturity certificate","5","","",""
"High transfer dependency","1994","Not Employed","(2c_voc) vocational maturity certificate","6","","",""
"High transfer dependency","1994","Not Employed","(3a) lower tertiary education","7","","",""
"High transfer dependency","1994","Not Employed","(3b) higher tertiary education","7","","",""
"High transfer dependency","1994","Employed","(0) in school","","","",""
"High transfer dependency","1994","Employed","(1a) inadequately completed","4","","",""
"High transfer dependency","1994","Employed","(1b) general elementary school","16","","",""
